Suivant la Copie imprimée	Suivant la Copie imprimée
Toy, qui par des douleurs à ton devoir contraires Veux quitter un mary pour rejoindre tes freres, Va plûtoſt conſulter leurs Manes genereux;	Toi, qui par des douleurs à ton devoir contraires Veux quitter un mari pour rejoindre tes frères, Va plutôt consulter leurs Manes généreux;
Ils ſont morts, mais pour Albe, & s’en tiennent heureux.	Ils sont morts, mais pour Albe, et s'en tiennent heureux.
Puiſque le Ciel vouloit qu’elle fuſt aſſervie, Si quelque ſentiment demeure aprés la vie, Ce mal leur ſemble moindre, & moins rudes ſes coups, Voyant que tout l’honneur en retombe ſur nous.	Puisque le Ciel voulait qu'elle fût asservie, Si quelque sentiment demeure après la vie, Ce mal leur semble moindre, et moins rudes ses coups, Voyant que tout l'honneur en retombe sur nous.
Tous trois deſavoûront la douleur qui te touche, Les larmes de tes yeux, les ſoûpirs de ta bouche, L’horreur que tu fais voir d’un mary vertueux, Sabine, ſois leur ſœur, ſuy ton devoir comme eux.	Tous trois désavoueront la douleur qui te touche, Les larmes de tes yeux, les soupirs de ta bouche, L'horreur que tu fais voir d'un mari vertueux, Sabine, sois leur sœur, suis ton devoir comme eux.
au Roy.	au Roi.
Contre ce cher époux Valere en vain s’anime, ou premier mour ement ne fut jamais un crime, Et la loüange eſt deuë au lieu du châtiment Quand la vertu produit ce premier mouvement.	Contre ce cher époux Valère en vain s'anime, ou premier mour ement ne fut jamais un crime, Et la louange est du au lieu du châtiment Quand la vertu produit ce premier mouvement.
Aimer nos ennemis avec idolatrie, De rage en leur trépas maudire la patrie, Souhaiter à l’Eſtat un malheur infiny,	Aimer nos ennemis avec idolâtrie, De rage en leur trépas maudire la patrie, Souhaiter à l'État un malheur infini,
C’eſt C’eſt ce qu’on nomme crime, & ce qu’il a puny.	C'est C'est ce qu'on nomme crime, et ce qu'il a puni.
Le ſeul amour de Rome a ſa main animée, Il ſeroit innocent s’il l’avoit moins aymée.	Le seul amour de Rome a sa main animée, Il serait innocent s'il l'avait moins aimée.
Qu’ay-je dit, Sire?	Qu'ai-je dit, Sire?
il l’eſt, & ce bras paternel L’auroit deſia puny s’il eſtoit criminel, J’aurois ſçeu mieux uſer de l’entiere puiſſance Que me donnent ſur luy les droits de la naiſſance, J’aime trop l’honneur, Sire, & ne ſuis point de rang A ſouffrir ny d’affront, ny de crime en mon ſang.	il l'est, et ce bras paternel L'aurait déjà puni s'il était criminel, J'aurais su mieux user de l'entière puissance Que me donnent sur lui es droits de la naissance, J'aime trop l'honneur, Sire, et ne suis point de rang A souffrir ni d'affront, ni de crime en mon sang.
C’eſt dont je ne veux point de témoin que Valere, Il a veu quel accueil luy gardoit ma colere, Lors qu’ignorant encor la moitié du combat Je croyois que ſa fuite avoit trahy l’Eſtat.	C'est dont je ne veux point de témoin que Valère, Il a vu quel accueil lui gardait ma colère, Lors qu'ignorant encor la moitié du combat Je croyais que sa fuite avait trahi l'État.
Qui le fait ſe charger des ſoins de ma famille?	Qui le fait se charger des soins de ma famille?
Qui le fait malgré moy vouloir vanger ma fille?	Qui le fait malgré moi vouloir venger ma fille?
Et par quelle raiſon dans ſon juſte trépas Prend-il un intereſt qu’un pere ne prend pas?	Et par quelle raison dans son juste trépas Prend-il un intérêt qu'un père ne prend pas?
On craint qu’apres ſa ſœur il n’en maltraite d’autreos Sire, nous n’avons part qu’à la honte des noſtres, Et de quelque façon qu’un autre puiſſe agir Qui ne nous touche point ne nous fait point rougir.	On craint qu'après sa sœur il n'en maltraite d'autre Sire, nous n'avons part qu'à la honte des nôtres, Et de quelque façon qu'un autre puisse agir Qui ne nous touche point ne nous fait point rougir.
à Valere.	à Valère.
Tu peux pleurer, Valere, & meſme aux yeux d’Horace, Il ne prend intereſt qu’aux crimes de ſa race, Qui n’eſt point de ſon ſang ne peut faire d’affront Aux lauriers immortels qui luy ceignent le front.	Tu peux pleurer, Valère, et même aux yeux d'Horace, Il ne prend intérêt qu'aux crimes de sa race, Qui n'est point de son sang ne peut faire d'affront Aux lauriers immortels qui lui ceignent le front.
Lauriers, ſacrez rameaux qu’on veut reduire en poudre, Vous qui mettez ſa teſte à couvert de la foudre, L’abandonnerez-vous à l’infame coûteau Qui fait choir les méchans ſous la main d’un bourreau?	Lauriers, sacrés rameaux qu'on veut réduire en poudre, Vous qui mettez sa tête à couvert de la foudre, L'abandonnerez-vous à l'infâme coûteau Qui fait choir les méchants sous la main d'un bourreau?
homme Romains, ſouffrirez-vous qu’on vous immole un Sans qui Rome aujourd’huy ceſſeroit d’eſtre Rome, Et qu’un Romain s’efforce à tacher le renom D'un guerrier à qui tous doivent un ſi beau nons;	homme Romains, souffrirez-vous qu'on vous immole un Sans qui Rome aujourd'hui cesserait d'être Rome, Et qu'un Romain s'efforce à tacher le renom D'un guerrier à qui tous doivent un si beau nons;
Dy, Dy, valere, dy-nous, ſi tu veux qu’il periſſe, Où tu penſes choiſir un lieu pour ſon ſupplice.	Dis, Dis, valère, dis-nous, si tu veux qu'il périsse, Où tu penses choisir un lieu pour son supplice.
Sera-ce entre ces murs, que mille & mille voix Font reſonner encor du bruit de ſes explois;	Sera-ce entre ces murs, que mille et mille voix Font résonner encor du bruit de ses explois;
Sera-ce hors des murs, au milieu de ces places Ou’on voit fumer encor du ſang des Curiaces, Entre leurs trois tombeaux, & dãs ce champ d’hõneur Témoin de ſa vaillance, & de noſtre bonheur?	Sera-ce hors des murs, au milieu de ces places Ou'on voit fumer encor du sang des Curiaces, Entre leurs trois tombeaux, et dans ce champ d'honneur Témoin de sa vaillance, et de notre bonheur?
Tu ne ſçaurois cacher ſa peine à ſa victoire, Dans les murs, hors des murs, tout parle de ſa gloire, Tout s’oppoſe à l’effort de ton injuſte amour Quiceut a unn doulang mumtas an noedu jour, Albe ne pourra pas ſouffrir un tel ſpectacle, Et Rome avec ſes pleurs y mettra trop d’obſtacle.	Tu ne saurais cacher sa peine à sa victoire, Dans les murs, hors des murs, tout parle de sa gloire, Tout s'oppose à l'effort de ton injuste amour Quicut a un doulang mumtas an oèdu jour, Albe ne pourra pas souffrir un tel spectacle, Et Rome avec ses pleurs y mettra trop d'obstacle.
au Roy.	au Roi.
vous les préviendrez, Sire, & par un juſte Arreſt Vous ſçaurez embraſſer bien mieux ſon intereſt, Ce qu’il a fait pour elle il le peut encor faire, Il la peut garantir encor d’un ſort contraire.	vous les préviendrez, Sire, et par un juste Arrêt Vous saurez embrasser bien mieux son intérêt, Ce qu'il a fait pour elle il le peut encor faire, Il la peut garantir encor d'un sort contraire.
l daca onë, ne uonmez rien à mes debiles ans, Rome aujourd’huy m’a veu pere de quatre enfans, Trois en ce meſme jour ſot morts pour la querelle, Il m’en reſte encor un, conſervez-le pour elle, N’oſtez pas à ſes murs un ſi puiſſant appuy, Et ſouffrez pour finir que je m’adreſſe à luy.	l' aca on, ne uonmez rien à mes débiles ans, Rome aujourd'hui m'a vu père de quatre enfants, Trois en ce même jour sot morts pour la querelle, Il m'en reste encor un, conservez-le pour elle, N'ôtez pas à ses murs un si puissant appui, Et souffrez pour finir que je m'adresse à La.
à Horace.	à Horace.
Horace, ne croy pas que le peuple ſtupide Soit le maiſtre abſolu d’un renom bien ſolide, Sa voix tumultueuſe aſſez ſouvent fait bruit, Mais un moment l’éleve, un moment le détruit, Et ce qu’il contribuë à noſtre renommée Toûjours en moins de rien ſe diſſipe en fumée.	Horace, ne crois pas que le peuple stupide Soit le maître absolu d'un renom bien solide, Sa voix tumultueuse assez souvent fait bruit, Mais un moment l'élève, un moment le détruit, Et ce qu'il contribue à notre renommée Toujours en moins de rien se dissipe en fumée.
C’eſt aux Rois, c’eſt aux Grands, c’eſt aux eſprits bien faits A voir la vertu pleine en ſes moindres effets, C’eſt d’eux ſeuls qu’on reçoit la veritable gloire, Eux ſeuls des vrais Heros aſſeurent la memoire.	C'est aux Rois, c'est aux Grands, c'est aux esprits bien faits A voir la vertu pleine en ses moindres effets, C'est d'eux seuls qu'on reçoit la véritable gloire, Eux seuls des vrais Héros assurent la mémoire.
vy toûjours en Horace, & toûjours auprés d’eux Ton nom demeurera grand, illuſtre, fameux, Bien que l’occaſion moins haute, ou moins brillãte, D’un vulgaire ignorant trompe l’injuſte attente.	vis toujours en Horace, et toujours auprès d'eux Ton nom demeurera grand, illustre, fameux, Bien que l'occasion moins haute, ou moins brillante, D'un vulgaire ignorant trompe l'injuste attente.
Ne hay donc plus la vie, & du moins vy pour moy, Et pour ſervir encor ton païs & ton Roy.	Ne hais donc plus la vie, et du moins vi pour moi, Et pour servir encor ton pays et ton Roi.
one;	one;
j'en ay trop dit mais l’affaire vous touche, Et Rome toute entiere a parlé par ma bouche.	j'en ai trop dit mais l'affaire vous touche, Et Rome toute entière a parlé par ma bouche.
VALERE.	VALÈRE.
Sire, permettez-moy.	Sire, permettez-moi.
TULLE.	TULLE.
Valere, c’eſt aſſez, Vos diſcours par les leurs ne ſont pas effacez, J’en garde en mon eſprit les forces plus preſſantes, Et toutes vos raiſons me ſont encor preſentes.	Valère, c'est assez, Vos discours par les leurs ne sont pas effacés, J'en garde en mon esprit les forces plus pressantes, Et toutes vos raisons me sont encor présentes.
Cette enorme action faite preſque à nos yeux Outrage la nature, & bleſſe juſqu’aux Dieux;	Cette énorme action faite presque à nos yeux Outrage la nature, et blesse jusqu'aux Dieux;
Un premier mouvement qui produit un tel crime Ne ſçauroit luy ſervir d’excuſe legitime, Les moins ſeveres loix en ce point ſont d’accord, Et ſi noue la ſuivana il aſt i--- dπν ---.	Un premier mouvement qui produit un tel crime Ne saurait vou lir d'excuse légitime, Les moins sèvres lois en ce point sont d'accord, Et si noue la suivana il ast y- oue -à-.
C.	Ç.
, a cige uclCite Si d’ailleurs nous voulons regarder le coupable, Ce crime quoy que grand, enorme, inexcuſable, Vient de la meſme épée, & part du meſme bras Qui me fait aujourd’huy maiſtre de deux Eſtats.	, , votre uclCite Si d'ailleurs nous voulons regarder le coupable, Ce crime quoi que grand, énorme, inexcusable, Vient de la même épée, et part du même bras Qui me fait aujourd'hui maître de deux États.
Deux ſceptres en main, Albe à Rome aſſervie, Parlent bien hautement en faveur de ſa vie, Sans luy j’obeïrois où je donne la loy, Et je ſerois Sujet où je ſuis deux fois Roy.	Deux sceptres en main, Albe à Rome asservie, Parlent bien hautement en faveur de sa vie, Sans lui j'obéirais où je donne la loi, Et je serais Sujet où je suis deux fois Roy.
Aſſez de bons Sujets dans toutes les Provinces Par des vœux impuiſſans s’acquitent vers leurs Princes, Tous les peuvent aymer, mais tous ne peuvent pas Par d’illuſtres effets aſſeurer leurs Eſtats, Et l’art & le pouvoir d’affermir des Couronnes Sont des dons que le Ciel fait à peu de perſonnes, De pareils ſerviteurs ſont les forces des Rois, Et de pareils auſſi ſont au deſſus des loix.	Assez de bons Sujets dans toutes les Provinces Par des vœux impuissants s'acquiteurs vers leurs Princes, Tous les peuvent aimer, mais tous ne peuvent pas Par d'illustres effets assurer leurs États, Et l'art et le pouvoir d'affermir des Couronnes Sont des dons que le Ciel fait à peu de personnes, De pareils serviteurs sont les forces des Rois, Et de pareils aussi sont au dessus des lois.
Qu'elQu’elles ſe taiſent donc, que Rome diſſimule Ce que dés ſa naiſſance elle vit en Romule;	Qu'elQu’le se trouvent donc, que Rome dissimule Ce que dès sa naissance elle vit en Romule;
Elle peut bien ſouffrir en ſon liberateur Ce qu’elle a bien ſouffert en ſon premier autheur.	Elle peut bien souffrir en son libérateur Ce qu'elle a bien souffert en son premier auteur.
Vy donc, Horace, vy, guerrier trop magnanime, Ta vertu met ta gloire au deſſus de ton crime;	Vis donc, Horace, vis, guerrier trop magnanime, Ta vertu met ta gloire au dessus de ton crime;
Sa chaleur genereuſe a produit ton forfait, D’une cauſe ſi belle il faut ſouffrir l’effet.	Sa chaleur généreuse a produit ton forfait, D'une cause si belle il faut souffrir l'effet.
Vy pour ſervir l’Eſtat, vy, mais ayme Valere, Qu’il ne reſte entre vous ny haine, ny colere, Et ſoit qu’il ait ſuivy l’amour, ou le devoir, Sans aucun ſentiment reſous-toy de le voir.	Vi pour servir l'État, vis, mais aime Valère, Qu'il ne reste entre vous sans haine, ni colère, Et soit qu'il ait suivi l'amour, ou le devoir, Sans aucun sentiment résous-toi de le voir.
Sabine, écoutez moins la douleur qui vous preſſe, Chaſſez de ce grand cœur ces marques de foibleſſe, C’eſt en ſechant vos pleurs que vous vous mõtrerez La veritable ſœur de ceux que vous pleurez.	Sabine, écoutez moins la douleur qui vous presse, Chassez de ce grand cœur ces marques de faiblesse, C'est en séchant vos pleurs que vous vous montrerez La véritable sœur de ceux que vous pleurez.
Mais nous devons aux Dieux demain un ſacrifice, Et nous aurions le Ciel à nos vœux mal propice, Si nos Preſtres, avant que de ſacrifier, Ne trouvoient les moyens de la purifier.	Mais nous devons aux Dieux demain un sacrifice, Et nous aurions le Ciel à nos vœux mal propice, Si nos Prêtres, avant que de sacrifier, Ne trouvaient les moyens de la purifier.
Son pere en prendra ſoin, il luy ſera facile D’appaiſer tout d’un temps les Manes de Camille, Je la plains, & pour rendre à ſon ſort rigoureux Ce que peut ſouhaiter ſon eſprit amoureux, ruiiqu' en un meme jour l’ardeur d’un meſme zele Acheve le deſtin de ſon amant & d’elle, Je veux qu’un meſme jour témoin de leurs deux morts En un meſme tombeauvoye enfertéer leuij corrs.	Son père en prendra soin, il lui sera facile D'apaiser tout d'un temps les Manes de Camille, Je la plains, et pour rendre à son sort rigoureux Ce que peut souhaiter son esprit amoureux, riqu' en un même jour l'ardeur d'un même zèle Acheve le destin de son amant et d'elle, Je veux qu'un même jour témoin de leurs deux morts En un même tombeauvoie enfertéer luj ours.
