LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
Pour mainte occaſion neceſſaire i’atends, Le Roy ne me prendroit à luy manifeſtée, Ainſi hors de ſaiſon pour autre qu’éfrontée, Andalte de la pem datrepasa menti, Vn filence oportun vaut mieux qu'vn repentir.	Pour mainte occasion nécessaire j'attends, Le Roi ne me prendrait à même manifestée, Ainsi hors de saison pour autre qu'éfrontée, Andalte de la pém datrepasa menti, Un silence oportun vaut mieux qu'être repentir.
THEAGENE.	THÉGENE.
Ces ioyaux auec toy gardez en témoignage, Luy peuuent ils trop toſt découurir ſon lignage?	Ces joyaux ap toy gardés en témoignage, Lu peuuent ils trop tôt découvrir son lignage?
CARICLEE.	CARICLE.
Ces ioyaux luy ſeroient témoins inſufiſans, Car ceux donietes eus ne jontieyprejens.	Ces joyaux Prince seraient témoins insuffisants, Car ceux donietes eus ne jontieyprements.
THEAGENE.	THÉGENE.
S’ils ne ſe trouuent plus.	S'ils ne se trouvent plus.
CARICLEE.	CARICLE.
Ma franchiſe derniere Ne manqueroit alors dans les bras de ma mere, Le ſang ne peut mentir, elle ne me peut voir, Qu'vn maternel inſtinct ne la face émouuoir, Nature aux animaux iamais iamais n'eface Le vray reſſentiment imprimé de leur race, Ioint que de mes erreurs le plorable diſcours, Et les tems raportez nous ſauueroient touſiours.	Ma franchise dernière Ne manquerait alors dans les bras de ma mère, Le sang ne peut mentir, elle ne me peut voir, Qu'un maternel instinct ne la face émouvoir, Nature aux animaux jamais iamais n'eface Le vrai ressentiment imprimé de leur race, Joint que de mes erreurs le plorable discours, Et les tém ès nous sauveraient toujours.
THEAGENE.	THÉGENE.
Ie crain que préuenus du fatal ſacrifice, Tardiſ Paraijynoas ne joyons cacins anocneſec.	Je crois que prévenus du fatal sacrifice, Tardis Paraijynoas ne joyons cacins anocnesec.
CARICLEE.	CARICLE.
Nullement, nous auons terme iuſqu’au retour Du Roy daus Meroé, ville de ſon ſejour, Ville aßiſe au milieu d’vne Isle ainſi nommée, La plus grande du monde, & la plus renommée, Où ſont les priſonniers aux Dieux ſacrifiez Qu’auant vne victoire on leur a dediez, vne exceßiue peur les oreilles te bouche, Pour n’ouyr ce propos que tous ont en la bouche.	Nullement, nous avons terme jusqu'au retour Du Roy iaus Méroé, ville de son séjour, Ville assise au milieu d'une Isle ainsi nommée, La plus grande du monde, et la plus renommée, Où sont les prisonniers aux Dieux sacrifiez Qu'avant une victoire on leur a dédiés, une excessiue peur les oreilles te bouche, Pour n'ouïr ce propos que tous ont en la bouche.
THEAGENE.	THÉGENE.
Qui ſeroit le méchant, le traiſtre, le trompeur, Ma belle qui pour toy peut demeurer ſans peur, Ie t’ay mille fois dit, & mille fois ta veuë D’vn spectaele conforme aux perils s’eſt repeuë, Elle meſme i’ateſte à quel mépris ie tien Mon esprit ſeparé de ſon fresle lien, Combien peu ie redoute;	Qui serait le méchant, le traître, le trompeur, Ma belle qui pour toi peut demeurer sans peur, Je t'ai mille fois dit, et mille fois ta vue D'un spectaèle conforme aux périls s'est repue, Elle même j'atteste à quel mépris quelque tien Mon esprit séparé de son frêle lien, Combien peu ie redoute;
& m’eſt épouuantable De la fiere Cloton le trait ineuitable, Pouruû que ie te laiſſe en vn repos heureux, Pouruì que mon deſtin ne te ſoit funereux, Pouruu que iere voye au I nrone nereditaire, Tout le Ciel coniuré ne me pourroit mal faire, Les traits de ſon couroux i’atendray ſans fremir, Et tourment quel qu’il ſoit ne me fera gemir.	et m'est épouvantable De la fière Cloton le trait inévitable, Pourvu que sans te laisse en un repos heureux, Pourvu que mon destin ne te soit foncreux, Pouruu que vivre voie au I Jrone nereditaire, Tout le Ciel conjuré ne me pourrait mal faire, Les traits de son courroux j'attendrai sans frémir, Et tourment quel qu'il soit ne me fera gémir.
CARICLEE.	CARICLE.
Nos deſaſtres ourdis par vne meſme trame, Noſtre ne f qui vogua ſous vne meſme rame, Nous doit par conſequent ſargir à meſme port, Ferois tu ſoupçonneux à ta Dame ce tort, De l’eſtimer ingrate en ſa bonne fortune, Douter qu’elle ne fut à tous les deux commune, Plutoſt les Cieux vengeurs me filent derechef, Autant que i’ay ſouffert d’ẽcombre, & de méche Plutoſt mon cher ſoulas, au lieu d’vne Couronne Qu'vn foudre puniſſeur mon pariure guerdonne Ans quetum escruet, e ſatnenx de penjer Que ie peuſſe ta foy ſi mal recompenſer.	Nos désastres ourdis par une même trame, Notre ne f qui vogua sous une même rame, Nous doit par conséquent sargir à même port, Ferais tu soupçonneux à ta Dame ce tort, De l'estimer ingrate en sa bonne fortune, Douter qu'elle ne fut à tous les deux commune, Plutôt les Cieux vengeurs me filent derechef, Autant que j'ai souffert d'ẽcombre, et de mèche Plutôt mon cher soûlas, au lieu d'une Couronne Qu'vn foudre punisseur mon parjure Ans Que mon écruet, satnenx de pat De ie pensez de foi si mal recompenser.
THEAGENE.	THÉGENE.
Ma Deeſſe, mon heur, tute prens à vne ombre, Onques ie ne te mis imprudent de ce nombre, Onques ie ne doutay de ta ſainte amitié, Onques ie ne doutay de n'eſtre ta moitié, Sans plus ie me deuoüe, & conſacre à ton aiſe, Vne étincelle ſort de ma fidelle braiſe, I’aurois plus à douter du côté des parens, Qui pour nous voir ainſi de grace differens, Ains pour me méconnoiſtre, & mon antique race, Poßible me voudroyent ſeparer de ta grace.	Ma Deesse, mon heur, tute prends à une ombre, Onques ie ne te mis imprudent de ce nombre, Onques imaire doutai de ta sainte amitié, On On ne doutai de n'être ta moitié, Sans plus rien me deuoüe, et consacre à ton aise, Aise étincelle sort de ma fidèle braise, J'aurais plus à douter du côté des parents, Qui pour nous voir ainsi de grâce différents, Ains pour me méconnaître, et mon antique race, Pouvible me voudraient séparer de ta grâce.
CARICLEE.	CARICLE.
Amour ne reconnoiſt aucun ſuperieur, Luy ſous qui Iupiter ſe courbe inferieur, Le reſpect des parens, la fortune luy cedent, Les forces de ſes dars toutes autres precedent, Croy qu’ils m’arracheront le cœur auparauant, Que t'oſter de ton lit, que c'aller deceuant.	Amour ne reconnaît aucun supérieur, Lui sous qui Jupiter se courbe inférieur, Le respect des parents, la fortune avait cèdent, Les forces de ses dars toutes autres précédent, Crois qu'ils m'arracheront le cœur auparavant, Que t'ôter de ton lit, que c'aller décevant.
THEAGENE.	THÉGENE.
Dequoy diſput ons nous, ô trompeuſe eſperance, Comment tu ſçais flater noſtre humaine ignorance, La Parque nous aſsiege étroitement captifs, Et l’apas d’vn Hymen tu nous iettes chetifs, Nous ſommes deſtinez à l’Autel, & méchante, Prés de ce bord mortel ta douceur nous enchante, Nous enfle le courage, alors que le danger Sans miracles des Cieux ne ſe peut étranger, Nous parlons d’obtenir d’amour la recompenſe D'vne longue miſere, où elle recommence, Ce iour ne viendra point noſtre nuit éclairer, Nous ne ferõs iamais que plaindre, & qu’endurer, Nous ne ſerons iamais que la proye iettée Aux voureaux demuneZau voteur Tromerée, Touſiours, touſiours helas!	Dequoy disput ons nous, ô trompeuse espérance, Comment tu sais flatter notre humaine ignorance, La Parque nous assiège étroitement captifs, Et l'apas d'un Hymen tu nous jettes chétifs, Nous sommes destinez à l'Autel, et méchante, Près de ce bord mortel a douceur nous enchante, Nous enfle le courage, alors que le danger Sans miracles des Cieux ne se peut étranger, Nous parlons d'obtenir d'amour la récompense D'une longue misère, où elle recommence, Ce iour ne viendra point nôtre nuit éclaire, Nous ne ferõs y que plaindrea et oujour, Nous ne ferons jamais que la proie iettée Aux voureaux demuneZau voteur Tromerée, Tousiours, tousiours hélas!
vn douloureux eſſein De ſoucis renaiſſant nous playera le ſein.	Un douloureux essein De soucis renaissant nous playera le sein.
CARICLEE.	CARICLE.
Lors qu'vne aſpre langueur à nos corps attachée, Des membres affoiblis ſe ſepare faſchée, Son accés elle double, augmente ſes douleurs, Ainſi mon cœur, s’en vont expirer nos malheurs, Ce furieux aſſaut ſouſtenu, nous apporte Le myrte glorieux d’vne victoire forte, Ramaſſe ton courage, & que nos viſions, Viſions nullement pleines d’illuſions, Viſions que les Dieux enuoient prophetiques, Conſolent de nos maux les ameres reliques, Aux Et hiopes noirs elles t’ont aßuré, Le changement d’vn ſort cruel en bien heuré, Que veux tu de plus clair, & plus intelligible, Que vois tu qui ſoit plus aparent, & poßible, Ie pleige leur oracle, & conſens de mourir, Si i’extreme peril nous alloit encourir.	Lors qu'une âpre langueur à nos corps attachée, Des membres affaiblis se sépare fâchée, Son accès elle double, augmente ses douleurs, Ainsi mon cœur, s'en vont expirer nos malheurs, Ce furieux assaut soustenu, nous apporte Le myrte glorieux d'une victoire forte, Ramasse ton courage, et que nos visions, Visions nullement pleines d'illusions, Visions que les Dieux envoient prophétiques, Consolent de nos maux les amères reliques, Aux Et hiopes noirs elles t'ont assuré, Le changement sort cruel en bien heuré, Que veux tu de plus clair, et plus intelligible, Que vois tu qui soit plus aparent, et possible, Ie pleige leur oracle, et consens de mourir, Si extrême péril nous alloit encourir.
THEAGENE.	THÉGENE.
En vn ſens tout pareil au tien ie l’interprete.	En un sens tout pareil au tien ces l'interprète.
Vn extréme peril le deſtin nous apreſte, C’eſt celuy de l’Autel, les Ethiopes noirs Neſont que l es eſprits des Stygieux manoirs, Ces images ſans corps, cette troupe volante, Qu’enferme de Pluton la cauerne relante, Ils nous tendent les bras, nous les allons trouuer, Pis en enx ue pinte qu'unx niuans epronner, Vueillent pourtãt les Dieux deceuoir mon augure.	Un extrême péril le destin nous apprête, C'est celui de l'Autel, les Éthyopes noirs Nésont que l es ois des Stygieux manoirs, Ces images sans corps, cette troupe volante, Qu'enferme de Pluton la caverne relante, Ils nous tendent les bras, nous les allons trouver, Pis en x ue pinte qu' niuans epronner, Vueillent pourtãt les Dieux deceuoir mon augure.
Mais quelqu' vn de la part du Roy viẽt, ie m’aßûre.	Mais quelqu' un de la part du Roi vient, Elle m'assûre.
SOLDAT.	SOLDAT.
Sa Majeſte vous mande, allons, dépechez vous De me ſuiure, craignant d’atiſer ſon courous.	Sa Majeste vous mande, allons, dépechez vous De me suivre, craignant d'atiser son courous.
CARICLEE.	CARICLE.
Soldat, ie te ſuplie, oſte nous d’vne peine, Eſt-ce pas à l’Autel maintenant qu’on nous meine Veut il ſacrifier noſtre couple innocent, Veut il aller benin ſes trauaux finiſſant, Ne nous le cele point afin que ce deſaſtre L’vn & l’autre conſtant s’efforce de combatre.	Soldat, Seigneur te suplie, ôte nous d'une peine, Est-ce pas à l'Autel maintenant qu'on nous mène Veut il sacrifier quelque couple innocent, Veut il aller bénin ses travaux finissant, Ne nous le cèle point afin que ce désastre L'autre et l'autre constant s'efforce de combattre.
SOLDAT, Tels ſacrifices ſont accomplis autre part, Et vous n'auez que craindre icy pour ce regard.	SOLDAT, Tels sacrifices sont accomplis autre part, Et vous n'avez que craindre ici pour ce regard.
CARICLEE.	CARICLE.
Voila que ie t’ay dit, ſon raport ſe conforme.	Voilà que vain t'ai dit, son rapport se conforme.
SOLDAT.	SOLDAT.
On obſerue en cela vne toute autre forme, Que vous ne preſumez, marchons, on nous attent.	On observe en cela toute autre forme, Que vous ne présumez, marchons, on nous attent.
THEAGENE.	THÉGENE.
O Apollon ſois nous à cette heure aßiſtant.	Ô Apollon sois nous à cette heure assistant.
ACTE IV.	ACTE IV.
ACVPHIS, HYDASPE, CONSEILLER, THEAGENE, CARICLEE, ORONDATE, CHOEVR, DE CITOYENS.	ACUPHIS, HYDASPE, CONSEILLER, THÉGENE, CARICLE, ORONDATE, CHOEUR, DE CITOYENS.
ACVPHIS.	ACUPHIS.
IRE, l’eſprit humain ne ſçauroit trop comS prendre, Trop des ſecrets du Ciel ſon origine aprendre, Et puis que ta bonté nous veut tant honorer, Que de faire du Nil les vertus declarer, Nous le tenons vn Dieu, celebrons ſes loüanges Veu le nombre infini de ſes bien faits étranges, Veu que nous n'eſtimons mortels les deitez Sinon pour l’vſufruit de leurs vtilitez 2 Flore pour vne odeur de moiſſons diaprées, Bachus pour la liqueur de ſes grapes pourprées, Phebus pour reſpirer ſous ſon alme clarté, Et Venus pour ne voir ce monde deſerté, Ainſi de ſes preſens le iournalier vſage, Nos chams que ſon reflus fécondement rauage Qu’il ne faut abreuuez d’engraiſſer tous les ans, L’ordre de nos ſaiſons, & des âges gliſſans, Qui regle, qui diſtingue, & donne ſa venuë, L’eſté qu’il note au plein de ſa vague chenuë, L’automne à la retraite, & le printems gaillard Quand vn fleurage épais ſur les riues s’épard, Ou quand le Crocodile en cette meſme place, La geſine choiſit de ſa petite race, Ay) Tant de proprietez, tant d’ocultes effects De ſa diuinité en Egypte adorée, Et aux plus puiſſans Dieux iuſtement conferée.	IRE, l'esprit humain ne saurait trop comS prendre, Trop des secrets du Ciel son origine apendre, Et puis que ta bonté nous veut tant honorer, Que de faire du Nil les vertus déclarer, Nous le tenons un Dieu, célébrons ses langes Veu le nombre infini de ses bien faits étranges, Veu que nous n'estimons mortels les déité Sinon pour l'vsufruit de leurs vtilitez 2 Flore pour une odeur de mois diaprées, Bachus pour la liqueur de ses grapes os, Es pour la gros son alme clarté, Et Venus pour ne voir ce monde deserté, Ainsi de ses prés le iournalier vsage, Nos Ph que son reflus fécondement rauage il ne faut bu engraisser pou les ans, ordre de nos sa, et des age glissans, Qui regle, qui distingue, et donne sa venuë, esté il note au plein de sa vague chenuë, Son â la retraite, et le m gaillard Quand fleurage épais sur les riues épard, Ou quand le Crocodile en cette même place, La in choisit de sa petite race, Ay) Tant de propriété, tant ocultes effects De sa diuinité en g adorée, Et aux plus puissans Dieux iustement conferée.
HYDASPE.	HYDASPE.
Vrayment i’aprouue fort ſemblable pieté, Onques à l’homme elle n’a que profitable eſté, Nous tenons tout des Dieux, & c’eſt la moindre choſe.	Vraiment j'approuve fort semblable piété, Onques à l'homme elle n'a que profitable esté, Nous tenons tout des Dieux, et c'est la moindre chose.
Qu' vn hommage de gloire à leur grace s’oppoſe, Mais combien deuez vous aux Ethiopiens, Chez qui ſource le Nil, autheun de tant de biens?	Qu' un hommage de gloire à leur grâce s'oppose, Mais combien devez -vous aux Éthiopiens, Chez qui source le Nil, autheun de tant de biens?
Et combien deuant vous ſes merueilles connuës, De loüange auons nous enuoyé dans les nuës, Vne aparence trompe en noſtre nation N’eſt pas moins curieuſe à chercher l’origine, Moins propre à la trouuer d'vne cauſe diuine, Vos mages deſſur nous n’emportent que le bruit, Bruit qui fera ſouuent d’vn beau iour vne nuit, Mais où ſont ces captifs?	Et combien devant vous ses merveilles connues, De loüange avons nous envoyé dans les nues, Une apparence trompe en notre nation N'est pas moins curieuse à chercher l'origine, Moins propre à la trouver d'une cause divine, Vos mages -dessur nous n'emportent que le bruit, Bruit qui fera souvent d'un beau jour une nuit, Mais où sont ces captifs?
