dMmMlM dHO.	dMmlM dHO.
Que voſtre amour qui ſçait quel intereſt m’anime, S’obſtine à triompher d’un refus legitime, Et veüille que ce Frere, où l’on va m’expoſer Commence d’eſtre Roy pour me tyranniſer.	Que votre amour qui sait quel intérêt m'anime, S'obstine à triompher d'un refus légitime, Et veuille que ce Frère, où l'on va m'exposer Commence d'être Roi pour me tyranniser.
Leon a d’autres prix, dont en cette occurance, Il peut mieux honorer voſtre haute vaillance;	Léon a d'autres prix, dont en cette occurance, Il peut mieux honorer votre haute vaillance;
Et c’eſt à vos vertus faire un preſent trop bas, Que vous donner un cœur qui ne ſe donne pas.	Et c'est à vos vertus faire un présent trop bas, Que vous donner un cœur qui ne se donne pas.
Peut-on eſtre jamais ſatisfait en ſoy-meſme, Lors que par la contrainte on obtient ce qu’on aime;	Peut-on être jamais satisfait en soi-même, Lors que par la contrainte on obtient ce qu'on aime;
C’eſt un triſte avantage, & l’Amant genereux A ces conditions refuſe d’eſtre heureux;	C'est un triste avantage, et l'Amant généreux À ces conditions refuse d'être heureux;
Il ne veut rien devoir à cette violence (ce, Qu’exercent ſur nos cœurs les droits de la naiſſanEt pour l’objet qu’il aime eſt toûjours trop zelé, Pour ſouffrir qu’en victime il luy ſoit immolé;	Il ne veut rien devoir à cette violence (ce, Qu'exercent sur nos cœurs les droits de la naissanEt pour l'objet qu'il aime est toujours trop zélé, Pour souffrir qu'en victime il lui soit immolé;
Ce n’eſt pas que ce cœur au merite d’un autre Pretende reſerver ce qu’il refuſe au voſtre :	Ce n'est pas que ce cœur au mérite d'un autre Pretende réserver ce qu'il refuse au vôtre :
Non, Seigneur, j’en répons, & vous donne ma foy Que perſonne jamais n’aura pouvoir ſur moy;	Non, Seigneur, j'en réponds, et vous donne ma foi Que personne jamais n'aura pouvoir sur moi;
Qu’une ſainte retraite à toute autre pourſuite.	Qu'une sainte retraite à toute autre poursuite.
D.	D.
SYLVE.	SYLVE.
J'ay de voſtre diſcours aſſez ſouffert la ſuite, Madame, & par deux mots je vous l’euſſe épargné, Si voſtre fauſſe allarme eut ſur vous moins gagné.	J'ai de votre discours assez souffert la suite, Madame, et par deux mots je vous l'eusse épargné, Si votre fausse alarme eut sur vous moins gagné.
Je ſçay qu’un bruit commun, qui par tout ſe fait croire, De la mort du Tyran me veut donner la gloire;	Je sais qu'un bruit commun, qui par tout se fait croire, De la mort du Tyran me veut donner la gloire;
Mais le ſeul Peuple, enfin, comme on nous fait ſçavoir, Laiſſant par Dom Louis échaufer ſon devoir, A remporté l’honneur de cet acte heroïque, Dont mon nom eſtesfaige par la fuineur publique, Et	Mais le seul Peuple, enfin, comme on nous fait savoir, Laissant par Dom Louis échauffer son devoir, A remporté l'honneur de cet acte héroïque, Dont mon nom êtesfaige par la fuineur publique, Et
D’en couronner l’objet où le Ciel me renvoye, Et pouvoir reparer par ces juſtes tributs Et ce qui d’un tel bruit a fourny le ſujet, C’eſt que pour appuyer ſon illuſtre projet, Dom Louis fit ſemer par une feinte utile, Que ſecondé des miens j’avois ſaiſi la Ville, Et par cette nouvelle il a pouſſé les bras, Qui d’un uſurpateur ont haſté le trépas.	D'en couronner l'objet où le Ciel me renvoie, Et pouvoir réparer par ces justes tributs Et ce qui d'un tel bruit a fourni le sujet, C'est que pour appuyer son illustre projet, Dom Louis fit semer par une feinte utile, Que secondé des miens j'avais saisi la Ville, Et par cette nouvelle il a poussé les bras, Qui d'un usurpateur ont hâté le trépas.
I'ar ſon zele prudent il a ſçeu tout conduire, Et c’eſt par un des ſiens qu’il vient de m’en inſtruire;	J'ar son zèle prudent il a su tout conduire, Et c'est par un des siens qu'il vient de m'en instruire;
Mais dans le meſme inſtant un ſecret m’eſt appris Qui va vous étonner autant qu’il m’a ſurpris.	Mais dans le même instant un secret m'est appris Qui va vous étonner autant qu'il m'a surpris.
Vous attendez un Frere, & Leon ſon vray Maitre, A vos yeux maintenant le Ciel le fait paroiſtre.	Vous attendez un Frère, et Léon son vrai Maitre, À vos yeux maintenant le Ciel le fait paraître.
Oüy, je ſuis Dom Alphonſe, & mon ſort conſervé, Et ſous le nom du ſang de Caſtille élevé, Eſt un fameux effet de l’amitié ſincere, Qui fut entre ſon Prince, & le Roy noſtre Pere.	Oui, je suis Dom Alphonse, et mon sort conservé, Et sous le nom du sang de Castille élevé, Est un fameux effet de l'amitié sincère, Qui fut entre son Prince, et le Roy nôtre Père.
Dom Louis du ſecret a toutes les clartez, Et doit aux yeux de tous prouver ces veritez, D’autres ſoins maintenant occupent ma penſée, Non, qu’à voſtre ſujet elle ſoit traverſée.	Dom Louis du secret a toutes les clartés, Et doit aux yeux de tous prouver ces vérités, D'autres soins maintenant occupent ma pensée, Non, qu'à quelque sujet elle soit traversée.
Que ma flâme querelle un tel évenement, Et qu’en mon cœur le Frere importune l’Amant.	Que ma flamme querelle un tel événement, Et qu'en mon cœur le Frère importune l'Amant.
Mes feux par ce ſecret on receu ſans murmure, Le changement qu’en eux a preſcrit la nature;	Mes feux par ce secret ont reçu sans murmure, Le changement qu'en eux a prescrit la nature;
Et le ſang qui nous joint m’a ſi bien détaché De l’amour, dont pour vous mon cœur étoit touché, Qu’il ne reſpire plus pour faveur ſouveraine Que les cheres douceurs de ſa premiere chaîne.	Et le sang qui nous joint m'a si bien détaché De l'amour, dont pour vous mon cœur était touché, Qu'il ne respire plus pour faveur souveraine Que les chères douceurs de sa première chaîne.
Et le moyen de rendre à l’adorable Ignés, a Ce que de ſes bontez a merité l’excés;	Et le moyen de rendre à l'adorable Ignès, a Ce que de ses bontés à mérité l'excès;
Mais ſon ſort incertain rend le mien miſerable, Et ſi ce qu’on en dit ſe trouvoit veritable, En vain Leon m’apelle, & le Throſne m’attend, La Couronne n’a rien à me rendre content;	Mais son sort incertain rend le mien misérable, Et si ce qu'on en dit se trouvait véritable, En vain Léon m'appelle, et le Thrône m'attend, La Couronne n'a rien à me rendre content;
Et je n’en veux l’éclat que pour goûter la joye, L’outrage que j’ay fait à ſes rares vertus.	Et je n'en veux l'éclat que pour goûter la joie, L'outrage que j'ai fait à ses rares vertus.
Madame, c’eſt de vous que j’ay raiſon d’attendre, Ce que de ſon deſtin mon ame peut apprendre, Inſtruiſez-m’en de grace, & par voſtre diſcours, Hâtez mon deſeſpoir, ou le bien de mes jours.	Madame, c'est de vous que j'ai raison d'attendre, Ce que de son destin mon âme peut apprendre, Instruisez-m'en de grâce, et par votre discours, Hâtez mon désespoir, ou le bien de mes jours.
D.	D.
ELUIRE.	ÉLUIRE.
Ne vous étonnez pas ſi je tarde à repondre, Seigneur, ces nouveautez ont droit de me confondre Je n’entreprendray point de dire à voſtre amour, Si Done Ignes eſt morte, ou reſpire le jour;	Ne vous étonnez pas si je tarde à répondre, Seigneur, ces nouveautés ont droit de me confondre Je n'entreprendrai point de dire à votre amour, Si Done Ignès est morte, ou respire le jour;
Mais par ce Cavalier, l’un de ſes plus fideles, Vous en pourrez ſans doute apprendre des nouvelles?	Mais par ce Cavalier, l'un de ses plus fidèles, Vous en pourrez sans doute apprendre des nouvelles?
D.	D.
SYLVE, OU D.	SYLVE, OÙ D.
ALPHONSE.	ALPHONSE.
Ah!	Ah!
Madame, il m’eſt doux en ces perplexités De voir icy briller vos celeſtes beautez, Mais vous avec quels yeux verrez-vous un volage, Dont le crime.	Madame, il m'est doux en ces perplexités De voir ici briller vos célestes beautés, Mais vous avec quels yeux verrez-vous un volage, Dont le crime.
D.	D.
IGNES.	IGNÉS.
Ah!	Ah!
gardez de me faire un outrage, Et de vous haſarder à dire que vers moy, Un cœur, dont je fais cas ait pû manquer de foy;	gardez de me faire un outrage, Et de vous hasarder à dire que vers moi, Un cœur, dont je fais cas ait pu manquer de foi;
J'en refuſe l’idée, & l’excuſe me bleſſe, Rien n’a pû m’offencer auprés de la Princeſſe, Et tout ce que d’ardeur elle vous a cauſé, Par un ſi haut merite eſt aſſez excuſé.	J'en refuse l'idée, et l'excuse me blesse, Rien n'a pu m'offenser auprès de la Princesse, Et tout ce que d'ardeur elle vous a causé, Par un si haut mérite est assez excusé.
Cette flâme vers moy ne vous rend point coupable, Et dans le nobie orguen, dont je me lens capable, Sçachez ſi vous l’eſtiez, que ce ſeroit en vain, Que vous preſumeriez de flêchir mon dédain, Et qu’il n’eſt repentir, ny ſuprême puiſſance Qui gagnaſt ſur mon cœur d’oublier cette offence.	Cette flamme vers moi ne vous rend point coupable, Et dans le nobie orguen, dont je me lents capable, Sachez si vous l'étiez, que ce serait en vain, Que vous présumeriez de flêchir mon dédire, Et qu'il n'est repentir, sans suprême puissance Qui gagnât sur mon cœur d'oublier cette offense.
D.	D.
ELUIRE.	ÉLUIRE.
Mon Frere, d’un tel nom ſouffrez-moy la douceur, De quel raviſſement comblez vous une ſœur :	Mon Frère, d'un tel nom souffrez-moi la douceur, De quel ravissement comblez vous une sœur :
Que j’ayme voſtre choix, & benis l’avanture, Qui vous fait couronner une amitié ſi pure, Et de deux nobles cœtis que jainte tendremient.	Que j'aime votre choix, et bénis l'aventure, Qui vous fait couronner une amitié si pure, Et de deux nobles cœtis que jainte tendremient.
SCENE VI.	SCÈNE VI.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE, D.	ÉLUIRE, D.
IGNES.	IGNÉS.
D.	D.
DIEVD EMTOM.	DIEUD EMTOM.
D.	D.
GARCIE.	GARCIE.
E grace cachez-moy voſtre contentement.	E grâce cachez-moi votre contentement.
D Madame, & me laiſſez mourir dans la croyance, Que le devoir vous fait un peu de violence.	D Madame, et me laissez mourir dans la croyance, Que le devoir vous fait un peu de violence.
Je ſçay que de vos vœux vous pouvez diſpoſer, Et mon deſſein n’eſt pas de leur rien oppoſer, Vous le voyez aſſez, & quelle obeiſſance De vos commandemens m’arrache la puiſſance;	Je sais que de vos vœux vous pouvez disposer, Et mon dessein n'est pas de leur rien opposer, Vous le voyez assez, et quelle obéissance De vos commandements m'arrache la puissance;
Mais je vous avoüeray que cette gayeté Surprend au dépourveu toute ma fermeté;	Mais je vous avouerai que cette gaieté Surprend au dépourvu toute ma fermeté;
Et qu’un pareil objet dans mon ame fait naiſtre Un tranſport, dont j’ay peur que je ne ſois pas maiſtre, Et je me punirois, s’il m’avoit pû tirer De ce reſpect ſoûmis ou je veux demeurer.	Et qu'un pareil objet dans mon âme fait naître Un transport, dont j'ai peur que je ne sois pas maître, Et je me punirais, s'il m'avait pu tirer De ce respect soumis ou je veux demeurer.
Oüy, vos commandemens ont preſcrit à mon ame, De ſouffrir ſans éclat le malheur de ma flâme.	Oui, vos commandements ont prescrit à mon âme, De souffrir sans éclat le malheur de ma flamme.
Cet ordre ſur mon cœur doit eſtre tout puiſſant, Et je pretends mourir en vous obeïſſant;	Cet ordre sur mon cœur doit être tout -puissant, Et je prétends mourir en vous obéissant;
Mais encor une fois, la joye où je vous treuve, M'expoſe à la rigueur d’une trop rude épreuve, Er l’ame la plus ſage en ces occaſions Reſpond malaiſement de ſes émotions.	Mais encore une fois, la joie où je vous trouve, M'expose à la rigueur d'une trop rude épreuve, Er l'âme la plus sage en ces occasions Répond malaisément de ses émotions.
Madame, eſpargnez moy cette cruelle atteinte, Donnez-moy par pitié deux moments de contrainte.	Madame, épargnez -moi cette cruelle atteinte, Donnez-moi par pitié deux moments de contrainte.
Et quoy que d’un Rival vous inſpirent les ſoins, N’en rendez pas mes yeux les mal-heuteux témoins;	Et quoi que d'un Rival vous inspirent les soins, N'en rendez pas mes yeux les malheuteux témoins;
C’eſt la moindre fayeur qu’on peut je croy pretendre, Lors que dans ma diſgrace un Amant peut deſcendre;	C'est la moindre faiseur qu'on peut je crois prétendre, Lors que dans ma disgrâce un Amant peut descendre;
Je ne l’exige pas, Madame, pour long-temps, Et bien-toſt mon départ rendra vos vœux contens.	Je ne l'exige pas, Madame, pour longtemps, Et bientôt mon départ rendra vos vœux contents.
Je yais, où de ſes feux mon ame conſumée, N’apprendra voſtre Hymen que par la renommée.	Je yais, où de ses feux mon âme consumée, N'apprendra votre Hymen que par la renommée.
De ſent pas un ipectacle ou je doive courir, Madame, ſans le voir j’en ſçauray bien mourir.	De sent pas un ipectacle ou je doive courir, Madame, sans le voir j'en sçauray bien mourir.
D.	D.
IGNES.	IGNÉS.
Seigneur, permettez-moy de blâmer voſtre plainte, De vos maux la Princeſſe a ſçeu paroiſtre atteinte;	Seigneur, permettez-moi de blâmer votre plainte, De vos maux la Princesse a su paraître atteinte;
Et cette joye encor, dequoy vous murmurez Ne luy vient que des biens qui vous ſont preparez.	Et cette joie encore, dequoy vous murmurez Ne tempête vient que des biens qui vous sont préparés.
Elle goûte un ſuccez à vos deſirs proſpere, Et dans voitre Rival eſle trouve ſon Frère;	Elle goûte un succès à vos désirs prospère, Et dans voitre Rival éle trouve son Frère;
C’eſt Dom Alphonſe, enfin, dont on a tant parlé, Et ce fameux ſecret vient d’eſtre dévoilé.	C'est Dom Alphonse, enfin, dont on a tant parlé, Et ce fameux secret vient d'être dévoilé.
D.	D.
SYLVE, ou D.	SYLVE, ou D.
ALPHONSE.	ALPHONSE.
Mon cœur, graces au Ciel, aprés un long martyre, ccigneur, lans vous fen piendie a tout ce qu’il deſire, Et goûte d’autant mieux ſon bonheur en ce jour, Qu’il ſe voit en eſtat de ſervir voſtre amour.	Mon cœur, grâces au Ciel, après un long martyre, ccigneur, lans vous sen piendie a tout ce qu'il désire, Et goûte d'autant mieux son bonheur en ce jour, Qu'il se voit en état de servir votre amour.
D.	D.
GARCIE.	GARCIE.
Helas!	Hélas!
cette bonté, Seigneur, doit me confondre, A mes plus chers deſirs elle daigne répondre, Le coup que je craignois le Ciel l’a détourné, Et tout autre que moy ſe verroit fortuné;	cette bonté, Seigneur, doit me confondre, À mes plus chers désirs elle daigne répondre, Le coup que je craignais le Ciel l'a détourné, Et tout autre que moi se verrait fortuné;
Mais ces douces clartez d’un ſecret favorable, Vers l’objet adoré me découvre coupable, Et tombé de nouveau dans ces traiſtres ſoupçons, Surquoy l’on m’a tant fait d’inutiles leçons;	Mais ces douces clartés d'un secret favorable, Vers l'objet adoré me découvre coupable, Et tombé de nouveau dans ces traîtres soupçons, Surquoy l'on m'a tant fait d'inutiles leçons;
Et par qui mon ardeur ſi ſouvent odieuſe, Doit perdre tout eſpoir d’eſtre jamais heureuſe:	Et par qui mon ardeur si souvent odieuse, Doit perdre tout espoir d'être jamais heureuse:
Oüy, l’on doit me haïr avec trop de raiſon, Moy-meſme je me trouve indigne de pardon, Et quelque heureux ſuccés que le ſort me preſente, La mort, la ſeule mort, eſt toute mon attente.	Oui, l'on doit me haïr avec trop de raison, Moi-même je me trouve indigne de pardon, Et quelque heureux succès que le sort me présente, La mort, la seule mort, est toute mon attente.
