Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
Il ne m’importe pour maintenant que voſtre opinion touchant les ſonge, ſoit veritable ou fauſſe.	Il ne m'importe pour maintenant que votre opinion touchant les songe, soit véritable ou fausse.
Ce n’eſt pas mon in356 tention d’en diſputer dauantage auec vous:	Ce n'est pas mon in356 tention d'en disputer davantage avec vous:
car pour le preſent i’ay bien d’autres nouuelles à vous compter.	car pour le présent j'ai bien d'autres nouvelles à vous compter.
DEM.	DEM.
Pour ce que i’ay dict auſſi c’eſt vne choſe hors de doute, & confirmée par les opinions des plus doctes:	Pour ce que j'ai dit aussi c'est une chose hors de doute, et confirmée par les opinions des plus doctes:
mais qu’eſt-ce que tu me veux dire de nouueau?	mais qu'est-ce que tu me veux dire de nouveau?
Depeſche viſtement ie te prie.	Dépêche vite Seigneur te prie.
MOR.	MÓR.
Ce ſont des nouuelles que vous trouuerés fort eſtranges, & qui ne vous plairont gueres à mon aduis.	Ce sont des nouvelles que vous trouverez fort étranges, et qui ne vous plairont guère à mon avis.
DEM.	DEM.
Quoy?	Quoi?
me veux-tu donner l’alarme auant que le dire?	me veux-tu donner l'alarme avant que le dire?
MOR.	MÓR.
Nenny:	Nenni:
car vous l’aurés aſſés à temps apres que ie vous en auray faict le recit.	car vous l'aurez assez à temps après que je vous en aurai fait le récit.
Ie vous apprends donc ( pour ne vous tenir dauantage en haleine) que ces loups fameliques & enragés, leſquels vous auiés faict venir pour deuorer les troupeaux de l’Oreade & de ſes bergers, ont eſté n’agueres tous eſgorgés de la propre main de Pyrandre, que nous croyons ne deuoir iamais reuenir.	Je vous apprends donc ( pour ne vous tenir davantage en haleine) que ces loups faméliques et enragés, lesquels vous avez fait venir pour dévorer les troupeaux de l'Oreade et de ses bergers, ont été n'aguères tous égorgez de la propre main de Pyrandre, que nous croyons ne devoir jamais revenir.
DEM.	DEM.
De verité le faict que tu me racõtes m’apporte plus de meſcontentement, que de plaiſir:	De vérité le fait que tu me racõtes m'apporte plus de mécontentement, que de plaisir:
mais ne laiſſe pas pour cela d’ẽ pourſuiure le diſcours, & de me dire de poinct en poinct comme le tout s’eſt paſſé, ſoit que tu l’ayes veutoy-melme, ou apris par la bouche d’autruy.	mais ne laisse pas pour cela d'une poursuivre le discours, et de me dire de point en point comme le tout s'est passé, soit que tu l'aies veut-melme, ou appris par la bouche d'autrui.
MOR.	MÓR.
I'en ay eſté le ſpectateur à mon grand eſtõ.	J'en ai été le spectateur à mon grand estõ.
nement:	nement:
car certes à peine l’euſſe-ie creu ſi mes propres yeux ne m’euſſent monſtré le tout de la façon que ie m’en vay vous dire.	car certes à peine l'eusse-je cru si mes propres yeux ne m'eussent montré le tout de la façon que sans m'en vais vous dire.
Peu apres que vous eſtes ſorty pour vous aller pourmener, ie ſuis ſorty pareillement auec intẽtiõ de voir ſi ie ne rencõtrerois pas quelqu’vn qui me peuſt raconter quelque choſe du degaſt de nos loups, afin de paſſer autãt de temps au recit de ces nouueaux rauages:	Peu après que vous êtes sorti pour vous aller pourmener, je suis sorti -pareillement avec intẽtiõ de voir si grande ne rencontrerais pas quelqu'un qui me pût raconter quelque chose du dégât de nos loups, afin de passer autant de temps au récit de ces nouveaux ravages:
mais en approchant du rocher, où vous & moy nous ſommes retirés autresfois, i’ay aperceu d’aſſés loing vne trouppe de Bergers & autres persõnes qui couroiẽt peſle-meſle, & faiſoient vn eſtrange bruit.	mais en approchant du rocher, où vous et moi nous sommes retirez autrefois, j'ai aperçu d'assès loing quelque troupe de Bergers et autres personnes qui couraient pèle-mêle, et faisaient un étrange bruit.
Le deſir que i’ay eu d’abord de ſçauoir la cauſe de leur aſſẽblée m’a porté vers eux;	Le désir que j'ai eu d'abord de savoir la cause de leur assurée m'a porté vers eux;
où m’eſtant enqueſté d’où venoit ceſte foule de peuple extraordinaire, l’vn de leur trouppe m’a dict, Que ſe voyans fort vexés par certains animaux pareils à des loups, & ne ſçachans de quellefaçon en depeuple leur païs, ils s’eſtoiẽt adreſſés à l’oracle qui leur auoit dict pour reſponſe, Que s’ils deſiroient d’en venir à bout, il falloit qu’ils enuoyaſſent querir vn Paſteur demeurant en l’Iſle Ofiuze.	où m'étant enquêté d'où venait cette foule de peuple extraordinaire, l'un de leur troupe m'a dit, Que se voyant fort vexés par certains animaux pareils à des loups, et ne sachants de quellefaçon en depeuple leur pays, ils s'étaient adressés à l'oracle qui leur avait dit pour réponse, Que s'ils désiraient d’en venir à bout, il fallait qu'ils envoyassent quérir ainsi Pasteur devant en l'Île Ofiuze.
Là deſſus vn autre Berger eſtant ſuruenui Nous auons à ceſt effect, a t’il continué, delegué Aronthe vers le Paſteur ſuſdit (auec la permiſſion de noſtre belle Oreade, lequel 1 n’a pas failly de s’en venir auec luy ſelon la prediction de l’Oreade.	Là -dessus un autre Berger étant survenuie Nous avons à cet effet, a -t-il continué, délégué Aronthe vers le Pasteur susdit (avec la permission de notre belle Oreade, lequel 1 n'a pas failly de s'en venir avec a selon la prédiction de l'Oreade.
Quelque tẽps apres ſon arriuée s’eſtant vn peu rafraiſchy il s’eſt mis à faire la chaſſe à nos loups, & n’ayant à ſon ayde qu’Aronthe, & trois ou quatre de les compagnons, dont n’auoit raiteſection, il les a tous eſgorgés.	Quelque tẽps après son arrivée s'étant un peu rafraîchi il s'est mis à faire la chasse à nos loups, et n'ayant à son aide qu'Aronthe, et trois ou quatre de les compagnons, dont n'avait raitesection, il les a tous égorgés.
Ie vous laiſſe à penſer ſi le rapport de ceſte nouuelle ne m’a pas bien eſtõné:	Je vous laisse à penser si le rapport de cette nouvelle ne m'a pas bien étendre:
mais ie l’ay encore eſté dauantage, lors qu’ayant prié le Berger de me faire voir ce nouueau venu qui a ſi bien aſſommé nos beſtes, il m’a monſtré Pyrandre que nous croyons eſtre mort:	mais ainsi l'ai encore été davantage, lors qu'ayant prié le Berger de me faire voir ce nouveau venu qui a si bien assommé nos bêtes, il m'a montré Pyrandre que nous croyons été mort:
mais ie ne mets plus en doute que c’eſt luymeſme:	mais ici ne mets plus en doute que c'est luymesme:
car ie l’ay trop biẽ recognu:	car ici l'ai trop bien reconnu:
& meſme ne voulant m’aſſeurer à mon iugement, particulier:	et même ne voulant m'assurer à mon jugement, particulier:
Cõment?	Comment?
ay-je continué de dire à ce Berger) c’eſt donc la ce Pyrandre que I’on n’eſperoit iamais voir?	ai-je continué de dire à ce Berger) c'est donc la ce Pyrandre que J'on n'espérait jamais voir?
L’on ne le penſoit plus en vie, & le voylà reſuſcité neantmoins!	L'on ne le pensait plus en vie, et le voilà ressuscité néanmoins!
Le bruit de ſa mort eſtoit faux, m’a t’il repliqué, & ie m’en vay vous dire comment.	Le bruit de sa mort était faux, m'a -t-il repliqué, et ie mpren vais vous dire comment.
Vne certaine faſcherie, qu’il ne nous a iamais voulu deſcouurir, l’auoit n’agueres reduict à vn tel deſeſpoir qu’il s’eſtoit allé retirer dans vn lieu ſolitaire & deſert, pluſtoſt pour entretenir ſon ennuy que pour I’oublier.	Une certaine fâcherie, qu'il ne nous a jamais voulu découvrir, l'avait naguères réduit à un tel désespoir qu'il s'était allé retirer dans un lieu solitaire et désert, plutôt pour entretenir son ennui que pour J'oublier.
Il ne ſçauoit à quoy ſe reſoudre, & ſon mal s’empiroit tous les iours, lors qu’au plus fort de ſon afflictiõ vn bon Genie s’apparut à luy qui le tranſporta dans l’Iſle Ofiuze, & luy commanda de s’y tenir, iuſqu’à ce qu’vn de ſes compagnõs le vint trouuer.	Il ne saurait à quoi se résoudre, et son mal s'empirait tous les jours, lors qu'au plus fort de son afflictions un bon Génie s'apparut à lui qui le transporta dans l'Île Ofiuze, et lui commanda de s'y tenir, jusqu'à ce qu'un de ses compagnons le vint trouver.
Depuis, Aronthe l’ayant remmené, comme ie vous ay deſià dict, nul des noſtres ne l’a recognu qu’apres auoir tué ces beſtes hideuſes:	Depuis, Aronthe l'ayant remené, comme je vous ai déjà dit, nul des nôtres ne l'a reconnu qu'après avoir tué ces bêtes hideuses:
car outre qu’il eſtoit maſqué, il auoit encore changé d’habits.	car outre qu'il était masqué, il avait encore changé d'habits.
Ce Berger m’a laiſſé ſur la fin de ce diſcours, & s’en eſt allé au deuant d’vne trouppe de Nymphes qui s’approchoit de leur aſſemblée:	Ce Berger m'a laissé sur la fin de ce discours, et s'en est allé au devant d'une troupe de Nymphes qui s'approchait de leur assemblée:
mais comme ie les ay aperceuës, il m’a pris encore enuie de ſçauoir le ſuject qui les amenoit:	mais comme ici les ai aperçues, il m'a pris encore envie de Savoir le sujet qui les amenait:
de ſorte que m’eſtant aduancé i’ay veu que c’eſtoitl’Oreade & ſa cõpagnie ordinaire.	de sorte que m'étant avancé j'ai vu que c'estoitl’Oreade et sa compagnie ordinaire.
D’abord toute la trouppe s'eit approchée pour luy faire la reuerence;	D'abord toute la troupe s'éit approchée pour lui faire la révérence;
& Pyrandre l’a ſaluée toutle premier, luy tenant vn ſemblable diſcours.	et Pyrandre l'a saluée toutle premier, Elle tenant un semblable discours.
Belle Nymphe, voicy voſtre Pyrandre que les Dieux vous ont ramené apres que par leur ſouueraine puiſſance, il leur a pleu de le retirer des embuſches que les malheurs luy auoient dreſſées, pour le priuer à iamais de l’obiect de voſtre agreable preſence.	Belle Nymphe, voici autre Pyrandre que les Dieux vous ont ramené après que par leur souveraine puissance, il leur a plu de le retirer des embûches que les malheurs avait avait dressées, pour le priver à jamais de l'objet de votre agréable présence.
S’il eſt ainſi que voſtre colere s’obſtine encore contre luy, & que ſes raiſonsioinctes à ſon innocence ne ſoient aſſez fortes pour Vous la faire paſſer, il vous prie proſterné à vos pieds de chãger l’amertume de ſa vie en vne douce mort, laquelle luy ſera beaucoup plus ſupportable que ſe deſplaiſir de ſe voir priué de l’honneur de voſtre affection.	S'il est ainsi que votre colère s'obstine encore contre plais, et que ses raisonsiointes à son innocence ne soient assez fortes pour Vous la faire passer, il vous prie prosterné à vos pieds de changer l'amertume de sa vie en une douce mort, laquelle lui sera beaucoup plus supportable que se déplaisir de se voir privé de l'honneur de votre affection.
Voylà le contenu des diſcours de Pyrandre à l’Oreade, auquel elle a reſpondu:	Voilà le contenu des discours de Pyrandre à l'Oreade, auquel elle a répondu:
Cher Pyrandre, ie vous demande pardon de 352 ma faute, ou pluſtoſt de mon erreur, & à celle fin que voſtre cœur offencé trouue moins d’irreſolution à m’accorder ceſte grace, repreſentez-vous s’il vous plaiſt que la perſonne du monde la plus prudente euſt eſté deceuë auſſi bien que moy en l’affaire dont il.	Cher Pyrandre, je vous demande pardon de 352 ma faute, ou plutôt de mon erreur, et à celle fin que votre cœur offensé trouve moins d'irrésolution à m'accorder cette grâce, représentez-vous s'il vous plaît que la personne du monde la plus prudente eût été déçue aussi bien que moi en l'affaire dont il.
s’agit:	s'agit:
car noſtre honneur eſtant vn threſor que nous deuons cherir plus que toute autre richeſſe ie ne pouuois ſelon les Ioix du deuoir vous traicter autrement que ie feis.	car notre honneur étant un trésor que nous devons chérir plus que toute autre richesse personne ne pouvais selon les Joix du devoir vous traiter autrement que je feis.
Que ſi vous n’auiés apris deſià par la bouche d’Aronthe, de quelle façon luy & Cleãthe deſcouurirent l’impoſture du meſchant Demonace, ie vous en ferois le recit:	Que si vous n'aurez appris déjà par la bouche d'Aronthe, de quelle façon esprit et Cleãthe découvrirent l'imposture du méchant Démonace, je vous en ferais le récit:
mais il ſuffit que voꝰ le ſçachiés, & que vous m’obligiés de tant deſormais, que de viure auec moy, comme vous aués faict cy-deuant.	mais il suffit que voù le sachiez, et que vous m'obligiez de tant désormais, que de vivre avec moi, comme vous avez fait cy-deuant.
Pyrandre n’a pas failly de luy reſpondre ſoudain, mais les acclamations que toute la trouppe a données aux paroles de l’Oreade m’ont empeſché d’ouïr ſa replique.	Pyrandre n'a pas failli de Seigneur répondre soudain, mais les acclamations que toute la troupe a données aux paroles de l'Orède m'ont empêché d'ouïr sa replique.
I’eſtois ſur le point de m’en reuenir, lors que voyant arriuer vn vieil caualien, fort braue & ſuiuy de deux hommes, ie me ſuis reſolu d’attendre encore vn peu pour taſcher d’apprendre la cauſe de ſon arriuée, eſtant bien certain qu’il n’eſtoit pas venu là ſans ſuiect.	J'étais sur le point de m'en revenir, lors que voyant arriver un vieil cavalien, fort brave et suivi de deux hommes, sans me suis résolu d'attendre encore un peu pour tâcher d'apprendre la cause de son arrivée, étant bien certain qu'il n'était pas venu là sans sujet.
En meſme temps nous ayant abordés fort courtoiſemẽt:	En même temps nous ayant abordés fort courtoisemment:
meſſieurs, nous a t’il demandé, n’eſt-ce pas icy le mõt Olympe de l’Iſle de Cypre?	messieurs, nous a -t-il demandé, n'est-ce pas ici le mont Olympe de l'Île de Cypre?
