AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
C’eſt trop d’honneur que vous luy faites, Monſieur.	C'est trop d'honneur que vous Seigneur faites, Monsieur.
Je vous.	Je vous.
D.	D.
JUAN.	JUAN.
Et le petit Colin fait-il toûjours bien du bruit avec ſon tambour?	Et le petit Colin fait-il toujours bien du bruit avec son tambour?
Mr DIMANCHE.	Mr DIMANCHE.
Toûjours de meſme, Monſieur.	Toujours de même, Monsieur.
Je.	Je.
D.	D.
JUAN.	JUAN.
Et voſtre petit chien Bruſquet?	Et votre petit chien Brusquet?
gronde t-il toûjours auſſi foft, & mord-il toûjours bien aux jambes les gens qui vont chez vous?	gronde toujours-il toujours aussi fofait, et mord-il toujours bien aux jambes les gens qui vont chez vous?
Mr DIMANCHE.	Mr DIMANCHE.
Pius que jamais, Monneur, ce nous ne ſçaurions en chevir.	Pius que jamais, Monneur, ce nous ne saurions en chevir.
D.	D.
JUAN.	JUAN.
Ne vous eſtonnez pas ſi je m’informe des nouvelles de toute la famille, car j’y prends beaucoup d’intereſt.	Ne vous étonnez pas si je m'informe des nouvelles de toute la famille, car j'y prends beaucoup d'intérêt.
Mr DIMANCHE.	Mr DIMANCHE.
Nous vous ſommes, Monſieur, infiniment obligez.	Nous vous sommes, Monsieur, infiniment obligez.
Je.	Je.
D.	D.
JOAN luy tendant la main.	JOAN beau tendant la main.
Touchez donc là, Monſieur Dimanche.	Touchez donc là, Monsieur Dimanche.
Eſtes- vous bien de mes amis?	Êtes- vous bien de mes amis?
Mr DIMANCHE.	Mr DIMANCHE.
Monſieur, je ſuis voſtre ſerviteur.	Monsieur, je suis votre serviteur.
D.	D.
JOnIV.	JOnIV.
Parbleu, je ſuis à vous de tout mon cœur.	Parbleu, je suis à vous de tout mon cœur.
Mr DIMANCHE.	Mr DIMANCHE.
Vous m’honorez trop.	Vous m'honorez trop.
Je.	Je.
D.	D.
JUAN.	JUAN.
Il n’y a rien que je ne fiſſe pour vous.	Il n'y a rien que je ne fisse pour vous.
Mr DIMANCHE.	Mr DIMANCHE.
Monneur, vous avez dop de bonté peur moy.	Monneur, vous avez dop de bonté peur moi.
D.	D.
JUAN.	JUAN.
Et cela ſans intereſt, je vous prie de le croire.	Et cela sans intérêt, je vous prie de le croire.
Mr DIMANCHE.	Mr DIMANCHE.
Je n’ay point merité cette grace aſſurément, mais, Monſieur.	Je n'ai point mérité cette grâce assurément, mais, Monsieur.
D.	D.
JUAN.	JUAN.
Oh, ça, Monſieur Dimanche, ſans façon, voulel-vous louper avee Moy ?	Oh, ça, Monsieur Dimanche, sans façon, voule-vous louper avee Moi ?
Mr DIMANCHE.	Mr DIMANCHE.
Non, Monſieur, il faut que je m’en retourne tout à l’heure.	Non, Monsieur, il faut que je m'en retourne tout à l'heure.
Je.	Je.
D.	D.
JUAN ſe levant.	JUAN se levant.
Allons, viſte un flambeau pour conduire Monſieur Dimanche, & que quatre ou cinq de mes gens prennent des mouiquetons pour l’eſcorter.	Allons, vite un flambeau pour conduire Monsieur Dimanche, et que quatre ou cinq de mes gens prennent des mouiquetons pour l'escorter.
Mr DIMANCHE ſe levant de meſme.	Mr DIMANCHE se levant de même.
Monſieur, il n’eſt pas neceſſaire, & je m’en iray bien tout ſeul.	Monsieur, il n'est pas nécessaire, et je m'en irai bien tout seul.
Mais.	Mais.
Sganarelle oſte les ſieges promptement.	Séganarelle ôte les sièges promptement.
D.	D.
JUAN.	JUAN.
Comment?	Comment?
je veux qu’on vous eſcorte, & je m’intereſſe trop à voſtre perſonne, je ſuis voſtre ſerviteur, & de plus voſtre debiteur.	je veux qu'on vous escorte, et je m'intéresse trop à votre personne, je suis votre serviteur, et de plus votre débiteur.
2	2
Mr DIMANCHE.	Mr DIMANCHE.
Ain y Mondeur	Ain y Mondeur
D.	D.
JUAN.	JUAN.
Ceit une chole que je ne cache pas, & je le dis à tout le monde.	Ceit une chole que je ne cache pas, et je le dis à tout le monde.
Si.	Si.
Mr DIMANCHE.	Mr DIMANCHE.
D.	D.
JUAN.	JUAN.
Voulez-vous que je vous reconduiſe?	Voulez-vous que je vous reconduise?
Mr DIMANCHE.	Mr DIMANCHE.
Ah, Monſieur, vous vous moquez.	Ah, Monsieur, vous vous moquez.
Monſieur.	Monsieur.
D.	D.
JUAN.	JUAN.
Embraſſez-moy donc, s’il vous plaiſt, je vous prie encore une fois d’eſtre perſuadé que je ſuis tout à vous, & qu’il n’y a rien au monde que je ne fiſſe pour voſtre ſervice.	Embrassez-moi donc, s'il vous plaît, je vous prie encore une fois d'être persuadé que je suis tout à vous, et qu'il n'y a rien au monde que je ne fisse pour votre service.
Il ſort.	Il sort.
SGANARELLE.	SGANARELLE.
Il faut avoüer que vous avez en Monſieur un R iij hoimne qui vous aime blen.	Il faut avouer que vous avez en Monsieur un R ij hoimne qui vous aime blen.
Mr DIMANCHE.	Mr DIMANCHE.
Il eſt vray, il me fait tant de civilitez & tant de complimens que je ne ſçaurois jamais luy demander de l’argent.	Il est vrai, il me fait tant de civilités et tant de compliments que je ne saurais jamais deux demander de l'argent.
SGANARELLE.	SGANARELLE.
Je vous aſſure que toute ſa maiſon periroit pour vous, & je voudrois qu’il vous arrivaſt quelque choſe, que quelqu’un s’aviſaſt de vous donner des coups de baſton, vous verriez de quelle maniere.	Je vous assure que toute sa maison périrait pour vous, et je voudrais qu'il vous arrivât quelque chose, que quelqu'un s'avisât de vous donner des coups de bâton, vous verriez de quelle manière.
Mr DIMANCHE.	Mr DIMANCHE.
Je le croy, mais, Sganarelle, je vous prie de luy dire un petit mot de mon argent.	Je le crois, mais, Séganarelle, je vous prie de lui dire un petit mot de mon argent.
SGANARELLE.	SGANARELLE.
Oh, ne vous mettez pas en peine.	Oh, ne vous mettez pas en peine.
Il vous payera le mieux du monde.	Il vous payera le mieux du monde.
M.	M.
DIMANCHE.	DIMANCHE.
Mais vous, Sganarelle, vous me devez quelque choſe en voſtre particulier.	Mais vous, Séganarelle, vous me devez quelque chose en votre particulier.
SUANARELLE.	SUANARELLE.
Fy, ne parlez pas de cela.	Fi, ne parlez pas de cela.
Mr DIMANCHE.	Mr DIMANCHE.
Comment?	Comment?
je.	je.
SGANARELLE.	SGANARELLE.
Ne ſçais-je pas bien que je vous dois.	Ne sçais-je pas bien que je vous dois.
M DIMANCIIE.	M MIMANCIIE.
Oüy, mais.	Oui, mais.
SGANARELLE.	SGANARELLE.
Allons, Monſieur Dimanche, je vais vous éclairer.	Allons, Monsieur Dimanche, je vais vous éclairer.
Mr DIMANCHE.	Mr DIMANCHE.
Mais mon argent.	Mais mon argent.
SGANARELLE prenant Monſieur Dimanche par le bras.	SGANARELLE prenant Monsieur Dimanche par le bras.
Vous moquez-vous?	Vous moquez-vous?
Mr DIMANCHE.	Mr DIMANCHE.
Je veux.	Je veux.
M0	M0
SGENE IV.	SGENE IV.
D.	D.
LOUIS, D.	LOUIS, D.
JUAN, LA VIOLETE, SGANARELLE.	JUAN, LA VIOLETE, SGANARELLE.
LA VIOLETE.	LA VIOLETE.
rOnſieur, voila Monſieur voſtre pere.	rOnsieur, voilà Monsieur votre père.
M D.	M D.
JUAN.	JUAN.
Ah, me voicy bien, il me falloit cette viſité pour me faire enrager.	Ah, me voici bien, il me fallait cette visité pour me faire enrager.
D.	D.
LOUIS.	LOUIS.
Je vois bien que je vous embaraſſe, & que vous vous paſſeriez fort aiſement de ma venuë.	Je vois bien que je vous embarrasse, et que vous vous passeriez fort aisément de ma venue.
A dire vray, nous nous incommodons eſtrangement l’un & l’autre, & ſi vous eſtes las de me voir, je ſuis bien las auſſi de vos déportemens.	À dire vrai, nous nous incommodons étrangement aun de vos déportements. et si vous êtes las de me voir, je suis bien las aussi de vos déportements.
Helas, que nous ſçavons peu ce que nous faiR iiij ſons, quand nous ne laiſſons pas au Ciel le ſoin des choſes qu’il nous faut, quand nous voulons eſtre plus aviſez que luy, & que nous venons à l’importuner par nos ſouhaits aveugles, & nos demandes inconſiderées!	Hélas, que nous savons peu ce que nous faitR jijà sons, quand nous ne laissons pas au Ciel le soin des choses qu'il nous faut, quand nous voulons être plus avisez que mille, et que nous venons à l'importuner par nos souhaits aveugles, et nos demandes inconsidérées!
j’ay ſouhaité un fils avec des ardeurs nompareilles, je l’ay demandé ſans relaſche avec des tranſports incroyables, & ce fils que j’obtiens, en fatiguant le Ciel de vœux, eſt le chagrin & le ſupplice de certe vie meſme dont je croyois qu’il devoit eſtre la joye & la convous que je puiſſe voir cét amas d’actions indignes dont on a peine aux yeux du monde d’adoucir le mauvais viſage, cette ſuite continuelle de méchantes affaires, qui nous reduiſent à toutes heures à laſſer les bontez du Souyerain, & qui ont épuiſé auprés de luy le merite de mes ſervices, & le credit de mes amis?	j'ai souhaité un fils avec des ardeurs nompareilles, je l'ai demandé sans relâche avec des transports incroyables, et ce fils que j'obtiens, en fatiguant le Ciel de vœux, est le chagrin et le supplice de certe vie même dont je croyais qu'il devait être la joie et la convous que je puisse voir cet amas d'actions indignes dont on a peine aux yeux du monde d'adoucir le mauvais visage, cette suite continuelle de méchantes affaires, qui nous réduisent à toutes heures à lasser les bontés du Souyerain, de mess du épuisé auprès de lui le me de mes rite, et le crédit de mes amis?
ah, quelle baſſeſſe eſt la voſtre!	ah, quelle bassesse est la vôtre!
ne rougiſſez-vous point de meriter ſi peu voſtre naiſſance?	ne rougissez-vous point de mériter si peu votre naissance?
eſtes-vous en droit, dites moy, d’en tirer quelque vanité?	êtes-vous en droit, dites -moi, d'en tirer quelque vanité?
Et qu’avez-vous fait dans le monde pour eſtre Gentilhomme?	Et qu'avez-vous fait dans le monde pour être Gentilhomme?
croyez-vous qu’il ſuffiſe d’en porter le nom & les armes, & que ce nous ſoit une gloire d’eſtre ſorty d’un ſang noble, lors que nous vivons en infames?	croyez-vous qu'il suffise d'en porter le nom et les armes, et que ce nous soit une gloire d'être sorti d'un sang noble, lors que nous vivons en infâmes?
non, non, la naiſſance n’eſt rien où la vertu n’eſt pas.	non, non, la naissance n'est rien où la vertu n'est pas.
Auſſi nous n’avons part à la gloire de nos Anceſtres, qu’autant que nous nous efforçons de leur reſſembler, & cét éclat de leurs actions qu’ils répandent ſur nous, nous impoſe un engagement de leur faire le meſme honneur, de ſuivre les pas qu’ils nous tracent, & de ne point degenerer de leurs vertus, ſi nous voulons eſtre eſtimez leurs veritables deſcendans.	Aussi nous n'avons part à la gloire de nos Ancêtres, qu'autant que nous nous efforçons de leur ressembler, et cet éclat de leurs actions qu'ils répandent sur nous, nous impose un engagement de leur faire le même honneur, de suivre les pas qu'ils nous tracent, et de ne point dégénérer de leurs vertus, si nous voulons être estimés leurs véritables descendans.
Ainſi vous deſcendez en vain des Ayeux dont vous eſtes né, ils vous deſavoüent pour leur ſang, & tout ce qu’ils ont fair d’illuſtre ne vous donne aucun avantage, au contraire, l’éclat n’en rejallit ſur vous qu’à voſtre deshonneur, & leur gloire eſt un flambeau qui écaire aux yeux d’un chacun la honte de vos actions.	Ainsi vous descendez en vain des Aïeux dont vous êtes né, ils vous désavouent pour leur sang, et tout ce qu'ils ont fair d'illustre ne vous donne aucun avantage, au contraire, l'éclat n'en rejaillit sur vous qu'à votre déshonneur, et leur gloire est un flambeau qui écaire aux yeux d'un chacun la honte de vos actions.
Apprenez enfin qu’un Gentilhomme qui vit mal, eſt un monſtre dans la nature, que la vertu eſt le premier titre de Nobleſſe, que je regarde bien moins au nom qu’on ſigne, qu’aux actions qu’on fait, & que je ferois plus d’eſtat du nis d’un Crocheteur, qui ſeroit honneſte homme, que du fils d’un Monarque qui vivroit comme vous.	Apprenez enfin qu'un Gentilhomme qui vit mal, est un monstre dans la nature, que la vertu est le premier titre de Noblesse, que je regarde bien moins au nom qu'on signe, qu'aux actions qu'on fait, et que je ferais plus d'état du nis d'un Crocheteur, qui serait honnête homme, que du fils d'un Monarque qui vivrait comme vous.
11	11
D.	D.
JUAN.	JUAN.
Monſieur, ſi vous eſtiez aſſis, vous en ſeriez mieux pour parler.	Monsieur, si vous étiez assis, vous en seriez mieux pour parler.
D.	D.
LOUIS.	LOUIS.
Non, inſolent, je ne veux point m’aſſeoir, ny parler davantage, & je vois bien que toutes mes paroles ne ſont rien ſur ton ame;	Non, insolent, je ne veux point m'asseoir, ni parler davantage, et je vois bien que toutes mes paroles ne sont rien sur ton âme;
mais ſçache, fils indigne, que la tendreſie paternelle eſt pouſſée à bout par tes actions, que je ſçauray, pluſtoſt que tu ne penſe, mettre une borne à tes déreglemens, prevenir ſur toy le courroux du Ciel, & laver par ta punition la honte de t’avoir fait naiſtre, a ſort.	mais sache, fils indigne, que la tendresie paternelle est poussée à bout par tes actions, que je saurai, plutôt que tu ne pense, mettre une borne à tes dérèglements, prévenir sur toi le courroux du Ciel, et laver par ta punition la honte de t'avoir fait naître, a sort.
SCENE V.	SCÈNE V.
D.	D.
JUAN, SOANARELLE.	JUAN, SOANARELLE.
5104 4016 D.	5104 4016 D.
JUAN.	JUAN.
H, mourez le plûtoſt que vous pourrez, c’eſt Ele mieux que vous puiſſiez faire.	H, mourez le plutôt que vous pourrez, c'est Éle mieux que vous puissiez faire.
Il faut que chacun ait ſon tour, & Jenrage de voir des peres qui vivent autant que leurs fils.	Il faut que chacun ait son tour, et Jenrage de voir des pères qui vivent autant que leurs fils.
It ſe met dans fon fauteüil.	It se met dans son fauteüil.
SGANARELLE.	SGANARELLE.
Ah, Monſieur, vous avez tort.	Ah, Monsieur, vous avez tort.
D.	D.
JUAN.	JUAN.
J'ay tort?	J'ai tort?
SANARELLE.	SANARELLE.
Monſieur.	Monsieur.
D.	D.
JUAN ſe leve de ſon ſiege.	JUAN se lève de son siège.
J’ay tort?	J'ai tort?
SGANARELLE.	SGANARELLE.
Oüy, Monſieur, vous avez tort d’avoir ſouffert ce qu’il vous a dit, & vous le deviez mettre dehors par les épaules.	Oui, Monsieur, vous avez tort d'avoir souffert ce qu'il vous a dit, et vous le deviez mettre dehors par les épaules.
A-t-on jamais rien veu de plus impertinent?	A-t-on jamais rien vu de plus impertinent?
un pere venir faire des remontrances à ſon fils, & luy dire de corriger ſes actions, de ſe reſſouvenir de ſa naiſſance, de mener une vie d’honneſte homme, & cent autres ſottiſes de pareille nature.	un père venir faire des remontrances à son fils, et lui parler de corriger ses actions, de se ressouvenir de sa naissance, de mener une vie d'honnête homme, et cent autres sottises de pareille nature.
Cela ſe peut-il ſouffrir à un homme comme vous, qui ſçavez comme il faut vivre?	Cela se peut-il souffrir à un homme comme vous, qui savez comme il faut vivre?
J’admire voſtre patience, & fi j’avois eſté en voſtre place, je l’aurois envoyé 203 promener.	J'admire votre patience, et fi j'avais été en votre place, je l'aurais envoyé 203 promener.
O complaiſance maudite, à quoy me réduis-tu?	Ô complaisance maudite, à quoi me réduis-tu?
D.	D.
JUAN.	JUAN.
Me fera-t-on ſouper bien-toſt?	Me fera-t-on souper bientôt?
SCENE VI.	SCÈNE VI.
D JOAN, D.	DO JON, D.
ELVIRE, IGIGOTIN.	ÉLVIRE, IGIGOTIN.
SGANARELLE.	SGANARELLE.
RAGOTIN.	RAGOTIN.
Onſieur, voicy une Dame voilée qui vieut NI vous parler.	Onsieur, voici une Dame voilée qui vieut NI vous parler.
Da yoANC.	Da yoANC.
Que pourroit-ce eſtre?	Que pourrait-ce être?
SGANARELLE.	SGANARELLE.
Il faut voir.	Il faut voir.
D.	D.
ELVIRE.	ELVIRE.
Ne ſoyez point ſurpris, D.	Ne soyez point surpris, D.
Juan, de me voir à cette heure & dans cét équipage.	Juan, de me voir à cette heure et dans cet équipage.
C’eſt un motif preſſant qui m’oblige à cette viſite, & ce que j’ay à vous dire ne veut point du tout de retardement.	C'est un motif pressant qui m'oblige à cette visite, et ce que j'ai à vous dire ne veut point du tout de retardement.
Je ne viens point icy pleine de ce couroux que j’ay tantoſt fait éclater, & vous me voyez bien changée de ce que j’eſtois ce matin.	Je ne viens point ici pleine de ce courroux que j'ai tantôt fait éclater, et vous me voyez bien changée de ce que j'étais ce matin.
Ce n’eſt plus cette D.	Ce n'est plus cette D.
Elvire qui faiſoit des vœux con, tre vous, & dont l’ame irritée ne jettoit que menaces, & ne reſpiroit que vangeance.	Élvire qui faisait des vœux con, tre vous, et dont l'âme irritée ne jetait que menaces, et ne respirait que vengeance.
Le Ciella banny de mon ame toutes ces indignes ardeurs que je ſentois pour vous, tous ces tranſports tumultueux d’un attachement criminel, tous ces	Le Ciella banni de mon âme toutes ces indignes ardeurs que je sentais pour vous, tous ces transports tumultueux d'un attachement criminel, tous ces
honteux emportemens d’un amour terreſtre & groſſier, & il n’a laiſſé dans mon cœur pour vous qu’une flâme épurée de tout le commerce des ſens, une tendreſſe toute ſainte, un amour détaené de tout, qui n'agie pomt pour ſoy, & ne ſe	honteux emportements d'un amour terrestre et grossier, et il n'a laissé dans mon cœur pour vous qu'une flamme épurée de tout le commerce des sens, une tendresse toute sainte, un amour détaené de tout, qui n'agie pompt pour soi, et ne se
