M DC LXIX.	M MC LXIX.
vous y retournez!	vous y retournez!
Je vous ajuſteray l’échine.	Je vous ajusterai l'échine.
*SIE.	*SIE.
Helas!	Hélas!
brave, & genereux Moy, Modere-toy, je t’en ſuplie.	brave, et généreux Moi, Modere-toi, je t'en suplie.
Soſie, épargne un peu Soſie;	Sosie, épargne un peu Sosie;
Et ne te plais point tant à fraper deſſus toy.	Et ne te plais point tant à frapper dessus toi.
MERCURE.	MERCURE.
Qui de t’appeller de ce Nom, A pû te donner la licence?	Qui de t'appeler de ce Nom, A pu te donner la licence?
Ne t’en ay-je pas fait une expreſſe defence, Sous peine d’eſſuyer mille coups de Baſton?	Ne t'en ai-je pas fait une expresse défense, Sous peine d'essuyer mille coups de Bâton?
OSIE.	OSIE.
C’eſt un Nom, que tous deux nous pouvons à la fois Poſſeder ſous un même Maiſtre.	C'est un Nom, que tous deux nous pouvons à la fois Posséder sous un même Maître.
Pour Soſie, en tous lieux, on ſçait me reconnoiſtre:	Pour Sosie, en tous lieux, on sais me reconnaître:
Je ſouffre bien que tu le ſois;	Je souffre bien que tu le sois;
Souffre auſſi, que je le puiſſe eſtre.	Souffre aussi, que je le puisse être.
Laiſſons aux deux Amphitryons, Faire éclater des jalouſies;	Laissons aux deux Amphitryons, Faire éclater des jalousies;
El pariny leurs conitentions, Faiſons en bonne paix, vivre les deux Soſies.	Él pariny leurs conitentions, Faisons en bonne paix, vivre les deux Sosies.
MERCURE.	MERCURE.
Non, c’eſt aſſez d’un ſeul;	Non, c'est assez d'un seul;
& je ſuis obſtiné, A ne point ſouffrir de partage.	et je suis obstiné, À ne point souffrir de partage.
SIE.	SIE.
Du pas devant, ſur moy, tu prendras l’avantage, je ieray le cadet, & tu ſeras l’Aiſné.	Du pas devant, sur moi, tu prendras l'avantage, je jerai le cadet, et tu seras l'Aîné.
MERCURE.	MERCURE.
Non, un Frere incommode, & n’eſt pas de mon gouſt;	Non, un Frère incommode, et n'est pas de mon goût;
Et je veux eſtre Fils unique.	Et je veux être Fils unique.
OSTE.	ÔTE.
O Cœur barbare & tyrannique!	Ô Cœur barbare et tyrannique!
Souffre qu’au moins je ſois ton Ombre.	Souffre qu'au moins je sois ton Ombre.
i lRee l ſ.	y lRée l s.
Point du tout.	Point du tout.
SIE.	SIE.
Que d’un peu de pitié ton Ame s’humaniſe.	Que d'un peu de pitié ton Âme s'humanise.
En cette qualité ſouffre-moy prés de toy.	En cette qualité souffre-moi près de toi.
Je te ſeray par tout une Ombre ſi ſoûmiſe, Que tu ſeras content de moy.	Je te serai par tout une Ombre si soumise, Que tu seras content de moi.
MERCURE.	MERCURE.
Point de quaitier:	Point de quaitier:
Miiuauie eſt la Loy.	Miiuauie est la Loi.
Si d’entrer là-dedans, tu prens encor l’audace, Mille coups en ſeront le fruit.	Si d'entrer là-dedans, tu prends encor l'audace, Mille coups en seront le fruit.
OSTE.	ÔTE.
Las!	Las!
à quelle étrange diſgrace, Pau vie bone, eo tu feduit?	à quelle étrange disgrâce, Pau vie bone, eo tu séduit?
MERCURE.	MERCURE.
Quoy!	Quoi!
ta bouche ſe licencie, A te donner encor un Nom, que je defens?	ta bouche se licencie, À te donner encor un Nom, que je défends?
OSIE.	OSIE.
Non, ce n’eſt pas moy que j’entens;	Non, ce n'est pas moi que j'entends;
Et je parle d’un vieux Soſie, Qui fut jadis de mes Parens;	Et je parle d'un vieux Sosie, Qui fut jadis de mes Parents;
Qu avee nes grande ourome, A l’heure du Diſné, l’on chaſſa de ceans.	Qu avee nés grande ourome, A l'heure du Disné, l'on chassa de céans.
MERCURE.	MERCURE.
Prens garde de tomber dans cette freneſie;	Prends garde de tomber dans cette frénésie;
Si tu veux demeurer au nombre des vivans.	Si tu veux demeurer au nombre des vivants.
OSTE.	ÔTE.
Que je te roſſerois, ſi j’avois du courage, Double Fils-de-Putain, de trop d’orgueil enflé !	Que je te rosserais, si j'avais du courage, Double Fils-dePutain, de trop d'orgueil enflé !
MER	MER
Que dis-tu?	Que dis-tu?
MERCURE.	MERCURE.
Rien.	Rien.
SOSIE.	SOSIE.
MERCURE.	MERCURE.
Tu tiens, je croy, quelque langage.	Tu tiens, je crois, quelque langage.
SOSIE.	SOSIE.
Demandez, je n’ay pas ſoufflé.	Demandez, je n'ai pas soufflé.
MERCURE.	MERCURE.
Certain mot de Fils-de-Putain, A pourtant frape mon oreme:	Certain mot de Fils-de-Putain, A pourtant frappe mon âme:
Il n’eſt rien de plus certain.	Il n'est rien de plus certain.
PITER.	PITER.
C’eſt donc un Perroquet, que le beau temps réveille.	C'est donc un Perroquet, que le beau temps réveille.
ui a n a o le ls.	Oui a n à ô le ls.
Adieu.	Adieu.
Lors que le Dos pourra te démanger, Voila l’Endroit, où je demeure.	Lors que le Dos pourra te démanger, Voilà l'Endroit, où je demeure.
STE.	SITE.
O Ciel!	Ô Ciel!
que l’heure de manger, Pour eſtre mis dehors, eſt une maudite heure!	que l'heure de manger, Pour être mis dehors, est une maudite heure!
Allons, cedons au Sort dans noſtre affliction.	Allons, cédons au Sort dans notre affliction.
Suivons-en aujourd’huy l’aveugle fantaiſie;	Suivons-en aujourd'hui l'aveugle fantaisie;
Et par une juſte union, Joignons le malheureux Soſie, Au malheureux Amphitryon.	Et par une juste union, Joignons le malheureux Sosie, Au malheureux Amphitryon.
Je l’apperçois venir en bonne compagnie.	Je l'aperçois venir en bonne compagnie.
SCENE VII.	SCÈNE VII.
AMPHITRYON, ARGATIPHONTIDAS, POSICLES, SOSIE.	AMPHITRYON, ARGATIPHONTIDAS, POSICLES, SOSIE.
AMPHITRYON.	AMPHITRYON.
A Rreſtez-là, Meſſieurs.	À Rrestez-là, Messieurs.
Suivez nous d’un peu loin;	Suivez nous d'un peu loin;
AI Et n’avancez tous, je vous prie, Que quand il en ſera beſoin.	AI Et n'avancez tous, je vous prie, Que quand il en sera besoin.
OSICLES.	OSICLES.
Je comprens que ce coup doit fort toucher voſtre Ame.	Je comprends que ce coup doit fort toucher votre Âme.
D4 AM	D4 AM
A MPHITRYON.	À MPHITRYON.
Ah!	Ah!
de tous les coſtez, mortelle eſt ma douleur!	de tous les côtés, mortelle est ma douleur!
Et je ſouffre pour ma flame, Autant que pour mon honneur.	Et je souffre pour ma flamme, Autant que pour mon honneur.
POSLCLES.	POSLCLES.
Si cette Reſſemblance eſt telle que l’on dit, Alcméne, ſans eſtre coupable.	Si cette Ressemblance est telle que l'on dit, Alcméne, sans être coupable.
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
ſur le fait dont il s’agit, L’erreur ſimple devient un crime veritable, Et ſans conſentement, l’Innocence y perit.	sur le fait dont il s'agit, L'erreur simple devient un crime véritable, Et sans consentement, l'Innocence y périt.
De ſemblables erreurs, quelque jour qu’on leur donne, Touchent des endroits delicats:	De semblables erreurs, quelque jour qu'on leur donne, Touchent des endroits délicats:
Et la Raiſon bien ſouvent les pardonne;	Et la Raison bien souvent les pardonne;
Que l’Honneur, & l’Amour, ne les pardonnent pas.	Que l'Honneur, et l'Amour, ne les pardonnent pas.
ARGATIPHONTIDAS.	ARGATIPHONTIDAS.
Je n’embaraſſe point là-dedans ma penſée:	Je n'embarrasse point là-dedans ma pensée:
Mais je hais vos Meſſieurs, de leurs honteux delais;	Mais je hais vos Messieurs, de leurs honteux délais;
Et c’eſt un procedé, dont j’ay l’Ame bleſſée;	Et c'est un procédé, dont j'ai l'Âme blessée;
Et que les Gens de cœur n’approuveront jamais.	Et que les Gens de cœur n'approuveront jamais.
Quand quelqu’un nous employe, on doit, teſte baiſSe jetter dans ſes intereſts.	Quand quelqu'un nous emploie, on doit, tête baisSe jeter dans ses intérêts.
Argatiphontidas ne va point aux accords.	Argatiphontidas ne va point aux accords.
Ecouter d’un Amy raiſonner l’adverſaire, (ſée, Pour des Hommes d’honneur, n’eſt point un coup à faire :	Écouter d'un Ami raisonner l'adversaire, (sée, Pour des Hommes d'honneur, n'est point un coup à faire :
Il ne faut écouter que la vangeance alors.	Il ne faut écouter que la vengeance alors.
Le procés ne me ſçauroit plaire;	Le procès ne me saurait plaire;
Et l'on doit commencer toujours dans ſes tranſPar bailler, ſans autre myſtere, De l’Epée au travers du Corps.	Et l'on doit commencer toujours dans ses transPar bailler, sans autre mystère, De l'Épée au travers du Corps.
ports, Ouy, vous verrez, quoy qu’il avienne.	ports, Oui, vous verrez, quoi qu’il avienne.
Qu’Argatiphontidas marche droit ſur ce poinct;	Qu'Argatiphontidas marche droit sur ce point;
Et de vous il faut que j’obtienne, Que le Pendart ne meure point, D’une autre main, que de la mienne.	Et de vous il faut que j'obtienne, Que le Pendard ne meure point, D'une autre main, que de la mienne.
cihonos AMPHITRYON.	cihonos AMPHITRYON.
SOSIE.	SOSIE.
Je viens, Monſieur, ſubir à vos genous, Le juſte châtiment d’une audace maudite.	Je viens, Monsieur, subir à vos genous, Le juste châtiment d'une audace maudite.
Frapez, battez, chargez, accablez-moy de coups?	Frappez, battez, chargez, accablez-moi de coups?
Tuez-moy dans voſtre courrous:	Tuez-moi dans votre courrous:
l eualeleEclen, je le Meriee 2 Et je n’en diray pas un ſeul mot contre vous.	l eualeleEclen, je le Mérie 2 Et je n'en dirai pas un seul mot contre vous.
AMEIITRTON Leve-toy.	AMEITRTON Leve-toi.
Que fait-on?	Que fait-on?
SOSIE.	SOSIE.
L’on m’a chaſſé tout net:	L'on m'a chassé tout net:
Et croyant, à manger, m’aller, comme eux, ébatre, Je ne ſongeois pas qu’en effet, Je m’attendois là, pour me battre.	Et croyant, à manger, m'aller, comme eux, ébattre, Je ne songeais pas qu'en effet, Je m'attendais là, pour me battre.
Ouy, l’autre Moy, Valet de l’autre Vous, a fait, Tout de nouveau, le Diable à quatre.	Oui, l'autre Moi, Valet de l'autre Vous, a fait, Tout de nouveau, le Diable à quatre.
La rigueur d’un pareil Deſtin, Monſieur, aujourd’huy, nous talonne;	La rigueur d'un pareil Destin, Monsieur, aujourd'hui, nous talonne;
Et l’on me Des-Soſie enfin, Comme on vous Des-Amphitryonne.	Et l'on me Des-Sosie enfin, Comme on vous Des-Amphitryonne.
Suy-moy.	Sui-moi.
AMPHITRYON.	AMPHITRYON.
OSIE.	OSIE.
N’eſt-il pas mieux, de voir s’il vient Perſonne?	N'est-il pas mieux, de voir s'il vient Personne?
SCENE VIII.	SCÈNE VIII.
CLEANTHIS, NAUCRATES, POLIDAS, SOSIE, AMPHITRYON, ARGATIPHONTIDAS, POSICLES.	CLEANTHIS, NAUCRATES, POLIDAS, SOSIE, AMPHITRYON, ARGATIPHONTIDAS, POSICLES.
CLEANTHIS.	CLÉANTHIS.
Ciel!	Ciel!
AMPHITRYON.	AMPHITRYON.
Qui t’épouvante ainſy?	Qui t'épouvante ainsi?
Quelle eſt la peur, que je t’inſpire?	Quelle est la peur, que je t'inspire?
CLEAN	CLÉAN
CLEANTHIS.	CLÉANTHIS.
Modfe y„	Modée y„
NAUCRATES.	NAUCRATES.
Ne vous preſſez point, le voicy, Pour donner devant tous, les clartez, qu’on deſire;	Ne vous pressez point, le voici, Pour donner devant tous, les clartés, qu'on désire;
Et qui, ſi l’on peut croire à ce qu’il vient de dire, Sçauront vous affranchir de trouble, & de ſoucy.	Et qui, si l'on peut croire à ce qu'il vient de dire, Sauront vous affranchir de trouble, et de souci.
SCENE IX.	SCÈNE IX.
MERCURE, CLEANTHIS,NAUCRATES, POLIDAS, SOSIE, AMPHITRTON, ARGATITHONTIDAS, POSICLES.	MERCURE, CLÉANTHIS,NAUCRATES, POLIDAS, SOSIE, AMPHITRTON, ARGATITHONTIDAS, POSICLES.
MERCURE.	MERCURE.
Uy vous l’allez voir tous:	Oui vous l'allez voir tous:
& ſçachez, par avance, Que c’eſt le Grand Maiſtre des Dieux;	et sachez, par avance, Que c'est le Grand Maître des Dieux;
Que ſous les traits cheris de cette Reſſemblance, Alcméne a fait, du Ciel, deſcendre dans ces Lieux.	Que sous les traits chéris de cette Ressemblance, Alcméne a fait, du Ciel, descendre dans ces Lieux.
Et quant à moy, je ſuis Mereure, Qui ne ſçachant que faire, ay roſſé tant ſoit peu Celuy, doit jay plis laPigue.	Et quant à moi, je suis Mereure, Qui ne sachant que faire, ai rossé tant soit peu Celui, doit jai plis laPigue.
Mais de s’en conſoler, il a maintenant lieu;	Mais de s'en consoler, il a maintenant lieu;
Et les coups de Baſton d’un Dieù, Font honneur à qui les endure.	Et les coups de Bâton d'un Dieù, Font honneur à qui les endure.
OSIE.	OSIE.
Ma foy, Monſieur le Dieu, je ſuis voſtre Valet.	Ma foi, Monsieur le Dieu, je suis votre Valet.
Je me ſerois paſſé de voſtre courtoiſie.	Je me serais passé de votre courtoisie.
MERCORE.	MERCORE.
Je luy donne à preſent congé d’eſtre Soſie.	Je avait donne à présent congé d'être Sosie.
Je ſuis las de porter un Viſage ſi lait;	Je suis las de porter un Visage si lait;
Et je m’en vais au Ciel, avec de l’Ambroſie, Il vole M’en débarboüiller tout-à-fait.	Et je m'en vais au Ciel, avec de l'Ambrosie, Il vole M'en débarbouiller tout-à-fait.
dans le Ciel.	dans le Ciel.
SOS.	SOS.
IE.	JE.
Le Ciel, de m’aprocher, t’oſte à jamais l’envie.	Le Ciel, de m'approcher, t'ôte à jamais l'envie.
Ta fureur s’eſt par trop acharnée aprés moy:	Ta fureur s'est par trop acharnée après moi:
Et je ne vis de ma vie, Un Dieu plus Diable que toy.	Et je ne vis de ma vie, Un Dieu plus Diable que toi.
SCENE X.	SCÈNE X.
UPITER, CLEANTHIS, NAUCRATES, POLIDAS, SOSIE, AMPHITRYON, ARGATIPHONTIDAS, POSICLES.	APPITER, CLÉANTHIS, NAUCRATES, POLIDAS, SOSIE, AMPHITRYON, ARGATIPHONTIDAS, POSICLES.
JUPITER dans une Nuë.	JUPITER dans une Nue.
Egarde, Amphitryon, quel eſt ton Impoſteur;	Egarde, Amphitryon, quel est ton Imposteur;
Et ſous tes propres traits, voy Jupiter paroiſtre.	Et sous tes propres traits, vois Jupiter paraître.
A ces marques, tu peux aiſément le connoiſtre;	À ces marques, tu peux aisément le connaître;
Et c’eſt aſſez, je croy, pour remettre ton Cœur Dans l’état auquel il doit eſtre, Et rétablir chez toy, la paix, & la douceur.	Et c'est assez, je crois, pour remettre ton Cœur Dans l'état auquel il doit être, Et rétablir chez toi, la paix, et la douceur.
Mon Nom, qu’inceſſamment toute la Terre adore, Etouffe icy les bruits, qui pouvoient éclater.	Mon Nom, qu'incessamment toute la Terre adore, Étouffe ici les bruits, qui pouvaient éclater.
Un partage avec Jupiter, N’a rien du tout, qui deshonnore:	Un partage avec Jupiter, N'a rien du tout, qui déshonore:
Et ſans doute, il ne peut eſtre que glorieux, De ſe voir le Rival du Souverain des Dieux.	Et sans doute, il ne peut être que glorieux, De se voir le Rival du Souverain des Dieux.
Je n’y vois, pour ta flame, aucun lieu de murmure;	Je n'y vois, pour ta flamme, aucun lieu de murmure;
Et c’eſt moy, dans cette avanture, Qui tout Dieu que je ſuis, dois eſtre le Jalous.	Et c'est moi, dans cette aventure, Qui tout Dieu que je suis, dois rendre le Jalous.
Alcméne eſt toute à toy, quelque ſoin qu’on employe;	Alcméne est toute à toi, quelque soin qu'on emploie;
Et ce doit à tes feux eſtre un Objet bien dous, De voir, que pour luy plaire, il n’eſt point d’autre voye, Que de paroiſtre ſon Epous :	Et ce doit à tes feux être un Objet bien dous, De voir, que pour lui plaire, il n'est point d'autre voie, Que de paraître son Épous :
Que Jupiter, orné de ſa gloire immortelle, Par luy-même, n’a pû triompher de ſa foy;	Que Jupiter, orné de sa gloire immortelle, Par luifois, n'a pu triompher de sa foi;
Et que ce qu’il a reçu d’elle, N’a, par ſon Cœur ardent, eſté donné qu’à toy.	Et que ce qu'il a reçu d'elle, N'a, par son Cœur ardent, été donné qu'à toi.
SOSIE.	SOSIE.
Le Seigneur Jupiter ſçait dorer la Pilule.	Le Seigneur Jupiter sais dorer la Pilule.
UPITER.	OÙPITER.
Sors donc des noirs chagrins, que ton Cœur a ſoufers;	Sors donc des noirs chagrins, que ton Cœur a soufferts;
Et rens le calme entier à l’ardeur, qui te brûle.	Et rends le calme entier à l'ardeur, qui te brûle.
Chez toy, doit naître un Fils, qui ſous le nom d’HerRemplira de ſes faits, tout le vaſte Univers.	Chez toi, doit naître un Fils, qui sous le nom d'HerRemplira de ses faits, tout le vaste Univers.
cule, L’éclat d’une Fortune, en mille biens feconde, Fera connoiſtre à tous, que je ſuis ton ſuport;	cule, L'éclat d'une Fortune, en mille biens féconde, Fera connaître à tous, que je suis ton suport;
Et je mettray tout le Monde Au poinct d’envier ton Sort.	Et je mettrai tout le Monde Au point d'envier ton Sort.
Tu peux hardiment te flater De ces eſperances données.	Tu peux hardiment te flatter De ces espérances données.
C’eſt un crime, que d’en douter.	C'est un crime, que d'en douter.
Les Paroles de Jupiter, Sont des Arreſts des Deſtinées!	Les Paroles de Jupiter, Sont des Arrêts des Destinées!
di jeperadums tes Rnes.	di jepéradums tes Rnes.
NAUCRATES.	NAUCRATES.
Certes, je ſuis ravy de ces marques brillantes	Certes, je suis ravi de ces marques brillantes
OSIE.	OSIE.
Meſſieurs, voulez-vous bien ſuivre mon ſentiment?	Messieurs, voulez-vous bien suivre mon sentiment?
Ne vous embarquez nullement, Dans ces douceurs congratulantes.	Ne vous embarquez nullement, Dans ces douceurs congratulantes.
C’eſt un mauvais Embarquement:	C'est un mauvais Embarquement:
Et d’une, & d’autre part, pour un tel Compliment, Les Phraſes ſont embaraſſantes.	Et d'une, et d'autre part, pour un tel Compliment, Les Phrases sont embarrassantes.
Le grand Dieu Jupiter nous fait beaucoup d’honneur;	Le grand Dieu Jupiter nous fait beaucoup d'honneur;
Et ſa bonté, ſans doute, eſt pour nous ſans ſeconde:	Et sa bonté, sans doute, est pour nous sans seconde:
Il nous promet l’infaillible bonheur, D’une Fortune, en mille biens feconde;	Il nous promet l'infaillible bonheur, D'une Fortune, en mille biens éconde;
Et chez nous il doit naiſtre un Fils d’un tres-grand cœur, Tout cela va le mieux du Monde.	Et chez nous il doit naître un Fils d'un très-grand cœur, Tout cela va le mieux du Monde.
Mais enfin coupons aux diſcours;	Mais enfin coupons aux discours;
Et que chacun chez ſoy, doucement ſe retire.	Et que chacun chez soi, doucement se retire.
Sur telles Affaires, toujours, Le meilleur eſt de ne rien dire.	Sur telles Affaires, toujours, Le meilleur est de ne rien dire.
FIN.	FIN.
N	N
France	France
de France	de France
de France	de France
