RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
Eſar, tien-moy parole, & me rens mes galéres, C Achillas & Photin ont receu leurs ſalaires, Leur Roy n’a pû joüir de ton cœur adoucy, Et Pompée eſt vengé ce qu’il peut l’eſtre icy.	Esar, tien-moi parole, et me rends mes galère, Ç Ochillas et Photin ont reçu leurs salaires, Leur Roi n'a pu joüir de ton cœur adouci, Et Pompée est vengé ce qu'il peut l'être ici.
Je n’y ſçaurois plus voir qu’un funeste rivage Qui de leur attentat m’offre l’horrible image, D iij Ta nouvelle viotoire, & le bruit éclatant (constant.	Je n'y saurais plus voir qu'un funeste rivage Qui de leur attentat m'offre l'horrible image, D ij à nouvelle viotoire, et le bruit éclatant (constant.
Qu’aux changemens de Roy pouſſe un Peuple inEt parmy ces objets ce qui le plus m’afflige, C’eſt d’y revoir toûjours l’ennemy qui m’oblige, Laiſſe-moy m’affranchir de cette indignité, Et ſouffre que ma haine agiſſe en liberté.	Qu'aux changements de Roi pousse un Peuple inEt parmi ces objets ce qui le plus m'afflige, C'est d'y revoir toujours l'ennemi qui m'oblige, Laisse-moi m'affranchir de cette indignité, Et souffre que ma haine agisse en liberté.
A cét empreſſement j’adjoûte une requeſte.	À cet empressement j'ajoute une requête.
Voy l’Urne de Pompée, il y manque ſa teſte, Ne me la retien plus, c eſt lunique faveur Dont je te puis encor prier avec honneur.	Vois l'Urne de Pompée, il y manque sa tête, Ne me la retien plus, ç est lunique faveur Dont je te puis encor prier avec honneur.
CESAR.	CÉSAR.
Il eſt juste, & Céſar eſt tout preſt de vous rendre Ce reste où vous avez tant de droit de pretendre:	Il est juste, et César est tout prêt de vous rendre Ce reste où vous avez tant de droit de prétendre:
Mais il eſt juste auſſi qu’après tant de ſanglots A ſes Manes errans nous rendions le repos, Qu’un bucher allumé par ma main & la voſtre Le venge pleinement de la honte de l’autre, Que ſon Ombre s’appaiſe en voyant noſtre ennuy, Et qu’une Urne plus digne & de vous & de luy, Après la flame éteinte & les pompes finies, Renferme avec éclat ſes cendres réünies.	Mais il est juste aussi qu'après tant de sanglots A ses Manes errants nous rendions le repos, Qu'un bûcher allumé par ma main et la vôtre Le venge pleinement de la honte de l'autre, Que son Ombre s'apaise en voyant notre ennui, Et qu'une Urne plus digne et de vous et de quoi, Après la flamme éteinte et les pompes finies, Renferme avec éclat ses cendres réünies.
De cette meſme main dont il fut combatu Il verra des Autels dreſſez à ſa vertu, Il recévra des vœux, de l’encens, des victimes, Sans recevoir par là d’honneurs que légitimes.	De cette même main dont il fut combattu Il verra des Autels dressez à sa vertu, Il recévra des vœux, de l'encens, des victimes, Sans recevoir par là d'honneurs que légitimes.
Pour ees justes devoirs je ne veux que demain, Ade lue leidiel pasce Domcul Ioarerai, Faites un peu de force à voſtre impatience, Vous étes libre après, partez en diligence, Portez à noſtre Rome un ſi digne treſor, Portez.	Pour ces justes devoirs je ne veux que demain, Ade lue leidiel pasce Domcul Joarerai, Faites un peu de force à votre impatience, Vous êtes libre après, partez en diligence, Portez à notre Rome un si digne trésor, Portez.
CORNELIE.	CORNELIE.
Non-pas, Céſar, non-pas à Rome encor.	Nonpas, César, non-pas à Rome encor.
Il faut que ta défaite & que tes funérailles A cette cendre aimée en ouvrent les murailles, Et quoy qu’elle la tienne auſſi chére que moy, Elle n’y doit rentrer qu’en triomphant de toy.	Il faut que ta défaite et que tes funérailles À cette cendre aimée en ouvrent les murailles, Et quoi qu’elle la tienne aussi chère que moi, Elle n'y doit rentrer qu'en triomphant de toi.
Je la porte en Afrique, & c’eſt là que j’espére Que les fils de Pompée & Caton & mon pére, Secondez par l’effort d’un Roy plus généreux, Ainſi que la Justice auront le Sort pour eux.	Je la porte en Afrique, et c'est là que j'espère Que les fils de Pompée et Caton et mon père, Secondez par l'effort d'un Roi plus généreux, Ainsi que la Justice auront le Sort pour eux.
C’eſt là que tu verras ſur la Terre & ſur l’Onde Le débris de Pharſale armer un autre Monde, Et c’eſt là que j’iray pour haſter tes malheurs Porter de rang en rang ces cendres & mes pleurs.	C'est là que tu verras sur la Terre et sur l'Onde Le débris de Pharsale armer un autre Monde, Et c'est là que j'irai pour hâter tes malheurs Porter de rang en rang ces cendres et mes pleurs.
Je veux que de ma haine ils reçoivent des régles, Qu’ils ſuivent au combat des Urnes au lieu d’Aigles, Et que ce triste objet porte en leur ſouvenir Les ſoins de le venger & ceux de te punir.	Je veux que de ma haine ils reçoivent des règles, Qu'ils suivent au combat des Urnes au lieu d'Aigles, Et que ce triste objet porte en leur souvenir Les soins de le venger et ceux de te punir.
Tu veux à ce Héros rendre un devoir ſuprème, L’honneur que tu luy rens réjallit ſur toy-meſme;	Tu veux à ce Héros rendre un devoir suprême, L'honneur que tu lui rens réjallit sur toi-même;
Tu m’en veux pour témoin, j’obéïs au vainqueur, Mais ne préſume pas toucher par là mon cœur.	Tu m'en veux pour témoin, j'obéis au vainqueur, Mais ne présume pas toucher par là mon cœur.
La perte que j’ay faite eſt trop irréparable.	La perte que j'ai faite est trop irréparable.
La ſource de ma haine eſt trop inépuiſable, A l’égal de mes jours je la feray durer, Je veux vivre avec elle, avec elle expirer.	La source de ma haine est trop inépuisable, A l'égal de mes jours je la ferai durer, Je veux vivre avec elle, avec elle expirer.
Je t’avoûray pourtant, comme vraîment Romaine, Que pour toy mon eſtime eſt égale à ma haine, Que l’une & l’autre eſt juste, & montre le pouvoir, L’une de ta vertu, l’autre de mon devoir:	Je t'avouerai pourtant, comme vraîment Romaine, Que pour toi mon estime est égale à ma haine, Que l'une et l'autre est juste, et montre le pouvoir, L'une de ta vertu, l'autre de mon devoir:
Que l’une eſt généreuſe, & l’autre intéreſſée, Et que dans mon esprit l’une & l’autre eſt forcée.	Que l'une est généreuse, et l'autre intéressée, Et que dans mon esprit l'une et l'autre est forcée.
Tu vois que ta vertu qu’en vain on veut trahir Me force de priſer ce que je doy haïr, Juge ainſi de la haine où mon devoir me lie, La vefve de Pompée y force Cornélie.	Tu vois que ta vertu qu'en vain on veut trahir Me force de priser ce que je dois haïr, Juge ainsi de la haine où mon devoir me lie, La veuve de Pompée y force Cornélie.
J’iray, n’en doute point au ſortir de ces lieux Soûlever contre toy les hommes & les Dieux, Ces Dieux qui t’ont flaté, ces Dieux qui m’ont trompée, Ces Dieux qui dans Pharſale ont mal ſervy Pompée,	J'irai, n'en doute point au sortir de ces lieux Soulever contre toi les hommes et les Dieux, Ces Dieux qui t'ont flatté, ces Dieux qui m'ont trompée, Ces Dieux qui dans Pharsale ont mal servi Pompée,
Qui la foudre à la main l’ont pû voir égorger;	Qui la foudre à la main l'ont pu voir égorger;
Ils connoiſtront leur faute, & le voudront venger.	Ils connaîtront leur faute, et le voudront venger.
Mon zèle à leur refus aidé de ſa mémoire Te ſçaura bien ſans eux arracher la victoire, Et quand tout mon effort ſe trouvera rompu, Cléopatre fera ce que je n’auray pû.	Mon zèle à leur refus aidé de sa mémoire Te sçaura bien sans eux arracher la victoire, Et quand tout mon effort se trouvera rompu, Cléopatre fera ce que je n'aurai pu.
Je ſçay qu’elle eſt ta flame, & quelles ſont ſes forces, Que tu n’ignores pas comme on fait les divorces, Que ton amour t’aveugle, & que pour l’épouſer Rome n’a point de loix que tu n’oſes briſer:	Je sais qu'elle est ta flamme, et quelles sont ses forces, Que tu n'ignores pas comme on fait les divorces, Que ton amour t'aveugle, et que pour l'épouser Rome n'a point de lois que tu n'oses briser:
Mais ſçache auſſi qu’alors la jeuneſſe Romaine Se croira tout permis ſur l’époux d’une Reine, Et que de cét Hymen tes amis indignez Vengeront ſur ton ſang leurs avis dédaignez.	Mais sache aussi qu'alors la jeunesse Romaine Se croira tout permis sur l'époux d'une Reine, Et que de cet Hymen tes amis indignez Vengeront sur ton sang leurs avis dédaignez.
J’empeſche ta ruïne empeſchant tes careſſes.	J'empêche ta ruine empêchant tes caresses.
Adieu, j’attens demain l’effet de tes promeſſes.	Adieu, j'attends demain l'effet de tes promesses.
SCENE V.	SCÈNE V.
ODSITTe, CLEOTATRES AIRTOINE, LEPIDE, ACHOREE, CHARMION.	ODSITTe, CLÉTATRES AIRTOINE, LEPIDE, ACHORE, CHARMION.
CLEOPATRE.	CLÉPATRE.
Lûtoſt qu’à ces périls je vous puiſſe expoſer, a dosmuuis pomonen mojee quiles peue cauſer, Sacrifiez ma vie au bonheur de la voſtre, Le mien ſera trop grand, & je n’en veux point d’autre, Indigne que je ſuis d’un Céſar pour époux, Que de vivre en voſtre ame étant morte pour vous.	Lûtost qu'à ces périls je vous puisse exposer, a dosmuuis pomonen moène quiles peue causer, Sacrifiez ma vie au bonheur de la vôtre, Le mien sera trop grand, et je n'en veux point d'autre, Indigne que je suis d'un César pour époux, Que de vivre en votre âme étant morte pour vous.
CESAR.	CÉSAR.
Reine, ces vains projets ſont le ſeul avantage Qu’un grand cœur impuiſſant a du Ciel en partage:	Reine, ces vains projets sont le seul avantage Qu'un grand cœur impuissant à du Ciel en partage:
Cemme il a peu de force il a beaucoup de ſoins, Et s’il pouvoit plus faire, il ſouhaiteroit moins.	Cemme il a peu de force il a beaucoup de soins, Et s'il pouvait plus faire, il souhait moins.
Les Dieux empeſcheront l’effet de ces augures, Et mes félicitez n’en ſeront pas moins pures, Pourveu que voſtre amour gagne ſur vos douleurs Qu’en faveur de Céſar vous tariſſiez vos pleurs, Et que voſtre bonté ſenſible à ma priére, Pour un fidelle Amant oublie un mauvais frére.	Les Dieux empêcheront l'effet de ces augures, Et mes félicités n'en seront pas moins pures, Pourvu que votre amour gagne sur vos douleurs Qu'en faveur de César vous tarissiez vos pleurs, Et que votre bonté sensible à ma prièvre, Pour un fidèle Amant oublie un mauvais frère.
On aura pû vous dire avec quel déplaiſir J’ay veu le deſespoir qu’il a voulu choiſir, Avec combien d’efforts j’ay voulu le défendre Des Paniques terreurs qui l’avoient pû ſurprendre;	On aura pu vous dire avec quel déplaisir J'ai vu le désespoir qu'il a voulu choisir, Avec combien d'efforts j'ai voulu le défendre Des Paniques terreurs qui l'avaient pu surprendre;
Il s’eſt de mes bontez jusqu’au bout défendu, Et de peur de ſe perdre, il s’eſt enfin perdu.	Il s'est de mes bontés jusqu'au bout défendu, Et de peur de se perdre, il s'est enfin perdu.
O honte pour Céſar, qu’avec tant de puiſſance, Tant de ſoins de vous rendre entiére obéïſſance, Il n’ait pû toutefois en ces événemens Obëïr au prémier de vos commandemens!	Ô honte pour César, qu'avec tant de puissance, Tant de soins de vous rendre entierre obéissance, Il n'ait pu toutefois en ces événements Obéir au prémier de vos commandements!
Prenez-vous-en au Ciel, dont les ordres ſublimes Malgre tous nos emorts Içavent punir les eimnes;	Prenez-vous-en au Ciel, dont les ordres sublimes Malgre tous nos emorts Iavent punir les eimnes;
Sa rigueur envers luy vous ouvre un ſort plus doux, Puisque par cette mort l’Egypte eſt toute à vous.	Sa rigueur envers on vous ouvre un sort plus doux, Puisque par cette mort l'Égypte est toute à vous.
CLEOPATRE.	CLÉPATRE.
Je ſçay que j’en reçois un nouveau Diadéme.	Je sais que j'en reçois un nouveau Diadème.
Qu’on n’en peut accuſer que les Dieux, & luy-melme;	Qu'on n'en peut accuser que les Dieux, et notre-melme;
Mais comme il eſt, Seigneur, de la fatalité Que l’aigreur ſoit meſlée à la félicité, Ne vous offenſez pas ſi cét heur de vos armes Qui me rend tant de biens me coûte un peu de larmes, Et ſi voyant ſa mort deuë à ſa trahiſon je uontie u lu Rature ainſi qu’à la raiſon.	Mais comme il est, Seigneur, de la fatalité Que l'aigreur soit mêlée à la félicité, Ne vous offensez pas si cet heur de vos armes Qui me rend tant de biens me coûte un peu de larmes, Et si voyant sa mort due à sa trahison je ouvontie u lu Rature ainsi qu'à la raison.
Je n’ouvre point les yeux ſur ma grandeur ſi proche, Qu’auſſi-toſt à mon cœur mon ſang ne le reproche, J’en reſſens dans mon ame un murmure ſecret, Et ne puis remonter au troſne ſans regret.	Je n'ouvre point les yeux sur ma grandeur si proche, Qu'aussitôt à mon cœur mon sang ne le reproche, J'en ressens dans mon âme un murmure secret, Et ne puis remonter au trône sans regret.
ACHOREE.	ACHORE.
Un grand peuple, Seigneur, dont cette cour eſt pleine Par des cris redoublez demande à voir ſa Reine, Et tout impatient déja ſe plaint aux Cieux Qu’onluy donne trop tard un bien ſi précieux.	Un grand peuple, Seigneur, dont cette cour est pleine Par des cris redoublés demande à voir sa Reine, Et tout impatient déjà se plaint aux Cieux Qu'onlui donne trop tard un bien si précieux.
ESAR.	EZAR.
Ne luy refuſons plus le bonheur qu’il deſire, Princeſſe, allons par là commencer voſtre Empire.	Ne lui refusons plus le bonheur qu'il désire, Princesse, allons par là commencer votre Empire.
Faſſe le juste Ciel propice à mes deſirs.	Fasse le juste Ciel propice à mes désirs.
Que ces longs cris de joye étouffent vos ſoûpirs, Et puiſſent ne laiſſer dedans voſtre penſée Que l’image des traits dont mon ame eſt bleſſée.	Que ces longs cris de joie étouffent vos soupirs, Et puissent ne laisser dedans votre pensée Que l'image des traits dont mon âme est blessée.
Cependant, qu’à l’envy ma ſuite & voſtre Cour Préparent pour demain la pompe d’un beau jour, Où dans un digne employ l’une & l’autre occupée Couronne Cléopatre, & m’appaiſe Pompée, Eléve à l’une un Troſne, à l’autre des Autels, Et juie a tous les deux des Iespects Iinmortels.	Cependant, qu'à l'envi ma suite et votre Cour Préparent pour demain la pompe d'un beau jour, Où dans un digne emploi l'une et l'autre occupée Couronne Cléopatre, et m'apaise Pompée, Élève à l'une un Trône, à l'autre des Autels, Et juie à tous les deux des Iespects Iinmortels.
Ein du cinquième & dernier Aste.	Ein du cinquième et dernier Aste.
Extrait du Privilege du Roy.	Extrait du Privilège du Roi.
AR grace & Privilege du Roy, donT né à S.	AR grâce et Privilège du Roi, donT né à S.
Germain en Laye, le 17.	Germain en Laye, le 17.
jour d’Avril, l’an de grace 1679.	jour d'Avril, l'an de grâce 1679.
Signé, Par le Roy en ſon Conſeil, D’ALENCE', Il eſt permis à GUILLAUME DE LUXNE, Libraire Iuté de noſtre bonne ville de Paris, d’imprimer les Oeuvres de Theatre des Sieurs Corneille freres, pendant le temps de dix années entieres & accomplies:	Signé, Par le Roi en son Conseil, D'ALENCE', Il est permis à GUILLAUME DE LUXNE, Libraire Iuté de notre bonne ville de Paris, d'imprimer les Oeuvres de Théâtre des Sieurs Corne frères, pendant le temps de dix années entières et accomplies:
