LA A REINE REGENTE.	LA A REINE RÉGENTE.
Noſtre amour vous emporte à des douleurs ſi vraies Que rein qu’vn autre amour ne peut guerir ces plaies Puiſqu’vn ſi grand merite a pû vous enflamer, Sa preſence touſiours a droit de vous charmer, Vous l’aymiez, il vous ayme, & ſa gloire augmẽtée.	Notre amour vous emporte à des douleurs si vraies Que rein qu'un autre amour ne peut guérir ces plaies Puisqu'un si grand mérite a pu vous enflamer, Sa présence toujours a droit de vous charmer, Vous l'aimiez, il vous aime, et sa gloire augmẽtée.
PAVLINE.	PAULINE.
Que t’ay je fait cruel, pour eſtre ainſi traittées Et pour me reprocher au mépris de ma foy, Vn amour ſi puiſſant que j’ay vaincu pour toy, Voy pour te faire vaincre vn ſi fort aduerſaire, Quels efforts à moy-meſme il a fallu me faire, Quels combats j’ay dõnez pour te donner vn cœur Si iuſtement acquis à ſon premier vainqueur, Et ſi l’ingratitude en ton cœur ne domine, Fay quelque effort ſur toy pour te rendre à Pauline, Aprend d’elle à forcer ton propre ſentiment, Prend ſa vertu pour guide en ton aueuglement, Souffre que de toy-meſme erle obtieme ta vie, Pour viure ſous tes loix à jamais aſſeruie.	Que t'ai je fait cruel, pour être ainsi traitées Et pour me reprocher au mépris de ma foi, Venn amour si puissant que j'ai vaincu pour toi, Vois pour te faire vaincre un si fort adversaire, Quels efforts à moi-même il a fallu me faire, Quels combats j'ai dõnez pour te donner un cœur Si justement acquis à son premier vainqueur, Et si l'ingratitude en ton cœur ne domine, Fay quelque effort sur toi pour te rendre à Pauline, Aprend d'elle à forcer ton propre sentiment, Prend sa vertu pour guide en ton aveuglement, Souffre que de toi-même erle obtieme ta vie, Pour vi sous tes loix jamais asservie.
Si tu peux rejetter de ſi juſtes deſirs.	Si tu peux rejetter de si justes désirs.
Regarde au moins ſes pleurs, écoute ſes ſoûpirs, Ne deſeſpere pas vne ame qui t’adore.	Regarde au moins ses pleurs, écoute ses soupirs, Ne désespère pas une âme qui t'adore.
POLYEVCTE.	POLYEUCTE.
Ie vous l’ay deſia dit, & vous le dis encore, Viuez avec Seuere, ou mourez avec moy;	Je vous l'ai déjà dit, et vous le dis encore, Vivez avec Suère, ou mourez avec moi;
Ie ne mepriſe point vos pleurs ny vôtre foy, [ne Maïs dequoy que pour vous nôtre amour m’ẽtretiẽIe ne vous cognois plus ſi vous n’eſtes Chreſtiẽne.	Je ne meprise point vos pleurs ni votre foi, [ne Maïs dequoy que pour vous nôtre amour m'ẽtretiẽIe ne vous connais plus si vous n'êtes Chrestiẽne.
C’en eſt aſſez, reprenez ce couroux, Et ſur cêt inſolent vangez vos Dieux & vous.	C'en est assez, reprenez ce courroux, Et sur cet insolent vengez vos Dieux et vous.
PAULINE.	PAULINE.
Ah!	Ah!
mon pere, ſon crime à peine eſt pardonnable, Mais s’il eſt inſenſé, vous eſtes raiſonnable, La nature eſt trop forte & ſes aimables traits Imprimez dans le ſang ne s’effacent jamais.	mon père, son crime à peine est pardonnable, Mais s'il est insensé, vous êtes raisonnable, La nature est trop forte et ses aimables traits Imprimés dans le sang ne s'effacent jamais.
Vn pere eſt toûjours pere, & ſur cette aſſeurance I’oſe appuyer encor vn reſte d’eſperance, Iettez ſur voſtre fille vn regard paternel, Ma mort ſuiura la mort de ce cher criminel, Et les Dieux trouueront ſa peine illegitime Puis qu’elle confondra l’innocence & le crime, Et qu’elle changera par ce redoublement En iniuſte rigueur vn juſte chaſtiment, Nos deſtins par vos mains rendus inſeparables, Nous doiuẽt rẽdre heureux ensẽble, ou miſerables, Et vous ſeriez cruel juſques au dernier point Si vous deſuniſſiez ce que vous avez joint, vn cœur à lautre vnly jamnais ſe le retne, Et pour l’en ſeparer, il faut qu’on le déchire:	Un père est toujours père, et sur cette assurance J'ose appuyer encor reste d'espérance, Jettez sur votre fille un regard paternel, Ma mort suivra la mort de ce cher criminel, Et les Dieux trouveront sa peine illégitime Puis qu'elle confondra l'innocence et le crime, Et qu'elle changera par ce redoublement En injuste rigueur un juste châtiment, Nos destins par vos mains rendus inséparables, Nous doivent rẽdre heureux ensemble, ou misérables, Et vous seriez cruel jusques au dernier point Si vous désunissiez ce que vous avez si, v ous a lautre vez jamnais oule retne, Et un den séparer, se faut on le déchire:
Mais vous eſtes ſenſible à mes juſtes douleurs, Et d’vn œil paternel vous regardez mes pleurs.	Mais vous êtes sensible à mes justes douleurs, Et d'un œil paternel vous regardez mes pleurs.
FELIX.	FELIX.
Ouy, ma fille, il eſt vray qu’vn pere eſt toûjours pere, Rien n’en peut effacer le ſacré charactere, Ie porte vn cœur ſenſible, & vous l’avez percé, Ie me joins avec vous contre cét inſenſé.	Oui, ma fille, il est vrai qu'un père est toujours père, Rien n'en peut effacer le sacré charactère, Je porte un cœur sensible, et vous l'avez percé, Je me joins avec vous contre cet insensé.
Malheureux Polyeucte, es-tu ſeul inſenſible?	Malheureux Polyeute, es-tu seul insensible?
Et veux tu rendre ſeul ton crime irremiſſible?	Et veux tu rendre seul ton crime irrémissible?
Peux-tu voir tant de pleurs d’vn cœur ſi détaché?	Peux-tu voir tant de pleurs d'un cœur si détaché?
Peux-tu voir tant d’amour, ſans en eſtre touché?	Peux-tu voir tant d'amour, sans en être touché?
Ne Ne recognois-tu plus n’y beau pere, ny femme, 73 Sans amitié pour l’vn, & pour l’autre ſans flame?	Ne Ne reconnais-tu plus n'y beau -père, ni femme, 73 Sans amitié pour l'un, et pour l'autre sans flamme?
Pour reprendre les noms & de gendre & d’époux, Veux-tu nous voir tous deux embraſſer tes genoux?	Pour reprendre les noms et de gendre et d'époux, Veux-tu nous voir tous deux embrasser tes genoux?
POLYEVCTE.	POLYEUCTE.
Que tout cet artifice eſt de mauuaiſe grace!	Que tout cet artifice est de mauvaise grâce!
Apres avoir deux fois eſſayé la menace, Apres m’avoir fait voir Nearque dans la mort, Apres avoir tenté l’amour & ſon effort, Apres m’avoir montré cette ſoif du Bapteſme, Pour oppoſer à Dieu l’intereſt de Dieu meſme, Vous vous joignez enſemble!	Après avoir deux fois essayé la menace, Après m'avoir fait voir Narque dans la mort, Après avoir tenté l'amour et son effort, Après m'avoir montré cette soigne du Baptême, Pour opposer à Dieu l'intérêt de Dieu vient, Vous vous joignez ensemble!
Ah ruſes de l’Enfer !	Ah ruses de l'Enfer !
Faut-il tant de fois vaincre avant que triompher?	Faut-il tant de fois vaincre avant que triompher?
Vos reſolutions vſent trop de remiſe, Prenez la voſtre enfin puis que la mienne eſt priſe, Ie n’adore qu’vn Dieu maiſtre de l’Vniuers, Sous qui tremblent le Ciel, la Terre, & les Enfers, Vn Dieu qui nous aimant d’vne amour infinie, Voulut mourir pour nous avec ignominie, Et qui par un excez de cette meſme amour, Veut pour nous en victime eſtre offert chaqué jout, Mais j’ay tort d’en parler à qui ne peut m’entendre, Voyez l’aueugle erreur que vous oſez defendre;	Vos résolutions usent trop de remise, Prenez la vôtre enfin puis que la mienne est prise, Je n'adore qu'un Dieu maître de l'Univers, Sous qui tremblent le Ciel, la Terre, et les Enfers, Un Dieu qui nous aimant d'une amour infinie, Voulut mourir pour nous avec ignominie, Et qui par un excès de cette même amour, Veut pour nous en victime était offert chaqué jout, Mais j'ai tort d'en parler à qui ne peut m'entendre, Voyez l'aveugle erreur que vous osez défendre;
Des crimes les plus noirs vous ſoüillez tous voe Dieux.	Des crimes les plus noirs vous soüillez tous voè Dieux.
Vous n’en puniſſez point qui n’ait ſon maiſtre aux Cieux.	Vous n'en punissez point qui n'ait son maître aux Cieux.
La proſtitution, l’adultere, l’inceſte, Le vol, l’aſſaſſinat, & tout ce qu’on deteſte, C’eſt l’exemple qu’à ſuivre offrent vos Immortels:	La prostitution, l'adultère, l'inceste, Le vol, l'assassinat, et tout ce qu'on déteste, C'est l'exemple qu'à suivre offrent vos Immortels:
I’ay profané leur Temple, & briſé leurs Autels, Ie le ferois encor, ſi j’avois à le faire.	J'ai profané leur Temple, et brisé leurs Autels, Je le ferais encor, si j'avais à le faire.
Meſme aux yeux de Felix, méme aux yeux de Seuere, Meſme aux yeux du Senat, aux yeux de l’Empereur,	Même aux yeux de Félix, même aux yeux de Suère, Même aux yeux du Sénat, aux yeux de l'Empereur,
FELIX.	FELIX.
Enſin ma bonté cede à ma juſte fureur, Adore-les, ou meurs.	Ensin ma bonté cède à ma juste fureur, Adore-les, ou meurs.
POLYEVCTE.	POLYEUCTE.
Je ſuis Chreſtien.	Je suis Chrétien.
FELIX.	FELIX.
Impie, Adore-les, te dis-je, ou renonce à la vie!	Impie, Adore-les, te dis-je, ou renonce à la vie!
POLYEVCIE.	POLYEUCIE.
Ie ſuis Chreſtien,	Je suis Chrétien,
FELIX.	FELIX.
Tu l’es?	Tu l'es?
ô cœur trop obſtiné!	ô cœur trop obstiné!
Soldats, executer rortie que jay donné.	Soldats, exécuter rortie que jay donné.
AVLINE Où le conduiſez-vous?	AULINE Où le conduisez-vous?
FELIX.	FELIX.
A la mort.	À la mort.
POLYEVCTE.	POLYEUCTE.
A la gloire.	À la gloire.
Chere Pauline, Adieu, conſervez ma memoire,	Chère Pauline, Adieu, conservez ma mémoire,
PAVLINE.	PAULINE.
Ie te ſuivray par tout, & meſme au treſpas.	Je te suivrai par tout, et même au trépas.
POLYEVCTE.	POLYEUCTE.
Sortez de voſtre erreur, ou ne me ſuivez pas.	Sortez de votre erreur, ou ne me suivez pas.
FELIX.	FELIX.
Qu'on l’oſte de mes yeux & que & l’on m’obeyſſe.	Qu'on l'ôte de mes yeux et que et l'on m'obéisse.
Puiſqu’il ayme à perir je conſens qu’il periſſe,	Puisqu'il aime à périr je consens qu'il périsse,
SCENE IV.	SCÈNE IV.
TELIASALDIN.	TELIASALDIN.
FELIX.	FELIX.
IMa bonté naturelle aiſément m’euſt perdu:	IMa bonté naturelle aisément m'eût perdu:
Que la rage d’un peuple à preſent ſe déploye, Que Severe en fureur tonne, éclate, foudroye, M’eſtant fait cét effort j’ay fait ma ſeureté, Mais n’es-tu point ſurpris de cette dureté?	Que la rage d'un peuple à présent se déploie, Que Sévère en fureur tonne, éclate, foudraie, M'étant fait cet effort j'ai fait ma sûreté, Mais n'es-tu point surpris de cette dureté?
Vois-tu comme le ſien des cœurs impenetrables Ou des impietez à ce point execrable?	Vois-tu comme le sien des cœurs impénétrables Ou des impiétés à ce point exécrable?
Du moins j’ay ſatisfait à mon cœur affligé, Pour amollir lè ſien, je n’ay rien negligé, I’ay feint meſme à tes yeux des laſchetez extrêmes Et certes ſaus l’horreur de ces derniers blaſphemes Qui m’ont remply ſoudain de colere & d’effroy, I’aurois eu de la peine à triompher de moy.	Du moins j'ai satisfait à mon cœur affligé, Pour amollir lè sien, de n'ai rien négligé, J'ai feint même à tes yeux des lâcheté extrêmes Et certes saus l'horreur de ces derniers blasphèmes Qui m'ont rempli soudain de colère et d'effroi, J'aurais eu de la peine à triompher de moi.
ALBIN.	ÀLBIN.
vous maudirez peut-eſtre un jour cette victoire, Qui tient je ne ſçay quoy d’une action trop noire, Indigne de Felix, indigne d’un Romain, Répendant voſtre ſang par voſtre propre main.	vous maudirez peut-être un jour cette victoire, Qui tient je ne sais quoi d'une action trop noire, Indigne de Félix, indigne d'un Romain, Répendant votre sang par votre propre main.
FELIX.	FELIX.
mm Pont autlesrois verse Brute & Manſie, Et leur gloire en a creu, loin d’en eſtre affoiblie;	même Pont autlesrais verse Brute et Mansie, Et leur gloire en a cru, loin d'en être affaiblie;
Iamais nos vieux Heros n’ont eu de mauvais ſang Qu’ils n’euſſent pour le perdre ouvert leur propre flanc.	Jamais nos vieux Héros n'ont eu de mauvais sang Qu'ils n'eussent pour le perdre ouvert leur propre flanc.
ALBIN.	ÀLBIN.
Vôtre ardeur vous ſeduit, mais quoy qu’elle vous lie, d 7 Quand vous la ſentirez une fois refroidie, Quand vous verrez Pauline, & que ſon deſeſpoir Par ſes pleurs & ſes cris pourra vous émouvoir.	Votre ardeur vous séduit, mais quoi qu'elle vous lie, don 7 Quand vous la sentirez une fois refroidie, Quand vous verrez Pauline, et que son désespoir Par ses pleurs et ses cris pourra vous émouvoir.
FELIX.	FELIX.
Tu me fais ſouvenir qu’elle a ſuivy ce traiſtre, Et que ce deſeſpoir qu’elle fera paroiſtre De mes commandemens pourra troubler l’effet:	Tu me fais souvenir qu'elle a suivi ce traître, Et que ce désespoir qu'elle fera paraître De mes commandements pourra troubler l'effet:
Va donc y donner ordre & voir ce qu’elle fait;	Va donc y donner ordre et voir ce qu'elle fait;
Romps ce que ſes douleurs y donneroient d’obſtacle Tirez-la ſi tu peux de ce triſte ſpectacle, Tâche à la conſoler, va donc qui te retient?	Romps ce que ses douleurs y donneraient d'obstacle Tirez-la si tu peux de ce triste spectacle, Tâche à la consoler, va donc qui te retient?
ALBIN.	ÀLBIN.
Il n’en eſt pas beſoin, Seigneur elle revient.	Il n'en est pas besoin, Seigneur elle revient.
SCENE V.	SCÈNE V.
FELIX, PAVLINE, ALBIN	FELIX, PAULINE, ALBIN
PAVLINE.	PAULINE.
Ere barbare, acheve, acheve ton ouvrage, I Cette ſeconde hoſtie eſt digne de ta rage, Ioins ta fille à ton gendre, oſe, que tardes-tu?	Ere barbare, achève, achève ton ouvrage, I Jette seconde hostie est digne de ta rage, Joins ta fille à ton gendre, ose, que tardes-tu?
Tu vois le meſme crime, ou la meſme vertu, j Ta barbarie en elle a les meſme matieres, Mon époux en mourant m’a laiſſé ſes lumieres, Son ſang dont tes bourreaux viennẽt de me couvrir, M’a diſſillé les yeux & me les vient d’ouvrir.	Tu vois le même crime, ou la même vertu, j' a barbarie en elle a les même matières, Mon époux en mourant m'a laissé ses lumières, Son sang dont tes bourreaux viennent de me couvrir, M'a dissillé les yeux et me les vient d'ouvrir.
Ie voy, ie ſçay, ie croy, ie ſuis deſabuſée, De ce bien heureux ſang tu-me vois baptisée, Ie ſuis Chreſtienné enfin, n’eſt-ce point aſſez dit?	Je vois, Seigneur sais, je crois, je suis désabusée, De ce bien heureux sang tu-même vois baptisée, Je suis Chrestienné enfin, n'est-ce point assez dit?
Conſerve en perdant ton rang & ton credit, Redoute l’Empereur, apprenende serele, Si tu ne veux perir, ma perte eſt neceſſaire, Polyeucte m’appelle à cét heureux treſpas, Je voy Nearque & luy qui me tendent les bras, Méne, méne-moy voir tes Dieux que je deteſte, Ils n’en ont brisé qu’un ie briſeray le reſte, On m’y verra braver tout ce que vous craignez, Ces foudres impuiſſans qu’en leurs mains vous peignez.	Conserve en perdant ton rang et ton crédit, Redoute l'Empereur, apprenende serele, Si tu ne veux périr, ma perte est nécessaire, Polyucte m'appelle à cet heureux trépas, Je voyÉnarque et et qui me tendent les bras, Mêne, méne-moi voir tes Dieux que je déteste, Ils n'en ont brisé qu'un feu brisé le reste, On m'y verra braver tout ce que vous craignez, Ces foudres impuissants qu'en leurs mains vous peignez.
Et ſainctement rebelle au loix de la naiſſance, Vne fois envers toy manquer d’obeyſſance.	Et sainte rebelle au lois de la naissance, Une fois envers toi manquer d'obéissance.
Ce n’eſt point ma douleur qui par là ie fais voir, C’eſt la grace qui parle & non le deſeſpoir, Le faut-il dire encor, Felix?	Ce n'est point ma douleur qui par là belle fais voir, C'est la grâce qui parle et non le désespoir, Le faut-il dire encor, Félix?
je ſuis Cheſtienne, Affermy par ma mort ta foutune & la mienne, Le coup à l’un & l’autre en ſera precieux, Puis qu’il t’aſſeure en terre en m’élevant aux Cieux.	je suis Chétienne, Affermi par ma mort ta foutune et la mienne, Le coup à l'un et l'autre en sera précieux, Puis qu'il t'assure en terre en m'élevant aux Cieux.
