ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
Rand Monarque, auiourd’huy ie faits expeI rience Qu’il eſt bien malaiſé de diuertir le cours De l’aueugle deſtin qui preſide à nos iours, Le barbare qu’il eſt, triomphe en mille ſortes, Pour nous tirer du inonde il ouure mille portes, Et l’innocence meſme auec tous ſes attraits Ne ſçauroit euiter l’atteinte de ſes traits, Quand il a conſpiré contre vne illuſtre vie 4 Afin de la rauir il excite l’enuie, raignant que la vertu ne luy dreſſe vn autel Et d’vn de ſes ſuiets ne faſſe vnimmortel, C’eſt ce foudre, grand Roy, qui forme la tempeſte, Qui menaſſe à preſent vne innocente teſte, Et c'eſt par ce moyen que ce monſtre hydeux, Penſant n'en frapper qu'vn en fera mourir deux, Ouy, Sire, ie me viens expoſer à l’orage Dont on veut opprimer la vertu de Theage, Et comme noſtre amourconfona nos intereſts Auecque lu y ſubir vos rigoureux arreſts.	Rand Monarque, aujourd'hui avoir faits expeI rience Qu'il est bien malaisé de divertir le cours De l'aveugle destin qui preside à nos jours, Le barbare qu'il est, triomphe en mille sortes, Pour nous tirer du inonde il ouvre mille portes, Et l'innocence même auec tous ses attraits Ne saurait éviter l'atteinte de ses traits, Quand il a conspiré contre une illustre vie 4 Afin de la ravir il excite l'envie, raignant que la vertu ne lui d' un autel Et d'un de ses sujet de se vnimmortel, est ce sujet, grand Roy, qui forme la tempête, Qui Ca présent dole teste, Et c'est par ce moyen que ce m hideux, Pt n'en frapper qu' en fera mourir deux, Qu, Sire, ie me viens for orage Dont on veut me la vertu de Theage, Et comme nôtre amourconfona nos intérêts Auecque lu y subir vos rigoureux arrêts.
HERMODORE.	HÉRMODORE.
Orphiſe, donnez tréue à vos iniuſtes plaintès Aujourd’huy l’equité diſſipera vos craintes, Et s’il eſt innocent monpouuoir ſouuerain Vous fera reſpirer ſoubs vn ciel plus ſerain.	Orphise, donnez trêve à vos injustes plaint Aujourd'hui l'équité dissipera vos craintes, Et s'il est innocent monpouuoir souverain Vous fera respirer sous un ciel plus serain.
SCENE HVITIESME.	SCÈNE HVITIESME.
Tous les autheurs hormis Theage.	Tous les auteurs hormis Thage.
ORPHISE.	ORPHISE.
Dieux!	Dieux!
ie l’appercois qui ne marche qu'à peine, Trainant indignement vne honteuſe chaiſne Ah!	Il l'aperçois qui ne marche qu'à peine, Traînant indignement une honteuse chaîne Ah!
cet objet me tuë!	cet objet me tue!
LIGDAMIS.	LIGDAMIS.
Eſt-ce vne illuſien?	Est-ce une illusien?
Ou bien le triſte effet de ma confuſion Qui me fait rechercheren ce charmant viſage Et ſoubs ce veſtement la forme de Theage?	Ou bien le triste effet de ma confusion Qui me fait rechercheren ce charmant visage Et soubs ce vêtement la forme de Thage?
Non, non, ie ſuis trahy par vn trait ſolemnel, eſt obiet eſt trop beau pour eſtre criminel, Et l’airmaieſtueux de ces yeux adorables Fait voir qu’il vient icy pour iuger les coulpables Ah!	Non, non, je suis trahi par un trait solennel, est objet est trop beau pour être criminel, Et l'airmaiestueux de ces yeux adorables Fait voir qu'il vient ici pour juger les coulpables Ah!
Madame.	Madame.
HELIONE.	HÉLIONE.
Toutbeau ie merite ces fers, Bien plus qu'vn innocent qui les a trop ſouffers, Moy ſeule i'ay cauſé vos tourmens & vos peines I'ay rompu vos amours, vos priſons, & vos chaines Et Et pour vous ſuſciter vn ennemy fatal Pay pris arrogamment le party d’vn riual, Ouy i’ay ſauué Theage, & par cette licence De voſtreinimitié i’ay ſauué l’innocence, Sivous vous offencez de ma temerité Aſſouuiſſez ſur moy voſtre eſprit irrité, Prenez de monaudace vne haute vangeance, Etnous aurons tous deux vne extréme allegeance, Carvn ſi noble coup calmera vos eſprits Et vous vous defferez, d’vn obiet de meſpris, Qui trouuera la mort beaucoup plus fauorable Que de continuer vn ſort ſi deplorable:	Toutbeau femme mérite ces fers, Bien plus qu' innocent qui les a trop soufferts, Moi seule j'ai causé vos tourments et vos peines J'ai rompu vos amours, vos prisons, et vos chaines Et Et pour vous susciter un ennemi fatal Pai pris arrogamment le parti d'un rival, Oui j'ai sauvé Thage, et par cette licence De vostreinimitié j'ai sauvé l'innocence, Sivous vous offencez de ma temerité Assouissez sur moi votre esprit irrité, Prenez de audace quelque haute vengeance, Et aurons tous dé se extréme avance, En si noble coup calmera vos esprits Et vous vous déferez, n ce de mépris, Qui a laem beaucoup plus fauorable Que de cou sort si pance,
Que differez vous donc, prononcez, mon arreſt Je ne medeffends point le ſupplice eſt-il preſt, Haſtez, vous de finir & ma honte & mes peines Voudriez vous bien helas que ie reuiſſe Atheines En l’eſtat ou ie ſuis & portant un affront Q ui ternitauiourd’huy tout l’eſclat de mon front, Ah!	Que différez -vous donc, prononcez, mon arrêt Je ne mèdeffends point le supplice est-il prêt, Hâtez, vous de finir et ma honte et mes peines Voudriez -vous bien hélas que tue use Atheines En l'état ou ainsi suis et portant un affront Q ui ternitaujourd'hui tout l'éclat de mon front, Ah!
braue Ligdamis ie ne ſuis pas ſi lâche I’ayme mieux que monſangenefface la tache, Et qu'vn trait de la mort en me priuant du iour la rrache de mon cœur les fléches de l’amour.	brave Ligdamis vôtre ne suis pas si lâche J'aime mieux que monsangenefface la tache, Et qu'un trait de la mort en me privant du jour la riche de mon cœur les flèches de l'amour.
HERMODORE.	HÉRMODORE.
Quoy mon fils eſt-ce ainſi qu’on traitte vne Princeſſe!	Quoi mon fils est-ce ainsi qu'on traite une Princesse!
Sont-ce là les honneurs qu’on doit à ſa nobleſſe?	Sont-ce là les honneurs qu'on doit à sa noblesse?
M Sont ce là les deuoirs que vous auez promis?	M Mont ce là les devoirs que vous avez promis?
Traittez vous cetobiet comme vos ennemis?	Traittez -vous cetobjet comme vos ennemis?
Ah!	Ah!
briſez ſes liens, detachez cette chaine Que l’eſtat de captif cede à celuy de Reine, Erpeu, semeursje la jare luioi Quelle mette à ſon tour voſtre cœur en priſon.	brisez ses liens, détachez cette chaine Que l'état de captif cede à celui de Reine, Erpeu, semeursje la jare lui Quelle mette à son tour votre cœur en prison.
LIGDAMI Quoy voulez vous au lieu de punir mon offence Quelle donne à mon crime vne ample recompence, Ah!	LIGDAMI Quoi voulez -vous au lieu de punir mon offense Quelle donne à mon crime une ample récompense, Ah!
vangez, là pluſtoſt, ie reconnois mon tort Et ma confeſſion doit conclure ma mort.	vengez, là plutôt, ie reconnois mon tort Et ma confession doit conclure ma mort.
Si toutesfois Madame vn Prince miſerable Pouuoit par ſes regrets vous rendre pitoyable, Ie vous coniurerois d’excuſer mon erreur, Et d’oublier l’excez, d’vn aueugle fureur;	Si toutefois Madame un Prince misérable Pouvait par ses regrets vous rendre pitoyable, Je vous conjurerais d'excuser mon erreur, Et d'oublier l'excès, d'un aveugle fureur;
Iviau te ſerunt vous jaut une imuſt uemande, Je ſuis trop peu de choſe, & ma faute eſt trop grande Pour obtenir de vous vn ſi noble pardon.	Juviau te serunt vous jaut une imust emande, Je suis trop peu de chose, et ma faute est trop grande Pour obtenir de vous un si noble pardon.
HELIONE.	HÉLIONE.
Mon amour Ligdamis vous accorde ce don Et coinme la pitié fond toute voſtre glace Elle meſme à preſent me touche, & vous fait grace.	Mon amour Ligdamis vous accorde ce don Et coinme la pitié fond toute votre glace Elle même à présent me touche, et vous fait grâce.
LIGDAMIS.	LIGDAMIS.
Pour vn crime ſi grand mes iuges ſont trop doux, Et i’en appelle, Sire, auiourd’huy deuantvous.	Pour un crime si grand mes juges sont trop doux, Et j'en appelle, Sire, aujourd'hui deuantvous.
HERMODORE.	HÉRMODORE.
Bien qu'elle ſemble vſer enuers vous declemence Le pardoneſt ſouuent vne haute vangeance, Et parce chatiment elle vous fait ſentir Les peines qu'aux grands cœurs donne le repentir:	Bien qu'elle semble user envers vous déclemence Le pardonêt souvent une haute vengeance, Et parce châtiment elle vous fait sentir Les peines qu'aux grands cœurs donne le repentir:
Mais pour mieux ſatisfaire vne ſi belle dume Ie ioints à ce tourment, & les fers, & la flame, Et qu'Amour, & l'Hymen ces aymables Tyrans Soient les executeurs de l’arreſt que te rens.	Mais pour mieux satisfaire une si belle dume Je joints à ce tourment, et les fers, et la flamme, Et qu'Amour, et l'Hymen ces aimables Tyrans Soient les exécuteurs de l'arrêt que te rends.
LIGDAMIS.	LIGDAMIS.
Dolte pamions agreable juppuite:	Dolte pâmions agréable jupuite:
HELIONE.	HÉLIONE.
Que i’adore les loix d’vne telle iuſtice!	Que j'adore les lois d'une telle justice!
HERMODORE.	HÉRMODORE.
Pour loger des teſmoins de noſtre iugement Pattorat Muaar una van,ou Trlomant.	Pour loger des témoins de notre jugement Pattorat Muaar una van,ou Tromant.
Et ſi Theage peut prouuer ſon innocence Ie veux qu'Orphiſe auſſi l’ait pour ſa recompence, Qu'on le faſſe venir.	Et si Thage peut prouver son innocence Je veux qu'Orphise aussi l'ait pour sa récompense, Qu'on le fasse venir.
ORPHISE.	ORPHISE.
Grand Prince le voicy Quid’vn pas triſte, & lent temoigne ſon ſoucy.	Grand Prince le voici Quid'un pas triste, et lent témoigne son souci.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
TOVSLESACTEVRS.	TOUSLESACTEURS.
THEAGE.	THÉGE.
Rand Monarque, preßé de mon impatience, TPlus que du repentir, ou de ma conſcience, Ie ne viens pas icy vous demander pardon;	Rand Monarque, pressé de mon impatience, TPlus que du repentir, ou de ma conscience, Je ne viens pas ici vous demander pardon;
Mais bien vous eſclaircir d’vn iniuſte ſoupçon, Que le Prince à conceu d’vn malheureux breuuaQu'vn iuſte eſtonnement fit respandre à Theage, Lors que par Ligdamis enuain ſo licité Il reffuſa de faire vne inciuilité:	Mais bien vous éclaircir d'une injuste soupçon, Que le Prince à conçu d'un malheureux breuaQu'un juste étonnement fit répandre à Théage, Lors que par Ligédamis envaina de faire Une reffusa de faire une incivilité:
En cette occaſion ma main fut peu hardie Et mon reſpect paſſa pour vne perfidie, On me creut auſſi-toſt coupable de poiſon, Et ſoubs ce faux pretexte on me mit en priſon:	En cette occasion ma main fut peu hardie Et mon respect passa pour ra perfidie, On me crut aussitôt coupable de poison, Et sous ce faux prétexte on me mit en prison:
Mais, Sire, s’il vous plaiſt d’examiner mafaute, Au lieu de m'accuſer d’vne audace ſi haute, Vous ne remarquerez en toute l’action Que beaucoup d’innocence, & de diſcretion:	Mais, Sire, s'il vous plaît d'examiner mafaute, Au lieu de m'accuser d'une audace si haute, Vous ne remarquerez en toute l'action Que beaucoup d'innocence, et de discrétion:
Le Prince m’enuoya chercher parmy la plaine Pour ſe deſalterer l’eau de quelque fontaine, Mais n’ayant découuert fontaine, ny ruiſſeau I'allay diligemment vers le prochain hameau D'oüi apportay le vin, & la couppe innocente Qui trahit par malheur mamain obeïſſante:	Le Prince m'envoya chercher parmi la plaine Pour se désaltérer l'eau de quelque fontaine, Mais n'ayant découvert fontaine, ni ruisseau J'allai diligemment vers le prochain au D'oui apportai le vin, et la couppe innocente Qui trahit par malheur mamain obéissante:
Le Prince me preſſoit & i’eſtois interdit Si bien que par malheur le vin ſe rependit, Voila le fondement du fait dont on m’accuſe, Mais pour tout ce ſoupçonil ne faut qu’vne excuſe;	Le Prince me pressait et j'étais interdit Si bien que par malheur le vin se rependit, Voilà le fondement du fait dont on m'accuse, Mais pour tout ce soupçon ne faut qu'une excuse;
N’ayant aucun motif pour cette trahiſon, Ou pouuois-ie ( Seigneur) auoir pris du poiſons Le temps de mon retourfit voir moninnocence, Et mon cœur n'auoit point de ſujet de vangeance, Outre que ma naiſſance, & que mes actions Parlent trop clairement de mes intentions:	N'ayant aucun motif pour cette trahison, Ou pouuois-je ( Seigneur) avoir pris du poisons Le temps de mon retourfit voir moninnocence, Et mon cœur n'avait point de sujet de vengeance, Outre que ma naissance, et que mes actions Parlent trop clairement de mes intentions:
Toutesfois (s’il vous plaiſt) faites mourir Theage Quoy qu’il ſoit innocent.	Toutefois (s'il vous plaît) faites mourir Thage Quo qu’il soit innocent.
LIGDAMIS.	LIGDAMIS.
N'en dy pas dauantage.	N'en dis pas davantage.
Tropat creauue ſitort aion reſpect, Ie connois monerreur, tu ne m’es plus ſuſpect, Pour appaiſer tes maux ie te rens ton Orphiſe, Et ie te faits vn don que mon pere authoriſe.	Tropat crave sitort aion respect, Je connais monerreur, tu ne m'es plus suspect, Pour apaiser tes maux On te rends ton Orphise, Et Seigneur te faits un don que mon père autorise.
HERMODORE.	HÉRMODORE.
Ouy Theage reçoy cette rare beauté Comme le noble prix de ta fidelité.	Oui Thage reçois cette rare beauté Comme le noble prix de ta fidélité.
Mi	Mi
THEAGE.	THÉGE.
Ozeray-je eſperer bel aſtre de ma vie De voir d’vn ſi beau nœud ma franchiſe aſſeruie?	Ozerai-je espérer bel astre de ma vie De voir d'un si beau nœud ma franchise asservie?
ORPHISE.	ORPHISE.
Apres tant de ſermens en pouuez vous douter?	Après tant de serments en pouvez vous douter?
Non, moncœureſt vn prix qu'on ne vous peutoſter Et vous deuez aulant pour cette iouïſſance A mon affection, qu’à monobeïſſance.	Non, moncœurest un prix qu'on ne vous peutôter Et vous devez aulant pour cette jouissance À mon affection, qu'à monobéissance.
HERMODORE.	HÉRMODORE.
Enfin cet heureux iour ſi long-temps differé Eſt venu quand mon cœur l’auoit moins eſperé, Et lors que ie prenois le handeau de iuſtice, Ie penſe que le ſort par vn plaiſant caprice, A deuoilé mes yeux de ce funeſte atour, Et remis en ſa pluce vn bandeaus de l’Amour:	Enfin cet heureux jour si longtemps différé Est venu quand mon cœur l'avait moins esperé, Et lors que tu prenais le handeau de justice, Je pense que le sort par un plaisant caprice, A dévoilé mes yeux de ce funeste atour, Et remis en sa pluce un bandeaus de l'Amour:
Enfin ce petit Dieu qui cauſoit nos tempeſtes A luy meſme eſloigné l’orage de nos teſtes, Et le meſme pouuoir que ie craignois ſi fort Loing de nous abiſmer nous amis dans le port.	Enfin ce petit Dieu qui causait nos tempêtes A lui même éloigné l'orage de nos têtes, Et le même pouvoir que ie claignais si fort Loing de nous abîmer nous amis dans le port.
THEAGE.	THÉGE.
Ozeray-je eſperer bel aſtre de ma vie De voir d’vn ſi beau nœud ma franchiſe aſſeruie?	Ozerai-je espérer bel astre de ma vie De voir d'un si beau nœud ma franchise asservie?
ORPHISE.	ORPHISE.
Apres tant de ſermens en pouuez vous douter?	Après tant de serments en pouvez vous douter?
Non, moncœureſt vn prix qu'on ne vous peutoſter Et vous deuez aulant pour cette iouïſſance A mon affection, qu’à monobeïſſance.	Non, moncœurest un prix qu'on ne vous peutôter Et vous devez aulant pour cette jouissance À mon affection, qu'à monobéissance.
HERMODORE.	HÉRMODORE.
Enfin cet heureux iour ſi long-temps differé Eſt venu quand mon cœur l’auoit moins eſperé, Et lors que ie prenois le handeau de iuſtice, Ie penſe que le ſort par vn plaiſant caprice, A deuoilé mes yeux de ce funeſte atour, Et remis en ſa pluce vn bandeaus de l’Amour:	Enfin cet heureux jour si longtemps différé Est venu quand mon cœur l'avait moins esperé, Et lors que tu prenais le handeau de justice, Je pense que le sort par un plaisant caprice, A dévoilé mes yeux de ce funeste atour, Et remis en sa pluce un bandeaus de l'Amour:
Enfin ce petit Dieu qui cauſoit nos tempeſtes A luy meſme eſloigné l’orage de nos teſtes, Et le meſme pouuoir que ie craignois ſi fort Loing de nous abiſmer nous amis dans le port.	Enfin ce petit Dieu qui causait nos tempêtes A lui même éloigné l'orage de nos têtes, Et le même pouvoir que ie claignais si fort Loing de nous abîmer nous amis dans le port.
