L’IMPOSTEUR,	L'IMPOSTEUR,
CLEANTE.	CLÉANTE.
Voſtre reſſe ntiment ne doit point éclater;	Votre resse ntiment ne doit point éclater;
Et s’il parle d’accord, il le faut écouter.	Et s'il parle d'accord, il le faut écouter.
M.	M.
LOYAL.	LOYAL.
Salut, Monſieur.	Salut, Monsieur.
Le Ciel perde qui vous veut nuire Et vous ſoit favorable autant que je deſire.	Le Ciel perde qui vous veut nuire Et vous soit favorable autant que je désire.
ORGON.	ORGON.
Ce dous début s’accorde auec mon jugement.	Ce dous début s'accorde avec mon jugement.
Et préſage déja quelque accommodement.	Et présage déjà quelque accommodement.
M.	M.
LOYAL.	LOYAL.
Toute vome Maiion Ma toujouis elte cncre, Et j’eſtois ſeruiteur de Monſieur voſtre Pere.	Toute vome Maiion Ma jouis éelte cncre, Et j'étais serviteur de Monsieur votre Père.
ORGON.	ORGON.
Monſieur.	Monsieur.
j’ay grande honte, & demande pardon, D’eſtre ſans vous cõnoiſtre, ou ſçauoir voſtre nom.	j'ai grande honte, et demande pardon, D'être sans vous cõnoistre, ou savoir votre nom.
M.	M.
LOYAL.	LOYAL.
Je m’apelle Loyal, natif de Normandie, Et ſuis Huiſſier à Verge, en dépit de l’Enuie.	Je m'appelle Loyal, natif de Normandie, Et suis Huissier à Verge, en dépit de l'Enuie.
I'ay depuis quarante ans, grace au Ciel, le bonheur D’en exercer la Charge auec beaucoup d’honneur;	J'ai depuis quarante ans, grâce au Ciel, le bonheur D'en exercer la Charge auec beaucoup d'honneur;
Et je vous vien, Monſieur, auec voſtre licence, Signifier l’Exploit de certaine Ordonnance, ORGON.	Et je vous viens, Monsieur, avec votre licence, Signifier l'Exploit de certaine Ordonnance, ORGON.
M.	M.
LOYAL.	LOYAL.
Quoy!	Quoi!
vous eſtes icy.	vous êtes ici.
Monſieur, ſans paſſion, Ce n’eſt rien ſeulement qu’vne Sommation.	Monsieur, sans passion, Ce n'est rien seulement qu'une Sommation.
Vn ordre de vuider d’icy, vous, & les voſtres, Mettre vos meubles hors, & faire place à d’autres, Sans delay, ny remiſe, ainſi que beſoin eſt.	Un ordre de vider d'ici, vous, et les vôtres, Mettre vos meubles hors, et faire place à d'autres, Sans délai, ni remise, ainsi que besoin est.
ORGON.	ORGON.
Moy, ſortir de ceans?	Moi, sortir de céans?
M.	M.
LOYAL.	LOYAL.
Ouy, Monſieur, s’il vous plaiſt.	Oui, Monsieur, s'il vous plaît.
un maifoil à prerent, coniſile feauez de relte, Au bon Monſieur Tartuffe appartient ſans conteſte.	un maifoil à prèrent, conjile feauz de relte, Au bon Monsieur Tartuffe appartient sans conteste.
De vos biens deſormais il eſt Maiſtre, & Seigneur, En vertu d’vn Contract duquel je ſuis Porteur.	De vos biens désormais il est Maître, et Seigneur, En vertu d'un Contrat duquel je suis Porteur.
Il eſt en bonne forme, & l’on n’y peut rien dire.	Il est en bonne forme, et l'on n'y peut rien dire.
DAMIS.	DAMIS.
Certes, cette impudence eſt grande, & je l’admire.	Certes, cette impudence est grande, et je l'admire.
M.	M.
LOYAL.	LOYAL.
Monſieur, je ne doy point auoir affaire à vous;	Monsieur, je ne dois point avoir affaire à vous;
C’eſt à Monſieur, il eſt, & raiſonnable, & dous, Et d’vn Homme de bien il ſçait trop bien l’office, Pour ſe vouloir du tout oppoſer à Juſtice.	C'est à Monsieur, il est, et raisonnable, et dous, Et d'un Homme de bien il sait trop bien l'office, Pour se vouloir du tout opposer à Justice.
ORGON.	ORGON.
Mais.	Mais.
M.	M.
LOYAL.	LOYAL.
Ouy, Monſieur, je ſçay que pour vn million Vous ne voudriez pas faire rebeſlion;	Oui, Monsieur, je sais que pour un million Vous ne voudriez pas faire rebeslion;
D 3 Et Et que vous ſouffrirez en honneſte Perſonne, Que j’execute icy les ordres qu’on me donne.	D' 3 Et Et que vous souffrirez en honnête Personne, Que j'exécute ici les ordres qu'on me donne.
DAMIS.	DAMIS.
vous poumez oieniey, fur vontſe noijupon, Monſieur l’Huiſſier à Verge, attirer le baſton.	vous pourrez oieniey, fur vontse noijupon, Monsieur l'Huissier à Verge, attirer le bâton.
M.	M.
LOYAL.	LOYAL.
Faites que voſtre Fils ſe taiſe, ou ſe retire, Monſieur, j’aurois regret d’eſtre obligé d’écrire, et de rous voir couché dans mon Procez verbal.	Faites que votre Fils se taise, ou se retire, Monsieur, j'aurais regret d'être obligé d'écrire, et de rous voir couché dans mon Procès verbal.
ELMIRE.	ÉLMIRE.
Ce Monſieur Loyal porte vn air bien déloyal!	Ce Monsieur Loyal porte un air bien déloyal!
M.	M.
LOYAL.	LOYAL.
ſes, Pour tous les Gens de bien, j’ay de grandes tendreſEt ne me ſuis voulu, Monſieur, charger des Pieces, Que pour vous obliger, & vous faire plaiſir;	ses, Pour tous les Gens de bien, j'ai de grandes tendresEt ne me suis voulu, Monsieur, charger des Pièces, Que pour vous obliger, et vous faire plaisir;
Que pour oſter, par là, le moyen d’en choiſir, Qui n’ayant pas pour vous le zele qui me pouſſe, Auroient pu proceder d’vne façon moms douce.	Que pour ôter, par là, le moyen d'en choisir, Qui n'ayant pas pour vous le zèle qui me pousse, Auraient pu procéder d'une façon moments douce.
ORGON.	ORGON.
Et que pent-on de pis, que d’ordonner aux Gens De ſortir de chez eux?	Et que pent-on de pis, que d'ordonner aux Gens De sortir de chez eux?
M.	M.
LOYAL.	LOYAL.
On vous donne du temps, Et juſques à demain, je feray ſurſeance A l'execution, Monſieur, de l’ordonnance, Je viendray ſeulement paſſer icy la nuit, Auec dix de mes Gens, ſans ſcandale, & ſans bruit.	On vous donne du temps, Et jusques à demain, je ferai surséance À l'exécution, Monsieur, de l'ordonnance, Je viendrai seulement passer ici la nuit, Avec dix de mes Gens, sans scandale, et sans bruit.
Pour la forme, il faudra, s’il vous plaiſt, qu’on m’aporte, Auant que ſe coucher, les clefs de voſtre Porte.	Pour la forme, il faudra, s'il vous plaît, qu'on m'apporte, Avant que se coucher, les clefs de votre Porte.
J’auray ſoin de ne pas troubler voſtre repos, Et de ne rien ſouffrir qui ne ſoit à propos.	J'aurai soin de ne pas troubler votre repos, Et de ne rien souffrir qui ne soit à propos.
Mais demain du matin, il vous faut eſtre habile A vuider de ceans juſqu’au moindre vſtencile.	Mais demain du matin, il vous faut être habile A vider de céans jusqu'au moindre vencile.
Mes Gens vous aideront;	Mes Gens vous aideront;
& je les ay pris forts, Pour vous faire ſeruice à tout mettre dehors.	et je les ai pris forts, Pour vous faire service à tout mettre dehors.
On n’en peut pas vſer mieux que je fais, je penſe;	On n'en peut pas user mieux que je fais, je pense;
Et comme je vous traite auec grande indulgence, Je vous conjure auſſi, Monſieur, d’en uſer bien, Et qu’au deu de ma Charge on ne me trouble en rienOE	Et comme je vous traite avec grande indulgence, Je vous conjure aussi, Monsieur, d'en user bien, Et qu'au dev de ma Charge on ne me trouble en rienOE
ORGON.	ORGON.
Du meilleur de mon cœur, je dõnerois ſur l’heure.	Du meilleur de mon cœur, je donnerais sur l'heure.
Les cent plus beaux Louis de ce qui me demeure, Et pouuoir à plaiſir, ſur ce muffle aſſener Le plus grand coup de poing qui ſe puiſſe donner.	Les cent plus beaux Louis de ce qui me demeure, Et pouvoir à plaisir, sur ce muffle assener Le plus grand coup de poing qui se puisse donner.
CLEANTE.	CLÉANTE.
DAMIS.	DAMIS.
Laiſſez, ne gaſtons rien.	Laissez, ne gâtons rien.
A cette audace étrange.	À cette audace étrange.
J’ay peine à me tenir, & la main me demange.	J'ai peine à me tenir, et la main me demange.
DORINE.	DORINE.
Auec vn ſi bon dos, ma foy, Monſieur Loyal, Quelques coups de baſton ne vous ſiéroient pas	Avec un si bon dos, ma foi, Monsieur Loyal, Quelques coups de bâton ne vous siéraient pas
M.	M.
LOYAL.	LOYAL.
On pourroit bien punir ces paroles infames, (mal.	On pourrait bien punir ces paroles infâmes, (mal.
Mamie, & l’on decrette auſſi contre les Femmes.	Mamie, et l'on décrette aussi contre les Femmes.
CLEANTE.	CLÉANTE.
Finiſſons tout cela, Monſieur, c’en eſt aſſez;	Finissons tout cela, Monsieur, c'en est assez;
Donnez toſt ce papier, de grace, & nous laiſſez.	Donnez tôt ce papier, de grâce, et nous laissez.
M.	M.
LOYAL.	LOYAL.
jurqu au ſeuonl.	jurqu au séonl.
De Olervous tieme tous en joye.	De Olervous tième tous en joie.
ORGON.	ORGON.
Puiſſe-t-il te confondre, & celuy qui t’enuoye!	Puisse-t-il te confondre, et celui qui t'envoie!
SCENE V.	SCÈNE V.
ORGON, GLEANTE, MARIANE.	ORGON, GLÉANTE, MARIANE.
ELMIRE, M.	ÉLMIRE, M.
PERNELLE, DORINE, DAMIS.	PERNELLE, DORINE, DAMIS.
ORGON.	ORGON.
E bien, vous le voyez, ma Mere, ſi j’ay droict;	E bien, vous le voyez, ma Mère, si j'ai droit;
Et vous pouuez juger du reſte par l’Explort.	Et vous pouvez juger du reste par l'Explort.
Ses trahiſons enfin, vous ſont-elles connues?	Ses trahisons enfin, vous sont-elles connues?
M.	M.
PERNELLE.	PERNELLE.
Je ſuis toute ébaubie, & je tombe des nuës.	Je suis toute ébaubie, et je tombe des nues.
DORINE.	DORINE.
Vous vous plaignez à tort;	Vous vous plaignez à tort;
à tort vous le blâmez, Et ſes pieux deſſeins, par là, ſont confirmez.	à tort vous le blâmez, Et ses pieux desseins, par là, sont confirmez.
Dans l'amour du Prochain, ſa vertu ſe conſomme, Il ſçait que tres-ſouuent les biens corrompent l’Homme;	Dans l'amour du Prochain, sa vertu se consomme, Il sait que très-souuent les biens corrompent l'Homme;
D 4 Et Et par charité pure, il veut vous enleuer Tout ce qui vous peut faire obſtacle à vous ſauuer	 4 Dame Et par charité pure, il veut vous enlever Tout ce qui vous peut faire obstacle à vous sauver
ORGON.	ORGON.
Taiſez-vous;	Taisez-vous;
c’eſt le mot qu’il vous faut toûjours	c'est le mot qu'il vous faut toujours
CLEANTE.	CLÉANTE.
dire.	dire.
Allons voir quel conſeil on doit vous faire élire.	Allons voir quel conseil on doit vous faire élire.
ELMIRE.	ÉLMIRE.
Allez faire éclater l’audace de l’Ingrat Ce procedé détruit la vertu du Contract;	Allez faire éclater l'audace de l'Ingrat Ce procédé détruit la vertu du Contrat;
Et la delolaure va paroiſtre trop noire, Pour ſouffrir qu’il en ait le ſuccés qu’õ veut croire.	Et la délolaure va paraître trop noire, Pour souffrir qu'il en ait le succès qu'en veut croire.
SCENE VI.	SCÈNE VI.
VALERE, ORGON, CLEANTE, ELMIRE, MARIANE, &c.	VALÈRE, ORGON, CLEANTE, ÉLMIRE, MARIANE, etc.
A VALERE.	À VALÈRE.
Vec regret, Monſieur, je viens vous affliger;	Vec regret, Monsieur, je viens vous affliger;
Mais je m’y voy cõtraint par le preſſant danger.	Mais je m'y vois comtraint par le pressant danger.
Vn Amy qui m’eſt joint d’vne amitié fort tendre, Et qui ſçait l’intereſt qu’en vous j’ay lieu de prenA violé pour moy, par vn pas délicat, Le ſecret que l’on doit aux affaires d’Eſtat, Et me vient d’enuoyer vn auis dont la ſuite Vous reduit au party d’vne ſoudaine fuite.	Un Ami qui m'est joint d'une amitié fort tendre, Et qui sait l'intérêt qu'en vous j'ai lieu de prenA violé pour moi, par un pas délicat, Le secret que l'on doit aux affaires d'État, Et me vient d'envoyer un avis dont la suite Vous réduit au parti d'une soudaine fuite.
dre Le fourbe, qui longtemps a pû vous impoſer, De puis vne heure, au Prince a ſçeu vous accuſer, Et remettre en ſes mains, dans les traits qu’il vous D’vn Criminel d’Eſtat, l’importante Caſſette, (jette, Dont au mé pris, dit-il, du deuoir d’vn Sujet, Vous auez conſerué le coupable ſecret.	dre Le fourbe, qui longtemps a pu vous imposer, De puis une heure, au Prince a su vous accuser, Et remettre en ses mains, dans les traits qu'il vous D'être Criminel d'État, l'importante Cassette, (jette, Dont au mé pris, dit-il, du devoir d'un Sujet, Vous avez conservé le coupable secret.
Jignore le détail du crime qu’on vous donne, Mais vn Ordre eit donne contre voitſe perſonne, Et luy-meſme eſt chargé, pour mieux l’executer, D’accompagner celuy qui vous doit arreſter.	Jignore le détail du crime qu'on vous donne, Mais un Ordre eit donne contre voitse personne, Et luiours est chargé, pour mieux l'exécuter, D'accompagner celui qui vous doit arrêter.
CLEANTE.	CLÉANTE.
Voila ſes droicts armez, & c’eſt par où le Traiſtre, De vos biens qu’il prétend, cherche à ſe rendre	Voilà ses droits armés, et c'est par où le Traître, De vos biens qu'il prétend, cherche à se rendre
ORGON.	ORGON.
maiſtre.	maître.
L’Homme eſt, je vous l’auouë, vn méchant Animal!	L'Homme est, je vous l'avoue, un méchant Animal!
VA	VA
VALERE.	VALÈRE.
Le moindre amuſement vous peut eſtre fatal.	Le moindre amusement vous peut -être fatal.
I’ay, pour vous emmener, mon Caroſſe à la Porte, Avec mille Loûis qu’icy je vous apporteNe perdons point de temps, le trait eſt foudroyant, Et ce ſont de ces coups que l’on pare en fuyant.	J'ai, pour vous emmener, mon Carosse à la Porte, Avec mille Louis qu'ici je vous apporteNe perdons point de temps, le trait est foudroyant, Et ce sont de ces coups que l'on pare en fuyant.
A vous mettre en lieu ſeur, je m’offre pour cõduite Et veux accompagner, juſqu’au bout, voſtre fuite.	À vous mettre en lieu sûr, je m'offre pour cõduite Et veux accompagner, jusqu'au bout, votre fuite.
ORGON.	ORGON.
Las!	Las!
que ne dois je point à vos ſoins obligeans, Pour vous en rendre grace, il faut un autre temps;	que ne dois -je point à vos soins obligeants, Pour vous en rendre grâce, il faut un autre temps;
Et je demande au Ciel, de m’eſtre aſſez propice, Pour reconnoiſtre un jour ce genereux ſervice.	Et je demande au Ciel, de m'être assez propice, Pour reconnaître un jour ce généreux service.
Adieu, prenez le ſoin vous autres.	Adieu, prenez le soin vous autres.
CLEANTE.	CLÉANTE.
Allez toſt;	Allez tôt;
Nous ſongerons, mon Frere, à faire ce qu’il faut.	Nous songerons, mon Frère, à faire ce qu'il faut.
SCENE DLNNIENE.	SCÈNE DLNNIENE.
L’EXEMPT, TARTUFFE, VALERE, ORGON, ELMIRE, MARIANE, &c.	L'EXEMPT, TARTUFE, VALÈRE, ORGON, ELMIRE, MARIANE, etc.
TARTVFFE.	TARTUFFE.
Out-beau, Monſieur, tout-beau, ne courez point ſi viſte;	Out-beau, Monsieur, tout-beau, ne courez point si vite;
Vous n’irez pas fort loin, pour trouver voſtre giſte, Et de la part du Prince, on vous fan priſonnier.	Vous n'irez pas fort loin, pour trouver votre gîte, Et de la part du Prince, on vous fan prisonnier.
ORGON.	ORGON.
Traiſtre, tu me gardois ce trait pour le dernier.	Traître, tu me gardais ce trait pour le dernier.
C’eſt le coup, Scelerat, par où tu m’expedies, Et voila couronner toutes tes perfidies.	C'est le coup, Scélérat, par où tu m'expédies, Et voilà couronner toutes tes perfidies.
TARTVFFE.	TARTUFFE.
*os fiijures n'ont Hell a mne pouvon digilI, Et je uis, pour le Ciel, appris à tout ſouffrir.	*os fijures n'ont Hell à mune pouvon digilI, Et je uis, pour le Ciel, appris à tout souffrir.
CLEANTE.	CLÉANTE.
La modé ration eſt grande, je l’avouë.	La modé ration est grande, je l'avoue.
DAMIS.	DAMIS.
Comme du Ciel, l’Infame, impudemment ſe jouë!	Comme du Ciel, l'Infâme, impudemment se joue!
TARTUFFE.	TARTUFFE.
Tous vos emportemens ne ſçaurojent m’émouvoir, Et Et je ne ſonge à rien, qu’a faire mon devoir.	Tous vos emportements ne saurojent m'émouvoir, Et Et je ne songe à rien, qu'a faire mon devoir.
MARIANE.	MARIANE.
Vous avez de cecy, grande gloire à prétendre, Et cet employ pour vous, eſt fort honneſte à pren	Vous avez de ceci, grande gloire à prétendre, Et cet emploi pour vous, est fort honnête à pren
TARTVFFE.	TARTUFFE.
Un employ ne içaurolt eſtle que glorieux, (dre.	Un emploi ne içaurolt estle que glorieux, (dre.
Quond il part du pouvoir qui m’ẽvoye en ces lieux.	Quond il part du pouvoir qui m'envoie en ces lieux.
ORGON.	ORGON.
Mais t'es-tu ſouvenu que ma main charitable, Ingrat, t’a retiré d’un eſtat miſerable;	Mais t'es-tu souvenu que ma main charitable, Ingrat, t'a retiré d'un état misérable;
TARTUFFE.	TARTUFFE.
Oüy, je ſçay quels ſecours j’en ay pû recevoir;	Oui, je sais quels secours j'en ai pu recevoir;
Mais l’intereſt du Prince eſt mon premier devoir!	Mais l'intérêt du Prince est mon premier devoir!
De ce devoir ſacré, la juſte violence.	De ce devoir sacré, la juste violence.
Etouffe dans mon cœur toute reconnoiſſance;	Étouffe dans mon cœur toute reconnaissance;
Et je ſacrifirois à de ſi puiſſans nœux, Aiij, Penimie, Pareno, ce moy mnemoulec eux.	Et je sacrifirais à de si puissants nœux, Ajijà, Pénimie, Pareno, ce moi mnemoulec eux.
ELMIRE.	ÉLMIRE.
L’Impoſieur !	L'Imposieur !
DORINE.	DORINE.
Comme il ſçait, de traiſtreſſe maniere, Se faire un beau manteau de tout ce qu’on révere!	Comme il sait, de traîtresse manière, Se faire un beau manteau de tout ce qu'on révère!
CLEANTE.	CLÉANTE.
Mais sſt:	Mais sst:
il e ſi parfait que vous le declarez, Ce zele qui vous pouſſe, & dont vous vous parez;	il est si parfait que vous le déclarez, Ce zèle qui vous pousse, et dont vous vous parez;
D'où vient que pour paroiſtre, il s’aviſe d’attendre, Qu’à pourſuivre ſa Femme, il ait ſçeu vous ſurprenEt que vous ne ſongez à l’aller dénoncer, (dre?	D'où vient que pour paraître, il s'avise d'attendre, Qu'à poursuivre sa Femme, il ait su vous surprenEt que vous ne songez à l'aller dénoncer, (dre?
