DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
Quel mortel à ce poinct fut iamais interdit?	Quel mortel à ce point fut jamais interdit?
D.	D.
BERNARD.	BERNARD.
Moy certes, comme apres leur longue experience, poomuux ciennens uvourut ovſirt paiience.	Moi certes, comme après leur longue expérience, poomuux ciennents ouvourut ovirt paiience.
I'en demeure confus & pour leur appreil, Me treuue à bout außi d’adreſſe & de conſeil.	J'en demeure confus et pour leur appréil, Me trouve à bout aussi d'adresse et de conseil.
D.	D.
LOPE comme deſeſperé.	LOPE comme désespéré.
Et pour ton faſte encor i’exercerois mes armes, Et dans ta vanité ie treuuerois des charmes, Et ie voudrois encor mordre à tes hameçons, Cour ingrate où l’art ſeul eſtalle ſes leçons, Et qui hors d’vn amy dont la bonté ſincere Luy faict auoir pour moy des ſentiments de frere, N'offres dans les malheurs dont ie ſuis combatu, Ny Cecours, ny ſouſtien à ma foible vertu:	Et pour ton faste encor j'exercerais mes armes, Et dans ta vanité homme trouverais des charmes, Et belle voudrais encor mordre à tes hameçons, Cour ingrate où l'art seul estalle ses leçons, Et qui hors d'un ami dont la bonté sincère Lui fait avoir pour moi des sentiments de frère, N'offres dans les malheurs dont ie suis combattu, Ni Cecours, ni soutien à ma faible vertu:
Cour où la valeur meſme eſt trop fauoriſee, Alors qu'elle eſt ſoufferte, ou n'eſt que meſpriſee:	Cour où la valeur même est trop favorisée, Alors qu'elle est soufferte, ou n'est que méprisée:
Cour fantoſme pompeux de qui les vanitez, Engagent la prudence à tant de lâchetez!	Cour fantôme pompeux de qui les vanités, Engagent la prudence à tant de lâchetés!
Cour où la verité paſſe pour vn beau ſonge, Où le plus haut credit eſt le prix du menſonge;	Cour où la vérité passe pour un beau songe, Où le plus haut crédit est le prix du mensonge;
Qui n'eſt à bien parler, qu'vn ſeruage doré, Vn ſupplice agreable, vn enfer adoré;	Qui n'est à bien parler, qu'autre servage doré, Un supplice agréable, un enfer adoré;
Dans tes pieges encor ma raiſon retenuë, Me pourroit arreſter, quand tu m'es ſi cognuë?	Dans tes pièges encor ma raison retenue, Me pourrait arrêter, quand tu m'es si connue?
Ie ſerois inſenſible & mes lâches tributs, Iuſtifieroient enfin ma honte, & tes rebuts;	Je serais insensible et mes lâches tributs, Justifieraient enfin ma honte, et tes rebuts;
braſeĩt A dieu parfaict amy, ſeul à qui ſans caprice, La Cour eſt genereuſe, & le ſort rend iuſtice.	braseint A dieu parfait ami, seul à qui sans caprice, La Cour est généreuse, et le sort rend justice.
Vn mortel malheureux au poinct où ie le ſuis, Par vne illuſtre mort doibt borner ſes ennuys;	Un mortel malheureux au point où tu le suis, Par une illustre mort doibt borner ses ennuis;
Voyant Ou s’il ne perd au moins, doibt cacher vne vie, rille pa A tant d’indignitez & d’affronts aſſeruie;	Voyant Ou s'il ne perd au moins, doibt cacher une vie, rille pa Y tant d'indignités et d'affronts asservie;
iecthas Laſche de mon affront veus tu porter les marques?	Acthas Lâche de mon affront vus tu porter les marques?
M CixRTMmM Si vous n’en eſperez que de ſœurs de Monarques;	M MixRTMmM Si vous n'en espérez que de sœurs de Monarques;
Et ſi iamais d’ailleurs nous n’en deuons porter, Nous auons tout loiſir d’aller les meriter.	Et si jamais d'ailleurs nous n'en devons porter, Nous avons tout loisir d'aller les mériter.
D.	D.
BERNARD voulant retenir D.	BERNARD voulant retenir D.
Lope.	Lope.
Le temps peut tout changer, cependãt cher de Lune, En ma protection bornez voſtre fortune;	Le temps peut tout changer, cependant cher de Lune, En ma protection bornez votre fortune;
Si vous vous eſloignez, vous oſtez à l'Eſtat, Sa plus noble deffenſe & ſon meilleur ſoldat;	Si vous vous éloignez, vous ôtez à l'État, Sa plus noble défense et son meilleur soldat;
Ecoutez, affendeZ.	Écoutez, affendez.
Il continuë ſeul.	Il continue seul.
O fatale aduanture!	Ô fatale aventure!
De la haine du ſort effroyable peinture!	De la haine du sort effroyable peinture!
Auuovon importumte ueceure quu fan puiſſants, de ejulun faigemnen delaf Syuse	Auvovon importumte ecure quu fan puissants, de ejulun faigemnen délaf Syuse
SCEIVEVIII LEROY, LE COMTE,LESECRET.	SCEIVEVIII LEROI, LE COMTE,LESECRET.
GARDES, D.	GARDES, D.
BERNARD.	BERNARD.
LE ROY.	LE ROY.
E voicy, preuenons ou ſondons ſon attente, LAmenez Leonor, & vous Comte l’Infante;	E voici, prévenons ou sondons son attente, LAmenez Leonor, et vous Comte l'Infante;
Ae se Approchez Dom Bernard, de ce fameux Eſtat Premiere creature, & ſecond Potentat;	Ae se Approchez Dom Bernard, de ce fameux État Première créature, et second Potentat;
Le Ciel qui pour mouuoir a beſoing de deux poles, BernVeut que pour bien regner i’emprunte vos eſpaules, Et que le lourd fardeau de mon Gouuernement, Sur vo uscomme ſur moy, treuue ſon mouuëment.	Le Ciel qui pour mouvoir a besoin de deux pôles, BernVeut que pour bien régner j'emprunte vos épaules, Et que le lourd au de mon Gouvernement, Sur vo uscomme sur moi, trouve son mouvement.
D.	D.
BERNARD.	BERNARD.
Sans reſerue, Seigneur, ie dois tout à l'Empire, Mais ſous l’autorité du ioug où ie reſpire;	Sans réserve, Seigneur, je dois tout à l'Empire, Mais sous l'autorité du joug où notre respire;
Sous vos droits abſolus mes ordres ſont ſoufferts, Mais bien differemment, vous regnez, & ie ſerts Vn vaſſal peut d’vn Roy ſouſtenir la puiſſance, Mais s’il ſe la partage, il prend trop de licence;	Sous vos droits absolus mes ordres sont soufferts, Mais bien différemment, vous régnez, et notre serts Un vassal peut d'un Roi soutenir la puissance, Mais s'il se la partage, il prend trop de licence;
Et quand de tant d’honneur il ſe laiſſe combler, Il ſe charge d’vn faix qui le doit accabler:	Et quand de tant d'honneur il se laisse combler, Il se charge d'une faix qui le doit accabler:
Quand d’vn œil trop ardent le Soleil voit la terre, Le Ciel s’en obſcurcit, il s’en forme vn tonnerre, Et par l’excez d’ardeur qu’il a mal employé, L'opiect qu'il careſſoit, eſt ſouuent foudroyé, momuepurje en faifamnamenmtumde perile, Ou trop d'eau ta ſuomerge & ta tenu inutile;	Quand d'un oeil trop ardent le Soleil voit la terre, Le Ciel s'en obscurcit, il s'en forme un tonnerre, Et par l'excès d'ardeur qu'il a mal employé, L'opject qu'il caressait, est souvent foudroyé, momuepurje en faifamnamenmtumde perile, Ou trop d'eau ta superge et ta tenu inutile;
Dans vos faueurs enfin laiſſés moy ſouuenir, Que ſorty du neant ie puis y reuenir;	Dans vos faveurs enfin laissés moi souvenir, Que sorti du néant tu puis y revenir;
LE ROY.	LE ROY.
Si ie ne vous cheris d’vn amour ordinaire, Ie n’ayme pas en vous vne vertu vulgaire, Et la veux Couronner par vn hymen fameux, Où meſme voſtre choix n’eſpargne pas mes vœux, Sans reſerue voyez pour cet hymen inſigne, Tout ce qu’à vos regards la Cour a de plus digne, Tout ce que l’Arragon a de plus eſclattant, Le preſent n'en ſuiura vos vœux que d’vn inſtant.	Si personne ne vous chéris d'espar ordinaire, Je n'aime pas en vous une vertu vulgaire, Et la veux Couronner par un hymen fameux, Où même vôtre choix n'épargne pas mes vœux, Sans réserve voyez pour cet hymen insigne, Tout ce qu'à vos regards la Cour a de plus digne, Tout ce que l'Aragon a de plus éclatant, Le présent n'en suivra vos vœux que d'un instant.
D.	D.
BERNARD.	BERNARD.
Leur vol trop orgueilleux m’oblige à les reſtraindre.	Leur vol trop orgueilleux m'oblige à les restraindre.
LE ROY.	LE ROY.
A quoy m’eſtant egal ne pouuez vous attaindre!	À quoi m'étant égal ne pouvez vous attaindre!
Vous pouuez Admiral, ie vous le dis encor, A mon excluſion pretendre à Leonor:	Vous pouvez Admiral, je vous le dis encor, À mon exclusion prétendre à Leonor:
Puiſqu a mon propre mien voſtre peur m'eſt preferable, Et que vous m'eſtes cher autant qu’elle adorable:	Puisqu à mon propre mien votre peur m'est préférable, Et que vous m'êtes cher autant qu'elle adorable:
D.	D.
BERNARD.	BERNARD.
Mon cœur quelque reſpect qu’il vous ayt conſerué, OZe tenter vn vol encor plus eſleue;	Mon cœur quelque respect qu'il vous ait conservé, OZe tenter un vol encor plus esleue;
Mais taiſant ceſte ardeur qui me faict méconnoiI'ayme-mieux me punir, que meriter de l’eſtre.	Mais taisant cette ardeur qui me fait méconnoiI' que-mieux me punir, que mériter de l'être.
LE ROY.	LE ROY.
Ce vol eſt trop borné, s’il ne va qu’à ma ſœur, Et cette meſme nuict vous en rend poſſeſſeur:	Ce vol est trop borné, s'il ne va qu'à ma sœur, Et cette même nuit vous en rend possesseur:
Ne me celez donc point ſi cette amour vous touche,	Ne me celez donc point si cette amour vous touche,
D.	D.
BERNARD.	BERNARD.
Ent run crime du cœur n’engagez, point la bouche;	Ent run crime du cœur n'engagez, point la bouche;
Puiſque touts mes trauaux & futurs & paſſez,	Puisque touts mes travaux et futurs et passez,
LE ROY.	LE ROY.
Voſtre ſilence parle & me la nomme aſſez;	Votre silence parle et me la nomme assez;
Ouy monfrere en fonnon, iene poy voſtre homma	Oui monfrere en fonnon, iene poi votre homma
SCENE DERNIERE.	SCÈNE DERNIÈRE.
LINTAIN TE,DE GOMTE,LEONOR LE SECRETAIRE d’vn coſté.	LINTAIN TE,DE GOMTE,LEONOR LE SECRÉTAIRE d'un côté.
LE ROY, D.	LE ROY, D.
BERNARD d’autre coſté.	BERNARD d'autre côté.
EDROIALIRIANTE.	EDROIALIRIANTE.
IN Amant ſe declare à qui ie vous engage, V Ses vœux (ma chere ſœur) ſeront ils reiettez?	IN Amant se déclare à qui je vous engage, V Ses vœux (ma chère sœur) seront ils rejettez?
L’INFANTE.	L'INFANTE.
Non, ſide Dom Berhmrunules qualitez;	Non, side Dom Berhmrunules qualités;
LE ROY les faiſant embraſſer.	LE ROY les faisant embrasser.
Ibinale nom mqme anceques ſemne.	Ibinale nom même anceques semne.
D.	D.
BERNARD.	BERNARD.
Ocher & doux tranſport que cet eſpoir m’excite!	Ocher et doux transport que cet espoir m'excite!
Sienelar quele congej, ney ent dcente, Plutoſt qu’vn ſi beau ſonge, oſte moy la clarté.	Sienelar quele congej, ney ent denté, Plutôt qu'un si beau songe, ôte moi la clarté.
LEONOR les voyant s’embraſſer.	LEONOR les voyant s'embrasser.
Que vois-je !	Que vois-je ?
ô iuſte Ciel!	ô juste Ciel!
quoy, Seigneur, la parole!	quoi, Seigneur, la parole!
N’eſt-elle plus aux Rois, qu'vn ſonge, ou qu'vne Idole?	N'est-elle plus aux Rois, qu'un songe, ou qu'une Idole?
Dematin queitpue ouiet qui ne puſt enflammer, Ne me deuoit couſter qu’vn ſouhait a former;	Dematin queitpue ouiét qui ne pût enflammer, Ne me devait coûter qu'une souhait à former;
Et cette offre ce ſoir, me laiſſe voir l’Infante, Embraſſant Dom Bernard, étouffer mon attente.	Et cette offre ce soir, me laisse voir l'Infante, Embrassant Dom Bernard, étouffer mon attente.
LE ROY.	LE ROY.
Si ie manque à ma foy, c’eſt pour vous la donner, Pour vous la tenir mieux, & pour vous couron-braſit.	Si grande manque à ma foi, c'est pour vous la donner, Pour vous la tenir mieux, et pour vous couron-brasit.
ner;	ner;
Pour accorder, Madame, à voſtre amour extréme, Cet heureux Dom Bernard en vn autre luy-méme;	Pour accorder, Madame, à votre amour extrême, Cet heureux Dom Bernard en un autre lui-même;
Et ſous vn nœud ſacré ſouſmette en ce beau iour, Ets iutjons de l'Eſtar à tents dt v'amonr.	Et sous un nœud sacré sousmette en ce beau jour, Ets jutjons de l'Étar à tents d 'amonr.
LEONOR.	LEONOR.
L’iniure qui d’vn Roy partage la puiſſance, Et qui place en ſon trône, eſt vne heureuſe offence.	L'injure qui d'He Roy partage la puissance, Et qui place en son trône, est une heureuse offense.
LE ROY.	LE ROY.
Comme ſur mon eſprit, regnez ſur mas Eſtats, Allons.	Comme sur mon esprit, régnez sur mas États, Allons.
Mais quel écrit trouuay-je ſous mes pas?	Mais quel écrit trouvai-je sous mes pas?
D.	D.
BERNARD.	BERNARD.
D'vne vieille ſuiuante à ce Lope de Lune, Dont la ſeule valeur égale l’infortune.	D'une vieille suivante à ce Lope de Lune, Dont la seule valeur égale l'infortune.
Ce prodige animé dont les geſtes guerriers, Vous ont couuert le front de vos plus beaux lauriers;	Ce prodige animé dont les gestes guerriers, Vous ont couvert le front de vos plus beaux lauriers;
Et de ſon plus beau luſtre embelly voſtre regne, Qui repouſſa l’Infant, quiſouſmit la Sardaigne, Et dont la renommée auec tant de ſuccés, Dans voſtre eſprit encor n’a ſçeu treuuer d’accés.	Et de son plus beau lustre embelli votre règne, Qui repoussa l'Infant, quisousmit la Sardaigne, Et dont la renommée auec tant de succès, Dans votre esprit encor n'a su trouver d'accès.
LE ROY.	LE ROY.
Quel malheur l’a priué de ma recognoiſſance?	Quel malheur l'a privé de ma reconnaissance?
D.	D.
BERNARD.	BERNARD.
Sa der niere infortun eeſt encor ſonab ſence;	Sa der nière infortun eest encor son sence;
Carapres touts mes ſoings en vain officieux, Pos tongs revuts enſin tont tuape de tes teux.	Caraprès touts mes soins en vain officieux, Pos tongs revuts ensin tont tuape de tes teux.
18 Moyennez ſon retour;	18 Moyennez son retour;
ma grace auec vſure, Du merite ignoré reparera l’iniure;	ma grâce avec usure, Du mérite ignoré réparera l'injure;
Pniſque i'éprouue en vous qu’vn Roy recognoiſ121 A force de donner, en deuient plus puiſſant.	Pnisque j'éprouve en vous qu'un Roi reconnais121 A force de donner, en devient plus puissant.
IN.	IN.
Exiraiti an Irmbege au Roy,	Exiraiti an Irmbege au Roi,
AR Grace & Priuilege du Roy, donné à Paris le 11.	AR Grâce et Privilège du Roi, donné à Paris le 11.
Mars 1647.	Mars 1647.
Signé, Par le Roy enſon Conſeil, LE BRVN.	Signé, Par le Roi enson Conseil, LE BRVN.
Il eſt permis à ANTOINE DE SOMMAVILLE, Marchand Libraire à Paris, d’imprimer ou faire imprimer vne Comedie intitulée, Dom Bernard de Cabrere, & ce durant le temps & eſpace de cinq ans, à compter du iour que ledit Liure ſera acheué d’imprimer.	Il est permis à ANTOINE DE SOMAUILLE, Marchand Libraire à Paris, d'imprimer ou faire imprimer une Comédie intitulée, Dom Bernard de Cabre, et ce durant le temps et espace de cinq ans, à compter du jour que ledit Livre sera achevé d'imprimer.
Et deffences à tous autres d’en vendre ny diſtribuer d’autre impreſſion que de celle qu’aura fait ou teit faire ledit debonimauie, à peme de enqcens liures d’amende, ainſi qu’il eſt plus amplement porté dans les Lettres cydeſſus dattées.	Et défenses à tous autres d'en vendre ni distribuer d'autre impression que de celle qu'aura fait ou te faire ledit débonimavie, à peme de enqcens livres d'amende, ainsi qu'il est plus amplement porté dans les Lettres cydessus dattées.
Et ledit de Sommauille a aſſocié audit Priuilege Touſſainct Quinet, außi Marchand Libraire à Paris, ſuiuant l’accord fait entr'eux.	Et ledit de Sommauille a associé audit Privilège Toussaint Quinet, aussi Marchand Libraire à Paris, suivant l'accord fait entr'eux.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
Exiraiti an Irmbege au Roy,	Exiraiti an Irmbege au Roi,
AR Grace & Priuilege du Roy, donné à Paris le 11.	AR Grâce et Privilège du Roi, donné à Paris le 11.
Mars 1647.	Mars 1647.
Signé, Par le Roy enſon Conſeil, LE BRVN.	Signé, Par le Roi enson Conseil, LE BRVN.
Il eſt permis à ANTOINE DE SOMMAVILLE, Marchand Libraire à Paris, d’imprimer ou faire imprimer vne Comedie intitulée, Dom Bernard de Cabrere, & ce durant le temps & eſpace de cinq ans, à compter du iour que ledit Liure ſera acheué d’imprimer.	Il est permis à ANTOINE DE SOMAUILLE, Marchand Libraire à Paris, d'imprimer ou faire imprimer une Comédie intitulée, Dom Bernard de Cabre, et ce durant le temps et espace de cinq ans, à compter du jour que ledit Livre sera achevé d'imprimer.
Et deffences à tous autres d’en vendre ny diſtribuer d’autre impreſſion que de celle qu’aura fait ou teit faire ledit debonimauie, à peme de enqcens liures d’amende, ainſi qu’il eſt plus amplement porté dans les Lettres cydeſſus dattées.	Et défenses à tous autres d'en vendre ni distribuer d'autre impression que de celle qu'aura fait ou te faire ledit débonimavie, à peme de enqcens livres d'amende, ainsi qu'il est plus amplement porté dans les Lettres cydessus dattées.
