PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
Que tu n’as moins de foy, comme de chasteté;	Que tu n'as moins de foi, comme de chasteté;
Mais ma belle, tu vas entrer en ſeruitude, Le ioug de tes parents eſt ma ſollicitude, Ils ne conſentiront qu’étranger inconnu, Eſclaue en leur pays de toute choſe nù, Ie te ſois allié ſous la torche iugale, Ardants à rechercher vn alliance égale, Vn gendre plus fameux, vn Monarque voiſin, Ainſy ne peut faillir d’empirer mon deſtin, Ainſy de ton ſecours les moyens iuutiles Trauaillent repenſez, mes eſprits peu tranquilles, Figeit mon ſang de crainte, & me font heriſſer, Cẽt ennuieux propos me fait recommencer.	Mais ma belle, tu vas entrer en servitude, Le joug de tes parents est ma sollicitude, Ils ne consentiront qu'étranger inconnu, Esclave en leur pays de toute chose nuis, Je te sois allié sous la torche jugale, Ardants à rechercher un alliance égale, Un gendre plus fameux, un Monarque voisin, Ainy ne peut faillir d'empirer mon destin, Ainsi de ton secours les moyens iuutiles Travaillant repensez, mes esprits pu tranquilles, Figit mon sang de crainte, et me font hérisser, Cẽt ennuyeux propos me fait recommencer.
Las!	Las!
ma ſainte, ie tien ta parole vn oracle, Si libre, elle pouuoit s’accomplir ſans ohſtacle, I’eſtime ta parole vne fatalité;	ma sainte, Seigneur tien ta parole un oracle, Si libre, elle pouvait s'accomplir sans ohacle, J'estime ta parole une fatalité;
Mais ie crains ces tyrans pour l’inegalité.	Mais quelque crains ces tyrans pour l'ingalité.
Au cas qu’il n’y ait point à mon mal de remede, Que fruſtré de ta couche vn riual te poſſede, Qu'il dépouïlle le champ que i’auray cultiues Que du droit de l’hymen chétif ie ſois priué, Promets ma belle alors, promets en recompenſe, (Ah!	Au cas qu'il n'y ait point à mon mal de remède, Que frustré de ta couche un rival te possède, Qu'il dépouille le champ que j'aurai cultives Que du droit de l'hymen chétif Seigneur sois privé, Promets ma belle alors, promets en récompense, (Ah!
le cœur de regret me ſaigne quand i'y penſe Promets de m’honorer d’vn ſacré ſouuenir, De ne m’abſenter point ton cœur à l’aduenir:	le cœur de regret me saigne quand j'y pense Promets de m'honorer d' Hôte souvenir, De ne m'absenter point ton cœur à l'avenir:
Enuoye quelque fois vn ſoûpir deſſous terre, Car à l’heure il faudra qu'vn ſepulchre m'enſerre;	Envoie quelque fois un soupir dessous terre, Car à l'heure il faudra qu' il sépulcre m'enserre;
Sacrifie à mon ombre vn remors douloureux, Et deja trop content ie me tions trop heureux, Dés icy ie t’abſous de ta promeſſe enfrainte, Par l’iniuſte rigueur d'vne dure contrainte:	Sacrifie à mon ombre int remors douloureux, Et déjà trop content ie me tions trop heureux, Dès ic ie t'absous de ta promesse enfrainte, Par l'injuste rigueur d'une dure contrainte:
CARICLEE.	CARICLE.
Alors qu’on me voudra pouruoir d’vn autre épous, Ie ne te tiendray pas de ton ſerment abſous Alors ie ſommeray ta premiere conduite, De me prendre ſoudain compagne de ta ſuite, Remettre nos erreurs à la mercy du ſort, Ains que notre hymenée endure cét éfort, Mais changeons de propos, nous touchons la iournée A notre ſacrifçe où notre heur deſtinée, La prudence où iamgis ores me fait beſoin, Inſpirez-moy bons Dieux, & embraſſez le ſoin, Le ſoin de preſeruer vne foible innocence, Diſpoſant mes parents à la reconnoiſſance.	Alors qu'on me voudra pourvoir d'un autre épous, Je ne te tiendrai pas de ton serment absous Alors assez sommerai ta première conduite, De me prendre soudain compagne de ta suite, Remettre nos erreurs à la merci du sort, Ains que notre hyménée endure cet éfort, Mais changeons de propos, nous touchons la journée À notre sacrife où notre heur destinée, La prudence où jamgis ores me fait besoin, Inspirez-mo bons Dieux, et embrassez le soin, Le soin de préserver le foible innocence, Disposant mes parents la reconnoissance.
N’apperçoy-je venir des hommes couronnez De bandeaux & de fleurs par le chef entournez?	N'aperçois-je venir des hommes couronnés De bandeaux et de fleurs par le chef entournez?
On nous mande à l’autel comu crmagene;	On nous mande à l'autel comu crmagène;
L'vn où lautre chemin nous ſortira de peine.	L'un où lautre chemin nous sortira de peine.
ACTE II.	ACTE II.
HYDASPE, PERSINE, SISIMETHRE, THEAGENE, CARICLE’E, ET LE CHOEVR DE MEROE.	HYDASPE, PERSINE, SISIMETHRE, THÉGENE, CARICLE, ET LE CHOEUR DE MEROE.
HYDASPE.	HYDASPE.
Lambeau de l'vniuers, ſoleil, alme ſoleil TQui vois & fais tout voir des rayons de ton œil, Grand Dieus dõt le pouuoir deſſur tous manifeſte, Obtient la primauté de la troupe celeſte, Chez nous de ta lumiere à toute heure éclairez, Chez nous, ô Cinthien que tu as preferez Aux peuples des mortels en primogeniture, Quand le cahos diſſoût engendra la nature, Et toy ſa chaſte ſœur, qui gouuerne les eaux, Qui paiſible regis les nocturnes flambeaux, Qui commandeZ deeſſe à la tourbe des ombres, Qui te plais chaſſereſſe an creux des foreſts ſombres, Receuez maintenant benignes deïtez, La ſainte oblation de nos vœux aquitez, D'vn monarque vaincueur receuez les victimes, A l’espreuue & au choix pures & legitimes, Le feu ne les à pû ſans macule bleſſer, Et nous ne vous pouuons rien plus digne addreſſer, Afin qu'vn autrefois participant de gloire, Sur d’autres ennemis nous donniez la victoire;	Lambeau de l'vniuers, soleil, alême soleil THui vois et fais tout voir des rayons de ton œil, Grand Dieus dont le pouvoir dessur tous manifeste, Obtient la primauté de la troupe céleste, Chez nous de ta lumière à toute heure éclairez, Chez nous, ô Cinthien que tu as préférez Aux peuples des mortels en primogéniture, Quand le cahos dissoût engendra la nature, Et toi sa chaste sœur, qui gouverne les eaux, Qui paisible régis les nocturnes flambeaux, Qui commande déesse à la tour des ombres, Qui te plais chasseresse an creux des forêts sombres, Receuez maintenant bénignes deïtez, La sainte oblation de nos vœux aquitez, D' monarque vaincueur receuez les victimes, A espreuue et au choix pures et legitimes, Le feu ne les sans macule blesser, Et nous ne vous pouuons rien plus digne addresser, In qu' autrefois participant de gloire, Sur autres ennemis nous donniez la victoire;
Afin qu'vne autrefois l’Ethiope pieux, Retourne en ſon pays le laurier ſur les yeux;	Afin qu'une autrefois l'Éthiope pieux, Retourne en son pays le laurier sur les yeux;
Qu'vn hõneur notre terre emporte à ſon dommage, Et que nom rons renutos tonfours te meſme hômaSus faictes ces captifs de l’autel aprocher, Tęnants le couſteau preſt, l’encens & le bûcher.	Qu'un hõneur notre terre emporte à son dommage, Et que nom rons renutos tonfours te même hômaSus faites ces captifs de l'autel approcher, Tnants le coûteau prêt, l'encens et le bûcher.
A	À
PERSINE.	PERSINE.
Bons Dieux!	Bons Dieux!
quelle pitié, quelle cruelle enuie, D'oſter à cette vierge innocente là vie, Ah!	quelle pitié, quelle cruelle envie, D'ôter à cette vierge innocente là vie, Ah!
Sire que ie ſouffre à ſes piteux regards, Mon cœur ſe ſent percer d’vne gréle de dards, Ma fille à chacun d’eux me reuient en idée, Ma fille qui ſeroit (par les deſtins gardée) De ſon aage à preſent, nous ſeruiroit d’appuy;	Sire que ici souffre à ses piteux regards, Mon cœur se sent percer d'une grêle de dards, Ma fille à chacun d'eux me revient en idée, Ma fille qui serait (par les destins gardée) De son âge à présent, nous servirait d'appui;
Pour l’amour de ſa cendre & de mon triſte ennuy, Ie voudrois que l’on peuſt arracher du ſupplice, Vne hecatombe au lieu donnant au ſacrifice.	Pour l'amour de sa cendre et de mon triste ennui, Je voudrais que l'on pût arracher du supplice, Ecne hécatombe au lieu donnant au sacrifice.
HYDASPE.	HYDASPE.
Vous ſçaueZ la coûtume impoßible d’oſter, Quand elle auroit tiré l’eſtre de Iupiter;	Vous savez la coutume impossible d'ôter, Quand elle aurait tiré l'être de Jupiter;
Il eonuient que capable & pretieuſe hoſtie, A la faueur des Dieux elle ſoit departie, Il ne leur faut rien plaindre, ainſy qu’il ne nous font;	Il eonuient que capable et prétieuse hostie, À la faveur des Dieux elle soit départie, Il ne leur faut rien plaindre, ainsi qu'il ne nous font;
Et rien que de parfait preſenter comme ils ſont, A peine de ſentir leur courroux équitable;	Et rien que de parfait présenter comme ils sont, À peine de sentir leur courroux équitable;
Conuertir leur amour en haine espouuentable.	Convertir leur amour en haine espouuentable.
En toute autre façon ie voudrois ſecourir, Cette vierge beauté, l’empéchant de mourir:	En toute autre façon On voudrais secourir, Cette vierge beauté, l'empéchant de mourir:
Vous ſages Indiens deſpechez, quelle attente Tient du peuple laßé la flotte murmurante?	Vous sages Indiens despechez, quelle attente Tient du peuple lassé la flotte murmurante?
Que n’accompliſſez-vous le ſacrifice prest, Miniſtres deputez de ce ſupréme arreſt?	Que n'accomplissez-vous le sacrifice prêt, Ministres députez de ce suprême arrêt?
SISIMETHRE.	SISIMETHRE.
Ah!	Ah!
Sire, tant y'en faut qu’aucun de nous eſtime Les Dieux prendre plaiſir à ſemblable victime, Qu’infinis de clemence ils ſe paiſſent de ſang, Qu’ils commandent iamais d’égorger l’innocent;	Sire, tant y'en faut qu'aucun de nous estime Les Dieux prendre plaisir à semblable victime, Qu'infinis de clémence ils se paissent de sang, Qu'ils commandent jamais d'égorger l'innocent;
Qu'ils veulent démentant leur bontiue nature, Détruire ſans ſuiet l’homme, leur creature, Non, tel acte ne peut leur eſtre qu’odieux, Procedant d’vn erreur trop ſuperſtitieux.	Qu'ils veulent démentant leur bontive nature, Détruire sans sujet l'homme, leur créature, Non, tel acte ne peut leur être qu'odieux, Proccédant d'un erreur trop superstitieux.
HYDASPE.	HYDASPE.
L’exemple neantmoins receu de mes anceſtres, Qui par ces vœux humains ont augmenté leurs ſceDe ſuite proſperé en leur braues deſſeins, (ptres, Preuuent aſſez qu’ils ſont legitimes & ſaints.	L'exemple néanmoins reçu de mes ancêtres, Qui par ces vœux humains ont augmenté leurs scè te prospéré en leur braves desseins, (ptres, Preuuent assez qu'ils sont légitimes et saints.
S ISIMETHRE.	 SSIMETHRE.
Les Dieux eurent eſgard à l'intention bonne, E Mun dt joy terdonnante Grintque, & felonne,	Les Dieux eurent égard à l'intention bonne, E Mun t joi terdonnante Grintque, et félonne,
HYDASPE.	HYDASPE.
Inique?	Inique?
d’immoler aux Dieux les ennemis, Qu'ils nous ſemblent auoir expreßément ſoumis.	d'immoler aux Dieux les ennemis, Qu'ils nous semblent avoir expressément soumis.
SISIMETHRE.	SISIMETHRE.
Que pourroit perpetrer de coupable & d’hoſtile Enuers ta Maieſté, vne vierge débile?	Que pourrait perpétrer de coupable et d'hostile Envers ta Maiesté, une vierge débile?
TTIDASPE.	TTIDASPE.
De l’offence des ſiens ie pren qu’elle répond.	De l'offense des siens était pren qu'elle répond.
SISIMETHRE.	SISIMETHRE.
Tout crime eſt perſonnel, & n’a point de ſecond, Outre que l’on la tient de nation Gregeoiſe, Accident d’importance, & qui veut qu’on le poiſe.	Tout crime est personnel, et n'a point de second, Outre que l'on la tient de nation Grégeoise, Accident d'importance, et qui veut qu'on le poise.
I1IDAIL.	I1IDAIL.
Il ſuffit que l’ayons conquiſe de butin, Tentants au ſort ietté le vouloir du deſtin.	Il suffit que l'ayons conquise de butin, Tentant au sort jeté le vouloir du destin.
THEAGENE.	THÉGENE.
Que veux-tu differer?	Que veux-tu différer?
quelle crainte coüarde En vne extremité ſi grande te retarde?	quelle crainte couarde En une extrémité si grande te retarde?
Nous ſommes à l’autel, voy qu'vn fatal acier Autant vaut, autant vaut nous preſſe le goſier:	Nous sommes à l'autel, vois qu'Hô fatal acier Autant vaut, autant vaut nous presse le gosier:
Moname, pren pitie de toy ie te ſuplie, Va te manifeſter à ton pere, & le prie, Tous les autres pour nous s’emploiront, tu le vois, A notre deliurance ils tendent d'vne voix.	Moname, pren pitié de toi venir te suplie, Va te manifester à ton père, et le prie, Tous les autres pour nous s'emploiront, tu le vois, À notre délivrance ils tendent d'une voix.
CARICLE’E.	CARICLÉLÉ.
C’eſt l’opportunité, non la peur qui m’arreſte, Laiſſe moy le ſoucy, ie voy c’eſt choſe preſte, Siſimethre preſent nous n'auons que dourer,	C'est l'opportunité, non la peur qui m'arrête, Laisse -moi le souci, que lquest chose prête, Sisimethre présent nous n'avons que dourer,
Luy ſeul pourra de tout temoignage porter.	Lui seul pourra de tout témoignage porter.
Chœur du peuple de MEROE'.	Chœur du peuple de MEROE'.
Hé!	Hé!
quoy?	quoi?
veut-on fruſtrer les dieux de leur effrande, Sça hons, la pieté ores nous le commande, Voyons l’occaſion de ce retardement, D’vne tells longueur que l’appareil dément, venenx:	veut-on frustrer les dieux de leur effrande, Sa hons, la piété ores nous le commande, Voyons l'occasion de ce retardement, D'une tels longueur que l'appareil dément, venenx:
ui ſon plein gre la pucelle conftante, Au ſacrificateur à genoux ſe preſente.	Oui son plein gré la pucelle constante, Au sacrificateur à genoux se présente.
CARICLE’E.	CARICLÉLÉ.
Seigneurs, qui preſidez aux affaires diuins, Si les cris enuers vous des iuſtes ne ſont vains, Que l’equité vous ſoit vne borne certaine, de guet uiſferta ma jentencemnumaine;	Seigneurs, qui présidez aux affaires divins, Si les cris envers vous des justes ne sont vains, Que l'équité vous soit été borne certaine, de guet uisferta ma jentencemnumaine;
Arbitres, vueillez-moy faire raiſon d’vn tort, Intente par le Roy, auparauant ma mort.	Arbitres, veuillez-moi faire raison d'op tort, Intente par le Roi, auparavant ma mort.
SISIMETHRE.	SISIMETHRE.
Ta Maieſté l’entend, que luy plait-il qu’on face?	Ta Majesté l'entend, que lui plaît-il qu'on face?
E d T 2 B0 Rien, que boucher l’oreille à ce qu’elle pourchaſſe.	E d T 2 B0 Rien, que boucher l'oreille à ce qu'elle pourchasse.
DISTMETHRE.	DISTMETHRE.
Le deuoir nous enioint pourtant de l’écoutor.	Le devoir nous enioint pourtant de l'écoutor.
HYDASPE.	HYDASPE.
Vn eſclaue permettre auec moy conteſter?	Un esclave permettre avec moi contester?
