A 3591.	À 3591.
Au moins pour châtiment ordonne que ton ame, Reçoiue mes deuoirs ſans allumer ſa flâme, Et que pour me punir d’auoir aimé ſi peu, Elle ne ſente rien de l’ardeur de mon feu,	Au moins pour châtiment ordonne que ton âme, Reçoive mes devoirs sans allumer sa flamme, Et que pour me punir d'avoir aimé si peu, Elle ne sente rien de l'ardeur de mon feu,
GENEVIEVE.	GENEVIÈVE.
Ce châtiment ſubtil tomberoit ſur moy meſme, Pluſtoſt pour t’accabler, ſouffre encor que ie t’aime;	Ce châtiment subtil tomberait sur moi -même, Plutôt pour t'accabler, souffre encor que deux t'aime;
Si ton crime effacé te rend vn peu honteux, Ie veux que cette nonte augmente par mes feux,	Si ton crime effacé te rend un peu honteux, Je veux que cette nonte augmente par mes feux,
SIFROY.	SIFROY.
Aimer vn criminel, c’eſt ſe rendre coupable.	Aimer un criminel, c'est se rendre coupable.
GENEVIEVE.	GENEVIÈVE.
En faire vn innocent, c’eſt eſtre charitable.	En faire un innocent, c'est être charitable.
CIIROY.	CIIROY.
Ordonne pour le moins quelqu'autre châtiment?	Ordonne pour le moins quelqu'autre châtiment?
GENNEJIEVL.	GENNEJIEUL.
Endure:	Endure:
non amour puiſqu’ilfait ton tourment?	non amour puisqu'ilfait ton tourment?
SIFROY.	SIFROY.
Ce tourment eſt trop beau pour en faire vn ſupplice!	Ce tourment est trop beau pour en faire un supplice!
GENEVIE’VE.	GENEUIE'UE.
C'eſtà toy de ſubir les loix de ma iuſtice.	C'est toi de subir les lois de ma justice.
SIFROY.	SIFROY.
Au moins raconte moy les morts que mille fois, Il t’a fallu ſouſfrir dans l’horreur de ces bois, Ce funeſte recit de ta longne miſere Pourra bien me punir autant que ma colere;	Au moins raconte moi les morts que mille fois, Il t'a fallu sousfrir dans l'horreur de ces bois, Ce funeste récit de ta longne misère Pourra bien me punir autant que ma colère;
Et malgré tes bontez afin de me punir.	Et malgré tes bontés afin de me punir.
Ta douleur s’armera de ce reſſouuenir.	Ta douleur s'armera de ce ressouvenir.
GENEVIE'VE.	GENEUIE'UE.
Sifroy, ne penſons plus à ces peines paſſées Que ſe bon-heur preſent doit auoir effacées, Et n’adjouſtons plus tien à nos anciens malheurs Qu'vn general oubly de mes longues douleurs, Ioüis de la faueur que le Ciel te redonne, Et ne n'amige plus lors que ie te pardonne.	Sifroy, ne pensons plus à ces peines passées Que se bonheur présent doit avoir effacées, Et n'ajoutons plus tien à nos anciens malheurs Qu'un général oubli de mes longues douleurs, Jouis de la faveur que le Ciel te redonne, Et ne n'amige plus lors que tu te pardonne.
SIFROY.	SIFROY.
Mais las!	Mais las!
qu’eſt deuenu l’ianocent malheureux, Qui fut le premier fruit de nos plus chaſtes vœux.	qu'est devenu l'ianocent malheureux, Qui fut le premier fruit de nos plus chastes vœux.
GENEVIEVE.	GENEVIÈVE.
SIFROY.	SIFROY.
Moy nale npuluruiules	Moi nale nuluruivles
GENEVIE’EVE.	GENEUIE'EVE.
Helas!	Hélas!
combien de fois fus-ie preſte à le ſuiure, Mais ces bois t’ont gardé cét aimable dépoſt, Lequel repaſſera ſans doute icy bien-toſt.	combien de fois fus-je prête à le suivre, Mais ces bois t'ont gardé cet aimable dépôt, Lequel repassera sans doute ici bientôt.
e Mi deae Il vit donc ce cher fils?	est Mi de Cela vit donc ce cher fils?
CERCEVIEVD.	CERCEVIEUD.
Auſſi bien que moy-meſme.	Aussi bien que moi-même.
SIFROY.	SIFROY.
Dieu, que de toutes parts mon bon-heur eſt extréme.	Dieu, que de toutes parts mon bonheur est extrême.
GENEVIEVE.	GENEVIÈVE.
Lu pouiras Iccomoncre eule voyaneranroy, Dans les traits de ſon corps les marques de ma foy.	Lu pouiras Iccommoncre éle voyaneranroy, Dans les traits de son corps les marques de ma foi.
STIROY.	STIROY.
Pardonne à mon erreur de l’auoir ſoupçonnée, Pardonne à mon amour de l’auoir condamnée.	Pardonne à mon erreur de l'avoir soupçonnée, Pardonne à mon amour de l'avoir condamnée.
GENEVIEVE.	GENEVIÈVE.
Tu n’as plus là deſſus rien à me demander, Et ie n’ay ſur ce point plus rien à t’accorder.	Tu n'as plus là dessus rien à me demander, Et grands n'ai sur ce point plus rien à t'accorder.
Tu ne condamnois pas Geneuieue fideſle, Ta ſentence tomboit ſur vne criminelle, Tu ne fus donc iamais au vray mon ennemy, Et iamais contre moy tu n’agis qu’à demy.	Tu ne condamnais pas Géneuieue fidèle, Ta sentence tombait sur une criminelle, Tu ne fus donc jamais au vrai mon ennemi, Et jamais contre moi tu n'agis qu'à demi.
SIFROY.	SIFROY.
Il eſt vray que mon cœur n’en fut iamais complice Et que pour le ſurprendre on vſa d’artifice;	Il est vrai que mon cœur n'en fut jamais complice Et que pour le surprendre on usa d'artifice;
Tous les plus noirs demons y furent employez.	Tous les plus noirs démons y furent employés.
Les charmes les plus forts y furent déployez, Mais contre ces demons & contre tous leurs charmes, Mon amour oppoſoit d’aſſez puiſſantes armes, Si le traiſtre Golo continuant ſon ieu, O vne tomore vapeur n’eut ctoune mon feu.	Les charmes les plus forts y furent déployés, Mais contre ces démons et contre tous leurs charmes, Mon amour opposait d'assez puissantes armes, Si le traître Golo continuant son jeu, Ô un tore vapeur n'eut coune mon feu.
GENEVIE’VE.	GENEUIE'UE.
N’y penſons plus, Sifroy, mais reparons les pertes Que depuis ſi long-temps nos deux cœurs ont ſouffertes, Et reprenons le cours des innocens plaiſirs Qu’auoient interrompu nos pleurs & nos ſoûpits;	N'y pensons plus, Sifroy, mais réparons les pertes Que depuis si longtemps nos deux cœurs ont souffertes, Et reprenons le cours des innocents plaisirs Qu'avaient interrompu nos pleurs et nos soupits;
Viuez & iouyſſez,puiſque ie ſuis contente, Du beau fruit que l’amour par mes mains vous preſente, S’il faut quelque victime à me ſacrifier, Golo pourra tout ſeulcette faute expier.	Vivez et jouissez,puisque je suis contente, Du beau fruit que l'amour par mes mains vous présente, S'il faut quelque victime à me sacrifier, Golo pourra tout seulcette faute expier.
SIFROY.	SIFROY.
Puiſque vous l’ordonnez, i’en ſuis content, Madame;	Puisque vous l'ordonnez, j'en suis content, Madame;
Mon cœur va rallumer la vie à voſtre ſlâme Et comme il ne doit plus viure que ſous vos loix, e ciciapreunquiouioumeunmdeedoix;	Mon cœur va rallumer la vie à votre slâme Et comme il ne doit plus vivre que sous vos lois, eu ciciapreunquiouioumeunmdeedoix;
Ie ſuis, ie le confeſſe, indigne de la vie, Mais ſi voſtre bonté deſormais m'y conuie, Ie veux en receuoir l’arreſt à vos genoux.	Je suis, Seigneur le confesse, indigne de la vie, Mais si votre bonté désormais m'y convie, Je veux en recevoir l'arrêt à vos genoux.
GENEVIE’VE.	GENEUIE'UE.
Reprenez en mon cœur la place d’vn eſpoux, Et ſongez maintenant vous pardonnant vouïmeſme, D’épargner la douceur de celle qui vous aime.	Reprenez en mon cœur la place d'un époux, Et songez maintenant vous pardonnant vouïmesme, D'épargner la douceur de celle qui vous aime.
OIEROY.	ÔIEROY.
Permettez ſeulement qu’acceptant ce pardon, Illuνbes Ie baiſe au moins la main de qui me vient ce don;	Permettez seulement qu'acceptant ce pardon, Illubes Je baise au moins la main de qui me vient ce don;
ſelamain.	selamain.
Et qu’vn amour diſcret combattu de la crainte, Reçoiue auec reſpect cét honneur d’vne ſainte.	Et qu'un amour discret combattu de la crainte, Reçoive avec respect cet honneur d'une sainte.
Alle luy Feit le meGENEVIE’VE.	Alle était Fit le méGENEVIE'UE.
πο, pendat l’approuue, cher Sifroy, cette diſcretion, qoy Bene di orriue Et ierends la pareille à ton affection, Mais lorſque ie reçois ce gage de la tienne, Voicy Dieu qui t’en rend vn plus beau de la mienne.	πο, pendat l'approuve, cher Sifroy, cette discrétion, Bene orrive Et jérends la pareille à ton affection, Mais lorsque sans reçois ce gage de la tienne, Voici Dieu qui t'en rend un plus beau de la mienne.
SCENE VI.	SCÈNE VI.
SITROY, GENEVTEVE.	SITROY, GENEUTEUE.
BENIGNT, Sifos.	BENIGNT, Sifos.
SIFROY.	SIFROY.
Hle pauure innocent ſçaura-t’il qui ie ſuis!	Hle pauvre innocent saura-t-il qui Rom suis!
LA BENONI.	LA BENONI.
Au moins le cœur me dit que ie ſuis voſtre fils.	Au moins le cœur me dit que ici suis votre fils.
SIFROY.	SIFROY.
Il ne te trompe pas, & le mien t’en aſſure Ah!	Il ne te trompe pas, et le mien t'en assure Ah!
Madame, i’en crois la voix & la nature, Mon cher fils, à quels maux t’auois-ie abandõné Toy qu’vn ſi chaſte amour m’auoit ſi toſt dõné, Vien t’en naiſtre aujourd'huy dans le ſein de ton pere, Viens-y boire l’oubly de ta longue miſere,	Madame, j'en crois la voix et la nature, Mon cher fils, à quels maux t'avais-je abandõné Toi qu'un si chaste amour m'avait si tôt donné, Viens t'en naître aujourd'hui dans le sein de ton père, Viens-y boire l'oubli de ta longue misère,
BENONI.	BENONI.
Ah!	Ah!
Monſieur, quel malheur nous ſeparoit de vous;	Monsieur, quel malheur nous séparait de vous;
Pouuiez-vous ſilong-temps viure conteut ſans Duudoe.	Pouviez-vous silongtemps vivre conteut sans Duudoe.
SIFROY.	SIFROY.
Ah ie ne viuois pas.	Ah grande ne vivais pas.
BENONI.	BENONI.
Vous demeuriez ſi proche?	Vous demeuriez si proche?
SIFROY.	SIFROY.
Ne perce pas mon cœur d’vn ſi laupiauercproche?	Ne perce pas mon cœur d'Han si laupiauercproche?
Que ce premier moment de mes embraſſemens Efface, mon cher fils, tes peines de ſept ans.	Que ce premier moment de mes embrassements Efface, mon cher fils, tes peines de sept ans.
K Source gallica.	 Source galica.
bnf.	bnf.
fr ( Bibliothèque nationale de France	fr ( Bibliothèque nationale de France
BENONI.	BENONI.
Penſez.	Pensez.
vous que ſi-toſt ie perde la memoire, D'vn temps qui me mefite vne eterneſſe gloire?	vous que sitôt croire perde la mémoire, D'un temps qui me mefite une éternesse gloire?
SIFROY.	SIFROY.
Que l’eſprit, auſſi bien que le cœur en eſt bon;	Que l'esprit, aussi bien que le cœur en est bon;
Commenetefpencreyer y erproueme doy lon nom?	Commenetefpencreyer y erproueme dois lon nom?
GENEVIEVE.	GENEVIÈVE.
Ie luy donne celuy que m’apprit ma miſere, Commę il fut le ſujet du danger de ſa mere, Ie le nomme d’vn nom ſortable à mon malheur, De Benoni, qui dit l’enfant de ma douleur.	Je avait donne celui que m'apprit ma misère, Commenon fut le sujet du danger de sa mère, Je le nomme d'un nom sortable à mon malheur, De Bénoni, qui dit l'enfant de ma douleur.
SIFROY.	SIFROY.
ne ciosnodotoroncunt parcctecumaoieloje, Nommons-le noſtre Iſaac, l’enfant de noſtre ioye.	ne ciosnodotoroncunt parcctecumaoieloje, Nommons-le notre Isaac, l'enfant de notre joie.
BENONI.	BENONI.
Non, ie ſuis Benoni, mais,Monſieur, dites-moy, N’eſt-ce pas voſtre nom que celuy de Sifroy?	Non, Seigneur suis Bénoni, mais,Monsieur, dites-moi, N'est-ce pas votre nom que celui de Sifroy?
OABS8630 Helas!	ÔABS8630 Hélas!
d’où le ſçait-il?	d'où le sait-il?
GENEVIE'VE.	GENEUIE'UE.
Moy-meſme ie l’admire.	Moi-même Prince l'admire.
BENONI.	BENONI.
Oüy dea, c’eſtoit celuy que vous n’oſiez me dire, Pendant que les eſchos de ces vaſtes Foreſts, Le rediſant par tout trahiſſoient vos ſecrets.	Oui dea, c'était celui que vous n'osiez me dire, Pendant que les échos de ces vastes Forêts, Le redisant par tout trahissaient vos secrets.
OIAROT.	ÔIAROT.
Qu'elle en auoit raiſon?	Qu'elle en avait raison?
Mentrant Geueuilue BENONI.	Mentrant Geuilue BENONI.
Sçachez que ſes triſteſſes M’ont bien cauſé des pleurs!	Sachez que ses tristesses M'ont bien causé des pleurs!
SIFROY.	SIFROY.
Reuient par mes careſſes Ie les veux eſſuyer.	Revient par mes caresses Ie -le veux essuyer.
BENONI.	BENONI.
Sçachez que mille fois.	Sachez que mille fois.
Ene futfans mes foins morte dedans ces bois.	Une futfants mes foins morte dedans ces bois.
SIFROY.	SIFROY.
Ie t’en ſuis obligé, mais les peines paſſées, Par plus grandes faueurs ſeront recompenſées.	Je t'en suis obligé, mais les peines passées, Par plus grandes faveurs seront récompensées.
Vn bien n’eſt pas ſi doux dans vn bon-heur égal Comme lorſqu’il ſuccede aux ſentimens du mal.	Un bien n'est pas si doux dans un bonheur égal Comme lorsqu'il succède aux sentiments du mal.
Vous qui dans le débris d’vn ſi triſte naufrage, M auez de voſtre amour conſerué ce beau gage, Iodiſſez en.	Vous qui dans le débris d'un si triste naufrage, M avez de votre amour conservé ce beau gage, Jodissez en.
Madame, & recüeillez ces fruits, Qu’ont icy cultiué vos ſoins & vos ennuis.	Madame, et recueillez ces fruits, Qu'ont ici cultivé vos soins et vos ennuis.
Eſlesa is.	Élesa is.
J'en ay ſept ans entiers recüeilly les premices, C’eſt à vous maintenant d’en goûter les delices.	J'en ai sept ans entiers recueilli les prémices, C'est à vous maintenant d'en goûter les délices.
SIFROT.	SIFROT.
Plus ie te conſidere, & plus ie vois de traits, Où la nature a mis en vn nos deux portraits.	Plus Seigneur te considère, et plus grands vois de traits, Où la nature a mis en un nos deux portraits.
GENEVIF'VE.	GENEUIF'UE.
yous ie conoſſtrez bien en ceur de ſon courage, Et comme ſa vertu ne tient rien du ſauuage.	yous ici conotrez bien en ceur de son courage, Et comme sa vertu ne tient rien du sauvage.
LISANDRE.	LISANDRE.
Leon où ſommes nous?	Léon où sommes -nous?
& que vois-ie, Oriſmond?	et que vois-je, Orismond?
ORISMOND.	ORISMOND.
Vous voyez que l’effet à mes diſcours répond.	Vous voyez que l'effet à mes discours répond.
SCENE VII.	SCÈNE VII.
SIFROY.	SIFROY.
GENEVIE’VE.	GENEUIE'UE.
BENONI.	BENONI.
ORISMOND.	ORISMOND.
LISANDRE, CLEON.	LISANDRE, CLEON.
CLEON.	CLEON.
Eſt ce vne illuſion?	Est -ce Elle illusion?
LISANDRE.	LISANDRE.
Cleon, eſt-ce Madame?	Cleon, est-ce Madame?
CLEON.	CLEON.
Sans doute c’eſt l’eſprit de cette ſainte femme.	Sans doute c'est l'esprit de cette sainte femme.
GENEVIE’VE.	GENEUIE'UE.
Approchez vous, Meſſieurs, & n’ayez point de peur;	Approchez -vous, Messieurs, et n'ayez point de peur;
Non, non, ie ne ſuis pas vn phantoſme trompeur Recõnoiſſez en moy, voſtre ancienne maiſtreſſe.	Non, non, Madame ne suis pas un phantôme trompeur Recõnoissez en moi, votre ancienne maîtresse.
CLEON.	CLEON.
s'apuf-ooguear, cucomauame;	s'apuf-oguear, cucomaume;
LISANDRE.	LISANDRE.
Eſt-ce vous ma Princeſſe?	Est-ce vous ma Princesse?
Moy meſme.	Moi -même.
GENEVIE’VE.	GENEUIE'UE.
LISANDRE.	LISANDRE.
Et vous viuez?	Et vous vivez?
GENEVIEVE.	GENEVIÈVE.
En croyez-vous vos yeux?	En croyez-vous vos yeux?
LISANDRE.	LISANDRE.
racdgãt Et quel eſt cet enfant auec vous en ces lieux;	racdgãt Et quel est cet enfant après vous en ces lieux;
aſud los Seigneur, quel ſort vous rend & la mere & le ſils.	asud los Seigneur, quel sort vous rend et la mère et le sils.
Ahſ qu’Ofiſmond nous a rauiſſamment ſurpris;	Ahs qu'Ofismond nous a ravissamment surpris;
σηποιs Et qu’il pouuoit bien plus qu’il n’oſoit nous promettre.	σηποιs Et qu'il pouvait bien plus qu'il n'osait nous promettre.
LISANDRE.	LISANDRE.
C’eſt de luy meſme auin que tous en vintia lettie.	C'est de lui mesme auin que tous en vintia lettie.
SIFROY.	SIFROY.
O:	Ô:
iſmond qui ſçauois a faute & mon regret, Deuois-tu me cacher ſilong-temps ce ſectet;	Xmond qui savais a faute et mon regret, Deuais-tu me cacher silongtemps ce sectet;
Mais ſçachant ſes malheurs auec ſon innocence, Deuois.	Mais sachant ses malheurs était son innocence, Deuais.
tu la laiſſer ſouffrir par ton ſilence?	tu la laisser souffrir par ton silence?
ORISMOND.	ORISMOND.
Seigneur, ſi i’ay failly de vous l’auoir caché Ie n’ay pas perſiſté long-temps dans mon peché, Ce fut hier ſeulement au temps que les étoilles Allument leurs flambeaux & mettent bas leurs voiles, Que ne cherchant qu’vne ombre en l’horreur de ces bois, Ie vis ce cher objet pour la premiere fois.	Seigneur, si j'ai failli de vous l'avoir caché Je n'ai pas persisté longtemps dans mon péché, Ce fut hier seulement au temps que les étoilles Allument leurs flambeaux et mettent bas leurs voiles, Que ne cherchant qu'une ombre en l'horreur de ces bois, Je vis ce cher objet pour la première fois.
Mais ie fus ſi ſurpris de cebon-heur extréme, Que i’eus beſoin de temps pour m’en croire moy meſme.	Mais deux fus si surpris de cebon-heur extrême, Que j'eus besoin de temps pour m'en croire moi -même.
Ie voulois ce matin ménager voſtre cœur, Pour luy faire gouſter la ioye auec douceur, Mais le Ciel plus hardy preuenant ma prudence.	Je voulais ce matin ménager votre cœur, Pour lui faire goûter la joie avec douceur, Mais le Ciel plus hardi prévenant ma prudence.
M'a de voitte entieecue bicola conadenee;	M'a de voitte entieecue bicola conadène;
Toüiſſez-en, Seigneur, mais contre vn ſuborneur, Vangez ſon innocence & vangez voſtre hõneur.	Touissez-en, Seigneur, mais contre un suborneur, Vengez son innocence et vengez votre honneur.
