LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
MADAME JOURDAIN.	MADAME JOURDAIN.
Ma Fille conſent à épouſer un Turc?	Ma Fille consent à épouser un Turc?
Sans doute.	Sans doute.
D'ORANTE.	D'ORANTE.
MADAME JOURDAIN.	MADAME JOURDAIN.
mle peut oublier Cleonte?	mle peut oublier Cléonte?
DORANTE.	DORANTE.
Que ne fait-on pas pour eſtre grand’Dame?	Que ne fait-on pas pour être grand'Âme?
MADAME JOURDAIN.	MADAME JOURDAIN.
Je l’étranglerois de mes mains, ſi elle avoit fait un coup comme celuy-là.	Je l'étranglerais de mes mains, si elle avait fait un coup comme celui-là.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voila bien du caquet.	Voilà bien du caquet.
Je vous dis que ce Mariage-là ſe fera.	Je vous dis que ce Mariage-là se fera.
MADAME JOURDAIN.	MADAME JOURDAIN.
Je vous dy, moi, qu’il ne ſe fera point.	Je vous dis, moi, qu'il ne se fera point.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ah que de bruit!	Ah que de bruit!
Ma Mere.	Ma Mère.
LUCILE.	LUCILE.
MADAME JOURDAIN.	MADAME JOURDAIN.
Allez, vous eſtes une Coquine.	Allez, vous êtes une Coquine.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Quoi, vous la querellez, de ce qu’elle m’obeït?	Quoi, vous la querellez, de ce qu'elle m'obéit?
MADAME JOURDAIN.	MADAME JOURDAIN.
Oüy, elle eſt à moi, auſſi bien qu’à vous,	Oui, elle est à moi, aussi bien qu'à vous,
Madame.	Madame.
COVTELLE.	COUTELE.
MADAME JOURDAIN.	MADAME JOURDAIN.
Q ule voulez vous conter, vous?	 Qle voulez -vous conter, vous?
on ffiot.	on fiot.
COVIELLE.	COUIELLE.
MADAME JOURDAIN.	MADAME JOURDAIN.
Je n’ai que faire de voſtre mot	Je n'ai que faire de votre mot
COVIELLE à Monſieur Jourdoin.	COUIELE à Monsieur Jourdoin.
Monſieur, ſi elle veut écouter une parole en particulier, je vous promets de la faire conſentir à ce que volis voulez	Monsieur, si elle veut écouter une parole en particulier, je vous promets de la faire consentir à ce que volis voulez
MADAME JOURDAIN.	MADAME JOURDAIN.
Je n’y conſentirai point.	Je n'y consentirai point.
COVIELLE.	COUIELLE.
Ecoutez moi ſeulement.	Écoutez moi seulement.
NonMADAME JOURDAIN.	NonMADAME JOURDAIN.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ecoutez-le.	Écoutez-le.
MADAME JOURDAIN.	MADAME JOURDAIN.
Non, je ne veux pas écouter.	Non, je ne veux pas écouter.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il vous dira.	Il vous dira.
MADAME JOURDAIN Je ne veux point qu’il me diſe rien.	MADAME JOURDAIN Je ne veux point qu'il me dise rien.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voila une grande obſtination de Femme!	Voilà une grande obstination de Femme!
Cela vous fera t’il mal, de l’entendre?	Cela vous fera -t-il mal, de l'entendre?
COVIELLE.	COUIELLE.
Ne faites que m’écouter, vous ferez apres ce qu’il vous plaira.	Ne faites que m'écouter, vous ferez après ce qu'il vous plaira.
F iiij	 Fijà
MADAME JOURDAIN.	MADAME JOURDAIN.
Hé bien, quoi?	Hé bien, quoi?
COVIELLE à part.	COUIELLE à part.
Il y a une heure, Madame, que nous vous faiſons figne.	Il y a une heure, Madame, que nous vous faisons figne.
Ne voiez-vous pas bien que tout ceci n’eſt fait que pour nous ajuſter aux viſions de vôtre Mari, que nous l’abuſons ſous ce déguiſement, & que c’eſt Cleonte lui-meſme qui eſt le Fils du Grand Turc?	Ne voyez-vous pas bien que tout ceci n'est fait que pour nous ajuster aux visions de votre Mari, que nous l'abusons sous ce déguisement, et que c'est Cléonte lui-même qui est le Fils du Grand Turc?
Ah, ah.	Ah, ah.
MADAME JOURDAIN.	MADAME JOURDAIN.
COVIELLE.	COUIELLE.
Et moi, Covielle, qui ſuis le Truchement.	Et moi, Covielle, qui suis le Truchement.
MADAME JOURDAIN.	MADAME JOURDAIN.
Ah comme cela, je me rens	Ah comme cela, je me rends
COVIELLE.	COUIELLE.
Ne faites pas ſemblant de rien.	Ne faites pas semblant de rien.
MADAMF JOURDAIN.	MADAMF JOURDAIN.
Oüi, voila qui eſt fait, je conſens au Mariage:	Oui, voilà qui est fait, je consens au Mariage:
MONSIEUR IOURDAIN.	MONSIEUR JOURDAIN.
Ah voila tout le monde raiſonnable.	Ah voilà tout le monde raisonnable.
Vous ne vouliez pas l’écouter.	Vous ne vouliez pas l'écouter.
Je ſçavois bien qu’il vous expliqueroit ce que c’eſt que le Fils du Grand Turc.	Je savais bien qu'il vous expliquerait ce que c'est que le Fils du Grand Turc.
MADAME JOURDAIN.	MADAME JOURDAIN.
Il me l’a expliqué comme il faut, & j’en ſuis ſatisfaite.	Il me l'a expliqué comme il faut, et j'en suis satisfaite.
Envoions querir un Notaire.	Envoyons quérir un Notaire.
DORANTE.	DORANTE.
C’eſt fort bien dit Et afin, Madame Jourdain, que vous puiſſiez avoil l’eſprit tout-à-fait content, & que vous perdiez aujourd’hui toute la jalouſie que vous pouriez avoir conçeuë de Monſieur vôtre Mari, c’eſt que nous nous ſervirons du meſme Notaire pour nous marier Madame, & moi.	C'est fort bien dit Et afin, Madame Jourdain, que vous puissiez avoil l'esprit tout-à-fait Madame, et que vous perdiez aujourd'hui toute la jalousie que vous pourriez avoir conçue de Monsieur votre Mari, c'est que nous nous servirons du même Notaire pour nous marier Madame, et moi.
MADAME JOURDAIN.	MADAME JOURDAIN.
Je conſens auſſi à cela.	Je consens aussi à cela.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
C’eſt pour lui faire acroire	C'est pour lui faire acroire
DORANTE.	DORANTE.
Il faut bien l’amuſer avec cette feinte.	Il faut bien l'amuser avec cette feinte.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Bon, bon.	Bon, bon.
Qu’on aille querir le Notaire.	Qu'on aille quérir le Notaire.
DORANTE.	DORANTE.
Tandis qu’il viendra, & qu’il dreſſera les Contracts, voions nôtre Ballet, & donnons-en le divertiſſement à Son Alteſſe Turque.	Tandis qu'il viendra, et qu'il dressera les Contracts, voyons notre Ballet, et donnons-en le divertissement à Son Altesse Turque.
MONSIEUR IOURDAIN.	MONSIEUR JOURDAIN.
C’eſt fort bien aviſé, allons prendre nos places.	C'est fort bien avisé, allons prendre nos places.
MADAME JOURDAIN.	MADAME JOURDAIN.
Et Nicole?	Et Nicole?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je la donne au Truchement;	Je la donne au Truchement;
& ma Femme, à qui la voudra.	et ma Femme, à qui la voudra.
COVIELLE.	COUIELLE.
Monſieur, je vous remercie.	Monsieur, je vous remercie.
Si l’on en peut voir un plus fou, je l’irai dire à Rome.	Si l'on en peut voir un plus fou, je l'irai dire à Rome.
Lu Comedie finit par un petit Ballet qui avoit eſte preparé.	Lu Comédie finit par un petit Ballet qui avait este preparé.
PREMIERE ENTRE’E.	PREMIÈRE ENTRE'E.
N Homme vient donner les Livres du Ballet, qui d’abord eſt fatigué par une multitude de Gens de Provinces diferentes, qui crient en Muſique pour en avoir, & par trois Importuns qu’il trouve toûjours ſur ſes pas.	 Nomme vient donner les Livres du Ballet, qui d'abord est fatigué par une multitude de Gens de Provinces dièrentes, qui crient en Musique pour en avoir, et par trois Importuns qu'il trouve toujours sur ses pas.
DIALOGUE DES GENS qui en Muſique demandent des Livres.	DIALOGUE DES GENS qui en Musique demandent des Livres.
TOUS.	TOUS.
Moy, Monſieur, à moy de grace, à moy A Monſieur, Un Livre, s’il vous plaiſt, à voſtre ſerviteur.	Moi, Monsieur, à moi de grâce, à moi A Monsieur, Un Livre, s'il vous plaît, à votre serviteur.
Homme du bel air.	Homme du bel air.
Monſieur, diſtinguez nous parmy les Gens qui crient.	Monsieur, distinguez nous parmi les Gens qui crient.
Quelques Livres içy, les Dames vous en prient.	Quelques Livres içi, les Dames -vous en prient.
Autre hoinme dn bel air.	Autre hoinme dîn bel air.
Hola Monſieur, Monſieur, ayez la charité D’en jetter de noſtre coſté.	Holà Monsieur, Monsieur, ayez la charité D'en jeter de notre côté.
Femme du bel air.	Femme du bel air.
Mon Dieu qu’aux Perſonnes bien faites, On ſçait peu rendre honneur ceans.	Mon Dieu qu'aux Personnes bien faites, On sait pu rendre honneur céans.
Autre Femme du bel air.	Autre Femme du bel air.
Ils n’ont des Livres & des Bancs, Que pour Meſdames les Griſettes.	Ils n'ont des Livres et des Bancs, Que pour Mesdames les Grisettes.
Gaſcon.	Gascon.
Aho!	Aho!
l’Homme aux Libres, qu’on m'en vaille, ay deja le poumon uſé, Bous boyeZ que chacun mé raille, Et je ſuis eſcandaliſé De boir és mains de la Canaille, Ce qui m’eſt par bous refuſé	l'Homme aux Libres, qu'on m'en vaille, ai déjà le poumon usé, Bous boyeZ que chacun m aille, Et je suis escandalisé De boir ès mains de la Canaille, Ce qui m'est par bous refusé
Autre Gaſcon.	Autre Gascon.
Eh cadedis, Monſeu, boyez qui l'on pût eſtre;	Eh cadedis, Monsieur, boyez qui l'on pût être;
Un Libret, je bous prie, au Varon d’Asbarat.	Un Libret, je bous prie, au Varon d'Asbarat.
e penſe, mordy, que le fat N’a pas l’honnur dé mé connoiſtre.	 eu, mordi, que le fat N'a pas l'honnur dé mère connaître.
Le Suiſſe.	Le Suisse.
Mon'-ſieur le donneur de papieir, Que veul dire ſty façon de fifre, Moy l’écorchair tout mon goſieir	Mon'sieur le donneur de papie, Que veul dire souti façon de fifre, Moi l'écorchair tout mon gosieir
A crieir, Sans que je pouvre afoir ein Lifre;	À crie, Sans que je pouvre afoir ein Ifre;
Pardy, mon foy, Mon'-fieur, je penſe fous l’eſtre ifre.	Pardi, mon foi, Mon'-sieur, je pense fous l'être ifre.
Vieux Bourgeois babillard.	Vieux Bourgeois babillard.
De tont cecy franc & net, te ſuis mal ſatisfait;	De tont ceci franc et net, te suis mal satisfait;
Et:	Et:
cela ſans doute eſt laid, Que noſtre Fille Si bien faite & ſi gentille, De tant d'amoureux l’Objet, N'ait pas à ſon ſouhait Un Livre de Ballet, Pour lire le Sujet Du Divertiſſement qu’on fait, Et que toute noſtre Famille Si proprement s’habille, Pour eſtre placée au ſommet De la Salle, où l’on met Les Gens de l’entriguet:	cela sans doute est laid, Que notre Fille Si bien faite et si gentille, De tant d'amoureux l'Objet, N'ait pas à son souhait Un Livre de Ballet, Pour lire le Sujet Du Divertissement qu'on fait, Et que toute notre Famille Si proprement s'habille, Pour être placée au sommet De la Salle, où l'on met Les Gens de l'entriguet:
De tout ceçy franc & net Je-ſuis mal ſatisfait, Et cela ſans doute eſt laid.	De tout ceçi franc et net Je-suis mal satisfait, Et cela sans doute est laid.
Quel fracas!	Quel fracas!
Vieille Bourgeoiſe babillarde.	Vieille Bourgeoise babillarde.
N eſt vray que c’eſt une honte, Le ſaug au viſage me monte, Et ce Jetteur de Vers qui manque au capital, L’entend fort mal;	N est vrai que c'est une honte, Le saug au visage me monte, Et ce Jetteur de Vers qui manque au capital, L'entend fort mal;
C’eſt un brutal, Un vray Cheval, Frœnc animal, De faire ſi peu de conte D’une Fille qui fait l’ornement principal Du Quartier du Palais Royal, Et que ces jours paſſez un Comte Fut prendre la premiere au Bal.	C'est un brutal, Un vrai Cheval, Frœnc animal, De faire si peu de conte D'une Fille qui fait l'ornement principal Du Quartier du Palais Royal, Et que ces jours passés un Comte Fut prendre la première au Bal.
Il l’entend mal, C’eſt un brutal, Un vray Cheval, Franc animal.	Il l'entend mal, C'est un brutal, Un vrai Cheval, Franc animal.
Hommes & Femmes du bel air.	Hommes et Femmes du bel air.
Ah!	Ah!
quel bruit!	quel bruit!
Quelle confuſion!	Quelle confusion!
Quel cahos!	Quel cahos!
Quelle cohuë eſtrange!	Quelle cohue étrange!
Quel deſordre!	Quel désordre!
On y ſecbe.	On y sece.
Quel embarras!	Quel embarras!
L’on n’y tient pai.	L'on n'y tient pai.
Quel melange!	Quel mélange!
Gaſcon.	Gascon.
Bentre je ſuis à vout.	Bentre je suis à vout.
Autre Gaſcon.	Autre Gascon.
J’enrage, Diou me damne.	J'enrage, Diou me damne.
Suiſſe.	Suisse.
Ah que ly faire ſaif dans ſty ſal de cians:	Ah que li faire saisf dans sty sal de cyans:
Jé murs.	Jé murs.
Gaſcon.	Gascon.
Autre Gaſcon.	Autre Gascon.
Jé pers la tramontane.	Jé pers la tramontane.
Suiſſe.	Suisse.
Mon foy moy le foudrois eſtre hors de dedans.	Mon foi moi le foudrais être hors de dans.
Vieux Bourgeois babillard.	Vieux Bourgeois babillard.
Allons, ma Mie, Suivez mes pas, Je vous en prie, Et ne me quiteZ pas, On fait de nous trop peu de cas, Et je ſuis las De ce tracas:	Allons, ma Mie, Suivez mes pas, Je vous en prie, Et ne me quitez pas, On fait de nous trop peu de cas, Et je suis las De ce tracas:
Tout te fratras, Cet embarras Me peſe par trop ſur les bras:	Tout te fratras, Cet embarras Me pèse par trop sur les bras:
S’il me prend jamais envie De retourner de ma vie A Ballet ny Comedie, Je veux bien qu’on m’eſiropie.	S'il me prend jamais envie De retourner de ma vie À Ballet ni Comédie, Je veux bien qu'on m'ésiropie.
Allons, ma Mie, Suivez mes pas, Je vous en prie, Et ne me quiteZ pas, On fait de nous trop peu de cas.	Allons, ma Mie, Suivez mes pas, Je vous en prie, Et ne me quitez pas, On fait de nous trop peu de cas.
Vielle Bourgeoiſe babillarde.	Vielle Bourgeoise babillarde.
Allons mon Mignon, mon Fils.	Allons mon Mignon, mon Fils.
Regagnons noſtre logis, Et ſortons de ce taudis, Où l’on ne peut eſtre aſſis;	Regagnons notre logis, Et sortons de ce taudis, Où l'on ne peut être assis;
Ils ſeront bien ébobis Quand ils nous verront partis.	Ils seront bien ébobis Quand ils nous verront partis.
Top de confuſion regne dans cette Saile, Et j’aimerois mieux eſtre au milieu de la Halle;	Top de confusion règne dans cette Siaile, Et j'aimerais mieux été au milieu de la Halle;
Si jamais je reviens à ſemblable Regale, Je veux bien recevoir des ſouflets plus de fix.	Si jamais je reviens à semblable Regale, Je veux bien recevoir des soufflets plus de six.
Allons mon Mignon, mon Fils, Regagnons noſtre logis, Et ſortons de ce taudis, Où l’on ne peut eſire aſſis.	Allons mon Mignon, mon Fils, Regagnons notre logis, Et sortons de ce taudis, Où l'on ne peut esire assis.
TOUS.	TOUS.
Amoy, Monſieur, à moy de grace, à moy Monſieur, Un Livre, s’il vous plaiſt, à voſtre Serviteur.	Amoi, Monsieur, à moi de grâce, à moi Monsieur, Un Livre, s'il vous plaît, à votre Serviteur.
SECONDE ENTRE’E.	SECONDE ENTRE'E.
Les trois Importuns dancent.	Les trois Importuns dancent.
TROISIE'ME ENTRE’E.	TROISIE'ME ENTRE'E.
Trois Eſpagnols chantent.	Trois Espagnols chantent.
M Se que me muero de amor T ſolicito el dolor	M Se que me muero de amor T olicito elle dolor
Aun muriendo de querer De tan buer ayre adolezco Que es mas de lo que padezte Lo que quiero padecer Y no pudiendo exceder A mi deſeo el rigor	Aun muriendo de querer De tan buer aire adolésco Que ès mas de lo que padezte Lo que quiéro padecer Y nô pudiendo excéder A mi deseote elle rigor
d Se que me muero de amor Tſolicito el dolor.	 Se que me muero de amor Tsolicito elle dolor.
& Liſonxeame la fuerté Con piedad tan advertida, Que me aſſeguura la vida En el rieſgo de la muerte Vivir de ſugolpe fuerte Es de mi ſalud primor.	et Lisonxeame la fuerté Con piedad tan adverta, Que me asseguura la vida En elle riègo de la muerte Vivir de sugolppe fuerte Es de mi salud primor.
R4 Sè que, &c.	R4 Same que, etc.
Six Eſpagnols dancent.	Six Espagnols dancent.
Trois Muſiciens Eſpagnols.	Trois Musiciens Espagnols.
Ay que locura, con tanto rigor Quexarſe de amor Del nino bonito Que todo es dulçern Ay que locura, Ay que locura.	Ai que locura, con tanto rigor Quexarse de amor Del nino bonito Que todo es dulçern Ai que locura, Ai que locura.
Eſpagnol chantant.	Espagnol chantant.
El dolor ſolicita, El que al dolor ſe du Y naide de amor muere Sino quien no ſave amar.	Él dolor solicita, Él que al dolor se du Y naide de amor mère Sino quyen nô save amar.
Deux Eſpagnols.	Deux Espagnols.
Dulce muerte es el amor Con correſpondencia ygual, Mſi eſta gozamos o Porque la quieres turbar?	Dulce muerte es el amor Con correspondencia ygual, Msi esta gozamos ô Porque la quières turbar?
Un Eſpagnol.	Un Espagnol.
Alegreſe Enamorad o Y tome mi parecer Que en eſto dequerer Todo es allar el vado.	Alègrese Enamorad ô Y tome mi parecer Que en esto querer Todo es lar el vado.
Tous trois enſemble.	Tous trois ensemble.
Vaya, vaya de fieſtas, Vayade vayle, Alegria, alegría, alegria.	Vaya, vaya de fiestas, Vayade vaile, Alegria, alegria, alegria.
Que eſto de dolor es fantaſia.	Que éto de dolor es fantasia.
QVATRIE'ME ENTRE’E.	QUATRIE'ME ENTRE'E.
ITALIENS.	ITALIENS.
Ne Muſicienne Italienne fait le premier URecit, dont voicy les paroles.	Ne Musicienne Italienne fait le premier URecit, dont voici les paroles.
Di rigori armata il ſeno Contro amor mi ribellai, Ma fui vinja in un baleno In mirar duo vaghi rai, Ahi che reſiſie puoco Cor di gelo a ſtral di fuoco.	Dis rigori armata il zeno Contro amor mi ribelai, Ma fui vinjà in un baleno In mirar du Naghi rai, Ahi che resisie puoco Cor di gelo a stral di voco.
C Ma ſi caro e' lmio tormento Dolce e ſi la piaga mia, Ch’il penare e’l mio contento, El' ſanarmi e tirannia.	Ç Ma si caro eu lmio tormento Dolce est si la piaga mia, Ch'il pénare e'l mio contento, Él' sanarmi e irannia.
Ahi che più giova, e piace Quanto amor e più vivace.	Ahi che più giova, eu piace Quanto amor e iù vivace.
Apres l’Air que la Muſicienne a chanté, deux Scaramouches, deux Trivelins, & un Harlequin, repreſentent une Nuit à la maniere des Comediens Italiens, en cadence.	Après l'Air que la Musicienne a chanté, deux Scaramouches, deux Trivelins, et un Harlequin, représentent une Nuit à la manière des Comédiens Italiens, en cadence.
Un Muſicien Italien ſe joint à la Muſicienne Italienne, & chante avec elle les paroles qui ſuivent,	Un Musicien Italien se joint à la Musicienne Italienne, et chante avec elle les paroles qui suivent,
Le	Le
Le Muficien Italien.	Le Muficien Italien.
Bel tempo che vola Rapiſce il contento, D’amor ne la ſcola Si coglie il momente.	Bel tempo che vola Rapisce il contento, D'amor ne la scola Si coglie il moment.
La Muſicienne.	La Musicienne.
Inſin che florida Ride l’età Che pur tropp' horrida Duuei feu va.	Insin che florida Ride l'età Che pur tropp' orrida Duvei feu va.
Tous deux.	Tous deux.
Sù cantiamo Su godiamo Ne bei di, di gioventù:	Sù cantiamo Su godiamo Ne bey di, di gioventù:
