MONSEIGNEVR,	MONSEIGNEUR,
On doit du reſpect aux Rois, & non pas aux Perſecuteurs de ceux qui obſeruent la Loy de leur Createur, & de leur Souuerain Maiſtre.	On doit du respect aux Rois, et non pas aux Persécuteurs de ceux qui observent la Loi de leur Créateur, et de leur Souverain Maître.
En l'eſtat où ie ſuis, ie deſire voſtre rigueur, & mépriſe voſtre clemence.	En l'état où belle suis, je désire votre rigueur, et méprise votre clémence.
LE ROY.	LE ROY.
Il y a des chaſtimens proportionnez à voſtre âge:	Il y a des châtiments proportionnés à votre âge:
puiſque vous ne ſçauez pas vous taire, on vous apprendra à parler.	puisque vous ne savez pas vous taire, on vous apprendra à parler.
CLORIMENE.	CLORIMENE.
Quand ie ſerois muette, Dieu dénouëroit ma langue, pour publier le tort que vous vous faites, en faiſant mourir vos plus fidelles ſubiets.	Quand ici serais muette, Dieu dénouerait ma langue, pour publier le tort que vous vous faites, en faisant mourir vos plus fidèles sujets.
Vos nouuelles amours, qui vous ont fait repudier la Reine, ont eſté le ſeul motif qui vous a porté à vous ſeparer de la vraye Religion, à la veuë du Ciel & de la Terre.	Vos nouuelles amours, qui vous ont fait répudier la Reine, ont été le seul motif qui vous a porté à vous séparer de la vraie Religion, à la vue du Ciel et de la Terre.
Mais l’vn a des foudres pour ſe vanger, & l’autre des abyſmes, pour engloutir ceux qui la font rougir de honte, en rougiſſant du ſang des Innocens.	Mais l'autre a des foudres pour se venger, et l'autre des abîmes, pour engloutir ceux qui la font rougir de honte, en rougissant du sang des Inocents.
LE ROY.	LE ROY.
Qu’on m’oſte cette Importune, dont la Pieté naturelle excuſe l’impudence.	Qu'on m'ôte cette Importune, dont la Piété naturelle excuse l'impudence.
CLORIMENE.	CLORIMENE.
Ie ne doute point, Sire, que ma preſence ne vous ſoit importune, parce que vous voyez ſur mon viſage, l’image de celuy que vous venez d’immoler à vos paſſions.	Je ne doute point, Sire, que ma présence ne vous soit importune, parce que vous voyez sur mon visage, l'image de celui que vous venez d'immoler à vos passions.
Mais quand mon obeïſſance me fera retirer d’auprés de vous , l’Ombre de mon Pere vous ſuiura par tout, pour vous mettre inceſſamment deuant les yeux, & ſon innocence, & voſtre crime.	Mais quand mon obéissance me fera retirer d'auprès de vous , l'Ombre de mon Père vous suivra par tout, pour vous mettre incessamment devant les yeux, et son innocence, et votre crime.
H0 ( LE ROY.	H0 ( LE ROY.
Son innocence!	Son innocence!
voſtre Pere eſtoit coupable.	votre Père était coupable.
CLORIMENE.	CLORIMENE.
Dequoy l’accuſoit-on?	Dequoy l'accusait-on?
LE ROY.	LE ROY.
De m’auoir deſobeï.	De m'avoir désobéir.
121 CLORIMENE.	121 CLORIMENE.
Il en meritoit recompenſe, pluſtoſt que châtiment.	Il en méritait récompense, plutôt que châtiment.
LE ROY.	LE ROY.
On ne recompenſe iamais les Rebelles.	On ne récompense jamais les Rebelles.
CLORIMENE.	CLORIMENE.
Il ne l’eſtoit que pour voſtre gloire, & pour ſon ſalut.	Il ne l'était que pour votre gloire, et pour son salut.
LE ROY.	LE ROY.
Dittes pluſtoſt qu’il l’a eſté, & pour voſtre dommage, & pour ſa perte.	Dittes plutôt qu'il l'a été, et pour votre dommage, et pour sa perte.
CLORIMENE.	CLORIMENE.
Ie ſçay bien que vous l'auez fait perir:	Je sais bien que vous l'avez fait périr:
mais ſon trépas eſt digne d’enuie, pluſtoſt que de reproche.	mais son trépas est digne d'envie, plutôt que de reproche.
LE ROY.	LE ROY.
On luy reprochera touſiours d’auoir reſiſté à mes volontez.	On lui reprochera toujours d'avoir résisté à mes volontés.
CLORIMENE.	CLORIMENE.
Sa reſiſtance fait toute ſa gloire:	Sa résistance fait toute sa gloire:
que ne luy commandiez vous des choſes raiſonnables, ſi vous vouliez eſtre obeï?	que ne lui commandiez -vous des choses raisonnables, si vous vouliez être obéiriez?
Ae nas	Ae nas
LE ROY.	LE ROY.
Vn Roy commande ce qu’il veut.	Un Roi commande ce qu'il veut.
Vn homme de bien fait ce qu’il doit.	Un homme de bien fait ce qu'il doit.
LE ROY.	LE ROY.
Eſt-ce le deuoir d’vn ſubiet, de s’oppoſer aux deſſeins de ſon Prince?	Est-ce le devoir d'un sujet, de s'opposer aux desseins de son Prince?
HOHEM	HOHÉM
2 CLORIMENE.	2 CLORIMENE.
Eſt-ce le deuoir d’vn Roy, d’impoſer des Loix pleines d’Impieté, & de Sacrilege?	Est-ce le devoir d'un Roi, d'imposer des Lois pleines d'Impiété, et de Sacrilège?
aiO	aiO
LE ROY.	LE ROY.
I’ay fait ce qu’il m’a plû.	J'ai fait ce qu'il m'a plu.
AESACIRIMAT.	AESACIRIMAT.
AS Et luy ce qui eſtoit iuſte.	AS Et mille ce qui était juste.
EENOL.	EENOL.
11000 Il me ſuffit de luy auoir fait porter la peine de ſa deſobeïſſance.	11000 Il me suffit de Seigneur avoir fait porter la peine de sa désobéissance.
2 2	2 2
21 CLORIMENE.	21 CLORIMENE.
142 LOV 2UOO Mais vous ne conſiderez pas que ſes maux ſont paſſez, & que les voſtres ſont à venir.	142 LOU 2UO Mais vous ne considérez pas que ses maux sont passez, et que les vôtres sont à venir.
Vous auez beau vous bagner de ioye, & dans ſon ſang, & dans mes larmes;	Vous avez beau vous bagner de joie, et dans son sang, et dans mes larmes;
vous en reſpandrez bien toſt d’inuriles, qui nous vangeront tous deux à la fois.	vous en répandrez bien tôt d'inuriles, qui nous vengeront tous deux à la fois.
LE ROY.	LE ROY.
Qui vous fait parler de cette ſorte?	Qui vous fait parler de cette sorte?
Ma douleur.	Ma douleur.
CLORIMENE.	CLORIMENE.
LE ROY.	LE ROY.
Qui vous rend li'hardie?	Qui vous rend l'hardie?
CLORIMENE.	CLORIMENE.
d e ave s Ne me connoiſſez vous plus?	d e ue s Ne me connaissez -vous plus?
1101 UEuma.	1101 UEuma.
LO2 CLORTMENE.	LO2 CLORTMENE.
Non, vos crimes vous rendent méconnoiſſable.	Non, vos crimes vous rendent méconnaissable.
12 1	12 1
LE ROY.	LE ROY.
Ie vous feray connoiſtre ma puiſſance.	Je vous ferai connaître ma puissance.
60 4 CLORIMENE.	60 4 CLORIMENE.
Et que puis-ie craindre en l’eſtat où vous m’auez reduitte?	Et que puis-je craindre en l'état où vous m'avez réduite?
L’exil, la priſon, la geſne, & la mort ſont les obiets de mes deſirs, auſſi bien que de voſtre tyrannie:	L'exil, la prison, la gêne, et la mort sont les objets de mes désirs, aussi bien que de votre tyrannie:
Acheuez, acheuez le Sacrifice que voſtre Cruauté a commencé.	Achevez, achevez le Sacrifice que votre Cruauté a commencé.
Vous auez immolé le Pere:	Vous avez immolé le Père:
n’eſpargnez pas la Fille:	n'épargnez pas la Fille:
Vous n’en voulez qu’aux Innocens;	Vous n'en voulez qu'aux Inocents;
ie vous offre ma vie pour vous ſatisfaire.	Ne vous offre ma vie pour vous satisfaire.
4	4
LE ROY.	LE ROY.
Ro nuibanlumumolmaynfaue luy aiſſer la liberté de ſe plaindre.	Ro nuibanlumumolmaynfaue lui aisser la liberté de se plaindre.
CLORIMENE.	CLORIMENE.
Ie me plaindray auſſi continuellement;	Je me plaindrai aussi continuellement;
& ſi mes plaintes ſont eternelles, vos tourmens ne finiront iamais.	et si mes plaintes sont éternelles, vos tourments ne finiront jamais.
Mais vous, adorable Victime, vnique obiect de mon Amour, qui voyez maintenant du Port où vous eſtes, la tourmente où ie me trouue;	Mais vous, adorable Victime, unique objet de mon Amour, qui voyez maintenant du Port où vous êtes, la tourmente où il me trouve;
ioignez vos prieres à mes vœux, pour celebrer promptement vos funerailles de mes derniers ſoupirs.	joignez vos prières à mes vœux, pour célébrer promptement vos funérailles de mes derniers soupirs.
Ha!	Ha!
mon cher Pere, vos ſeruices meritoient icy bas vne autre recompence:	mon cher Père, vos services méritaient ici bas une autre récompense:
Mais comme le Monde & la Fortune ne vous pouuoient donner que des Couronnes de leur façon, dont la matiere ſe reduit en cendre auec les teſtes qui les portent, le Ciel vous en reſeruoit vne autre qui fuſt à l’eſpreuue du Temps.	Mais comme le Monde et la Fortune ne vous pouvaient donner que des Couronnes de leur façon, dont la matière se réduit en cendre avec les têtes qui les portent, le Ciel vous en réservait une autre qui fût à l'épreuve du Temps.
Viuez, viuez donc heureux, apres tant de mal-heurs, dont ie ſuis maintenant vne nouuelle ſource:	Vivez, vivez donc heureux, après tant de malheurs, dont personne suis maintenant une nouvelle source:
que ſi le bruit de mes regrets trouble voſtre repos, ſouuenez vous que le mien git daris vortre lepuleure.	que si le bruit de mes regrets trouble vôtre repos, souvenez vous que le mien gît daris vortre lepuleure.
Rion cœur, qui fait encor vne partie du voſtre, ſoupire toujours apres vous, ſe voyãt ſeparé de luy meſme:	Rion cœur, qui fait encor une partie du vôtre, soupire toujours après vous, se voyant séparé de notre seule:
& mes yeux vous cherchant par tout;	et mes yeux vous cherchant par tout;
& ne pouuant vous treuuer que dans la Sepulture, y veulent répandre auiourd’huy toutes leurs larmes, & y laiſſer leurs derniers regards, auec cette miſerable vie qui m’y traine!	et ne pouvant vous trouver que dans la Sépulture, y veulent répandre aujourd'hui toutes leurs larmes, et y laisser leurs derniers regards, avec cette misérable vie qui m'y traine!
Mes ennuis dans leurexcés, me conſolent:	Mes ennuis dans leurexcès, me consolent:
ma douleur dans ſon extremité me réjoüit, puis qu’elle me fait voir au trauers de mes larmes, le bout de ma penible carriere.	ma douleur dans son extrémité me réjouit, puis qu'elle me fait voir au travers de mes larmes, le bout de ma pénible carrière.
O que la Mort eſt douce à celuy qui l’attend!	Ô que la Mort est douce à celui qui l'attend!
IN.	IN.
QVIS par la grace de Dieu Roy de France & de Nauarre.	QUIS par la grâce de Dieu Roi de France et de Navarre.
A nos amez & Lfeaux Conſeillers, les gens tenans nos Cours de Parlement, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux, Preuoſts, leurs Lieutenans, & tous autres de nos Iuſticiers, & Officiers qu’il appartiendra, Salut.	À nos âmez et Léfeaux Conseillers, les gens tenants nos Cours de Parlement, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux, Preuosts, leurs Lieutenants, et tous autres de nos Justiciers, et Officiers qu'il appartiendra, Salut.
Noſtre bien amé le Sieur de la Serre, nous a remonſtré, qu’il a compoſé vn Liure intitulé, Thomas Morus, ou le Triomphe de la Foy & de la Conſtance, Tragedie en Proſe;	Notre bien amé le Sieur de la Serre, nous a remontré, qu'il a composé un Livre intitulé, Thomas Morus, ou le Triomphe de la Foi et de la Constance, Tragédie en Prose;
lequel il deſireroit faire imprimer, s’il auoit nos Lettres ſur ce neceſſaires, leſquelles il nous a tres-humblement ſupplié de luy accorder:	lequel il désirerait faire imprimer, s'il avait nos Lettres sur ce nécessaires, lesquelles il nous a très-humblement supplié de même accorder:
ACES CAVSES, Nous auons permis & permettons par ces preſentes audit expoſant de faire imprimer, vendre & debiter ledit Liure en tous lieux de noſtre obeïſſance, par tel Imprimeur ou Libraire qu’il voudra choiſir, & en telles marges, en tels caracteres, & autant de fois que bon luy ſemblera, du- tant l’eſpace de cinq ans entiers & accomplis, à compter du iour qu’il ſera acheué d’imprimer pour la premiere fois:	ACES CAUSES, Nous avons permis et permettons par ces présentes audit exposant de faire imprimer, vendre et débiter ledit Livre en tous lieux de notre obéissance, par tel Imprimeur ou Libraire qu'il voudra choisir, et en telles marges, en tels caractères, et autant de fois que bon lui semblera, du- même l'espace de cinq ans entiers et accomplis, à compter du jour qu'il sera achevé d'imprimer pour la première fois:
Et faiſons tres-expreſſes défences à toutes perſõnes de quelque qualité ou condition qu’ils ſoiẽt, d’imprimer, faire imprimer, vendre ny debiter en aucun lieu de noſtre obeïſſance ledit Liure, ou partie d’iceluy, ſouz pretexte d’augmentation, correction, changement de tiltre, ou autrement, en quelque ſorte & maniere que ce ſoit, à peine de quinze cens liures d’amende, applicable vn tiers à Nous, vn tiers à l’Hoſtel Dieu de Paris, & l’autre tiers à l’Expoſant, ou au Libraire qu’il aura choiſi, de confiſcation des exemplaires contrefaits, & de tous deſpens, dommages & intereſts:	Et faisons très-expresses défenses à toutes persournes de quelque qualité ou condition qu'ils soient, d'imprimer, faire imprimer, vendre ni débiter en aucun lieu de notre obéissance ledit Livre, ou partie d'icelui, sous prétexte d'augmentation, correction, changement de titr, ou autrement, en quelque sorte et manière que ce soit, à peine de quinze cens livres d'amende, applicable un tiers à Nous, un tiers à l'Hôtel Dieu de Paris, et l'autre tiers à l'Exposant, ou au Libraire qu'il aura choisi, ou confiscation des ex contrefaits, et de tous dépens, dommages et intérêts:
à condition qu’il ſera mis deux exẽplaires dudit Liure en noſtre Dibliotheque publique, & vne en celle de noſtre tres-cher & feal le Sieur Seguier, Cheualier Chancelier de France, auant que de l’expoſer en vente, à peine de nullité des preſentes:	à condition qu'il sera mis deux exemplaires dudit Livre en notre Dibliothèque publique, et une en celle de notre très-cher et féal le Sieur Séguier, Chalier Chancelier de France, avant que de l'exposer en vente, à peine de nullité des présentes:
Du contenu deſquelles nous vous mandons que vous faſſiez ioüir plainement & paiſiblement ledit Expoſant, ou ceux qui auront droict de luy, ſans qu’il leur ſoit donné aucun empeſchement.	Du contenu desquelles nous vous mandons que vous fassiez jouir plainement et paisiblement ledit Exposant, ou ceux qui auront droit de Seigneur, sans qu'il leur soit donné aucun empêchement.
Voulons auſſi qu’en mettant au commencement ou à la fin dudit Liure vn extrait des preſentes, elles ſoient tenuës pour deuëmẽt ſignifiées, & que foy y ſoit adiouſtée, & aux copies collationnées par l’vn de nos amez & feaux Conſeillers & Secretaires, cõme à l’Original Mandons auſſi au premier noſtre Huiſſier ou Sergent ſur ce requis, de faire pour l’execution des preſentes tous Exploits neceſſaires, ſans demamer autre permimom.	Voulons aussi qu'en mettant au commencement ou à la fin dudit Livre un extrait des présentes, elles soient tenues pour deuëmẽt signifiées, et que foi y soit ajoutée, et aux copies collationnées par l'un de nos âmez et féaux Conseillers et Secretaires, comme à l'Original Mandons aussi au premier votre Huissier ou Sergent sur ce requis, de faire pour l'exécution des présentes tous Exploits nécessaires, sans demamer autre permimom.
CRi tereit noitre plaiſir, nonobſtant Clameur de Haro, Chartre Normande, & autres Lettres à ce contraires.	CRi tèreit noitre plaisir, nonobstant Clameur de Haro, Chartre Normande, et autres Lettres à ce contraires.
DONNE' à Paris le 26.	DONNE' à Paris le 26.
iour d’Octobre, l’an de Grace 1641.	jour d'Octobre, l'an de Grâce 1641.
Et de noſtre Regne le 32.	Et de notre Reine le 32.
Par	Par
le Roy en ſon Conſeil, Signé, CONRART.	le Roi en son Conseil, Signé, CONRART.
Les Exemplaires ont eſté fournis, ainſi qu’il eſt porté par le Prinilege.	Les Exemplaires ont été fournis, ainsi qu'il est porté par le Prinilège.
Et ledit ſieur de la Serre a cedé & tranſporté les droits de ſon Priuilege à Auguſtin Courbé Marchand Libraire, ainſi qu’il eſt porté par l’accord fait en tr’eux.	Et ledit sieur de la Serre a cédé et transporté les droits de son Privilège à Augustin Courbé Marchand Libraire, ainsi qu'il est porté par l'accord fait en tr'eux.
Acheué d’imprimer pour la premierefois le a iour de Iannieriea2.	Achevé d'imprimer pour la premièrefois le a jour de Iannieriea2.
