A MADAME DE BONNELLE.	À MADAME DE BONELLE.
Si quelqu’vn d’eux la prens, ie gagne mon procez, Ce mauuais procedé fait condamner Criſaure,	Si quelqu'un d'eux la prends, on gagne mon procès, Ce mauvais procédé fait condamner Cristaure,
STREPHON.	STREPHON.
Au diantre ſi i’en ſors, ie vous le dis encore, Hercule eſt mon ſecond, ie ne le quitte point, Cet Autel me plaiſt fort, i’y coudray mõ pourpoint.	Au diantre si j'en sors, je vous le dis encore, Hercule est mon second, toujours ne le quitte point, Cet Autel me plaît fort, j'y coudrai mon pourpoint.
PERIANDRE.	PERIANDRE.
Quitte pour vn moment, quitte là cet aſyle.	Quitte pour un moment, quitte là cet asile.
STREPHON Vous venez me parler, ſi ie vous ſuis vtile?	STREPHON Vous venez me parler, si ici vous suis utile?
Vous vous embaraſſez de nouueaux incidens.	Vous vous embarrassez de nouveaux incidents.
bus.	bus.
Il deteſte, il enrage, & peſte entre ſes dents.	Il déteste, il enrage, et peste entre ses dents.
PERIANDRE.	PERIANDRE.
Leue-toy ſeulement vn moment, ie t’en prie.	Leve-toi seulement un moment, Seigneur t'en prie.
STREPHON.	STREPHON.
Traittons ſans compliment, tréue de raillerie.	Traitons sans compliment, trêve de raillerie.
Si vous voulez de moy quelque conſeil ſecret, Ie vous rendray bien mieux ſur vn bon tabouret, Et puis ce lieu ſacré le rendra plus fidele.	Si vous voulez de moi quelque conseil secret, Je vous rendrai bien mieux sur un bon tabouret, Et puis ce lieu sacré le rendra plus fidèle.
PERTANDRE.	PERTANDRE.
Ie n’ay iamais douté des faueurs de ton zele:	Je n'ai jamais douté des faveurs de ton zèle:
Approche-toy, Strephon.	Approche-toi, Stréphon.
STREPHON.	STREPHON.
Non, ie n’en feray rien.	Non, Seigneur n'en ferai rien.
PERIANDRE.	PERIANDRE.
Mais me reconnois-tu?	Mais me reconnais-tu?
STREPHON.	STREPHON.
Ie vous connois fort bien.	Je vous connais fort bien.
PERIANDRE.	PERIANDRE.
Quitte-là cet Autel, ou par les Dieux ie iure D’en faire par la faim ta triſte ſepulture.	Quitte-là cet Autel, ou par les Dieux ie jure D'en faire par la faim a triste sépulture.
STREPHON.	STREPHON.
Non, ne l’eſperez pas, ie ne crains point la faim, Ie ſuis plus préuoyant, tenez, voila du pain;	Non, ne l'espérez pas, Seigneur ne crains point la faim, Je suis plus prévoyant, tenez, voilà du pain;
Et de peur que la ſoif ne ſoit mon ennemie, Voila mon cher ſecours, voila ma chere amie.	Et de peur que la soif ne soit mon ennemie, Voilà mon cher secours, voilà ma chère amie.
Illui motre du pain, & vne bouteille de vm ou il boit.	Illui motre du pain, et une bouteille de vém ou il boit.
PERIANDRE.	PERIANDRE.
o Dieux le mis perdu.	ô Dieux le mis perdu.
STREPHON.	STREPHON.
Qui vous fait ſoûpirerr	Qui vous fait soupirerr
PERIANDRE.	PERIANDRE.
Tu m’as lancé des traits que ie ne puis parer, Tu m’as pris par le nez, laſche, perſide, impie.	Tu m'as lancé des traits que je ne puis parer, Tu m'as pris par le nez, lâche, perside, impie.
STREPHON.	STREPHON.
Il n’eſt pas bien mouché, car i’y voy la roupie.	Il n'est pas bien mouché, car j'y vois la roupie.
PERIANDRE.	PERIANDRE.
Tu te moques, pendart, mais ie ſçay tous vos tours, Infames débauchez, execrables vautours, Qui m’auez tout courant rõgé iuſqu’aux entrailles:	Tu te moques, pendard, mais ainsi sais tous vos tours, Infames débauchez, exécrables vautours, Qui m'avez tout courant rõgé jusqu'aux entrailles:
Tu m’as tout diſſpé, tu t’en ris, tu me railles, Mais voicy l’heureux iour, & voicy le moment Où ie te vais punir d’vn rude chaſtiment.	Tu m'as tout disspé, tu t'en ris, tu me railles, Mais voici l'heureux jour, et voici le moment Où tu te vais punir d'vn rude châtiment.
Qu’on apporte du bois, viſte?	Qu'on apporte du bois, vite?
& que l’on l’enflâme, Ie m’en vais le roſtir & griller iuſqu’a l’ame.	et que l'on l'enflamme, Je m'en vais le rôtir et griller jusqu'a l'âme.
STREPHON.	STREPHON.
Ne me roſtiſſez pas, ie vaux bien mieux boüilly.	Ne me rôtissez pas, ie vaux bien mieux bouilli.
PERIANDDE.	PERIANDDE.
Ha ie vous montreray que vous auez failly:	Ha ici vous montrerai que vous avez failli:
Tu ſeiuiras d’exemple a tous les domeſtiques.	Tu seiviras d'exemple à tous les domestiques.
STREPHON.	STREPHON.
Oüy de Vallet fidele.	Oui de Vallet fidèle.
PERIANDRE.	PERIANDRE.
Infame, tu repliques.	Infâme, tu répliques.
Mais dis-moy, ce cher Fils, lors de mon partement, Comment te le laiſſay-je?	Mais dis-moi, ce cher Fils, lors de mon partement, Comment te le laissai-je?
STREPHON.	STREPHON.
Ignorez-vous comment, Auec deuxyeux, deux mains, vn nez, & deux oreilles;	Ignorez-vous comment, Auec deuxïeux, deux mains, un nez, et deux oreilles;
Les a-t’il pas encori vous me contez merueilles:	Les a-t-il pas encorei vous me comptez merveilles:
En a-t’il rien perdu, ſi ce n’eſt quelques dents En mangeant voitte bien?	En a-t-il rien perdu, si ce n'est quelques dents En mangeant voitte bien?
PERIANDRE.	PERIANDRE.
O diſcours impudens!	Ô discours impudents!
STREPHON.	STREPHON.
Voicy ſon cher amy, le braue Calliante.	Voici son cher ami, le brave Caliante.
fanent e Meme lge	fanent e Aîme lge
SCENE IV.	SCÈNE IV.
CALLIANTE, PER.	CALIANTE, PER.
STREPHON.	STREPHON.
CALLIANTE.	CALIANTE.
O rencontre charmante!	Ô rencontre charmante!
Monſieur, ie ſuis rauy de vous voir en ces lieux Auec ce bon viſage, & i’en rens grace aux Dieux.	Monsieur, Seigneur suis ravi de vous voir en ces lieux Avec ce bon visage, et j'en rens grâce aux Dieux.
Comme voſtre arriuée eſtoit fort incertaine (Qui rempliſſoit Liſtan de trauail & de peine) Vous trouuerez chez vous vn fort mauuais apreſt;	Comme votre arrivée était fort incertaine (Qui remplissait Listan de travail et de peine) Vous trouverez chez vous un fort mauvais après;
Allons-nous en chez moy, le ſouper eſt tout preſt:	Allons-nous en chez moi, le souper est tout prêt:
Faites-moy cette grace, & ſans ceremonie.	Faites-moi cette grâce, et sans cérémonie.
PERIANDRE.	PERIANDRE.
Cette ciuilité vrayment eſt inſinie, Certes vous m’obligez & me comblez d’honneur?	Cette civilité vraiment est insinie, Certes vous m'obligez et me comblez d'honneur?
Mais enfin ie ne puis receuoir ce bonheur, Letrauail de la Mer, & celuy du voyage, M’obligent au repos.	Mais enfin ici ne puis recevoir ce bonheur, Letravail de la Mer, et celui du voyage, M'obligent au repos.
CALLIANTE.	CALIANTE.
Non, non, prenez courage, Faites-moycet honneur, ne me refuſez pas.	Non, non, prenez courage, Faites-moicet honneur, ne me refusez pas.
PERIANDRE.	PERIANDRE.
uelas!	uelas!
i’ay plus beſoin d’vn lit que d’vn tepas.	j'ai plus besoin d'Han lit que d'H tepas.
STREPHON.	STREPHON.
Cette requeſte eſtiuſte, accordez-luy de grace.	Cette requête étiuste, accordez-lui de grâce.
PERIANDRE.	PERIANDRE.
na!	na!
ie ſeche tout vif du ſoin qui m’embaraſſe.	Il seche tout vif du soin qui m'embarrasse.
STREPHON à Periandre.	STREPHON à Périandre.
Si vous ne pouuez pas au moins ciuilement, promettez-luy pour moy, i’iray oertainement.	Si vous ne pouvez pas au moins civilement, promettez-lui pour moi, j'irai oertainement.
PERIANDRE.	PERIANDRE.
Tu te railles, pendart, mais ma végeance aproche.	Tu te railles, pendard, mais ma vengeance approche.
le te roueray de coups.	le te rouerai de coups.
STREPHON.	STREPHON.
Eſpargnez ma caboche.	Épargnez ma caboche.
CALLIANTE.	CALIANTE.
Laiſſez-là ce mataut, allons-nous en ſoupet.	Laissez-là ce mataut, allons-nous en soupet.
STREPHON bas.	STREPHON bas.
Ce mâtin d’auiourd’huy ne fera que iapper.	Ce mâtin d'aujourd'hui ne fera que japper.
CALLIANTE à Strephon.	CALIANTE à Stréphon.
Mais toy, que fais-tu la?	Mais toi, que fais-tu la?
STREPHON.	STREPHON.
Ce phantoſme m’étonne, Et ce ſacré refuge aſſeure ma perſonne.	Ce phantôme m'étonne, Et ce sacré refuge assure ma personne.
PERIANDRE.	PERIANDRE.
O l’inſolent coquin!	Ô l'insolent coquin!
STREPHON.	STREPHON.
Ceſſez de m’offenſer, Et nous éclairciſſons ſans nous embaraſſer:	Cessez de m'offenser, Et nous éclaircissons sans nous embarrasser:
Apres comptez ma vie au braue Calliante, Souffrez que deuant luy noſtre procez s’intente, Ie l’accepte pour Iuge.	Après comptez ma vie au brave Caliante, Souffrez que devant lui notre procès s'intente, Je l'accepte pour Juge.
PERIANDRE.	PERIANDRE.
né bien, i’en ſuis content, N’as-tu pas débauché Liſtan que i’aimois tant?	né bien, j'en suis content, N'as-tu pas débauché Listan que j'aimais tant?
STREPHON.	STREPHON.
Oüy, ie l’ay débauché, ie ne m’en puis dédire;	Oui, Seigneur l'ai débauché, je ne m'en puis dédire;
Il ſçait par mes leçons tout manger & tout frire, Et c’eſt à moy qu’il doit ce bel enſeignement.	Il sais par mes leçons tout manger et tout frire, Et c'est à moi qu'il doit ce bel enseignement.
Mais quoy, les gens d’hõneur viuẽt-ils autrement?	Mais quoi, les gens d'honneur vivent-ils autrement?
pouſſe-t’on leur ieuneſſe en quelqu’autre habitude?	pousse-t-on leur jeunesse en quelqu'autre habitude?
Et tous les ieunes gens font-ils vne autre eſtude?	Et tous les jeunes gens font-ils une autre étude?
PERIANDRE.	PERIANDRE.
Ce traiſtre eſt captieux, ie m’en doy bien garder.	Ce traître est captieux, Seigneur m'en dois bien garder.
CALLIANTE.	CALIANTE.
prenez-moy pour arbitre, & ie vais décider.	prenez-moi pour arbitre, et ainsi vais décider.
à Strephon.	à Stréphon.
Retire-toy de là.	Retire-toi de là.
STREPHON.	STREPHON.
Si vous prenez ma place, plener paememenemanayeur qui me glace;	Si vous prenez ma place, plener paememenemanayeur qui me glace;
Autrement le party ſeroit trop inégal.	Autrement le parti serait trop inégal.
PERIANDRE.	PERIANDRE.
na!	na!
que ie ſuis traitté d'vn eſtrange régal.	que ici suis traité d'un étrange régal.
Mais i’ay moins de regret à toute la dépenſe, A leurs profuſions, qu’a ſon impenitence, Le traiſtre encor s’en moque, & ſa temerité Le porte iuſque la, qu’il en fait vanité, Apres m’auoir fourbé d’vne inſolente ſorte.	Mais j'ai moins de regret à toute la dépense, À leurs profusions, qu'a son impénitence, Le traître encor s'en moque, et sa témérité Le porte jusque la, qu'il en fait vanité, Apres m'avoir fourbé d'une insolente sorte.
STREPHON.	STREPHON.
Vous le meritez bien, ou le Diable m’emporte.	Vous le méritez bien, ou le Diable m'emporte.
De qui ſe rira-ton, ſi ce n’eſt d’vn vieux fous?	De qui se rira-ton, si ce n'est d'un vieux fous?
PERIANDRE.	PERIANDRE.
Ce traiſtre n’a pour but que d’aigrir mon courour.	Ce traître n'a pour but que d'aigrir mon courour.
Helas:	Hélas:
ſi l’on ſçauoit cette triſte infortune.	si l'on savait cette triste infortune.
STREPHON.	STREPHON.
Elle ſeroit ſans doute & publique & commune, Et l’on la traitteroit bien-toſt comiquement, rour en donner au peuple vn diuertiſſement	Elle serait sans doute et publique et commune, Et l'on la traiterait bientôt comiquement, rour en donner au peuple un divertissement
PERIANDRE.	PERIANDRE.
Ce traiſtre m’aſſaſſine auec ſon impudence.	Ce traître m'assassine avec son impudence.
CALLIANTE.	CALIANTE.
Qu’on ſe taiſe, Strephon, ie t’impoſe ſilence, Et vous eſcoutez-moy.	Qu'on se taise, Stréphon, une t'impose silence, Et vous écoutez-moi.
Liſtan eſt mon amy, Sans luy ie ne vis pas, ou ie vis à demy;	Listan est mon ami, Sans était rien ne vis pas, ou ici vis à demi;
I’ay part à ce qu’il fait, il partage de meſme Toutes mes actions, c’eſt vn autre moy-meſmę Dans les excés commis depuis voſtre départ, I’ay certes, ie l’auouë, vne tres-grande part;	J'ai part à ce qu'il fait, il partage de même Toutes mes actions, c'est un autre moi-même Dans les excès commis depuis votre départ, J'ai certes, je l'avoue, une très-grande part;
I’eſtois ſon confident, i’approuuois ſes ieuneſſes, Alors qu’il diſſipoit vos biens & vos richeſſes;	J'étais son confident, j'approuvais ses jeunesses, Alors qu'il dissipait vos biens et vos richesses;
Ses imprudens conſeils eſtoient bien-toſt ſuiuis, Car ma facilité paſſoit à ſon aduis:	Ses imprudents conseils étaient bientôt suivis, Car ma facilité passait à son avis:
Mais il faut pardonner aux caprices de l'âge, Il eſt bien difficile & d’eſtre ieune & ſage;	Mais il faut pardonner aux caprices de l'âge, Il est bien difficile et d'être jeune et sage;
Et comme i’ay trempé dans ſa profuſion, Ie la veux reparer en cette occaſion, Ie fraye à la moitié de toute la dépenſe.	Et comme j'ai trempé dans sa profusion, Je la veux réparer en cette occasion, Je fraie à la moitié de toute la dépense.
PERIANDRE.	PERIANDRE.
Vous me reſſuſcitez auec cette eloquence, Mon Fils ne pouuoit pas choiſir vn Orateur rlus prompr a me gagner, mais, cher mediateur, payerez-vous Cleandre?	Vous me ressuscitez avec cette éloquence, Mon Fils ne pouvait pas choisir un Orateur rlus prompr à me gagner, mais, cher médiateur, paierez-vous Clèvandre?
CALLIANTE.	CALIANTE.
Et quoy donc?	Et quoi donc?
PERIANDRE.	PERIANDRE.
Ie pardonne A mõ Fils, à Strephon, mon couroux m’abãdonne, C’eſt ieuneſſe en effet, ie n’y veux plus penſer.	Je pardonne A mon Fils, à Stréphon, mon courroux m'abandonne, C'est jeunesse en effet, notre n'y veux plus penser.
à Strephon.	à Stréphon.
Va, fay venir Liſtan, ie le veux embraſſer.	Va, fais venir Listan, On le veux embrasser.
STREPHON.	STREPHON.
Mais me pardonnez-vous?	Mais me pardonnez-vous?
PERIANDRE.	PERIANDRE.
Va, ſois en aſſeurance.	Va, sois en assurance.
STREPHON.	STREPHON.
N’auriez-vous point auſſi quelquę reminiſſence?	N'auriez-vous point aussi quelquête reminissence?
PERTANDRE.	PERTANDRE.
Non, va, l’oubhrdy tout.	Non, va, l'oubhrdi tout.
STREPHON ſortant de l'Autel.	STREPHON sortant de l'Autel.
Que me voila diſpos!	Que me voilà dispos!
l’ay la ceruelle alerte, & les ris en repos;	l'ai la cervelle alerte, et les ris en repos;
le vais querir Liſtan, & toute la cabale:	le vais quérir Listan, et toute la cabale:
Au moins ne tremblez plus pour cette Ombre infernale, Ce n’eſtoit en effet qu’vne ſimple vapeur,	Au moins ne tremblez plus pour cette Ombre infernale, Ce n'était en effet qu'une simple vapeur,
PERIANDRE.	PERIANDRE.
Va, ie ſuis aſſeuré, ie n’auray point de peur.	Va, Seigneur suis assuré, ie n'aurai point de peur.
STREPHON.	STREPHON.
Mais au moins pardonnez à Liſtan, à Philiſe.	Mais au moins pardonnez à Listan, à Philise.
A Iuſtine, a Floris, pardonnez ſans ſurpriſe.	À Iustine, a Floris, pardonnez sans surprise.
PERIANDRE.	PERIANDRE.
Se l’ay-je pas promis?	Se l'ai-je pas promis?
Calliante a ma foy, e leur pardonne à tous.	Calliante à ma foi, e leur pardonne à tous.
STREPHON à la porte de la maiſon qui appelle Liſtan.	STREPHON à la porte de la maison qui appelle Listan.
Liſtans ie l’apperçoy.	Listants ici l'aperçois.
eriandre pardonne à toutes vos ieuneſſes, lenez aſſeurément receuoir ſes careſſes.	eriandre pardonne à toutes vos jeunesses, lenez assurément recevoir ses caresses.
PERIANDRE à Calliante.	PERIANDRE à Caliante.
ous payerez Cleandre.	ous paierez Clandre.
CALLIANTE.	CALIANTE.
2 Ha!	2 Ha!
chaſſez ce ſoucy.	chassez ce souci.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
LISTAN, PHILISE, IVSTINE, FLORIS.	LISTAN, PHILISE, IUSTINE, FLORIS.
LISTAN à Periandre.	LISTAN à Périandre.
Stes-vous aſſez bon pour me ſouffrir icy?	Stes-vous assez bon pour me souffrir ici?
L Mon pere, mon ſauueur, à qui ie dois la vie:	L Mon père, mon sauveur, à qui ie mais la vie:
Vous à qui, peu s’en faut, ie l’ay tantoſt rauie, pouuez-vous me ſouffrir embraſſer vos genoux?	Vous à qui, peu s'en faut, je l'ai tantôt ravie, pouvez-vous me souffrir embrasser vos genoux?
PERIANDRE.	PERIANDRE.
Va, Liſtan, Calliante a flechy mon couroux, C’eſt à luy que tu dois l'effet de ma clemence.	Va, Listan, Calliante a fléchi mon courroux, C'est à lu que tu dois l'effet de ma clémence.
CALLIANTE.	CALIANTE.
Monſieur, ne parlons plus de pardon ny d’offence, Embraſſez voſtre Fils, oublions le paſſé, Faites en galant homme & deſ-intereſſé;	Monsieur, ne parlons plus de pardon rien d'offense, Embrassez votre Fils, oublions le passé, Faites en galant homme et des-intéressé;
Le ſouuenir déplaiſt des choſes déplaiſantes;	Le souvenir déplaît des choses déplaisantes;
N’y ſongeõs plus du tout, & penſons aux preſentes,	N'y songeuse plus du tout, et pensons aux présentes,
STREPHON.	STREPHON.
Sçauez-vous le ſecret pour n’y penſer iamais?	Savez-vous le secret pour n'y penser jamais?
Noyons ce ſouuenir dans le vin deſormais.	Noyons ce souvenir dans le vin désormais.
CALLIANTE.	CALIANTE.
C’eſt tres-bien raiſonner, allons dõc, chere troupé Allons faire la vie, allons vuider la coupe;	C'est très-bien raisonner, allons domme, chère troupé Allons faire la vie, allons vider la coupe;
reriandre, il nous faut réjoüir aujourd’huy, Il faut chaſſer de nous la triſteſſe & l’ennuy.	reiandre, il nous faut réjoüir aujourd'hui, Il faut chasser de nous la tristesse et l'ennui.
Strephon, va-t’en chez noꝰ voir ſi la nappe eſt miſe Phaniſque & le vallet qui cherchent Calliante.	Stréphon, va-t-en chez noù voir si la nappe est mise Phanisque et le vallet qui cherchent Calliante.
laniſque vient icy, ſa preſence eſt requiſe ur nous bien appreſter vn ſeſtin comme il faut.	lanisque vient ici, sa présence est requise ur nous bien apprêter un sestin comme il faut.
rephon, que l’on l’eſcorte, & qu’õ mõte à l’aſſaut.	rephon, que l'on l'escorte, et qu'on mète à l'assaut.
STREPHON.	STREPHON.
la!	la!
c’eſt où ie me plaiſt, & c’eſt en ces batailles que ie franchis des forts, & force des murailles;	c'est où tu me plaît, et c'est en ces batailles que je franchis des forts, et force des murailles;
