A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
Qui ſe face encor iour par ſa vertu guerriere Dans l’obſeur des ſaſons, ainſi que la lumiere chaſſe l’obſeurué, pour faire au monde voir Que ſur la brune nuict ell' a bien du pouuoir;	Qui se face encor jour par sa vertu guerrière Dans l'obseur des sasons, ainsi que la lumière chasse l'obsurué, pour faire au monde voir Que sur la brune nuit elle a bien du pouvoir;
Qui meſme ait le moyen par ſa moſte vaillance Contre vos ennemu vſer de violence, Qui tout incontinent echangeront humains En debonnaireté leurs iniques d' ſſeins.	Qui même ait le moyen par sa moste vaillance Contre vos ennemu user de violence, Qui tout incontinent échangeront humains En débonnaireté leurs iniques d' sseins.
Roſemonde.	Rosemonde.
Almachilde viuant cela ne pourroit eſtre Prince dont la valleur par tout ſe fait parestre.	Almachilde vivant cela ne pourrait être Prince dont la valeur par tout se fait paraître.
Puis, qui ſeroit celuy qui ſe vondroit charger D’voe ſi peure Reine en pays estranger?	Puis, qui serait celui qui se vondrait charger D'oe si peure Reine en pays étranger?
Longin.	Longin.
Vostre Longin Madane, à qui la viue ſlame De vos yeux amoureux à caut eriſe l’ame:	Votre Longin Madane, à qui la vive slamème De vos yeux amoureux à caut erise l'âme:
Et qui de vostre Amouς eſt tellement epris, Que pres de vosbeautez, il a tout à mepru	Et qui de votre Amou est tellement épris, Que pres de vosbeautés, il a tout à mepru
Roſemonde.	Rosemonde.
Si je me counoiſſius quelque rare merite Voui obliger m’auoir pour voſtre fauorit e Pourueu que de ce monde Almachilde ſoit hors Ie vous prodiguera, chaſte Epouſe mon corps.	Si je me counoissius quelque rare mérite Voui obliger m'avoir pour votre favorit e Pourvu que de ce monde Almachilde soit hors Je vous prodiguera, chaste Épouse mon corps.
Et de vous, & de moy, ferons vne Aadrogine, Qui ſurpaſſerait l’heur d vne couple diuine.	Et de vous, et de moi, ferons une Aadrogine, Qui surpasserait l'heur d' ins couple divine.
Longin pleuſt donc à Dieu Madame, à preſent que la mort Euſt parribus ofencer ſur luy fait ſon efort, Au moins que tout alors vn heureux Hynenee Euſt noſtre Chaſte foy pour iamus enchainee.	Longin pleut donc à Dieu Madame, à présent que la mort Eût parribus ofenser sur quelque fait son éfort, Au moins que tout alors un heureux Hynène Eût notre Chaste foi pour jamus enchaînée.
Roſemonde.	Rosemonde.
Duis que vous m’aſſeurez de voſtre afection, Ie veux tout promtement chercher l’inuention De le faire mourir.	Duis que vous m'assurez de votre afection, Je veux tout promtement chercher l'invention De le faire mourir.
Longin.	Longin.
Aſſeurez vous Ma lame Si toſt qu’il ſera mort, ie vous prendray ma ſemme.	Assurez vous Ma lame Si tôt qu'il sera mort, Elle vous prendrai ma semme.
Et des or ie vous iure, & vous promets ma foy Que ie vous cheriray, comme außi ie le doy.	Et des or ie vous jure, et vous promets ma foi Que je vous chérirai, comme aussi ie le dois.
Tout mon vouloir ſera celuy de Roſemonde, Ainſi deſſus ma foy que veſtre ſoy ſe fonde	Tout mon vouloir sera celui de Rosemonde, Ainsi dessus ma foi que vêtre soi se fonde
Roſemonde.	Rosemonde.
Ie m’en vay compoſer d’vn art induſteieux Vn breuuage-meſti d’vn poiſon venimeux Que ie lay feray boire, aſis que tout à l’heure Sant nous ſcandaliſer, tout doncement il meure, Cela ſera ma charge & pour nous auaucer Ie m'en rayle boucos auſii 'oſt commencer Au Prince des Iombards il dira la nouuelle Que ie ſuis de Longin l’Epouſe tresfidelle.	Je m'en vais composer d'vn art industeieux Un breuage-mesti d'un poison venimeux Que tu lay ferai boire, aziz que tout à l'heure Sant nous scandaliser, tout doncement il meure, Cela sera ma charge et pour nous aucer Je m'en raile boucos ausii ' ost commencer Au Prince des Jombards il dira la nouvelle Que ie suis de Longin l'Épouse tresfidelle.
Longin Pendant que tout cela vous allez preparer Ie m’en vay de ce lieu viſtement retirer Pour n'estre ſoupçonné d’vne telle entrepriſe Qui me tardera bien ne voir à ſa fin miſe.	Longin Pendant que tout cela vous allez préparer Je m'en vais de ce lieu vite retirer Pour n'être soupçonné d'une telle entreprise Qui me tardera bien ne voir à sa fin mise.
Alm.	Alm.
Demons qui preſidez aux effroyablespeurs Qui tenaillez touſiours des criminels les cœurs Et qui boureaux cruels, ſans ceſſe agitez l’ame D'vn qui aura comnu quelque choſe d’infame.	Demons qui présidez aux effroyablespeurs Qui tenaillez toujours des criminels les cœurs Et qui boureaux cruels, sans cesse agités l'âme D'un qui aura comnu quelque chose d'infâme.
Eſp iis malincontreux, retirez vous de moy Pous n’augmenter felons mon langoureux émoy:	Esp is malincontreux, retirez -vous de moi Pous n'augmenter felons mon langoureux émoi:
Außi bien mon Eſprit ſouffre toutes les peines Que me pourroient donner vos plus cruelles geines, Depuis que ie meurtri de ce fer inhumain Le Monarque Albouin mon maistre ſouuerain, Et que i’eu dans mon ſang ceite dextre poluë Eſperant commander de puiſſance abſoluë, Et regner en ſa place:	Aussi bien mon Esprit souffre toutes les peines Que me pourraient donner vos plus cruelles guines, Depuis que mille meurtri de ce fer humain Le Monarque Albouin mon maître souverain, Et que j'eu dans mon sang cite dextre polue Espérant commander de puissance absolue, Et régner en sa place:
il m’a ſemble touſiours Le voir des immorels implorer le ſecours Pour ſe venger de moy, de luy auoir rauie Par ce fer outrageux ſon innocente vie.	il m'a semble toujours Le voir des immorels implorer le secours Pour se venger de moi, de lui avoir ravie Par ce fer outrageux son innocente vie.
A tous coups ie le voy me ſuiure pas à pas Soit la nuict, ſoit le iour, en prenant mon repas Touſiours il m’acompagne, & ſon image ſombre Horriblement affreux me ſuit anſi que l’ombre Suit vn ſolide corps, bref ie ſens ô malheur!	À tous coups Seigneur le vois me suivre pas à pas Soit la nuit, soit le jour, en prenant mon repas Tous il m'acompagne, et son image sombre Horriblement affreux me suit ansi que l'ombre Suit un solide corps, brefâme sens ô malheur!
Mon eſpeit angoißé d’vne eſtrange douleur:	Mon espéit angoilé d'une étrange douleur:
Iaçoit que Roſemonde agreable Princeſſe Taſche tant qu’elle peut de tromper ma tristeſſe, Et que ce me doit estre vn grand contentement eſtre ſon cher macy qu'elle aime vniquement, e voudrois neaumoins, ô veine repentance u'Albouin euſt encor d’elle la ioüiſſance, ambuhunuuuji hiurois bien heureux J’ayant l'eſprit troublé de penſers funereux, Deloyal que i'eſtois pour vne femme croire Ie ne deuous ternir de trahiſon ma gloire.	Iaçoit que Rosemonde agréable Princesse Tâche tant qu'elle peut de tromper ma tristesse, Et que ce me doit être un grand contentement être son cher macy qu'elle aime uniquement, voudrais neaumoins, ô veine repentance Albouin eût encor elle la ioüissance, ambuhunuuuji hiurois bien heureux ayant l'esprit troublé de pensers funereux, Deloyal que estois pour femme croire Ie ne deuous ternir de trahison ma gloire.
Roſem.	Rosem.
u'auez vous mon Am?	Elle avez -vous mon Am?
quel triste penſement Vous trauerſe l’eſprit?	quel triste pensement Vous traverse l'esprit?
quel nouueau changement?	quel nouveau changement?
Queli diſcours teniez vous nagueres à vous meſme?	Queli discours teniez -vous naguères à vous rendre?
Comment?	Comment?
& qui vous cauſe vne couleur ſi bleſme?	et qui vous cause une couleur si blême?
Il faut me deceler quel mauuais argument Semble vous trauailler ſi demeſurément?	Il faut me déceler quel mauvais argument Semble vous travailler si démesurément?
Afm.	Afm.
Mille ſoucis cuiſans me bleſſent la penſee Pour voir voſtre grandeur auiourd’huy rabuiſſee.	Mille soucis cuisants me blessent la pensée Pour voir votre grandeur aujourd'hui rabuisse.
Roſem.	Rosem.
Que cela ie vous pri ne vous aflige en rien De ma condition ie me treuue fort bien Puis que ie ſuis de vous filellement aimee.	Que cela ie vous pri ne vous afflige en rien De ma condition ie me trouve fort bien Puis que sans suis de vous filellement aimée.
Alm.	Alm.
Postre Amour tellement rend mon ame enflamee Que rien abſent de vous ne contente mes yeux.	Potre Amour tellement rend mon âme enflamèse Que rien absent de vous ne contente mes yeux.
Roſem.	Rosem.
Ie me deuls pour vous voir triſtement ſoucieux De celle qui vous pleint heaucoup plus qu’elle meſine, Et qui ſans fiction éperdument vous aime.	Je me déls pour vous voir tristement soucieux De celle qui vous pleins heaucoup plus qu'elle mesine, Et qui sans fiction éperdument vous aime.
Alm.	Alm.
Ia preuue nous fait preuue & à vous & à moy, Que nous ſommes vnis en vne chaste foy.	Ia preuve nous fait prévue et à vous et à moi, Que nous sommes unis en une chaste foi.
Mau ie doute beauconp, ie ne ſcay quel augure Qui me veut menaſſer d’vne perte future.	Mau ie doute beauconp, je ne sais quel augure Qui me veut menacer d'une perte future.
Rolemonde.	Rolemonde.
El quel preſage encos pouuez vous auoir eu?	Él quel présage encos pouvez vous avoir eu?
Alm.	Alm.
Eſtant dedans le bain n’a pas long temps tout nu Trois gouites d’vn noir ſang ſont de mon nez ſorties, Et preſque i’ay ſenti mes forces amorties.	Étant dedans le bain n'a pas long temps tout nu Trois gouites d'un noir sang sont de mon nez sorties, Et presque j'ai senti mes forces amorties.
Vn brouillars me voilant au meſme tems les yeux, Si qu’il me ſembloit voir pluſieurs Soleils aux Cieux	Un brouillars me voilà au même temps les yeux, Si qu'il me semblait voir plusieurs Soleils aux Cieux
Roſemonde.	Rosemonde.
Le bain cauſe touſiours quelque peu de foibleſſe.	Le bain cause toujours quelque peu de faiblesse.
Il faut preudre du vin;	Il faut prévdre du vin;
tuez ceite triſteſſe, Et vous reſiouiſſez, vostrs peuſts eſt eſmeu;	tuez ce tristesse, Et vous réjouissez, vostrs peusts est ému;
Le cœur vous reutendra lors que vous aurez beut Ie vay querir du vin en toute diligence.	Le cœur vous reutendra lors que vous aurez but -je vais quérir du vin en toute diligence.
Alm.	Alm.
Quelle horrible furie encontre moy s'elance?	Quelle horrible furie encontre moi s'élance?
Qu'eſt ce ci qui me ſuit?	Qu'est ce cy qui me suit?
quel ſoupron funereux Bourrelle eſtrangement mon eſprit genereux?	quel soupron funreux Bourrelle étrangement mon esprit généreux?
S ui-ce Eſprits que ie voy ou quelques veis atoment Le Cul ſemble tomber, i’aperçoy des fantoſmes.	 Sui-ce Esprits que je vois ou quelques veis atoment Le Cul semble tomber, j'aperçois des fantômes.
Non, c'eſt pluſtoſt vn mal d’imagination Qui me vient deceuoir par vne illuſion.	Non, c'est plutôt un mal d'imagination Qui me vient décevoir par une illusion.
Il faut prendre courage.	Il faut prendre courage.
Roſem Or ſus ie vous apent Da vin qu' le cœur foible außi toſt recouforte, Prenez donc cette coupe, & tant ſoit peu beuuez.	Rosem Or sus ici vous apent Da vin qu' le cœur faible aussi tôt recouforte, Prenez donc cette coupe, et tant soit peu buvez.
Alm.	Alm.
Roſemonde.	Rosemonde.
Necraignez poins, beuuez, vn gracieux breuuage R’enfocce bien ſouuent vn malade courage, Alm.	Nécraignez poins, buez, un gracieux breuage R'enfocce bien souvent un malade courage, Alm.
Ce vin la n’ſt pas bon.	Ce vin la n'st pas bon.
Roſem.	Rosem.
teſt donc que voſtre gouſt olontiers eſt change.	test donc que votre goût olontiers est change.
Alm.	Alm.
Hé!	Hé!
comme cela bout, ms mon foible eſtomach Roſe.	comme cela bout, mois mon faible estomac Rose.
Cela n’eſt pas eſtrãge, eſt le mal qui ſi toſt pour vostre bien ſe change.	Cela n'est pas étrange, est le mal qui si tôt pour votre bien se change.
Alm.	Alm.
Iaic'eſt de la poiſon!	Jaic'est de la poison!
Roſ.	Ros.
Que dit es vous bons dieux?	Que dit es vous bons dieux?
Alm.	Alm.
e ſuis empoi ſonné!	Je suis empoi sonné!
Roſem.	Rosem.
Vous estes furieux, roiez vous bien cela Al m.	Vous êtes furieux, royez -vous bien cela Al m.
Sttu ne boy le reſte, Ie croy.	Sttu ne boy le reste, Je crois.
Roſ.	Ros.
Ie n’ay ſoif Alm ô dangereuſe peſte, ous le boirez ſoudain.	Je n'ai soif Alma ô dangereuse peste, ous le boirez soudain.
Roſ.	Ros.
I’aybeu vous l’aportant, t ma ſorf eſt éteinte.	J'aibu vous l'apportant, t ma sors est éteinte.
Alm.	Alm.
Il faut boire pourtant, i ça mechantt Loune, mure la bouche infame, Malheureux et celuy qui ſe fie à la femme!	Il faut boire pourtant, y ça méchant Loune, mure la bouche infâme, Malheureux et celui qui se fie à la femme!
y donc tout promtement ou cet aciec trenchant, uoira ton Eſprit chez Pluion trebuchant, oaque de tout vice, il faut mourir, ou boire.	y donc tout promtement ou cet acjet trenchant, ouvoira ton Esprit chez Plvion trébuchant, oaque de tout vice, il faut mourir, ou boire.
Roſem.	Rosem.
ume faut il deſcendre en la cauerne noire?	Âme faut -il descendre en la caverne noire?
aut-il courir moymeſme à clos yeux au trépa!	aut-il courir moymesme à clos yeux au trépa!
Alm.	Alm.
Toila pour te priuer de tes ſalles ébats, ie meurs promptement la vengeance eſt ſoudaine, ir tamort eſt autant que la mienne prochaine, tiant beu plus que moy de ce mort el poiſon, Halhalquelle douleur!	Toilà pour te priver de tes salles ébats, Elle meurs promptement la vengeance est soudaine, ir tamort est autant que la mienne prochaine, tiant bu plus que moi de ce mort él on, Halhalquelle haleur!
quel etrange friſſon e ſaiſit tout le corps?	quel étrange frisson é saisit tout le corps?
lait ie n’ayplus de force, t de me ſoutenir pourneant ie m’eforce, tombe de foibleſſe, helas helas ie meurs, on Dieu ie n’en puis plus.	lait ici n'aiplus de force, t de me soutenir pourneant ie m'eforce, tombe de faiblesse, hélas hélas hélas meurs, on Dieu perd n'en puis plus.
Roſ.	Ros.
Helhé!	Hélhé!
quelles douleur ourette helas i endure au cœur de mes entrailles, me ſens pinceter de ſlanbantes tenailles:	quelles douleur ourette hélas y endure au cœur de mes entrailles, me sens pinceter de slanbantes tenailles:
*01 Las ie m'en vay mourir!	*01 Las ie m'en vais mourir!
pourette helas il faut, Reſiner à la mort mon courage trop haut.	pourette hélas il faut, Résiner à la mort mon courage trop haut.
Adieu luiſant Soleil dont la ronde ca riere, Qeillade chaque iour l’vne & l’autre hemyſphere, Adieu lambris voûtez & vous nuiteux flambeaux Qui redorez les Cieux de cercles d’or ſi beaux!	Adieu luisant Soleil dont la ronde ca règne, Qeillade chaque jour l'une et l'autre hémisphère, Adieu lambris voûtez et vous nuiteux flambeaux Qui redorés les Cieux de cercles d'or si beaux!
Receuez ces adieux, & ces pleintes derniores, Car ie ne verray plus vos plaiſantes lumieres.	Recez ces adieux, et ces pleintes derniores, Car tu ne verrai plus vos plaisantes lumières.
Et toy braue Lougin de qui l’ardente amour M’a fait ſi gauchement treuuer mon dernier iour, Reçoi l’Adieu deruier de cette poure Reine, Que pour te trop aimer dans le tombeau ſe treine.	Et toi brave Lougin de qui l'ardente amour M'a fait si gauchement trouver mon dernier jour, Reçoi l'Adieu deruier de cette pôvre Reine, Que pour te trop aimer dans le tombeau se traîne.
Adieu pour tout iamais, i’aperçoy les fureurs, Trauerſer mon Eſpeit de mille & mille horreurs, La force me defaut!	Adieu pour tout jamais, j'aperçois les fureurs, Traverser mon Espeit de mille et mille horreurs, La force me défaut!
