A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
Un double affront le met au dernier deſeſpoir.	Un double affront le met au dernier désespoir.
Je luy doy tout, mes jours, ma gloire, mon pouvoir.	Je lui dois tout, mes jours, ma gloire, mon pouvoir.
Il faut par voſtre hymen reparer ſon offence, Ou hazarder pour vous ma gloire, & ma puiſſance.	Il faut par votre hymen réparer son offense, Ou hasarder pour vous ma gloire, et ma puissance.
Je l’ay placé ſi haut, qu’au rang où je le voy, Sa haine peut donner des terreurs à ſon Roy.	Je l'ai placé si haut, qu'au rang où je le vois, Sa haine peut donner des terreurs à son Roi.
Mais je crains beaucoup moins ſondeſeſpoir extréme, Que la neceſfité de perdre un Fils que j’aime.	Mais je crains beaucoup moins sondesespoir extrême, Que la necesfité de perdre un Fils que j'aime.
Il faut pour vous ſauver, épouſer Nitocris, Je n’ay que ce prétexte à conſerver mon Fils,	Il faut pour vous sauver, épouser Nitocris, Je n'ai que ce prétexte à conserver mon Fils,
DARIUS.	DARIUS.
Que juſque-là, Seigneur, le ſang des Roys s’abaiſſe.	Que jusque-là, Seigneur, le sang des Rois s'abaisse.
Sauvez-vous par ma mort d’une indigne foibleſſe.	Sauvez-vous par ma mort d'une indigne faiblesse.
La bleſſure d’un Frere, & par un de mes coups, A fait couler vos pleurs, & ſon ſang, devant vous.	La blessure d'un Frère, et par un de mes coups, A fait couler vos pleurs, et son sang, devant vous.
A mon Pere, à mon Roy, j’ay donné des allarmes;	À mon Père, à mon Roi, j'ai donné des alarmes;
J’ay vû preſque ſur vous la pointe de mes armes.	J'ai vu presque sur vous la pointe de mes armes.
Si ce n’eſt pas aſſez pour me priver du jour, Ne dois-je pas auſſi mon ſang à mon amour?	Si ce n'est pas assez pour me priver du jour, Ne dois-je pas aussi mon sang à mon amour?
J’ay voulu, j’ay manqué d’enlever Aſpaſie;	J'ai voulu, j'ai manqué d'enlever Aspasie;
Coupable, ou malheureux, je doy perdre la vie.	Coupable, ou malheureux, je dois perdre la vie.
Au nom de voſtre amour, au nom de tout l’Etat, Par grace, ou par juſtice, immolez un Ingrat.	Au nom de votre amour, au nom de tout l'État, Par grâce, ou par justice, immolez un Ingrat.
Me refuſerez-vous une mort ſouhaitée?	Me refuserez-vous une mort souhaitée?
Pour ne pas l’obtenir, l’ay-je trop meritée?	Pour ne pas l'obtenir, l'ai-je trop méritée?
Seigneur, à vos genoux voſtre Fils attaché, S’il n’obtient ſon trépas, n’en peut eſtre arraché.	Seigneur, à vos genoux votre Fils attaché, S'il n'obtient son trépas, n'en peut être arraché.
Je ſçay bien qu’en perdant l’hõneur de ma naiſſance, En perdant voitre eſtime avec mon innocence, La vie eſt un ſuplice, & le plus grand de tous;	Je sais bien qu'en perdant l'honneur de ma naissance, En perdant voitre estime avec mon innocence, La vie est un supplice, et le plus grand de tous;
Mais elle deviendroit un ſuplice pour vous.	Mais elle deviendrait un suplice pour vous.
L’hymen de Nitocris me rendroit-il ma gloire?	L'hymen de Nitocris me rendrait-il ma gloire?
LE ROY.	LE ROY.
Ah, n’examinons point tout ce qu’il en faut croire, Je le veux;	Ah, n'examinons point tout ce qu'il en faut croire, Je le veux;
C eſt anez, l'hymen de Nitocris Peut ſeul juſtifier là grace de mon Fils.	Ç est anez, l'hymen de Nitocris Peut seul justifier là grâce de mon Fils.
DARIUS.	DARIUS.
La vie eſt-elle un bien avec tant d’infamie?	La vie est-elle un bien avec tant d'infamie?
La vie eſt-elle un bien à qui perd Aſpaſie?	La vie est-elle un bien à qui perd Aspasie?
LE ROY.	LE ROY.
Et voila d’où te vient cette ardeur de périr.	Et voilà d'où te vient cette ardeur de périr.
Sans elle, on aime mieux mourir que m’obeïr.	Sans elle, on aime mieux mourir que m'obéir.
Il faut donc contenter ta rage, & ma juſtice.	Il faut donc contenter ta rage, et ma justice.
Qu'on l’oſte de mes yeux, & que l’Ingrat périſſe.	Qu'on l'ôte de mes yeux, et que l'Ingrat périsse.
SOEREV.	SOREU.
LE ROY ſeul.	LE ROY seul.
U’il meure?	Où meure?
Que ce mot eſt horrible à mon cœur!	Que ce mot est horrible à mon cœur!
Mais tout ſe taiſt, & rien ne parle en ſa faveur.	Mais tout se taît, et rien ne parle en sa faveur.
Ma Cour qui l’adoroit, s’étonne, & ſe retire.	Ma Cour qui l'adorait, s'étonne, et se retire.
Laiſſerez-vous périr l’Heritier de l’Empire, Vous Amis, vous Soldats, vous Peuples qui l’aimez?	Laisserez-vous périr l'Héritier de l'Empire, Vous Amis, vous Soldats, vous Peuples qui l'aimez?
Vous de tous ſes périls ſi ſouvent allarmez, L’abandonnerez-vous à ma juſte colere?	Vous de tous ses périls si souvent alarmés, L'abandonnerez-vous à ma juste colère?
Si vous le confiez aux tendreſſes d’un Pere, Ce Pere eſt ſon Rival, & ſon Juge, & ſon Roy.	Si vous le confiez aux tendresses d'un Père, Ce Père est son Rival, et son Juge, et son Roi.
Sur ces horribles noms qu’attendez-vous de moy?	Sur ces horribles noms qu'attendez-vous de moi?
Helas!	Hélas!
on n’attend rien.	on n'attend rien.
Mais pour ce Fils que j’aime, Tout l’Empire eſt muet;	Mais pour ce Fils que j'aime, Tout l'Empire est muet;
Aſpaſie elle-meſme L’Amour meſme ſe taît.	Aspasie elle-même L'Amour même se taît.
Le crime de mon Fils A-t-il glacé d’horreur, Sujets, Maîtreſſe, Amis?	Le crime de mon Fils A-t-il glacé d'horreur, Sujets, Maîtresse, Amis?
Non, non, je voy déja ſa fidelle A ſpaſie.	Non, non, je vois déjà sa fidèle A spasie.
Mais l’Ingrate ne vient qu’aigrir ma jalouſie, Et voulant à mon Fils prêter tout ſon appuy, Elle vient ſeulement m'irriter contre luy.	Mais l'Ingrate ne vient qu'aigrir ma jalousie, Et voulant à mon Fils prêter tout son appui, Elle vient seulement m'irriter contre lui.
SCENE VI.	SCÈNE VI.
LE ROY, ASPASIE.	LE ROY, ASPASIE.
ASPASIE.	ASPASIE.
J Ous le voyez, Seigneur, à mon devoir fidelle, V Et meſme à Darius peut-eſtre trop cruelle.	 Jus le voyez, Seigneur, à mon devoir fidèle, V Etîle à Darius peut-être trop cruelle.
J’ay pouſſé ſon amour au dernier deſeſpoir, Et je viens achever de faire mon devoir.	J'ai poussé son amour au dernier désespoir, Et je viens achever de faire mon devoir.
Si cet horrible jour, ſi cet affreux carnage, Tant de ſang, tãt de Morts trouvez ſur mon paſſage, Ne vous obligent point à changer de deſſein;	Si cet horrible jour, si cet affreux carnage, Tant de sang, tant de Morts trouvez sur mon passage, Ne vous obligent point à changer de dessein;
Me voila toute preſte à vous donner la main.	Me voilà toute prête à vous donner la main.
LE ROY.	LE ROY.
Vous voyez ma ſurpriſe.	Vous voyez ma surprise.
A cet offre, Madame, De nouveaux mouvemens s’élevent dans mon ame.	À cet offre, Madame, De nouveaux mouvements s'élevent dans mon âme.
Vous, me parler d’hymen!	Vous, me parler d'hymen!
Dans un ſi grand beſoin La pitié de nos maux peut-elle aller ſi loin?	Dans un si grand besoin La pitié de nos maux peut-elle aller si loin?
Vous m’offrez voſtre main, moins pour me ſatisfaire, Que pour ſauver mon Fils, & fléchir ma colere.	Vous m'offrez votre main, moins pour me satisfaire, Que pour sauver mon Fils, et fléchir ma colère.
Mais ſans examiner ce qui vous donne à moy, Je ne puis dop payer Penont que je vous doy.	Mais sans examiner ce qui vous donne à moi, Je ne puis dop payer Pénont que je vous dois.
Qu’on ramene mon Fils.	Qu'on ramène mon Fils.
Que de joye!	Que de joie!
Ah, Madame, Si j’avois quelque part aux trãſports de voſtre ame.	Ah, Madame, Si j'avais quelque part aux transports de votre âme.
Mais la vûë & les pleurs d’un ſi fidelle Amant, Vous vont faire bientoſt changer de fentinient.	Mais la vue et les pleurs d'un si fidèle Amant, Vous vont faire bientôt changer de fentinient.
ASPASIE.	ASPASIE.
Ne croyez pas, Seigneur, qu’un ſi grand ſacrifice Soit foibleſſe, remords, inconſtance, artifice.	Ne croyez pas, Seigneur, qu'un si grand sacrifice Soit faiblesse, remords, inconstance, artifice.
C’eſt de voſtre vertu le charme tout-puiſſant;	C'est de votre vertu le charme tout-puissant;
C’eſt l’effort genéreux d’un cœur reconnoiſſant;	C'est l'effort généreux d'un cœur reconnaissant;
C’eſt un preſſant devoir qui régne dans mon ame.	C'est un pressant devoir qui règne dans mon âme.
J’avoûray qu’en ſecret une ſincére flâme Fait des vœux, s’intéreſſe, & parle fortement Pour un Prince coupable, aimé trop tendrement;	J'avourai qu'en secret une sincère flamme Fait des vœux, s'intéresse, et parle fortement Pour un Prince coupable, aimé trop tendrement;
Que ſa vie en péril me donne des allarmes;	Que sa vie en péril me donne des alarmes;
Que je ne puis cacher, ny déguiſer mes larmes;	Que je ne puis cacher, ni déguiser mes larmes;
Que s’il mouroit, peut-eſtre apres un tel ma’heur, A vec un monde entier je mourrois de douleur;	Que s'il mourait, peut-être après un tel maheur, A voit un monde entier je mourrais de douleur;
Mais de quelques regrets que ſa mort fuſt ſuivie, Si je vis, c’eſt pour vous que j’aimeray la vie.	Mais de quelques regrets que sa mort fût suivie, Si je vis, c'est pour vous que j'aimerai la vie.
Que ſi voſtre bonté, malgré voſtre couroux, Laiſſe ce Fils au Trône, à l’Univers, à vous, Je ſens pour reconnoître un coup ſi favorable, Que du plus grand effort je deviendray capable.	Que si votre bonté, malgré votre courroux, Laisse ce Fils au Trône, à l'Univers, à vous, Je sens pour reconnaître un coup si favorable, Que du plus grand effort je deviendrai capable.
Quelque feu qu’en mon cœur ce Prince ait allumé, Je l’éteindray, Seigneur, & vous ſerez aimé.	Quelque feu qu'en mon cœur ce Prince ait allumé, Je l'éteindrai, Seigneur, et vous serez aimé.
L’eſpoir de ſon pardon rend mon cœur ſi ſenſible, Qu’il m’entraine vers vous par un charme invincible, Et quitte envers le Prince, en luy ſauvant le jour, Je pourray vous donner, Seigneur, tout mon amour.	L'espoir de son pardon rend mon cœur si sensible, Qu'il m'entraine vers vous par un charme invincible, Et quitte envers le Prince, en lui sauvant le jour, Je pourrai vous donner, Seigneur, tout mon amour.
LE ROY.	LE ROY.
Quoy!	Quoi!
vous pourriez m’aimer, genéreuſe Princeſſe, Et voulant conſerver mon Fils à ſa tendreſſe, Je verrois voſtre cœur s’arracher aujourd’huy A ce parlait aiſiour que vous aves pour luy?	vous pourriez m'aimer, généreuse Princesse, Et voulant conserver mon Fils à sa tendresse, Je verrais votre cœur s'arracher aujourd'hui À ce parlait aisiour que vous avez pour lui?
Soleil, Aſtre ſacré, verras-tu dans la Perſe Une gloire effacer la gloire d’Artaxerce?	Soleil, Astre sacré, verras-tu dans la Perse Une gloire effacer la gloire d'Artaxerce?
Non, s’il faut diſputer une gloire entre nous, J’éteindray mon amour, je vaincray comme vous.	Non, s'il faut disputer une gloire entre nous, J'éteindrai mon amour, je vaincrai comme vous.
ASPASIE.	ASPASIE.
Quel triomphe ſuivroit cette grande victoire?	Quel triomphe suivrait cette grande victoire?
LE ROY.	LE ROY.
Quãd je vous doy, Madame, & mon Fils, & ma gloire, Il ne ſera pas dit qu’en genérofité Un Mortel, quel qu’il ſoit, m’ait jamais ſurmonté.	Quand je vous dois, Madame, et mon Fils, et ma gloire, Il ne sera pas dit qu'en générosité Un Mortel, quel qu'il soit, m'ait jamais surmonté.
Que le ner Iiibate en maridrey friaut faire Grace entiere à mon Fils, il faut vous ſatisfaire.	Que le ner Jiibate en maridrei friaut faire Grâce entière à mon Fils, il faut vous satisfaire.
ASPASIE.	ASPASIE.
Ah, Seigneur, c’eſt aſſez de ſauver voſtre Fils, N’irritons pas l’orgueil de nos fiers Ennemis.	Ah, Seigneur, c'est assez de sauver votre Fils, N'irritons pas l'orgueil de nos fiers Ennemis.
LE ROY.	LE ROY.
Je ſçauray conſoler Nitocris, & ſon Pere;	Je saurai consoler Nitocris, et son Père;
Enle peru Darius, je luy fendray ſon Frere.	Enle peru Darius, je était fendrai son Frère.
Qu’on les faſſe venir, que tous deux ſatisfaits.	Qu'on les fasse venir, que tous deux satisfaits.
Quel tumulte, quel bruit remplit tout ce Palais?	Quel tumulte, quel bruit remplit tout ce Palais?
SCENE DERNIERE.	SCÈNE DERNIÈRE.
LE ROY, ASPASIE, ORONTE, SUITE.	LE ROY, ASPASIE, ORONTE, SUITE.
LE ROY continuë.	LE ROY continue.
U’eſt-ce, Oronte?	OÙ a-ce, Oronte?
parlez.	parlez.
Mais que vois-je Ql deſordre?	Mais que vois-je Ql désordre?
quel ſang?	quel sang?
I paraître?	I paraître?
ORONTE.	ORONTE.
C ere lelang de mon Maître.	Ç Cre lelang de mon Maître.
De mon Fils?	De mon Fils?
LE ROY.	LE ROY.
ASPASIE.	ASPASIE.
Juſte Ciel!	Juste Ciel!
LE ROY.	LE ROY.
Vos préſages, grands Dieux, Sont enfin éclaircis.	Vos présages, grands Dieux, Sont enfin éclaircis.
Quel Monſtre furieux.	Quel Monstre furieux.
ORONTE.	ORONTE.
On ramenoit le Prince aſſuré de ſa grace.	On ramenait le Prince assuré de sa grâce.
Tiribaze ſurpris, plein de trouble & d’audace, Balançant quelque temps, l’approche, & nous fait voir Par un regard terrible, un affreux deſeſpoir.	Tiribaze surpris, plein de trouble et d'audace, Balançant quelque temps, l'approche, et nous fait voir Par un regard terrible, un affreux désespoir.
Arreſte, luy dit-il, par ſa lâche inconſtance, Le Roy te faiſant grace, a trahy ma vengeance.	Arrête, Seigneur dit-il, par sa lâche inconstance, Le Roi te faisant grâce, a trahi ma vengeance.
Puis tirant un Poignard;	Puis tirant un Poignard;
Prince ingrat, & ſans foy, Meurs, & me vange ainſi de ton Pere, & de toy.	Prince ingrat, et sans foi, Meurs, et me venge ainsi de ton Père, et de toi.
Je m’élance ſur luy pour arreſter ſa rage;	Je m'élance sur lui pour arrêter sa rage;
Mais ſon Fer malgré moy s’eſtant fait un paſſage, Frape le Prince;	Mais son Fer malgré moi s'étant fait un passage, Frappe le Prince;
& moy des mains de l’Aſſaſſin Arrachant le Poignard, je luy perce le ſein.	et moi des mains de l'Assassin Arrachant le Poignard, je lui perce le sein.
LE ROY.	LE ROY.
Ton zele un peu trop prompt l’enleve à ma juſtice.	Ton zèle un peu trop prompt l'enlève à ma justice.
ORONTE.	ORONTE.
Ecoutez ce qui reſte, & voyez ſon ſuplice.	Écoutez ce qui reste, et voyez son supplice.
La mort de Darius répanduë en ces Lieux, Nitecris de ſon rang venant ſaouler ſes yeux, Voir ſon Pere mourant.	La mort de Darius répandue en ces Lieux, Nitecris de son rang venant saouler ses yeux, Voir son Père mourant.
Quel ſpéctacle pour elle!	Quel spéctacle pour elle!
Penétrez auſſitoſt d’une douleur mortelle, Se regardant l’un l’autre, & ſe parlant tous deux, Par de profonds ſanglots, & des cris douloureux, Elle ſuccombe enfin, & tombe évanoüye.	Penétrez aussitôt d'une douleur mortelle, Se regardant l'un l'autre, et se parlant tous deux, Par de profonds sanglots, et des cris douloureux, Elle succombe enfin, et tombe évanouie.
Luy, qui perd tout ſon ſang, & qui la croit ſans vie, Preſſé par ſes remords, ma Fille meurt, je meurs, Dit-il au Prince, & c’eſt le fruit de nos fureurs.	Lui, qui perd tout son sang, et qui la croit sans vie, Pressé par ses remords, ma Fille meurt, je meurs, Dit-il au Prince, et c'est le fruit de nos fureurs.
T’ayant fait conſeiller d’enlever Aſpaſie, J’en avertis le Roy, j’armay ſa jalouſie;	T'ayant fait conseiller d'enlever Aspasie, J'en avertis le Roi, j'armai sa jalousie;
Mais voyant ſa foibleſſe excuſer l’attentat, j’ay poune m oouleur juſqu’a l’aſſaſſinat;	Mais voyant sa faiblesse excuser l'attentat, j'ai poune m ouleur jusqu'a l'assassinat;
Je voulois ſur ton Pere achever mon ouvrage;	Je voulais sur ton Père achever mon ouvrage;
Mais les Dieux par ma mort ont prévenu ma rage.	Mais les Dieux par ma mort ont prévenu ma rage.
A ces mots, vers le Ciel ayant levé les yeux, Il blaſphéme en mourant, & déteſte les Dieux.	À ces mots, vers le Ciel ayant levé les yeux, Il blâme en mourant, et déteste les Dieux.
LE ROY.	LE ROY.
Eſt-ce à iuy que j’avois confié ma puiſſance?	Est-ce à jui que j'avais confié ma puissance?
ORONTE.	ORONTE.
Darius qui mouroit, malgré noſtre aſſiſtance, Frapé de ce diſcours, tournant les yeux vers nous, Vous cherche, croit vous yoir, & s’adreſſant à vous;	Darius qui mourait, malgré notre assistance, Frappé de ce discours, tournant les yeux vers nous, Vous cherche, croit vous yoir, et s'adressant à vous;
Vous vivez, & je meurs, le Ciel eſt équitable.	Vous vivez, et je meurs, le Ciel est équitable.
