Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
Ayant veu contre luy l’impoſture ſoufferte, Il a pour l’eſtouffer précipité ſa perte, Et crû dans les ſoupçons d’un crime lâche & bas Un affront aſſez grand pour n’y ſurvivre pa:	Ayant vu contre cela l'imposture soufferte, Il a pour l'étouffer précipité sa perte, Et cru dans les soupçons d'un crime lâche et bas Un affront assez grand pour n'y survivre paya:
PLACIDIE.	PLACIDIE.
Ah, Seigneur!	Ah, Seigneur!
il vous faut ouvrir toute mon ame, Mon orgueil juſqu’icy s’eſt immolé ma flame;	il vous faut ouvrir toute mon âme, Mon orgueil jusqu'ici s'est immolé ma flamme;
Mais quand d’Eucherius j’ay creuſé le cercueil Je dois î mon anour immoler mon orgueCe Heros dont toûjours la vertu ma charmée, N’euſt point eſté ſuſpect s’il ne m’euſt pas aimée, Et l’injuſte refus d’avouer ſon amour A çauſé l’aceident qui le prive du jour;	Mais quand d'Eucherius j'ai cruusé le cercueil Je dois année mon anour immoler mon orgueCe Héros dont toujours la vertu ma charmée, N'eût point été suspect s'il ne m'eût pas aimée, Et l'injuste refus d'avouer son amour A fusé l'acident qui le prive du jour;
Je l’aimois toutefois, mais de cette victoire Ma jalouſe fierté luy déroboit la gloire, Je le voulois au Trône.	Je l'aimais toutefois, mais de cette victoire Ma jalouse fierté lui derrobait la gloire, Je le voulais au Trône.
& l’ardeur de regner M’offroit dans ce deffaut dequoy le dédaigner;	et l'ardeur de régner M'offrait dans ce défaut dequoy le dédaigner;
Ces dédains affectez ne cherchoyent qu’à vous dire Qu’il auroit ſçeu me plaire en partageant l’Empire, Et j’oſois me flater que pour prix de ſa foy Vous le ſçauriez par là rendre digne de moy.	Ces dédains affectez ne cherchaient qu'à vous dire Qu'il aurait su me plaire en partageant l'Empire, Et j'osais me flatter que pour prix de sa foi Vous le sauriez par là rendre digne de moi.
Enfin il ne vit plus, & de mon arrogance Je dois à ſa chere Ombre une pleine vangeance, D’un trop ſuperbe eſpoir le ſuccés decevaut Veut qu’il obtienne mort ce qu’il n’a pû vivant, Qu’avec éclat pour luy mon cœur toûjours s'explie Qu’ainſi que mon orgueil ma flame ſoit publique, Et qu’au moins devant tous dans mes vives douleurs, Né pouvant rien de plus, je luy donne des pleurs	Enfin il ne vit plus, et de mon arrogance Je dois à sa chère Ombre une pleine vengeance, D'un trop superbe espoir le succès decevaut Veut qu'il obtienne mort ce qu'il n'a pu vivant, Qu'avec éclat pour rendre mon cœur toujours s'explie Qu'ainsi que mon orgueil ma flamme soit publique, Et qu'au moins devant tous dans mes vives douleurs, Né pouvant rien de plus, je lui donne des pleurs
SCENE VI.	SCÈNE VI.
HONORIUS, PLACIDIE, STILICON, MARCELLIN, LUCILE, Suite.	HONORIUS, PLACIDIE, STILICON, MARCELLIN, LUCILE, Suite.
HONORIUS.	HONORIUS.
T bien, du Sort enfin la rage eſt aſſouvie,  Ton fils eſt innocent, mais ton fils eſt ſans vie:	T bien, du Sort enfin la rage est assouvie, Ton fils est innocent, mais ton fils est sans vie:
Et je tremble à t’ouir tout bas me reprocher, Que ſije vis encore, il t’en couſte bien cher.	Et je tremble à t'ouïr tout bas me reprocher, Que sije vis encore, il t'en coûte bien cher.
LICOE.	LICOE.
Seigneur, mon fils eſt mort, la Nature effrayée N’oſe voir de quel prix voſtre vie eſt payée, Et quand vous le ſçaurez, ſi dedaus voſtre erreur Vous tremblez de pitié, vous tremblerez d’horreur, D HO** O	Seigneur, mon fils est mort, la Nature effrayée N'ose voir de quel prix votre vie est payée, Et quand vous le saurez, si dédaus votre erreur Vous tremblez de pitié, vous tremblerez d'horreur, D O* Ô
HONORIUS.	HONORIUS.
Ah!	Ah!
quoy que par le ſang ta douleur ſe ſouſtienne, Elle ne peut aller au delà de la mienne, Et ſi par la vangeance on peut la ſoulager.	quoi que par le sang ta douleur se soutienne, Elle ne peut aller au delà de la mienne, Et si par la vengeance on peut la soulager.
ILICON.	ILICON.
Apprenez donc ſur qui mon fils ſe doit vanger, Mais pour voir dans ſa mort quel deſeſpoir m’accable, Sçachez auparavant de quoy je fus capable.	Apprenez donc sur qui mon fils se doit venger, Mais pour voir dans sa mort quel désespoir m'accable, Sachez auparavant de quoi je fus capable.
Je vous aimay, Seigneur, & l’on ne vit jamais Plus de zéle répondre à de rares bienfaits;	Je vous aimai, Seigneur, et l'on ne vit jamais Plus de zèle répondre à de rares bienfaits;
Ce zéle dans mon cœur n’en ſouffrant aucun autre, M’euſt fait cent fois donner tout mon ſang pour le voſtre, Et dans vos intereſts ma tendreſſe & mes ſoins En ont peut-ſtre eſté de fidelles témoins;	Ce zèle dans mon cœur n'en souffrant aucun autre, M'eût fait cent fois donner tout mon sang pour le vôtre, Et dans vos intérêts ma tendresse et mes soins En ont peut-être été de fidèles témoins;
La vertu m’inſpirant par de ſecretes flames, J’eus tous les ſentimens qui font les grandes ames, La gloire me fut chere, & cent nobles exploits Pour en marquer l’ardeur ne manquent point de voix;	La vertu m'inspirant par de secrètes flammes, J'eus tous les sentiments qui font les grandes âmes, La gloire me fut chère, et cent nobles exploits Pour en marquer l'ardeur ne manquent point de voix;
Heureux, ſi du Deſtin la jalouſe puiſſance M’euſt épargné d’un fils la fatale naiſſance;	Heureux, si du Destin la jalouse puissance M'eût épargné d'un fils la fatale naissance;
Par la de ma vertu ſa rigueur vint à bout, Ce ſils fui une idole à qui j’immolay tout;	Par la de ma vertu sa rigueur vint à bout, Ce sils fui une idole à qui j'immolai tout;
Aton amour dans ce fils ou bien pluitoſt ma rage Du titre de Sejet ne pût ſouffrir l’outrage, Et ſans l’en conſulter, mon ingrate fureur V’oulut par voſtre perte en falre un Empereur.	Aton amour dans ce fils ou bien tôt ma rage Du titre de Séjet ne pût souffrir l'outrage, Et sans l'en consulter, mon ingrate fureur V'oulut par votre perte en falre un Empereur.
en prononçay l’arreſt, & je la crûs certaine;	en prononçai l'arrêt, et je la crus certaine;
lugez par cet adveu de l’excez de ma peine.	lugez par cet aveu de l'excès de ma peine.
Pour éleser mon fils au rang où je vous voy, Pay trahy vos bien-faits, j’ay violé ma foy, ’ay démenty mon ſang, j’ay pris le nom de traiſtre, 'ay porté le poignard dans le ſeis de mon Maiſtre, l’ay touillé lacbement la gloire de mon ſoit;	Pour éleser mon fils au rang où je vous vois, Pai trahi vos bienfaits, j'ai violé ma foi, aay démenti mon sang, j'ai pris le nom de traître, ' ai porté le poignard dans le seî de mon Maistre, l'ai touillé lacbement la gloire de mon soit;
Cepeadant, cependant, Seigneur, mon ſils eſt mort.	Cepeadant, cependant, Seigneur, mon sils est mort.
LACIDIE.	LACIDIE.
Quoy, méchant?	Quoi, méchant?
pour caches une ame baſſe & noire, Tu pâs ſeiadie!	pour caches une âme basse et noire, Tu pâcs seiadie!
HONC	HONC
ONORIUS.	ONORIUS.
Ma ſœur, oſeriez-vous le croire, Et preſſé de douleur, ne vous fait-il pas voir, Qu’en tout ce qu’il s’impute il ſuit ſon deſeſpoir?	Ma sœur, oseriez-vous le croire, Et pressé de douleur, ne vous fait-il pas voir, Qu'en tout ce qu'il s'impute il suit son désespoir?
CON.	CON.
Non, non, mon deſeſpoir né cherche point à feíca dre, Ayant perdu mon fils, je n’ay plus rien à craindre;	Non, non, mon désespoir né cherche point à feíca dre, Ayant perdu mon fils, je n'ai plus rien à craindre;
Aſſez des Aſſaſſins entre vos mains reſtez, Vous peuvent confirmer ces dures veritez.	Assez des Assassins entre vos mains restez, Vous peuvent confirmer ces dures vérités.
Pour couronner ce fils qui n’euſt pû le pretendre, Moy ſeul à ſon deçeu je faiſois entreprendre, Voyant qu’au repentir Zenon avoit cedé, Par mon ordre auſſi-toſt Felix l’a poignardé, Sur mon fils par mon ordre il a jetté le crime Qui devoit cette nuit vous ſaire ſa victime, Et de ma dureté l’éclat myſterieux, Le traitant de coupable, ébloüiſſoit vos yeux;	Pour couronner ce fils qui n'eût pu le prétendre, Moi seul à son déçu je faisais entreprendre, Voyant qu'au repentir Zenon avait cédé, Par mon ordre aussitôt Félix l'a poignardé, Sur mon fils par mon ordre il a jeté le crime Qui devait cette nuit vous zaïre sa victime, Et de ma dureté l'éclat mystérieux, Le traitant de coupable, éblouissait vos yeux;
Inventez des tourmens, imaginez des gênes, Sa mort paſſe pour moy les plus affreuſes pe-nes, De ſon pere aujourd’huy je me voy ſon bourreau, Je le voulois au Trône, & le mets au tombeau.	Inventez des tourments, imaginez des gênes, Sa mort passe pour moi les plus affreuses penés, De son père aujourd'hui je me vois son bourreau, Je le voulais au Trône, et le mets au tombeau.
Le Ciel, dont la puiſſance à nos deſſeins preſide, Tourne contre moy ſeul mon lâche parricide, Et l’avide fureur de mes projets trahis, Ne me rend criminel que pour perdre mon fils.	Le Ciel, dont la puissance à nos desseins preside, Tourne contre moi seul mon lâche parricide, Et l'avide fureur de mes projets trahis, Ne me rend criminel que pour perdre mon fils.
Apiés mes attentats que j’oſe vous apprendre, Sçachant ce qui m’eſt dũ, Seigneur, je vais l’attendre, Et connois trõp encore un reſte de devoir, Pour vous plus expoſer à l’horreur de me voir.	Apiez mes attentats que j'ose vous apprendre, Sachant ce qui m'est dũ, Seigneur, je vais l'attendre, Et connais tromme un reste de devoir, Pour vous plus exposer à l'horreur de me voir.
LACIDIE.	LACIDIE.
Attendant qu’i loiſir on en puiſſe reſoudre, Suivez-le, Marcellin.	Attendant qu'y loisir on en puisse résoudre, Suivez-le, Marcellin.
SCENE VII.	SCÈNE VII.
HONORIUS, PLACIDIE, LUCILE.	HONORIUS, PLACIDIE, LUCILE.
HONORIUS.	HONORIUS.
MA ſœur, quel coup de foudre!	MA sœur, quel coup de foudre!
Abiſmé tout à coup dans un gouffre d’ennuis, Abandonné, trahy, ſçay-je encor qui je ſuis?	Abismé tout à coup dans un gouffre d'ennuis, Abandonné, trahi, sais-je encor qui je suis?
Je pers Eucherius, & ma douleur amere, Cherchant ſon aſſaſſin, le trouve dans ſon pere.	Je pers Eucherius, et ma douleur âme, Cherchant son assassin, le trouve dans son père.
O rigueur du Deſtin à ma peine endurcy!	Ô rigueur du Destin à ma peine endurci!
C’eſt le perdre deux fois que de le perdre ainſi;	C'est le perdre deux fois que de le perdre ainsi;
Dans l’arreſt où déja je me croy voir contraindre, Tous deux également rendent mon ſort à plaindre, Et je le vois tous deux, pour croiſtre ma douleur, L’un m’expoſer ſon crime, & l’autre ſon melheur.	Dans l'arrêt où déjà je me crois voir contraindre, Tous deux également rendent mon sort à plaindre, Et je le vois tous deux, pour croître ma douleur, L'un m'exposer son crime, et l'autre son melheur.
Fut-il jamais vn mal comme le mien extréme!	Fut-il jamais un mal comme le mien extrême!
Ie cheris Stilicon à l’egal de moy-meſme, Et de cette tendreſle où vole tout mon cœur, Au ſeul Eucherius je partage l’ardeur;	Je chéris Stilicon à l'égal de moi-même, Et de cette tendresle où vole tout mon cœur, Au seul Eucherius je partage l'ardeur;
Plein de ces ſentimens, un revers effroyable, Me fait voir le fils mort & le pere coupable, Et ſa fatalité qu’on n’a ſçeu prévenir, Quand j’ay l’un à pleurer, m’offre l’autre à punir.	Plein de ces sentiments, un revers effroyable, Me fait voir le fils mort et le père coupable, Et sa fatalité qu'on n'a su prévenir, Quand j'ai l'un à pleurer, m'offre l'autre à punir.
O toy, dont la vertu toûjours brillante & pure, Preſſe mon amitié de vanger ton injure, D’un ſi cruel devoir daigne me diſpenſer, Ou me donne du ſang que je puiſſe verſer;	Ô toi, dont la vertu toujours brillante et pure, Presse mon amitié de venger ton injure, D'un si cruel devoir daigne me dispenser, Ou me donne du sang que je puisse verser;
Si c’eſt le criminel qui te doit ſatisfaire, Je ne trouve à t’offrir que celuy de ton pere, Et ſon crime à punir dans ton funeſte ſort, Paſſe toute l’horreur où me plonge ta mort.	Si c'est le criminel qui te doit satisfaire, Je ne trouve à t'offrir que celui de ton père, Et son crime à punir dans ton funeste sort, Passe toute l'horreur où me plonge ta mort.
Ah!	Ah!
que n’a-t’on ſouffert qu’aux dépens de ma vic Un coupable ſi cher aſſouviſt ſon envie!	que n'a-t'on souffert qu'aux dépens de ma vic Un coupable si cher assouvît son envie!
Ce revers euſt peut-eſtre eſté moins important, Il vivroit ſatisfait, je ſerois mort content.	Ce revers eût peut-être été moins important, Il vivrait satisfait, je serais mort content.
Cette triſte grandeur, dont l’éclat me demeure, Ne vaut pas l’embarras ny la mort que je pleure;	Cette triste grandeur, dont l'éclat me demeure, Ne vaut pas l'embarras toujours la mort que je pleure;
Mais où m’ont emporté ces regrets ſuperflus, Tandis que Stilicon.	Mais où m'ont emporté ces regrets superflus, Tandis que Stilicon.
SCENE VIII.	SCÈNE VIII.
HONORIUS, PLACIDIE, MARCELLIN, LUCILE, Suite.	HONORIUS, PLACIDIE, MARCELLIN, LUCILE, Suite.
MARCELLIN.	MARCELLIN.
S Eigneur, il ne vit plus, A prine eſt-il ſorty, qu’ordonnant ſon ſupplice, Iuſqu’au bout a-il-dit, pouſſons noſtre injuſtice, Sexs mille affreux tourmens un juſte & vif remords Me devroit reſerver à ſouffrir mille morts;	 Signeur, il ne vit plus, A prine est-il sorti, qu'ordonnant son supplice, Jusqu'au bout a-il-dit, poussons notre injustice, Sexs mille affreux tourments un juste et vif remords Me devrait réserver à souffrir mille morts;
Mais de ce lâthe cœur l'ingratitude extréme Ne ſonffre point pour moy de bourreau que moy-mefme.	Mais de ce lâthe cœur l'ingratitude extrême Ne sonffre point pour moi de bourreau que moi-même.
Lors un fer tout à coupdans ſon ſein enfoncé.	Lors un fer tout à coupdans son sein enfoncé.
ONORI Us.	ONORI Us.
Son forfait eſt puny, mais non pas effacé, Et quoy qu’un vain remords ait pû luy faire croire, Sa main par ſon trépas ne luy rend pas ſa gloire.	Son forfait est puni, mais non pas effacé, Et quoi qu'un vain remords ait pu toujours faire croire, Sa main par son trépas ne lui rend pas sa gloire.
Ne m’abandonnez point au trouble où je me voy, Ma ſœur, perdant ſon fils, vous perdez comme moy, Et ma douleur ne peut eſperer d’autres charmes, ue de joindre pour luy mes ſoûpirs à vos larmes, Et de voir qu’avec moy voſtre pitié d’accord, Me ſeconde à pleurer le malheur de ſa mort.	Ne m'abandonnez point au trouble où je me vois, Ma sœur, perdant son fils, vous perdez comme moi, Et ma douleur ne peut espérer d'autres charmes, ue de joindre pour lui mes soupirs à vos larmes, Et de voir qu'avec moi votre pitié d'accord, Me seconde à pleurer le malheur de sa mort.
Fin du cinquiéme & qie Acte.	Fin du cinquième et qie Acte.
Ce revers euſt peut-eſtre eſté moins important, Il vivroit ſatisfait, je ſerois mort content.	Ce revers eût peut-être été moins important, Il vivrait satisfait, je serais mort content.
Cette triſte grandeur, dont l’éclat me demeure, Ne vaut pas l’embarras ny la mort que je pleure;	Cette triste grandeur, dont l'éclat me demeure, Ne vaut pas l'embarras toujours la mort que je pleure;
Mais où m’ont emporté ces regrets ſuperflus, Tandis que Stilicon.	Mais où m'ont emporté ces regrets superflus, Tandis que Stilicon.
SCENE VIII.	SCÈNE VIII.
HONORIUS, PLACIDIE, MARCELLIN, LUCILE, Suite.	HONORIUS, PLACIDIE, MARCELLIN, LUCILE, Suite.
MARCELLIN.	MARCELLIN.
S Eigneur, il ne vit plus, A prine eſt-il ſorty, qu’ordonnant ſon ſupplice, Iuſqu’au bout a-il-dit, pouſſons noſtre injuſtice, Sexs mille affreux tourmens un juſte & vif remords Me devroit reſerver à ſouffrir mille morts;	 Signeur, il ne vit plus, A prine est-il sorti, qu'ordonnant son supplice, Jusqu'au bout a-il-dit, poussons notre injustice, Sexs mille affreux tourments un juste et vif remords Me devrait réserver à souffrir mille morts;
