LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
& vn foudre n’éclate Sur l’affronteur, ſur le chef de l’ingrate.	et un foudre n'éclate Sur l'affronteur, sur le chef de l'ingrate.
Alcee.	Alcée.
Oetien de sce laivme adernar, En aduertir mon pere ie promets.	Oetien de sce laivme adernar, En avertir mon père homme promets.
Democle.	Democle.
FigureZ vous que luy-meſme en ma place Prendroit autant de legitime audace,	Figurez -vous que lui-même en ma place Prendroit autant de légitime audace,
Aipres euiſests, Alcee.	Ajpres euisests, Alcée.
Democle.	Democle.
Ouy Caujeur piein d'effet.	Oui Caujeur piein d'effet.
Alcee.	Alcée.
A ce matin quelle peſche as-tu fait?	À ce matin quelle pèche as-tu fait?
Democle Loing de vos yeux, où l’Archer d’Idalie Trempe ſes dards, l’impuiſſance me lie, Loing de vos yeux qui fourmillent d’appas, Le poiſſon fuit, ou ruſé ne mord pas, Approché d’eux, vn ſecret efficace De leurs rayons, facilite ma chaſſe, Et lors pourroy, ſans ligne, n’hameçons Tirer a bord le dernier des poiſſons.	Democle Loin de vos yeux, où l'Archer d'Idalie Trempe ses dards, l'impuissance me lie, Loing de vos yeux qui fourmillent d'appas, Le poisson fuit, ou rusé ne mord pas, Approché d'eux, un secret efficace De leurs rayons, facilite ma chasse, Et lors pourrai, sans ligne, n'hameçons Tirer à bord le dernier des poissons.
Alcée.	Alcée.
Or ſus menteur, voyons d’aller enſemble, La part qui plus opportune te ſemble, Duntuoujuets la proye enuelopper, Qui de retour nous fourniſſe à ſouper.	Or sus menteur, voyons d'aller ensemble, La part qui plus opportune te semble, Duntuoujuets la proie envelopper, Qui de retour nous fournisse à souper.
Democle.	Democle.
Uous dites bien, marcheZ deuant ma belle, Par ce ſentier deſſur l’herbe nouuelle, Aupres du nid des Oyſillons promis, Certaine foſſe où le poiſſon s'eſt mis, Nous donnera tel butin, que i'espere En réjouïr le bon homme de Pere.	Où dites bien, marchez devant ma belle, Par ce sentier dessur l'herbe nouvelle, Auprès du nid des Oisillons promis, Certaine fosse où le poisson s'est mis, Nous donnera tel butin, que j'espère En réjouir le bon homme de Père.
AlecC.	AlecC.
Glauque le vueille, & Palemon auſſi, Qui des Peſcheurs embraſſent le ſouçy.	Glauque le veuille, et Palemon aussi, Qui des Pêcheurs embrassent le souçi.
Dorilas.	Dorilas.
Aueugle Amour, ta felonne manie A mes dépens preuue ſa tyrannie, Un eſtranger, de nulle extraction, Qui n'a diſcours, ny loüable action, Triomphe, helas!	Aueugle Amour, ta félonne manie A mes dépens prévue sa tyrannie, Un étranger, de nulle extraction, Qui n'a discours, ni Aveugle Amour, Triomphea hélas!
de ma flâme loyale, Poſſede, ô Cieux!	de ma flamme loyale, Possède, ô Cieux!
vne beauté Royalle, Une beauté qui feroit du renom Repudier au Tonnant ſa Iunon.	une beauté Royalle, Une beauté qui ferait du renom Répudier au Tonnant sa Junon.
Manque implorer contre ma criminelle, L'authorité qui préuaut paternelle, Manque diſcret vn vieillard requerir, Duquel ie puis l’indigence tarir, Et de qui l’heure eſt la mieux fortunée, Heuré pornant mes maux en l'Hymenee.	Manque implorer contre ma criminelle, L'autorité qui prévaut paternelle, Manque discret un vieillard requérir, Duquel Ne puis l'indigence tarir, Et de qui l'heure est la mieux fortunée, Heuré pornant mes maux en l'Hymène.
SCENE III.	SCÈNE III.
CYDIPPE, DORILAS.	CYDIPE, DORILAS.
Cydippe.	Chydipe.
Aſſe de plus me diſtiller en pleurs, De plus nourrir ces muettes douleurs, De plus cacher ſous vn voile de honte L'âpre tourment du feu qui me ſurmonte, Laſſe de plus repaistre ce Vautour, Qui ſur mon cœur s’acharne nuit & jour, Il faut ſortir du pouuoir de ſa rage, Et de celuy me ſonder le courage, Qui m'a rauie en ſes perfections, Qui ſeul preſide à mes affections, Ia mille fois en la meſme entrepriſe, Preſte à parler, ma langue s’eſt repriſe, Et Dorilas n'a veu que par les yeux, Quelques éclairs de ce mal furieux.	Asse de plus me distiller en pleurs, De plus nourrir ces muettes douleurs, De plus cacher sous un voile de honte L'âpre tourment du feu qui me surmonte, Lasse de plus repaître ce Vautour, Qui sur mon cœur s'acharne nuit et jour, Il faut sortir du pouvoir de sa rage, Et de celui me sonder le courage, Qui m'a ravie en ses perfections, Qui seul preside à mes affections, Ia mille fois en la même entreprise, Preste à parler, ma langue s'est reprise, Et Doril n'a vu que par les yeux, Quelques éclairs de ce mal furieux.
O beau Berger!	Ô beau Berger!
ſeroit-il bien poſſible, Que ma langueur l’éprouuãt inſenſible?	serait-il bien possible, Que ma langueur l'éprouvante insensible?
Que ma priere vn refus endurant, Tu ſois meurtrier de qui va t'adorant?	Que ma prière un refus endurant, Tu sois meurtrier de qui va t'adorant?
La cruauté fuit vn cœur magnanime;	La cruauté fuit un cœur magnanime;
Mais, o bon Dieu!	Mais, ô bon Dieu!
le voicy que i’eſtime, De corps, de taille, & de marcher pareil, A ce Pasteur, mon vnique Soleil, Oüy le voicy, de qui la face aymée Semble m'auoir d’vn ſilence charmée.	le voici que j'estime, De corps, de taille, et de marcher pareil, À ce Pasteur, mon unique Soleil, Oui le voici, de qui la face aimée Semble m'avoir d'un silence charmée.
Las!	Las!
au beſoin l’aſſeurance me faut.	au besoin l'assurance me faut.
Mere d Amour ſuppléé à ce defaut, Pren la parole, ou inſpire ſon Ame De la douleur ſecrette qui m'enflâme.	Mère d Amour suppléé à ce défaut, Pren la parole, ou inspire son Âme De la douleur secrète qui m'enflamme.
Dorilas.	Dorilas.
Tu diſcourois ſeule ſur tes amours, Eſt-il pas vray?	Tu discourais seule sur tes amours, Est-il pas vrai?
Cidippe.	Cidipe.
Un ſemblable diſcours En l’air fondé ſentiroit ſa folie, P er ec qu'aueun ma tiperte ne lic.	Un semblable discours En l'air fondé sentirait sa folie, P e ç qu'aveun ma tiperte ne lic.
Dorilas.	Dorilas.
Ie voudrois bien le pouuoir dire ainſy,	Je voudrais bien le pouvoir dire ains,
Cydippe.	Chydipe.
Que toy des Dieux le principal ſoucy, Toy des Paſteurs la merueille & la gloire, Toy qui t'obtiens vne entiere victoiré, Toy renommé par la commune vois Le plus parfait de tous ceux de nos bois, Riche des biens que la fortune donne, Qu'vne verdeur de jeuneſſe enuironne.	Que toi des Dieux le principal souci, Toi des Pasteurs la merveille et la gloire, Toi qui t'obtiens une entière victoiré, Toi renommé par la commune vois Le plus parfait de tous ceux de nos bois, Riche des biens que la fortune donne, Qu'une verdeur de jeunesse environne.
Dorilas.	Dorilas.
Hola, c'eſt trop, tu me ferois honteux,	Holà, c'est trop, tu me ferais honteux,
Cydippe De vif eſprit, & de corps vigoureux, Propre à la luite, au flageol, à la dance, Qui les plus vieux égalles de prudence, Craindre Bergere, ou Nymphe d’entre-nous;	Cydippe De if esprit, et de corps vigoureux, Propre à la luite, au flageol, à la dance, Qui les plus vieux égalles de prudence, Craindre Bergère, ou Nymphe d'entre-nous;
Te repoſer en qualité d’eſpous?	Te reposer en qualité d'épous?
Ne s'eſtimamnmeureuje & pauſaneureuſe De t'inſtaller en ſa grace amoureuſe, Pardonne moy ſi franchement ie dy, Que ton mal vient de n'eſtre aſſeZ hardy.	Ne s'estimamnmeureuje et pausaneureuse De t'installer en sa grâce amoureuse, Pardonne moi si franchement un di, Que ton mal vient de n'être assez hardi.
Dorilas.	Dorilas.
L’amour fondé ſur la vertu demande Qu'vn ſainct res peci te guide & le commande	L'amour fondé sur la vertu demande Qu'un saint rés pecy te guide et le commande
Cydippe.	Chydipe.
L’amour honteux ne moiſſonne de fruits, Que les douleurs, la peine & les ennuis.	L'amour honteux ne moissonne de fruits, Que les douleurs, la peine et les ennuis.
Dorilas.	Dorilas.
En plus parler, n’irrite que ma playe.	En plus parler, n'irrite que ma plaie.
Cydippe.	Chydipe.
Te l’adoucir au contraire j’eſſaye,	Te l'adoucir au contraire j'essaie,
Dorilas.	Dorilas.
Adieu Bergere, on m’attend autre part,	Adieu Bergère, on m'attend autre part,
Cydippe.	Chydipe.
Lncure cu mor partinumucodet dit,	Lncure cv mór partinumcodet dit,
Dorilas.	Dorilas.
Que voulois-tu?	Que voulais-tu?
Cydippe.	Chydipe.
Scauoir ſi dauanture, Ie puis mener mes Troupeaux en pâture Auec les tiens,	Savoir si daventure, Je puis mener mes Troupeaux en pâture Avec les tiens,
Dorilas.	Dorilas.
Vourquoy non.	Vourquoi non.
ta deume M'honore trop de telle priuauté.	ta dème M'honore trop de telle privauté.
Cydippe.	Chydipe.
Il me ſuffit, Adieu, Pan te conſerue, Certain ſecret à toy ta ſe referue.	Il me suffit, Adieu, Pan te conserve, Certain secret à toi ta se referve.
Dorilas.	Dorilas.
Simple Nouice, on void à la couleur.	Simple Novice, on voit à la couleur.
Comme au diſcours où te tient la douleur, Nous pourſuyuons vne diuerſe proye Nous cheminons vne contraire voye, I’ay ton remede, & vn autre a le mien, Effects d’amour qu'impoſſibles ie tien.	Comme au discours où te tient la douleur, Nous poursuivons une diuerse proie Ne divers e proie voie, J'ai ton remède, et un autre a le mien, Effets d'amour qu'impossibles un tien.
ACTE II.	ACTE II.
PHEDIME, DORILAS, CY DIPPE, DEMOCLE, ALCEE.	PHÉDIME, DORILAS, CY DIPE, DEMOCLE, ALCE.
CENE I.	CÈNE I.
PHEDIME, DORILAS.	PHÉDIME, DORILAS.
24	24
Phedime.	Phédime.
Que les dons de l’aueugle Déeſſe JMal disperſez affligent ma vieilleſſe!	Que les dons de l'aveugle Déesse JMal dispersés affligent ma vieillesse!
Quelle injuſtice accompagne mon ſort,	Quelle injustice accompagne mon sort,
ALCLE.	ÀLCLE.
Plus que demy, ſur le ſueil de la mort, Tout recourbé ſous le faix des années A vn meſtier ingratement données, Pauure mestier que la miſere ſuit, Où deplorable!	Plus que demi, sur le sueil de la mort, Tout recourbé sous le fait des années A un métier ingratement données, Pauvre métier que la misère suit, Où déplorable!
où me voy-je reduit?	où me vois-je réduit?
Que doy-je faire?	Que dois-je faire?
à quel party me rendre?	à quel parti me rendre?
Et comme puis-je enuers toy me méprendre, Ma chere fille?	Et comme puis-je envers toi me méprendre, Ma chère fille?
ore que meure d’ans Ta beauté veut la faucille dedans.	ore que meure d'ans Ta beauté veut la faucille dedans.
Ores qu'on deuſt voir vne fleur ſi rare Se captiuer le cœur du plus auare.	Ores qu'on dût voir une fleur si rare Se captiver le cœur du plus avare.
Ores qu'on deuſt voir à foule venir Des pourſuiuans ma faueur préuenir, Faute de biens, plus que de preud’hommie, Plus que pour note aucune d’infamie, Toy ſans Espous, moy reſté ſans appuy, Cent fois le jour ie trépaſſe d’ennuy.	Ores qu'on dût voir à foule venir Des poursuivants ma faveur prévenir, Faute de biens, plus que de préud'hommie, Plus que pour note aucune d'infamie, Toi sans Épous, moi resté sans appui, Cent fois le jour ie trépasse d'ennui.
O ſiecle ingrat!	Ô siècle ingrat!
o maudite auarice!	ô maudite avarice!
Il n'eſt vertu qui chez vous ne tariſſe, A faute d’or (metal pernicieux) Ie me démets de mon plus precieux, Las!	Il n'est vertu qui chez vous ne tarisse, A faute d'or (metal pernicieux) Je me démets de mon plus précieux, Las!
ie reſigne és mains d’vn domeſtique, Trop inégal, mon esperance vnique.	Elle résigne ès mains d'un domestique, Trop inégal, mon espérance unique.
Ma chere Alcée a de mary promis,	Ma chère Alcée a de mari promis,
Un qu'expoſé hors du Tombeau ie mis, Un eſtranger, inconnu d’origine, Que preſerua la Clemence diuine, De bonnes mœurs, fidele au demeurant, Qui ce plaiſir à vſure me rend, Qui du trauail de la peſche ordinaire Son bien-faiteur ſuſtenté debonnaire, Un peu plus riche.	Un qu'exposé hors du Tombeau ie mis, Un étranger, inconnu d'origine, Que préserva la Clémence divine, De bonnes mœurs, fidèle au demeurant, Qui ce plaisir à usure me rend, Qui du travail de la pêche ordinaire Son bienfaiteur sustenté débonnaire, Un peu plus riche.
Ha!	Ha!
certes il ne faut Luy imputer, non le moindre defaut.	certes il ne faut Lui imputer, non le moindre défaut.
I'approuueroy plus que d’homme qui viue Telle alliance, & ſcrupuleux xnſume netrite Sur ce qu’il vient de parens incertains, La vertu ſeule ennoblit les humains, Qui la poſſede à droict de bourgeoiſie CheZ ceux d’Affrique, & d’Europe & d’Aſie, Mais elle pauure, vn plus pauure espouſer, C’eſt proprement leur miſere arrouſer, Qui peu à peu fatale prouignée, En comblera l’innocente lignée, Pourquoy les Dieux des bons prennent ſoucy?	J'approuverai plus que d'homme qui vive Telle alliance, et scrupuleux xnume nétrite Sur ce qu'il vient de parents incertains, La vertu seule ennoblit les humains, Qui la possède à droit de bourgeoisie Chez ceux d'Afrique, et d'Europe et d'Asie, Mais elle pauvre, Un plus pauvre épouser, C'est proprement leur misère arrouser, Qui peu à peu fatale prouignée, En comblera l'innocente lignée, Pourquoi les Dieux des bons prennent souci?
Hé:	Hé:
qui penſif me vient ſurprendre icy?	qui pensif me vient surprendre ici?
Un dont l’excés, l’excés de l’opulence Allegeroit la douleur qui m'elance.	Un dont l'excès, l'excès de l'opulence Allegerait la douleur qui m'élance.
Dorilas.	Dorilas.
Heureux vieillard, heureux parfaitément EZ fruits receus du vray contentement, Que te produit vne innocente vie, Tu me peux rendre à la mienne rauie, Du moins tirer des griffes de la mort Un affligé qui s'offre ton ſupport, Qui te ſoumet, qui de grét abandonne Et ſa fortune, & ſa propre perſonne, Si tu daignois luy accorder vn point De fon fueile, ou tu ne penſe point.	Heureux vieillard, heureux parfaitément EZ fruits reçus du vrai contentement, Que te produit une innocente vie, Tu me peux rendre à la mienne ravie, Du moins tirer des griffes de la mort Un affligé qui s'offre ton support, Qui te soumet, qui de grêt abandonne Et sa fortune, et sa propre personne, Si tu daignais Seigneur accorder un point De son fueile, ou tu ne pense point.
Phedime.	Phédime.
Moy te pouuoir ſeruir d’aucune choſe, Qu'imaginer temeraire ie l’oſe?	Moi te pouvoir servir d'aucune chose, Qu'imaginer téméraire quelque l'ose?
Iamais, jamais, retranche ce diſcours, Un Dorilas emprunter mon ſecours?	Jamais, jamais, retranche ce discours, Un Dorilas emprunter mon secours?
Et l’Ocean, qui d’vn ruiſſeau mendie?	Et l'Océan, qui d' ruisseau mendie?
L’Orgueil accreu de ſon onde hardie, Le Cygne veut retenir du Corbeau Son chant Prophete, & ſon plumage beau, Lors qu'vn Paſteur, des Arcades la gloire, Uint ſupplier ma pauureté notoire.	L'Orgueil accreu de son onde hardie, Le Cygne veut retenir du Corbeau Son chant Prophète, et son plumage beau, Lors qu'un Pasteur, des Arcades la gloire, Uint supplier ma pauvreté notoire.
Dorilas.	Dorilas.
Ne te dy pauure, vn treſor poſſedant De prix tous ceux de la Terre excedant, Treſor qui fait idolatrer nos Ames, Qui les emplit de merueille & de flâmes, Treſor auquel Monarque, non Berger, Ie ne feindray ma Couronne échanger, Treſor qui doit de Gardien m'elire, Et ſuperflu ne te fait plus que nuire.	Ne te dis pauvre, un trésor possédant De prix tous ceux de la Terre excédant, Trésor qui fait idolâtrer nos Ames, Qui les emplit de merveille et de flammes, Trésor auquel Monarque, non Berger, Je ne feindrai ma Couronne échanger, Trésor qui doit de Gardien m'élire, Et superflu ne te fait plus que nuire.
Phédime.	Phédime.
Tout mon auoir, & mon meuble plus cher Ce ſont des rets commodes à peſcher, Leſquels veux-tu?	Tout mon avoir, et mon meuble plus cher Ce sont des rets commodes à pêcher, Lesquels veux-tu?
