A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
Enfin cette viſite où j’eſperois ſi peu, Plus qu’on ne pouvoit croire, a ſervy voſtre feu.	Enfin cette visite où j'espérais si peu, Plus qu'on ne pouvait croire, a servi votre feu.
Cette Ignés vous relaſche;	Cette Ignès vous relâche;
& par voſtre autre affaire L’eclat de ſon ſecret devenu neceſſaire, Nous en avons nous deux voſtre pere informé:	et par votre autre affaire L'éclat de son secret devenu nécessaire, Nous en avons nous deux votre père informé:
Un billet de ſa femme a le tout confirmé, Et pouſſant plus avant encore noſtre pointe, Quelque peu de fortune à noſtre adreſſe jointe, Aux intereſts d’Albert, de Polidore apres, Nous avons ajuſté ſi bien les intereſts, Si doucement à luy déplié ces miſteres, Pour n’effaroucher pas d’abord trop les affaires, Enfin, pour dire tout, mené ſi prudemment Son eſprit pas à pas à l’accommodement, Qu’autant que voſtre pere il monſtre de tendreſſe A confirmer les nœuds qui font voſtre allegreſſe.	Un billet de sa femme a le tout confirmé, Et poussant plus avant encore notre pointe, Quelque peu de fortune à notre adresse jointe, Aux intérêts d'Albert, de Polidè rés, Nous avons ajusté si bien les intérêts, Si doucement à lui déplié ces misères, Pour n'effaroucher pas d'abord trop les affaires, Enfin, pour dire tout, mené si prudemment Son esprit pas à pas à l'accommodement, Qu'autant que votre père il montre de tendresse A confirmer les nœuds qui font vôtre allégresse.
ASCAGNE.	ÀSCAGNE.
Ha!	Ha!
Froſine, la joye où vous m’acheminez !	Frosine, la joie où vous m'acheminez !
Et que ne doiſ-je point à vos ſoins fortunez !	Et que ne dois-je point à vos soins fortunés !
ROSINE.	ROSINE.
Au reſte, le bon homme eſt en humeur de rire, Et pour ſon fils encor nous deffend de rien dire.	Au reste, le bon homme est en humeur de rire, Et pour son fils encor nous défend de rien dire.
SCENE V.	SCÈNE V.
ASCAGNE, FROSINE, POLIDORE.	ÀSCAGNE, FROSINE, POLIDORE.
POLIDORE.	POLIDORE.
A Pprochez vous, ma fille, un tel nom m’eſt per11 mis;	À Pprochez -vous, ma fille, un tel nom m'est per1 mis;
Et j’ay ſceu le ſecret que cachoient ces habits.	Et j'ai su le secret que cachaient ces habits.
Vous avez fait un trait, qui dans ſa hardieſſe Fait briller tant d’eſprit & tant de gentilleſſe, Que je vous en excuſe, & tiens mon fils heureux, Quand il ſçaura l’objet de ſes ſoins amoureux.	Vous avez fait un trait, qui dans sa hardiesse Fait briller tant d'esprit et tant de gentillesse, Que je vous en excuse, et tiens mon fils heureux, Quand il saura l'objet de ses soins amoureux.
vous vaiez tout uirmonde;	vous vaisez tout irmonde;
et c’eſt moy qui l’aſſure.	et c'est moi qui l'assure.
Mais le voicy;	Mais le voici;
prenons plaiſir de l’avanture.	prenons plaisir de l'aventure.
Allez faire venir tous vos gens promptement.	Allez faire venir tous vos gens promptement.
ASCAGNE.	ÀSCAGNE.
Vous obeïr ſera mon premier compliment.	Vous obéir sera mon premier compliment.
SCENE VI.	SCÈNE VI.
MASCARILLE, POLIDORE, VALERE.	MASCARILLE, POLIDORE, VALÈRE.
MASCARILLE.	MASCARILLE.
Es diſgraces ſouvent ſont du Ciel revelées:	Es disgrâces souvent sont du Ciel revelées:
J’ay ſongé cette nuit de perles défilées, Et d’œufs caſſez, Monſieur, un tel ſonge m’abbat.	J'ai songé cette nuit de perles défilées, Et d'œufs cassez, Monsieur, un tel songe m'abat.
TALERE.	TALÈRE.
elilen de poltlon:	elilen de poltlon:
POLIDORE.	POLIDORE.
Valere, il s’apreſte un combat, Où toute ta valeur te ſera neceſſaire.	Valère, il s'apprête un combat, Où toute ta valeur te sera nécessaire.
Tu vas avoir en teſte un puiſſant adverſaire.	Tu vas avoir en tête un puissant adversaire.
MASCARILLE.	MASCARILLE.
Et perſonne, Monſieur, qui ſe veuille bouger Pour retenir des gens qui ſe vont égorger:	Et personne, Monsieur, qui se veuille bouger Pour retenir des gens qui se vont égorger:
Pour moy je le veux bien;	Pour moi je le veux bien;
mais, au moins, s’il arrive Qu’un funeſte accident de voſtre fils vous prive, Ne m’en acculez point.	mais, au moins, s'il arrive Qu'un funeste accident de votre fils vous prive, Ne m'en acculez point.
POLIDORE.	POLIDORE.
Non, non, en cet endroit	Non, non, en cet endroit
DI IIeT M.	DI IIeT M.
Pere dénaturé!	Père dénaturé!
VALERE.	VALÈRE.
Ce ſentiment, mon pere, Eſt d’un homme de cœur;	Ce sentiment, mon père, Est d'un homme de cœur;
& je vous en revere.	et je vous en révère.
J’ay deu vous offencer, & je ſuis criminel D’avoir fait tout cecy ſans l’aveu paternel;	J'ai dev vous offenser, et je suis criminel D'avoir fait tout ceci sans l'aveu paternel;
Mais, à quelque dépit que ma faute vous porte, La llature tousjours le Montte la pius lorte;	Mais, à quelque dépit que ma faute vous porte, La lature toujours le Montte la pius lorte;
Et voſtre honneur fait bien, quand il ne veut pas voir Que le tranſport d’Eraſte ait dequoy m’émouvoir.	Et votre honneur fait bien, quand il ne veut pas voir Que le transport d'Éraste ait dequoy m'émouvoir.
OLIDORE.	OLIDORE.
On me faiſoit tantoſt redouter ſa menace;	On me faisait tantôt redouter sa menace;
Mais les choſes depuis ont bien changé de face;	Mais les choses depuis ont bien changé de face;
Htynanie le pouvon fun ,au un ememj piud fort Tu vas eſtre attaqué.	Htynanie le pouvon fun ,au un ememj ud fort Tu vas être attaqué.
MASCARILLE.	MASCARILLE.
Point de moyen d’accord?	Point de moyen d'accord?
VALERE.	VALÈRE.
Moy!	Moi!
le fuir!	le fuir!
Dieu m’en garde.	Dieu m'en garde.
Et qui donc pourroit-ce eſtre?	Et qui donc pourrait-ce être?
Aicague.	Aicague.
POLIDORE.	POLIDORE.
VALERE.	VALÈRE.
Aſcagne?	Ascagne?
POLIDORE.	POLIDORE.
Oui;	Oui;
tu le vas voir paroiſtre.	tu le vas voir paraître.
VALERE.	VALÈRE.
Luy, qui de me ſervir m’avoit donné fa foy!	Lui, qui de me servir m'avait donné fa foi!
Oui, c’eſt luy qui pretend avoir affaire à toy;	Oui, c'est lui qui prétend avoir affaire à toi;
Et qui veut, dans le champ ou l’honneur vous appelle, Qu’un combat ſeul à ſeul vuide voſtre querelle.	Et qui veut, dans le champ ou l'honneur vous appelle, Qu'un combat seul à seul vide votre querelle.
MASCARILLE.	MASCARILLE.
C’eſt un brave homme;	C'est un brave homme;
Il ſçait que les cœurs geneleua Ne mettent point les gens en compromis pour eux.	Il sais que les cœurs geneleua Ne mettent point les gens en compromis pour eux.
LIDORE.	LIDORE.
Enfin d’une impoſture ils te rendent coupable, Dont le reſſentiment m’a paru raiſonnable;	Enfin d'une imposture ils te rendent coupable, Dont le ressentiment m'a paru raisonnable;
Si bien qu’Albert & moy ſommes tombez d’acord, Que tu ſatisferois Aſcagne ſur ce tort.	Si bien qu'Albert et moi sommes tombez d'acord, Que tu satisferais Ascagne sur ce tort.
Mais aua yeux d’un enaeun, d lans nulles remiſes, Dans les formalitez en pareil cas requiles.	Mais ava yeux d'un enaeun, d ans nulles remises, Dans les formalités en pareil cas requilles.
ALERE.	ALÈRE.
Et Lucile, mon pere, a d’un cœur endurcy !	Et Lucile, mon père, a d'un cœur endurci !
OLTDORE.	OLTDORE.
Lucile eſpouſe Eraſte, & te condamne auſſi :	Lucile épouse Eraste, et te condamne aussi :
Et, pour convaincre mieux tes diſcours d’injuſtice, Veut qu’à tes propres yeux cét hymen s’accompliſſe.	Et, pour convaincre mieux tes discours d'injustice, Veut qu'à tes propres yeux cet hymen s'accomplisse.
ALERE.	ALÈRE.
Ha!	Ha!
c’eſt une impudence à me mettre en fureur :	c'est une impudence à me mettre en fureur :
Elle a donc perdu ſens, foy, conſcience, honneur?	Elle a donc perdu sens, foi, conscience, honneur?
SCENE VII.	SCÈNE VII.
MASCARILLE, LUCILE, ERASTE, POLIDORE, ALBERT, VALERE.	MASCARILLE, LUCILE, ERASTE, POLIDORE, ALBERT, VALÈRE.
H ALBERT.	H ALBERT.
E' bien?	E' bien?
les combattans?	les combattants?
on ameine le noſtre.	on âmeine le nôtre.
Avez-vous diſpoſé le courage du voſtre?	Avez-vous disposé le courage du vôtre?
VALERE.	VALÈRE.
Oui, oui;	Oui, oui;
me voila preſt, puiſqu’on m’y veut forcer;	me voilà prêt, puisqu'on m'y veut forcer;
Et, ſi j’ay pû trouver ſujet de balancer, Un reſte de reſpect en pouvoit eſtre cauſe, Et non pas la valeur du bras que l’on m’oppoſe.	Et, si j'ai pu trouver sujet de balancer, Un reste de respect en pouvait être cause, Et non pas la valeur du bras que l'on m'oppose.
Mais c’eſt trop me pouſſer, ce reſpect eſt à bout;	Mais c'est trop me pousser, ce respect est à bout;
A toute extremité mon eſprit ſe reſout, Et l’on fait voir un trait de perfidie étrange, Dont il faut hautement que mon amour ſe vange.	À toute extrémité mon esprit se résout, Et l'on fait voir un trait de perfidie étrange, Dont il faut hautement que mon amour se venge.
Non pas que cét amour pretende encore à vous;	Non pas que cet amour prétende encore à vous;
Tout ſon feu ſe reſout en ardeur de courroux, Et quand j’auray rendu voſtre honte publique, Voſtre coupable hymen n’aura rien qui me pique.	Tout son feu se résout en ardeur de courroux, Et quand j'aurai rendu votre honte publique, Votre coupable hymen n'aura rien qui me pique.
Allez, ce procedé, Lucile, eſt odieux:	Allez, ce procédé, Lucile, est odieux:
at peme en pun-je crone au Iappoit de mes yeux;	at peme en pun-je crone au Iappoit de mes yeux;
C’eſt de toute pudeur ſe montrer ennemie:	C'est de toute pudeur se montrer ennemie:
Et vous devriez mourir d’une telle infamie.	Et vous devriez mourir d'une telle infamie.
LUCILE.	LUCILE.
Un ſemblable diſcours me pourroit affliger, Si je fuvoio omihuiquilmenigaula vanger.	Un semblable discours me pourrait affliger, Si je fuvoio omihuiquilmenigaula venger.
voity veun nlcagne, fradiaravantage De vous faire changer bien viſte de langage, Et ſans beaucoup d’effort.	voiti veun nlcagne, fradiaravantage De vous faire changer bien vite de langage, Et sans beaucoup d'effort.
SCENE VIII.	SCÈNE VIII.
Milb oiRinHA) HOGIHHS ARASTE, ALBERT, VALERE, GROS-RENÉ, MARINETTE, ASCAGNE, FROSINE, POLIDORE.	Milb oiRinHA) HOGIHS ARASTE, ALBERT, VALÈRE, GROS-RENE, MARINETTE, ASCAGNE, FROSINE, POLIDORE.
VALERE.	VALÈRE.
IL ne le fera pas, Quand il joindroit au ſien encor vingt autres bras.	IL ne le fera pas, Quand il joindrait au sien encor vingt autres bras.
Je le plains de deffendre une ſœur criminelle:	Je le plains dé fendre une sœur criminelle:
Mats, Mais, puiſque ſon erreur me veut faire querelle, Nous le lalisichonis, & vous, mon brave, auſſi.	Mats, Mais, puisque son erreur me veut faire querelle, Nous le lalisichonis, et vous, mon brave, aussi.
ERASTE.	ERASTE.
Je prenois intereſt tantoſt à tout cecy;	Je prenais intérêt tantôt à tout ceci;
Mais enfin, comme Aſcagne a pris ſur luy l’affaire, Je ne veux plus en prendre, & je le laiſſe faire.	Mais enfin, comme Ascagne a pris sur lui l'affaire, Je ne veux plus en prendre, et je le laisse faire.
ALERE.	ALÈRE.
C’eſt bien fait.	C'est bien fait.
la pruuenee eſt touojouis de ſaiſon :	la prévenue est toujouis de saison :
Mais.	Mais.
ERASTE.	ERASTE.
Il ſçaura pour tous vous mettre à la raiſon.	Il saura pour tous vous mettre à la raison.
Luy?	Lui?
VALERE.	VALÈRE.
TODTDO RE.	TODTDO RE.
Ne t’y trompe pas:	Ne t'y trompe pas:
tu ne ſçais pas encore Quel eſtrange garçon eſt Aſcagne.	tu ne sais pas encore Quel étrange garçon est Ascagne.
ALBERT.	ALBERT.
Il l’ignore:	Il l'ignore:
Mais il pourra dans peu le luy faire ſçavoir.	Mais il pourra dans peu le te faire savoir.
ALERE.	ALÈRE.
Sus donc que maintenant il me le faſſe voir.	Sus donc que maintenant il me le fasse voir.
MARINEIIE.	MARINEIIE.
Aux yeux de tous?	Aux yeux de tous?
GROSRENE’.	GROSRENE.
Cela ne ſeroit pas honneſte.	Cela ne serait pas honnête.
VALERE.	VALÈRE.
Se moque-t-on de moy?	Se moque-t-on de moi?
je caſſeray la teſte A quelqu’un des rieurs.	je casserai la tête À quelqu'un des rieurs.
Enfin, voyons l’effet.	Enfin, voyons l'effet.
ASCAGNE.	ÀSCAGNE.
Non, non, je ne ſuis pas ſi meſchant qu’on me fait:	Non, non, je ne suis pas si méchant qu'on me fait:
Et, dans cette avanture où chacun m’intereſſe, Vous allez voir pluſtoſt éclater ma foibleſſe, Connoiſtre que le Ciel qui diſpoſe de nous Ne me fit pas un cœur pour tenir contre vous, Et qu’il vous reſervoit pour victoire facile, De finir le deſtin du frere de Lucile.	Et, dans cette aventure où chacun m'intéresse, Vous allez voir plutôt éclater ma faiblesse, Connaître que le Ciel qui dispose de nous Ne me fit pas un cœur pour tenir contre vous, Et qu'il vous réservait pour victoire facile, De finir le destin du frère de Lucile.
Ou, Oui, bien loin de vanter le pouvoir de mon bras, Aſcagne va par vous recevoir le trépas:	Ou, Oui, bien loin de vanter le pouvoir de mon bras, Ascagne va par vous recevoir le trépas:
Mais il veut bien mourir, ſi ſa mort neceſſaire Peut avoir maintenant dequoy vous ſatisfaire, En vous donnant pour femme en preſence de tous Celle qui juſtement ne peut eſtre qu’à vous.	Mais il veut bien mourir, si sa mort nécessaire Peut avoir maintenant dequoy vous satisfaire, En vous donnant pour femme en présence de tous Celle qui justement ne peut être qu'à vous.
ALERE.	ALÈRE.
Boil, quania tonte Mtenc apleslapenlale, Et les traits effrontez.	Boilà, quania tonte Mtenc apleslapenlale, Et les traits effrontés.
ASCAGNE.	ÀSCAGNE.
Ah!	Ah!
ſouffrez que je die, Valere, que le cœur qui vous eſt engagé, D’aucun crime envers vous ne peut-eſtre chargé:	souffrez que je die, Valère, que le cœur qui vous est engagé, D'aucun crime envers vous ne peut-être chargé:
Sa flame eſt tousjours pure, & ſa conſtance extréme;	Sa flamme est toujours pure, et sa constance extrême;
Et j’en prens à temoin voſtre pere luy-meſme.	Et j'en prends à témoin rendre père lui-même.
OLIDORE.	OLIDORE.
Oui, mon fils, c’eſt aſſez rire de ta fureur, Et je voy qu’il eſt temps de te tirer d’erreur.	Oui, mon fils, c'est assez rire de ta fureur, Et je vois qu'il est temps de te tirer d'erreur.
Celle à qui par ſerment ton ame eſt attachée, Sous l’habit que tu vois à tes yeux eſt cachée;	Celle à qui par serment ton âme est attachée, Sous l'habit que tu vois à tes yeux est cachée;
Un intereſt de bien dês ſes plus jeunes ans Fit ce déguiſement qui trompe tant de gens;	Un intérêt de bien dès ses plus jeunes ans Fit ce déguisement qui trompe tant de gens;
Et depuis peu l’amour en a ſçu faire un autre, Qui t’abuſa joignant leur famille à la noſtre.	Et depuis peu l'amour en a suive faire un autre, Qui t'abusa joignant leur famille à la nôtre.
Ne va point regarder à tout le monde aux yeux;	Ne va point regarder à tout le monde aux yeux;
Je te fais maintenant un diſcours ſerieux:	Je te fais maintenant un discours sérieux:
Oui, c’eſt elle, en un mot, dont l’adreſſe ſubtile La nuit receut ta foy ſous le nom de Lucile, De qui parce ſenon qu’on ne complenoit pas, A ſemé parmy vous un ſi grand embarras.	Oui, c'est elle, en un mot, dont l'adresse subtile La nuit reçut ta foi sous le nom de Lucile, De qui parce senon qu'on ne complenait pas, A semé parmi vous un si grand embarras.
Mais puis qu’Aſcagne icy fait place à Dorothée, Il faut voir de vos feux toute impoſture oſtée, Et qu’un nœud plus ſacré donne force au premier.	Mais puis qu'Ascagne ici fait place à Dorothée, Il faut voir de vos feux toute imposture ôtée, Et qu'un nœud plus sacré donne force au premier.
ALBERT.	ALBERT.
Et c’eſt là juſtement ce combat ſingulier, Qui devoit envers nous reparer voſtre offence, nt pour qui ſes Euits n'onit pomt iait de deffence.	Et c'est là justement ce combat singulier, Qui devait envers nous réparer votre offense, nôtre pour qui ses Éuits n'onit pompt jait dé sensé.
OLIDORE.	OLIDORE.
Un tel évenement rend tes eſprits confus;	Un tel événement rend tes esprits confus;
Mais en vain tu voudrois balancer là-deſſus.	Mais en vain tu voudrais balancer là-dessus.
VALERE.	VALÈRE.
Non, non;	Non, non;
je ne veux pas ſonger à m’en deffendre;	Je ne veux pas songer à m'en défendre;
Et, ſi cette avanture a lieu de me ſurprendre, La ſurpriſe me flate & je me ſens ſaiſir De merveille à la fois, d’amour, & de plalllr, Se peut-il que ces yeux?	Et, si cette aventure a lieu de me surprendre, La surprise me flatte et je me sens saisir De merveille à la fois, d'amour, et de plalllr, Se peut-il que ces yeux?
ALBERT.	ALBERT.
Cet habit, cher Valere, ooumlo mar les uncouio que vous luy pourriés faire.	Cet habit, cher Valère, ououmlo mar les uncouio que vous Seigneur pourriez faire.
Allons luy faire en prendre un autre;	Allons lui faire en prendre un autre;
& cependant vous ſçauiez le detail ue tout cet icident.	et cependant vous saviez le détail ue tout cet icident.
VALERE.	VALÈRE.
Vous, Lucile, pardon, ſi mon ame abuſée.	Vous, Lucile, pardon, si mon âme abusée.
LUCILE.	LUCILE.
L’oubly de cette injure eſt une choſe aiſée.	L'oubli de cette injure est une chose aisée.
ALBERT.	ALBERT.
Allons, ce compliment ſe fera bien chez nous, Et nous aurons loiſir de nous en faire tous.	Allons, ce compliment se fera bien chez nous, Et nous aurons loisir de nous en faire tous.
ERASTE.	ERASTE.
Qu’il reſte encor icy des ſujets de carnage:	Qu'il reste encor ici des sujets de carnage:
Voila bien à tous deux noſtre amour couronné, Mais de ſon Maſcarille, & de mon Gros-René, Par qui doit Marinette eſtre icy poſſedée?	Voilà bien à tous deux notre amour couronné, Mais de son Mascarille, et de mon Gros-René, Par qui doit Marinette être ici possédée?
