A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
Ie n'oſe.	Je n'ose.
RODOMONT.	RODOMONT.
ISABELLE.	ISABELLE.
Penfez-vous qu'a moy-meſme cruelle Ie vueille receuoir vne atteinte mortelle?	Penfez-vous qu'a moi-même cruelle Je veuille recevoir une atteinte mortelle?
RODOMONT.	RODOMONT.
De faict, elle a raiſon, ſus donctenez-vous bien Ie m'en vay vous frapper;	De fait, elle a raison, fût donctenez-vous bien Je m'en vais vous frapper;
ie crains.	Ne crains.
ISABELLE.	ISABELLE.
Ne craignez rien, Il pouf PouſſeZ ſurma parole:	Ne craignez rien, Il pouf Poussés surma parole:
O!	Ô!
Dieu que ie reclame, te.	Dieu que ici réclame, te.
M’ayant ſauué l’honneur, ſauuez außi mon ame.	M'ayant sauvé l'honneur, sauvez aussi mon âme.
Et toy qui m'as contrainte à rechercher la mort, Afin de preuenir ton impudique effort, Souuiens-toy, ſi tu peux, qu'Iſabelle eſt rauie Elle De tromper ta luxure aux deſpens de fa vie.	Et toi qui m'as contrainte à rechercher la mort, Afin de prévenir ton impudique effort, Souviens-toi, si tu peux, qu'Isabelle est ravie Elle De tromper ta luxure aux dépens de fa vie.
RODOMONT.	RODOMONT.
Ie penſe qu'elle eſt morte, elle eſt morte en effait, Imprudent qu'ay-je crenrercumte tuay jefait?	Je pense qu'elle est morte, elle est morte en effait, Imprudent qu'ai-je crenrercumte tuai jefait?
Auec tous mes plaiſirs i'ay ma gloire perduë;	Avec tous mes plaisirs j'ai ma gloire perdue;
O!	Ô!
ma credulité que tu m'es cher venduë;	ma crédulité que tu m'es cher vendue;
O!	Ô!
mon bras innocent quel crime as-tucommis?	mon bras innocent quel crime as-tucommis?
Et toy coulpable Ciel pourquoy l’as-tu permis?	Et toi coulpable Ciel pourquoi l'as-tu permis?
Si ialoux des autels que la race mortelle Euſt ſans doute eſleuez aux beautez d’Iſabelle, Tu voulois par la mort la retirer à toy Que ne te ſeruois-tu d’vn autre que de moy?	Si jaloux des autels que la race mortelle Eut sans doute élevez aux beautés d'Isabelle, Tu voulais par la mort la retirer à toi Que ne te servais-tu d'un autre que de moi?
Mais Ciel, mon ennemy, ie ne ſuis plus en peine D’apprendre le ſujet d’où procede tahaine, Tu ne ſçaurois encor t'empeſcher de hair Les nepueux de Nembroth qui penſa t’enuahir:	Mais Ciel, mon ennemi, je ne suis plus en peine D'apprendre le sujet d'où procède tahaine, Tu ne saurais encor t'empêcher de haïr Les neveux de Nembrodh qui pensa t'envahir:
Mais dans le ſouuenir de cette illuſtre atteinte S’ils réueillent ta haine ils réueillent ta crainte, De moy qui ne ſuis pas ny moins fort, ny moins fier, Ny moins entreprenant que fut mondeuancier, Ie veux renouueller cette guerre ancienne, Du faiſte d’vne tour plus haute que la ſienne, Que vingts mille artiſans employez nuict & iour Me dreſſeront bien-toſt, par force ou par amour, Le haut m’eſleuera dans la voûte Eſtoillée, Le bas me ſeruira de vaſte Mauſolée A mettre en vn Cercueil deux objets de pitié Dont i’ayrompu la trame & non pas l’amitié;	Mais dans le souvenir de cette illustre atteinte S'ils réveillent ta haine ils réueillent ta crainte, De moi qui ne suis pas ni moins fort, ni moins fier, Ni moins entreprenant que fut mondeuancier, Je veux renouveler cette guerre ancienne, Du faîte d'une tour plus haute que la sienne, Que vingts mille artisans employez nuit et jour Me dresseront bientôt, par force ou par amour, Le haut m'esleuera dans la voûte Estoillée, Le bas te servira de vaste Mausolée A mettre en Un Cercueil deux objets de pitié Dont aguayrompu les trame et non pas lamitié;
Ainſi chere beauté i’appaiſeray tes manes Qui s'offencent encor de mes baiſers prophanes, Ainſi quelques deffauts que Doralice ait eus, Le ſacré ſouuenir de tes rares vertus, Ton eſprit, ta conſtance, & ta mort honorable, Me rendront ton beau ſexe à iamais adorable.	Ainsi chère beauté j'apaiserai tes mânes Qui s'offensent encor de mes baisers prophanes, Ainsi quelques défauts que Doralice ait eus, Le sacré souvenir de tes rares vertus, Ton esprit, ta constance, et ta mort honorable, Me rendront ton beau sexe à jamais adorable.
Dieu!	Dieu!
que cette aduanture & mon reſſentiment Ont bien-toſt dißipé cet eſtourdiſſement, Qui troublant ma raiſon par mon yurongnerie M'a laißé conſentir à cette barbarie:	que cette aventure et mon ressentiment Ont bientôt dissipé cet étourdissement, Qui troublant ma raison par mon yurongnerie M'a laisse consentir à cette barbarie:
O!	Ô!
maudite liqueur qui coules du raiſin, A bon droit deffenduë au peuple Sarraſin, C'eſt par toy que i’ay creu, partoy i’ay fait le reſte, C’eſt toy qui m'as ſurpris, c’eſt toy que le deteſte:	maudite liqueur qui coules du raisin, À bon droit défendue au peuple Sarrasin, C'est par toi que j'ai cru, partoi j'ai fait le reste, C'est toi qui m'as surpris, c'est toi que le déteste:
Mais portons dans la Tente auprés de ſon Amant Ce beau corps qui tout mort eſt encore charmant.	Mais portons dans la Tente auprès de son Amant Ce beau corps qui tout mort est encore charmant.
SCENNE IIE ROLAND, LES PASTEVRS.	SCENNE IIE ROLAND, LES PASTEURS.
MMa TLORAN I, I’aitcur.	MMa TLORAN I, J'aitcur.
OVR moyie ne fuy plus, & quoy qu'il m'en aduienne, Ie feraycet eſſay de ma force à la ſienne,	OUR moyie ne fuis plus, et quoi qu'il m'en advienne, Je feraicet essai de ma force à la sienne,
RAYMONT, deuxieſme Paſteur.	RAYMONT, deuxième Pasteur.
Florant tu te perdras, croy moy fay comme nous.	Florant tu te perdras, crois -moi fay comme nous.
FLORANT.	FLORANT.
Non, dites mal de moy ſi de ces deux cailloux Ie n'arreſte tout court ſa mortelle pourſuitte,	Non, dites mal de moi si de ces deux cailloux Je n'arrête tout court sa mortelle poursuite,
ARDILLAN, troiſieſme Paſteur.	ARDILAN, troisième Pasteur.
Et uuity que tement, fauuons nous à la fuitte.	Et veuiti que tement, sauvons nous à la fuite.
ROLAND, ſuruenant.	ROLAND, survenant.
Quey oututi;	Quei oututi;
uomndonidinue mn uuon uriendul Tu me frappes encore.	Tuomndonidinue mn uon uriendul Tu me frappes encore.
FLORANT.	FLORANT.
O Dieu ie ſuis perdu.	Ô Dieu tu suis perdu.
ROLAND, le iettant par deſſus la montagne.	ROLAND, le jetant par -dessus la montagne.
Vadans la region d’où ſortent les tonnerres Apprendre à tes pareils à me ietter des pierres, A force de chercher, à forcé de courir, I'en attraperaytant, i'en feray tant mourir, Que Medor à la fin ſe treuuera du nombre:	Vadans la région d'où sortent les tonnerres Apprendre à tes pareils à me jeter des pierres, À force de chercher, à forcé de courir, J'en attraperaitant, j'en ferai tant mourir, Que Médor à la fin se trouvera du nombre:
Mais de l’humide ſein de cette grotte ſombre Sort vn Monſtre emplumé, qui d’vn pas chancellant meil Vient encore éprouuer la force de Roland!	Mais de l'humide sein de cette grotte sombre Sort un Maître emplumé, qui d'un pas chancelant me Vient encore éprouver la force de Roland!
it tient à bras ouuerts, allons à luy de meſme, Sus Afoſtre embraſſe-moy, Dieu ſa force eſt extréme!	Ait tient à bras ouverts, allons à lui de même, Sus Afotre embrasse-moi, Dieu sa force est extrême!
I’aybeau me trauailler, il ne s’ébranſle pas, Si faut-il neantmoins que ie le iette à bas, Sous mes propres efforts moy-meſme ie ſuccombe, Ie me ſens deffaillir, ie chancelle, ie tombe.	J'aibeau me travailler, il ne s'ébranle pas, Si faut-il néanmoins que sans le jette à bas, Sous mes propres efforts moi-même ie succombe, Je me sens défaillir, je chancelle, je tombe.
7 2 ENE DERNIERE.	7 2 ENE DERNIÈRE.
ASTOLPHE, ROLAND.	ASTOLPHE, ROLAND.
ASTOLPHE.	ASTOLPHÉ.
Aiſſe ton Hypogriphe à ce roc attaché, Et va de ton parent, ſous ces arbres couché, Guerir la paßion & la fureur extréme, Suiuant l’ordre du Ciel, receu dans le Ciel meſme:	Aisse ton Hypogriphe à ce roc attaché, Et va de ton parent, sous ces arbres couché, Guérir la passion et la fureur extrême, Suivant l'ordre du Ciel, reçu dans le Ciel même:
Dieu!	Dieu!
qu’il eſt bien changé de ce que ie l’ay veu, Quand de force & d’eſprit égallement pourueu Il eſtoit des François le Neſtor & l’Achille;	qu'il est bien changé de ce que femme l'ai vu, Quand de force et d'esprit également pourvu Il était des Français le Nestor et l'Achille;
Mais ce raiſonnement à ſon mal inutille Ne doit pas differer les effets plus qu’hümains Du celeſte preſent que ie tiens en mes mains, Rend luy donc promptement, cependant qu’il repoſe, Sa premiere raiſon dans ce criſtal encloſé, De peur que le Sommeil qui l’arreſte en ce lieu, Et qui pour ſatisfaire aumandement de Dieu, A pris pour le combatre vne viſible forme, Auec ces froids pauots toy-meſme ne t'endorme;	Mais ce raisonnement à son mal inutille Ne doit pas différer les effets plus qu'huimains Du celeste présent que pr tiens en mes mains, Rend était donc promptement, cependant qu'il repose, Sa première raison dans ce cristal osé, De peur que le Sommeil qui l'arrête en ce lieu, Et qui pour satisfaire aumandement de Dieu, A pris pour le combatre avoir visible forme, Au ces froids pauds toiume ne t'endorme;
Suiuant l’ordre ſacré par l’Apoſtre preſcript Il luy faut par l’oreille entonner ſon eſprit;	Suivant l'ordre sacré par l'Apôtre prescript Il lui faut par l'oreille entonner son esprit;
C’eſt fait, l’Ampoule eſt vuide, & bien-toſt, ie m'aſſure, On verra les effets d’vne ſi belle cure:	C'est fait, l'Ampoule est vide, et bientôt, Seigneur m'assure, On verra les effets d'une si belle cure:
Mais du bruit de ton Cor écartant le Sommeil, De ce prochain buiſſon obſerue ſon réueil.	Mais du bruit de ton Cor écartant le Sommeil, De ce prochain buisson observe son réueil.
ROLAND.	ROLAND.
D'où vient que mon eſprit n’a plus d’inquietude?	D'où vient que mon esprit n'a plus d'inquiétude?
Et d’où vient que moncorps a tant de laßitude?	Et d'où vient que moncorps a tant de lassitude?
Ay-je tant fait d’efforts, ay-je tant trauaillé?	Ai-je tant fait d'efforts, ai-je tant travaillé?
D'où procede ce ſang dont ie ſuis tout ſoüillé?	D'où procède ce sang dont je suis tout souillé?
Sur tout par quel moyen, ou ſurpriſe de charmes, Auec mon ſouuenir, ay-je perdu mes armes?	Sur tout par quel moyen, ou surprise de charmes, Avec mon souvenir, ai-je perdu mes armes?
Quel homme, ou quel demon, apres m'auoir oſté Le fer qui nuict & iour eſtoit à mon coſté, M’a donné ce baſton par vn indigne échange?	Quel homme, ou quel démon, après m'avoir ôté Le fer qui nuit et jour était à mon côté, M'a donné ce bâton par un indigne échange?
O!	Ô!
perte ineſtimable, ô!	perte inestimable, ô!
pronoſtic eſtrange Des eſtranges malheurs, & proches d’aduenir Dont le Cielirrités apreſte a me punir.	pronostic étrange Des étranges malheurs, et proches d'avenir Dont le Cielirrités apreste à me punir.
ASTOLPHE.	ASTOLPHÉ.
Il faut ſe découurir, & le tirer de peine.	Il faut se découvrir, et le tirer de peine.
Non, Comte, aſſeurez-vous, voſtre frayeur eſt vaine.	Non, Comte, assurez-vous, votre frayeur est vaine.
ROLAND.	ROLAND.
D'où peut ſortir la voix qui vient de me parler?	D'où peut sortir la voix qui vient de me parler?
ASTOLPHE.	ASTOLPHÉ.
D'vn qui n’eſt en ce lieu que pour vous conſoler, De voſtre cher Aſtolphe à vos maux ſecourable, Ems it jorrte plus triſte & le plus déplorable, Qu'vne perſonne illuſtre ait iamais éprouue.	D'un qui n'est en ce lieu que pour vous consoler, De votre cher Astolphe à vos maux secourable, Ems it jorrte plus triste et le plus déplorable, Qu'une personne illustre ait jamais éprouve.
ROLAND.	ROLAND.
Ie voy bien qu’en l’eſtat où vous m’aueZ treuué, Vn malheur noncommun & plein d’ignominie Par vn coup que i'ignore, a ma gloire ternie;	Je vois bien qu'en l'état où vous m'avez trouvé, Un malheur noncommun et plein d'ignominie Par un coup que j'ignore, à ma gloire ternie;
I'ay perdu moneſpée & mes armes außi, Perte quime tiendra d'autant plus en ſoucy Que i'en tire pour moy les preſages funeſtes Du plus ardant couroux des Puiſſances Celeſtes.	J'ai perdu monespée et mes armes aussi, Perte qui tiendra d'autant plus en souci Que j'en tire pour moi les présages funestes Du plus ardant courroux des Puissances Célestes.
ASTOLPHE.	ASTOLPHÉ.
Vous n’auez pas touſiours, comme il a trop paru, Ny ſi bienraiſonné, ny ſi bien diſcouru;	Vous n'avez pas toujours, comme il a trop paru, Ni si bienraisonné, nirs bien discouru;
Et ie ſuis trop diſcret pour vous faire le conte D'vn accident fameux parvoſtre propre honte;	Et ici suis trop discret pour vous faire le conte D'ex accident fameux parvotre propre honte;
Si Dieu qui veut de nous vn iuſte repentir Ne m’auoit commandé de vous en aduertir, Pour auoir preferé l’amour d’vne Payenne Au ſalut de la France & ui mrey omepieme, Du mépris du deuoir vous eſtes deſcendu A la perte du ſens que ie vous ayrendu.	Si Dieu qui veut de nous un juste repentir Ne m'avait commandé de vous en avertir, Pour avoir préféré l'amour d'une Païenne Au salut de la France et ui myrey omepieme, Du mépris du deuoir vous êtes descendu A la perte du sens que je vous airendu.
ROLAND.	ROLAND.
NOLAND.	NOLAND.
O!	Ô!
Dieu.	Dieu.
ASTOLPHE.	ASTOLPHÉ.
Parmy les bois & parmy les prairies, Les Paſteurs, les trouppeaux, les bourgs, les meſtairies, Et le Foreſts entier autant vaut deſerté, Monſtrent bien la fureur où vous aueZ eſté, Et dont les chauds accez vous dureroient encore, Si ie n'euſſe apporté le celeſte Elebore Que ie viens d’employer à voſtre gueriſon En r’allumant en vous les feux de la raiſon, Et vous rendant le ſens qu'vne amour non commune Me fit aller querir dans le Ciel de la Lune, Où tout (iuſques au temps que l’on perd icybas) Se retreuue eſtallé par ordre & par compas, C’eſt là qu’en vn endroit où la main de l’Apoſtre Entre les ſens perdus auoit placé le voſtre, Ie pris cette Phiole, ou pluſtoſt ce treſor, Où voſtre nom éclatte en groſſes lettres d’or, R- Vous en ſçaurez tantoſt les plus hautes merueilles Qui iamais ayent ſurpris les yeux ny les oreilles;	Parmi les bois et parmi les prairies, Les Pasteurs, les troupeaux, les bourgs, les métairies, Et le Forêts entier autant vaut deserté, Montrent bien la fureur où vous avez été, Et dont les chauds accès vous dureraient encore, Si ici n'eusse apporté le celeste Bore Que ie viens d'employer à votre guérison En rallumant en vous les feux de la raison, Et vous rendant le sens qu'une amour non commune Me fit aller quérir dans le Ciel de la Lune, tout Les Où temps que on perd icybas) Se retreuue estallé par ordre et par compas, est en endroit u la main de Apostre Entre les à perds auoit placé le vôtre, Ie pris cette Phiole' on plustost ce trésor, Ou vôtre nom éclatte en grosses lettres dor, - Vous et par tantôt les plus hautordre Qui iamais et par les yeux ni sa main,
Aprenez, cependant que Dieu vous a remis En eſtat de marcher contre ves ennemis, N’ayant plus dans le cœur, ny dans la fantaiſie Les rages de l’amour, ny de la jalouſie.	Apprenez, cependant que Dieu vous a remis En état de marcher contre vez ennemis, N'ayant plus dans le cœur, ni dans la fantaisie Les rages de l'amour, ni de la jalousie.
ROLAND.	ROLAND.
O!	Ô!
Ciel que ce diſcours a mes ſens eſtonneZ Et que vous eſtes bon ſi vous me pardonnez Oüy, les larmes aux yeux, & les genoux en terre, Ma faute, ie l’aduouë, eſt digne du tonnerre, Et ie vous dois bien plus d’auoir briſé mes fers, Que d’auoir accourcy les maux que i’ay ſouffers, Puiſque ne ſuiuant plus cet eſprit infidelle, I'iray ſans reſiſtance où la vertu m'appelle.	Ciel que ce discours a mes sens étonnés Et que vous êtes bon si vous me pardonnez Oui, les larmes aux yeux, et les genoux en terre, Ma faute, je l'avoue, est digne du tonnerre, Et ainsi vous dois bien plus d'avoir brisé mes fers, Que d'avoir accourci les maux que j'ai soufferts, Puisque ne suivant plus cet esprit infidèle, J'irai sans résistance où la vertu m'appelle.
