A PHILISTE	À PHILISTE
Ie voy bien que voſtre ame toute forte & toute courageuſe qu’elle puiſſe eſtre pour ſupporter vos propres mal’heurs, ne peut toutefois qu’elle ne s’atendriſſe des infortunes de ceux que vous aymez, & que quand il faut teſmoigner de la bonté pluſtoſt que de la conſtance, vous ne quittiez vne vertu pour vne autre:	Je vois bien que votre âme toute forte et toute courageuse qu'elle puisse avoir pour supporter vos propres mal'heurs, ne peut toutefois qu'elle ne s'attendrisse des infortunes de ceux que vous aimez, et que quand il faut témoigner de la bonté plutôt que de la constance, vous ne quittiez une vertu pour une autre:
mais ieſuis aſſeuré que mes maux finiront ou que ie ne dureray pas touſiours;	mais iesuis assuré que mes maux finiront ou que ici ne durerai pas toujours;
& puis il n’y apoint de ſang ce ne ſont que des confitures ſeiches, qui toutesfois ne ſont pas ſi douces que l’ambre & le ſuccre.	et puis il n'y apoint de sang ce ne sont que des confitures seiches, qui toutefois ne sont pas si douces que l'ambre et le sucre.
LE DOCTEVR.	LE DOCTEUR.
Pour vn ennemy que mon mal’heur m’auoit fait naiſtre, mon merite me donne mille protecteurs, de ſorte que ſans bouger de mon logis ie gaigne des victoires de tous coſtez.	Pour un ennemi que mon malheur m'avait fait naître, mon mérite me donne mille protecteurs, de sorte que sans bouger de mon logis Seigneur gagne des victoires de tous côtés.
A la fin celuy-là a eſté attrappé qui deuenoit maigre de la proſperité d’autruy, & qui eſtoit de ces paſles & ſobres qui naiſſent à la ruine des Republiques, & i’ay intereſſé dans vn meſme party les Capitaines, les Pantalons, & les Clorindes, i’ay veu des larmes à vn de ces viſages, qui pleurent de ſi	À la fin celui-là a été attrapé qui devenait maigre de la prospérité d'autrui, et qui était de ces pâles et sobres qui naissent à la ruine des Républiques, et j'ai intéressé dans un même parti les Capitaines, les Pantalons, et les Clorindes, j'ai vu des larmes à un de ces visages, qui pleurent de si
bonne grace, & luy ait faict ſi grande peur qu’elle s’en ira peut eſtre cacher ſous terre, & m’atrendre dans quelque grorte.	bonne grâce, et lui ait fait si grande peur qu'elle s'en ira peut être cacher sous terre, et m'atrendre dans quelque grorte.
Voila que c'eſt d’auoir des perſonnes dans le ſein deſquels nous puiſſiõs mettre ſeurement nos deſplaiſirs & nos ioyes, na’y-je pas le fidel Hydaſpe à qui ie communique mes ſecrets & qui eſt touſiours preſt à me faire ſeruice.	Voilà que c'est d'avoir des personnes dans le sein desquels nous puissions mettre sûrement nos déplaisirs et nos joies, n'y-je pas le fidel Hydaspe à qui tu communique mes secrets et qui est toujours prêt à me faire service.
Cependant i’ay vn certain fou que ie gouuerne, & dans lequel ie troune tous les perſonnage de la Comedie, & toutes les ſortes d’extrauagances qui peuuent tomber en l’eſprit des hommes;	Cependant j'ai un certain que j' une gouverne, et dans lequel ici troune tous les personnage de la Comédie, et toutes les sortes d'extravagances qui peuvent tomber en l'esprit des hommes;
apres que mes liures m’ont entretenn tout le matin, & que ie ſuis las de leur compagnie, ie m’en vais paſſer vne partie de l’apreſdiné auec luy pour m’eſloigner vn peu des choſes ſerieuſes qui nourriſſent ma melãcholie.	après que mes livres m'ont entretenn tout le matin, et que je suis las de leur compagnie, Seigneur m'en vais passer une partie de l'apresdiné auec lui pour m'éloigner un peu des choses sérieuses qui nourrissent ma mélancolie.
car depuis que ie ſuis au monde, ie me ſuis perpetuelement ennuyé;	car depuis que je suis au monde, je me suis perpétulement ennuyé;
i’ay trouué toutes les heures de ma vie longues, ie n’ay iamais rien faict tout le jour que chercher la nuit;	j'ai trouvé toutes les heures de ma vie longues, Elle n'ai jamais rien fait tout le jour que chercher la nuit;
c’eſt pourquoy ſi ie veux eſtre ioyeux il faut neceſſairemẽt que ié me trompe moy-meſme, & ma felicité dépend tellemẽt des choſes de dehors, que ſans les diuertiſemẽs que ie cherche ailleurs quelque grand reſueur que ie ſois, ie n’ay pas aſſez dequoy ml'’oceuper ny dequoy me plaire.	c'est pourquoi si ainsi ainsi ainsi joyeux il faut necessairemẽt que ié me trompe moi-même, et ma félicité dépend tellement des choses de hors, que sans les diuertisemẽs que je cherche ailleurs quelque grand rêveur que ie sans, ie n'ai pas assez dequoy moil'oceuper ni dequoy me plaire.
Apres tout vous trouuerez eſtrange dequoy le reſſentimẽt de mon amour m’eſt ſi-toſt paſſé, & m’accuſerez auſſi toſt de legereté que de trahisõ:	Après tout vous trouverez étrange dequoy le ressentiment de mon amour m'est sitôt passé, et m'accuserez aussi tôt de légèreté que de trahisõ:
mais ie vous reſponderay que ie ne ſuis pas reſolu d’aymer vne infidelle, & que delormais ie ne veux plus veoir de beauté, que toute nuë.	mais ici vous réponderai que ici ne suis pas résolu d'aimer une infidèle, et que délormais ie ne veux plus voir de beauté, que toute nue.
DERNIERE ENTREE ſeruant d'Epilogue.	DERNIÈRE ENTRE servant d'Épilogue.
GRISELIN.	GRISELIN.
fou du Docteur.	fou du Docteur.
Eſt-il pas vray Meſſieurs, qu’il y AValong-temps qu’il ne s’eſt veu en La Commedie France vn Comedien de ſi bonne mai.	Est-il pas vrai Messieurs, qu'il y AUalongtemps qu'il ne s'est vu en La Commedie France un Comédien de si bonne mai.
ſon que mon Maiſtre, que vous voyez auiourd’huy paroiſtré ſur le theatre, Ie ne croy pas pourtant qu’il y ayt du des-hõneur pour luy.	son que mon Maître, que vous voyez aujourd'hui paroistré sur le théâtre, Je ne crois pas pourtant qu'il y ait du des-hõneur pour mme.
Neron l’Empereur eſtoit bien d’auſſi bon lieu & d’auſſi bonne famille qu’il ſçauroit eſtre, & s’il nelaiſſoit pas d’en faire le perſonnage;	Neron l'Empereur était bien d'aussi bon lieu et d'aussi bonne famille qu'il saurait être, et s'il nelaissait pas d'en faire le personnage;
Toutesfois qu’elle plus miſerable condition ſçauroit- il arriuer à vn homme, apres auoir bien eu de la vogue & du credit de n’eſtre plus en fin que le ſubject des Comedies & des farces.	Toutefois qu'elle plus misérable condition saurait- il arriver à un homme, après avoir bien eu de la vogue et du crédit de n'être plus en fin que le sujet des Comédies et des farces.
Ce n’eſt pas toure fois que ie crains pour ſa reputatiõ, qui eſt plus dangereuſe pour eſtre grande que pour eſtre mauuaiſe.	Ce n'est pas toure fois que sans crains pour sa réputation, qui est plus dangereuse pour être grande que pour être mauvaise.
Il y a vn certain homme par le mõde qui ne vit que de fleurs & de feuilles, & qui ne ſe contẽte pas de les ſentir & flairer cõme les autres, il a trouué i’inuention de le boire & de les manger dans la ſaiſõ du Iaſmin, des roſes, & des violettes, il eſt au cõble de ſes richeſſes & ſe ſoule à ſon appetit;	Il y a un certain homme par le monde qui ne vit que de fleurs et de feuilles, et qui ne se contente pas de les sentir et flairer comme les autres, il a trouvé j'invention de le boire et de les manger dans la saisons du Iasmin, des roses, et des violettes, il est au commble de ses richesses et se soule à son appétit;
mais dés auſſi toſt que l’hyuer, qui deuoit eſtre condãné à ne partir iamais de Suede, viẽt en ces pays effacer toutes ces beautez de nature, il reuient en ſa premiere pauureté & dans la diſette de ces viandes deſquelles il ne ſe peut paſſer, & parce que l’on publie par tout que mon maiſtre eſt tout rẽply de belſes fleurs de Rhethorique, & ſes diſcours ſont tous floriſſans, qu’il rend les hyuers tiedes & fleuris, & qu’il diſpute meſme auec le printemps à qui produira de plus beaux bouquets & de plus belles fleurs, ie crains que ce ne ſe ruë ſur ſa fripperie, & qu’il ne le deuore comme des conſerues ou des confitures de roſes & de violettes:	mais dès aussi tôt que l'hiver, qui devait être condamné à ne partir jamais de Sude, vient en ces pays effacer toutes ces beautés de nature, il revient en sa première pauvreté et dans la disette de ces viandes desquelles il ne se peut passer, et parce que l'on publie par tout que mon maître est tout rẽply de belses fleurs de Rhétorique, et ses discours sont tous florissants, qu'il rend les hivers tièdes et fleur, et qu'il dispute mêmetaît le printemps à qui produira de plus beaux bouquets et de plus belles au, ie boquece ne se ruë ur sa fripperie, et jil ne se ripe comme des conserves ou des ie de roses et , et:
ce n’eſt pas tout, l’enuie meſme à bien fait dauantage, elle à fait paſſer pour mort ce braue Docteur, lors qu’il ſe portoit le mieux, & qui pis eſt on luy a graué vne epitaphe auſſi bien ſur le marbre que lur ſon faueucenauſſe, mais laiſſons ces funeſtes diſcours parlons de quelque choſe plus agreable.	ce n'est pas tout, l'envie même à bien fait davantage, elle à fait passer pour mort ce brave Docteur, lors qu'il se portait le mieux, et qui pis est on avait a gravé quelque épitaphe aussi bien sur le marbre que lur son faveucenausse, mais laissons ces funestes discours parlons de quelque chose plus agréable.
Ie vous veux dire des nouuelles que ie vous ay apportées d’vn nouueau monde qui n’a pas encores eſté deſcouuert, & qui s’eſt ſauué de l’auarice de Ferdinand & de l’ambition d’Iſabelle, n’eſt-il pas vray que celuy qui vouloit bruſler ſa chemiſe ſi elle euſt ſçeu ſonſecret, n’euſt pas fait volontier ſa confeſſion generalle, & que Alexandre euſt bien eu de la peine à ſe reſoudre à gaigner Paradis par humilité, que direz vous du pauure Brutus qui tua ſon Pere penſant tuer vn tyran, & qui ne ſe repentit pas moins à la mort d’auoir aymé la vertu que s’il euſt ſeruy quelque maiſtreſſe infidellement, ie viens d’aprendre qu’autrefois à Veniſe les hommes d’eſtat ſe marioiẽt auec les femmes publiques, & à voſtre aduis eſt-ce pour auoir vaincu les Suiſſes que François premier eſt appellé Grand, où pour le diſtinguer du petit, où à cauſe de ſon nez.	Je vous veux dire des nouvelles que ie vous ai apportées d'un nouveau monde qui n'a pas encor été découvert, et qui s'est sauvé de l'avarice de Ferdinand et de l'ambition d'Isabelle, n'est-il pas vrai que celui qui voulait brûler sa chemise si elle eût su sonsecret, n'eût pas fait volontier sa confession générale, et que Alexandre eût bien eu de la peine à se résoudre à gagner Paradis par humilité, que direz vous du pauvre Brutus qui tua son Père pensant tuer un tyran, et qui ne se repentit pas un la mort auoir ty la vertu que il eût servi quelque a infidellement, ie viens eaprendre quautrefois Ne les hommes estat se re auec les femmes publiques, et vôtre y est-ce pour a vaincu les Moi que François premier est à La, pour le distinguer du petit, u que de son nez.
Que diriez vous d’vn Roy qui eſt deuenu gentil-homme ſuivant, d’vn petit Prince, & d’vn autre Roy, qui au lieu des points de la Religion introduit toutes les fables de la Poëſie, croiriez vous que les ſujects ſoient tenus en conſcience de ctoire moins en Dieu qu’en leur Prince, & de ImGEen.	Que diriez vous d'un Roi qui est devenu gentilhomme suivant, d'un petit Prince, et d'un autre Roi, qui au lieu des points de la Religion introduit toutes les fables de la Poésie, croiriez vous que les sujets soient tenus en conscience de ctoire moins en Dieu qu'en leur Prince, et de ImGE.
B2 vray vn homme qui reſſembleroit à vn ſinge, oſeriez vous aſſeurer qu’il eſt creé à l’Image & ſemblance de Dieu, & comment vous voudriez vous deffendre d’vn nez puant, ſi ce n’eſt auec dos gans d’Eſpagne;	B2 vrai un homme qui ressemblerait à un singe, oseriez -vous assurer qu'il est cré à l'Image et semblance de Dieu, et comment vous voudriez vous défendre d'un nez puant, si ce n'est après dos gans d'Espagne;
à n’en point mentir n’eſt-il pas vray que celuy qui n’a partie en ſon corps qui ne ſoit honteuſe ne ſe deuroit iamais deſcouurir deuant le monde, & qu’vn homme, qui ſeroit aſſez gros pour remplir luy ſeril tout vn Caroſſe, ne faudroit il pas que toutes les portes par ou il entre fuſſent cocheres, & s’y toutes les Iuſtices de France reſſembloient à celle où l’ori ne condamne pas meſme le Diable à tort, dites la verité ne prendriez vous pas plaiſir d’auoir des procez;	à n'en point mentir n'est-il pas vrai que celui qui n'a partie en son corps qui ne soit honteuse ne se devrait jamais descouurir deuant le monde, et qu'un homme, qui serait assez gros pour remplir ainsi seril tout un Carposse, ne faudrait -il pas que toutes les portes par où il entre fussent cochères, et s'y toutes les Justices de France ressemblaient à celle où l'ori ne condamne pas même le Diable à tort, dites la vérité ne prendriez vous pas plaisir d'avoir des procès;
que prenſeriez vous d’vn hõme qui porteroit:	que prendseriez -vous d'un homme qui porterait:
le deüil de la victoire du Roy vous dii iez auſſitoſt que c’eſt vn Huguenot ou vn mauuais François, & moy ie vous apprens que ce n’eſt pas cela, c’eſt ſeulement qu’il y a perdu vn de ſes parens tué a la bataille.	le deuil de la victoire du Roi vous dii s aussitôt que c'est un Huguenot ou un mauvais Français, et moi je vous apprends que ce n'est pas cela, c'est seulement qu'il y a perdu un de ses parents tué a la bataille.
