A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
uis-ie viure innocente, & cauſer ſon trespas?	Ouis-je vivre innocente, et causer son trépas?
ARIS TEE.	ARIS TE.
Aassss Jnaſmeſajoimnes	Aassss Jnasmesajoimnes
A MARANTHE.	À MARANTHÉE.
Toutes les loix du Sort me la rendent commune.	Toutes les lois du Sort me la rendent commune.
CHOEVR.	CHOEUR.
Veux-tu nous perdre tous, afinde le ſauuer?	Veux-tu nous perdre tous, afinde le sauver?
AMAGIE IME.	AMAGIE IME.
Non, mais ie veux mourir, ou bien le conſeruer.	Non, mais grands veux mourir, ou bien le conserver.
CHOEIN.	CHOEIN.
Nous ne pouuons ſouffrir ny ta mort, ny ſa vie.	Nous ne pouvons souffrir ton ta mort, ni sa vie.
AMARANTHE.	AMARANTHÉE.
Accordez voſtre amour auecques voſtre enuie,	Accordez votre amour auecques jours envie,
ARISTEE.	ARISTE.
u force peut beaucoup, ou l’amoui ni peut rien	Ju force peut beaucoup, ou l'amoui ni peut rien
AMARANTHE.	AMARANTHÉE.
,La Mort ſe tient par tout, ie la trouueray bien.	ÇA Mort se tient par tout, on la trouverai bien.
CHOEVR.	CHOEUR.
Qui l'oſeroit contraindre?	Qui l'oserait contraindre?
ô Dieux qu’elle a de charmes!	ô Dieux qu'elle a de charmes!
L’Amour la viẽt deffendre, & luy preſte ſes armes On void luyre en ſes yeux de nouuelles clartez;	L'Amour la vient défendre, et lui prête ses armes On voit luire en ses yeux de nouvelles clartés;
Et ſacolere encor augmente ſes beautez.	Et sacolère encor augmente ses beautés.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
PALEMON, DAPHNIS, CHOEVR, PIMARDRE, ARISIEE, ALEAIS.	PALÉMON, DAPHNIS, CHOEUR, PIMARDRE, ARISIE, ALEAIS.
PALEMON.	PALÉMON.
VEL trouble?	VEL trouble?
quelle erreur, qu’allez vous entreprendre?	quelle erreur, qu'allez -vous entreprendre?
Temeraires Bergers!	Temeraires Bergers!
voicy venir Timandre, Qui ſauua de la mort & vos peres & vous;	voici venir Timandre, Qui sauva de la mort et vos pères et vous;
Erut qurtespropo, vom gtomntrom ton.	Erut qurtespropo, vom gîtomntrom ton.
DAPHNIS.	DAPHNIS.
Timandre?	Timandre?
Palemon.	Palemon.
PALEMON.	PALÉMON.
Le voicy tout à l’heure, Qui deteſte le Sort, qui s'afflige, & qui pleure, Apres tant de labeurs & de maux endurez, De voir tous ſes amis contre luy coniurez.	Le voici tout à l'heure, Qui déteste le Sort, qui s'afflige, et qui pleure, Après tant de labeurs et de maux endurez, De voir tous ses amis contre deux conjurés.
Quelle ingrate fureur?	Quelle ingrate fureur?
quelle meſcognoiſſances	quelle méconnaissances
CHOEVR.	CHOEUR.
Avons mentitprenons rien que par obeiſſance.	Avons mentitprenons rien que par obéissance.
PALEMON.	PALÉMON.
Qui vous peut commander?	Qui vous peut commander?
CHOEVR.	CHOEUR.
La Deeſſe des bois.	La Déesesse des bois.
PALEMON.	PALÉMON.
,Mais les DiuiniteZ n’ont que de iuſtes loix;	,Mais les Divinités n'ont que de justes lois;
,Qui ne demandent pas les humains pour victimes;	,Qui ne demandent pas les humains pour victimes;
,Lors que ſans les cognoiſtre, ils commettent les crimes.	,Lors que sans les connaître, ils commettent les crimes.
Ou tous egalement vous meritez la mort.	Ou tous également vous méritez la mort.
Le plus adroit, Bergers, a t’il le plus de tort?	Le plus adroit, Bergers, a -t-il le plus de tort?
Est ce pour la valeur que l’on fait les ſuplices?	Est -ce pour la valeur que l'on fait les suplices?
Et pengez vom enmatuont pous qus complices?	Et pengez vom enmatuont pous qus complices?
CHOEVR.	CHOEUR.
La volonté des Dieux nous tient lieu de raijon.	La volonté des Dieux nous tient lieu de raijon.
PALEMON.	PALÉMON.
Vos conſeils, vos efforts, ne ſont plus de ſaiſon, Et la foy d’Alexis ſurmontera l’enuie.	Vos conseils, vos efforts, ne sont plus de saison, Et la foi d'Alexis surmontera l'envie.
CHOEVR.	CHOEUR.
Mais qu'importe à Timandre ou ſa mort, ou ſavie?	Mais qu'importe à Timandre ou sa mort, ou savie?
PALEMON.	PALÉMON.
LA .	LA .
TIMANDRE.	TIMANDRE.
Dõc mes plus chers amis m’en veulẽt autourd’huy!	Dõc mes plus chers amis m'en veulent autourd'hui!
C'eſt contre moy, Bergers, qu’il faut tourner vos armes, Pour espuiſer mõ ſang, außi bien que mes larmes.	C'est contre moi, Bergers, qu'il faut tourner vos armes, Pour épuiser mon sang, aussi bien que mes larmes.
Faites deſſus mon cœur voſtre premier effort.	Faites dessus mon cœur était premier effort.
DAPHNIS.	DAPHNIS.
Timandre noſtre espoir, noſtre vnique ſupport, Toy, qui doibs aſſeurer nos doutes, & nos craintes, Que peux-turedouter?	Timandre notre espoir, notre unique support, Toi, qui doibs assurer nos doutes, et nos craintes, Que peux-turedouter?
qui t’oblige aces plaintes?	qui t'oblige aces plaintes?
Ceſte femme, & ce fils, que ſont-ils deuenus?	Cette femme, et ce fils, que sont-ils devenus?
TIMANDRE.	TIMANDRE.
Les Barbares, Daphnis, les peuples incognus, Les monſtres les plus fiers, les arbitres de l’onde, En ſin iom ies eſcueis, e tes dangers du monde Ont espargné celuy dont tu veux t'enquerir, Et les ſiens auiourd huy le vont faire mourir.	Les Barbares, Daphnis, les peuples inconnus, Les monstres les plus fiers, les arbitres de l'onde, En sin iom jes écueis, e tes dangers du monde Ont épargné celui dont tu veux t'enquérir, Et les siens aujourd hui le vont faire mourir.
DAPHNIS.	DAPHNIS.
Qui ſont les malheureux?	Qui sont les malheureux?
TIMANDRE.	TIMANDRE.
Toy ſon grand aduerſaire, T iij Cruel aux estrangers, pire que le Corſaire, Qui me l’ayant raiy, ne l’a point delaißé, Iuſqu'atant que du Ciel, & de l’onde preßé, Ilait de ſon naujrage expié ſon offenſe;	Toi son grand adversaire, T point Cruel aux étrangers, pire que le Corsaire, Qui me l'ayant rai, ne l'a point delaissé, Jusqu'attant que du Ciel, et de l'onde pressé, Ilait de son naujourage expié son offense;
Qui du tẽps, ny des Dieux, n’a point eude diſpenſe.	Qui du temps, ni des Dieux, n'a point éde dispense.
Et ces riues ont veu ſur les flots adoucis, Venir Polydamon ſous le nom d'Alexis.	Et ces rives ont vu sur les flots adoucis, Venir Polydamon sous le nom d'Alexis.
DAPHNIS.	DAPHNIS.
Polydamõ?	Polydamion?
grãds Dieux!	grands Dieux!
mon ſonge eſt veritable, Que n'ay-te preuenu ſon deſtin lamentable?	mon songe est véritable, Que n'ai-te prévenu son destin lamentable?
I’ay veu ſix mois entiers l’obiet de mes deſirs, Comme ne voyant goutte, inſenſible aux plaiſirs, Que ie pouuois tirer du ſeul bien que i'eſpere:	J'ai vu six mois entiers l'objet de mes désirs, Comme ne voyant goutte, insensible aux plaisirs, Que te pouuois tirer du seul bien que j'espère:
Moy qui deuois helas!	Moi qui devais hélas!
luy tenir lieu de pere.	On tenir lieu de père.
Pardonne moy, Timandre, & ne m'impute pas Si Diane auiourd’hisy le condamne au trespas;	Pardonne moi, Timandre, et ne m'impute pas Si Diane aujourd'hisy le condamne au trépas;
Et ſi monig norance, à tous autres commune, Luy fait a mes cieſpens, courir ceſte fortune.	Et si monig orance, à tous autres commune, Lui fait à mes ciespens, courir cette fortune.
Mais tiens-tu d'Apollon les propos que tu dis?	Mais tiens-tu d'Apollon les propos que tu dis?
Et cognoiſtras-tubien celuy que tu perdis?	Et connaîtras-tubien celui que tu perdis?
TIMANDRE.	TIMANDRE.
Du Dieu qui m’a faitvoir tãt de mers, et de fleuues, L’Oracle m'en aſſeure, & m'en donne les preutes.	Du Dieu qui m'a faitvoir tant de mers, et de fleuves, L'Oracle m'en assure, et m'en donne les prutes.
Voicy les mots ſacrez, dont ſe diuine voix A voulu m'eſclaircir pour la ſeconde fois.	Voici les mots sacrés, dont se divine voix À voulu m'éclaircir pour la seconde fois.
LES riuages teſmoins d’vn ſi cruel outrage, Ont reueu le Corſaire, & ſon triſte naufrage.	LES rivages témoins d'un si cruel outrage, Ont revu le Corsaire, et son triste naufrage.
Vn Dieu marin de nont a ſauué du danger Alexis, que les ſiens tiennent pour eſtr.	Un Dieu marin de nont a sauvé du danger Alexis, que les siens tiennent pour étr.
inger.	inger.
Et les chaſtes efforts d’vne douleur amere Ont ſur les bords de Trace enſeuely la mere.	Et les chastes efforts d'une douleur amère Ont sur les bords de Trace enseveli la mère.
ARISTEE.	ARISTE.
Ces mots ſont clairs, Daphnis.	Ces mots sont clairs, Daphnis.
TIMANDRE.	TIMANDRE.
C’eſtoit tout mon ſoucy, Que de ne douter plus, & d’en eſtre eſclaircy.	C'était tout mon souci, Que de ne douter plus, et d'en être éclairci.
Mais ie reſerue encor vne preuue derniere.	Mais ici réserve encor une preuve dernière.
C’eſt que Polydamon, des qu’il vid la lumiere, appuiade naiſſance vne marque en ſonfront, Qui teſmoigne ( dit Mopſe) vn eſprit vif & prompt.	C'est que Polydamon, des qu'il vit la lumière, appuiade naissance une marque en sonfront, Qui témoigne ( dit Mopse) un esprit vif et prompt.
ARISTEE.	ARISTE.
C’eſtluy-meſme, Timandre, & n'en ſois point en doute.	C'estluy-même, Timandre, et n'en sois point en doute.
Mais voicy la ſentence.	Mais voici la sentence.
ô!	ô!
Palemon!	Palemon!
eſcoute:	écoute:
Toy qui blaſmes ſi fort noſtre temerité.	Toi qui blâmes si fort notre témérité.
Si la deeſſe parle auec obſcurite.	Si la déesse parle avec obscurité.
POVR le ſalut de tous, puniſſeZ le profane, Qui n'a point espargné le grand Cerf de Diane:	POUR le salut de tous, punissez le profane, Qui n'a point épargné le grand Cerf de Diane:
Et celuy dont le trait luy percera le cœur, Poſſedera la belle, & ſera le vainqueur.	Et celui dont le trait nom percera le cœur, Possédera la belle, et sera le vainqueur.
PALEMON.	PALÉMON.
Seroit-ce bien Diane?	Serait-ce bien Diane?
ARISTEE.	ARISTE.
El quitautrer euſt miſe Aucolde ce grand Cerf ou les Bergers l’ont priſe?	Él quitautrer eût mise Aucolde ce grand Cerf ou les Bergers l'ont prise?
CHOEVR.	CHOEUR.
C’eſt le fils de Timandre;	C'est le fils de Timandre;
ô dieux!	ô dieux!
que ferõs nous?	que ferons nous?
TIMANDRE.	TIMANDRE.
Donnez moy le treſpas, & vous me ſerez doux.	Donnez -moi le trépas, et vous me rez doux.
Ouunamteuin-ſait, ſonſſitz que ie le voye.	Ouunameun-sait, sonssités que deux le voie.
Monſtre moy, Palemon, ô vaine, & courte ioye!	Montre moi, Palemon, ô vaine, et courte joie!
Monſtre moy ſon viſage, au moinss il eſt viuant.	Montre moi son visage, au moinss il est vivant.
PALEMON.	PALÉMON.
Amaranthe le cache & ſe met au deuant.	Amaranthe le cache et se met au devant.
TIMANDRE.	TIMANDRE.
O Dieux!	Ô Dieux!
ne voy-ie pas l’image de Clarice?	ne vois-je pas l'image de Clarice?
Et Daphnis aueuglé d’vn extreme auarice, A perdu la memoire, & ne cognoiſt plus rien, S’il n’eſt tout eſclattant de richeſſe & de bien.	Et Daphnis aveuglé d'un extrême avarice, A perdu la mémoire, et ne connaît plus rien, S'il n'est tout esclattant de richesse et de bien.
Ie te voy donc mon fils, & ma douleur cruelle S’augmente par ta veuë, & ſe rend immortelle!	Je te vois donc mon fils, et ma douleur cruelle S'augmente par ta vue, et se rend immortelle!
Et quoy le ſoin des Dieux ne m'a conduit au port Que poirr me faire voir le moment de ta mort.	Et quoi le soin des Dieux ne m'a conduit au port Que poirr me faire voir le moment de ta mort.
Ces bras indignement attachez à cet arbre, Par d’impiteuſes mains, & par des cœurs de marbre, Dont la rigueur t'expoſe a de ſi rudes coups, Seroient mieux employez a nous embraſſer tous.	Ces bras indignement attachez à cet arbre, Par d'impiteuses mains, et par des cœurs de marbre, Dont la rigueur t'expose a de si rudes coups, Seraient mieux employez à nous embrasser tous.
Mais puis-qu’il faut mourir, ie reſous de te ſuiure, Car ſans toy deſormais, ie ne ſçaurois plus viure.	Mais puis-qu'il faut mourir, Seigneur résous de te suivre, Car sans toi désormais, toujours ne saurais plus vivre.
Ie t'’iray mieux trouuer dans l’ombre du tombeau, Que ie n’ay fait aux rays du celeſte flambeau.	Je t'irai mieux trouver dans l'ombre du tombeau, Que tu n'ai fait aux rays du céleste flambeau.
O miſerable fils!	Ô misérable fils!
pere plus miſerable!	père plus misérable!
Si ce n’eſt qu’en mourant d’vn ſort inſeparable, Nos eſprits ne ſoient plus l’vn de l'autre diſtraits.	Si ce n'est qu'en mourant d'un sort inséparable, Nos esprits ne soient plus l'un de l'autre distraits.
Bergers, que tardeZ vous?	Bergers, que tardez -vous?
couurez nous de vos traits.	couvrez -nous de vos traits.
ALEXIS.	ALEXIS.
Toy qui te dis mõ pere, (& ie le veux biencroire En ce triſte accident, ne pers rien de ta gloire.	Toi qui te dis mon père, ( ie le veux biencroire En ce triste accident, ne pers rien de ta gloire.
Vn plus grand bien du Ciel ne ſe peut acquerir.	Un plus grand bien du Ciel ne se peut acquérir.
muene dumaune, Omequ Iquay vuumonris.	muène dumaune, Âme Iquai vuumonris.
DAPHNIS.	DAPHNIS.
Moncher Polydamon, les Dieux me feront grace, Ou leurs traits auec toy m'eſtendront ſur la place,	Moncher Polydamon, les Dieux me feront grâce, Ou leurs traits avec toi m'étendront sur la place,
ARISTEE.	ARISTE.
eeueuuomueuneou,mpuuu y qu ſeur iuſte courroux.	eeueuuomueuneou,mpu y qu' eur juste courroux.
CHOEVR.	CHOEUR.
Mourons.	Mourons.
Venez-ô Dieux!	Venez-ô Dieux!
veneZ nous perdre tous.	venez nous perdre tous.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
ORONTE, ARISTEE, DAPHNIS, TIMANDRE,CHOEVR, PALEMON,DAMON	ORONTE, ARISTE, DAPHNIS, TIMANDRE,CHOUR, PALÉMON,DAMON
ORONTE.	ORONTE.
Ouffriray-ie long-temps vos erreurs inhuO maines?	Ouffrirai-je longtemps vos erreurs inhuO maines?
Moy qui vous puis reſoudre, et qui eauſe les peines Qu'vn Berger innocent eſprouue de vos mains.	Moi qui vous puis résoudre, et qui eauze les peines Qu'un Berger innocent éprouve de vos mains.
,Qu'il eſt aisé, bons Dieux!	ÊQu'il est aisé, bons Dieux!
de tromper les humiains.	de tromper les humiains.
PreneZ moy, liez moy, mettez moy dans ſa place;	PreneZ -moi, liez -moi, mettez -moi dans sa place;
Et ne l’affligez plus d’vne iniuſte diſgrace.	Et ne l'affligez plus d'une injuste disgrâce.
Car außi bien mon cœur plus digne de vos fers, Endure tous les maux que ſes mains ont ſoufferts.	Car aussi bien mon cœur plus digne de vos fers, Endure tous les maux que ses mains ont soufferts.
Ie m'eſtonne des Dieux, qui veulent que ie viue.	Je m'étonne des Dieux, qui veulent que personne vive.
Ils ont trop de pitié, leur colere eſt tardiue.	Ils ont trop de pitié, leur colère est tardive.
Toutes fois ie reſſens dans l’ame bien auant Mille atteintes, qui font que ie meurs en viuant.	Toutes fois assez ressens dans l'âme bien avant Mille atteintes, qui font que ici meurs en vivant.
Ne vous abuſez point, ie confeſſe l’offenſe.	Ne vous abusez point, ie confesse l'offense.
I'ay merité la peine, & luy la recompenſe.	J'ai mérité la peine, et lui la récompense.
Mon ſeul crime l’accuſe, & l’expoſe à vos coups.	Mon seul crime l'accuse, et l'expose à vos coups.
Seule i'ay fait le mal qui vous afflige tous.	Seule j'ai fait le mal qui vous afflige tous.
Et ſi i’oſe parler, ie ſuis ceſte Diane, Dont le cœur temeraire, & dont la main profane, Ont ose, ſans pitié, dans l’eſcorce grauer L'arreſt qu’auec raiſon ie deurois esprouuer.	Et si j'ose parler, je suis cette Diane, Dont le cœur téméraire, et dont la main profane, Ont ose, sans pitié, dans l'écorce graver L'arrêt qu'avec raison a deurois éprouver.
PardonneZ moy grands Dieux;	Pardonnez -moi grands Dieux;
pardonne moy mon frere.	pardonne -moi mon frère.
,Pouuois-ie vainere helas!	,Pouuois-je vaine hélas!
l'amour, & la coleré, , Les ialouſes fureurs a qui tout eſt permis;	l'amour, et la coléré, , Les jalouses fureurs a qui tout est permis;
Et ſeule reſiſter à tous ces ennemis?	Et seule résister à tous ces ennemis?
Le ſang ne peut mentir;	Le sang ne peut mentir;
il eut bien la puiſſance De me faire à l’abord, aymer ſans cognoiſſance.	il eut bien la puissance De me faire à l'abord, aimer sans connaissance.
Et l’ignorance a fait qu'vne amitié de ſœur Dans vn exces d’amour a perdu ſa douceur.	Et l'ignorance a fait qu'une amitié de sœur Dans un excès d'amour a perdu sa douceur.
Mais ſon commencement luy doit ſeruir d’excuſe.	Mais son commencement lui doit servir d'excuse.
N’eſtoit-ce pas aſſez pour me rendre confuſe, D’aiouſter tãt d’appas qui pourroiẽt tout charmer, A la ſecrette loy qui me forçoit d’aymer?	N'était-ce pas assez pour me rendre confuse, D'aiouster abt d'appas qui pourraient tout charmer, À la secrète loi qui me forçait d'aimer?
Dans ceſte eſcorce, helas!	Dans cette écorce, hélas!
ou ie voulois eſcrire L’extreme paßion que ie n’oſois te dire, I’ay coniuré ta mort, pour le ſeul deſplaiſir De voir vn cœur ingrat teſmoin de mon deſir.	ou beau voulais écrire L'extrême passion que je n'osais te dire, J'ai conjuré ta mort, pour le seul déplaisir De voir un cœur ingrat témoin de mon désir.
557 Ie ne pouuois plus viure, & tonhumeur diſcrete N’oſtoit point les ſoupçons a ma flame ſecrete.	557 Je ne pouvais plus vivre, et tonhumeur discrète N'était point les soupçons à ma flamme secrète.
Car ta ſeule preſence, a quelque heure du iour, Outa ſeule pensée accuſoit mon amour.	Car ta seule présence, a quelque heure du jour, Outa seule pensée accusait mon amour.
A la fin ma conſtance, & ma foy pure, & ſaincte, De ta rigueurcruelle ont ſouffert la contrainte.	À la fin ma constance, et ma foi pure, et sainte, De ta rigueurcruelle ont souffert la contrainte.
Mon courage ſenſible a veu naiſtre ſoudain De ſon amour extreme, vn extreme deſdain.	Mon courage sensible a vu naître soudain De son amour extrême, un extrême dédain.
