A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
Tous trois deſuaduoüeront la douleur qui te touche, Les larmes de tes yeux, les ſoûpirs de ta bouche, L’horteur que tu fais voir d’vn mary vertueux Sabine, ſois leur ſœur, ſuy ton deuoir comme eux.	Tous trois desuaduoüeront la douleur qui te touche, Les larmes de tes yeux, les soupirs de ta bouche, L'horteur que tu fais voir d'un mari vertueux Sabine, sois leur sœur, suivo deuoir comme eux.
Contre ce chet eſpoux Valere en vain s’auime, Vn premier mouuement ne fut iamais vn crime, Et la loüange eſt deuë au lieu du chaſtiment Quand la vertu produit ce premier mouuement.	Contre ce chet époux Valère en vain s'auime, Un premier mouvement ne fut jamais un crime, Et la louange est du au lieu du châtiment Quand la vertu produit ce premier mouvement.
Aymer nos ennemis auec idolatrie, De rage en leur treſpas maudire la patrie,	Aimer nos ennemis homme idolâtrie, De rage en leur trépas maudire la patrie,
Souhaiter à l’Eſtat vn malheur infiny, 61 C’eſt ce qu’on nomme crime, & ce qu’il l’a puny, Le ſeul amour de Rome a ſa main animée, Il ſeroit innocent s’il l’auoit moins aymée, Qu’ay ie dit, Sire, il l’eſt, & ce bras paternel L’auroit deſia puny s’il eſtoit criminel, I’aurois ſçeu mieux vſer de l’entiere puiſſance Que me donnent ſur luy les droits de la naiſſance.	Souhaiter à l'État un malheur infini, 61 C'est ce qu'on nomme crime, et ce qu'il l'a puni, Le seul amour de Rome a sa main animée, Il serait innocent s'il l'avait moins aimée, Qu'ai ie dit, Sire, il l'est, et ce bras paternel L'aurait déjà puni s'il était criminel, J'aurais su mieux user de l'entière puissance Que me donnent sur lui es droits de la naissance.
I’ayme trop l’honneur, Sire, & ne ſuis point de rang A ſouffrir ny d’affront, ny de crime en mon ſang C’eſt dont ie ne veux point de teſmoin que Valere.	J'aime trop l'honneur, Sire, et ne suis point de rang A souffrir notre d'affront, ni de crime en mon sang C'est dont tu ne veux point de témoin que Valère.
Il a veu quel accueil luy gardoit ma colere Lors qu’ignorant encor la moitié du combat Ie croyois que ſa fuite auoit trahy l’Eſtat.	Il a vu quel accueil lui gardait ma colère Lors qu'ignorant encor la moitié du combat Je croyais que sa fuite avait trahi l'État.
Qui le fait ſe charger des ſoins de ma famille?	Qui le fait se charger des soins de ma famille?
Qui le fait malgré moy vouloir vanger ma filles Et par quelle raiſon dans ſon iuſte treſpas Prend-il vn intereſt qu’vn pere ne prend pas?	Qui le fait malgré moi vouloir venger ma filles Et par quelle raison dans son juste trépas Prend-il intérêt qu'un père ne prend pas?
On craint qu’apres ſa ſœur il n’en maltraite d’autres;	On craint qu'après sa sœur il n'en maltraite d'autres;
Sire, nous n’auons part qu’à la honte des noſtres, Et de quelque façon qu’vn autre puiſſe agir (gir.	Sire, nous n'avons part qu'à la honte des nôtres, Et de quelque façon qu'un autre puisse agir (gir.
Qui ne nous touche point ne nous fait point rouTu peux pleurer Valere, & meſme aux yeux d’Horace.	Qui ne nous touche point ne nous fait point rouTu peux pleurer Valère, et même aux yeux d'Horace.
Il ne prend intereſt qu’aux crimes de ſa race, Qui n’eſt point de fon ſang ne peut faire d’affront Aux lauriers immortels qui luy ceignent le front.	Il ne prend intérêt qu'aux crimes de sa race, Qui n'est point de son sang ne peut faire d'affront Aux lauriers immortels qui lui ceignent le front.
Lauriers, ſacrés rameaux qu’on veut reduire en poudie, Vous qui mettez ſa teſte à couuert de la foudre L’abandonnerez vous à l’infame couſteau Qui fait choir les méchants ſous la main d’vn bourreau?	Lauriers, sacrés rameaux qu'on veut réduire en poudie, Vous qui mettez sa tête à couvert de la foudre L'abandonnerez -vous à l'infâme coûteau Qui fait choir les méchants sous la main d'un bourreau?
Romains, ſouffrirez-vous qu’ou vous immole vn homme	Romains, souffrirez-vous qu'ou vous immole un homme
62 HORACE Sans qui Rome auiourd’huy ceſſeroit d’eſtre Rome, Et qu’vn Romain s’efforce à tacher le renom D’vn guerrier à qui tous doiuent vn ſi beau nom?	62 HORACE Sans qui Rome aujourd'hui cesserait d'être Rome, Et qu'un Romain s'efforce à tacher le renom D'un guerrier à qui tous doivent un si beau nom?
Dy Valere, dy nous, puiſqu’il faut qu’il periſſe, Où tu penſes choiſir vn lieu pour ſon ſupplice?	Dis Valère, dis nous, puisqu'il faut qu'il périsse, Où tu penses choisir un lieu pour son supplice?
Sera ce entre ces meurs que mille & mille voix Font reſonner encor du bruit de ſes exploits?	Sera ce entre ces meurs que mille et mille voix Font résonner encor du bruit de ses exploits?
Sera-ce hors des murs au milieu de ces places Qu’on voit fumer encor du ſang de Curiaces, Entre leurs trois tombeaux, & dans ce champ d’honneur Teſmoin de ſa vaillance, & de noſtre bonheur?	Sera-ce hors des murs au milieu de ces places Qu'on voit fumer encor du sang de Curiaces, Entre leurs trois tombeaux, et dans ce champ d'honneur Témoin de sa vaillance, et de notre bonheur?
Tu ne ſçaurois cacher ſa peine à ſa victoire, Dans les murs, hors des murs, tout parle de ſa gloire, Tout s’oppoſe à l’effort de ton iniuſte amour Qui veut d’vn ſi bon ſang ſoüiller vn ſi beau iour.	Tu ne saurais cacher sa peine à sa victoire, Dans les murs, hors des murs, tout parle de sa gloire, Tout s'oppose à l'effort de ton injuste amour Qui veut d'un si bon sang souiller un si beau jour.
Albe ne pourra pas ſouffrir vn tel ſpectacle, Et Rome auec ſes pleurs y metera trop d’obſtaele, Vous les previendrez, Sire, & par vn iuſte arreſt Vous ſçaurez embraſſer bien mieux ſon intereſt, Ce qu’il a fait pour elle il le peur encore faire, Il la peut garantir encor d’vn ſort contraire.	Albe ne pourra pas souffrir un tel spectacle, Et Rome était ses pleurs y metera trop d'obstaèle, Vous les préviendrez, Sire, et par un juste arrêt Vous saurez embrasser bien mieux son intérêt, Ce qu'il a fait pour elle il le peur encore faire, Il la peut garantir encor d'un sort contraire.
Sire, ne donnez rien à mes debiles ans, Rome auiourd’hy m’a veu pere de quatre enfans, Trois en ce meſme iour ſont moits pour ſe querelle, Il m’en reſte encor vn, conſeruez-le pour elle, N’oſtez pas à ſes murs vn ſi puiſſant appuy, Horacs, ne croy pas que le peuple ſtupide, Soit le maiſtre abſolu d’vn renom bien ſolide, Sa voix tumultueuſe aſſez ſouuent fait bruit, Mais vn moment l’eſleue, vn moment le deſtruit, Et ce qu’il contribuë à noſtre renommée Touſiours en moins de rien ſe diſſipe en fumée.	Sire, ne donnez rien à mes débiles ans, Rome aujourd'hui m'a vu père de quatre enfants, Trois en ce même jour sont moits pour se querelle, Il m'en reste encor un, conservez-le pour elle, N'ôtez pas à ses murs un si puissant appui, Horacs, ne crois pas que le peuple stupide, Soit le maître absolu d'Hom bien bien Solide, Sa voix tumultueuse assez souvent fait bruit, Mais un moment esleue, moment le détruit, Et ce qu'il contribuë à notre renommée Tousiours en moins de rien se dissipe ' humée.
C’eſt aux Rois, c’eſt aux grands, c’eſt aux eſprits bien faits A voir la vertu pleine en ſes moindres effets, Cet d’eux ſeuls qu’on reçoit la veritable gloire.	C'est aux Rois, c'est aux grands, c'est aux esprits bien faits A voir la vertu pleine en ses moindres effets, Cet d'eux seuls qu'on reçoit la véritable gloire.
Eux ſeuls des vrais Heros aſſeurent la memoire, Vy touſiours en Horace, & touſiours aupres d’eux Ton nom demeurera grand, illuſtre, fameux, Bien que l’occaſion moins haute, ou moins brillante D'vn vulgaire ignorant trompe l’iniuſte attente.	Eux seuls des vrais Héros assurent la mémoire, Vi toujours en Horace, et toujours auprès d'eux Ton nom demeurera grand, illustre, fameux, Bien que l'occasion moins haute, ou moins brillante D'un vulgaire ignorant trompe l'injuste attente.
Ne hay donc plus la vie, & du moins vy pour moy Et pour ſeruireneor ton pays & ton Roy.	Ne hai donc plus la vie, et du moins vi pour moi Et pour servirèneor ton pays et ton Roi.
Sire, i’en ay tropdit, mais l’affaire vous touche, Et Rome toute eniere à panle par lla bouche.	Sire, j'en ai tropdit, mais l'affaire vous touche, Et Rome toute enière à panle par la bouche.
VALERE.	VALÈRE.
Sire, permettez moy.	Sire, permettez -moi.
TVLLE.	TULE.
Valere c’eſt aſſez, Vos diſcours par les leurs ne ſont pas effacez.	Valère c'est assez, Vos discours par les leurs ne sont pas effacés.
I’en garde en mon eſprit les forces plus preſſantes, Et toutes vos raiſons me ſont encor preſentes.	J'en garde en mon esprit les forces plus pressantes, Et toutes vos raisons me sont encor présentes.
Cette enorme action faite preſque à nos yeux Outrage la nature, & bleſſe iuſqu’aux Dieux.	Cette énorme action faite presque à nos yeux Outrage la nature, et blesse jusqu'aux Dieux.
Vn premier mouuement qui produit vn tel crime Ne ſçauroit luy ſeruir d’excuſe legitime, Les moins ſeueres loix en ce point ſont d’accord, Et ſi nous les ſuiuons, il eſt digne de mort.	Un premier mouvement qui produit un tel crime Ne saurait avoir servir d'excuse légitime, Les moins sévères lois en ce point sont d'accord, Et si nous les suivons, il est digne de mort.
Si d’ailleurs nous voulons regarder le coupable, Ce crime quoy que grand, enorme, inexcuſable, Vient de la meſme eſpée & par du meſme bras Qui me fait auiourd’huy maiſtre de deux Eſtats.	Si d'ailleurs nous voulons regarder le coupable, Ce crime quoi que grand, énorme, inexcusable, Vient de la même épée et par du même bras Qui me fait aujourd'hui maître de deux États.
Deux ſceptres en ma main, Albe à Rome aſſeruie Parlent bien hautement en faueur de ſa vie, Sans luy i’obeyrois où ie donne la loy,	Deux sceptres en ma main, Albe à Rome asservie Parlent bien hautement en faveur de sa vie, Sans luy j'obéirais où personne donne la loi,
O4 Et ie ſerois ſuiet ou ie ſuis deux fois Roy, Aſſez de bons ſuiets dans toutes les prouinces Par des vœux impuiſſants s’acquirent vers leurs Princes.	O4 Et ie serais sujet ou tu suis deux fois Roy, Assez de bons sujets dans toutes les provinces Par des vœux impuissants s'acquirent vers leurs Princes.
Tous les peuuent aimer, mais tous ne peuuent pas Par d’illuſtres effets aſſeurer leurs Eſtats, Et l’art & le pouuoir d’affermir des Couronnes Sont des dons que le Ciel fait à peu de perſonnes:	Tous les peuvent aimer, mais tous ne peuvent pas Par d'illustres effets assurer leurs États, Et l'art et le pouvoir d'affermir des Couronnes Sont des dons que le Ciel fait à peu de personnes:
De pareils ſeruiteurs ſont les forces des Rois Et de pareils auſſi ſont au deſſus des loix.	De pareils serviteurs sont les forces des Rois Et de pareils aussi sont au dessus des lois.
Qu’elles ſe taiſent donc, que Rome diſſimule Ce que dés ſa naiſſance elle en vit en Romule, Elle peut bien ſouffrir en ſon liberateur Ce qu’elle a bien ſouffert en ſon premier autheur.	Qu'elles se taisent donc, que Rome dissimule Ce que dès sa naissance elle en vit en Romule, Elle peut bien souffrir en son libérateur Ce qu'elle a bien souffert en son premier auteur.
Vy donc Horace, vy guerrier trop magnanime, Ta vertu met ta gloire au deſſus de ton crime, Sa chaleur genereuſe a produit ton forfait, D’vne cauſe ſi belle il faut ſouffrir l’effet.	Vis donc Horace, vis guerrier trop magnanime, Ta vertu met ta gloire au dessus de ton crime, Sa chaleur généreuse à produit ton forfait, D'une cause si belle il faut souffrir l'effet.
Vy pour ſeruir l’Eſtat, vy, mais ayme Valere, Qu’il ne reſte entre vous ny haine ny colere, Et ſoit qu’il ait ſuiuy l’amour, ou le deuoir, Sans aucun ſentiment reſous-toy de le voir.	Vi pour servir l'État, vis, mais aime Valère, Qu'il ne reste entre vous avez haine esprit colère, Et soit qu'il ait suivi l'amour, ou le devoir, Sans aucun sentiment résous-toi de le voir.
Sabine, eſcoutez moins la douleur qui vous preſſe, Chaſſez de ce grand cœur ces marques de foibleſſe, C’eſt en ſechant vos pleurs que vous vous monſtrerez La veritable ſœur de ceux que vous pleurez.	Sabine, écoutez moins la douleur qui vous presse, Chassez de ce grand cœur ces marques de faiblesse, C'est en séchant vos pleurs que vous vous montrerez La véritable sœur de ceux que vous pleurez.
Mais nous deuons aux Dieux demain vn ſacrifice, Et nous aurions le Ciel à nos vœux mal propice Si nos preſtres, auant que de ſacrifier, Ne trouuoient les moyens de le purifier.	Mais nous devons aux Dieux demain sacrifice, Et nous aurions le Ciel à nos vœux mal propice Si nos prêtres, avant que de sacrifier, Ne trouvaient les moyens de le purifier.
Son pere en prendra ſoin, il luy ſera facile D’appaiſer tout d’vn temps les manes de Camille, Ie la plains, & pour rendre à ſon ſort rigoureux, Ce que peut ſouhaiter ſon eſprit amoureux, PuiſPuiſque en vn meſme iour l’ardeur d’vn meſme zele Acheue le deſtin de ſont amant & d’elle, Ie veux qu’vn meſme iour témoin de leurs deux morts En vn meſme tombeau voye enfermer leurs corps.	Son père en prendra soin, il lui sera facile D'apaiser tout d'un temps les mânes de Camille, Je la plains, et pour rendre à son sort rigoureux, Ce que peut souhaiter son esprit amoureux, PuisPuisque en un même jour l'ardeur d'à même zèle Acheve le destin de sont amant et d'elle, Je veux qu'un même jour témoin de leurs deux morts En un même tombeau voie enfermer leurs corps.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
VLIE.	VLIE.
Amille, ainſi le Ciel t’auoit bien aduertie ODes tragiques ſuccés qu’il t’auoit preparés, Mais touſiours du ſecret il cache vne partie Aux eſprits les plus nets, & les mieux éclairez.	Amille, ainsi le Ciel t'avait bien avertie ODes tragiques succès qu'il t'avait préparés, Mais toujours du secret il cache une partie Aux esprits les plus nets, et les mieux éclairez.
Il ſembloit nous parler de ton proche Hymenée.	Il semblait nous parler de ton proche Hyménée.
Il ſembloit tout promettre à tes vœux innocents, Et nous cachant ainſi ta mort inopinée Sa voix n’eſt que trop vraye en trompant noſtre ſens.	Il semblait tout promettre à tes vœux innocents, Et nous cachant ainsi ta mort inopinée Sa voix n'est que trop vraie en trompant nôtre sens.
2 Albe & Rome auiourd’huy prennent vn autre face, Tes vœux ſont exaucez, elles gouſtent la paix, Et tu vas eſtre vnie auec ton Curiace Sans qu’aucun mauuuu jort t'en ſepars iamais	2 Albe et Rome aujourd'hui prennent un autre face, Tes vœux sont exaucés, elles goûtent la paix, Et tu vas était unie avec ton Curiace Sans qu'aucun mauvais jort t'en sépars jamais
FIN.	FIN.
