SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
Tant les traces du ſang, & la douce paſleur Rendoient en ſon viſage vne belle couleur, Belle & douce à nos yeux plus qu’vne roſe blanche, qui languit quand les vents la tirent de ſa branche.	Tant les traces du sang, et la douce pâleur Rendaient en son visage une belle couleur, Belle et douce à nos yeux plus qu'une rose blanche, qui languit quand les vents la tirent de sa branche.
Penſe combien d’ennuis ce malheur à cauſé, Sur tout à Palemon, qui s’eſtant propoſé ne trouuer à ſes vœux cette nuict fauorable Voyoit de ce beau corps l’eſtat ſi déplorable.	Pense combien d'ennuis ce malheur à causé, Sur tout à Palemon, qui s'étant proposé ne trouver à ses vœux cette nuit favorable Voyait de ce beau corps l'état si déplorable.
Il a paru ſurpris d’vn ſombre eſtonnement, Et puis s’eſt eſcrié ſouſpirant triſtement;	Il a paru surpris d'une sombre étonnement, Et puis s'est écrié soupirant tristement;
O beaux Soleils panchans deſſus l’ombre eternelle, Icy le repentir d’vne ame criminelle Ne veut point maintenant auoir grace de vous De m'eſtre ainſi rendu ſi traiſtre & ſi ialoux, Et d’eſtre le ſujet par vn acte barbare que de l’eſclat du Ciel la Parque vous ſepare;	Ô beaux Soleils penchants dessus l'ombre éternelle, Ici le repentir d'une âme criminelle Ne veut point maintenant avoir grâce de vous De m'être ainsi rendu si traître et si jaloux, Et d'être le sujet par un acte barbare que de l'éclat du Ciel la Parque vous sépare;
Ie m'en ſens trop indigne, & ie n'y pretens pas:	Je m'en sens trop indigne, et Seigneur n'y prétends pas:
Mais beaux yeux en perdant vos glorieux appas, Pour en tirer au moins vne triſte allegeance De vos regards mourans voyez-en la vengeance.	Mais beaux yeux en perdant vos glorieux appas, Pour en tirer au moins une triste allégeance De vos regards mourants voyez-en la vengeance.
Là calmant ſon viſage & terminant ſes cris, ne ce funeſte dard qu’il auoit deſia pris	Là calmant son visage et terminant ses cris, ne ce funeste dard qu'il avait déjà pris
Aux Paſteurs qui portoient ton Amante fidelle S’ouure le ſein ſans crainte & tombe deuant elle.	Aux Pasteurs qui portaient ton Amante fidèle S'ouvre le sein sans crainte et tombe devant elle.
Alors en diligence on void venir des mons Iſmene ce vieillard, qui commande aux demons, Qu'vn Berger amenoit d’vn antre ſolitaire Pour donner à Cydippe vne herbe ſalutaire.	Alors en diligence on voit venir des mons Ismene ce vieillard, qui commande aux démons, Qu'un Berger amenait d'un antre solitaire Pour donner à Cydipe une herbe salutaire.
Contemplant ces deux corps dénuez de vigueur, Sans d’vn fer outrageux employer la rigueur, Il marque vn cerne en terre & trace des figures;	Contemplant ces deux corps dénués de vigueur, Sans d'Un fer outrageux employer la rigueur, Il marque un cerne en terre et trace des figures;
Prononce en murmurant des paroles obſcures;	Prononce en murmurant des paroles obscures;
Trois fois deuers l’Aurore, & trois fois au Couchant, Eſlance vn regard ſombre, & ſoudain reſpanchant Vn jus ſur les bleſſez, qui ſurmonte les Parques, De leurs grands coups mortels laiſſe à peine les marques;	Trois fois devers l'Aurore, et trois fois au Couchant, Élance un regard sombre, et soudain respanchant Un jus sur les blessés, qui surmonte les Parques, De leurs grands coups mortels laisse à peine les marques;
Et ſçachant des Bergers que Palemon charmé Des graces de Cydippe aimoit ſans eſtré aimé;	Et sachant des Bergers que Palemon charmé Des grâces de Cydipe aimait sans estré aimé;
Formant encore vn cerne, & diſant des paroles Que les demons ſçauans montrent dans leurs écholes, Il épanche autour d’elle vne douce liqueur, Dont il a fait ſerment de le mettre en ſon cœur.	Formant encore un cerne, et disant des paroles Que les démons savants montrent dans leurs écholes, Il épanche autour d'elle une douce liqueur, Dont il a fait serment de le mettre en son cœur.
De faict cette Bergere a paru moins farouche, Palemon tout charmé ſe paſme ſur ſa bouche, Voyant dans ſes doux yeux vn fauorable accueil, Soit qu’elle te penſaſt au profond du cercueil, Soit que l’heureux Amant teſmoignant tant de flame, Du mespris de la mort euſt vaincu ſa belle ame, Soit qu’vn pouuoir magique allumant nos humeurs Nous inſpire l’amour & nous change les mœurs, Si bien qu'entre ſes bras il prend la recompenſe D’vn zele ſi conſtant;	De fait cette Bergère a paru moins farouche, Palemon tout charmé se pâme sur sa bouche, Voyant dans ses doux yeux un favorable accueil, Soit qu'elle te pensât au profond du cercueil, Soit que l'heureux Amant témoignant tant de flamme, Du mépris de la mort eût vaincu sa belle âme, Soit qu'un pendant magique allumant nos humeurs Nous inspire l'amour et nous change les mœurs, Si bien qu'entre ses bras il prend la récompense D' il si constant;
mais ce diſcours t’offenſe.	mais ce discours t'offense.
MELINDOR.	MELINDOR.
Que peut-on figurer de plus heureux que luy?	Que peut-on figurer de plus heureux que Rome?
Sans doute, Lycoris, i'en reſſens de l’ennuy;	Sans doute, Lycoris, j'en ressens de l'ennui;
tuaun queique deſptatſtr que mon ueſui ni'enuoye, Mes plus faſcheux regrets cederont à ma ioye, Tant depuis ton diſcours ie ſens mon cœur changé De l’eſtat où l’ennuy l’auoit tantoſt rangé.	tuaun queique déptatstr que mon uesui ni envoie, Mes plus fâcheux regrets céderont à ma joie, Tant depuis ton discours après sens mon cœur changé De l'état où l'ennui l'avait tantôt rangé.
LYCORIS.	LYCORIS.
Crois-tu que Lucilys dans le ſein de Cythere, Soit moins content que luy?	Crois-tu que Lucilys dans le sein de Cythère, Soit moins content que lui?
tu cognois la Bergere Que ſon Amant fidelle aime parfaitement;	tu connais la Bergère Que son Amant fidèle aime parfaitement;
Voicy l’heureuſe nuict de leur contentement.	Voici l'heureuse nuit de leur contentement.
MELINDOR.	MELINDOR.
Apres tant de refus Lucilys la poſſede, Il ne pouuoit guerir par vn plus doux remede, Mais apprens moy cõment leurs parẽs l’ont permis, qul Qhe des tong danps tenuie a rentins ennemis.	Après tant de refus Lucilys la possède, Il ne pouuoit guérir par un plus doux remède, Mais apprends moi cõment leurs parẽs u'ont permis, qu' Hé des tong danps tenuie a rentins ennemis.
Ma Lycoris commence.	Ma Lycoris commence.
LYCORIS.	LYCORIS.
Attens, ie me prepare Pour t’en raconter mieux l’auanture aſſez rare.	Attends, Seigneur me prépare Pour t'en raconter mieux l'aventure assez rare.
Thermodon ce Berger, dont l’agreable voix Attire à ſes chanſons les rochers & les bois, Comme Terpandre eſcrit de l’amant d’Eurydice, (uontat Chantoit dãs nos foreſts qu’au fonds d’vn precipice Lucilys de triſteſſe & d’amour agité D’vn deſſein furieux s’eſtoit precipité.	Thermodon ce Berger, dont l'agréable voix Attire à ses chansons les rochers et les bois, Comme Terpandre écrit de l'amant d'Eurydice, (vontat Chantait dans nos forêts qu'au fonds d'un précipice Lucilys de tristesse et d'amour agité D'un dessein furieux s'était précipité.
Cette Nymphe amoureuſe en ſçachant la nouuelle, Et receuant dans l’ame vne atteinte mortelle, Sur le bord du ruiſſeau ſe laiſſe éuanouïr, Paſle, ſans mouuement, ſans parler, ſans ouïr, Ceux qui luy découuroient l’erreur de ce meſſage, Qui la fait croire morte vne neurt ou uauantage.	Cette Nymphe amoureuse en sachant la nouvelle, Et recevant dans l'âme une atteinte mortelle, Sur le bord du ruisseau se laisse évanouir, Pâle, sans mouvement, sans parler, sans ouïr, Ceux qui lui découvraient l'erreur de ce message, Qui la fait croire morte une neurt ou uauantage.
Lucilys l’ayant ſçeu s’en court incontinent, Et monte en ce riuage vn rocher éminent,	Lucilis l'ayant su s'en court incontinent, Et monte en ce rivage un rocher éminent,
D’où	D'où
D’où panchant ſes regards deſſus ſa Nymphe aymee, Sa Nymphe qui ſembloit n'eſtre plus animee, Et perdant la raiſon dans ſa triſte fureur Au ſommet d’vn rocher qu'on admire en terreur, Il accuſe le Ciel, & s’élançant vers elle, Nomme encor en tombant la fortune cruelle.	D'où penchant ses regards dessus sa Nymphe aimée, Sa Nymphe qui semblait n'être plus animée, Et perdant la raison dans sa triste fureur Au sommet d'un rocher qu'on admire en terreur, Il accuse le Ciel, et s'élançant vers elle, Nomme encor en tombant la fortune cruelle.
Deuant qu’au dur ſablon ſon corps fuſt paruenu, Des rameaux enlacez l’ont vn peu ſouſtenu:	Devant qu'au dur sablon son corps fût parvenu, Des rameaux enlacés l'ont un peu soutenu:
Mais cependant ſa cheute eſtoit ſi dangereuſe qu’il s’en alloit mourir ſans la belle amoureuſe, qui ſe leuant au bruit de ce peuple aſſemblé, Bruit ſi grand qu’à l’entour la terre en a tremblé, S’afflige, ſe tourmente, & l’arrouſant de larmes L’appelle inceſſammẽt d’accẽts ſi pleins de charmes, que d’vne voix mourante außi toſt ſon Berger Témoigne en la baiſant n'eſtre plus en danger.	Mais cependant sa chute était si dangereuse qu'il s'en allait mourir sans la belle amoureuse, qui se lèvant au bruit de ce peuple assemblé, Bruit si grand qu'à l'entour la terre en a tremblé, S'afflige, se tourmente, et l'arrousant de larmes L'appelle incessamment d'accẽts si pleins de charmes, que d'une voix mourante aussi tôt son Berger Témoigne en la baisant n'être plus en danger.
Tous leurs parens vaincus d’vne amitié ſi ferme Veulent qu'vn mariage oppoſe vn dernier terme A leurs regrets mourants, à leurs cris ſuperflus, Reſolus que l’amour ne les tourmente plus.	Tous leurs parents vaincus d'une amitié si ferme Veulent qu'un mariage oppose un dernier terme À leurs regrets mourants, à leurs cris superflus, Résolus que l'amour ne les tourmente plus.
En fin ces bons vieillards appaiſent leur querelle, Combien qu'auparauant on la creuſt immortelle.	En fin ces bons vieillards apaisent leur querelle, Combien qu'auparavant on la crût immortelle.
LACIDIIEE, Penſant à Lucilys tu peux cognoiſtre aſſez guel changement ſuccede à ſes regrets paſſez Ayant creu ſa Bergere en l’infernale riue Trouuer qu'elle luy monſtre vne ardeur exceßiue;	LACIDIE, Pensant à Lucilys tu peux connaître assez guel changement succède à ses regrets pas Ayant cru sa Bergère en l'infernale rive Trouver qu'elle sans montre une ardeur excessiue;
Des parens appaiſez voir vn conſentement Fauorable à merueille à leur contentement;	Des parents apaisez voir un consentement Favorable à merveille à leur contentement;
Et maintenãt dans l’ombre apres l’heureuſe preuue un Du plus fidele Amant que iamais femme treuue, Inpure Rauy d’aucun reſpect n'eſtant plus retenu Τοuεnετιεθαυnα αεεrαυοα rnjε vεau corps tout nu.	Et maintenant dans l'ombre après l'heureuse prévue un Du plus frêle Amant que jamais femme trouve, Inpure Rauci d'aucun respect n'étant plus retenu Τοuεnετιεθαυnα αεεrαυοα rnjε vεau corps tout nu.
iples de Mais iuge ſon plaiſir d’vne feinte agreable, Figure toy Cydippe en liberté ſemblable.	iples de Mais juge son plaisir d'une feinte agréable, Figure toi Cydipe en liberté semblable.
MELINDOR.	MELINDOR.
ne fille a minuict dans ce bord eſcarté, Ieune, belle, agreable, & ſeule & ſans clarté Penſe eſtre en aſſeurãce au pouuoir d’vn ieune hõme Luy faiſant des diſcours dont Amour le conſomme.	ne fille a minuict dans ce bord écarté, Jeune, belle, agréable, et seule et sans clarté Pense être en assurance au pouvoir d'un jeune homme Lui faisant des discours dont Amour le consomme.
N	N
LYCORIS.	LYCORIS.
Cydippe te rauit d’vn charme ſi puiſſant Que Lycoris t’inspire vn feu bien languiſſant.	Chydipe te ravit d'un charme si puissant Que Lycoris t'inspire un feu bien languissant.
Mais, Berger, mes appustempujfamuuiur gloire La Sene, la Garonne, & les bords de la Loire:	Mais, Berger, mes appustempujamuviur gloire La Sene, la Garonne, et les bords de la Loire:
Si Lycoris te plaiſt tu n’auras pas beſoing	Si Lycoris te plaît tu n'auras pas besoing
Pour eſtre plus heureux d’employer vn grand ſoing.	Pour être plus heureux d'employer un grand soing.
Tes parens meſpriſans les champs, & le meſnage, Ne t’ont fait ſucceder qu'à leur humeur volage;	Tes parents méprisants les champs, et le ménage, Ne t'ont fait succéder qu'à leur humeur volage;
Or ſçache qu'en tous lieux Pan benit mes troupeaux, Soit au panchant des monts, ſoit deſſus leurs coupeaux, Et que fille aujourd'huy parmy ces bergeries N’eſgale ma richeſſe en foreſts ny prairies.	Or sçache qu'en tous lieux Pan bénit mes troupeaux, Soit au penchant des monts, soit dessus leurs coupeaux, Et que fille aujourd'hui parmi ces bergeries N'égale ma richesse en forêts apprendre prairies.
Des Nymphes de nos bois Cydippe ſeulement Me ſurpaſſe en beauté, mais bien peu d’agrément.	Des Nymphes de nos bois Cydipe seulement Me surpasse en beauté, mais bien peu d'agrément.
A l’eſclat du Soleil on me trouue vn peu noire, Mais quoy?	À l'éclat du Soleil on me trouve un peu noire, Mais quoi?
l’ebene obſcur eſt beau comme l’yuoire;	l'ébène obscur est beau comme l'yvoire;
La nuict eſt noire & ſombre, & la blancheur du iour Paroiſt beaucoup moins propre aux douceurs de l’amour;	La nuit est noire et sombre, et la blancheur du jour Paraît beaucoup moins propre aux douceurs de l'amour;
Et la belle Cydippe, où tant de grace abonde, Des yeux & des cheueux ſemble encore moins blonde:	Et la belle Cydipe, où tant de grâce abonde, Des yeux et des cheveux semble encore moins blonde:
Mais ſans mentir ſon teint me ſurmonte en blancheur, Teint qui d’vn lys naiſſant figure la fraiſcheur.	Mais sans mentir son teint me surmonte en blancheur, Teint qui d'un lys naissant figure la fraîcheur.
116 Elle eſclatte à la dance en grace nompareille, Et c’eſt vn bruit commun que ie dance à merueille.	116 Elle éclatte à la dance en grâce nompareille, Et c'est un bruit commun que ie dance à merveille.
De la hauteur du corps ie ne l’eſgale pas, Mais i’eſgale Cythere, object tout plein d’appas.	De la hauteur du corps avait ne l'égale pas, Mais j'égale Cythère, object tout plein d'appas.
ſus Imn Elle entend les chanſons, dont le Tage reſonne, Mi Et meſme en les diſant ſa douce voix eſtonne:	sus Imn Elle entend les chansons, dont le Tage résonne, Mi Et même en les disant sa douce voix étonne:
um, in Moy ie charme en chantãt lés merueilleux accoro.	um, in Moi toujours charme en chantãt lés merveilleux accoro.
puſſDont l’Arne en tous endroits fait renommer ſalnue bords.	pussDont l'Arne en tous endroits fait renommer salnue bords.
Or nous veillons bien tard dans ce deſert ſas uage, Allons tous deux enſemble, aſons vers mon villag Où tu peux, Melindor, veiller plus doucement Que ces Bergers rauis dans leur contentement.	Or nous veillons bien tard dans ce désert sas ouvage, Allons tous deux ensemble, asons vers mon villag Où tu peux, Melindor, veiller plus doucement Que ces Bergers ravis dans leur contentement.
10 upιι unbla κσnιηια	10 upB unbla κσnιηια
MELINDOR.	MELINDOR.
Allons ſans retarder où Lycoris commande, Puis qu’elle me veut faire vne faueur ſt grande.	Allons sans retarder où Lycoris commande, Puis qu'elle me veut faire une faveur st grande.
