A MADEMOISELLE	À MADEMOISELLE
Nous ſçauons voſtre rang, & le reſpectons tous, Auſſi nous n’employons que nos veux-pres de vous, Pour vous perſuader, ce ſont nos ſeules armes, Soyez en donc touchée, & diſſipez ces charmes, Therſandre en ſon accez va marquer ces douleurs, Vous allez eſcouter ſes plaintes, & ſes clameurs, Son deſeſpoir, ſescris pour ſa fidele amante, Voicy l’heure où l’accez l’agite;	Nous sçauons votre rang, et le respectons tous, Aussi nous n'employons que nos veux-près de vous, Pour vous persuader, ce sont nos seules armes, Soyez en donc touchée, et dissipez ces charmes, Thersandre en son accès va marquer ces douleurs, Vous allez écouter ses plaintes, et ses clameurs, Son désespoir, sescris pour sa fidèle amante, Voici l'heure où l'accès l'agite;
& le tourmente, Sans doute en le voyant cét obiect de pitié Fera dans voſtre cœut renaiſtre l'amitié, Ses ſoûpirs eſteindront toute voſtre colere, Et fetont beaucoup plus que nous ne ſçaurions faire, Madame, le voila qui ſemblé s’éueiller, vous en ſerez touchée, eſcoutez le parlec.	et le tourmente, Sans doute en le voyant cet objet de pitié Fera dans votre cœut renaître l'amitié, Ses soupirs éteindront toute votre colère, Et font beaucoup plus que nous ne saurions faire, Madame, le voila qui semblé s'éveiller, vous en serez touchée, écoutez le parlec.
SCENE IV.	SCÈNE IV.
THERSANDRE.	THÉRSANDRE.
DIANE.	DIANE.
FELICIE.	FELICIE.
IS MENE.	IS MÈNE.
CLIDAMANT.	CLIDAMANT.
THIMANTE.	THIMANTE.
THERSANDRE, aupres du corps de Diane.	THÉRSANDRE, auprès du corps de Diane.
Ourquoy, pour ne point voir des obiects ſi fuI nebres, N'ay-je les yeux couuerts d'eternelles tenebres, Hà!	Ourquoy, pour ne point voir des objets si fuI nébres, N'ai-je les yeux couverts d'éternelles ténèbres, Hà!
que i’ay de ſujet de me plaindre du ſort, Que mon ſommeil n’eſt il, le ſommeil de la mort, Daus la nuit des tombeaux, i’éu iterois l’enuie, Et ne me verrois pas mourir toute ma vie, Ie ne ſerois que cendre, & ce ſpectaele affreux N’auroit pas affligé, ny mon cœur, ny mes yeux.	que j'ai de sujet de me plaindre du sort, Que mon sommeil n'est il, le sommeil de la mort, Daus la nuit des tombeaux, j'é itérais l'envie, Et ne me verrais pas mourir toute ma vie, Je ne serais que cendre, et ce spectaèle affreux N'aurait pas affligé, ni mon cœur, ni mes yeux.
Oüy, ma chere maiſtreſſe, autrefois mes delices, Tu deuiens à mes yeux le plus grand des ſupplices, Et dans ce triſte eſtat enfin où ie te voy, Toy qui fus mon amour, n’és plus que mon effroy, Ton corps n’eſt plus qu’va tronc dont l’aſpect m'érouuante, Ta teſte eſt de ton ſang encor toute fumante, Les graces, les appas, n’y font plus leur ſéjour, Ie voy la mott par tout, où ie voyois l’amour;	Oui, ma chère maîtresse, autrefois mes délices, Tu yens à mes yeux le plus grand des supplices, Et dans ce triste état enfin où tu te vois, Toi qui fus mon amour, n'avez plus que mon effroi, Ton corps n'est plus qu'à tronc dont laspect 'érouuante, Ta teste est de ton sang encor toute fumante, Les graces, les a, y font plus leur séjour, Ie la mo par tout, ie voyois amour;
Quoy donc tu ne vis plus?	Quoi donc tu ne vis plus?
& tu m’és enleuée Dans le meſme moment que ie t’ay rettouuées.	et tu m'ez enlevée Dans le même moment que tu t'ai rettouuées.
Eſpoirs nez & deſtruits d'vne immortelle amour, Fantoſme de bon-heur qui ne dure qu’vn iour, Threſors ſi toſt perdus, clartez, ſi toſt eſteintes, Grande joye, où ſi toſt ſuccedent tant de plaintes, Pourquoy dans ce brillãt dont vous flatiez mon feu, Me promettiez vous tant pour me donner ſi peu:	Espoirs nez et détruits d'une immortelle amour, Fantôme de bonheur qui ne dure qu' Hour, Thresors si tôt perdus, clartés, si tôt éteintes, Grande joie, où si tôt succèdent tant de plaintes, Pourquoi dans ce brillant dont vous flattiez mon feu, Me promettiez -vous tant pour me donner si peu:
Beaux yeux iadis vainqueurs, qui malgié mes prieres Dans d’éternelles nuits eſteignez vos lumieres, Ne m’appellez vous pas au ſéjour du treſpas, Puis-je voir ce qu’icy Dlane ne voit pas:	Beaux yeux jadis vainqueurs, qui malgié mes prières Dans d'éternelles nuits été vos lumières, Ne m'appelez -vous pas au séjour du trépas, Puis-je voir ce qu'ici Dlane ne voit pas:
Non, non, à cét object dont la douleur m’emporte, Ie ne ſuis plus viuant, puiſque Diane eſt morte, Mon cœur, ſe meut encor, mais ce dernier effort N’eſt qu’vn reſte de feu qui luit apres la mort, N'eſt qu’vne exhalaiſon, vn vent, vne fumée, Et derniere mourante, & derniere allumée.	Non, non, à cet object dont la douleur m'emporte, Je ne suis plus vivant, puisque Diane est morte, Mon cœur, se meut encor, mais ce dernier effort N'est qu'un reste de feu qui luit après la mort, N'est qu'une exhalaison, un vent, une fumée, Et dernière mourante, et dernière allumée.
Ie vais donc te rejoindre, object de mon deſir, Te tendre ame pour ame, & ſoûpir pour ſoûpir, La mort eſt mon ſecours, ie n’eſpere qu’en elle, Ie te veux teſmoigner que ie te ſuis fidelle, Et ne pouuant ſuruiure à ton funeſte ſort, Que ie mets ton amant dans les bras de la mott.	Je vais donc te rejoindre, object de mon désir, Te tendre âme pour âme, et soupir pour soupir, La mort est mon secours, on n'espère qu'en elle, Je te veux témoigner que tu te suis fidèle, Et ne pouvant survivre à ton funeste sort, Que promets ton amant dans les bras de la mott.
CLIDAMANT.	CLIDAMANT.
Maſame, vous voyez la grandeur de ſa peine, Vous voyez iuſques où l’a reduit voſtre haine, Et ſans proportion du crime au chaſtiment, lulqu’ou va le pouſoit de voitte enchamtement;	Masame, vous voyez la grandeur de sa peine, Vous voyez jusqu' où l'a réduit votre haine, Et sans proportion du crime au châtiment, lulqu'ou va le pousait de voitte enchamtement;
Ces bois en ſont touchez, & ces rochers ſenſibles Perdent la dureté qui les tend impaſſibles, L’écho meſme s’en plaint, & vous ſeule aujour d’huy Serez vous ſans tendreſſe, & ſans pitié pour luy.	Ces bois en sont touchés, et ces rochers sensibles Perdent la dureté qui les tend impassibles, L'écho même s'en plaint, et vous seule aujour d'hui Serez -vous sans tendresse, et sans pitié pour donner.
FELICIE.	FELICIE.
Oüy, ſans pitié pour luy:	Oui, sans pitié pour lui:
le me veux ſatisfaite Puis qu’il a pris touſiours plaiſir à me déplaire, Par vn iuſte retour afin de me vanger, Ie veux prendre touſiours plaiſir à l’affliger.	le me veux satisfaite Puis qu'il a pris toujours plaisir à me déplaire, Par un juste retour afin de me venger, Je veux prendre toujours plaisir à l'affliger.
Non, non, n’eſperez pas que iamais ie me tende, Ie ſiis trop outragée, & l’iniure eſt trop grande, Sa douleur fait ma joye, & ie me plals à voir Que ce fameux ſuppliée eſtabſit mon pouuoir.	Non, non, n'espérez pas que jamais rien me tende, Je siis trop outragée, et l'injure est trop grande, Sa douleur fait ma joie, et Se me plals à voir Que ce fameux suppliée estabsit mon pouvoir.
PHIMANTE.	PHIMANTE.
Pour pleurer ſon amant, & ſur l'heure le ſuiure, Par l’éffet de voſtre art, Diane va reuiure, En voicy le ſpectacle, eſcoutez ſa douleur, Ouutez à cér object vos yeux, & voſtre cœur.	Pour pleurer son amant, et sur l'heure le suivre, Par l'éffet de votre art, Diane va revivre, En voici le spectacle, écoutez sa douleur, Ouvtez à cér object vos yeux, et votre cœur.
DIANE, ſur le corps de Therſandre.	DIANE, sur le corps de Thersandre.
Q'oy donc mon cher amant, tu n'és plus que pouſſiete, Ta bouche eſt ſans parole, & tes yeux ſans lumiere, Mais malgré l’attentat, qui me fait ſoupiter, Ie poſſede le bien encor de te pleuter:	QU'ois donc mon cher amant, tu n'avez plus que poussiète, Ta bouche est sans parole, et tes yeux sans lumière, Mais malgré l'attentat, qui me fait soupiter, Je possède le bien encor de te pleuter:
Coulez,coulez mes pleurs,que mon eſpoir reclame, Verſez à cét object des torrens tous de flamme, Il n'eſt rien de ſi froid dans le ſein des tombeaux, Que ne puiſſe eſchauffer le ſeu de ces ruiſſeaux:	Coulez,coulez mes pleurs,que mon espoir réclame, Versez à cet object des torrents tous de flamme, Il n'est rien de si froid dans le sein des tombeaux, Que ne puisse échauffer le seu de ces ruisseaux:
Oüy, par mes pleurs enſin, par mes cris, par mes plaines, Ie vous rallumeray cheres cendres eſteintes, Ie veux vous faire viure, & dans mon deſplaiſir, A force de ſoûpirs vous ſormer vn ſoûpir.	Oui, par mes pleurs ensin, par mes cris, par mes plaines, Je vous rallumerai chères cendres éteintes, Je veux vous faire vivre, et dans mon déplaisir, À force de soupirs vous sotmer un soupir.
Madame;	Madame;
à cet object n'eſtes vous point eſmuë, Et pouuez vous ſans peine, en ſouſtenir la veue	à cet object n'êtes vous point émue, Et pouvez -vous sans peine, en soutenir la vue
BIANE.	BIANE.
Amour ne ſçaurois-tu reſpondre à mes ſouhaits, c'eſt vn miracle amour, & n’en ſis tu iamais, N'és-tu plus dans le monde vne ſource de vie, Ne ſçaurois-tu la rendre à qui l’on l’a rauie, Des portes du treſpas qui le rappelleta, Et ſi tu ne le peux, qui des Dieux le pourra:	Amour ne saurais-tu répondre à mes souhaits, c'est un miracle amour, et n'en sis tu jamais, N'es-tu plus dans le monde une source de vie, Ne saurais-tu la rendre à qui l'on l'a ravie, Des portes du trépas qui le rappelleta, Et si tu ne le peux, qui des Dieux le pourra:
Mon cher Cleágenor, reſponds moy ie te prie, Par mes tendres ſoûpirs, par le nom de Celie;	Mon cher Cleágenor, réponds moi -même te prie, Par mes tendres soupirs, par le nom de Celie;
Quoy?	Quoi?
ie puis prononcer, & ton nom, & le mien, Et toutesſois, ô Dieux!	Il puis prononcer, et ton nom, et le mien, Et toutessois, ô Dieux!
tu ne me reſpons rien, ie voy touſiours fermez, & tes yeux, & ta bouche:	tu ne me réponds rien, ie vois toujours fermés, et tes yeux, et ta bouche:
Il eſt mort, & ces noms n’ont plus rien qui le touche, Amour Amour qui dans ce poinct n'as pû me ſecourir, si tu ne le fais viure au moins fais moy mourit;	Il est mort, et ces noms n'ont plus rien qui le touche, Amour Amour qui dans ce point n'as pu me secourir, si tu ne le fais vivre au moins fais moi mourit;
Oüy, mon fidelle amant, ie ne puis te ſuruiure, Et ie ſens qu’à la mort mon deſeſpoir me liure, -* Mon cœur pour m’animer deſormais ſans pouuoir, A perdu les eſprits qui le faiſoient mouuoir;	Oui, mon fidèle amant, Seigneur ne puis te survivre, Et été sens qu'à la mort mon désespoir me livre, * Mon cœur pour m'animer désormais sans pouvoir, A perdu les esprits qui le faisaient mouvoir;
Ie n’en puis deſia plus , heureuſe ra Celie;	Je n'en puis déjà plus , heureuse ra Celie;
Si ſon treſpas pouuoit te redonner la vie, Si ton ſommeil icy finiſſoit par le mien:	Si son trépas pouvait te redonner la vie, Si ton sommeil ici finissait par le mien:
Et ſi de tout mon ſang ie reparois le tien, 11f 2I C'en eſt fait, mon amour va rejoindre ta flammes Et i’expire ſur toy le reſte de mon ame.	Et si de tout mon sang nom réparais le tien, 11f 2I C'en est fait, mon amour va rejoindre ta flammes Et j'expire sur toi le reste de mon âme.
24	24
CLIDAMANT.	CLIDAMANT.
Et bien ce triſte object touche-il voſtre cœur,:	Et bien ce triste object touche-il votre cœur,:
es Eſtes vous intenſrole encor à ta douleurs Permettez qu’vne fois la pitié vous deſarme, 1f Ils ont aſſez ſouffert, Nymphe, rompez le charme.	es Êtes vous intensrole encor à ta douleurs Permettez qu'une fois la pitié vous désarme, 1f Ils ont assez souffert, Nymphe, rompez le charme.
FELICIE.	FELICIE.
Oüy, ie me ſens touchée, & ie plains en effet, Par leur temerité le mal qu’ils ſe ſont fait;	Oui, Seigneur me sens touchée, et ainsi plains en effet, Par leur témérité le mal qu'ils se sont fait;
Mais quoy que leur douleur appaiſe ma colete, Le charme que i’ay fait, ie ne le puis deffaire, Et pour vous dire tout, Bergers, il eſt ſe-fort, Qu’vne diuinité ſeule en rompta le ſort, C’en eſt le pacte expres pour durer dauantage, C Et ie n’y puis plus rien, quoy qu’il ſoit mon ouurage.	Mais quoi que leur douleur apaise ma colète, Le charme que j'ai fait, Madame ne le puis défaire, Et pour vous dire tout, Bergers, il est se-fort, Qu'une divinité seule en rompta le sort, C'en est le pacte exprès pour durer davantage, ÇEt ie Couverty puis plus rien, quoi qu’il soit mon ouvrage.
THIMANTE.	THIMANTE.
.	.
7I 3 268.	7I 3 268.
Quoy vous n'y pouuez rien?	Quoi vous n'y pouvez rien?
ô Dieux que dites vous!	ô Dieux que dites -vous!
Non, non, vous n’auez point quitté voltre courroux, Vous les voulez punir, & vengeant voſtre iniure En faire aux yeux de tous vn ſpectacle qui dure, Et pour mieux vous purger de cetté cruauté Vous releuez le ſort d'vne diuinité:	Non, non, vous n'avez point quitté voltre courroux, Vous les voulez punir, et vengeant votre injure En faire aux yeux de tous un spectacle qui dure, Et pour mieux vous purger de cetté cruauté Vous relevez le sort d'une divinité:
Mais les Dieux en effet, appaiſez par nos larmes, 21 Malgré voſtre entrepriſe, atreſteront vos charmes,ua Oüy, Madame, les Dieux condamnent voſtre effort, Ils ſont les ſouuerains, & les maiſtres du ſorts:	Mais les Dieux en effet, apaisez par nos larmes, 21 Malgré était entreprise, atresteront vos charmes,va Oui, Madame, les Dieux condamnent votre effort, Ils sont les souverains, et les maîtres du sorts:
Nous eſperons tout d’eux, & qu’icy dauantage Ils ne ſouffritont point le crime, & ſon ouutage.	Nous espérons tout d'eux, et qu'ici davantage Ils ne souffritont point le crime, et son ouutage.
Deeſſe qu’en ces lieux adorent les humains, Qui tenez la fortune, & le ſort en vós mains, Qui puniſſez le crime, & dont les ſoins conſeruene Dans ce charmant ſéjour les Bergers qui vous ſeruent, Voyez le triſte eſtat où l'amour a reduit Et renuetlant ſon ſoſt, rendez à cet Empire.	Deesse qu'en ces lieux adorent les humains, Qui tenez la fortune, et le sort en us mains, Qui punissez le crime, et dont les soins conservene Dans ce charmant séjour les Bergers qui vous servent, Voyez le triste état où l'amour a réduit Et renvetant son sot, rendez à cet Empire.
a.	a.
La liberté d’aymers & celle de le dire.	La liberté d'aimers et celle de le dire.
PARTHENIE.	PARTHENIE.
Hà!	Hà!
quel ſubit eſclair me vient frapper les yeux, De quercoup de conctloeromtee duna ces lieux.	quel subit éclair me vient frapper les yeux, De quércoup de conctoeromte duna ces lieux.
ISMENE.	ISMENE.
De quel nuage épaix le Ciel enfin ſe couure.	De quel nuage épaix le Ciel enfin se couvre.
FELICIE CII.	FELICIE CII.
Ie croy que le Ciel tremble, & que ſa voute s’ouure, La Deeſſe deſſend, il n’en faut point douter, Elle nous a fait ſigne, il la faut eſcouter.	Je crois que le Ciel tremble, et que sa voute s'ouvre, La Déesse dessend, il n'en faut point douter, Elle nous a fait signe, il la faut écouter.
SCENE V.	SCÈNE V.
DIANE DEESSE.	DIANE DÉESSE.
v Os vœux ſont exaucez, que rien ne vous Laz alatme, Celie & ſon amant s’aymetont à jamais, Ieurt trauaux ſont fiuis, & i’ay rompu le charm*, guus qu aatunsvelchelee arvauie deſormais.	 Ô vœux sont exaucés, que rien ne vous Laz alatme, Celie et son amant s'aimetont à jamais, Jeurt travaux sont fivis, et j'ai rompu le charm*, guus qu' aatunsvelchelee arvavie désormais.
Q.	Q.
Ils vous ont fait pitié, qu’ils vous facent enuie, Regar dez s’il eſt rien d’eſpal à leur amour.	Ils vous ont fait pitié, qu'ils vous fassent envie, Regar dé s'il est rien d'espal à leur amour.
CHERSANDRE, à Diane.	CHÉRSANDRE, à Diane.
Par quel enchantement t’a on rendu la vie?	Par quel enchantement t'a on rendu la vie?
DIANF.	DIANF.
Par quel tuchantement peux-tu reuoir le iour?	Par quel tuchantement peux-tu revoir le jour?
La Déeſſe continuë.	La Déesse continue.
le veux recompenſer leurs vertus ſans exemple, Par le prix attendu de leut affection, Pour faire leut hymen, le vais ouurir mon Templez Et vous aſſeure teus de ma protection.	le veux récompenser leurs vertus sans exemple, Par le prix attendu de lut affection, Pour faire lut hymen, le vais ouvrir mon Templés Et vous assure tus de ma protection.
