De Voſtre Majeſté,	De Votre Majesté,
Cumle Noepe somngo n cense pene jau, Sa diuine beauté captiue des Monarques, Et la mienne ne peut ſe vanter de ces marques;	Cumle Nope somngo n censé pene jau, Sa divine beauté captive des Monarques, Et la mienne ne peut se vanter de ces marques;
Priſez vous vne eſtoile aupres de ce Soleil, Dont l'eſclat est ſi grand qu'il n'a point de pareil.	Prisez -vous une étoile auprès de ce Soleil, Dont l'éclat est si grand qu'il n'a point de pareil.
TIMANDRE.	TIMANDRE.
Comment reſiſteray-ie à ſes aimables charmes?	Comment résisterai-je à ses aimables charmes?
Ha!	Ha!
ma ſœur ie ſuis pris, matatfon tena tes armes.	ma sœur Seigneur suis pris, matfon tena tes armes.
PARIS & Argant entrent,	PARIS et Argant entrent,
PARIS à Roſelie.	PARIS à Roselie.
Priué de vos faueurs, priué de tout eſpoir, Que ie ne le ſois pas du bon-heur de vous voir;	Privé de vos faveurs, privé de tout espoir, Que je ne le sois pas du bonheur de vous voir;
Ie ne puis rien pretendre à vos beautez, diuines:	Je ne puis rien prétendre à vos beautés, divines:
Iriint tiaucoup ſont gueris voyam tes medecines;	Jriint tiaucoup sont guéris voyam tes médecines;
Le mot ſeul de remede a de puiſſans appas;	Le mot seul de remède a de puissants appas;
C'eſt beaucoup de le voir, quoy qu’on n'en vſe pas.	C'est beaucoup de le voir, quoi qu'on n'en use pas.
ROSELIE luy monſtrant la Reine.	ROSELIE était montrant la Reine.
Cen enioonna peux acneni ces paigjeros Ces charmes n'ont-ils pas mes beautez effacees:	Cen enioonna peux acnéni ces paigjéros Ces charmes n'ont-ils pas mes beauté effacées:
Voyez, voyez Paris, ce miracle d’amour, Et meſpriſez la nuict quand vous voyez le iour.	Voyez, voyez Paris, ce miracle d'amour, Et méprisez la nuit quand vous voyez le jour.
PARIS reconnoiſſant la Reine.	PARIS reconnaissant la Reine.
Ha!	Ha!
Madame, eſt-ce vous?	Madame, est-ce vous?
quel accident vous porte A viſiter ces lieux, couuerte de la ſorte?	quel accident vous porte À visiter ces lieux, couverte de la sorte?
LA REINE.	LA REINE.
O de mes accidents!	Ô de mes accidents!
le pire & le dernier;	le pire et le dernier;
Paris nous reconnoist:	Paris nous reconnaît:
mais il faut tout nier;	mais il faut tout nier;
Sçauez vous qui ie ſuis?	Savez -vous qui ie suis?
8 la plus parfaite Reine Qui iamais ait porté le nom de Souueraine;	8 la plus parfaite Reine Qui jamais ait porté le nom de Souveraine;
LA REINE.	LA REINE.
Uous me cognoiſſez mal, ce nom ne m'eſt point deu, Et vous eſtes celuy que ie n'ay iamais veu;	Uous me connaissez mal, ce nom ne m'est point dev, Et vous êtes celui que ici n'ai jamais vu;
ARIS.	ARIS.
Ne diſsimulez, point, vertueuſe Princeſſe, E poric Scomtomo puu furcur qui vous preſſe, Ie rendray par ma mort vostre eſprit adoucy, Si c'est pour vous vanger que vous estes icy;	Ne dissimulez, point, vertueuse Princesse, E poric Sutomtomo pu furcur qui vous presse, Je rendrai par ma mort votre esprit adouci, Si c'est pour vous venger que vous êtes ici;
LA REINE.	LA REINE.
Ie ne me vange point, n'eſtant point offenſee.	Je ne me venge point, n'étant point offensée.
AROARI.	AROARI.
De quelle maladie eſt ſon ame bleßee?	De quelle maladie est son âme blessee?
Elle a moins de raiſon, ne vous connoiſſant plus, Que vous n'enauez, eu l'offenſant d’vn refus.	Elle a moins de raison, ne vous connaissant plus, Que vous n'enauez, eu l'offensant d'un refus.
PARIS.	PARIS.
Madame, hé!	Madame, hé!
quel espoir en ces lieux vous ameine?	quel espoir en ces lieux vous âmeine?
Quel ſujet vous oblige à prendre tant de peine?	Quel sujet vous oblige à prendre tant de peine?
Ame CAiT.	Âme CAiT.
N'en eſperez plus rien, ſes fœux ſont refroidis, Elle ne connoiſt plus ſonamant de iadis.	N'en espérez plus rien, ses fœux sont refroidis, Elle ne connaît plus sonamant de jadis.
LA REINE.	LA REINE.
Ie ne vous vy iamais:	Je ne vous vis jamais:
Dieux!	Dieux!
quelle freneſie?	quelle frénésie?
TIMANDRE.	TIMANDRE.
Au Puris!	Au Puris!
que l’amour trouble la fantaſie;	que l'amour trouble la fantaisie;
Ma ſœur vous ayant mis à ce terme fatal, Ie blaſme ſa rigueur, & ie plains voſtre mal.	Ma sœur vous ayant mis à ce terme fatal, Je blâme sa rigueur, et toujours plains votre mal.
ARIS.	ARIS.
Non Monſieur, ie ſuis ſain, de ſens & de courage, Et vous ne deuez pas m'outrager dauantage.	Non Monsieur, Seigneur suis sain, de sens et de courage, Et vous ne devez pas m'outrager davantage.
TIMANDRE.	TIMANDRE.
Vne foible raiſon produit voſtre courroux, Ce n'eſt pas d’auiourd’huy que l’amour fait des foux,	Une faible raison produit votre courroux, Ce n'est pas d'aujourd'hui que l'amour fait des foux,
ARIS.	ARIS.
N'irritez point Timandre, vne iuste cholere, Si l’amour fait des foux, mon bras les ſçait deffaire.	N'irritez point Timandre, une juste colère, Si l'amour fait des foux, mon bras les Sait défaire.
TIMANDRE.	TIMANDRE.
Uous le deueZ donc craindre.	Vous le devez donc craindre.
PARIS.	PARIS.
Ha!	Ha!
c'eſt trop m'outrager, L'honneur mal gré l'amour m'oblige à me vanger.	c'est trop m'outrager, L'honneur mal gré l'amour m'oblige à me venger.
Sonono.	Sonono.
LE ROY entre auec des ſeruiteurs, & les retenant, dit:	LE ROY entre avec des serviteurs, et les retenant, dit:
Où coureZ vous, animeZ de la ſorte,	Où courez -vous, animez de la sorte,
IS.	IS.
Sire, vn iuſte ſujet à ce courroux me porte, Timandre m'a tenu des mots iniurieux, Qui du plus moderé feroient vn furieux.	Sire, un juste sujet à ce courroux me porte, Timandre m'a tenu des mots injurieux, Qui du plus modéré feraient un furieux.
LE ROY.	LE ROY.
Qui l'oblige à ces mots?	Qui l'oblige à ces mots?
TIMANDRE monſtrant la Reine.	TIMANDRE montrant la Reine.
Vous voyez, ceste belle, Sa ſeule occaſion cauſe noſtre querelle.	Vous voyez, cette belle, Sa seule occasion cause nôtre querelle.
LE ROY, Voyant la Reine.	LE ROY, Voyant la Reine.
Ha Ciel!	Ha Ciel!
en tous les lieux qu’eſclaire le Soleil, Peut-on voir vn obiect à celuy-cy pareil?	en tous les lieux qu'éclaire le Soleil, Peut-on voir un objet à celui-cy pareil?
La celeſte beauté!	La céleste beauté!
les adorables charmes!	les adorables charmes!
Qu'vne iuſte raiſon vous fait prendre les armes?	Qu'une juste raison vous fait prendre les armes?
Et qu'vn heureux eſpoir enflamme vos eſprits, Si ce diuin obiect en doit eſtre le prix!	Et qu'autre heureux espoir enflamme vos esprits, Si ce divin objet en doit être le prix!
Que ces yeux ſont charmans!	Que ces yeux sont charmants!
qui veid iamais l’aurore Auoir vn teint ſi frais ſur le riuage More!	qui veid jamais l'aurore Avoir un teint si frais sur le rivage More!
Mais c’eſt trop, Roſelie, eſtimer ſes appas, Tu ne ſpaurois memenure, & ne t'offenſer pas.	Mais c'est trop, Roselie, estimer ses appas, Tu ne spaurais mémenure, et ne t'offenser pas.
ARIS.	ARIS.
Vous dépeignant vn iour la beauté de la Reine, Qui vous cauſoit alors vne agreable peine;	Vous dépeignant un jour la beauté de la Reine, Qui vous causait alors une agréable peine;
Mon diſcours refroidit voſtre amoureux ſoucy:	Mon discours refroidit votre amoureux souci:
Sire, deſireZ vous nous refroidir außi.	Sire, désirez -vous nous refroidir aussi.
LE ROY.	LE ROY.
Alors que tu me fis cét excés de loüange, Tu parlois d’vne femme, & ie parle d’vn ange;	Alors que tu me fis cet excès de lange, Tu parlois d'une femme, et été parle d'Hélange;
Si la Reine auoit eu les charmes que ie voy.	Si la Reine avait eu les charmes que je vois.
I'euſſe chery l’honneur de viure ſous ſa loy.	J'eusse chéri l'honneur de vivre sous sa loi.
Pardonne, Roſelie, & priſe ce viſage, La vernt nons purte a tenrivlangage.	Pardonne, Roselie, et prise ce visage, La vernt nons purte a tenrivlangage.
I'eſleue cette belle en vn extreme point:	J'élève cette belle en un extrême point:
Mais ce qu'elle reçoit ie ne te l’oſte point.	Mais ce qu'elle reçoit ie ne te l'ôte point.
Cammifumnue tmefurs que uy mucrs aſſemble On y peut bien trouuer vos deux beauteZ enſemble.	Cammifumnue tmefurs que ui mucrs assemble On y peut bien trouver vos deux beautés ensemble.
ARIS.	ARIS.
Sire, ſi cette belle estoit d'extraction, A meriter l’honneur de vostre affection.	Sire, si cette belle était d'extraction, À mériter l'honneur de votre affection.
LE J OY Connoiſſant Roſelie à mes vœus ſi cruelle,	LE IY Connaissant Roselie à mes vœus si cruelle,
3.	3.
Sire, adreſſeZ luy donc vos ſouſpirs librement, Et ne differez, point cét heureux changement.	Sire, adressez Seigneur donc vos soupirs librement, Et ne différez, point cet heureux changement.
Apres l’auoir traittee auec tant d’iniustice, Ses baiſers ſeulement ſeront voſtre ſupplice, Le Ciel à de tout temps voſtre Hymen reſolu, Reconnoiſſez icy ſon pouuoir abſolu:	Après l'avoir traite auec tant d'injustice, Ses baisers seulement seront votre supplice, Le Ciel à de tout temps votre Hymen résolu, Reconnaissez ici son pouvoir absolu:
LE ROY.	LE ROY.
Que tu me faits languir, rends ma doute eſclaircie?	Que tu me faits languir, rends ma doute éclaircie?
S.	S.
C'eſt la chaſte beauté qui regne en Dalmatie.	C'est la chaste beauté qui règne en Dalmatie.
LE ROY.	LE ROY.
O Dieux!	Ô Dieux!
que m’as tu dit, beau chef.	que m'as tu dit, beau chef.
d'œuure des Cieux?	d'œuvre des Cieux?
M’eſt-il permis icy de paroiſtre à vos yeux?	M'est-il permis ici de paraître à vos yeux?
LA REINE.	LA REINE.
Puiſqu’il n'eſt plus ſaiſon de celer ma naiſſance, Que Paris m’a trahie, en ma reconnoiſſance;	Puisqu'il n'est plus saison de celer ma naissance, Que Paris m'a trahie, en ma reconnaissance;
Au moins il m'eſt permis de parler librement, Et ie vous puis, Monſieur, accuſer iustement:	Au moins il m'est permis de parler librement, Et grands vous puis, Monsieur, accuser justement:
Ie puis à vostre humeur reprocher mon iniure, Et vous donner les noms d'ingrat & de pariure.	Je puis à votre humeur reprocher mon injure, Et vous donner les noms d'ingrat et de parjure.
LE ROY à genoux.	LE ROY à genoux.
Pardonne à ce volage, adorable beauté Puiſqu’il a reconnu ſon infidelité;	Pardonne à ce volage, adorable beauté Puisqu'il a reconnu son infidélité;
Les charmes de ce ſein couurent vn cœur barbare, Où tu dois excuſer vn mal que ie repare;	Les charmes de ce sein couvrent un cœur barbare, Où tu dois excuser un mal que ie repare;
I’eſteins en ta faueur ma premiere amitié, Si ie dois eſperer d’attirer ta pitié, A tes chastes attraits ma liberté s’engage, Ie bruſle d’accomplir nostre heureux mariage.	J'éteins en ta faveur ma première amitié, Si ie doisrendre d'attirer ta pitié, À tes chastes attraits ma liberté s'engage, Je brûle d'accomplir notre heureux mariage.
Mais qui te fait couurir tes rares ornemens Du nom de Pelerine, & de ſes veſtemens?	Mais qui te fait couvrir tes rares ornements Du nom de Pelerine, et de ses vêtements?
LA REINE.	LA REINE.
La curioſité de voir cette merueille, Qui ſe peut aſſeurer de viure ſans pareille?	La curiosité de voir cette merveille, Qui se peut assurer de vivre sans pareille?
Et par qui ie n'eſtois qu'vn obiect de meſpris, Eſt l’vnique ſujet du trauail que i’ay pris.	Et par qui ici n'étais qu'autre objet de mépris, Est l'unique sujet du travail que j'ai pris.
Mais le ſort me trahit, Paris m’a reconnué, Et comme il a paru, ſurpris de ma venuë;	Mais le sort me trahit, Paris m'a reconnué, Et comme il a paru, surpris de ma venue;
Ce ſeigneur le gauſſant, a ſon courroux eſmeu, Ils en venoient aux mains quand nous vous auons veu:	Ce seigneur le gaussant, a son courroux ému, Ils en venaient aux mains quand nous vous avons vu:
Mais que ie ſuis confuſe en ces metamorphoſes?	Mais que ici suis confuse en ces métamorphoses?
Dois-ie croire, Monſieur, ce changement des choſes?	Dois-je croire, Monsieur, ce changement des choses?
Et dois-ie pas encore auoir l’eſprit douteux, Apres auoir receu des affronts ſi honteux.	Et dois-je pas encore avoir l'esprit douteux, Apres avoir reçu des affronts si honteux.
Me croyez vous ſans yeux de m'enuoyer ce frere, Si diſſemblable à vous, ſi peu digne de plaire:	Me croyez vous sans yeux de m'envoyer ce frère, Si dissemblable à vous, si peu digne de plaire:
Et iugieZ vous mon cœur ſi capable d’amour, «que ue enein jes ouus, & teſpouſer vn tour.	Et jugiez -vous mon cœur si capable d'amour, «que ue enein es ouus, et tespouser un tour.
LE ROY.	LE ROY.
Son merite, Madame, a des forces exquiſes;	Son mérite, Madame, a des forces exquises;
Il a de mille cœurs aſſeruy les frandiſes;	Il a de mille cœurs asservi les frandises;
Qu'on l'ameine en ces lieux, & qu’il viue content, I'accorde à ſes deſirs l’obiect qui luy plaist tant.	Qu'on l'amène en ces lieux, et qu'il vive content, J'accorde à ses désirs l'objet qui lui plaît tant.
4.	4.
OJELIL.	OJELIL.
O bon-heur ſans pareil!	Ô bonheur sans pareil!
ô Prince magnanime!	ô Prince magnanime!
De rendre ſatisfait nostre eſpoir legitime.	De rendre satisfait notre espoir légitime.
TIMANDRE.	TIMANDRE.
O l’agreable iour!	Ô l'agréable jour!
que ce déguiſement Nous comble tous d’honneur & de contentement?	que ce déguisement Nous comble tous d'honneur et de contentement?
ARGANP.	ARGANP.
Ouy ſi mon maistre & moy ſommes hors de ce nombre, Ayans pù tout auoir nous n’auons que de l’ombre.	Oui si mon maître et moi sommes hors de ce nombre, Aïant pu tout avoir nous n'avons que de l'ombre.
Si rien que ces beautez ne renti cos vœus contens, Il ſe peut aſſeurer de coucher ſeul long temps.	Si rien que ces beautés ne renty cos vœus contents, Il se peut assurer de coucher seul long temps.
ALCANDRE amené par des Gardes.	ÀLCANDRE amené par des Gardes.
Ogier.	Ogier.
ALCANDRE à la Reine.	ÀLCANDRE à la Reine.
Madame, pardonnez d l’amour ſans pareille, Qu'entretient en mon cœur cette rare merueille, Quoy qu'on m'euſt obligé de vous offrir ma foy, Ie n'ay peu violer celle qu'elle a de moy;	Madame, pardonnez d 'amour sans pareille, Qu'entretient en mon cœur cette rare merveille, Quoi qu'on m'eût obligé de vous offrir ma foi, Je n'ai peu violer celle qu'elle a de moi;
L’homme que vous voyez a la feinte conceuë, Il parut ſouz mon nom, & vous fuſtes deceuë;	L'homme que vous voyez a la feinte conçue, Il parut sous mon nom, et vous fûtes déçue;
Il iugeoit aisément dans le deſſein qu'il prit, Qu'il n'eſtoit pas de grace à charmer voſtre eſprit.	Il jugeait aisément dans le dessein qu'il prit, Qu'il n'était pas de grâce à charmer votre esprit.
GIER.	GIER.
O voila bien payer mon ſeruice fidelle, Si mon viſage est laid, au moins ma taille est belle;	Ô voilà bien payer mon service fidèle, Si mon visage est laid, au moins ma taille est belle;
Et ſi ſa Maieſté parle ſans fiction, Elle a ſenty pour moy quelque inclination.	Et si sa Majesté parle sans fiction, Elle a senti pour moi quelque inclination.
LA REINE, en riant.	LA REINE, en riant.
Quelle Dame à vos yeux ne ſeroit pas atteinte, Monſieur, ie me doutay d’vne pareille feinte, Voyant la maiesté de ce ieune Seigneur, Certain inſtinct me fit luy rendre de l’honneur.	Quelle Dame à vos yeux ne serait pas atteinte, Monsieur, je me doutai d'une pareille feinte, Voyant la maiesté de ce jeune Seigneur, Certain instinct me fit lui rendre de l'honneur.
LE ROY.	LE ROY.
Mon frere, beniſſeZ cette heureuſe iournee, Où cette belle fille à vos vœus eſt donnee:	Mon frère, bénissez cette heureuse journe, Où cette belle fille à vos vœus est donnée:
Roſelie eſt à vous, poſſedez, ſa beauté, Et ie ſeray, Madame, à voſtre Maiesté, Si ie dois eſperer d’obtenir ceſte gloire, Si des crimes paſſeZ vous perdeZ la memoire.	Roselie est à vous, possédez, sa beauté, Et je serai, Madame, à votre Majesté, Si grande dois espérer d'obtenir cette gloire, Si des crimes passez vous perdez la mémoire.
1 T iij	1 T ijà
LA REINE.	LA REINE.
Les reproches, Monſieur, ſont icy ſuperflus, Et ie veux oublier ce qui ne ſera plus;	Les reproches, Monsieur, sont ici superflus, Et tu veux oublier ce qui ne sera plus;
L’honneur veut que ie ſois à vos vœus acceßible, Afin de reparer vn affront ſi ſenſible;	L'honneur veut que ici sois à vos vœus accesible, Afin de réparer un affront si sensible;
Ie romps tous mes deſſeins, & vous rends vos liens, Enuoyons là deſſus vers les Dalmatiens.	Je romps tous mes desseins, et vous rends vos liens, Envoyons là -dessus vers les Dalmatiens.
ALCANDRE.	ÀLCANDRE.
Comment ſatisferay-ie à ce plaiſir extréme?	Comment satisferai-je à ce plaisir extrême?
