M BimN	M MimN
O ça voila encore la pauvre remme en jeu.	Ô ça voilà encore la pauvre remme en jeu.
BERALDE.	BÉRALDE.
Hé bien oüy, mon Frere, c’eſt d’elle dont je veux parler;	Hé bien oui, mon Frère, c'est d'elle dont je veux parler;
& non plus que l’enteſtement des mredeems, je ne purs lappuamter celuy que vous avez pour elle.	et non plus que l'entêtement des mredeems, je ne purs lapuamter celui que vous avez pour elle.
ARGAN.	ARGAN.
Vous ne la connoiſſez pas, mon Frere, c’eſt une femme qui a trop d’amitié pour moy:	Vous ne la connaissez pas, mon Frère, c'est une femme qui a trop d'amitié pour moi:
Demandez-luy les carreſſes qu’elle me fait;	Demandez-lui les carresses qu'elle me fait;
à moins que de les voir on ne le croiroit pas.	à moins que de les voir on ne le croirait pas.
TOINETTE.	TOINETTE.
Monſieur a raiſon, & on ne peut pas concevoir l’amitie qu’elle a pour luy;	Monsieur a raison, et on ne peut pas concevoir l'amitié qu'elle a pour lui;
Voulez-vous que je vous faſſe voir comme Madame aime Monſieur.	Voulez-vous que je vous fasse voir comme Madame aime Monsieur.
Comment.	Comment.
ARGAN.	ARGAN.
POINETTE.	POINETTE.
Eh Monſieur, laiſſez-moy faire, ſouffrez que je Je detrompe, & que je luy fane von ſon bec Jaune.	Eh Monsieur, laissez-moi faire, souffrez que je Je détrompe, et que je te fane von son bec Jaune.
ARGAN.	ARGAN.
Que faut-il faire pour cela?	Que faut-il faire pour cela?
TOINETTE.	TOINETTE.
J'entends Madame qui revient de Ville;	J'entends Madame qui revient de Ville;
vous Monſieur, cachez-vous dans ce petit endroit, & prenez garde ſur tout que l’on ne vous voye;	vous Monsieur, cachez-vous dans ce petit endroit, et prenez garde sur tout que l'on ne vous voie;
approchons voſtre chaiſe, mettez-vous dedans tout de voſtre long, & contrefaites le mort.	approchons votre chaise, mettez-vous dedans tout de votre long, et contrefaites le mort.
Vous verrez par le regret qu’elle témoignera de voſtre perte, l’amitié qu’elle vous porte:	Vous verrez par le regret qu'elle témoignera de votre perte, l'amitié qu'elle vous porte:
La voicy.	La voici.
ARGAN.	ARGAN.
Oüy, oüy, oüy, oüy;	Oüy, oui, oui, oui;
Bon, bon, bon, bon.	Bon, bon, bon, bon.
SCENE X.	SCÈNE X.
CCLINE, TOINETTE, ARGAN, BERALDE.	CCLINE, TOINETTE, ARGAN, BERALDE.
TOINETTE.	TOINETTE.
H Ciel!	H Ciel!
quelle cruelle avanture?	quelle cruelle aventure?
quel malheur impreveu vient de m’arriver?	quel malheur imprévu vient de m'arriver?
que feray je maieureule?	que ferai je maiureule?
Et comment annoncer à Madame de ſi meſchantes nouvelles!	Et comment annoncer à Madame de si méchantes nouvelles!
Ah, ah.	Ah, ah.
BELINE.	BÉLINE.
Qu’as-tu, Toinette?	Qu'as-tu, Toinette?
TOINETTE.	TOINETTE.
Ah Madame!	Ah Madame!
quelle perte venez-vous de faire, Monſieur vient de mourir tout à l’heure Iapitement;	quelle perte venez-vous de faire, Monsieur vient de mourir tout à l'heure Japitement;
j’eſtois leule ley, & il n’y avoit perſonne pour le ſecourir.	j'étais leule lei, et il n'y avait personne pour le secourir.
BELINE.	BÉLINE.
Quoy, mon mary eſt mort?	Quoi, mon mari est mort?
TOINETTE.	TOINETTE.
Helas!	Hélas!
oüy, le pauvre homme deffunt eſt treſpaſſé.	oui, le pauvre homme défunt est trépassé.
BELINE.	BÉLINE.
Le Ciel en ſoit loüé, me voila deli vrée d’un grand fardeau:	Le Ciel en soit loué, me voilà déli vrée d'un grand fardeau:
que tu es folle, Toinette, de pleurer?	que tu es folle, Toinette, de pleurer?
TOINETTE.	TOINETTE.
Moy, Madame, & je croyois qu’il falluſt fleurer.	Moi, Madame, et je croyais qu'il fallût fleurer.
K iiij	K iiij
BELINE.	BÉLINE.
Bon, & je voudrois bien ſçavoir pour quells taiſon ais-je fait une ſi grande perte;	Bon, et je voudrais bien sçavoir pour quells taison ais-je fait une si grande perte;
quoy, pleurer un homme mal baſty, mal fait, ſans eſprit, de mauvaiſe humeur, fort âgé, toûjours touſſant, mouchant, crachant, reniflant, faſcheux, ennuyeux, incommode à tout le monde, grondant ſans ceſſe & ſans raiſon, toûjours un Lavement ou une Medecine dans le corps, de meſchante odeur;	quoi, pleurer un homme mal bâti, mal fait, sans esprit, de mauvaise humeur, fort âgé, toujours toussant, mouchant, crachant, reniflant, fâcheux, ennuyeux, incommode à tout le monde, grondant sans cesse et sans raison, toujours un Lavement ou une Médecine dans le corps, de méchante odeur;
il faudroit que je n’euſſe pas le heno ceuman.	il faudrait que je n'eusse pas le heno ceuman.
TOINETTE.	TOINETTE.
Voila une belle Oraiſon Funebre.	Voilà une belle Oraison Funèbre.
BELINE.	BÉLINE.
Je ne pretens pas avoir paſſé la plus grande partie de ma jeuneſſe avec luy ſans y proſiter de quelque choſe;	Je ne prétends pas avoir passé la plus grande partie de ma jeunesse avec lu sans y prositer de quelque chose;
& il faut, Toinette, que tu m’aides à bien faire mes affaires ſeurement, ta revompenle ele leule.	et il faut, Toinette, que tu m'aides à bien faire mes affaires sûrement, ta revompenle éle ver.
TOINETTE.	TOINETTE.
Ah!	Ah!
Madame, je n’ay garde de manquer à mon devoir.	Madame, je n'ai garde de manquer à mon devoir.
BELINE.	BÉLINE.
Puiſque tu m’aſſeures que ſa mort n’eſt ſçeuë de perſonne, ſaiſiſſons-nous de l’argent, & de tout ce qu’il y a de meilleur;	Puisque tu m'assures que sa mort n'est sue de personne, saisissons-nous de l'argent, et de tout ce qu'il y a de meilleur;
portons-le dans lon fet, & quand j’auray tout mis a couvert, nous ferons enſorte que quelqu’antre l’y trouve mort, & ainſi on ne ſe doutera point de ce que nous aurons fait.	portons-le dans lon set, et quand j'aurai tout mis à couvert, nous ferons ensorte que quelqu'antre l'y trouve mort, et ainsi on ne se doutera point de ce que nous aurons fait.
Il faut d’abord que je luy prenne ſes clefs qui ſont dans cette poche.	Il faut d'abord que je mou renne ses clefs qui sont dans cette poche.
ARGAN.	ARGAN.
Tout beau, tout beau, Madame la carogne;	Tout beau, tout beau, Madame la carogne;
ah, ah, je ſuis ravy d’avoir entendu le bel Eloge que vous avez fait de moy;	ah, ah, je suis ravi d'avoir entendu le bel Éloge que vous avez fait de moi;
cela m’empeſchera dr faire bien des choſes.	cela m'empêchera dr faire bien des choses.
TOINETTE.	TOINETTE.
Quoy, le deffunt n’eſt pas mort ?	Quoi, le défunt n'est pas mort ?
BERALDE.	BÉRALDE.
Ire bienymon Piere, vojen roueu preſens comme voſtre femme vous aime.	Ire bienimon Pière, vojen roueu presens comme votre femme vous aime.
ARGAN.	ARGAN.
Ah vræyment ouy, je le vois, je ne le vois que trop.	Ah vræment oui, je le vois, je ne le vois que trop.
TOINETTE.	TOINETTE.
Je vous jure que j’ay bien eſté trompée, & ja n’euſſe jamais creu cela.	Je vous jure que j'ai bien été trompée, et j 'eusse jamais cru cela.
Mais j’apperçois voſtre fille, retournez-vous-en où vous eſtiez;	Mais j'aperçois votre fille, retournez-vous-en où vous étiez;
& vous remettez dans voſtre chaire, il eſt bon auſſr de l’éprouver, & ainſi vous connoiſtrez les ſentimens de toute voſtre famille.	et vous remettez dans votre chaire, il est bon aussi de l'éprouver, et ainsi vous connaîtrez les sentiments de toute votre famille.
ARGAN.	ARGAN.
Tdas Iallon, ed ds lahon.	Tdas Jallon, ed as lahon.
SCENE XI.	SCÈNE XI.
ANGELIQUE, TOINETTE, ARGAN, BERALDE.	ANGELIQUE, TOINETTE, ARGAN, BERALDE.
TOINETTE.	TOINETTE.
H quel eſtrange accident?	H quel étrange accident?
mon pauvre AMaiſtre eſt mort, que de larmes, que de pleurs il nous va couſter!	mon pauvre AMaître est mort, que de larmes, que de pleurs il nous va coûter!
quel deſaſtre, s’il eſtoit encore mort d’une autre maniere, on n’en auroit pas tant de regret;	quel désastre, s'il était encore mort d'une autre manière, on n'en aurait pas tant de regret;
ah que j’en ay de deplaiſir, ha, ha, ha.	ah que j'en ai de déplaisir, ha, ha, ha.
ANGELIQUE.	ANGELIQUE.
Qu’y a-il de nouveau, Toinette, pour te cauſez tant de gemiſſements?	Qu'y a-il de nouveau, Toinette, pour te causez tant de gémissements?
TOINETTE.	TOINETTE.
Helas, voſtre Pere eſt mort!	Hélas, votre Père est mort!
ANGRCIQUE.	ANGRCIQUE.
Mon Pere eſt mort, Toinette.	Mon Père est mort, Toinette.
TOINETTE.	TOINETTE.
Ah il ne l’eſt que trop, & il vient d’expirer entre mes bras d’une foibleſſe qu’il luy a priſe.	Ah il ne l'est que trop, et il vient d'expirer entre mes bras d'une faiblesse qu'il lui ne prise.
Tenez, voyez-le, le voila tout eſtendu dans ſa chaize.	Tenez, voyez-le, le voilà tout étendu dans sa chaize.
Ha, ha.	Ha, ha.
ANGELIQUE.	ANGELIQUE.
Mon Pere eſt mort, & juſtement dans le temps où il eſtoit en colere contre moy, par la reſiſtance que je luy ay faite tantoſt, en refuſant le Mary qu’il me vouloit donner;	Mon Père est mort, et justement dans le temps où il était en colère contre moi, par la résistance que je lui ai faite tantôt, en refusant le Mari qu'il me voulait donner;
que devienderay-je, miſerable que je luis, & comment cacher une choſe qui a paru devant tant de pellonnes ?	que devienderai-je, misérable que je luis, et comment cacher une chose qui a par devant tant de pellonnes ?
SCENE DERNIERE.	SCÈNE DERNIÈRE.
CLEANTE, ANGELIQUE, TOINETTE, ARGAN, DENMEDE.	CLEANTE, ANGELIQUE, TOINETTE, ARGAN, DENMEDE.
CLEANTE.	CLÉANTE.
Uſte Ciel que vois-je, dites, qu’avez-vous, J belle Angelique.	OUste Ciel que vois-je, dites, qu'avez-vous, J belle Angélique.
ANGELIQUE.	ANGELIQUE.
Ah Cleante, ne me parlez plus de rien, mon Pere eſt mort, il faut vous dire adieu pour toûjours, & nous ſeparer entierement l’un de l’autre.	Ah Cléante, ne me parlez plus de rien, mon Père est mort, il faut vous dire adieu pour toujours, et nous séparer entièrement l'un de l'autre.
CLEANTE.	CLÉANTE.
Quelle infortune, grand Dieu!	Quelle infortune, grand Dieu!
helas, apres Ia demande que j’avois prié voſtre Oncle de luy faire de vous, je venois moy-meſme me jetter a les pieus pour falre un derer enort aſin de vous obtenir.	hélas, après Ia demande que j'avais prié votre Oncle de parler faire de vous, je venais moi-même me jeter a les pieus pour falre un dérer en assin de vous obtenir.
ANGELIQUE.	ANGELIQUE.
Le Ciel ne l’a pas voulu, vous devez comme moy vous ſoûmettre à ce qu’il veut, & il faut vous reſoudre de me quitter pour toûjours.	Le Ciel ne l'a pas voulu, vous devez comme moi vous soumettre à ce qu'il veut, et il faut vous résoudre de me quitter pour toujours.
Oüy, mon Pere, puiſque j’ay eſté aſſez infortunée pour ne pas faire ce que vous vouliez de moy pendant voſtre vie, du moins ay-je deſſein de le reparer apres voſtre mort;	Oui, mon Père, puisque j'ai été assez infortunée pour ne pas faire ce que vous vouliez de moi pendant votre vie, du moins ai-je dessein de le réparer après vôtre mort;
je veux executer vôtre derniere volonté, & je vais me retirer dans di couvent pour y pleurer voſtre mort pendant tout le reſte de ma vie;	je veux exécuter votre dernière volonté, et je vais me retirer dans di couvent pour y pleurer votre mort pendant tout le reste de ma vie;
Oüy, mon cher Pere, ſouftrez que je vous en donne icy les dernieres aſſeurances, & que je vous embraſſe.	Oui, mon cher Père, sousftrez que je vous en donne ici les dernières assurances, et que je vous embrasse.
ARGAN.	ARGAN.
Ah, ma Fille.	Ah, ma Fille.
ANGELIQUE.	ANGELIQUE.
Ha, ha, ha, ha!	Ha, ha, ha, ha!
ARGIIT.	ARGIIT.
Viens, ma chere Enfant, que je te baiſe;	Viens, ma chère Enfant, que je te baise;
va, je ne ſuis pas mort, je vois que tu es ma Fille, & je ſuis bien-aiſe de reconnoiſtre ton bon naturel.	va, je ne suis pas mort, je vois que tu es ma Fille, et je suis bienaise de reconnaître ton bon naturel.
ANGELIQUE.	ANGELIQUE.
Mon Pere, permettez que je me mette à genoux devant vous pour vous conjurer que ſi vous ne me voulez pas faire la grace de me donner Cleante pour Eſpoux, ne me refuſez pas celle de ne m’en pas donner un avec lequel je ne puiſſe vivre.	Mon Père, permettez que je me mette à genoux devant vous pour vous conjurer que si vous ne me voulez pas faire la grâce de me donner Cléante pour Époux, ne me refusez pas celle de ne m'en pas donner un avec lequel je ne puisse vivre.
CLEANTE.	CLÉANTE.
Eh Monſieur, ſerez-vous inſenſible à tant d'aliour;	Eh Monsieur, serez-vous insensible à tant d'aljour;
& ne peut-on pas vous attendrir par aucun endroit?	et ne peut-on pas vous attendrir par aucun endroit?
BERALDE.	BÉRALDE.
Mon Frere, avez-vous à conſulter, & ne devriez-vous pas deja l’avoir dohhée aux vœux de Monſieur.	Mon Frère, avez-vous à consulter, et ne devriez-vous pas déjà l'avoir dohhée aux vœux de Monsieur.
TOINETTE.	TOINETTE.
Comment:	Comment:
vous reſiſterez a de ſi grandes marques de tendreſſe;	vous résisterez a de si grandes marques de tendresse;
là Monſieur, rendezvous.	là Monsieur, rendezvous.
ARGAN.	ARGAN.
He bien, qu’il ſe faſſe Medecin, & je luy donne ma Fille.	He bien, qu'il se fasse Médecin, et je lui donne ma Fille.
CLEANTE.	CLÉANTE.
Oujada, Momeur, jore reua bien;	Oujada, Momeur, jore reva bien;
Apociquaire meſme ſi vous voulez:	Apociquaire même si vous voulez:
Je ferois encore des choſes bien plus difficiles pour avoir la bells Angelique.	Je ferais encore des choses bien plus difficiles pour avoir la bels Angélique.
BERALDE.	BÉRALDE.
Mais, mon Frere, il me vient une penſee;	Mais, mon Frère, il me vient une pensée;
faites-vous Medecin vous-meſme plûtoſt que Monſieur.	faites-vous Médecin vous-même plutôt que Monsieur.
ARGAN.	ARGAN.
Moy Medecin?	Moi Médecin?
BERALDE.	BÉRALDE.
Oüy vous, c’eſt le veritable moyen de vous bien porter;	Oui vous, c'est le véritable moyen de vous bien porter;
& il n’y a aucune Maladie ſi redoutable qu’elle ſoit, qui aye l’audace de s’attaquer à un Medecin.	et il n'y a aucune Maladie si redoutable qu'elle soit, qui aie l'audace de s'attaquer à un Médecin.
TOINETTE	TOINETTE
TOINETTE.	TOINETTE.
Tenez, Monſieur, voſtre barbe y peut beaucoup, & la barbe fait plus de la moitié d’un Medecin.	Tenez, Monsieur, votre barbe y peut beaucoup, et la barbe fait plus de la moitié d'un Médecin.
ARGAN.	ARGAN.
voua vous mocquer, je erois, o je ne ſçais pas un ſeul mot de Latin, comment donc faire?	voua vous moquer, je erais, ou je ne sais pas un seul mot de Latin, comment donc faire?
BERALDE.	BÉRALDE.
Voila une belle raiſon:	Voilà une belle raison:
allez, allez, il y en a parmy eux qui en ſçavent encore moins que vous, & lors que vous aurez la robe & le bonnet, vous en ſçaurez plus qu’il ne vous en faut.	allez, allez, il y en a parmi eux qui en savent encore moins que vous, et lors que vous aurez la robe et le bonnet, vous en saurez plus qu'il ne vous en faut.
CLLANIL En tout cas, me voila preſt à faire ce que l’on voudra.	CLANIL En tout cas, me voilà prêt à faire ce que l'on voudra.
ARGAN.	ARGAN.
Mais, mon Frere, cela ne ſe peut faire ſitoſt.	Mais, mon Frère, cela ne se peut faire sitôt.
BERALDE.	BÉRALDE.
Tout à preſent ſi vous voulez, & j’ay une Faculte de mes amis fort prés d’icy, que j’envérray querir pour celebrer la Ceremonie, allez vous preparer ſeulement, toutes choſes ſeront bien-toſt preſtes.	Tout à présent si vous voulez, et j'ai une Faculte de mes amis fort près d'ici, que j'enverai quérir pour célébrer la Cérémonie, allez vous préparer seulement, toutes choses seront bientôt prêtes.
ARGAN.	ARGAN.
Allons, voyons, voyons.	Allons, voyons, voyons.
CLEANTE.	CLÉANTE.
Quel eſt donc voſtre deſſein?	Quel est donc votre dessein?
& que voulezvous dire avec cette Faculté de vos amys?	et que voulezvous dire avec cette Faculté de vos amis?
BERALDE.	BÉRALDE.
C’eſt un Intermede de la reception d’un Medecin que des Comediens ont repreſenté ces jours paſſez, je les avois fait venir pour la joüer ce ſoir icy devant nous, afin de nous bien divertir, & je pretens que mon Frere y jouë le premier Perſonnage.	C'est un Intermède de la réception d'un Médecin que des Comédiens ont représenté ces jours passés, je les avais fait venir pour la jouer ce soir ici devant nous, afin de nous bien divertir, et je prétends que mon Frère y joue le premier Personnage.
ANGELIQUE.	ANGELIQUE.
Mais mon Oncle;	Mais mon Oncle;
il me ſemble que c’eſt ſe railler un peu fortement de mon Pere.	il me semble que c'est se railler un peu fortement de mon Père.
BERALDE.	BÉRALDE.
Ce n’eſt pas tant le railler que de s’accommoder à ſon humeur, outre que pour luy oſter tout ſujet de ſe faſcher quand il aura reconnû la piece que nous luy joüons, nous pouvons y prendre chacun un rolle, & joüer en meſme temps que luy.	Ce n'est pas tant le railler que de s'accommoder à son humeur, outre que pour lui ôter tout sujet de se fâcher quand il aura reconnu la pièce que nous nous joüons, nous pouvons y prendre chacun un rolle, et jouer en même temps que notre.
Allons donc nous habiller.	Allons donc nous habiller.
CLEANTE.	CLÉANTE.
Y conſentez-vous.	Y consentez-vous.
ANGELIQUE, Il le laut bien.	ANGELIQUE, Il le laut bien.
TROISIESME INTERMEDE.	TROISIÈME INTERMÈDE.
T’Eſt une Ceremonie Burleſque d’un E tionine qu’on fait Medecin, en Recit, chant & Dange.	T'Est une Céremonie Burlesque d'un E tionine qu'on fait Médecin, en Recit, chant et Dange.
ENTRE’E DE BALLET.	ENTRE DE BALLET.
Pluſieurs Tapiſſiers viennent preparer la Salle, & placer les bancs en cadence.	Plusieurs Tapissiers viennent préparer la Salle, et placer les bancs en cadence.
Enſuite dequoy toute l’Aſſemblée, compoſée de huit Porte-Seringues, ſix Apotiquaires, vingt- deux Docteurs, celuy qui ſe fait recevoir Medecin, fuit effrurgiens dançans, & deux chantans, entre, & prend ſes places ſelon les rangs.	Ensuite dequoy toute l'Assemblée, composée de huit Porte-Seringues, six Apotiquaires, vingt-une deux Docteurs, celui qui se fait recevoir Médecin, fuit effrurgiens dançans, et deux chantants, entre, et prend ses places selon les rangs.
