LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
LICANDRE, Au cõtraire, nous nous proſternons deuant toy pour te prier de conſentir à ſon retour.	LICANDRE, Au comtraire, nous nous prosternons devant toi pour te prier de consentir à son retour.
Si l’heure de ſon deſtin eſtoit venuë, il auroit deſia paſſé le trajet de l’oubly:	Si l'heure de son destin était venue, il aurait déjà passé le trajet de l'oubli:
mais parce que ſa douleur l’a auancée, il eſt en nous de le r’auoir, pourueu que tu t’y aides;	mais parce que sa douleur l'a avancée, il est en nous de le roir, pourvu que tu t'y aides;
ſon eſprit eſt encore errant aux prairies de Tempé, qui ſont les champs Eliſiens de la Theſſalie;	son esprit est encore errant aux prairies de Tempé, qui sont les champs Élisiens de la Thessalie;
il ſeroit deſia au bout du monde ſans la paſſion qurieretiene, e qui sempeiche de paſſer outre.	il serait déjà au bout du monde sans la passion qurieretiene, eu qui sempeiche de passer outre.
VRANIE, A quoy faut-il que ie conſente?	VRANIE, À quoi faut-il que . consente?
LICANDRE, A cecy, que ie luy commande de ta part de ſe rendre a ſon deuoir, & de ſuiure le lien qui l’attache, de la ſorte que ſon ame Teitrera dais ion ceu, & apres qu’elle ſera là, il faut qu’vn baiſer la faſſe venir ſur ſes levres.	LICANDRE, À ceci, que sans lui commande de ta part de se rendre à son devoir, et de suivre le lien qui l'attache, de la sorte que son âme Titrera dais ion ceu, et après qu'elle sera là, il faut qu'un baiser la fasse venir sur ses lèvres.
VRANIE, Ne peut-il reuiure que ie ne meure?	VRANIE, Ne peut-il revivre que personne ne meure?
VRANIE VRANIE, Il ne reuiendra donc qu’à fin de me retrouuer.	VRANIE VRANIE, Il ne reviendra donc qu'à fin de me retrouver.
LICANDRE, Cela s’entend.	LICANDRE, Cela s'entend.
VRANIE, Or pour me retrouuer il faut que ie ſois la meſme, & ſiie n’eſtois pas auſſi pudique qu’il m’a laiſſée, ie ne ſerois plus, ce ſeroit vn monſtre au lieu de moy qui tiendroit ma place:	VRANIE, Or pour me retrouver il faut que tu sois la même, et siie n'étais pas aussi pudique qu'il m'a laissée, personne ne serais plus, ce serait un monstre au lieu de moi qui tiendrait ma place:
eſt-il raiſonnable que la mort me change, puis qu'elle ne l’auroit point changé?	est-il raisonnable que la mort me change, puis qu'elle ne l'aurait point changé?
HELENOR, Elle a raiſon.	HÉLENOR, Elle a raison.
Mais auſſi Vranie, ſouuiens toy que la raiſon eſt quelquefois vne grande barbarie;	Mais aussi Vranie, souviens toi que la raison est quelquefois une grande barbarie;
bien qu’elle ait cét aduantage, qu’elle ſemble iuſte.	bien qu'elle ait cet avantage, qu'elle semble juste.
Iuſques icy tu as meſlé la rigueur à la chaſteté, auec cette difference, que la premiere étoit forcée, & la ſeconde volontaire, retien l’vne, & reiette l’autre, retien celle ſans laquelle tu ne ſçaurois viure, & reiette celle qui la fait mourir, auec ce temperamẽt là toutes choſes ſeront dans leur ordre.	Jusqu' ici tu as mêlé la rigueur à la chasteté, avec cette différence, que la première était forcée, et la seconde volontaire, retien l'une, et rejette l'autre, retien celle sans laquelle tu ne saurais vivre, et rejette celle qui la fait mourir, avec ce tempérament là toutes choses seront dans leur ordre.
VRANIE, Ton conſeil eſt raiſonnable, ie m’y ſouſmets, ie me rends:	VRANIE, Ton conseil est raisonnable, Elle m'y sousmets, notre me rends:
s’il n’y auoit rien d’honneſte que ce qui eſt inhumain, la vertu le deuroit ceder aux Lyons & aux Tygres.	s'il n'y avait rien d'honnête que ce qui est inhumain, la vertu le devrait céder aux Lyons et aux Tigres.
Ie trouue à dire à Diane, de ce que les hommes luy ſont immolez.	Je trouve à dire à Diane, de ce que les hommes lui sont immolés.
Yole, preſte moy ce bouquet;	Yole, prête -moi ce bouquet;
regarde, Licandre, ie le baiſe vne fois, deux fois, trois fois, & l’ayant Aalis par croilois luniliesle vres, ie le mets autant de fois ſur les levres de Thirſis.	regarde, Licandre, je le baisevne fois, deux fois, deux fois, et l'ayant Aalis par croilais luniliègle vres, ie le mets autant de fois sur les lèvres de Thyris.
LICANDRE, Non, cela ne ſuffit pas:	LICANDRE, Non, cela ne suffit pas:
mais fais mieux, mets des roſes verueilles ſnr des muſcades, c’eſt à dire, tes levres qui ſont rouges, ſur les ſiennes qui ſont pâles, & cela ſuffira auec les paroles ſecrettes que ie prononceray.	mais fais mieux, mets des roses verveilles sour des muscades, c'est -à -dire, tes lèvres qui sont rouges, sur les siennes qui sont pâles, et cela suffira avec les paroles secrètes que je prononcerai.
Appellons-le maintenant	Apelons-le maintenant
THIRSIS, Pleuſt a Dieu?	THIRSIS, Plût a Dieu?
LICANDRE, Que veux-tu en diſant pleuſt à Dieu?	LICANDRE, Que veux-tu en disant plût à Dieu?
pable d’vne amitié coniugale, tu es la ſeule perſonne qu’elle auroit choiſi:	pable d'une amitié conjugale, tu es la seule personne qu'elle aurait choisi:
mais puis que cela ne ſe peut, elle te declare ſolemnellement, qu’elle t’aimera touſiours de la ſorte quencosaimé.	mais puis que cela ne se peut, elle te déclare solennellement, qu'elle t'aimera toujours de la sorte quencosaimé.
THIRSIS, O double miracle!	THIRSIS, Ô double miracle!
HELENOR, En es tu content?	HÉLENOR, En es tu content?
l’autre vne pureté d’affection qui lolt cterhene.	l'autre une pureté d'affection qui lolt cterhene.
THIRSIS, Oüy.	THIRSIS, Oui.
HELENOR, Vranie, dites à Thirſis;	HÉLENOR, Vranie, dites à Thyris;
Ie vous oſte à toutes:	Je vous ôte à toutes:
Thirſis, dites à Vranie;	Thyris, dites à Vranie;
Ie vous oſte a tous.	Je vous ôte a tous.
Dés cette heure il ne vous eſt plus libre de vous en dédire, c’eſt vn mariage d’ames, auquel meſmes le treſpas ne peut mettre fin.	Dès cette heure il ne vous est plus libre de vous en dédire, c'est un mariage d'âmes, auquel mêmes le trépas ne peut mettre fin.
Menalque peut fournir ſur le champ vn Epithalame qui ſera icy chanté en l’honneur de ce nouuel Hyménée.	Ménalque peut fournir sur le champ un Épithalme qui sera ici chanté en l'honneur de ce nouvel Hyménée.
Certes le nom d’Vranie l’auoit preſagé:	Certes le nom d'Unanie l'avait présagé:
car Vranie, eſt le nom de la Venus celeſte, qui engendre vn Amour ſublime & ſacré;	car Vranie, est le nom de la Venus céleste, qui engendre un Amour sublime et sacré;
à l’oppoſite de la terreſtre, qui eſt mere de l’Amour vulgaire.	à l'opposite de la terrestre, qui est mère de l'Amour vulgaire.
THIR.	THIR.
Mon ſonge de la nuict paſſée & l’inſcription de mon couſteau, ont eſté veritables, & Aronte auſſi.	Mon songe de la nuit passée et l'inscription de mon couteau, ont été véritables, et Aronte aussi.
VRANIE, Oüy.	VRANIE, Oui.
CHORILAS, La Deïté qui le couuroit d’vn nuage d’Izabelle, eſt ce pudique Hymen, qui porte ſa couleur deſchargée de plus de moitié, à cauſe qu’il vnit les cœurs ſans les corps.	CHORILAS, La Deïté qui le couvrait d'un nuage d'Isabelle, est ce pudique Hymen, qui porte sa couleur déchargée de plus de moitié, à cause qu'il porte sa cœurs sans les corps.
ARISTEE, Maintenant ie vois que Thirſis a prophetiſé ſon bon-heur ſans y penſer, lors qu’a deſſein de m’éloigner d’aupres de luy, il m’a dit qu’Vranie luy auoit promis de le declarer en ſa faueur dans fort peu de temps.	ARISTE, Maintenant je vois que Thyris a prophétisé son bonheur sans y penser, lors qu'a dessein de m'éloigner d'auprès de Seigneur, il m'a dit qu'Vranie Maint avait promis de le déclarer en sa faveur dans fort peu de temps.
plus heureux, & que i’euſſe eſté moins chaſte.	plus heureux, et que j'eusse été moins chaste.
CHORILAS, Pareillement on iugera s’il eſt vray que Licandre & moy ſoyons des reſueurs, comme Driope le publie par tout.	CHORILAS, Pareillement on jugera s'il est vrai que Licandre et moi soyons des rêveurs, comme Driope le publie par tout.
ARISTEE, Audience, Bergers, exterminons cette meſchante, & rendons iuſtice à ceux qui l’accuſoient chez moy cette apreſ-dinée.	ARISTE, Audience, Bergers, exterminons cette méchante, et rendons justice à ceux qui l'accusaient chez moi cette après-dinée.
SIREINE, Encore faut-il voir s’il n’y a perſonne de nous qu’elle n’ait traicté d’infamie, ſans en excepter aucun;	SIREINE, Encore faut-il voir s'il n'y a personne de nous qu'elle n'ait traité d'infamie, sans en excepter aucun;
ie vous ſupplie, qu’on luy faſſe rentrer le démenty dans la gorge:	Hé vous supplie, qu'on Seigneur fasse rentrer le démenti dans la gorge:
pour cét effet, retournons à l’inuention d’Ariſtée, au lieu que ſuiuant ſon aduis nous l’entretenions tantoſt l’vn l’autre ſeparément, afin qu’elle en médiſt auec moins de crainte, maintenant que chaque teſmoin de ſa detraction la luy reproche deuant la perſonne qu’elle a offenſé.	pour cet effet, retournons à l'invention d'Aristée, au lieu que suivant son avis nous l'entretenions tantôt l'un l'autre séparément, afin qu'elle en médistnant moins de crainte, maintenant que chaque témoin de sa détraction la lui reproche devant la personne qu'elle a offensé.
Mais le moyen de la trouuer?	Mais le moyen de la trouver?
HELENOR, Ie gage qu’elle eſt chez Licandre.	HÉLENOR, Je gage qu'elle est chez Licandre.
LICANDRE, Ie gage qu’oüy, enuoyez-la querir, & deliurez-m’en, ie vous en ſupplie:	LICANDRE, Je gage qu'oui, envoyez-la quérir, et délivrez-m'en, ie votre en supplie:
encore que mon demon ſoit plus fort que le ſien, il n’eſt pas ſi malin, ny ſi fourbe, ie m’eſtois eſpris d’elle ie ne ſçay comment, ma ſottiſe ne l’a pas fait longue.	encore que mon démon soit plus fort que le sien, il n'est pas si malin, ni si fourbe, quelque m'étais épris d'elle Ne ne sais comment, ma sottise ne l'a pas fait longue.
Sans parler du reſte, tout mon art ne ſuffiroit pas à enchanter ſon auarice, elle a vn gouffre, où à tout le moins vn puits dans ſa poche, la liberalité pourroit auoir cent mains, à l’exemple de Briarée, que Driope en auroit cent millé pour les vuider.	Sans parler du reste, tout mon art ne suffirait pas à enchanter son avarice, elle a un gouffre, où à tout le moins un puits dans sa poche, la libéralité pourrait avoir cent mains, à l'exemple de Briarée, que Driope en aurait cent millé pour les vider.
SIREINE, Ie l’entends à ſa toux, elle n’eſt pas loin.	SIREINE, Je l'entends à sa toux, elle n'est pas loin.
LICANDRE,	LICANDRE,
DRIOPE, Qu eſtiile	DRIOPE, Qu' étiile
THIRSIS, Que cherche Driope?	THIRSIS, Que cherche Driope?
SIREINE, Mauuaiſe.	SIREINE, Mauvaise.
DRIOPE, Ris tant que tu voudras, ſi faut-il que tu confeſſe que ie t’ay quelquefois donné dans le cœur.	DRIOPE, Ris tant que tu voudras, si faut-il que tu confesse que ici t'ai quelquefois donné dans le cœur.
SIREINE, Qu’vn tel venin m'y euſt touché?	SIREINE, Qu'un tel venin m'y eût touché?
ie ne ſerois dõc plus en vie.	On ne serais domme plus en vie.
ARISTEE, Tout exprez il t’embaraſſe, afin de te mettre en peine, & nous t’en voulons oſter, en te propoſant des queſtions recreatiues.	ARISTE, Tout exprez il t'embarrasse, afin de te mettre en peine, et nous t'en voulons ôter, en te proposant des questions recreatiues.
Dis nous icy en public ce que tu nous as tantoſt dit en particulier:	Dis nous ici en public ce que tu nous as tantôt dit en particulier:
Helenor eſt-il fol?	Hélenor est-il fol?
AMARILE, Ariſtée eſt-il vn eſpion?	AMARILE, Aristée est-il un espion?
PH.	PH.
Amarile & les autres Bergeres courent-elles à force les hommes?	Amarile et les autres Bergères courent-elles à force les hommes?
Menalque cognoiſt-il fort Yole?	Menalque connaît-il fort Yole?
SIREINE, Thirſis eſt-il impertinent ce ciremme:	SIREINE, Tircis est-il impertinent ce ciremme:
vranie eſt-elle amoureuſe & diſſimulée?	vranie est-elle amoureuse et dissimulée?
CHORTLAS, Eipene bruiſe-elle apres Phaon?	CHORTLAS, Éipène bruise-elle après Phaon?
MENALQVE, Licandre eſt-il charlatan?	MENALQUE, Licandre est-il charlatan?
& Sireine duppe?	et Sireine dupe?
plus, elle eſt ſi pudique, qu’elle ne voudroit pas ſeulement auoir embraſſé l’occaſion d’obliger;	plus, elle est si pudique, qu'elle ne voudrait pas seulement avoir embrassé l'occasion d'obliger;
n’eſt-ce pas eſtre exacte?	n'est-ce pas être exacte?
ARISTEE, Ne confeſſe-tu pas que tu as mal-heureuſement calomnié cette honneſte Compagnie?	ARISTE, Ne confesse-tu pas que tu as malheureusement calomnié cette honnête Compagnie?
t’impoſe-t'on quelque choſe?	t'impose-t'-on quelque chose?
SIREINE, Tout ce qu’on luy à mis ſus eſt également faux.	SIREINE, Tout ce qu'on lui à mis sus est également faux.
DRIOPE, Perfide, traiſtre, déloyal.	DRIOPE, Perfide, traître, déloyal.
ARISTEE, Tu t’en peux ſouuenir.	ARISTE, Tu t'en peux souvenir.
SIRE.	SIRE.
Driope, tu ne t’en ſouuiens hon pius que d’auon ente vierge.	Driope, tu ne t'en souviens hon pius que d'avon ente vierge.
DRIOPE, Perfide, déloyal.	DRIOPE, Perfide, déloyal.
ARISTEE, Ce ſilence mutin vaut vne franche confeſſion, procedons à ſon chaſtiment, & recueillons les voix;	ARISTE, Ce silence mutin vaut seule franche confession, procédons à son châtiment, et recueillons les voix;
ça, que chacun opine:	ça, que chacun opine:
commence Phaon.	commence Phaon.
ARISTEE, Comme elle le haït.	ARISTE, Comme elle le hait.
SIR.	SIR.
Elle a raiſon, ie la cognois.	Elle a raison, Seigneur la connais.
PHA.	PHA.
Qu'on la pende par deſſous les aiſſelles au haut de quelque arbre iuſqu’à ce que les pies luy ayent à coups de bec defiguré le viſage.	Qu'on la pende par dessous les aisselles au haut de quelque arbre jusqu'à ce que les piesfois aient à coups de bec défiguré le visage.
ARIS TEE, Et toy Sireine?	ARIS TE, Et toi Sireine?
SIREINE.	SIREINE.
Qu’on l’attache à la queuë d’vn ieune taureau qui ſoit en amour, il l’entraiſnera ſi loin qu’on n’en oyra plus parler.	Qu'on l'attache à la queue d'un jeune taureau qui soit en amour, il l'entraînera si loin qu'on n'en oira plus parler.
ARISTEE, Et toy Chorilas?	ARISTE, Et toi Choras?
CHORILAS, Qu’on l’eſtende pieds & poings liés aupres d’vne ruche à miel:	CHORILAS, Qu'on l'étende pieds et poings liés auprès d'une ruche à miel:
car on tient que les àbeilles ſe neecome lur leo perlommes derhonneſtes & impures, & y plantent leurs aiguillons.	car on tient que les abeilles se neome lur se perlommes derhonnêtes et impures, et y plant leurs aiguillons.
SIRBINE.	SIRBINE.
Que Thirſis concluë pour tous les autres afin d’abreger.	Que Thyris conclue pour tous les autres afin d'abréger.
THIRSIS, Sous le bon plaiſir d’Vranie, il me ſemble que le reſpect de la Feſte, & de mon bon-heur, ne veulent rien de funeſte.	THIRSIS, Sous le bon plaisir d'Unranie, il me semble que le respect de la Fête, et de mon bonheur, ne veulent rien de funeste.
