LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Se porte bien auſii Sig.	Se porte bien ausii Sig.
A ſon huictieſme mois?	À son huictiême mois?
Le M.	Le M.
C’eſt choſe veritable Sig.	C'est chose véritable Sig.
O eſtrange merueille lO cas eſpouuentable!	Ô étrange merveille lO cas espoientable!
Le Me.	Le Me.
C’eſt contre la doctrine, & c'eſtce qui me rend En le iugeant ſi ſain le miracle ainſi grand.	C'est contre la doctrine, et c'estce qui me rend En le jugeant si sain le miracle ainsi grand.
Sig.	Sig.
Et le Roy qu’en dit-il qui portoit tant de peine.	Et le Roi qu'en dit-il qui portait tant de peine.
Le Me.	Le Me.
Il eſt tranſporté d’aiſe en la voyant ſi ſaine.	Il est transporté d'aise en la voyant si saine.
Sig.	Sig.
Dieu ſoit louë du tout, ie n’eſperoy d’ouyr Choſe qui me donnaſt ſubject de m’eſiouyr.	Dieu soit loue du tout, Elle n'espéroi d'ouïr Chose qui me donnât sujet de m'esiouyr.
Ie portois de ſon mal vne grande partie, Et ſouffrois comme luy par vne ſimpatie:	Je portais de son mal une grande partie, Et souffrais comme lui par un simpatie:
A maiutenant que Dieu ſa faueur luy reſpend	À maiutenant que Dieu sa faveur Seigneur respend
De la ioye qu’il a ie ſais participant.	De la joie qu'il a apprendre sais participant.
Aiais quileur a canſe ceſte ioye ſubite?	Ajais quileur a canse cette joie subite?
Le M.	Le M.
Vn Hermite deuot qui dant ce bois habite.	Un Hermite dévot qui dant ce bois habite.
Sig.	Sig.
A t-ilpar quelque jus porté ſa guariſon?	A A-ilpar quelque jus porté sa guérison?
Le M.	Le M.
Son remede plus prompt fut en ſon oraiſon.	Son remède plus prompt fut en son oraison.
Sig.	Sig.
Dieu faict eſtat des ſiens, & leur donne ſa grace, Le M.	Dieu fait état des siens, et leur donne sa grâce, Le M.
La priere des Saincti a beaucoup d’ifficace.	La prière des Sainte a beaucoup d'ifficace.
Sig.	Sig.
Faictes moy le diſcours commeut eſt aduenu, Vn miracle ſi grand par vn Moyne inçonnu.	Faites -moi le discours commeut est avenu, Un miracle si grand par un Moine inonnu.
Le M.	Le M.
Inconnu des humains, mais la diuine eſſenue A de ſa ſaincteté parfaicte cognoiſſance, Elle exauce ſa voix, fauorable accordant Tout ce que le Sainct homme ira luy demandamt.	Inconnu des humains, mais la divine essenue A de sa sainteté parfaite cognoissance, Elle exauce sa voix, favorable accordant Tout ce que le Saint homme ira pu demandamt.
Ainſi vous aueZ beu ſouuent l’Onde puiſee Au ſurgeon qu’il ſit naiſtre en la terre creuſee, Elle y croit eternelle, & ſon Puis regorgeant Fouruit d’vn doux breuuage à touie noſtre gent.	Ainsi vous avez bu souvent l'Onde puise Au surgeon qu'il sit naître en la terre creusée, Elle y croit éternelle, et son Puis regorgeant Fourvit d'un doux breuage à touje nôtre gent.
Commel Hermiite à ven que l miont palliſſante Suſiſſoit en ſou lict la Royne languiſſante, Il ſe iette à genoux, & les bras eſtendus, Les deux yeux dans le Ciel deuotement tendus, Faict aiuſi ſa priere:	Commel Hermiite à ven que l' iont pâlissante Sussissait en sou lit la Royne languissante, Il se jette à genoux, et les bras étendus, Les deux yeux dans le Ciel dévotement tendus, Fait aiussi sa prière:
O grand Dieu qui diſpoſes A tongré de ce Tout, qui reigles toutes choſes, Qui fais mouuoir les Cieux, & tous les elemens, Et la terre au vilieu pancher ſans fondementi, Qui donnas au Soleil ſa lumiere brillante, Qui ſemas dans le Ciel la troupe eſtincelante Detaut d’Aſtres nuiteux, qui tients les flots mouuant, Fermez dans leurs rempars, donnes l’haleine aux vents, Qui fais germer les bois, & leur eſcorce dure Pouſſer leurs tendres fruits pour noſtre nourriture, Qui ſormas du limon en tes doigts retaſté Le premier pere Adam, eſprins de ſon coſté La ſemme ſa compagnie, & des ce premier eage Ordonuas aux humains les loix du manage.	Ô grand Dieu qui disposes A tongré de ce Tout, qui reigles toutes choses, Qui fais mouvoir les Cieux, et tous les éléments, Et la terre au vilieu pencher sans fondementi, Qui donnas au Soleil sa lumière brillante, Qui semas dans le Ciel la troupe étincelante Detaut d'As nuiteux, qui tients les flots mouvant, Fermez dans leurs rempars, donnes l'hale aux vents, Qui fais germer les bois, et leur écorce du Pousser leurs tendres fruits pour notre nourriture, Qui sots du limon en tes doigts retasté Le re pere Adam, esprins de son costé La semme sa compagnie, et des ce premier eage Ordonuas aux humains les loix du manage;
De ſe multiplier parleur accouplement, Croiſtre, remplir la terre, & peupler tout le monde, Qui rendus en vieilleſſe vne Sarra feconde, Vnerace en tirant qui nombreuſe deuoit Surpaſſer les ſablons qu’aux riuages on void.	De se multiplier parleur accouplement, Croître, remplir la terre, et peupler tout le monde, Qui rendus en vieillesse une Sarra féconde, Unerace en tirant qui nombreuse devait Surpasser les sablons qu'aux rivages on voit.
Et qui aux derniers temps ouurant par ta largeſſe Tous les treſors du Ciel enuoyas ta ſageſſe, Ton enfant Ieſus-Chriſt à nos peres promis, Pour lauer les pechez que nous auons commis, Conceu du ſainct eſprit;	Et qui aux derniers temps ouvrant par ta largesse Tous les trésors du Ciel envoyas ta sagesse, Ton enfant Jésus-Christ à nos pères promis, Pour lauer les péchés que nous avons commis, Conceu du saint esprit;
leſis neuf mois attendre Daus les flancs impolus d’vne pucelle tendre, Dont il eſt ſans fracture & ſans douleur yſſu, Ainſi comme ſans tache elle l’auoit conçeu.	lesis neuf mois attendre Daus les flancs impolus d'une pucelle tendre, Dont il est sans fracture et sans douleur issu, Ainsi comme sans tache elle l'avait conçu.
Par le nom de ce fils, par ſa ſaincte naiſſance, Pere, pere eternel i’implore ta puiſſance, Eſcoute ma priere, & ſi iamais ma voix, Penetra iuſqu’à toy, reçoy la ceſte fois.	Par le nom de ce fils, par sa sainte naissance, Père, père éternel j'implore ta puissance, Écoute ma prière, et si jamais ma voix, Pénétra jusqu'à toi, reçoy la ceste fois.
Entends mon oraiſon, & du clin de ta teſte, Accorde à ton ſeruant les vœux de ſa requeſte.	Entends mon oraison, et du clin de ta tête, Accorde à ton servant les vœux de sa requête.
Toy, toy qui par ſa bouche as promis d’accorder Tout ce que nous trons en ſon nom demander, En ſon nom inuoques, ouure ta main puiſſante, Au ſecours neceſſairre à coſte languiſſante, Chaſſe du corps le mal dont il eſt tourmenté, Et luyrends (ô seigneur) ſa premiere ſanté:	Toi, toi qui par sa bouche as promis d'accorder Tout ce que nous trons en son nom demander, En son nom invoques, ouvre ta main puissante, Au secours nécessairre à côte languissante, Chasse du corps le mal dont il est tourmenté, Et luyrends (ô seigneur) sa première santé:
Que ſon ſruict garenty ſalue à ſa venuë, De ſes cris enſantins la lumiere incognuë, A fin que l’vn & l’autre eſchappe du danger, Elle te rende grace, & t’aille louanger.	Que son sruit garanti salue à sa venue, De ses cris ensantins la lumière inconnue, A fin que l'un et l'autre échappe du danger, Elle te rende grâce, et t'aille louanger.
Qu’elle chante ta gloire, & que toute la France, Donnant l’heureux ſignal de ſar ſiouiſſance, Puiſſe d’vn chant deuot de tes œuures benits, Enuoyer la memoire aux ſiecles inſinis.	Qu'elle chante ta gloire, et que toute la France, Donnant l'heureux signal de sar siouissance, Puisse d'un chant dévot de tes œuvres bénits, Envoyer la mémoire aux siècles insinis.
A tant ſe teut l'Hermite, & toutte l’aſſemblee.	À tant se tut l'Hermite, et toutte l'assemblée.
Reſpond vnlong Amen, d’vne voix redoubles, On voyoit en priant du Cele qu’il auoit Comme ſon corps rauy de terre s’euleuoit, A peine ſa priere eſtoit elle acheuee, Quela Royne debout ſans ayde s’eſtlauee, Ele reprend ſa force, & ſa viue couleur, Comme ne ſentent plus ne tranche ne douleur.	Respond vnlong Amen, d'une voix redoubles, On voyait en priant du Clèle qu'il avait Comme son corps ravi de terre s'élevait, À peine sa prière était elle achève, Quela Royne debout sans aide s'estlauee, Ele reprend sa force, et sa vive couleur, Comme ne sentent plus ne tranche ne douleur.
Le deliure d’vn fils qui beau parexcellancs Pone grauee au front de pere la vaillance;	Le délivre d' fils qui beau parexcellancs Pone grave au front de père la vaillance;
On admire ſa face, où tout ce qui duiſoit Eu ſa mere de tare eſtalé reluiſoit.	On admire sa face, où tout ce qui duisait Eu sa mère de tare étalé reluisait.
Or on ne diroit pas qu’elle ſoit accouchee, Ne qu’elle ait euduré, ny douleur, ny trenchee, Tant bien elle ſe porte, & ie crou qu’inuoqué Dieu a ſa maudiſſon auiourd'huyreuoqué Dece ſexe imparfaict pour faire qu’il accouche Sansſentir que le mal accouſtumé le touche.	Or on ne dirait pas qu'elle soit accouchée, Ne qu'elle ait euduré, ni douleur, Seigneur trenchée, Tant bien elle se porte, et ainsi crou qu'invoqué Dieu a sa maudisson aujourd'huyreuoqué Déce sexe imparfait pour faire qu'il accouche Sanssentir que le mal accoutumé le touche.
Hujueplus m’eſtonne, vnmar inueteré.	Hujueplus m'étonne, Unar inveteré.
Dont elle languiſſoit s’eſt du tout retiré.	Dont elle languissait s'est du tout retiré.
Sig.	Sig.
Ie ſuis tout rauy d’aiſe oyant ceſte merueille, Et veus croire à mes yeux pluſtoſt qu’à mon oreille.	Je suis tout ravi d'aise oyant cette merveille, Et veux croire à mes yeux plutôt qu'à mon oreille.
Ie le veux aller voyr, & ſi c’eſt verité, M’eſiouyr auec eux de leur proſperité.	Je le veux aller vois, et si c'est vérité, M'esiouyr avec eux de leur prospérité.
Ie voy qu’il ſort dehors, & ſa chere compagne Marchans d’vn pied diſpoi Clotilde l’accompagne.	Je vois qu'il sort dehors, et sa chère compagne Marchants d'un pied dispoi Clotilde l'accompagne.
Ie vous croy maintenant, & m’enrends orgueilleux, O bon Dieu que vosfaicts ſont grands & merueilleux:	Je vous crois maintenant, et m'enrends orgueilleux, Ô bon Dieu que vosfaicts sont grands et merveilleux,
Sig.	Sig.
JE rends graces aux Dieux dõt les faueurs ſuprèms IOnt garenty Clouis, & Clotilde;	JE rends grâces aux Dieux dont les faveurs suprèms IOnt garenti Clouis, et Clotilde;
& moy meſmes.	et moi mêmes.
Du mal’heur dont le Ciel nos teſtes menaçoit, Et vente le bon heur que la France en reçoit.	Du malheur dont le Ciel nos têtes menaçait, Et vente le bon heur que la France en reçoit.
Pais que la Royne eſt ſaine il faut qu’on s'eſiouyſſe, Qu’on loüe Dieu de tout, que ſon nom on beniſſe, Que le peuple frequant aux Temples aſſemblé, Honorant ce bien faict, ſoit de ioye comblé;	Pais que la Royne est saine il faut qu'on s'esiouysse, Qu'on loue Dieu de tout, que son nom on bénisse, Que le peuple fréquant aux Temples assemblé, Honorant ce bien fait, soit de joie comblé;
Qu’on chante vn Te Deum, & qu’en chaſcune Egliſe Ont bruſle force Encens, que la Cire y reluiſe, Que les Chaſſes des Saincts ſortent de leur treſors, Que mille feux de ioye ardent par le dehors.	Qu'on chante un Te Deum, et qu'en chascune Église Ont brûle force Encens, que la Cire y reluise, Que les Chasses des Saints sortent de leur trésors, Que mille feux de joie ardent par le dehors.
Clot.	Clot.
Que vous eſtez ioyeux?	Que vous estez joyeux?
Sig.	Sig.
Mais que vous el prompte, Comme la ialouſie en la teſte vous monte.	Mais que vous elle prompte, Comme la jalousie en la tête vous monte.
Qui l’euſt iamais penſé?	Qui l'eût jamais pensé?
vous m’auez faict cacher, Ores voicy le temps de vous le reprocher.	vous m'avez fait cacher, Ores voici le temps de vous le reprocher.
Et de m’enplaindre au Roy.	Et de m'enplaindre au Roi.
Clo.	Clo.
I'en veux payer l’amẽdi Sig Faictes m’en la raiſon, Sire, ie la demande Clot Remettons ſes diſcours à autre heure, autre lieu, Et penſons maintenant de rendre grace à Dieu.	J'en veux payer l'amendi Sig Faites m'en la raison, Sire, toujours la demande Clot Remettons ses discours à autre heure, autre lieu, Et pensons maintenant de rendre grâce à Dieu.
Clou.	Clou.
Ie vous rend grace ô Dieu!	Je vous rend grâce ô Dieu!
Clot.	Clot.
Dieu ie vous re Vous qui m’auez remis ma lumiere obſcurcie, ( mercie Pereie vous rends grace.	Dieu Rome vous re Vous qui m'avez remis ma lumière obscurcie, ( mercie Père vous rends grâce.
Leo.	Leo.
A Dieu ſoit tout l’hõnen La gloire ſoit à Dieu de tout voſtre bon heur:	À Dieu soit tout l'hõnen La gloire soit à Dieu de tout votre bon heur:
C’eſtluy qui vous guarit, qui vous a releuée Du mal qui vous tenoit, & qui vous a ſauuée:	C'estluy qui vous garit, qui vous a relevée Du mal qui vous tenait, et qui vous a sauvée:
A luy uon pas à moy la parolle adreſſez, Et de tæur & de voix ſon ſainct vom benſſer.	A lui uon pas à moi la parole adressez, Et de tæur et de voix son saint vom benser.
Clot.	Clot.
Eternelle lumiere, & puiſſance inſinie Qui du grand Vniuers bompaſſeZ l’harmonie, Dieu, Pere & Createur, vous sauueur leſus-Chriſt Pous qui nous eſclairez, bien-heureux ſainct Eſprit, I'exalte, ie benis, voſtre grandeur immenſe, Et ſur toutes vertus priſe voſtre clemence.	Eternelle lumière, et puissance insinie Qui du grand Univers bompassez l'harmonie, Dieu, Père et Créateur, vous sauveur les-Christ Pous qui nous éclairez, bienheureux saint Esprit, J'exalte, De bénis, quelque grand immense, Et sur toutes vertus prise votre clémence.
Ie cognois, ie publie à la poſterité Voſtre miſericorde, ô ſaincte Triuité.	Je connais, ie publie à la postérité Votre miséricorde, ô sainte Trivité.
I'adore vosgrandeurs, & ſçay qu’en tout le monde Choſo ne ſe peut voir qui ne vous ſoit ſeconde, Ny dedans l’inſiny;	J'adore vosgrandeurs, et sais qu'en tout le monde Choso ne se peut voir qui ne vous soit seconde, Ni dedans l'insiny;
car vous ſeul eſtes tout, R ien n'est ſi grand, ſi ſainct, de l’vn à l’autre bout.	car vous seul êtes tout, R yen n'est si grand, si saint, de l'un à l'autre bout.
En ſage, ny ſi bon les hauts Cieux &les Anges, Et touiles Elements annoncent vos loüanges, Tout ce qui eſt, qui vit, qui n du ſentiment, Voſtre inſini pouuoir preſche diuerſement.	En sage, Seigneur si bon les hauts Cieux et Anges, Et touiles Éléments annoncent vos louanges, Tout ce qui est, qui vit, qui n du sentiment, Votre insini pouuoir prêche diversement.
Et moy de vos faueurs diuinement traictée Indigne que ie ſuu, deuant lei pieds iettée De voſtre MIaieſté, rends grace des biens faicts Que ſa main liberale à mon beſoin a faicts, Ne le merttant point, ingrate creature:	Et moi de vos faveurs divinement traitée Indigne que je suiv, devant le pieds jetée De votre MIaiesté, rends grâce des biens faits Que sa main libérale à mon besoin a faits, Ne le merttant point, ingrate créature:
Car vous m’aueZ donné l'eſſance & la nature, La ve & la ſanté, & la force & le bien, Et ſaictes qu’au beſoin il ne me manque vien.	Car vous m'avez donné l'essance et la nature, La ve et la santé, et la force et le bien, Et saisîtes qu'au besoin il ne me manque vien.
Vous m’aueZ faicte encore & puiſſante & Chreſtienné, Iemme du plus grand Roy que la terre ſouſtienne:	Vous m'avez faite encore et puissante et Chrestienné, Iemme du plus grand Roi que la terre soutienne:
Auc qui vous reſpendez tant de biens à foiſon, Et qui peuplez d’enfans ſa Royale maiſon, Et pour combler encor vos ſaueurs ordinaires, Viclime deſtinee aux tombeaux mortuaires Vout m’auez retiree;	Auc qui vous respendez tant de biens à foison, Et qui peuplez d'enfants sa Royale maison, Et pour combler encor vos saveurs ordinaires, Viclime destinée aux tombeaux mortuaires Vout m'avez retirée;
