Par J.	Par Y.
Irem, en cas qu’elle decede Avant celuy qui la poſſede, Du pacernel conſentement, Elle luy donne pour augment	Irem, en cas qu'elle décède Avant celui qui la possède, Du pacernel consentement, Elle avait donne pour augment
Deux cens cinquante écus de France, A prendre pour toute aſſeurance Au pré de Mollinet, où ſont Payez ceux qui les belles ont.	Deux cens cinquante écus de France, À prendre pour toute assurance Au pré de Mollinet, où sont Payez ceux qui les belles ont.
Lequel augment aprés la vie Du poſſeſſeur de la ſurvie, A leurs enfans appartiendra.	Lequel augment après la vie Du possesseur de la survie, À leurs enfants appartiendra.
Et cas avenant qu’il faudra Reſtituer ladite dote, Ainſi que l’Ordonnance note A faute de production 3 Du fruit de leur conjonction, Les parens d’elle aprés l’obſeque, Comme premiers en hy poibeque, S’en pourront ſaiſit ſans excez, Et ſans figure de procez.	Et cas avenant qu'il faudra Restituer ladite dote, Ainsi que l'Ordonnance note A faute de production 3 Du fruit de leur conjonction, Les parents d'elle après l'obsèque, Comme premiers en hy poibeque, S'en pourront saisit sans excès, Et sans figure de procès.
Promettans toutes les Parties, Du droit deüement averties, Avoir ce qui eſt contenu Au preſent contrat, ſoutenu Par moy Notaire veritable, Fort agreable, ferme & ſtable, Tant à preſent qu’à l’avenit, Et jamais n’y contrevenir:	Prométant toutes les Parties, Du droit deuement averties, Avoir ce qui est contenu Au présent contrat, soutenu Par moi Notaire véritable, Fort agréable, ferme et stable, Tant à présent qu'à l'avenit, Et jamais n'y contrevenir:
Sont toutes clauſes neceſſaires, Renonçons à tous droits contraires.	Sont toutes clauses nécessaires, Renonçons à tous droits contraires.
Soumettans pour ce leurs brebis, Et le deſſout de leurs habits, A toutes Cours, hormis à celle Des Gtippeminos qui chancelle, Obligeans enfin leurs beaux corps A tous les amouteux accords, Et à la priſon d’une couche, Pour y mette bouche ſur bouche.	Soumettants pour ce leurs brebis, Et le dessout de leurs habits, À toutes Cours, hormis à celle Des Gtipeminos qui chancelle, Obligeants enfin leurs beaux corps À tous les amoueux accords, Et à la prison d'une couche, Pour y mette bouche sur bouche.
Fair & publié dans ce lieu, De ce monde le vray milieu, Preſens Thono de la Gonnelle, Et Loren de la Pyronnelle, Témoins appellez & requis, Leſquels n’ont ſçeu ſignèr, requis, Ny les Parties qu’on void rire, Parce qu’ils ne ſçavent écrire:	Fair et publié dans ce lieu, De ce monde le vrai milieu, Presends Thono de la Gonnelle, Et Loren de la Pyronnelle, Témoins appelez et requis, Lesquels n'ont su signèr, requis, Ni les Parties qu'on voit rire, Parce qu'ils ne savent écrire:
Ainſe vous, à ce que j’ay fait, Promettez la foy à l’effet.	Ainse -vous, à ce que j'ai fait, Promettez la foi à l'effet.
LHAUDA.	LHAUDA.
Parertoler to den que te paple je tocho?	Parertoler to den que te paple je tocho?
PIERO.	PIERO.
Oey, bouta, tochi-lo, vi toujour ſen reprocho.	Oey, bouta, tochi-lo, vi toujour sen reprocho.
LHAUDA.	LHAUDA.
Mare vo plairat-to que je tireilo avan?	Mare vo plairat-to que je tireilo avan?
THIEVENA.	THIEUENA.
Icuodumperaquundepievn ton ue van.	Icuodumperaquundepieiel ton ue an.
MATHIA.	MATHIA.
C’à c’à à la dragea, à la pilly, Comare, Lou pereizou icy trovon le figue amare.	C'à c'à -dire dragea, à la pilly, Comare, Lou erezou ici trovon le figue amare.
IANIN.	IANIN.
Le fiançaille ſont feite, y donnon la dragea, Comm’un deſeſpera j’en devono enragea.	Le fiançaille sont féite, y donnon la dragea, Comm’un désespéra j'en dévon enragea.
En mon ma je n’auray jamey point d'allegenci, Sinon que mon ſiblet en faſſe la vengenci.	En mon ma je n'aurai jamey point d'allégénci, Sinon que mon siblet en fasse la vengénci.
PIERO.	PIERO.
Ie danſo de pleiſi de veire tout cecy, L'o cour me tit de vey tout ſauta per icy?	Je danso de pleisi de veire tout ceci, L'ô cour me tit de vey tout sauta per cy?
Et je creyo qu’iſſon devine qu’à le nopce Prou de bon mouchition voyantaron me boſſe.	Et je créio qu'isson devine qu'à le nopce Prou de bon mouchition voyantaron me bosse.
THIEVENA.	THIEUENA.
De la joey que j’en ay lon me vet larima.	De la joey que j'en ai lon me vêt larima.
MATHIA.	MATHIA.
De danſié tant à cop lo ventre me fat ma,	De dansié tant à cop lo ventre me fat ma,
PERNETTA.	PERNETTA.
Ahlje n’en povo piu, cetta dante memipe, Ie ſeu deſſu lo point de voyanta me tripe.	Ahlje n'en povo piv, cetta dante mémipe, Je seu dessu lo point de voyanta me tripe.
THONO.	THONO.
Outon-no tou d’icy, je ſeu tou eigruiſia De ceu ronſié où;	Outon-nô tou d'ici, je seu tou eigruisia De ceu ronsié où;
ay maugra-mi trop danſia,	ai maugra-mi trop dansia,
JANIN.	JANIN.
De ragi, de deipit j’ai lo cervel tout troublo, Veyant que je n’ay point fat de ma à ceu coblo, Vo n’eſtes pa inco eichapa de me man, Iamey viribroquin ne pertuiſit diaman, Inſi vo ne porri paſſa per la ſarailli La cla, vo ne fari queigruiſié la murailli, Cciicy met ien d’avei danſia lo moſtachin, Je vo farey hai comme lou chiet & chin.	De ragi, de deipit j'ai lo cervel tout troublo, Veyant que je n'ai point fat de ma à cv coblo, Vo n'êtes paye inco eichappa de me man, Jamey viribroquin ne pertuisit diaman, Insi v ne porri passa per la sarailli La cla, vo ne fari queigruisié la murailli, Ccii met yen d'avei dansia lo jachin, Je vœux sare hai comme lou et et chin.
Voſtre careſſe un jour ne ſaron que querelle, Quand je devrin tirié d’Enfer le ſauterelle.	Votre caresse un jour ne saron que querelle, Quand je devrin tirié d'Enfer le sauterelle.
CHANSON.	CHANSON.
Prés un Baccus & Cerés, A L’Amour eſt la meillou pidanſi:	Près un Baccus et Cercès, À L'Amour est la meillou pidans:
Chacun dit per ſon interets Qu’aprés la panſi vin la danſi:	Chacun dit per son intérêts Qu'après la pansy vin la dansi:
A jeun lon ne pot badina, Vive l’amour aprés dina.	À jeun lon ne pot badina, Vive l'amour après dina.
I Sen cellou dou bon norriſſié	I Jen celou dou bon norrissié
Lez amour ne ſarion qu’Idole;	Lez amour ne sarion qu'Idole;
Ne ſe nourri que de beiſié, Tont auſſi-to lo cou pendole:	Ne se nourri que de béisié, Tont aussi-to lo cou pendole:
A jeun lon ne pot badina, Vive l’amour aprés dina.	À jeun lon ne pot badina, Vive l'amour après dina.
Toute le plu chaudes amour Ialarion comme pata reida, Si tant ſolamen per un jour La cuiſina deveniet freida:	Toute le plu chaudes amour Jalarion comme pâta reidà, Si tant solamen per un jour La cuisina deveniet freida:
A jeun lon ne pot badina, Vive l’amour aprés dina.	À jeun lon ne pot badina, Vive l'amour après dina.
Amour en ſariet triomphan Si ceu coblo ne lui aidave, L’amoirou maudiriet l’efan Si d’un po de fam u badave.	Amour en sariét triomphan Si ceu coblo ne lui aidave, L'amoir maudiriét l'efan Si d'un pô de sam u badave.
A jeun lon ne pot badina, Vive l’amour aprés dina.	À jeun lon ne pot badina, Vive l'amour après dina.
La Muzetta ne pot chanta S’y n’ét plena juſqu’à la gorgi:	La Muzetta ne pot chanta S'y n'est plena jusqu'à la gorgi:
Inſi l’amour eſt enchanta Si gnat deque ſouffla la forgi.	Insi l'amour est enchanta Si gnat de souffla la forgi.
A jeun lon ne pot badina, Vive l’amour aprés dina.	À jeun lon ne pot badina, Vive l'amour après dina.
Lo mariageo devin creitin Si gnat deque coifnie la tabia, Veiqui perque lo mondo tin Per chouſa la plu veritabla, Qu’a jeun lon ne pot badina, Vive l’amour aprés dina.	Lo mariageo devin critin Si gagnât de coiflie la tabia, Veiqui perque lo mondo tin Per chousa la plu véritabla, Qu'a jeun lon ne pot badina, Vive l'amour après dina.
ACTE QUATRIEME.	ACTE QUATRIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
AMTDOR.	AMTDOR.
PIERO.	PIERO.
AMIDOR.	AMIDOR.
Nfin le Dieu Hymen, eſpoir des amoureux, LTient mon cœur dans les nœuds, mais ſon miel ſavoureux  Eſt encor à gouter, Soleil que ta lumiere Me va faire l’amour, cat je vois ta paupiere Ouverte pour long-tems:	Nfin le Dieu Hymen, espoir des amoureux, LTient mon cœur dans les nœuds, mais son miel savoureux Est encor à goûter, Soleil que ta lumière Me va faire l'amour, cat je vois ta pau Verte pour longtemps:
mais quoique tu ſois beau, Que tu fuſſe cacher les ombres au tombeau, Et que tu rendes l’air ſerain juſqu’à la terre, Pour voir noſtre feſtin au milieu d’un partetre.	mais quoique tu sois beau, Que tu fusse cacher les ombres au tombeau, Et que tu rendes l'air serain jusqu'à la terre, Pour voir notre festin au milieu d'un partetre.
Si tu ne vas toſt rafraichir dans la mer, Je croiray que ça bas (où tu ne dois aimer) Ton ardeur n’eſt qu’un feu d’extrême jalouſie.	Si tu ne vas tôt rafraîchir dans la mer, Je croirai que ça bas (où tu ne dois aimer) Ton ardeur n'est qu'un feu d'extrême jalousie.
Ah!	Ah!
tu trouv’en ce lieu plus qu’au ciel d’ambroiſie:	tu trouv'en ce lieu plus qu'au ciel d'ambroisie:
Ton char eſt arreſté.	Ton char est arrêté.
Pretens-tu de voir l’œil De celle que je ciens pour le plus beau Soleil?	Prétends-tu de voir l'œil De celle que je ciens pour le plus beau Soleil?
Si tu deſires voir qui de vous eſt plus blonde, Sçache que tu l’es moins, & te cache dans l’onde.	Si tu désires voir qui de vous est plus blonde, Sache que tu l'es moins, et te cache dans l'onde.
Et ſi de ſes faveurs tu attens la douccut, Tu dois apprendre auſſi que j’en ſuis poſſeſſeur:	Et si de ses faveurs tu attends la doucut, Tu dois apprendre aussi que j'en suis possesseur:
Toutefois ſi tu veux en emporter quelque aiſe, Ie permets ſeulement que ton rayon la baiſe.	Toutefois si tu veux en emporter quelque aise, Je permets seulement que ton rayon la baise.
Mais auſſi-toſt que dans ces baiſers innocens Tu auras moiſſonné le miel avec l’encens, Retranche ton amour, & ta courſe importune:	Mais aussitôt que dans ces baisers innocents Tu auras moissonné le miel avec l'encens, Retranche ton amour, et ta course importune:
Va baiſer ta Daphné au Palais de Neptune.	Va baiser ta Daphné au Palais de Neptune.
Cours aprés ta fuyarde, & me laiſſe joüir Du plaiſir que le Ciel ne doit voir ni oüir,	Cours après ta fuyarde, et me laisse jouir Du plaisir que le Ciel ne doit voir ni ouïrir,
Ie ne puis ſouhaiter plus rien que ton abſence:	Je ne puis souhaiter plus rien que ton absence:
Car je ne puis ſouffrir des Aſtres la preſence, Ni moins pour compagnon le plus puiſſant des Dieux.	Car je ne puis souffrir des Astres la présence, Ni moins pour compagnon le plus puissant des Dieux.
2 Ie ne veux pour témoin qu’amour qui n’a point d’yeux.	2 Je ne veux pour témoin qu'amour qui n'a point d'yeux.
O quel contentement reçois je de mon ame!	Ô quel contentement reçois je de mon âme!
De voir qu’amour eſt preſt d’obeïr à ma flame:	De voir qu'amour est prêt d'obéir à ma flamme:
Se peut-il exprimer un plaiſir ſi parfait, Que celui qui m’attend au lit que l’on me fait?	Se peut-il exprimer un plaisir si parfait, Que celui qui m'attend au lit que l'on me fait?
Non;	Non;
car les courtiſans en ſeroient incapables:	car les courtisans en seraient incapables:
Les Bergers ſeront donc punis coinme coupables, Qui oſeront compter nos baiſers de Nectar.	Les Bergers seront donc punis coinme coupables, Qui oseront compter nos baisers de Nectar.
Mais nuit, ô douce nuit, tu ne viendras que tard, Tu devrois te haſter d’enyvrer de tes charmes Les eſprits pour me voir dans tes douces alarmes, Puiſque tu ne pretends autre gloire ça-bas.	Mais nuit, ô douce nuit, tu ne viendras que tard, Tu devrais te hâter d'enivrer de tes charmes Les esprits pour me voir dans tes douces alarmes, Puisque tu ne prétends autre gloire ça-bas.
Viens donc favoriſer mes amoureux combats Tout preſent, hors la nuit celebre cette feſte.	Viens donc favoriser mes amoureux combats Tout présent, hors la nuit célèbre cette fête.
Ie n’entens que concerts des oyſeaux ſur ma teſte, Que flajolets, qu’aubois, & que doux chalumeaux, Les chemins ſont ornez de fleurs & de rameaux, Pour honorer les pas de ma belle conjointe:	Je n'entends que concerts des oiseaux sur ma tête, Que flajolets, qu'aubois, et que doux chalumeaux, Les chemins sont ornez de fleurs et de rameaux, Pour honorer les pas de ma belle conjointe:
La voicy, car j’entens la voix d’Orphée jointe A celle des violons:	La voici, car j'entends la voix d'Orphée jointe À celle des violons:
ô Dieux que je me ſens Emporter doucement aux plaiſirs raviſſans.	ô Dieux que je me sens Emporter doucement aux plaisirs ravissants.
PIERO.	PIERO.
Que mon cour ét joyou d’oüi cettez aubade, Et de ce que per vey l’eſpouſa tour s’abade.	Que mon cour est joi d'oüi cettez aubade, Et de ce que per y l'épousa tour s'abade.
Su donq fillatro allon, ſen gueiro pavana, Fare court’oreiſon, per fare long dina.	Su donc fillatro allon, sen guériro pavana, Fare courtoreison, per sare long dina.
ACTE CINQVIEME.	ACTE CINQUIÈME.
SCENE SECONDE.	SCÈNE SECONDE.
LE CUISINIER.	LE CUISINIER.
Go doctiſſimus, témoin noſtre voitine, LC’eſt à dire Meſſieurs, qu’en l’art de la cuiſine Ie ſuis des mieux expers, car dés que le berceau M’a relaſché, je ſçay ce qu’eſt un bon morceau.	Go ctissimus, témoin quelque voitine, LCest à dire Messieurs, qu'en l'art de la cuisine Je suis des mieux expers, car dès que le berceau M'a relâché, je sais ce qu'est un bon morceau.
Ie ſçay tres-bien donner le gouſt à toutes viandes, Les lardons au paſté ſont bons pour les friandes, Aux femmes l’atreler eſt un peu trop petit, Vne langue de bœuf leur donne l’appetit.	Je sais très-bien donner le goût à toutes viandes, Les lardons au pas sont bons pour les friandes, Aux femmes l'âtre est un peu trop petit, An langue de bœuf leur donne l'appétit.
Les cervelats ſont bons pour les plus degoutées, Toutes ſauſſes, pourveu qu’elles ſoient appreſtées Au beurre frais, avec le jus de deux citrons, Rendent tous les eſprits aux femmes des poltrons, Auſſi-toſt que je vois une femme malade, Ie lui donne un renfort avec l’huile en ſalade.	Les cervelats sont bons pour les plus degoutées, Toutes sausses, pourvu qu'elles soient apprêtées Au beurre fais, avec le jus de deux citrons, Rendent tous les esprits aux femmes des poltrons, Aussi-tôt que je vois une femme malade, Je lui donne un renfort avec l'huile en salade.
Ie vens detres bon vin, je donne de bonn’eau.	Je vends detres bon vin, je donne de bonn'eau.
Ie perce pour ma ſoif le plus joli tonneau.	Je perce pour ma soif le plus joli tonneau.
Et quand je tiens de nuit la bouteille vermeille, Ie la baiſe ſix fois avant que je ſommeille:	Et quand je tiens de nuit la bouteille vermeille, Je la baise six fois avant que je sommeille:
Ell’eſt toute pour moy cependant que je bois:	Elle est toute pour moi cependant que je bois:
Car pour me contentet juſqu’au dernier abois, Elle leve cul, elle baiſſe la teſte, Quand je bouche ſon trou, c’eſt ma plus grãde feſte.	Car pour me contentet jusqu'au dernier abois, Elle lève cul, elle baisse la tête, Quand je bouche son trou, c'est ma plus grands fête.
Suis-je pas plus heureux que le Roy Guillemeau, Puis qu’aprés le repas j’ente bien le rameau Qu'un cerf a ſur le front, ſur les plus dures teſtes Si l’on le pouvoit voir, l’on ne verroit que beſtes, Soit chez le courtiſan, ſoit parmy le gavoſt, La vie que je tiens ne craint point le Prevoſt,	Suis-je pas plus heureux que le Roi Guillemeau, Puis qu'après le repas j'ente bien le rameau Qu'un cerf a sur le front, sur les plus dures têtes Si l'on le pouvait voir, l'on ne verrait que bêtes, Soit chez le courtisan, soit parmi le gavôt, La vie que je tiens ne craint point le Prévôt,
Je laiſſe le debat aux Plaideurs volontaires, La peine aux Procureurs, le remors aux Notaires, L’eſtude aux Avocats, la peur aux Treſoriers, L’avarice aux Marchands, la rage aux Vſuriers, Le ſoin & le ſouci aux gens de la Police, La médiſance aux Clercs, aux Pages la malice, L’inſolence aux Loquais, l’envie aux Courtiſans, Et les larmes enfin aux pauvres Artiſans.	Je laisse le débat aux Plaideurs volontaires, La peine aux Procureurs, le remors aux Notaires, L'étude aux Avocats, la peur aux Trésoriers, L'avarice aux Marchands, la rage aux Vsuriers, Le soin et le souci aux gens de la Police, La médisance aux Clercs, aux Pages la malice, L'insolence aux Loquais, l'envie aux Courtisans, Et les larmes enfin aux pauvres Artisans.
