A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
Ta beauté ſeule eſt l’obiect gracieux, Qui peut touſiours ſatisfaire mes yeux, Et ſi le Ciel leur cachoit ton viſage, Hors de pleurer ils n’auroient point d’vſage, Il eſt bien vray que i’auroy merité, D’estre puny de ma temerité Que de t’aymer c’eſt beaucoup entreprendre, Mais qui pourroit contre toy ſe deffendre, Et la raiſon m'en voulant diuertir M’a fait en vain craindre le repentir, Prens ton miroir, & dans ton miroir meſme Voy ce qui fait Olinde que ie t’ayme, Et qu’on ne peuſt ſans estre eſpris d’amour, Voir tes beaux yeux plus beaux que l’œil du iour Voir tes beaux yeux qui forcent les courages, Dont les regards ſont autant d’eſclauages, Ie ne ſuis point fait de roc ny de fer, Mon ame Olinde eſt propre à s’eſchaufer, Ne trouue point ma paßion eſtrange, Ne doit-on pas eſtre amoureux d’vn Ange?	Ta beauté seule est l'objet grâces, Qui peut toujours satisfaire mes yeux, Et si le Ciel leur cachait ton visage, Hors de pleurer ils n'auraient point d'usage, Il est bien vrai que j'aurais mérité, D'être puni de ma témérité Que de t'aimer c'est beaucoup entreprendre, Mais qui pourrait contre toi se défendre, Et la raison m'en voulant divertir M'a fait en vain craindre le repentir, Prends ton miroir, et dans ton miroir et dans ton mi Olinde queie aime, Été Von ce qui fa être Olindamour, Que j' on ne pût sans être épris d' iour Voir tes beaux yeux qui forme les courages, Dont les regards sont autant qesclauages, Ie ne suis point fait de roc ni de fer, Me , Si est le yeu, Ne trouue point ma fo étrange, Ne doit-on pas être amoureux Ange?
Que ſi i’auoy cogneu dans les faux Dieux	Que si j'avais connu dans les faux Dieux
Tant de pouuoir que i’en trouue en tes yeux, Que de boncœur ie ſerois idolatre:	Tant de pouvoir que j'en trouve en tes yeux, Que de boncœur ie serais idolatre:
Ton teint eſt fait de roſes & d’albatré:	Ton teint est fait de roses et d'albatré:
Et ſur tabouche où naiſſent les œillets, De qui les bords, ſont touſiours vermeillets, Ce fol amour artiſan des malices Deſcouure aux yeux ſes plus douces delices, Combien de fois s’il m’euſt eſté permis, Par des regards doucement ennemis, Olinde euſſe-ie aſſouui mon enuie, En la baiſant d’y rechercher ma vie, Et derechef dans l’humeur d’vn baiſer Sentir plus fort mon ame s’embraſer Mais ie ne ſçay qui s’oppoſe à mon aiſe, Si faut-ilbien que quelque homme te baiſe, Les immortels ne quittent plus les Cieux, Comme on a feint aux autres de deux yeux, C’est vne fable auſsi bien que ce ſonge, Ce vain honneur fils aiſné du menſonge, Dont les vieillards viennent perſecuter, Les doux plaiſirs qui ne peuuent gouſter, Mais ton bon ſens paſſe deſſus ces choſes,	Et sur tabouche où naissent les œillets, De qui les bords, sont toujours vermeillets, Ce fol amour artisan des malices Découvre aux yeux ses plus douces délices, Combien de fois s'il m'eût été permis, Par des regards doucement ennemis, Olinde eusse-je assouvi mon envie, En la baisant d'y rechercher ma vie, Et derechef dans l'humeur d'un baiser Sentir plus fort mon âme s'embraser Mais deux ne sais qui s'oppose à mon aise, Si faut-ilbien que à mo te aise, Les immortels ne quittent -il les Cieux, Comme on a feint aux autres de deux yeux, est fable aussi bien que ce songe, Ce vain honneur fils aisné du mme, Dont te vieillards viennent se, Les doux plaisirs quitte peuuent plus, Les ton bon sens , au ces choses,
Tu ne prens point l’eſpine pour les roſes, Et ton esprit fort vigoureux & ſein, Autres penſers ſe met dedans le ſein:	Tu ne prends point l'épine pour les roses, Et ton esprit fort vigoureux et sein, Autres pensers se met dedans le sein:
Tu me cognois de meſme que ma race, De mes threſors ie n’attends point de grace, Pour t’obliger à me vouloir du bien, Il meſuffit que ie veux eſtre tien, Que mongenie eſt forcé de te ſuiure Que loin de toy ie ne pourroy pas viure, Et ie ſerois bien malheureux außi S’il me falloit viure autre part qu’icy, Si ie pouuoy ailleurs treuuer de voye, Par où ie peuſſe aller iuſqu’à ta ioye:	Tu me connais de même que ma race, De mes très lors jusqu'attends point de grâce, Pour t'obliger à me vouloir du bien, Il muffit que tu veux été tien, Que mongénie est forcé de te suivre Que loin de toi ie ne pourrais pas vivre, Et ainsi serais bien malheureux aussi S'il me fallait vivre autre part qu'ici, Si belle pouvai ailleurs trouver de voie, Par où ie peusse aller jusqu'à ta joie:
Si ie pouuoy quelque bien eſperer, Qui peuſt ailleurs vn moment me durer, Ton entretien m'eſt plus cher qu'vn empire, C’est par ta voix que mon ame respire, Tu me peux bien ta grace refuſer, Mais vn autre œil ne ſçauroit m’embraſer:	Si grande pouvais quelque bien espérer, Qui pût ailleurs un moment me durer, Ton entretien m'est plus cher qu'un empire, C'est par ta voix que mon âme respire, Tu me peux bien ta grâce refuser, Mais un autre œil ne saurait m'embraser:
Quelque tu ſois i’ay de delicateſſes, Toutes beautez ne me ſont point maiſtreſſes, Si le corps ſeul a des attraits puiſſants,	Quelque tu sois j'ai dé délicatesses, Toutes beautés ne me sont point maîtresses, Si le corps seul a des attraits puissants,
Il ne ſçauroit aſſubiectir mes ſens, Il faut que l’ame ait de graces pareilles, Ie me prends moins des yeux que des oreilles:	Il ne saurait assubiectir mes sens, Il faut que l'âme ait de grâces pareilles, Je me prends moins des yeux que des oreilles:
Si tu n’auois, Olinde rien de beau Que ce qui doit aller ſous le tombeau, (Si rien y doit aller de ton viſage) Des fers iamais ie n’euſſe appris l’vſage, Et ſi l’on n’a de la brutalité, L’on n’aime point vne ſotte beauté:	Si tu n'avais, Olinde rien de beau Que ce qui doit aller sous le tombeau, (Si rien y doit aller de ton visage) Des fers jamais avoir n'eusse appris l'usage, Et si l'on n'a de la brutalité, L'on n'aime point une sotte beauté:
I’aime de voir les traits d’vne peinture, Mais de l’aimer ce n’eſt pas ma nature, I’aime de voir que dedans vn tableau Le peintre ait mis ce que l’art a de beau, Ceſte beauté pourtant eſt paſſagere, Et dure moins que la fueille legere, Et ta beauté ſubiect de mon amour Doit plus durer que le flambeau du lour:	J'aime de voir les traits d'une peinture, Mais de l'aimer ce n'est pas ma nature, J'aime de voir que dedans un tableau Le peintre ait mis ce que l'art a de beau, Cette beauté pourtant est passagère, Et dure moins que la fueille légère, Et ta beauté sujet de mon amour Doit plus durer que le flambeau du lour:
Quoy que le temps, dont le facheux empire Ne ſouffre rien qui ne deuienne pire Pour l’effacer face tous ſes efforts, Il ne nuira qu'a la beauté du corps, Pourtant Olinde, il ſeroit bien dommage	Quoi que le temps, dont le fâcheux empire Ne souffre rien qui ne devienne pire Pour l'effacer face tous ses efforts, Il ne nuira qu'a la beauté du corps, Pourtant Olinde, il serait bien dommage
Que ce vieillard vint gaſter ton viſage.	Que ce vieillard vint gâter ton visage.
Qu'il en fanit les roſes & les lis, Et les couurir de rides & de plis, Auparauant que tu peuſſes cognêtre En les gouſtant les biens qui t’ont fait nêtre, Car ignorant qu’eſt-ce que c’eſt d’aimer, De voir vne ame en deux corps s’enfermer, Viure en vn autre, vn autre dans toy-meſme, Lors qu’il paſlit auoir la face bleſme, Et quelquesfois en des embraſſements Sans y penſer perdre les ſentimens, Languir long-temps ſur dès roſes humides, Pour r’aſſeurer tes volontez timides, Et d’vn baiſer redonner l’ame au corps Qu'encor la leure arreſtoit ſur ſes bords, Et ſans bruſler en des flammes ſi viues, Tu ne peux pas aſſeurer que tu viues, Car hors de là tous les plaiſirs humains, Ne ſont que poudre & que vent en nos mains.	Qu'il en fanit les roses et les lis, Et les couvrir de rides et de plis, Auparavant que tu puses connées En les goûtant les biens qui t'ont fait nêtre, Car ignorant qu'est-ce que c'est d'aimer, De voir âme en deux corps s'enfermer, Vivre en un autre, un autre dans toi-même, Lors qu'il pâlit avoir la face blême, Et quelquefois en des embrassements Sans y penser perdre les sentiments, Languir longtemps sur d' roses humides, Pour rassurer tes volonté timides, Et baiser redonner lâme au corps Qu'encor la lèvre arrestoit sur ses bords, Et sans brûler on tés flammes si viues,Nt ce peux pas asseurer que tu ides, Car hors de tous les ' en, Ne sont que re et que vent en nos mains.
STANCES A OLINDE ſur ſon prochain mariage.	STANCES A LYNDE sur son prochain mariage.
L eſt vray iereſſens puiſsãment dans mon ame Les effets de la flame Que peuuent deux beaux yeux en nos cœurs allumer, Ie bruſle pour Olinde, & toutes mes penſez Sont ſeulement pouſſez A luy perſuader qu'elle me vueille aymer.	L est vrai jéressens puissãment dans mon âme Les effets de la flamme Que peuvent deux beaux yeux en nos cœurs allumer, Je brûle pour Olinde, et toutes mes pensez Sont seulement poussez A lui persuader qu'elle me veuille aimer.
2 Depuis huict ou dix mois ie la voys ie la preſſe Que plus douce maiſtreſſe I d1109b Elle vueille à mes maux meſler quelques plaiſirs, Elle le faict ſouuent, mais ce qu'elle m'octroye N’eſt qu'vne foible ioye 104 Qui ralume pluſtot qu'eſteindre mes deſirs.	2 Depuis huit ou dix mois sens la vois après la presse Que plus douce maîtresse I 119b Elle veuille à mes maux mêler quelques plaisirs, Elle le fait souvent, mais ce qu'elle m'octroie N'est qu'une faible joie 104 Qui ralume plaît qu'éteindre mes désirs.
Elle me permet bien que ſes beaux bras ie touche, Que ie baiſe ſa bouche, Q 2	Elle me permet bien que ses beaux bras ie Que, Que tu baise sa bouche, Q 2
1 Et ne me deffens point les nages de ſon ſein:	1 Et ne me défends point les nages de son sein:
Mais ſi ma paßion me porte à dauantage  En changeant de viſage VIl Ses mains auec depit arreſtent mon deſſein.	Mais si ma passion me porte à davantage En changeant de visage VIl Ses mains auec dépit arrêtent mon dessein.
Elle deuient colere, elle eſclate en iniures, Et des mots de pariures, D’indiſcret & de traitre elle aigrit ſon diſcours, Ie le ſouffre pourtant auec cette eſperance Que ma perſeuerance Me la rẽdra plus douce apres beaucoup de iours.	Elle dévient colère, elle éclate en injures, Et des mots de parjures, D'indiscret et de traître elle aigrit son discours, Je le souffre pourtant avec cette espérance Que ma persévérance Me la rẽdra plus douce après beaucoup de jours.
eaelle uun Mais c’eſt flatter mõ mal d’vne eſperance vaine Olinde eſt trop hautaine, La conſtãce à l’aymer n’obtient point ſa douceur Vn homme quel qu’il ſoit außi toſt l’importune Si l’aueugle fortune De beaucoup de moyens ne le faict poſſeſſeur.	eaelle mon Mais c'est flatter mõ mal d'une espérance vaine Olinde est trop hautaine, La constance à l'aimer n'obtient point sa douceur Un homme quel qu'il soit aussi tôt l'importune Si l'aveugle fortune De beaucoup de moyens ne le fait possesseur.
Ie ſçay bien toutes-fois que mon port ny ma face Encore que ſans grace, Ne me la rendent point difficille à mes vœux,	Je sais bien toutefois que mon portagez ma face Encore que sans grâce, Ne me la rendent point difficille à mes vœux,
Et ſi ie poſſedoy deux mille eſcus de rente Elle ſeroit contente De m’accorder bien toſt la faueur que ie veux.	Et si ici possédoi deux mille écus de rente Elle serait contente De m'accorder bien tôt la faveur que de veux.
Cet auare deſir me diſtraict ſa penſee, Mais qu’elle eſt inſenſee Les biens n’augmentẽt point les plaiſirs de Venus Et m’eſtonne pourquoy ceſte folle maiſtréſſe Deſire la richeſſe, Où le contentement nous demande tous nus.	Cet avare désir me distrait sa pensée, Mais qu'elle est insensée Les biens n'augmentẽt passé les plaisirs de Venus Et m'étonne pourquoi cette folle maistrésse Désire la richesse, Où le contentement nous demande tous nus.
Olinde tu ſeras bien-toſt dedans le blame Si tu gardes dans l’ame Ce vain deſir d’eſclat qui trouble ma raiſon Et ſi ton bon Demon en changeant ton courage N’en détourne l’orage, Auec vn riche ſot tu ſeras en priſon.	Olinde tu seras bientôt dedans le blâme Si tu gardes dans l'âme Ce vain désir d'éclat qui trouble ma raison Et si ton bon Démon en changeant ton courage N'en détourne l'orage, Avec un riche sot tu seras en prison.
Croy moy, prens y bien garde, eſuite ceſte faute, Et que ton ame haute Ne ſe repaiſſe point de tant de vanité, Les robes, les coliers, les bagues & les chaines	Crois -moi, prends y bien garde, évite ceste faute, Et que ton âme haute Ne se repaisse point de tant de vanité, Les robes, les coliers, les bagues et les chaines
Sont des pareures vaines, Qui donnent en amour bien peu de volupté.	Sont des pareures vaines, Qui donnent en amour bien peu de volupté.
Quel plaiſir dans tes biens ayant dedans ta couche, Vne peſante ſouche, Vne maſſe de chair ſans voix ny mouuement Qui ne cognoitra poïnt ta beauté ny ta grace Et qui ſera de glace, Auxplus fortes ardeurs de ton embraſement.	Quel plaisir dans tes biens ayant dedans ta couche, Une pesante souche, Une masse de chair sans voix mieux mouvement Qui ne connaîtra poïnt ta beauté était ta grâce Et qui sera de glace, Auxplus fortes ardeurs de ton embrasement.
Ou qui ſi quelquefois il reſſent là pointure Que donne lamature, Apres que tu l’auras longuement careſsé, Comme vne heſte brute aſſouuira ſa flame Et de ſon corps infame Sans beaucoup de plaiſir le tien ſera preßé.	Ou qui si quelquefois il ressent là pointure Que donne lamature, Après que tu l'auras longuement caressé, Comme une hête brute assouvira sa flamme Et de son corps infâme Sans beaucoup de plaisir le tien sera pressé.
Mais c’eſt le moindre mal qui menace ta teſte, C’eſt la moindre tempeſte Qui doiue alors troubler le calme de tes iours.	Mais c'est le moindre mal qui menace ta tête, C'est la moindre tempête Qui doive alors troubler le calme de tes jours.
Il deuiendra ialoux, & tes douces careſſes	Il deviendra jaloux, et tes douces caresses
A ton deſſein traiſtreſſes Luy feront ſoubçonner des ſecretes amours.	À ton dessein traîtresses Lui feront soubonner des secrètes amours.
Ces baiſers, dira-il, ſont appris dans l’eſcolle De quelque amitié folle, Ces mouuements de langue & ces embraſſemẽs Sont les laches leçons d’vne flame indiſcrette, Que tu me tiens ſecrette, Et que tu vas eſteindre aux bras de tes amans.	Ces baisers, dira-il, sont appris dans l'écolle De quelque amitié folle, Ces mouvements de langue et ces embrassements Sont les lâches leçons d'une flamme indiscrète, Que tu me tiens secrète, Et que tu vas éteindre aux bras de tes amants.
Allons il te tiendra dans ſa chambre arretee Et ta face attriſtee Te fera voir bien toſt autre que tu ne fus hujuuneue tes jemoe ejooimra uuns tes larmes, Et priuez de leurs charmes Amour ne viendra plus y r’allumer ſes feux.	Allons il te tiendra dans sa chambre arrêtée Et ta face attriste Te fera voir bien tôt autre que tu ne fus hujuuneue tes jemoie ejooimra uuns tes larmes, Et privez de leurs charmes Amour ne viendra plus y rallumer ses feux.
Vne vieille ſeruante à ce tigre aſſeruie Eſpiera ta vie, Et ſera malgré toy compagne de tes pas, Toutes tes actions ſentiront la morſure De ſa folle cenſure, Sans oſer teſmoigner qu'elle ne te plaiſt pas.	Une vieille servante à ce tigre asservie Espiera ta vie, Et sera malgré toi compagne de tes pas, Toutes tes actions sentiront la morsure De sa folle censure, Sans oser témoigner qu'elle ne te plaît pas.
Tes beaux bras & tes mains dont ie ſuis idolatre Ne ſeront plus d’albatre, L’ennuy conſommera leur grace & leur beauté.	Tes beaux bras et tes mains dont je suis idolâtre Ne seront plus d'albâtre, L'ennui consommera leur grâce et leur beauté.
