TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
I’ayme de voir les traits d’vne peinture, Mais de l’aimer ee n’eſt pas ma nature, I’ayme de voir que dedans vn tableau Le peintre ait mis ce que l’art a de beau, Ceſte beauté pourtant eſt paſſagere, Et dure moins que la fueille legere, Et ta beauté ſubiect de mon amour Doit plus durer que le flambeau du iour:	J'aime de voir les traits d'une peinture, Mais de l'aimer ce n'est pas ma nature, J'aime de voir que dedans un tableau Le peintre ait mis ce que l'art a de beau, Cette beauté pourtant est passagère, Et dure moins que la fueille légère, Et ta beauté sujet de mon amour Doit plus durer que le flambeau du jour:
Quoy que le temps, dont le facheux empire Ne ſouffre rien qui ne deuienne pire, Pour l’effacer face tous ſes efforts, Il ne nuira qu’à la beauté du corps:	Quoi que le temps, dont le fâcheux empire Ne souffre rien qui ne devienne pire, Pour l'effacer face tous ses efforts, Il ne nuira qu'à la beauté du corps:
Pourtant Olinde, il ſeroit bien dommage Que ce vieillard vint gaſter ton viſage, Qu'il en fanit les roſes & les lis, Et les couurit de rides & de plis, Auparauant que tu peuſſes cognétre En les gouſtant les biens qui t’ont fait nêtre, Car ignorant qu'eſt-ce que c'eſt d’aimer, De voir vne ame en deux corps s’enfermer, Viure en vn autre, vn autre dans toy meſme, Lors qu’il paſlit auoir la face bleſme, Et quelquesfois en des embraſſements Sans y penſer perdre les ſentimens, Languir long-temps ſur des roſes humides, Pour r’aſſeurer tes volontez timides, Et d’vn baiſer redonner l’ame au corps Qu'encor la leure arreſtoit ſur ſes bords, Et ſans bruſler en des flammes ſi viues, Tu ne peux pas aſſeurer que tu viues, Car hors de là tous les plaiſirs humains, Ne ſont que poudre & que vent en nos mains.	Pourtant Olinde, il serait bien dommage Que ce vieillard vint gâter ton visage, Qu'il en fanit les roses et les lis, Et les couvrit de rides et de plis, Auparavant que tu pusses connaître En les goûtés les biens qui t'ont fait nêtre, Car ignorant qu'est-ce que c'est d'aimer, De voir une âme en deux corps s'enfermer, Vivre en un autre, un autre dans toi -même, Lors qu'il pas pleurerait la face blême, Et quelquefois en des embrassements Sans y penser perdre les sentiments, Languir long-temps sur des roses humides, Pour asseurer tes volonté timides, Et baiser redonner La au corps Qu'encor la lèvre y sur ses bords, Et sans brûler en des flammes si viues, Tu ne peux pas asseurer que tu viues, Car hors de L ou le plaisirs humains, Re sont que re et que vent en tous mains.
AIANCES A OLINDE ſur ſon prochain mariage.	ÀIANCES A LYNDE sur son prochain mariage.
L eſt vray ie reſſens puiſſament dans mon ame 1 Les effets de la flame Que peuuẽt deux beaux yeux en nos cœurs allumer, Ie bruſle pour Olinde, & toutes mes penſez Sont ſeulement pouſſez A luy perſuader qu'elle me veille aimer.	L est vrai assez ressens puissament dans mon âme 1 Les effets de la flamme Que peuuẽt deux beaux yeux en nos cœurs allumer, Je brûle pour Olinde, et toutes mes pensez Sont seulement poussez A ussy persuader qu'elle me veille aimer.
Depuis huict ou dix mois ie la voy, ie la preſſe Que plus douce maiſtreſſe Elle veuille à mes maux meſler quelques plaiſus Elle le faict ſouuent, mais ce qu'elle m’octroye N’eſt qu’vne foible ioye Qui ralume pluſtot qu’eſteindre mes deſirs.	Depuis huit ou dix mois Seigneur la voit, je la presse Que plus douce maîtresse Elle veuille à mes m mêler quelques plaisus Elle le fait souvent, mais ce qu'elle m'octroie N'est qu'une faible joie Qui ralume plutôt qu'éteindre mes désirs.
Elle me permet bien que ſes beaux bras ie touche Que ie baiſe ſa bouche, Et ne me deffend point les neges de ſon ſein:	Elle me permet bien que ses beaux bras ie touche Que Elle baise sa bouche, Et ne me défend point les néges de son sein:
Mais ſi ma paßion me porte à dauantage En changeant de viſage Ses mains auec depit arreſtent mon deſſein.	Mais si ma passion me porte à davantage En changeant de visage Ses mains avec dépit arrêtent mon dessein.
Elle deuient colere, elle eſclate en iniures, Et des mots de pariures, D’indiſcret & de traitre elle aigrit ſon diſcours, Ie le ſouffre pourtant auec cette eſperance Que ma perſeuerance Me la rendra plus douce apres beaucoup de iours, Mais c’eſt flater mon mal d’vne eſperance vaine Olinde eſt trop hautaine, La conſtance à l’aimer n’obtient point ſa douceur, Si l’aueugle fortune De beaucoup de moyens ne le faict poſſeſſeur.	Elle dévient colère, elle éclate en injures, Et des mots de parjures, D'indiscret et de traître elle aigrit son discours, Je le souffre pourtant avec cette espérance Que ma persévérance Me la rendra plus douce après beaucoup de jours, Mais c'est flatter mon mal d'une espérance vaine Olinde est trop hautaine, La constance à l'aimer n'obtient point sa douceur, Si l'aveugle fortune De beaucoup de moyens ne le fait possesseur.
Ie ſçay bien toutes-fois que mon port ny ma face Encore que ſans grace,	Je sais bien toutefois que mon port Seigneur ma face Encore que sans grâce,
Ne me la rendent point difficille à mes vœux, Et ſi ie poſſedoy deux mille eſcus de rente Elle ſeroit contente De m’accorder bien toſt la faueur que ie veux.	Ne me la rendent point difficille à mes vœux, Et si ici possédoi deux mille écus de rente Elle serait contente De m'accorder bien tôt la faveur que je veux.
Cet auare deſir me diſtraict ſa penſee, Mais qu’elle eſt inſenſee Les biens n’augmentent point les plaiſirs de Venus, Et m'eſtonne pourquoy ceſte folle maiſtreſſe Deſire la richeſſe, Où le contentement nous demande tous nus.	Cet avare désir me distrait sa pensée, Mais qu'elle est insensée Les biens n'augmentent point les plaisirs de Venus, Et m'étonne pourquoi cette folle maîtresse Désire la richesse, Où le contentement nous demande tous nus.
Olinde tu ſeras bien-toſt dedans le blàme Si tu gardes dans l’ame Ce vain deſir d’eſclat qui trouble ma raiſon Et ſi ton bon Demon en changeant ton courage N’en détourne l’orage, Auec vn riche ſot tu ſeras en priſon.	Olinde tu seras bientôt dedans le blâme Si tu gardes dans l'âme Ce vain désir d'éclat qui trouble ma raison Et si ton bon Démon en changeant ton courage N'en détourne l'orage, Avec un riche sot tu seras en prison.
Croy moy, prens y bien garde, eſuite ceſte faute, Et que ton ame haute Ne ſe repaiſſe point de tant de vanité, Les robes, les coliers, les bagues & les chaines Sont des pareures vaines, Qui donnent en amour bien peu de volupté.	Crois -moi, prends y bien garde, évite ceste faute, Et que ton âme haute Ne se repaisse point de tant de vanité, Les robes, les coliers, les bagues et les chaines Sont des pareures vaines, Qui donnent en amour bien peu de volupté.
Quel plaiſir dans tes biens ayant dedans ta couche, Vne peſante ſouche, Vne maſſe de chair ſans voix ny moûuement Qui ne cognoitra point ta beauté ny ta grace Et qui ſera de glace, Aux plus fortes ardeurs de ton embrà ſement.	Quel plaisir dans tes biens ayant dedans ta couche, pesante souche, masse de chair sans voix ni moûuement Qui ne cognoitra point ta beauté ni ta grace Et qui sera de glace, Dans tes biens ayant de dans ta couche,
Ou qui ſi quelquefois il reſſent la pointure Que donne la nature, Apres que tu l’auras longuement careßé, Comme vne beſte brute aſſouuira ſa flame Et de ſon corps infame Sans beaucoup de plaiſir le tien Jera preßé.	Ou qui si quelquefois il ressent la pointure Que donne la nature, Après que tu l'auras longuement caressé, Comme une bête brute assouvira sa flamme Et de son corps infâme Sans beaucoup de plaisir le tien Jera pressé.
Mais c’eſt le moindre mal qui menace ta teſte, C’eſt la moindre tempeſte Qui doibue alors troubler le calme de tes iours.	Mais c'est le moindre mal qui menace ta tête, C'est la moindre tempête Qui doibue alors troubler le calme de tes jours.
Il deuiendra ialoux, & tes douces careſſes A ton deſſein traiſtreſſes Luy feront ſoubçonner des ſecretes amours.	Il deviendra jaloux, et tes douces caresses A ton dessein traîtresses Lui feront soubçonner des secrètes amours.
Qo tuinouiens ſecrette, Et que tu vas eſteindre aux bras de tes amans.	Quo tuinouiens secrète, Et que tu vas éteindre aux bras de tes amants.
Allons il te tiendra dans ſa chambre arretes Et ta jate Muqees	Allons il te tiendra dans sa chambre artes Et ta te Muqées
Te fert	Te sert
Seras tu bien ſi ferme Que de pouuoir ſouffrir mon abord ſans pleurer?	Seras -tu bien si ferme Que de pouvoir souffrir mon abord sans pleurer?
147 Tes beaux bras & tes mains dont ie ſuis idolatre Ne ſeront plus d’albatre, L’ennuy conſommera leur grace & leur beaute, Et ta treſſe auiomumnuu couqueis ſi'chargee, D'or en argent changee, Ne tiendra plus captiue aucune liberté.	147 Tes beaux bras et tes mains dont je suis idolâtre Ne seront plus d'albâtre, L'ennui consommera leur grâce et leur beauté, Et ta tresse auiomumnuu couqueis si' chargée, D'or en argent change, Ne tiendra plus captive aucune liberté.
Te fera voir bien tost autre que tu ne feus La flame de tes yeux s’eſteindra dans tes larmes, Et priuez de leurs charmes Amour ne viendra plus y r’allumer ſes feux.	Te fera voir bien tôt autre que tu ne feus La flamme de tes yeux s'éteindra dans tes larmes, Et privez de leurs charmes Amour ne viendra plus y rallumer ses feux.
Vne vieille ſeruante à ce tigre aſſeruie Eſpiera ta vie, Et ſera malgré toy compagne de tes pas, Toutes ſes actions ſentiront la morſure De ſa folle cenſure, Sans oſer teſmoigner qu’elle ne te plaiſt pas,	Une vieille servante à ce tigre asservie Espiera ta vie, Et sera malgré toi compagne de tes pas, Toutes ses actions sentiront la morsure De sa folle censure, Sans oser témoigner qu'elle ne te plaît pas,
Alors ſi mon deſtin me permet que ie viue, Et que mon heur arriue, Où ſans faire le vain ie le puis deſirer, Et qu’il me ſoit permis de te voir en ce terme,	Alors si mon destin me permet que ie viue, Et que mon heur arrive, Où sans faire le vain ie ! puis désirer, Et qu'il me soit permis de te voir en ce terme,
De quel coſté pourtant que le malheur t’aſſaille, Et quelque part que i'aille, 1 Ainſi que toy i’auray le ciel ou triſte ou beau:	De quel côté pourtant que le malheur t'assaille, Et quelque part que j'aille, 1 Ainsi que toi j'aurai le ciel ou triste ou beau:
Et quoy que mon deſtin trauaillât au contraire, Il ne peuſt iamais faire Que mon amour ne dure au delà du tombeau,	Et quoi que mon destin travaillât au contraire, Il ne pût jamais faire Que mon amour ne dure au delà du tombeau,
STANCES A LA MESME.	STANCES À LA MÊME.
Linde me veux tu guerir, JOu ſi ie dois encor dedans l’incertitude Te voir lente à me ſecourir, Sans alleger ma ſeruitude Tu me verras bien toſt mourir.	Linde me veux tu guérir, JOu si ici dois encor dedans l'incertitude Te voir lente à me secourir, Sans alléger ma servitude Tu me verras bien tôt mourir.
N’as tu pas iuré de m’aymer, Et de nourrir pour moy des flammes eternelles, Et moy de jamdis mattumer Dans mon ſein des flammes nouuelles, Et me deuſt le Ciel abiſmer.	N'as tu pas juré de m'aimer, Et de nourrir pour moi des flammes éternelles, Et moi de jamdis mattumer Dans mon sein des flammes nouvelles, Et me dût le Ciel abîmer.
Apres ces mutuels ſermens Te voir à nos plaiſirs ſi laſche & ſi retiue, Ie ne croy pas que les tourmens, Q'on feint dela la noire riue, Comme les miens ſoient vehemen	Après ces mutuels serments Te voir à nos plaisirs si lâche et si rétive, Je ne crois pas que les tourments, Q'on feint déla la noire rive, Comme les miens soient vehemen
Ces rouës, ces tonneaux percez Deſtinez à punir les ames malheureuſes, 1.	Ces roues, ces tonneaux percez Destinez à punir les âmes malheureuses, 1.
Ces rochers, ces ruiſſeaux glacez Ne ſont que peines fabuleuſes, Fouréſtonneraesijenjes	Ces rochers, ces ruisseaux glacés Ne sont que peines fabuleuses, Fouréstonneraesijenjes
Mais celles que ta laſcheté M’a fait deſia ſentir ſont des peines reelles, Que le Dieu le plus irrité angereneſre prep eiuelles Pour punir vn impieté.	Mais celles que ta lâcheté M'a fait déjà sentir sont des peines réelles, Que le Dieu le plus irrité angerenesre prép ivelles Pour punir ainsi impiété.
Tout ce qu’on nous dit de l’honneur, N’eſt qu'vne illuſion en l’ame du vulgaire, Dont ſe ſeruit vn ſuborneur, Pour eſtablir noſtre miſere, Et ruyner noſtre bonheur.	Tout ce qu'on nous dit de l'honneur, N'est qu'une illusion en l'âme du vulgaire, Dont se servit un suborneur, Pour établir notre misère, Et ruiner notre bonheur.
Eſuite donc ce que tu dis, Eſtouffe belle Olinde en ton ame la honte, Prens des mouuemens plus hardis, Et ne fais point deſormais conte De ces ſottiſes de iadis.	Esuite donc ce que tu dis, Étouffe belle Olinde en ton âme la honte, Prends des mouvements plus hardis, Et ne fais point désormais compte De ces sottises de jadis.
Tu ſçay que ie l’ay merité, Mes ſeruices te ſont des raiſons aſſez fortes Pour vaincre la timidité, Qui me fait refuſer les portes	Tu sais que cela l'ai mérité, Mes services te sont des raisons assez fortes Pour vaincre la timidité, Qui me fait refuser les portes
D'vne telle felicité.	D'une telle félicité.
Ne laiſſe plus embaraſſer Ton eſprit vigoureux par de ſi vaines fables, Car les Dieux qui t’ont fait ſuccer Des ſentimens plus raiſonnables Se poueroient enfin courroucer.	Ne laisse plus embarrasser Ton esprit vigoureux par de si vaines fables, Car les Dieux qui t'ont fait succer Des sentiments plus raisonnables Se poueraient enfin courroucer.
A LA MESME.	À LA MÊME.
Linde ie te voy bien ſouuent combattuë, OQuoy que ton eſprit ſoit puiſſant, Des maux que le vulgaire ſent, Et ie voy ta raiſon ſous leur force dbattuë, Qui par fois y conſent.	Linde ie te vois bien souvent combattue, OQueoi que ton esprit soit puissant, Des maux que le vulgaire sent, Et ici voi ta raison sous leur force dbattue, Qui par fois y consent.
La couſtume eſt bien violente, Et l’on peuſt difficilement Se detromper ſi promptement Des erreurs que le temps en ſon alleure lente Fait gliſſer doucement.	La coutume est bien violente, Et l'on pût difficilement Se détromper si promptement Des erreurs que le temps en son alleure lente Fait glisser doucement.
L’honneur n’eſt rien qu’vne chimere, Chacun le peint à ſa façon:	L'honneur n'est rien qu'une chimère, Chacun le peint à sa façon:
Pour moy ie le peins en garçon, Qui s’enfuit libertin loin des bras de ſa mere Et rit de ſa leçon.	Pour mo ie le peins en garçon, Qui s'enfuit libertin loin des bras de sa mère Et rit de sa leçon.
