A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
dau teſiet aneninte eſiant jonrdangereiſe Elle demande vne ame & forte & genereuſe.	dau tesiet anéninte esiant jonrdangereise Elle demande une âme et forte et généreuse.
FLORESTAN.	FLORÊTAN.
Iqu’il faut Grace aux Dieux, nous croyons auoir tout ce Pour dreſſer noſtre vol deuxfois encor plus haut Sire ie vous promets qu'auec cette effigie Ie ne crains viſion, fantoſme ny magie, Couuert de ce bouclier i’oſerois me vanter Qu'a peine tout l’Enfer pourroit m'eſpouuante?	Iqu'il faut Grâce aux Dieux, nous croyons avoir tout ce Pour dresser notre vol deuxfois encor plus haut Sire enfin vous promets qu'avec cette effigie Je ne crains vision, fantôme était magie, Couvert de ce bouclier j'oserais me vanter Qu'a peine tout l'Enfer pourrait m'épouvante?
Ie ne voudrois ſinon ouyr les reſueries Que diſent ces Amans au fort de leurs furies.	Je ne voudrais sinon ouïr les rêveries Que disent ces Amans au fort de leurs furies.
LE ROY.	LE ROY.
Mõ fils vient d'acheuer ſes regrets & les miens La Bergere dans peu commencera les ſiens:	Mod fils vient d'achever ses regrets et les miens La Bergère dans peu commencera les siens:
Ne faiſons point de bruit, la voila qui s’eſueille	Ne faisons point de bruit, la voilà qui s'éveille
FLORESTAN.	FLORÊTAN.
ſjant vuir queue ihue abratettemerhelde.	sjant vuir queue ihue abrattemerhelde.
Y LVIE.	Y LVIE.
Qu'eſt-ce cy, c’eſt pluſtoſt la poſture d’vn mort Que mõ Thelame tient, que d’vn hõme qui dort:	Qu'est-ce cy, c'est plutôt la posture d'un mort Que mon Thelme tient, que d'un homme qui dort:
O Thelame, Thelame, hé Dieuxlc'eſt vn tronc d’arbre, Sans voix, ſans mouuements, & plus froid que du marbre, (demy Ses yeux troubles tourneZ & clos plus qu'à Mõſtrent biẽ qu’il eſt mort & nõ pas endormy.	Ô Thélame, Thélame, hé Dieuxlc'est un tronc d'arbre, Sans voix, sans mouvements, et plus froid que du marbre, (demi Ses yeux troubles tournez et clos plus qu'à Mõstrent biẽ qu'il est mort et notre pas endormi.
Qui iamais euſt pensé qu’auec tant d’inſolence La mort euſt ſur ton âge vsé de violence, Et qu’vn ſi beau Soleil par vn triſte accident Euſt en ſon clair midy treuué ſon occident?	Qui jamais eût pensé qu'avec tant d'insolence La mort eût sur ton âge usé de violence, Et qu'un si beau Soleil par un triste accident Eut en son clair midi trouvé son occident?
Que cette Iſle en ta mort fait vne grande perte, Qu'on la verra bien toſt infertile & deſerte, Et ſur tout que nos champs, de qui les liberteZ e les faiſoient hanter, ſeront bien deſerteZ:	Que cette Isle en ta mort fait une grande perte, Qu'on la verra bien tôt infertile et déserte, Et sur tout que nos champs, de qui les liberté e les faisoient hanter, seront bien désertez:
es amoureux oyſeaux d’vne plainte commune V’entretiendront les bois que de ton infortune, es bocages fleuris cõme aux cœurs des Hyuers	es amoureux oiseaux d'une plainte commune V'entretiendront les bois que de ton infortune, es bocages fleuris comme aux cœurs des Hivers
Quitteront de regret leurs habillemens verts;	Quitteront de regret leurs habillements verts;
Meſmes noſtre agreable & fidele fontaine Sçachãt pourquoy le dueil ſera parmy la plain Pour teſmoigner außi ſa triſteſſe à ſon tang Ne verſera ſinon ou de l’ancre ou du ſang, Et ce doux bruit qui rend l’oreille reſiouye Deuiendra lamentable, & bleſſera l’ouye, Les herbes & les fleurs que ces flots toucberont De la racine au faiſte außi toſt ſecheront;	Mesmes notre agréable et fidèle fontaine Sachant pourquoi le deuil sera parmi la pleurs Pour témoigner aussi sa tristesse à son tang Ne versera sinon ou de l'ancre ou du sang, Et ce doux bruit qui rend l'oreille réjouie Deuiendra lamentable, et blessera l'ouïe, Les herbes et les fleurs que ces flots touberont De la racine au faîte faîte tôt sécheront;
Et moy pour te monſtrer que ie te ſuis fidelle, Et que ma loyautê n’a que ſoy de modelle, Ie veux auec ma vie acheuer ma langueur, Et donner à mes pleurs ce que i’ay de vigueur:	Et moi pour te montrer que sans te suis fidèle, Et que ma loyautés n'a que soi de modèle, Je veux avec ma vie achever ma langueur, Et donner à mes pleurs ce que j'ai de vigueur:
Ie te prie attends moy ſur le riuage ſombre, Mon ame en vn momẽt y va toindre ton ombre Caron nous paſſera tous deux à meſme temps Dans ces champs bien heureux, où nous viuron contents, Là i’oſe m’aſſeurer que les plus belles ames Plaignant noſtre de ſaſire admirerõt nos flame:	Je te prie attends moi sur le rivage sombre, Mon âme en un momẽt y va toindre ton ombre Caron nous passera tous deux à même temps Dans ces champs bien heureux, où nous vivron contents, Là j'ose m'assurer que les plus belles âmes Plaignant notre de sasire admirerõt nos flamme:
Et que les plus amans & fideles eſprits De cõſtance & d'amour nous quitteront le priPeut eſtre, cher Amant, que ſans y prẽdre garde I'on paſſage fatal trop long temps ie retarde:	Et que les plus amants et fidèles esprits De confstance et d'amour nous quitteront le priPeut être, cher Amant, que sans y prendre garde J'on passage fatal trop long temps ie retarde:
Le temps me preſſe, acheue, ômort, de me tuer, E fais ce que mon bras ne peut effectuer, Ton charitable dard trop doucement me bleſſe, Thelame ie me meurs d’amour & de foibleſſe.	Le temps me presse, achève, ômort, de me tuer, E fais ce que mon bras ne peut effectuer, Ton charitable dard trop doucement me blesse, Thelale ie me meurs d'amour et de faiblesse.
LE ROY.	LE ROY.
Cheualier, les regrets de cet eſprit amant Amolliroient-ils pas des cœurs de diamant?	Chevalier, les regrets de cet esprit amant Amolliraient-ils pas des cœurs de diamant?
Eſt ce pas vn ſujet capable de vos armes, Et de ranger le marbre à l’vſage des larmes?	Est -ce pas un sujet capable de vos armes, Et de ranger le marbre à l'usage des larmes?
Employez s’il vous plaiſt toute voſtre valleur A finir aujourd’huy ma miſere & la leur.	Employez s'il vous plaît toute votre valleur A finir aujourd'hui ma misère et la leur.
FLORESTAN.	FLORÊTAN.
Sire, ie me promets qu’auant qu’il ſoit vne heure Mon eſpreuue rendra leur fortune meilleure, Ie me ſuis reſolu de mourir ſous l'effort, Ou de venir à bout de ce magique ſort, Ie m’en vais de ce pas vacquer à l’entrepriſe.	Sire, Seigneur me promets qu'avant qu'il soit une heure Mon épreuve rendra leur fortune meilleure, Je me suis résolu de mourir sous l'effort, Ou de venir à bout de ce magique sort, Je m'en vais de ce pas acquer à l'entreprise.
LE ROY.	LE ROY.
O qu'en cette action le Ciel vous fauoriſe!	Ô qu'en cette action le Ciel vous favorise!
Et moy ie me retire à ce prochain autel R iij aMllucrectamer deſttomrs aunacer.	Et moi raison me retire à ce prochain autel R ij àMllucrectamer desttomrs àunacer.
FLORESTAN.	FLORÊTAN.
Floreſtan, à ce coup l’occaſion ſe treuue De tirer iuſqu'au bout ton courage à l’eſpreuue.	Florêtan, à ce coup l'occasion se trouve De tirer jusqu'au bout ton courage à l'épreuve.
Supplice de mon cœur, delices de mes yeux, Portrait qui m'es plus cher que n'eſt celuy des Dieux, En ce combat douteux où la gloire m'appelle Inſpire à mon courage vne vigueur nouuelle, Fais que par ton moyen mon front victorieux Soit tantoſt couronné d’vn laurier glorieux:	Supplice de mon cœur, délices de mes yeux, Portrait qui m'es plus cher que n'est celui des Dieux, En ce combat douteux où la gloire m'appelle Inspire à mon courage une vigueur nouvelle, Fais que par ton moyen mon front victorieux Soit tantôt couronné d'vn laurier glorieux:
Allons, ie ne crains riẽ marchãt ſous tes auſpices, Les Dieux en ta faueur me ſeront tous propices.	Allons, Seigneur ne crains riomb marchant sous tes auspices, Les Dieux en ta faveur me seront tous propices.
L’eſpouuantable objet, l’horrible viſion, Courage, tout cecy n'eſt rien quilluſion.	L'épouvantable objet, l'horrible vision, Courage, tout ceci n'est rien quillusion.
Que veulẽt ces nõbreux et mõſtrueux fantoſmes Qui volent parmy l’air ainſi que des atoſmes?	Que veulent ces nombreux et montrueux fantômes Qui volent parmi l'air ainsi que des atômes?
Chimeriques eſprits, lutins, fantoſmes noirs, Que ne retournez vous dãs vos sõbres manoirs?	Chimeriques esprits, lutins, fantômes noirs, Que ne retournez -vous dans vos sembres manoirs?
O Dieux!	Ô Dieux!
ſecourez moy, ce grãd coup de tõnerre Du troiſieſme degrè m'a renuersé par terre:	secourez -moi, ce grand coup de tõnerre Du troisième degrè m'a renversé par terre:
N'importe, ſi faut-il touresfois remonter, La reſolution doit le peril dompter;	N'importe, si faut-il touresfois remonter, La résolution doit le péril dompter;
Vne greſle de coups me tombe ſur la teſte De picques & de dards, vne moiſon m'arreſte:	Une grêle de coups me tombe sur la tête De picques et de dards, une moison m'arrête:
Mais pourquoy s’amuſer à ces objets trompeurs Qui ne peuuent donner que de legeres peurs?	Mais pourquoi s'amuser à ces objets trompeurs Qui ne peuvent donner que de légères peurs?
Il faut reſolument briſer tous ces obſtacles, Sans s’eſtonner de voir ces difformes ſpectacles.	Il faut résolument briser tous ces obstacles, Sans s'étonner de voir ces difformes spectacles.
Demons c’eſt à ce coup que de force ou de gré Voꝰ me verrez mõter iuſqu’au plus haut degré.	Demons c'est à ce coup que de force ou de gré Voù me verrez monter jusqu'au plus haut degré.
Horreur du genre humain, larues, ombres funebres, Allez, retirez vous au Palaus des tenebris, Vos confus hurlemens & vos coups ſuperflus En l’eſtat où ie ſuis ne m’eſpouuantent plus.	Horreur du genre humain, larves, ombres funèbres, Allez, retirez vous au Palus des ténébris, Vos confus hurlements et vos coups superflus En l'état où je suis ne m'épouvantent plus.
La Voix.	La Voix.
Cheualier, ſi tu veux finir cette entrepriſe Ne t'eſpouuante point, monte plus haut, & briſe Ce criſtal que tu voix à la voute attaché, C’eſt là tant ſeulement que le charme eſt caché.	Chevalier, si tu veux finir cette entreprise Ne t'épouvante point, monte plus haut, et brise Ce cristal que tu voix à la voûte attaché, C'est là tant seulement que le charme est caché.
FLORESTAN.	FLORÊTAN.
Cette ombre deuant moy cõme vn terme plantee Me defend d’approcherde la glace enchantee.	Cette ombre devant moi comme un terme plantée Me défend d'approcherde la glace enchante.
Mais quoy, ſouffriras tu que des ombrages vain T’arrachent aujourd’huy la victoire des mainNon, non, à cette fois fais leur quitter la place, Et caſſe en deſpit d’eux l’abominable glace.	Mais quoi, souffriras -tu que des ombrages vain Tarrachent aujourd'hui la victoire des mainNon, non, à cette fois fais leur quitter la place, Et casse en dépit d'eux l'abominable glace.
Si ie ne ſuis deceu le charme eſt acheué, Ce grãd bruit qui ſoudain dans l’air s’eſt eſleue Ces lamentables cris, ces croullemens de voüte, Et cette obſcure nuict, ſclairciſſent ma doute:	Si ici ne suis déçu le charme est achevé, Ce grand bruit qui soudain dans l'air s'est esleue Ces lamentables cris, ces croullements de voûte, Et cette obscure nuit, sclaircissent ma doute:
La ſumiert reutentanet eſronnement, Qui me rendrà certain de tout l’euenement.	La sumiert réputentanet éronnement, Qui me rendrà certain de tout l'événement.
LE ROY.	LE ROY.
– Cheualier, Cheualier, aydez moy ie vous prie, uauumlum'en puis plus.	„ Chevalier, Chevalier, aidez mo ie -vous prie, uauumlum'en puis plus.
FLOREST.	FLORÊT.
I'entends le Roy qui crie, Iimt jamt uejpejener de t'auer ſecomir.	J'entends le Roi qui crie, Iimt jamt uejpejener de t'aver secomir.
LE ROY.	LE ROY.
Le Ciel m’euſt oblige de me laiſſer mourir.	Le Ciel m'eût oblige de me laisser mourir.
FLORESTAN.	FLORÊTAN.
Qu'a voſtre Majeſté, que ie la voy ſi pâle?	Qu'a votre Majesté, que ici la vois si pâle?
LE ROY.	LE ROY.
Le tumulte qu’a fait cette bande infernale, Et ſur tout le dernier que nous venons d’oiyr de vne ſuurte nerveur mn u puit ejuanonyre	Le tumulte qu'a fait cette bande infernale, Et sur tout le dernier que nous venons d'oiir de une suvrte nerveur mnnu puit éjuanonire
FLORESTAN.	FLORÊTAN.
Sire, d’oreſnauant tout l’effort qui vous reſte C’eſt de mettre en oubly toute choſe funeſte, Le Ciel auec le ſort a fini vos tourments.	Sire, d'oresnavant tout l'effort qui vous reste C'est de mettre en oubli toute chose funeste, Le Ciel avec le sort a fini vos tourments.
LE ROY.	LE ROY.
Ie ne vous feray pas icy des compliments, Aaduns von uol Amans, cut acſia cme ſemble Nous les auons ouys qui ſouſpiroient enſemble.	Je ne vous ferai pas ici des compliments, Aaduns von uol Amants, cut acsia came semble Nous les avons ouïs qui soupiraient ensemble.
THEL.	THEL.
O Syluiel SYL.	Ô Sylvel SIL.
O Thelame!	Ô Thélame!
THEL.	THEL.
Eſt-ce toy mon Soleil, Qui remplis de clarté ce Palais du Sommeil?	Est-ce toi mon Soleil, Qui remplis de clarté ce Palais du Sommeil?
Si ie n’eſtois certain de l’eſtat où nous ſommes, ECqueelr enter pelepalrque veners Mais n'eſt-ce pas icy le Royaume des morts?	Si ici n'étais certain de l'état où nous sommes, ECqueelr enter pèlepalirque veners Mais n'est-ce pas ici le Royaume des morts?
Nos eſprits n’ont-ils pas abandonné nos corps?	Nos esprits n'ont-ils pas abandonné nos corps?
YLVIE.	YLVIE.
L’eſtat où ie me voy me rend toute confuſe, Et par de faux objets, ſi mon œil ne s’abuſe, 3 Nous ſommes maintenant reduits en vn ſejour Où l’on voit, où l’on parle & reſpire le iour, Ie ne voy point icy Caronny le Cocite.	L'état où belle me vois me rend toute confuse, Et par de faux objets, si mon œil ne s'abuse, 3 Nous sommes maintenant réduits en un séjour Où l'on voit, où l'on parle et respire le jour, Je ne vois point ici Caronni le Cocite.
THELAME.	THÉLAME.
Mõ Ange croit qu’un mort iamais ne reſſuſcite, L Enfer eſt vn deſtroit d'ouiamais l’on ne ſort.	Momme Ange croit qu'un mort jamais ne ressuscite, L Enfer est un détroit d'ouiamais l'on ne sort.
LE ROY.	LE ROY.
Voila dés reliquats de ſon inique ſort, Ie vais le retirer de cette extrauagance.	Voilà dès reliquats de son inique sort, Je vais le retirer de cette extravagance.
THELAME.	THÉLAME.
Queteſett vicua eſpret uont tu uum arrogance Le tient effrontément deuant nous arreſté?	Quetesett vicua espret uont tu um arrogance Le tient effrontément devant nous arrêté?
LE ROY.	LE ROY.
Mon fils perdez l’erreur où vous auez eſté.	Mon fils perdez l'erreur où vous avez été.
THELAME.	THÉLAME.
O pere ſans pitié, ton ombre criminelle Vient-elle icy nous faire vne guerre eternelle?	Ô père sans pitié, ton ombre criminelle Vient-elle ici nous faire une guerre éternelle?
N'es-tu pas ſatisfait de nos trauaux ſoufferti, Omiamuiir troubler encor dans les Enfers.	N'es-tu pas satisfait de nos travaux soufferti, Omiamuiir troubler encor dans les Enfers.
