A.	A.
ces malheurs à la verité me faiſoient douter de l’equité des immortels:	ces malheurs à la vérité me faisaient douter de l'équité des immortels:
car ayãt tant de merite de vertu & d’amout, il me ſemble que toutes les felicitez le debuoient accompaigner, où aucontraire ie ne l’ay iamais veu que mi ſerable, & trauerſé de mille accidens, ces mauuaiſes influences ont faict leur reuolution, il a paſſé les elpiires de ſa vie, & eſt ſur le point d’en moiſſonner les roſes Phalerine Leciel te rende auſſi veritable Prophere que nous t’auons touſiours recogneu, & Angeralde auſſi heureux qu’il le merite, Targante.	car ayant tant de mérite de vertu et d'amout, il me semble que toutes les félicités le débuaient accompagner, où aucontraire personne ne l'ai jamais vu que m érable, et traversé de mille accidents, ces mauvaises influences ont fait leur révolution, il a passé les elpiires de sa vie, et et sur le point d'en moissonner les roses Phalerine Leciel te rende aussi véritable Prophère que nous t'avons toujours reconnu, et Angeralde aussi heureux qu'il le mérite, Targante.
Allons attendre les nouuelles certaines des choſes que ie vous viens d’anoncer, iuſques à l’euenement d’eſquelles, à l’exemple de celuy qui predict la desfaite de Pompéeà l’Empire de Ceſar, ie proteſte de ne por ter ny le tiltreny la courone de deuin.	Allons attendre les nouvelles certaines des choses que je vous viens d'anoncer, jusqu' à l'événement d'équelles, à l'exemple de celui qui prédict la défaite de Pompéeà l'Empire de César, une proteste de ne porage ni le titren la courone de devin.
l’aurore deſirent fauoriſer le deſſeing de noſtre chaſſe attendant que vous Silindre & Thirſine, ayez deſtourne vn Cerf qui nous puiſſe faire paſ ſer le temps, iuſques à ce que ma charge me rapelle au Ciel, ie m'en vais auec ces deux nimphes eſſayer de tuer quelque beſte auec mon dart, voicy l’heure que ſe retirans du viadis ils ſont plus aiſez à ſurprendre, a qui comme moy ſcait le lieu où elles ſe rembuchent plus ſouuent, Silindre.	l'aurore désirent favoriser le desseing de notre chasse attendant que vous Silindre et Thyrine, ayez détourne un Cerf qui nous puisse faire pas ser le temps, jusqu' à ce que ma charge me rapelle au Ciel, je m'en vais sous ces deux nymphes essayer de tuer quelque bête avec mon dart, voici l'heure que se retirants du viadis sont ils plus aisé à surprendre, à qui comme moi sait le lieu où elles se rembuchent plus souvent, Silindre.
Nous ne manquerõs de mettre peine de vous faire pâſſer agreablemẽt ceiour, du moins n'y elpargherens hous lry noſtre ſoing, ny noſtre art;	Nous ne manquerons de mettre peine de vous faire pâsser agréablement cejour, du moins n'y elpargherens hous lri notre soin, ni nostre art;
allons Thirſine prenez ceſte briſéc, pour moy ie m'en vas en queſte de ce coſté de deça.	allons Thirsine prenez cette briséc, pour mo ie m'en vas en quête de ce côté de ça.
Diane.	Diane.
L’aſſemblée aux nimphes ſe fera ſur le bord de la fontaine aux phées, ſoyez de retour au pluſtoſt.	L'assemblée aux nymphes se fera sur le bord de la fontaine aux phées, soyez de retour au plutôt.
Thirſine.	Thyrine.
Cela depend de la fortune, nous n’y pouuons contribuer que de la diligence.	Cela dépend de la fortune, nous n'y pouvons contribuer que de la diligence.
Diane.	Diane.
Suiuez moy nimphes, & prenez garde ſoigneuſement sy vous deſcouurirez quelque choſe, i’entens ie ne ſçay quoy petiller en ce bois;	Suivez -moi nymphes, et prenez garde soigneusement sy vous découvrirez quelque chose, j'entends ie ne sais quoi pétiller en ce bois;
voies vous rien?	voies -vous rien?
Nicandre.	Nicandre.
Il me ſemble voit vn loup couché au pied de ce heſtre.	Il me semble voit un loup couché au pied de ce hêtre.
Diant.	Diant.
S en eſt vn, ie le vas aprocher, toutes fois mon dart eſt fatal, & ſon atteinte ineurtable, Angeralde.	S en est un, Seigneur le vas approcher, toutes fois mon dart est fatal, et son atteinte ineurtable, Angeralde.
Ie ſuis mort ceſtefois, ie vous loüe ô ciel, & vous adore main pitoyable qui tirez ce iour du monde le plus miſerable des viuans, Diane.	Je suis mort cettefois, votre vous lange ô ciel, et vous adore main pitoyable qui tirez ce jour du monde le plus misérable des vivants, Diane.
Bons dieux c’eſt vne creature veſtue Ini [y v Sy 2 N de peaux de loups, quel ma C  lheurnimphes aydezmoy à le ſecourir.	Bons dieux c'est une créature vue Ini [i v Sy 2 N de aux de loups, quel ma Ç heurnimphés aidez à le secourir.
Qui que tu ſois que le malheur a conduit eh ce    l Le  lieu, pardonne moy ceſte offẽXll dgimA ce, ſi c’eſt offéce doffécersas de ARS3.	Qui que tu sois que le malheur a conduit eh ce l Le lieu, pardonne moi cette offẽXll dgimA ce, si c'est offéce doffécersas de ARS3.
ſſein, Angeralde.	sein, Angeralde.
Ie vous rends S graanomnmertelles, leplus fa2 uorable bien que puiſſe receuoir vn deſeſperé eſt la mors come tellela deſirois, & ne me ſçaurois plaindre en vne condition beaucoup plus heureuſe de la receuoir d’vne ſi belle main.	Je vous rends S graanomnertelles, leplus fa2 orable bien que puisse recevoir un désespéré est la mors come tellela désirais, et ne me saurais plaindre en une condition beaucoup plus heureuse de la recevoir d'une si belle main.
Diane.	Diane.
Non no, voſtre playe n’eſt poinct incurable, & quand elle le ſeroit au reſte du monde elle ne le peut eſtre à mon ſçauoir.	Non nô, votre plaie n'est point incurable, et quand elle le serait au reste du monde elle ne le peut être à mon savoir.
Nimphes allez me chercher promptement du dictame, vous ſçauez le lieu où i’en fais prẽdre lors que quelques vns de mes chiens aeſté bleſſé.	Nymphes allez me chercher promptement du dictame, vous savez le lieu où j'en fais prendre lors que quelques uns de mes chiens aesté blessé.
Nimphes.	Nymphes.
Nous ſçauons où il croiſt, c’eſt aſſez pres d’icy, Dimitille.	Nous Cavons où il croît, c'est assez pres d'ici, Dimitille.
Allez promptement.	Allez promptement.
Angeralde.	Angeralde.
Deeſſe, ce ſecours Q e----- -seean mmrr Befciperes m’eſt auſſi faſcheux que la playe m’a eſté agreable Diane.	Deesse, ce secours Q est-elle -seean mmrr Befciperes m'est aussi fâcheux que la plaie m'a été agréable Diane.
Pour quoy meſpriſer mon aſſiſtence, & m’appeller du nõ des immortels?	Pour quoi mépriser mon assistence, et m'appeler du nôtre des immortels?
Angeral.	Angeral.
Voſtre viſaige a tant de marques de diuinité, voſtre port de maieſte, vos actiõs de grace, que ie croy moins blaſphemer eu vous attribuant ce tiltre que ie ne commetrois d’impieté & de ſacrilege de vous en dõner vng moindre:	Votre visaige a tant de marques de divinité, votre port de maieste, vos actions de grâce, que tu crois moins blasphémer eu vous attribuant ce titre que je ne commetrais d'impiété et de sacrilège de vous en donne vng moindre:
quant à du refus que ie fais de guerir ne vous en offẽces pas, i’ay receu vnſecours de voſtre main que i’euſſe treuue en la mienne, ſi des commandemens, à mon obeiſſance ne m’y euſſent abſtrainct, i’ayquitè volontairement ma patrie penſant treuuer plus de pitié aux Parques ſoubs vn autre ciel:	quant à du refus que je fais de guérir ne vous en offense pas, j'ai reçu ssecours de votre main que j'eusse trouve en la mienne, si des commandements, à mon obéissance ne m'y eussent abstraint, j'ayquitè volontairement ma patrie pensant trouver plus de pitié aux Parques soubs un autre ciel:
n’enuiés ce bõ heur à vn miſerable qui croit n’auoir eu bien au monde que celuy qu’il a receu de vous en ceſte bleſſeure qu’il deſire mortele & incurable, ne peuuent ny par vne plus dou.	n'enviez ce bon heur à un misérable qui croit n'avoir eu bien au monde que celui qu'il a reçu de vous en cette blessure qu'il désire mortele et incurable, ne peuvent avoir par une plus dou.
cement ny plus beau mourir, mettre fin à ſa vie miſerable.	cément ici plus beau mourir, mettre fin à sa vie misérable.
Diane.	Diane.
Quelles graces, quels attrais & quel pouuoir extreme a cetuicy qui m’enamoure en mourat?	Quelles grâces, quels attrais et quel pendant extrême à celuici qui m'enamoure en mourat?
no non deſtourne toy de ceſte reſolution, & vis puis que tu n’as iamais eu tant de ſubicet de tihtene, que tu en auras a l’aduenir de ioye & de contentement, ie tevas arreſter leſang, attendãt que mes Nimphes m’apportent vn plus puiſſant remede:	nô non détourne toi de cette résolution, et vis -si que tu n'as jamais eu tant de sujet de tihte, que tu en auras a l'avenir de joie et de contentement, je tevas arrêter lesang, attendant que mes Nymphes m'apportent un plus puissant remède:
cependant conte moy le ſuject de tõ deſplaiſir.	cependant compte moi le suject de tuer déplaisir.
Angeralde.	Angeralde.
Le deſir que i’ay d’obeir à vos commandemẽs, ioint à l’eſperance que r’ouurant la playe de mes douloureux reſſentimens, ie feray vn paſſage plus prompt & plus ayſé à mon ame, pours’en voller au lieu où la mort a rauy mon bien vous rendra ceſte derniere & extreſme preuue du reſſentiment que i’ay du bon office que le ſort merend par voſtre main:	Le désir que j'ai d'obéir à vos commandements, joint à l'espérance que rouvrant la plaie de mes douloureux ressentiments, elle ferai un passage plus prompt et plus aisé à mon âme, pours'en voler au lieu où la mort a ravi mon bien vous rendra cette dernière et extrême preuve du ressentiment que j'ai du bon office que le sort merend par votre main:
ſachez donc que ie ſuis paſteur, ie dy de ceux dont les ayeulx ont porté d’vne meſme main le ſceptre & la houlette, la couronne & la guirlande, & qui ſur vn meſme coſté ont chargé la panetiere & le fer victorieux ennemi du repos & des oiſeuſes & laſches voluptés, amis de la gloire & de l’hõneur pour l’amour deſquelles toutes choſes quelques difficiles qu’elles fuſſent, demeuroiẽt touſiours au deſſoubs de leur valleur, ayãt tiré auec la matiere de mon corps les calitez deleur ame releuée, ie ne cõmencè ſi toſt à me cognoiſtre que le ne recogneune O amour par les yeux d’vne beauté plus digne d’eſtre admiré que louee, adoreé que honnorée, plein d’audace, & ie me donne à elle & en fus accepté & chery, mais auec des faueurs sy retenues, des graces sy rares, que ſept ans ſe paſſerent en ceſt amour ſans que ma fidelité peuſt ſe promettre le bien de moy tant deſiré, peu eſperé, & moings requis:	sachez donc que je suis pas, ie di de ceux dont les aieulés ont porté d'une même main le sceptre et la houlette, la couronne et la guirlande, et qui sur un même côté ont chargé la panetière et le fer victorieux ennemi du repos et des oiseuses et lâches voluptés, amis de la gloire et de l'honneur pour l'amour desquelles toutes choses quelques difficiles qu'elles fussent, demeuraient toujours au dessoubs de leur valleur, ayant tiré avec la matière de mon corps les calité zée âme releuée, ie ne cõmencè si tôt m ais que le ne recogneune Ô amour par les yeux dé beauté plus digne ur a té mo, adoreé que honnorée, plein audace, et ie me donne elle et en fus accepté et chery, mais tué des faueurs sy retenues, des graces sy rares, tué sept ans se passèrent en cest amour sans que , il peust se promettre le bien de moi tant desiré, peu esperé, et moings uv:
le reſpect arreſtoit le cours de mes paroles, & d’vn clain d’œil ie me voyois & geller & bruſler:	le respect arrêtait le cours de mes paroles, et d'un clain d'œil este me voyais et geler et brûler:
ce ne fut pas aſſés, elle voulut par deux fois eſprouuer ma conſtance par la ſeuerité d’vn baniſſement au dernier où ie -------o ---s-----s - cc-- C- n’eſperois plus qu’au deſeſpoir, elle me reuoqua, mais hors temps car c’eſtoit en l’extremite d’vne maladie dont elle, Diane.	ce ne fut pas assez, elle voulût par deux fois éprouver ma constance par la sévérité d'un bannissement au dernier où ie --ô -temps-une -sie don- ELLE, c'esperois plus qu'au désespoir, elle me révoqua, mais hors temps car c'était en l'extrémité d'une maladie dont elle, Diane.
O Dieux ie le croy mort, Nimphes lecourez moy, & m'aydez à le porter pres de ce proche ruiſſeau à ce 4 que plus commodemet nous puiſſions auec la fraicheur de Ieau le faire reuenirde cesſym ptomes, Nim.	Ô Dieux ie le crois mort, Nymphes lecourez moi, et m'aidez à le porter pres de ce proche ruisseau à ce 4 que plus commodemet nous puissions avec la fraîcheur de Jeau le faire revenirde cessym blomes, Nim.
Voicy du dicta me Diane.	Voici du dicta me Diane.
Portos le où ie vous aydit, & quel’vne de vos m’aille diligemmẽt faire venir mõ char, affin que ie le mette dedans pour le mener en lieu où il prenne auec loiſir, ſoing de	Portos le où je vous aidit, et quel'une de vos m'aille diligemment faire venir mon char, afin que ie de mette dedans pour le mener en lieu où il prenne avec loisir, soin de
N fin ce miſerable amant, Celuy la pour qui la malice Des mortels m’alloit accuſant De cruauté & d’iniustice, Eſt par moy rendu plus heureux Qu'il ne fut iamais malheureux.	N fin ce misérable amant, Celui la pour qui la malice Des mortels m'allait accusant De cruauté et d'injustice, Est par moi rendu plus heureux Qu'il ne fut jamais malheureux.
Vn accident qu’il eſtimoit Deuoir luy rauir la lumiere Pour vne beauté qu’il aymoit Hoſteſſe d’vne triſte biere, Immolle à ſa fidelité L'Amour d’vne diuinité Il fut la pitié des amans.	Un accident qu'il estimait Deuni té ravir la lumière Pour une beauté qu'il aimait Hôtesse d'une triste bonne, Imolle à sa fidélité L'Amour d'une divinité Il fut la pitié des amants.
