LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Ie ſçay que cestuy-là qui le bien fauoriſe, En qui les Deitez ont leur ſcience miſe, Ce rend leur bien- aymé, & l’honneur qui luy fait, Deuant leur ſainteté emporte vn grand effect.	Je sais que celui-là qui le bien favorise, En qui les Déités ont leur science mise, Ce rend leur bien- aimé, et l'honneur qui était fait, Devant leur sainteté emporte un grand effet.
Car tant de raretez dont il luy font largeſſe Eſt vn cercle, venant de leur diuine alteſſe, Qui ſe retourne en elle, & en ell finiſſant, Tout l’honneur qu’on luy fait en elle est agiſſant.	Car tant de raretés dont il lui font largesse Est un cercle, venant de leur divine altesse, Qui se retourne en elle, et en ell finissant, Tout l'honneur qu'on avait fait en elle est agissant.
Pource ie ſais bien plus & de cas & d’eſſime D’vn homme vertueux & d’vn cœur magnanime, Bien qu’il ſoit de bas lieu, de pauure parente, Que d’vn ſot & villain, de force lnens renté.	Pource femme sais bien plus et de cas et d'essime D'un homme vertueux et d'un cœur magnanime, Bien qu'il soit de bas lieu, de pauvre parente, Que d'un sot et villain, de force len té.
Et pource ie ſuis preſt, mon bien aymé Satyre, De ſuyure le conſeil que tu voudras me dire.	Et pource ici suis prêt, mon bien aimé Satire, De suivre le conseil que tu voudras me dire.
Satyre.	Satire.
Siluain, ie vous rens grace autant que ie le puis, De cet honneur non deu:	Silvain, je vous rends grâce autant que sans le puis, De cet honneur non du:
& croyez que ie ſuis, Et ſeray, moy viuant, bien à voſtre ſeruice, Vous en rendant bien-tost quelque pesit office.	et croyez que personne suis, Et serai, moi vivant, bien à votre service, Vous en rendant bientôt quelque pesit office.
Or doncques le conſeil que ie vous veux donner, N'eſt pas pour vostre ameur vous faire abandonner, parce que ie voy-bien qu’elle vous eſt trop chere, Mais vn remede eſt bon, pour ce que delibere, C’eſt qu’il nous faut aller trouuer vostre riual, Que i'ay veu cheminer n’a gueres dans ce val, Lequel, ie le ſçay-bien, est cauſe malheureuſe, Que la Dryade n’est de vos yeux amoureuſe, D’autant qu’elle a fiché tout ſon amour en luy, Si bien qu’elle ne peut vous aymer au iourdhay.	Or donc le conseil que je vous veux donner, N'est pas pour votre ameur vous faire abandonner, parce que je vois-bien qu'elle vous est trop chère, Mais un remède est bon, pour ce que délibère, C'est qu'il nous faut aller trouver votre rival, Que j'ai vu cheminer n'a guère dans ce val, Lequel, je le sais-bien, est cause malheureuse, Que la Dryade n'est de vos yeux amoureuse, D'autant qu'elle a fiché tout son amour en lu, Aimer au j'elle ne peut vous aimer au iourdhay.
Ie l’apris l’autre iour d’vne façon ſubtille Au milieu de ces bois, d’vne gaillarde fille.	Je l'appris l'autre jour d'une façon subtille Au milieu de ces bois, d'une gaillarde fille.
Allons donc le trouuer, & d’vn eſpieu tranchant, Mettons fin aux beaux iours de ce Mirtin meſchant.	Allons donc le trouver, et d'un épieu tranchant, Mettons fin aux beaux jours de ce Mirtin méchant.
Aprez qu’elle entendra qu’il n’aura plus de vie, Peut-eſtre il luy prendra de vous aymer enuie.	Aprez qu'elle entendra qu'il n'aura plus de vie, Peut-être il lui prendra de vous aimer envie.
de didalile Ie n’auois encor rien apris de tout cecy que me venez de dire, en va-il tout ainſi?	de didalile Je n'avais encor rien appris de tout ceci que me venez de dire, en va-il tout ainsi?
Satyre.	Satire.
Ouy certainement, n’en ayez doute aucune.	Oui certainement, n'en ayez doute aucune.
Le Siluain.	Le Siluain.
Or ſus, donc pourſuyuons de prex noſtre fortunes Allons Satyre, allons, ie luy feray ſentir Qu'on a de m’offencer vn tardif repentir, Seruant a t'auenir aux autres d’exemplaire, Pour qu’ils ne ſoyent ſi promts a me venir de ſplaire.	Or sus, donc poursuivons de prétex notre fortunes Allons Satire, allons, que lui ferai sentir Qu'on a de m'offenser un tardif repentir, Servant a t'avenir aux autres d'exemplaire, Pour qu'ils ne soient si promts à me venir de splaire.
Ie veux faire changer ſon corps en vn fousteau, Ne voulant qu’il s’en aille autrement au tombeau.	Je veux faire changer son corps en un fouteau, Ne voulant qu'il s'en aille autrement au tombeau.
Gatjles.	Gatjles.
Ce ſera le meilleur car touſiours la memoire, Ie voyant tranſmué, en ſera plus nottoire.	Ce sera le meilleur car toujours la mémoire, Je voyant transmué, en sera plus nottoire.
Mais ie le voy cy-prezior ſus allons Siluain.	Mais le vois le cy-prezior sus allons Silvain.
Doncques executer voſtre braue deſſein.	Donc exécuter votre brave dessein.
Mirtin.	Mirtin.
Quifait venir ceux-qi à voir leur rudemine, Quelque mauuais deſſein en leur cœur ſe machine.	Quifait venir ceux-qi à voir leur rudemine, Quelque mauvais dessein en leur cœur se machine.
Conſiderant leur front de depit refroigné, Ce ſera le meilleur m'en tenir eſtoigne.	Considérant leur front de dépit refroigné, Ce sera le meilleur m'en tenir étoigne.
Le Siluain.	Le Siluain.
Reçois le chaſtiment, villain de ton offence.	Reçois le châtiment, villain de ton offense.
Hé tu ne gaignes rien de te mettre en deffence, Ton effort ſera vain.	Hé tu ne gagnes rien de te mettre en défense, Ton effort sera vain.
M.	M.
Ha Dieux ſecourez-moy;	Ha Dieux secourez-moi;
Ou bien las!	Ou bien las!
ie ſuis mort.	Il suis mort.
S.	S.
Ils n’ont ſoucy de toy, Ie ſort en eſt ietté tu vas croistre te nomvre Des arbres ombrageux de cette foreſt ſombre.	Ils n'ont souci de toi, Je sort en est jeté tu vas croître te nomvre Des arbres ombrageux de cette forêt sombre.
Mirtin.	Mirtin.
Ha Dieu quel changement en moyſen-le venin, Ie voymes bras, mes doits, en rameaux deuenir, Et mon corps ſe couurir d’vne eſcorce bien dure.	Ha Dieu quel chang en moyen-le venin, Je voismes bras, mes doits, en rameaux devenir, Et mon corps se couvrir d'une écorce bien dure.
Satyre.	Satire.
Ma foy vous voilà bien tapißé de verdure, Beau mignon, vous n’auez plus beſoin de chercher, Et ſi vous pourrez-bien les roßignols percher Deſſus vos verds rameaux, pour chanter leur querelle, Allors que le Printemps la terre renouuelle, Et ie les voydeſià venir de toutes pars, Voyant ſi bien en rang rostre pueittage eſpurs:	Ma foi vous voilà bien tapissé de verdure, Beau mignon, vous n'avez plus besoin de chercher, Et si vous pourrez-bien les rossignols percher Dessus vos verts rameaux, pour chanter leur querelle, Allors que le Printemps la terre renouvelle, Et toujours les voydesià venir de toutes pars, Voyant si bien en rang rostre pueitage épurs:
Or bien demeurez-là le iouët de zephire, Pendant que ie m’enuois.	Or bien demeurez-là le jouet de zéphire, Pendant que personne m'envois.
S.	S.
Et bien & bien Satyre, Vous ay-ie pas pas fait voir vn trait de mon ſçautir.	Et bien et bien Satire, Vous ai-je pas pas fait voir un trait de mon sautir.
Satyre.	Satire.
Ie juntuut eſtomene roqmupimu pouuoir, Et croyez que iamais ie n’en vy de ſemblable.	Je juntu estomène roqmupimu pouvoir, Et croyez que jamais avoir n'en vi de semblable.
Dieux!	Dieux!
qu’il a de vertu, qu’il eſt eſmerueillable, Circe, n’en auoit plus, qui fit estre pourçeaux Du prudent Vliſſes les compagnons feaux.	qu'il a de vertu, qu'il est esmerueillable, Circe, n'en avait plus, qui fit été pourçeaux Du prudent Vlisses les compagnons féaux.
Le Siluain.	Le Siluain.
Allons nous-en chercher ma gentille Dryade.	Allons nous-en chercher ma gentille Dryade.
Peut eſtre qu’ayant ſçeu la fin de ſon amant, Elle eſtaindra le feu qui la va conſumant.	Peut être qu'ayant su la fin de son amant, Elle estaindra le feu qui la va consumant.
Periſte.	Périste.
Dryade.	Dryade.
Myrtin.	Myrtin.
Periſte.	Périste.
St-ce doncque l'arrest du ciel impitoyable, EQue tout celà qu’on voit eſtre plus agreable En ce bas vniuers, periſſe promtement:	St-ce donc l'arrêt du ciel impitoyable, ÉQue tout celà qu'on voit être plus agréable En ce bas univers, périsse promtement:
Et ce qui ne l’eſt-tant y durer longuement?	Et ce qui ne l'est-tant y durer longuement?
L’on voit les belles fleurs (cheres filles de Flore) Qui diſputent le teint de la vermeille Aurore, En peu de iours helas!	L'on voit les belles fleurs (chères filles de Flore) Qui disputent le teint de la vermeille Aurore, En peu de jours hélas!
à leur fin arriuer, Et le gailland Printemps viure moins que l’hyuer:	à leur fin arriver, Et le gaillant Printemps vivre moins que l'hiver:
Le chant des roßignols ſi doux à nos aureilles, Nous durer moins que ceux des corbeaux & cornoilles, Et les contentemens moins que ne font les maux, Les aymables repos moins que les durs trauaux, Et la tranquille paix moins que la guerre rude, La douce liberté moins que la ſeruitude, Et la belle beauté (cher obiet de l’amour) Fait moins que la laideur auecque nous ſeiour, Et l’homme qui pourſuit de l’amour l’exercice Moins que celuy qui fait marchandiſe du vice:	Le chant des rossignols si doux à nos aureilles, Nous durer moins que ceux des corbeaux et cornailles, Et les contentements moins que ne font les maux, Les aimables repos moins que les durs travaux, Et la tranquille paix moins que la guerre rude, La douce liberté moins que la servitude, Et la belle beauté (cher objet de l'amour) Fait moins que la laideur Seigneur nous seiour, Et l'homme qui poursuit de l'amour l'exercice Moins que celui qui fait marchandise du vice:
Tu l’as bien eſprouué, Mirtin qui tant aymois La ſuite des vertus, & tant les eſtimois.	Tu l'as bien éprouvé, Mirtin qui tant aimais La suite des vertus, et tant les estimais.
Tu l’as bien eſprouué Mirtin que ie deſplore, Dont l’ennuyde ta fin mon pauure cœur deuore, Toy qui de ce pays estois meſmes l'honneur, Et le plus cher mignon du Parnacide cœur, Quiia t’a fait paſſer deuant le grand Monarque, Qui regit de ſa voix les champs delicieux, Où vont viure contens les eſprits precieux.	Tu l'as bien éprouvé Mirtin que Dieu déplore, Dont l'ennuide ta fin mon pauvre cœur dévore, Toi qui de ce pays étais mêmes l'honneur, Et le plus cher mignon du Parnacide cœur, Quiia t'a fait passer devant le grand Monarque, Qui régit de sa voix les champs délicieux, Où vont vivre contens les esprits précieux.
La Dryade.	La Dryade.
Ie penſois estre ſeule à qui la destinee Pour faire de l’ennuy ſe montraſt obſtince:	Je pensais être seule à qui la destine Pour faire de l'ennui se montrât obstinée:
Mais encore i’entens non gueres-loin d’icy, Quelqu’vn ſe lamenter d’vn angoiſſeux ſoucy:	Mais encore j'entends non guère-loin d'ici, Quelqu'un se lamenter d'al angoisseux souci:
Il me faut voir qui c’eſt, & meſmement aprendre, Quelle ſorte de mal ſi triſte le peut rendre:	Il me faut voir qui c'est, et mêmement apprendre, Quelle sorte de mal si triste le peut rendre:
C’eſt vne belle Nymphe, & ſi ie la cognois:	C'est quelque belle Nymphe, et si ici la connais:
O Nymphe qu’auez-vous a gemir cette fois?	Ô Nymphe qu'avez-vous a gémir cette fois?
4	4
Periſte.	Périste.
Belle Dryade, las!	Belle Dryade, las!
l’ennuyqui m’importune, Est pour le dur regret d’vne perte commune A nous autres Pasteurs, qui deuons bien pleurer Pour vngentil Pasteur qui nous vieut d’expirer, Qui fut en ſon viuant (il faut que ie le die) ſe jontien,t cinciens des l'apasu ahrenme.	l'ennuiqui m'importune, Est pour le dur regret d'une perte commune A nous autres Pasteurs, qui devons bien pleurer Pour vaingentil Pasteur qui nous vieut d'expirer, Qui fut en son vivant (il faut que ie Un die) se jontien, cinciens des l'appasu ahrenme.
La Dryade.	La Dryade.
Ma Nymphe, conte-moy t'arrest de jon detin.	Ma Nymphe, compte-moi t'arrêt de jon détin.
Et comment il eut nom.	Et comment il eut nom.
P.	P.
C estoit le beau Mirtin.	Ç était le beau Mirtin.
La Dryade.	La Dryade.
Qui Mirtin le Chaſſeur.	Qui Mirtin le Chasseur.
P.	P.
Helas ouy c’eſt luymeſme	Hélas oui c'est luymesme
La Brjade Nymphe que ton diſcours, me donne vn dueil extreſme !	La Briade Nymphe que ton discours, me donne un dueil extrême !
Mais helas!	Mais hélas!
conte moy quel estrange accident.	conte moi quel étrange accident.
L’a mis dés ſon leuant ſe toſt en l’occident.	L'a mis dès son levant se tôt en l'occident.
19 Periſte.	19 Périste.
Ie n’en ſçay le ſubiet:	Je n'en sais le sujet:
mais vn Siluain difforme, Iuy a fait d’vn fousteau vestir la dure forme.	mais un Siluain difforme, Jui a fait d' fousteau vêtir la dure forme.
La Dryade.	La Dryade.
O Dieux!	Ô Dieux!
qui te l’a dit?	qui te l'a dit?
P.	P.
Moy-meſme ie l’ay veu da montre granu regrer, & ce m a fort deſpleu.	Moi-même personne l'ai vu da montre granu régrer, et ce m a fort déplu.
La Dryade.	La Dryade.
Quelle triste nouuelle, al qu’elle m’eſt amere, Et que mon cœur en est trauerſé de miſere 4 Que Mirtin ne vit plus, Mirtin mon cher amour, Mon Mirtin, pour qui ſeul i’auois les rais du iour:	Quelle triste nouvelle, al qu'elle m'est âme, Et que mon cœur en est traversé de misère 4 Que Mirtin ne vit plus, Mirtin mon cher amour, Mon Mirtin, pour qui seul j'avais les rais du jour:
Sus Parques deſlogez, venez couper ma trame, Venez, venez ce corps loger deſſous la lame, Helas!	Sus Parques délogez, venez couper ma trame, Venez, venez ce corps loger dessous la me, Hélas!
c’est trop veſou:	c'est trop véou:
qu’vn autre Ericaton, S’en vienne mon fatal rompre de ſon bastou, Ainſi qu’il fit iadis à la Nymphe Ceritque, Dont il fut chaſtié deuenant famelique:	qu'un autre Ericaton, S'en vienne mon fatal rompre de son bâtou, Ainsi qu'il fit jadis à la Nymphe Céritque, Dont il fut châtié devenant famélique:
Car ie n’ay-plus deſir de viure:	Car ici n'ai-plus désir de vivre:
puis qu’helas!	puis qu'hélas!
Ce que r'aymoiste pims, à foijfert ta treſpas, Ie veux, ie veux mourir ie veux finir mon heure Pour le ſuyure là-bas en la palle demeure.	Ce que raimaiste pims, à faijert ta trépas, Je veux, sans veux mourir mourir quelque finir mon heure Pour le suivre là-bas en la pale demeure.
Periſte.	Périste.
Belle, que dites-vous?	Belle, que dites-vous?
ayez plus ſaints propos, Et ne deſirez-pas le ſecours d’Atropos:	ayez plus saints propos, Et ne désirez-pas le secours d'Atropos:
Vous offencez Iupin, qui ne veut que per ſonne Meure, ſi ſon vouloir tout premier ne l’ordonne, Et bien que ce Berger, dont nous plaignons le ſort, Tint dedans vostre cœur le lieu d’amour plus fort, Si ne deuez-vous pas la triste Parque ſuyure, Car außi bien celà ne le fera reuiure:	Vous offensez Jupin, qui ne veut que per ne Meure, si son vouloir tout premier ne l'ordonne, Et bien que ce Berger, dont nous plaignons le sort, Tint dedans votre cœur le lieu d'amour plus fort, Si ne devez-vous pas la triste Parque suivre, Car aussi bien celà ne le fera reuiure:
Viuez donc, & pluſtost gardez en voſtre cœur Vn ſonuenir de luy qui ſoit du temps vainqueur, Par-là, bien qu’il ſoitmort, encor il aura vie, Malgré le ſort cruel & la meſchante enuie:	Vivez donc, et plutôt gardez en votre cœur Un sonuenir de moi qui soit du temps vainqueur, Par-là, bien qu'il soitmort, encor il aura vie, Malgré le sort cruel et la méchante envie:
La Dryade.	La Dryade.
Helas!	Hélas!
des malheureux c’eſt tout le reconfort Pour finir leurs trauaux, que u ſſpeter ta mort, Car elle en vn clin d’œil, fait ce qu’vn autre à pe’ne, Pourroit executer au temps d’vne ſepmaine:	des malheureux c'est tout le réconfort Pour finir leurs travaux, que u spéter ta mort, Car elle en un clin d'œil, fait ce qu'un autre à pe'une, Pourrait exécuter au temps d'une sepmaine:
Elle de ſon acier met la fin à nos iours, Arrestant quand & quand de nos ennuis le cours:	Elle de son acier met la fin à nos jours, Arrétant quand et quand de nos ennuis le cours:
Pourquoy, puis qu’elle peut me deliurer d’opreſſe, Me veux-tu deſtourner que i’y ays mon adreſſe?	Pourquoi, puis qu'elle peut me délivrer d'opresse, Me veux-tu détourner que j'y ai mon adresse?
