LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
C’eſt trop vous diſputer vne iuſte puiſſance, Et Rome en ſa faueur a trop pris de licence:	C'est trop vous disputer une juste puissance, Et Rome en sa faveur a trop pris de licence:
En horreur de ce crime, & pour l’en preſeruer, I’ayme mieux perdre vn Fils, que ie pouuois ſauuer, Que le voir glorieux, en le voyant Rebelle;	En horreur de ce crime, et pour l'en préserver, J'aime mieux perdre un Fils, que ieclou ver, Que le voir glorieux, en le voyant Rebelle;
Non, ie n’ay pû ſouffrir Rome ſi criminelle Ioindre à ſon crime noir vn crime triomphant;	Non, Seigneur n'ai pu souffrir Rome si criminelle Joindre à son crime noir un crime triomphant;
Qu'elle ſoit ſans remords, ie ſeray ſans Enfant:	Qu'elle soit sans remords, Seigneur serai sans Enfant:
Mais ſon ſang m’adoptant plutoſt toute vne Ville, Ie n’en vay perdre qu’vn, & i’en ſauue cent mille;	Mais son sang m'adoptant plutôt toute une Ville, Je n'en vais perdre qu'un, et j'en sauve cent mille;
Rome perd ma Famille, & l’augmente aujourD473 I’offre mon Fils pour elle, elle s’offre pour luy.	Rome perd ma Famille, et l'augmente aujourD473 J'offre mon Fils pour elle, elle s'offre pour mieux.
MARTIAN.	MARTIAN.
Elle s’offre en effect, & reconnoiſt ſa faute:	Elle s'offre en effet, et reconnaît sa faute:
Elle vous rend Fabie au poinct qu’elle vous Tontey Et remettant en vous ſa grace & ſon appuy Elle implore pardon & pour elle, & pour luy.	Elle vous rend Fabie au point qu'elle vous Tontei Et remettant en vous sa grâce et son appui Elle implore pardon et pour elle, et pour lui.
FABIE Fils.	FABIE Fils.
Comme elle a fait ce crime afin de me deffendre, Mon ſang ſuffit pour tous & ie le vay répandre;	Comme elle a fait ce crime afin de me défendre, Mon sang suffit pour tous et apprendre le vais répandre;
Et quand voſtre pitié donneroit grace au mien, Ie ne m’en ferois pas moy-meſme pour le ſies.	Et quand votre pitié donnerait grâce au mien, Je ne m'en ferais pas moi-même pour le sies.
PAPYRE.	PAPYRE.
Si le crime de Rome a voitit aie omfaimee, Mourez, Mourez, mourez encor pour celuy de l’Armée:	Si le crime de Rome a voitit aie omfaimée, Mourez, Mourez, mourez encor pour celui de l'Armée:
Le Camp eſt en reuolte, & l’infidelité A ſuiuy de bien prés voſtre temerité:	Le Camp est en révolte, et l'infidélité A suivi de bien près votre témérité:
Voila le ſecond pas contre la Diſcipline;	Voilà le second pas contre la Discipline;
Vn exemple a fait l’autre, & Rome ſe mutine.	Un exemple a fait l'autre, et Rome se mutine.
Mais vous en répondrez;	Mais vous en répondrez;
& pour les punir tous, Il ne faut qu’vn ſupplice, ils ſouffriront en vous Voſtre honteuſe mort ſera leur infamie, Punira mon Armée, & Rome voſtre Amie;	et pour les punir tous, Il ne faut qu'un supplice, ils souffriront en vous Votre honteuse mort sera leur infamie, Punira mon Armée, et Rome était Amie;
Ils verront ces ſoldats, punir leur faction Sur l’auteur criminel d’vne noble action;	Ils verront ces soldats, punir leur faction Sur l'auteur criminel d'une noble action;
La honte du ſupplice en tous lieux publiée Me rend Maitie en mon camp, & Rome chaſtiée.	La honte du supplice en tous lieux publiée Me rend Maitie en mon camp, et Rome châtiée.
FABIE Fils.	FABIE Fils.
Ie ſçauray preuenir cét infame trépas.	Je saurai prévenir cet infâme trépas.
FABIE Pere.	FABIE Père.
Non, quand il n’auroit point ny de cœur, ny de bras;	Non, quand il n'aurait point ici de cœur, ni de bras;
Quand mon bras, quand mon cœur ſe treuueroit ſi laſche De ſouffrir en mon ſang cette honteuſe tache I’eſpererois au Ciel, & croirois que les Dieux, Pour l’enleuer là haut, deſcendroient en ces lieux, Ou ſi i’eſpere trop, laceroient vne foudre, Pour laiſſer de ſes os vne honorable poudre:	Quand mon bras, quand mon cœur se trouverait si lâche De souffrir en mon sang cette honteuse tache J'espérerais au Ciel, et croirais que les Dieux, Pour l'enlever là haut, descendraient en ces lieux, Ou si j'espère trop, laceraient une foudre, Pour laisser de ses ô Un honorable poudre:
Pour craindre le ſupplice, & la main d' Bourreau:	Pour craindre le supplice, et la main d' Bourreau:
On n’en void point la trace ailleurs qu’à I d’en campagne;	On n'en voit point la trace ailleurs qu'à I J'en campagne;
La victoire le ſuit, où l’honneur l’accompagne, Il ne ſçauroit couler ſi ce n’eſt noblement, Pour ſeruir ſon Pays, dont il eſt l’ornement;	La victoire le suit, où l'honneur l'accompagne, Il ne saurait couler si ce n'est noblement, Pour servir son Pays, dont il est l'ornement;
Il fut touſiours de Rome vn glorieux partage, Ou pour la ſecourir, ou pour ſon auantage, Pour la ſeruir encore en cét éuenement, Pour empeſcher ſon crime & ſon ſoûleuement Au milieu des Tribuns, dans la place publique Ce bras n’alloit-il pas tuer mon Filz vnique?	Il fut toujours de Rome un glorieux partage, Ou pour la secourir, ou pour son avantage, Pour la servir encore en cet événement, Pour empêcher son crime et son soulèvement Au milieu des Tribuns, dans la place publique Ce bras n'allait-il pas tuer mon Fils unique?
Mon courage l’euſt fait, & le doit faire icy:	Mon courage l'eût fait, et le doit faire ici:
Pour vous i’ay calmé Rome;	Pour vous j'ai calmé Rome;
& c’eſtoit mon ſoucy.	et c'était mon souci.
Maintenant c’eſt mon cœur, c’eſt Rome repentie Qui donne en ſacrifice vne ſi grande hoſtie:	Maintenant c'est mon cœur, c'est Rome repentie Qui donne en sacrifice une si grande hostie:
Mais Rome à ſe punir veut quelque couy nouueau, Vn Sacrificateur, & non pas vn bourreau:	Mais Rome à se punir veut quelque couy nouveau, Un Sacrificateur, et non pas un bourreau:
Autre que moy ne peut luy rendre cét office;	Autre que moi ne peut toujours rendre cet office;
I’ay droit ſur la Victime, & ſur le Sacrifice;	J'ai droit sur la Victime, et sur le Sacrifice;
Mon bras ſeul peut verſer vn ſang que i’ay donné;	Mon bras seul peut verser un sang que j'ai donné;
Que par luy ſoit ſon ſort, & mon Nom terminé.	Que par notre soit son sort, et mon Nom terminé.
Ma maiſon par ſoy-meſme eſt digne de s’éteindre:	Ma maison par soi-même est digne de s'éteindre:
Ce coup ne me verra ny pleurer, ny me plaindre;	Ce coup ne me verra ici pleurer, Seigneur me plaindre;
Et i’auray pour le moins ce triſte reconfort Que le nom Fabien par vn Fabie eſt mort:	Et j'aurai pour le moins ce triste réconfort Que le nom Fabien par un Fabie est mort:
Pour expier ton crime quuelle ſien que ie loue, Un Pere tuë vn Fils, ô Rome & te le votie.	Pour expier ton crime quuelle sien que Rome loue, Un Père tuue un Fils, ô Rome et te le votie.
d'en eſt fait;	d'en est fait;
il le faut:	il le faut:
prononcez donc l’arreſt;	prononcez donc l'arrêt;
It vous verrez bien-toſt comme mon bras eſt Pleitr	It vous verrez bientôt comme mon bras est Pleitr
CAMILLE.	CAMILLE.
rreſtez, inhumain;	rrestez, inhumain;
quel coup voulez-vous faire?	quel coup voulez-vous faire?
FABIE' Pere.	FABIE' Père.
igne d’vn Fils ſi noble, & digne d’vn tel Pere:	igné d'un Fils si noble, et digne d'un tel Père:
ome connoy nos cœurs, voy ſi l’acte eſt Romain;	ome connais nos cœurs, vois si l'acte est Romain;
l te donne ſon ſang, ie te preſte ma main.	 te donne son sang, ie te prête ma main.
PAPYRIE.	PAPYRIE.
Pour acheuer ce coup genereux & barbare, Si vous verſez ſon ſang, que le mien le repare Qu'vne Fille en cét acte entre, & prennè va beau rang;	Pour achever ce coup généreux et barbare, Si vous versez son sang, que le mien le répare Qu'une Fille en cet acte entre, et prenné va beau rang;
i’elle pleure en Romaine, & ſes pleurs ſoient M9	j'elle pleure en Romaine, et ses pleurs soient M9
FABIE Pere.	FABIE Père.
Arreſtez ce tranſport, ô Fille genereuſe.	Arrêtez ce transport, ô Fille généreuse.
FLAVIE, Elle ne ſeroit plus ſans mon adreſſe heureuſe, I ij Qui d’vn Epoux ſauué luy faiſant le rapport De toutes deux au Temple a deſtourné la mort	FLAVIE, Elle ne serait plus sans mon adresse heureuse, I j Qui d'un Époux sauvé un faisant le rapport De toutes deux au Temple a détourné la mort
LVCILLE.	LUCILE.
Quoy?	Quoi?
pourrois-je auoir moins de vertu que ma Fille?	pourrais-je avoir moins de vertu que ma Fille?
Verrez-vous, ſans pitié, perir voſtre Famille?	Verrez-vous, sans pitié, périr votre Famille?
Pere & Mary cruel!	Père et Mari cruel!
PAPYRE.	PAPYRE.
D ctateur malheureux, Qu’empéche la Vertu d’oüir ces genereux!	 Dîtateur malheureux, Qu'empêche la Vertu d'ouïr ces généreux!
Helas!	Hélas!
auant le coup ce meſme coup me bleſſe.	avant le coup ce même coup me blesse.
Mais quel helas !	Mais quel hélas !
arriere amour, prtié, foibleſſe:	arrière amour, prtié, faiblesse:
Rome, que doy-je faire?	Rome, que dois-je faire?
ô Rome, qu’as-tu fait?	ô Rome, qu'as-tu fait?
C’ent trop punnr.	C'ent trop punnr.
C’ent trop retarder cét effect;	C'ent trop retarder cet effet;
N’écoutons plus amour, ny pitié, ny tendreſſes:	N'écoutons plus amour, ni pitié, ni tendresses:
Ie vous entends, ô loix;	Je vous entends, ô lois;
vous ſerez les Maîtreſſes.	vous serez les Maîtresses.
MARTIAN.	MARTIAN.
Rome ſeule doit l’eſtre;	Rome seule doit l'être;
elle implore pour tous:	elle implore pour tous:
Et c’eſt pour triompher qu’on la voit à genoux;	Et c'est pour triompher qu'on la voit à genoux;
voustenez a vos pieds cette noble Arrogante;	voustenez à vos pieds cette noble Arrogante;
C’eſt la premiere fois qu’on la void ſuppliante, Elle, qui peut marcher ſur la teſte des Roys, Elle enfin qui les fait eſt au deſſus des loix.	C'est la première fois qu'on la voit suppliante, Elle, qui peut marcher sur la tête des Rois, Elle enfin qui les fait est au dessus des lois.
PAPYRE.	PAPYRE.
A ces termes ſi hauts, apres tant de furte, On voit bien Martian, que c’eſt Rome qui prie.	À ces termes si hauts, après tant de furte, On voit bien Martian, que c'est Rome qui prie.
Leuez vous, ſes Tribuns, & ne confondez point Sou Maiſtre, & ſon Enfant, de la voir à ce poinct;	Levez -vous, ses Tribuns, et ne confondez point Sou Maître, et son Enfant, de la voir à ce point;
Dans ces deuoirs honteux humble à mes pieds reduite Ma vertu la regarde, & n’en eſt point ſeduite;	Dans ces devoirs honteux humble à mes pieds réduite Ma vertu la regarde, et n'en est point séduite;
Cét eſtat trop indigne & d’elle & de ces lieux Ne dompte point mon cœur, mais il bleſſe mes yeux, Voyez, voyez, Tribuns, où vous l’auez iettée, Où vous la deſcendez, où vous l’auiez montée:	Cet état trop indigne et d'elle et de ces lieux Né dompte point mon cœur, mais il blesse mes yeux, Voyez, voyez, Tribuns, où vous l'avez jetée, Où vous la descendez, où vous l'aviez montée:
Regardez ſon orgueil, & ſon abbaiſſement:	Regardez son orgueil, et son abaissement:
Comme elle m’a traitté, comme elle ſe dément:	Comme elle m'a traité, comme elle se dément:
Mais regardez plutoſt ce qu’elle me demande, Et quel fruit malheureux il faut qu’elle en attende.	Mais regardez plutôt ce qu'elle me demande, Et quel fruit malheureux il faut qu'elle en attende.
MARTIAN.	MARTIAN.
Rome prefere vn homme à ce grand intereſt, Et demande vn Heros, tout criminel qu’il eſt;	Rome préfère un homme à ce grand intérêt, Et demande un Héros, tout criminel qu'il est;
Elle vous en veut eſtre à iamais obligée:	Elle vous en veut être à jamais obligée:
Et retombe à vos pieds, cette grande Affligée:	Et retombe à vos pieds, cette grande Affligée:
Pouuez-vous refuſer à Rome vn ſeul Romain?	Pouvez-vous refuser à Rome un seul Romain?
Elle prie, & iamais ne doit prier en vain.	Elle prie, et jamais ne doit prier en vain.
PAPYRE.	PAPYRE.
C’en eſt fait:	C'en est fait:
ſa priere a ma force abbattuë, Et bien, tu m’as flechy, Rome, & ie t’ay vaincuë:	sa prière à ma force abattue, Et bien, tu m'as fléchi, Rome, et toujours t'ai vaincue:
Voy ton Victorieux:	Vois ton Victorieux:
Mais non, ce n’eſt pas moy:	Mais non, ce n'est pas moi:
C’eſt l’Ordre ſouuerain, c’eſt l’Empire, & la Loy.	C'est l'Ordre souuerain, c'est l'Empire, et la Loi.
Fabie eſt conuaincu, tu veux qu’on luy pardonne:	Fabie est convaincu, tu veux qu'on Ne pardonne:
Tout criminel qu’il eſt, prens-le, ie te le donne, Ie le donne aux Tribuns, dont l’importunité.	Tout criminel qu'il est, prends-le, Elle te le donne, Je le donne aux Tribuns, dont l'importunité.
L’emporte par priere, & non d’authorité:	L'emporte par prière, et non d'autorité:
Vn important exemple euſt fait voir ma puiſſance;	Un important exemple eût fait voir ma puissance;
Vn exemple plus doux montrera ma clemence.	Un exemple plus doux montrera ma clémence.
Vy doncque, vy Fabie, en ce.	Vi donc, vis Fabie, en ce.
poinct plus heureux Que le peuple Romain, de ton crime amoureux, Contre ſes propres loix a deffendu ta gloire;	point plus heureux Que le peuple Romain, de ton crime amoureux, Contre ses propres lois à défendu ta gloire;
Cette inſigne faueur vaut plus que ta victoire.	Cette insigne faveur vaut plus que ta victoire.
FABIE Fils.	FABIE Fils.
Et vous la ferez croiſtre encore de moitié, Si ie r’entre en ce cœur & dans voſtre amitié,	Et vous la ferez croître encore de moitié, Si apprendre rentre en ce cœur et dans votre amitié,
PAPYRE.	PAPYRE.
Quoy qu’ait fait mon deuoir, quoy qu’ait fait voſtre audace L’amitié vous gardoit en mon cœur meſme place;	Quo qu’ait fait mon devoir, quoi qu’ait fait votre audace L'amitié vous gardait en mon cœur même place;
Auec elle ſans feinte il vous a combattu, I’aymois, & pourſuiuois va Gendre, & ſa vertu, Et voſtre erime eſt tel, qu’en mon rang voſtre Pere Armé contre ſon Fils n’auroit oſé moins faire.	Avec elle sans feinte il vous a combattu, J'aimais, et poursuivais va Gendre, et sa vertu, Et votre erime est tel, qu'en mon rang vôtre Re Armé contre son Fils n'aurait osé moins faire.
FABIE Pere.	FABIE Père.
Ouy, ie l’aurois perdu, vous luy fûtes trop doux:	Oui, Seigneur l'aurais perdu, vous lui fûtes trop doux:
Et ie ne le tiens plus que de Rome, & de vous;	Et ici ne le tiens plus que de Rome, et de vous;
Quand la mort me l’ôtoit, vous daignez me le rendre, Vous me l’auez donné.	Quand la mort me l'ôtait, vous daignez me le rendre, Vous me l'avez donné.
PAPYRE.	PAPYRE.
Mais c’eſt pour le reprendre:	Mais c'est pour le reprendre:
Souffrez qu’auecque vous ie puiſſe partager Vn Fils ſi glorieux apres vn tel danger, Le pour lomdie dumour lme ce ruucre Eamille;	Souffrez qu'avec vous ie chang partager Un Fils si glorieux après un tel danger, Le pour lomdie dumour lme ce rucre Eamille;
Voicy mon Fils, Fabie;	Voici mon Fils, Fabie;
& voila voſtre Fille.	et voilà votre Fille.
FABIE Fils.	FABIE Fils.
Quel charme à mes eſprits!	Quel charme à mes esprits!
ô doux rauiſſemenle.	ô doux ravissemenle.
LVCILLE luy preſentant ſa Fille.	LUCILE était présentant sa Fille.
Vous deuiez l’acquerir vn peu plus ſeurement.	Vous deviez l'acquérir un peu plus sûrement.
FABIE Fils.	FABIE Fils.
Pour vn ſi noble prix doit-on conter la peine?	Pour un si noble prix doit-on compter la peine?
PAPYRIE.	PAPYRIE.
Ce prix vous eſtoit dû, ma mort eſtoit certaine Ie deuois eſtre à vous ou viuant ou mourant.	Ce prix vous était dû, ma mort était certaine Je devais être à vous ou vivant ou mourant.
Faire mon ſort du voſtre en vn peril ſi grand:	Faire mon sort du vôtre en un péril si grand:
Vn plus heureux ſuccez a mon amour ſuiuie.	Un plus heureux succès a mon amour suivie.
I’eſtois voſtre en la mort, ie ſuis voſtre en la vie.	J'étais votre en la mort, je suis votre en la vie.
FABIE Fils.	FABIE Fils.
Et vous ſerez par tout maiſtreſſe de mon ſort:	Et vous serez par tout maîtresse de mon sort:
O le naufrage heureux, qui treuue vn ſi beau port!	Ô le naufrage heureux, qui trouve un si beau port!
4 ile ln lelar Allons par leur hymen acheuer cette joye.	4 île l elar Allons par leur hymen achever cette joie.
PAPYRE.	PAPYRE.
Non, le Camp reuolté veut que ie le reuoye.	Non, le Camp révolté veut que je le revoie.
Comme, allez deuant, annoncer mon retour.	Comme, allez devant, annoncer mon retour.
FABIE Fils.	FABIE Fils.
Moy plutoſt.	Moi plutôt.
PAPYRE.	PAPYRE.
Demeurez:	Demeurez:
ie veux auoir mon tour.	Je veux avoir mon tour.
Vous ne combattrez point;	Vous ne combattrez point;
tout ce qui reſte à faire Eſt peu pour mon triomphe, & m’eſt trop ne ceſſaire:	tout ce qui reste à faire Est pu pour mon triomphe, et m'est trop ne cessaire:
Dans Rome joüiſſez du fruict de vos combats;	Dans Rome jouissez du fruit de vos combats;
Souffrez qu’vn Dictateur marche deſſus vos as Attendez mon retour, comme voſtre hymenée.	Souffrez qu'un Dictateur marche dessus vos as Tendez mon retour, comme votre hyménée.
Aprés, chargez d’honneurs, la guerre terminèe, Vn meſme iour verra triompher deux Guerriers, L'vn couronné de myrthe, & l’autre de lauriers.	Après, chargez d'honneurs, la guerre terminée, Un même jour verra triompher deux Guerriers, L'un couronné de myrte, et l'autre de lauriers.
