A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
3 Ton courage plus fort que ton aduerſité, Doit faire vne vertu de la neceßité, N'attenterien ſur toy, cherche dans les batailles, Apres vnbeau treſpas, d’illuſtres funerailles, Ouſt tiucotine motnur par encoup eroteur, Attends que ie t’en donne vn exemple ſanglant.	3 Ton courage plus fort que ton aduersité, Doit faire une vertu de la necemité, N'attenterien sur toi, cherche dans les batailles, Après un trépas, d'illustres funérailles, Ut tivcotine motur par encoup eroteur, Attends que deux t'en donne un exemple sanglant.
ALCANDRE.	ÀLCANDRE.
Madame, ie vay donc aux deux bouts de la terre Chercher quelques Climats ou l’on faſſe la guerre, Glorieux ſi ie puis tomber en meſme iour, Victime tout enſemble & de Mars e d’Amour.	Madame, tu vais donc aux deux bouts de la terre Chercher quelques Climats ou l'on fasse la guerre, Glorieux si grande puis tomber en même jour, Victime tout ensemble et de Mars eût d'Amour.
Ainſi pour vne abſence eternelle & funeſte, Prendre congé de vous eſt tout ce qui me reſte.	Ainsi pour une absence éternelle et funeste, Prendre congé de vous est tout ce qui me reste.
Adieu donc ma Princeſſe, adieu tous mes plaiſirs, Adieu le ſeul obiect de mes chaſtes deſirs;	Adieu donc ma Princesse, adieu tous mes plaisirs, Adieu le seul objet de mes chastes désirs;
Ot ma fame tne Svous trouut enor quelque grâce, Excuſez ſon ardeur, excuſez mon audace, Vous voyez que le Ciel iuſtement irrité Ne vous vange que trop de ma temerité.	Ot ma famé ne Svous trouut enor quelque grâce, Excusez son ardeur, excusez mon audace, Vous voyez que le Ciel justement irrité Ne vous venge que trop de ma témérité.
Viuez, regnez heureuſe:	Vivez, régnez heureuse:
CLARIMONDE.	CLARIMONDE.
Alcandre tu me quittes, Que le gouffre eſt profond où tu me precipites, Tu me quittes Alcandre, ô triſte & dure loy?	Alcandre tu me quittes, Que le gouffre est profond où tu me précipites, Tu me quittes Alcandre, ô triste et dure loi?
ALCANDRE.	ÀLCANDRE.
L’ous l’ordonnez (Madame,	L'ous l'ordonnez (Madame,
CLARIMONDE.	CLARIMONDE.
Helas ce n’eſt pas moy, C eſt de nos ſiers deſtins l'arreſt irreuouable, Qui fait de ton deſpart vn mal ineuitable.	Hélas ce n'est pas moi, Ç est de nos siers destins l'arrêt irrévouable, Qui fait de ton départ un mal inévitable.
ALCANDRE.	ÀLCANDRE.
Ie pourrois l’euiter en acheuant mon fort.	Je pourrais l'éviter en achevant mon fort.
CLARIMONDE.	CLARIMONDE.
N’importe i’ayme mieux tondeſpart que ta mort	N'importe j'aime mieux tondespart que ta mort
ALCANDRE.	ÀLCANDRE.
L’vn & l’autre pour moy ſont vne meſme choſe, Mais puiſqu’il faut fleſchir ſous le ioug qu’on m'impoſe:	L'autre et l'autre pour moi sont une autre chose, Mais puisqu'il faut fléchir sous le joug qu'on m'impose:
Ie v’ay loing de vos yeux ſouſpirer mes ennuis, Dittes moy ſeulement vn Adieu,	Je v'ai loin de vos yeux soupirer mes ennuis, Dittes moi seulement un Adieu,
CLARIMONDE.	CLARIMONDE.
Ie ne puns.	Je ne puns.
Ah tranſport!	Ah transport!
ALCANDRE.	ÀLCANDRE.
CLARIMONDE.	CLARIMONDE.
Ah douleur!	Ah douleur!
ALCANDRE.	ÀLCANDRE.
Madame.	Madame.
CLARIMONDE.	CLARIMONDE.
Mon Alcandre, Mais c’eſt trop reſiſter, il eſt temps de ſe rendre, Tu cognois par ma voix bien moins que par mes yeux, Ce que ſouffre mon ame en ces derniers Adieux.	Mon Alcandre, Mais c'est trop résister, il est temps de se rendre, Tu connais par ma voix bien moins que par mes yeux, Ce que souffre mon âme en ces derniers Adieux.
Va, ſonge aux deſplaiſirs que ton deſpart me laiſſe, Adieulmoncher Alcandre.	Va, songe aux déplaisirs que ton départ me laisse, Adieulémoncher Alcandre.
ALCANDRE.	ÀLCANDRE.
Adieu belle Princeſſe,	Adieu belle Princesse,
CLARIMONDE ſeule.	CLARIMONDE seule.
Tu pars cher obiect que i’adore, Tu pars delices de mes yeux:	Tu pars cher objet que j'adore, Tu pars délices de mes yeux:
Reſpect tyran pernicieux, N'es tu point ſatis fait encore, Voy l’eſtat deplorable où ta loy me reduit, Et parmy les tranſports que ma rage produit:	Respect tyran pernicieux, N'es -tu point satî fait encore, Vois l'état déplorable où ta loi me réduit, Et parmi les transports que ma rage produit:
Permets que ie contente vnefois mon enuse, Alcandre tu ſçauras par ce dernier effort, Que comme ta preſence eſtoit toute ma vie, Ton abſence ſera la cauſe de ma mort, le te peras, man que cogde:	Permets que ainsi contente unefois mon enuse, Alcandre tu sauras par ce dernier effort, Que comme ta présence était toute ma vie, Ton absence sera la cause de ma mort, le te péras, man que cogde:
SCENE I LYDIANE, CLARIMONDE.	SCÈNE I YDIANE, CLARIMONDE.
LYDIANE.	LYDIANE.
CLARIMONDE.	CLARIMONDE.
Lydiane?	Lydiane?
Tout eſt perdu.	Tout est perdu.
LYDIANE.	LYDIANE.
CLARIMONDE.	CLARIMONDE.
Comment?	Comment?
LYDIANE.	LYDIANE.
Vn perfide, vn profane, Eſgalement pouſſé d’amour & de fureur Fait du Palais Royal vn theatre d’horreur, En vn mot Melidor ſaiuy de ſes cohortes A pû ſe faire iour dans les premieres portes, Les chefs qu’en ſa faueur le traiſtre a corrompus Ont ſi bien combattu qu’on ne les attend plus, A peine de nos gens ce qui reſte en deffenſe, Au bas de l’eſcalier fait quelque reſiſtance, Almazan repoußé ne ſçait ou recourir, Solimont comme luy ne s’attend qu’a mourir, Le tonnerre eſt tout preſt d’eſclatter ſur leur teſte:	Un perfide, un profane, Esgalement poussé d'amour et de fureur Fait du Palais Royal un théâtre d'horreur, En un mot Melidor saiui de ses cohortes A pû se faire jour dans les premières portes, Les chefs qu'en sa faveur le traître a corrompus Ont si bien combattu qu'on ne les attend plus, À peine de nos gens ce qui reste en défense, Au bas si bien escalier fait quelque résistance, Alamazan repoussé ne savoir ou recourir, Solont comme lu ne s'attend qu'attend mourir' Es tête est tout Le tesclatter prêt d' es:
, Et ſi vous ne fuyez vous ſerez la conqueste De ce deſeſperé;	, Et si vous ne fuyez vous serez la conquête De ce désespéré;
qui pour vous ſeulement Afupamaaaseeuene cumen;	qui pour vous seulement Afupamaaaseeuene cumen;
CLARIMONDE.	CLARIMONDE.
Ou fuir Lydiane?	Ou fuir Lydiane?
LYDIANE.	LYDIANE.
Ou fuir ?	Ou fuir ?
il n’importe.	il n'importe.
Mais i’entends vn grand bruit on force cette porte, Ne deliberez, plus cherchons où nous cacher.	Mais j'entends un grand bruit on force cette porte, Ne délibérez, plus cherchons où nous cacher.
SCENE V.	SCÈNE V.
{EEE 1 ALMAZAN, SOLIMONT.	{EEE 1 ALMAZAN, SOLIMONT.
ALMAZAN.	ÀLMAZAN.
N fin puiſqu’il n'eſt rien qui le puiſſe toucher.	N fin puisqu'il n'est rien qui le puisse toucher.
L Et que ſa trahiſon en meurtres ſi feconde Ne ſe peut aſſouuir qu’en m’oſtant Clarimonde, Attendons en ce lieu ce rebelle ſubiect, Et mourons ou vangeons ſon coupable proiect.	L Et que sa trahison en meurtres si féconde Ne se peut assouvir qu'en m'ôtant Clarimonde, Attendons en ce lieu ce rebelle sujet, Et mourons ou vengeons son coupable proiect.
SOLIMONT.	SOLIMONT.
Se vanger?	Se venger?
ah deſſein tout à fait inutile!	ah dessein tout à fait inutile!
Ce nombre de ſoldats forceroit vne ville, A plus forte raiſon ce Pallais eſcarté, Ou d'eſtre ſecouru l’eſpoir vous eſt osté, Nous deuions acheuer d’expoſer nos perſonnes, Peut-eſtre qu’a la fin l’eſclat de nos couronnes Euſt touché de reſpect leur courage inhumain, Et leur euſt fait tomber les armes de la main.	Ce nombre de soldats forcerait une ville, À plus forte raison ce Pallais écarté, Ou d'être secouru l'espoir vous est ôté, Nous devions achever d'exposer nos personnes, Peut-être qu'à la fin l'éclat de nos couronnes Eut touché de respect leur courage inhumain, Et leur eût fait tomber les armes de la main.
ALMAZAN.	ÀLMAZAN.
Que tarde leur fureur, que ne vient cet infame Acheuer par ma mort ſon infidelle trame?	Que tarde leur fureur, que ne vient cet infâme Achever par ma mort son infidèle trame?
Mais d’où vient qu'Argiran paroit tout reſiouy?	Mais d'où vient qu'Argiran paraît tout réjoui?
SEBEY EI VI ARGIRAN, ALMAZAN, SOLIMONT.	SEBEY EI VI ARGIRAN, ALMAZAN, SOLIMONT.
ARGIRAN.	ARGIRAN.
Ire, ne craignez plus, vn miracle inouy OVient de ſauuer l' Eſtat,	Ire, ne craignez plus, un miracle invi OUient de sauver l' État,
ALMAZAN.	ÀLMAZAN.
Ah Dieux quelles nouuelles!	Ah Dieux quelles nouvelles!
ARGIRAN.	ARGIRAN.
Mvitiiuoriout pentt dt vieſures mortelles N'a plus pour vous troubler ny force ny vigueur, Ses gens ſont dißipez, ils ont manqué de cœur, Et ſa cheute auiourd huy fatale a ſes complices, Leur laiſſe pour butin la honte & les ſupplices.	Mvitiiuoriout pense a viesures mortelles N'a plus pour vous troubler ni force ur vigueur, Ses gens sont dissipez, ils ont manqué de cœur, Et sa chute aujourd' hui fatale à ses complices, Leur laisse pour butin la honte et les supplices.
ALMAZAN.	ÀLMAZAN.
Quelle diuinité nous a donc aßistez?	Quelle divinité nous a donc assistez?
ARGIRAN.	ARGIRAN.
Sire le ſeul Alcandre à ſes Monſtres domptez,	Sire le seul Alcandre à ses Monstres domptez,
Alcandre?	Alcandre?
ALMAZAN.	ÀLMAZAN.
ARGIRAN.	ARGIRAN.
Ouy ſa valeur a briſé tous obſtacles, Et pour vous garentir il a fait der miracles.	Oui sa valeur a brisé tous obstacles, Et pour vous garantir il a fait der miracles.
Deſia dans le degré Melidor triomphoit, Quand ce ieune vainqueur que le deuil eſtouffoit, Paroiſſant tout a coup, & nous donnant courage Parmy vos ennemis s’est ouuert vn paſſage.	Déjà dans le degré Melidor triomphait, Quand ce jeune vainqueur que le deuil étouffait, Paraissant tout à coup, et nous donnant courage Parmi vos ennemis s'est ouvert un passage.
Vous raconter icy les exploits qu’il a faits, Ce ſeroit vn diſcours a ne finir iamais, Il ſuffit qu’affrontant cet ingrat, & ce traistre, Apres vn dur combat il s’en eſt rendu maiſtre;	Vous raconter ici les exploits qu'il a faits, Ce serait un discours à ne finir jamais, Il suffit qu'affrontant cet ingrat, et ce traître, Après un dur combat il s'en est rendu maître;
Or jout que tajanta fes pleus temuſſe L’exemple de ſa mort tout le reſte a chaſſé.	Or out que tajanta fes pleus témusse L'exemple de sa mort tout le reste a chassé.
SOLIMONT.	SOLIMONT.
O courage admirable!	Ô courage admirable!
ô valeur nompareille!	ô valeur nompareille!
ALMAERIS.	ÀLMARIS.
Orecit qui me flatte, & l’eſprit & l’oreille!	Orecit qui me flatte, et l'esprit et l'oreille!
Donc ſi i’ay du repos Alcandre en eſt l’autheur, Donc qui deuroit me perdre eſt mon liberateur?	Donc si j'ai du repos Alcandre en est l'auteur, Donc qui devrait me perdre est mon libérateur?
ARGIRAN.	ARGIRAN.
Melidor tout mourant montre d’auoir enuie D’exhaler deuant vous les reſtes de ſa vie, Vous plaiſt il, mais il vient.	Mélidor tout mourant montre d'avoir envie D'exhaler devant vous les restes de sa vie, Vous plaît il, mais il vient.
SCENEVII.	SCENEVII.
MELIDOR, ALMAZAN, SOLIMONT.	MELIDOR, ALMAN, SOLIMONT.
MELIDOR	MELIDOR
ACeablé de remords, Et bleßé dans mon ame außi bien qu’en mon corps, Sire, ie viens icy pour met tre en euidence Vn tort que l impoſture a fait à l’innocence, Alcandre deuant vous fauſſement accuſe Ma luy meſme puny du forfait impoſe, Et ſonbras me couurant de mortelles bleſſures A voulu que mon ſangexpiaſt mes iniures:	ACeablé de remords, Et blessé dans mon âme aussi bien qu'en mon corps, Sire, Seigneur viens ici pour met tre en évidence Un tort que l ivre a fait à l'innocence, Alandre devant vous faussement accuse Ma lui même puni du forfait impose, Et sonbras me couurant de mortelles blessures A voulu que mon sangexpiât mes injures:
Pardonnez, puniſſez, tout m’eſt indifferent, Ie ne ſçaurois ſouffrir de ſupplice bien grand Puiſque ie ſens le trait dont la fatale attainte Affranchit les mortels & de peyne & de crainte.	Pardonnez, punissez, tout m'est indifférent, Je ne saurais souffrir de supplice bien grand Puisque sans sens le trait dont la fatale attainte Affranchit les mortels et de peine et de crainte.
de ne fila plin sie menia.	de ne fila plin siie menia.
ALMAZAN.	ÀLMAZAN.
Ostez le de mes yeux Ce traiſtre qui naſquit à la honte des Cieux, Qu'on en face vnſpectacle horrible a la Nature Qu'il n’ait larmes ny vœux, deuoir ny ſepulture, Et qu’au lieu de cercueil le deuorant corbeau, Et le loup affamé luy ſeruent de tombeau.	Ôtez le de mes yeux Ce traître qui nasquit à la honte des Cieux, Qu'on en face unspectacle horrible à la Nature Qu'il n'ait larmes ni vœux, devoir a sépulture, Et qu'au lieu de cercueil le dévorant corbeau, Et le loup affamé lui servent de tombeau.
Cepandant qu’on me cherche Alcandre & Clarimonde, Que mon reſſentiment à ſa faueur reſponde, Il m’a ſauué la vie, il m'a ſauué l’honneur, Ie luy dois mon ſalut, ie luy dois mon bon-heur?	Cepandant qu'on me cherche Alcandre et Clarimonde, Que mon ressentiment à sa faveur réponde, Il m'a sauvé la vie, il m'a sauvé l'honneur, Je lui dois mon salut, ie luy dois mon bonheur?
Ahrentre dans toy meſme, & repents toy mon ame D'auoir fait v’ne iniure à fa pudiqueſlame	Ahrentre dans toi -même, et repents toi mon âme D'avoir fait v'une injure à fa pudiqueslamme
SCENE VIII ALMAZAN, CLARIMONDE, LYDIANE, SOLIMONT, ARGIRAN.	SCÈNE VIII ALMAZAN, CLARIMONDE, LYDIANE, SOLIMONT, ARGIRAN.
ALMAZAN.	ÀLMAZAN.
Ais voicy Clarimonde, ah ne ſouſpirez AVI plus, Les pleurs & les regrets ſont enfin ſuperflus, Le Ciel & maraiſon vous redonnent Alcandre.	Ais voici Clarimonde, ah ne soupirez AVI plus, Les pleurs et les regrets sont enfin superflus, Le Ciel et maraison vous redonnent Alcandre.
CLARIMONDE.	CLARIMONDE.
O Dieux quel changement!	Ô Dieux quel chang!
& que viens-ie d’entendres	et que viens-je d'entendrez
21 E ii ae llNe.	21 E ji ae llNe.
La meſme verité, mais ie le voy venir.	La même vérité, mais rien le vois venir.
SCENE DERNTERE.	SCÈNE DERNTERE.
Mbraſſe nous Alcandre, & perds le ſouueC nir Des ennuis importans dont i’ay troublé ta vie, De mille repentirs monoffenſe eſt ſuiuie, Et tu me vois tout preſt a te rendre ton bien, Grand Prince permettez que mon prix ſoit le ſien Qu'auiourd’huy Clarimonde a mes vœux deſtinee Contracte auec Alcandre vn plus doux hymenee Pour le recompenſer de m’auoir conſerué, Ie luy donne apres moy l'Eſtat qu'il aſauué, Ie l’adopte at'emptre, & veux qu'en ſa perſonne Le Cielvniſſe enfin l’vne & l’autre couronne, N’yconſentez vous pas?	MArasse nous Alandre, et perds le souveC nir Des ennuis importants dont j'ai troublé ta vie, De mille repentirs monoffense est suivie, Et tu me vois tout prêt à te rendre ton bien, Grand Prince permettez que mon prix soit le sien Qu'aujourd'hui Clarimonde à mes vœux destinée Contracte avec Alcandre un plus doux hyménée Pour le récompenser de m'avoir conservé, Je me donne après moi l'État qu'il asauué, Je l'adopte atemptre, et veux qu'en sa personne Le Sa enfin N'une et l'autre couronne, N'y vous pas?
ALCANDRE.	ÀLCANDRE.
AhSire,	AhSire,
SOLIMONT.	SOLIMONT.
C’eſt aſſez, Alcandre il faut payer vos ſeruices paſſez Vos vertus dont le bruit va charmer tout le monde Meriteroient vn prix plus grand que Clarimonde, Ie vous donne auec elle & mon ſceptre & ma foy.	C'est assez, Alcandre il faut payer vos services passez Vos vertus dont le bruit va charmer tout le monde Mériteraient un prix plus grand que Clarimonde, Je vous donne avec elle et mon sceptre et ma foi.
Madame.	Madame.
ALCANDRE.	ÀLCANDRE.
CLARI'MONDE.	CLARYMONDE.
Mon Alcandre.	Mon Alcandre.
ALCANDRE.	ÀLCANDRE.
Est ce dous ?	Est -ce dous ?
CLARIMONDE.	CLARIMONDE.
Eſt ce toy?	Est -ce toi?
ALMAZAN.	ÀLMAZAN.
nfor-Laiſſons les Solimont enyurer de delices.	norfor-Laissons les Solimont enivrer de délices.
ALCANDRE.	ÀLCANDRE.
Helas qu'avος bυmιeZ ie dois de ſacrifices, Mais dãs ce doux tranſport ou vous m’auez ietté Ie manque de reſpect & de ciuilité:	Hélas qu'avος bêlez a pais de sacrifices, Mais dans ce doux transport ou vous m'avez jeté De respecté de respect et de civilité:
Sire,	Sire,
LYDIANE Ils ſont diſparus.	LYDIANE Ils sont disparus.
ALCANDRE.	ÀLCANDRE.
Ah c’eſt trop de pareſfe, Pour les remercier, ſuiuons les ma Princeſſe.	Ah c'est trop de parfe, Pour les remercier, suivons les ma Princesse.
CLARIMONDE.	CLARIMONDE.
