A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
Les nœuds de l’Hymenée, & ſon amour extréme Font qu’il vit plus en moy qu’il ne vit en luy-meſme, Et ſi vous m’accordez de mourir auiourd’huy Il mourra plus en moy, qu’il ne mourroit en luy.	Les nœuds de l'Hyménée, et son amour extrême Font qu'il vit plus en moi qu'il ne vit en lui-même, Et si vous m'accordez de mourir aujourd'hui Il mourra plus en moi, qu'il ne mourrait en porte.
La mort que ie demande, & qu’il faut que i’obtienne Augmentera ſa peine, & finira la mienne.	La mort que je demande, et qu'il faut que j'obtienne Augmentera sa peine, et finira la mienne.
Site, voyez l’excez de mes triſtes ennuis, Et l’effroyable eſtat où mes iours ſont reduits, Quelle horreur d’embraſſer vn homme dont l’eſpée De toute mafamille a la trame coupée?	Site, voyez l'excès de mes tristes ennuis, Et l'effroyable état où mes jours sont réduits, Quelle horreur d'embrasser un homme dont l'épée De toute mafamille à la trame coupée?
Et quelle impieté de hair vn eſpoux, Pour auoir bien ſeruy les ſiens, l’Eſtat, & vous?	Et quelle impiété de haïr un époux, Pour avoir bien servi les siens, l'État, et vous?
Aymer un bras ſoüillé du ſang de tous mes freres N’aymer pas vn mary qui finit nos miſeres!	Aimer un bras soüillé du sang de tous mes frères N'aimer pas un mari qui finit nos misères!
Sire, deliurez-moy par vn heureux treſpas Des crimes de l’aymer, & de ne l’aymer pas.	Sire, délivrez-moi par un heureux trépas Des crimes de l'aimer, et de ne l'aimer pas.
I’en nommeray l’atreſt vne faueur bien grande, Ma main peut me donner ce que ie vous demande:	J'en nommerai l'atrêt une faveur bien grande, Ma main peut me donner ce que personne vous demande:
Mais ce treſpas enfin me ſera bien plus doux Si ie puis de ſa honte affranchir mon eſpoux, Si ie puis par mon ſang appaiſer la colere Des Dieux qu’a peu faſcher ſa vertu trop ſeuere, Satisfaile on mourant aux ihanes de la leur, Et conſerver à Rome vn ſi bon defenſeur,	Mais ce trépas enfin me sera bien plus doux Si tu puis de sa honte affranchir mon époux, Si nom puis par mon sang apaiser la colère Des Dieux qu'a peu fâcher sa vertu trop sévère, Satisfaile on mourant aux janez de la leur, Et conserver à Rome un si bon défenseur,
Le vieil HORACE.	Le vieil HORACE.
Sire, c’eſt donc à moy de reſpondre à Valere Mes enfans auec luy conſpirent contre vn pere, Tous trois veulent me perdre, & s’arment ſans raiſon Contre ſi peu de ſang qui reſte en ma maiſon.	Sire, c'est donc à moi de répondre à Valère Mes enfants avec deux conspirent contre un père, Tous trois veulent me perdre, et s'arment sans raison Contre si peu de sang qui reste en ma maison.
Toy qui par des douleurs à tes deuoirs cantraires Veux quitter vn mary pour reioindre tes freres, Va pluſtoſt conſulter leurs manes genereux:	Toi qui par des douleurs à tes devoirs cantraires Veux quitter un mari pour rejoindre tes frères, Va plutôt consulter leurs mânes généreux:
Ils ſont morts, mais pour Albe, & s’en tiennent heureux.	Ils sont morts, mais pour Albe, et s'en tiennent heureux.
Puiſque le Ciel vouloit qu’elle fuſt aſſeruie, Si quelque ſentiment demeure apres la vie, Ce malheur ſemble moindre, & moins rudes ſes coups Voyant que tout l’honneur en retombe ſur nous.	Puisque le Ciel voulait qu'elle fût asservie, Si quelque sentiment demeure après la vie, Ce malheur semble moindre, et moins rudes ses coups Voyant que tout l'honneur en retombe sur nous.
Tous trois deſaduoüeront la douleur qui te touche, Les larmes de tes yeux, les ſoûpirs de ta bouche, L’horreur que tu fais voir d’vn mary vertueux Sabine, ſois leur ſœur, ſuy ton deuoir comme eux.	Tous trois désavoueront la douleur qui te touche, Les larmes de tes yeux, les soupirs de ta bouche, L'horreur que tu fais voir d'un mari vertueux Sabine, sois leur sœur, suis ton devoir comme eux.
Contre ce cher eſpoux Valere en vain s’anime, Vn premier mouuement ne fut iamais vn crime, Et la loüange eſt deuë, au lieu du chaſtiment Quand la vertu produit ce premier mouuement.	Contre ce cher époux Valère en vain s'anime, Un premier mouvement ne fut jamais un crime, Et la louange est deuë, du lieu du châtiment Quand la vertu produit ce premier mouvement.
Aymer nos ennemis auec idolatrie, De rage en leur treſpas maudire la patrie,	Aimer nos ennemis homme idolâtrie, De rage en leur trépas maudire la patrie,
Souhaiter à l’Eſtat vn malheur infiny, 61 C’eſt ce qu’on nomme crime, & ce qu’il a puny, Le ſeul amour de Rome a ſa main animée, Il ſeroit innocent s’il l’auoit moins aymée, Qu’ay-ie dit, Sire, il l’eſt, & ce bras paternel L’auroit deſia puny, s’il eſtoit criminel, l’aurois ſçeu mieux vſer de l’entiere puiſſance Que me donnent ſur luy les droits de la naiſſance, I’ayme trop l’honneur, Sire, & ne ſuis point de rang A ſouffrir ny d’affront, ny de crime en mon ſang.	Souhaiter à l'État un malheur infini, 61 C'est ce qu'on nomme crime, et ce qu'il a puni, Le seul amour de Rome a sa main animée, Il serait innocent s'il l'avait moins aimée, Qu'ai-je dit, Sire, il l'est, et ce bras paternel L'aurait déjà puni, s'il était criminel, l'aurais su mieux user de l'entière puissance Que me donnent sur lui es droits de la naissance, J'aime trop l'honneur, Sire, et ne suis point de rang A souffrir nid’affront, m de crime en mon sang.
C’eſt dont ie ne veux point de teſmoin que Valere, Il a veu quel accueil luy gardoit ma colere Lors qu’ignorant encor la moitié du combat Ie croyois que ſa fuite auoit trahy l’Eſtat.	C'est dont je ne veux point de témoin que Valère, Il a vu quel accueil lui gardait ma colère Lors qu'ignorant encor la moitié du combat Je croyais que sa fuite avait trahi l'État.
Qui le fait ſe charger des ſoins de ma famille?	Qui le fait se charger des soins de ma famille?
Qui le fait malgré moy vouloir vanger ma fille?	Qui le fait malgré moi vouloir venger ma fille?
Et par quelle raiſon dans ſon iuſte treſpas prend-il vn intereſt qu’vn pere ne prend pas?	Et par quelle raison dans son juste trépas prend-il un intérêt qu'un père ne prend pas?
On craint qu’aptes ſa ſœur il n’en maltraite d’autres;	On craint qu'aptes sa sœur il n'en maltraite d'autres;
Sire, nous n’auons part qu’à la honte des noſtres, Et de quelque façon qu’vn autre puiſſe agir (gir, Qui ne nous touche point ne nous fait point rouTu peux pleurer Valere, & meſme aux yeux d’Horace.	Sire, nous n'avons part qu'à la honte des nôtres, Et de quelque façon qu'un autre puisse agir (gir, Qui ne nous touche point ne nous fait point rouTu peux pleurer Valère, et même aux yeux d'Horace.
Il ne prend intereſt qu’aux crimes de ſa race, Qui n’eſt point de ſon ſang ne peut faire d’affront Aux lauriers immortels qui luy ceignent le front.	Il ne prend intérêt qu'aux crimes de sa race, Qui n'est point de son sang ne peut faire d'affront Aux lauriers immortels qui lui ceignent le front.
L’auriers, ſacrés rameaux qu’on veut reduire en poudre, Vous qui mettez ſa teſte à couuert de la foudre L’abandonnerez vous à l’infame couſteau Qui fait choir les méchants ſous la main d’vn bourteau?	L'auriers, sacrés rameaux qu'on veut réduire en poudre, Vous qui mettez sa tête à couvert de la foudre L'abandonnerez -vous à l'infâme coûteau Qui fait choir les méchants sous la main d'un bourteau?
Romains, ſouffrirez-vous qu’on vous immole vn homme Sans	Romains, souffrirez-vous qu'on vous immole un homme Sans
Sans qui Rome aujourd’huy ceſſeroit d’eſtre Reme, Et qu’vn Romain s’efforce à tacher le renom, D’vn guerrier à qui tous doiuent vn ſi beau nom?	Sans qui Rome aujourd'hui cesserait d'être Reme, Et qu'un Romain s'efforce à tacher le renom, D'un guerrier à qui tous doivent un si beau nom?
Dy Valere, dy nous, puiſqu’il faut qu’il periſſe, Où tu penſes choiſir vn lieu pour ſon ſupplice?	Dis Valère, dis nous, puisqu'il faut qu'il périsse, Où tu penses choisir un lieu pour son supplice?
Sera-ce entre ces murs que mille & mille voix Font reſonner encor du bruit de ſes exploits?	Sera-ce entre ces murs que mille et mille voix Font résonner encor du bruit de ses exploits?
Sera-ce hors des murs au milieu de ces places Qu’on voit fumer encor du ſang de Curiacés, Entre leurs trois tombeaux, & dans ce champ !	Sera-ce hors des murs au milieu de ces places Qu'on voit fumer encor du sang de Curiacés, Entre leurs trois tombeaux, et dans ce champ !
d’honneur Teſmoin de ſa vaillance, & de noſtre bonheur?	d'honneur Témoin de sa vaillance, et de notre bonheur?
Tu ne ſçaurois cacher ſa peine à ſa victoire, Dans les murs, hors des murs, tout parle de ſa pe gloire, Tout s’oppoſe à l’effort de ton iniuſte amour Qui veut d’vn ſi bon ſang ſoüiller vn ſi beau iour.	Tu ne saurais cacher sa peine à sa victoire, Dans les murs, hors des murs, tout parle de sa pe gloire, Tout s'oppose à l'effort de ton injuste amour Qui veut d'un si bon sang souiller un si beau jour.
Albe ne pourra pas ſouffrir vn tel ſpectacle, Et Rome auec ſes pleurs y mettra trop d’obſtacle, Vous les previendrez, Sire, & par vn iuſte arreſt Vous ſçaurez embraſſer bien mieux ſon intereſt, Ce qu’il a fait pour elle il le peut encore faire, Il la peut garantir encor d’vn ſort contraire.	Albe ne pourra pas souffrir un tel spectacle, Et Rome était ses pleurs y mettra trop d'obstacle, Vous les préviendrez, Sire, et par un juste arrêt Vous sçaurez embrasser bien mieux son intérêt, Ce qu'il a fait pour elle il le peut encore faire, Il la peut garantir encor d'un sort contraire.
Sire, ne donnez rien à mes debiles ans, Rome auiourd’hy m’a veu pere de quatre enfans, Trois en ce meſme iour ſont morts pour ſa que- ip relle, Il m’en reſte encor vn, conſeruez le pour elle, N’oſtez pas à ſes murs vn ſi puiſſant appuy, Et ſouffrez pour finir que ie m’adreſſe à luy.	Sire, ne donnez rien à mes débiles ans, Rome aujourd'hui m'a vu père de quatre enfants, Trois en ce même jour sont morts pour sa que- j' elle, Il m'en reste encor un, conservez le pour elle, N'ôtez pas à ses murs un si puissant appui, Et souffrez pour finir que mille m'adresse à lui.
Horace, ne croy pas que le peuple ſtupide, Soit le maiſtre abſolu d’vn renom bien ſolide, Sa voix tumultueuſe aſſez ſouuent fait bruit, Mais vn moment l’eſleue, vn moment le deſtruit, Et ce qu’il contribuë à noſtre renommée Touſiours en moins de rien ſe diſſipe en fumée.	Horace, ne crois pas que le peuple stupide, Soit le maître absolu d'un renom bien solide, Sa voix tumultueuse assez souvent fait bruit, Mais un moment l'esleue, un moment le détruit, Et ce qu'il contribue à notre renommée Toujours en moins de rien se dissipe en fumée.
C’eſt aux Rois, c’eſt aux grands, c’eſt aux eſprits bien faits Avoir la vertu pleine en ſes moindres effets, Ceſt d’eux ſeuls qu’on reçoit la veritable gloire, Eux ſeuls, des vrais Heros, aſſeurent la memoire, Vy touſiours en Horace, & touſiours aupres d’eux Ton nom demeurera grand, illuſtre, fameux, Bien que l’occaſion moins haute, on moins brillante, D’vn vulgaire ignorant trompe l’iniuſte attente.	C'est aux Rois, c'est aux grands, c'est aux esprits bien faits Avoir la vertu pleine en ses moindres effets, Cest d'eux seuls qu'on reçoit la véritable gloire, Eux seuls, des vrais Héros, assurent la mémoire, Vi toujours en Horace, et toujours auprès d'eux Ton nom demeurera grand, illustre, fameux, Bien que l'occasion moins haute, on moins brillante, D'un vulgaire ignorant trompe l'injuste attente.
Ne hay donc plus la vie, & du moins vy pour moy Et pour ſeruir encor ton pays, & ton Roy.	Ne hais donc plus la vie, et du moins vi pour moi Et pour servir encor ton pays, et ton Roi.
Sire, i’en ay tropdit, mais l’affaire vous touche, Et Rome toute entiele a parle pal llla bouthe.	Sire, j'en ai tropdit, mais l'affaire vous touche, Et Rome toute entiele à parle pal llla bouthe.
VALERE.	VALÈRE.
Sire, permertez moy.	Sire, permertez -moi.
TVLLE Valere c’eſt aſſez, Vos diſcours par les leurs ne ſont pas effacez, I’en garde en mon eſprit les forces plus preſſantes, Et toutes vos raiſons me ſont encor preſentes.	TULLE Valère c'est assez, Vos discours par les leurs ne sont pas effacés, J'en garde en mon esprit les forces plus pressantes, Et toutes vos raisons me sont encor présentes.
Cette enorme action faite preſque à nos yeux Outrage la nature, & bleſſe iuſqu’aux Dieux.	Cette énorme action faite presque à nos yeux Outrage la nature, et blesse jusqu'aux Dieux.
Vn premier mouuement qui produit vn tel crime Ne ſçauroit luy ſeruir d’excuſe legitime, Les moins ſeueres loix en ce point ſont d’accord, Et ſi nous les ſuiuons, il eſt digne de mort Si d’ailleurs nous voulons regarder le coupable, Ce crime quoy que grand, enorme, inexcuſable, Vient de la meſme eſpée, & part du meſme bras Qui me fait auiourd’huy, maiſtre de deux Eſtats.	Un premier mouvement qui produit un tel crime Ne aurait avoir servir d'excuse légitime, Les moins sévères lois en ce point sont d'accord, Et si nous les suivons, il est digne de mort Si d'ailleurs nous voulons regarder le coupable, Ce crime quoi que grand, énorme, inexcusable, Vient de la même épée, et part du même bras Qui me fait aujourd'hui, maître de deux États.
Deux ſceptres en ma main, Albe à Rome aſſeruie Parlent bien hautement en faueur de ſa vie, Sans luy i’obeyrois, où ie donne la loy,	Deux sceptres en ma main, Albe à Rome asservie Parlent bien hautement en faveur de sa vie, Sans luy j'obéirais, où personne donne la loi,
64 Et ie ſerois ſuiet ou ie ſuis deux fois Roy.	64 Et grands serais sujet ou tu suis deux fois Roy.
Aſſez de bons ſuiets dans toutes les prouinces Par des vœux impuiſſants s’acquitent vers leurs Princes.	Assez de bons sujets dans toutes les provinces Par des vœux impuissants s'acquitent vers leurs Princes.
Tous les peuuent aimer, mais tous ne peuuent pas Par d’illuſtres effets aſſeurer leurs Eſtats, Et l’art & le pouuoir d’affermir des Couronnes Sont des dons que le Cielfait à peu de perſonnes:	Tous les peuvent aimer, mais tous ne peuvent pas Par d'illustres effets assurer leurs États, Et l'art et le pouvoir d'affermir des Couronnes Sont des dons que le Cielfait à peu de personnes:
De pareils ſeruiteurs ſont les forces des Rois Et de pareils auſſi ſont au deſſus des loix.	De pareils serviteurs sont les forces des Rois Et de pareils aussi sont au dessus des lois.
Qu’elles ſe taiſent donc, que Rome diſſimule Ce que dés ſa naiſſance elle vit en Romule, Elle peut bien ſouffrir en ſon liberateur Ce qu’elle a bien ſouffert en ſon premier autheur.	Qu'elles se taisent donc, que Rome dissimule Ce que dès sa naissance elle vit en Romule, Elle peut bien souffrir en son libérateur Ce qu'elle a bien souffert en son premier auteur.
Vy donc Horace, vy, guerrier trop magnanime, Ta vertu met ta gloire au deſſus de ton crime, Sa chaleur genereuſe a produit ton forfait, D’vne cauſe ſi belle il faut ſouffrir l’effet.	Vis donc Horace, vis, guerrier trop magnanime, Ta vertu met ta gloire au dessus de ton crime, Sa chaleur généreuse à produit ton forfait, D'une cause si belle il faut souffrir l'effet.
