A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
ADAMANTE.	ADAMANTE.
De moy mes bons enfans, en ſeruant leurs Autels I'imploreray pour vous l’ayde de immortels.	De moi mes bons enfants, en servant leurs Autels J'implorerai pour vous l'aide de immortels.
FLORILAME.	FLORILAME.
Liſidor vous ſçauez comme l’ingratitude Donne al humanite de la ſollicitude;	Lisidor vous savez comme l'ingratitude Donne al humanité de la sollicitude;
c’eſt pourquoy ruynant ces damnables meſpris Ie veux que maintenant vous receuiez Doris, En qualité d’eſpouſe,	c'est pourquoi ruinant ces damnables mépris Je veux que maintenant vous receviez Doris, En qualité d'épouse,
DORIS.	DORIS.
ô ſentence agreable, Aduantageuſe en tout, pretieuſe, eſtimable, Où ie voy que mon bien viſiblement ſe ioint, De laquelle Seigneur ie n'appelleray point.	ô sentence agréable, Aduantageuse en tout, prétieuse, estimable, Où quelque voy que mon bien visiblement se joint, De laquelle Seigneur je n'appellerai point.
LISIDOR.	LISIDOR.
Grand Prince vos deſirs me tiennent lieu d’Oracles,	Grand Prince vos désirs me tiennent lieu d'Oracles,
ADAMANTE.	ADAMANTE.
Ie croy que c’eſt icy le ſejour des miracles Que ces tuenements venus en te pays Rendent mes ſentiments & mes yeux esbays,	Je crois que c'est ici le séjour des miracles Que ces tuenements venus en te pays Rendent mes sentiments et mes yeux ébays,
VRANIE.	VRANIE.
Begeres & Bergers arriuez en nos terres, Si toſt que nous ſerons à l’abry des tonnerres, Nous enuoy' rons des gens en cét heureux ſeiour, Afin de vous conduire aux pompes de la Cour, Ainſi qu’on peut penſer, l’offre n’eſt pas petite,	Bégères et Bergers arrivez en nos terres, Si tôt que nous serons à l'abri des tonnerres, Nous envoi rons des gens en cet heureux seiour, Afin de vous conduire aux pompes de la Cour, Ainsi qu'on peut penser, l'offre n'est pas petite,
LISIDOR.	LISIDOR.
Elle auantage trop noſtre peu de merite, Madame aſſeurez-vous que pour vous obeyr Moy meſme ie voudrois le premier me trahir:	Elle avantage trop grande peu de mérite, Madame assurés-vous que pour vous obéir Moi même toujours voudrais le premier me trahir:
Mais vous ne voudriez pas qu’vn nombre de delices Qui coulent dans les cours nous fuſſent des ſupplices, Où les plus grands Seigneurs d’vn cœur tout abbatu Eleuent la vengeance en tiltre de vertu, Où de meſme Tantale aux plaiſirs de la vie Les Princes dans leurs licts veillent auec l’enuie, Où d’vn œil infidelle, & d’vn geſte inconnu Ils habillent l’amour que nous auons tout nu:	Mais vous ne voudriez pas qu'une nombre dé lices Qui coulent dans les cours nous fussent des supplices, Où les plus grands Seigneurs d'un cœur tout abattu Élèvent la vengeance en titre de vertu, Où de même Tantale aux plaisirs de la vie Les Princes dans leurs lits veillent avec l'envie, Où d'un œil infidèle, et d'un geste inconnu Ils habillent l'amour que nous avons tout nu:
Regardant quelquefois d’vn bon œil par contrainte Leurs plus grands ennemis tant leur ame a de feintt, Où les cœurs ſont fardez ainſi que les beautez, Où les pauures Amans doncement enchantez Voyent le plus ſouuent tant on les prend pour dupes, Que l’infidelité ſe cache ſous des iupes, Où l’on voit chaque iour des ſubiets reuoltez Nourrir dedans leurs cœurs des infidelitez, Or nous vouloir fuyr ſelon nostre puiſſance, Ceux dont les doubles ſens font peur à l’innocence, Aymant mieux ſur les bords eueillez par les chants Des chantres du Printemps mener paiſtre en ces chãps Nos dociles troupeaux en ce ruſtique monde, Où la naïueté fait tous les iours la ronde.	Regardant quelquefois d'Han bon œil par contrainte Leurs plus grands ennemis tant leur âme a de feint, Où les cœurs sont fardez ainsi que les beautés, Où les pauvres Amants doncement enchantez Voient le plus souvent tant on les prend pour dupes, Que l'infidélité se cache sous des jupes, Où l'on voit chaque jour des sujets révoltés Nourrir dedans leurs cœurs des infidélité, Or nous vouloir fuir selon nôtre puissance, Ceux dont les doubles sens font peur innocence, Aymant mieux sur les bords éveillez par les chants Des chantres du Printemps mener paître en ces chãps Nos dociles troupeaux en ce rustique monde, la naïueté fait tous les iours la ronde.
ADAMANTE.	ADAMANTE.
Meßieurs le iour n’a plus de temps à ſommeiller, Les rais de la clarté ſ'encourent l’eueiller, Et le bruit excitant, la pareſſeuſe Aurore Luy fera renuerſer ſes diamants ſur Flore, De ſorte que dans peu vous verrez qu'a deſſein Les fleurs s’en pareront la coiffure & le ſein, De moy ie ſuis d’auis pendant qu’elle repoſe, el lom alleornir,	Messieurs le jour n'a plus de temps à sommeiller, Les rais de la clarté s'encourent l'éveiller, Et le bruit excitant, la paresseuse Aurore Lui fera renverser ses diamants sur Flore, De sorte que dans peu vous verrez qu'a dessein Les fleurs s'en pareront la coiffure et le sein, De moi -même suis d'avis pendant qu'elle repose, elle lom alleornir,
TERSANGE.	TERSANGE.
Nous en auons le ſoin, Faiſons ce qu’il propoſe,	Nous en avons le soin, Faisons ce qu'il propose,
ADAMANTE.	ADAMANTE.
ce me ſera de l’heur, De receuoir chez moy ce genereux Seigneur.	ce me sera de l'heur, De recevoir chez moi ce généreux Seigneur.
FLORILAME.	FLORILAME.
Mon pere en ce bien fait que vous faites parétre Vn iour nous aurons l’heur de vous en reconnétre.	Mon père en ce bien fait que vous faites paraître Un jour nous aurons l'heur de vous en reconnaître.
ADAMANTE.	ADAMANTE.
Sçachant comme le Ciel eſt de vous ſoucieux, Ie ſçay qu’en vous aydant i’obligeray les Dieux.	Sachant comme le Ciel est de vous soucieux, Je sais qu'en vous aidant j'obligerai les Dieux.
LVCIDAN.	LUCIDAN.
En ce Havre prochain les vaiſſeaux nous attendent, Les voiles parmy l’air glorieuſes s’eſtendent, Et les flots adoucis attendent ce matin Qu'Amour leur doit fier ſon plus riche butin.	En ce Havre prochain les vaisseaux nous attendent, Les voiles parmi l'air glorieuses s'étendent, Et les flots adoucis attendent ce matin Qu'Amour leur doit fier son plus riche butin.
FLORILAME, patlant à Vrauie.	FLORILAME, patlant à Vravie.
C’eſt à ce coup mon cœur que le Prince de l’onde Ventera iuſtement ſa gloire ſans ſeconde, Te voyant ſur ces bords là ſelon leurs deſirs, Les Amours deuiendront de folaſtres Zephirs, Les Alcions eſclos du nid de la bonace Voſlant deſſus le calme admireront ta grace, L’air ſe parfumera du muſque de ces fleurs, Sur l’onde le Soleil te peindra ſes couleurs, Et ne pouuant des Cieux te rendre ſon hommage, Il laiſſera ſur l’eau ſa glorieuſe image, Les flots pleins de reſpect& de contentement N’oſeront reſſentir leur aiſe ſeulement:	C'est à ce coup mon cœur que le Prince de l'onde Ventera justement sa gloire sans seconde, Te voyant sur ces bords là selon leurs désirs, Les Amours deviendront de folâtres Zéphyrs, Les Alcions éclos du nid de la bonace Vôlant dessus le calme admireront ta grâce, L'air se parfumera du musque de ces fleurs, Sur l'onde le Soleil te peindra ses couleurs, Et ne pouvant des Cieux te rendre son hommage, Il laissera sur l'eau sa glorieuse image, Les flots pleins de respectet de contentement Noseront rien re aise senti:
Tellement qu’expoſez à l’effort des orages Noſtre tranquilité ſe rira des naufrages, Pendant que les Dauphins qui te feront la Cour Bruſleront dans les eaux du feu de ton Amour.	Tellement qu'exposez à l'effort des orages Notre tranquillité se rira des naufrages, Pendant que les Dauphins qui te feront la Cour Brûleront dans les eaux du feu de ton Amour.
ACTE	ACTE
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE I.	SCÈNE I.
FLORILAME, VRANIE.	FLORILAME, VRANIE.
eſtant dans la Nauire.	étant dans la Navire.
FLORILAME.	FLORILAME.
Aintenant le Ciel nous careſſe, L’air eſt de muſc que nous ſoufflons, Et les ſouſpirs que nous meſlons Sont peus d’amour que de trifteſſe, La terre abandonnant ſes lieux, S'eſloigne à regret de nos yeux, Eu mner conmne ticronenje Pour nous retenir à ſa Cour, Sçait tres bien accorder, tant elle est glorieuſe, Ses eaux aux feux de noſtre amour.	Aintenant le Ciel nous caresse, L'air est de musc que nous soufflons, Et les soupirs que nous mêlons Sont pus d'amour que de tristesse, La terre abandonnant ses lieux, S'éloigne à regret de nos yeux, Eu mener conmne ticronenje Pour nous retenir à sa Cour, Sait très bien accorder, tant elle est glorieuse, Ses eaux aux feux de notre amour.
VRANIE.	VRANIE.
Dieux que cette onde eſt amoureuſe, Depuis qu'elle porte nos feux Il ſemble qu'elle fait des vœux, De n'eſtre iamais rigoureuſe;	Dieux que cette onde est amoureuse, Depuis qu'elle porte nos feux Il semble qu'elle fait des vœux, De n'être jamais rigoureuse;
Regardez comme le repos Coule lentement ſur ſon dos;	Regardez comme le repos Coule lentement sur son dos;
Ha!	Ha!
certes noſtre amour la teute, N’eſt-ce point que dans ce beau temps Elle veut deuenir conſtante, Nous voyant tous deux ſi conſtans.	certes notre amour la tute, N'est-ce point que dans ce beau temps Elle veut devenir constante, Nous voyant tous deux si constants.
FLORILAME.	FLORILAME.
Admirable & chaſte Vranie Les Amours ſont nos Matelots, Les graces ſe changent en flots Pour te donner leur compagnie, Voy comme autour de ce vaiſſeau Les belles Nimphes de cette eau Atrauers ces miroirs liquides Denontntuts pua ies veautez Et font gloire d’auoir dans leurs ſcins tous humidez Des chaleurs pour tes raretez.	Admirable et chaste Vranie Les Amours sont nos Matelots, Les grâces se changent en flots Pour te donner leur compagnie, Vois comme autour de ce vaisseau Les belles Nymphes de cette eau Atravers ces miroirs liquides Denontntuts pua ies veautez Etsignet gloire d'avoir dans leurs scins tous humidés Des chaleurs pour tes raretés.
VRANIE.	VRANIE.
Accorde moy pluſtoſt chere ame, Que dans vn glorieux deſſein Venus leur a peint dans le fein Le pourtrait du beau Florilame, Que ces Courtiſannes de Mer Se ſentant contraindre à t’aymer, Admirent deſſous ton ſeruage A trauers leur large criſtal, L’ornement de ton beau viſage, Dont l'eſclat leur ſera fatal.	Accorde moi plutôt chère âme, Que dans un glorieux dessein Venus leur a peint dans le sein Le pourtrait du beau Florilame, Que ces Courtisannes de Mer Se sentant contraindre à t'aimer, Admirent dessous ton servage A travers leur large cristal, L'ornement de ton beau visage, Dont l'éclat leur sera fatal.
FLORILAME.	FLORILAME.
Ie voy, ſi mon œil ne me trompe, Des Tritons qui tous enchainez Suiuent la neſ bien ordonnez, Comme l’appareil d'vne pompe, O Dieux!	Je vois, si mon œil ne me trompe, Des Tritons qui tous enchaînez Suivent la nés bien ordonnez, Comme l'appareil d'une pompe, Ô Dieux!
ce liquide element Pour nourrir mon Contentement, M'offre le Ciel enſon Empire:	ce liquide élément Pour nourrir mon Contentement, M'offre le Ciel enson Empire:
Mais croy, cher ſujet de ma foy, Que ton pourtraict y ſert pour qui mon cœur ſouſpire, Du plus bel Aſtre que i’y voy.	Mais crois, cher sujet de ma foi, Que ton pourtrait y sert pour qui mon cœur soupire, Du plus bel Astre que j'y vois.
YRANIE.	YRANIE.
Ohiet de mon amour extreme Voyant ma figure en cette eau, Garde d'y treuuer ton tombeau T voyant vn autre toy-eſme:	Ohiet de mon amour extrême Voyant ma figure en cette eau, Garde d'y trouver ton tombeau T voyant un autre toi-même:
Mais c’eſt trop arreſter tes yeux Sur vn element glorleux nuus quilente eulbreuenat puite;	Mais c'est trop arrêter tes yeux Sur un élément glorleux nuus quilente eulbreuenat puite;
Conſidere moy quelque peu, C’eſt trop conſuſter vne glace, Il faut te mirer dans mon feu.	Considère moi quelque peu, C'est trop consuster une glace, Il faut te mirer dans mon feu.
EVCIDAN.	EUCIDAN.
Courage, Monſeigneur, vn bon deſtin conſpire A vous rendre bien toſt au ſein de noſtre Empire, Le Ciel y contribuë, & d’vn nombre de vents Les Zephires tous ſeuls ſont ores nos ſuiuants.	Courage, Monseigneur, un bon destin conspire À vous rendre bien tôt au sein de notre Empire, Le Ciel y contribue, et d'un nombre de vents Les Zéphires tous seuls sont ores nos suivants.
VRANIE.	VRANIE.
Veillent les Dieux amis d’vne grace fatale, Nous faire bien toſt voir noſtre terre natale Où noſtre extreme amour dit ce contentement, De ſe voir r’appellé de ſon bannißement.	Veillent les Dieux amis d'une grâce fatale, Nous faire bien tôt voir notre terre natale Où notre extrême amour dit ce contentement, De se voir rappelé de son bannissement.
FLORILAME.	FLORILAME.
Cependant que pas vn du deuoir ne s’eſcarte, Et que touſiours quelqu'vn ait l'œil deſſus la carte.	Cependant que pas un du evoir ne s'écarte, Et que toujours quelqu'un ait l'œil dessus la carte.
SCENE II.	SCÈNE II.
LE ROY, LE CHANCELIER LE FAGE, MELANTE, LIGDAMON, CLARINDOR.	LE ROY, LE CHANCELIER LE SAGE, MELANTE, LIGDAMON, CLARINDOR.
LE ROY.	LE ROY.
main jOus Dieux qui m'auez mis le Sceptre dans la V Qui m'auez fait pareſtre icy bas plus qu'humain:	main jOus Dieux qui m'avez mis le Sceptre dans la V Qui m'avez fait paraître ici bas plus qu'humain:
Vous qui ſçauez le cours qu’auronit mes deſlinees, De qui la prouidance a borné mes annees, Helas!	Vous qui savez le cours qu'auronit mes délinées, De qui la providance a borné mes années, Hélas!
qu’auez vous fait de ces parfaits Amants, Que mes inimitiez ont remply de tourments, Qu'à tort i'ay trauerſé dans leur amour loüable, Dont l’innocence rend mon procedé coulpable:	qu'avez vous fait de ces parfaits Amants, Que mes inimitiés ont rempli de tourments, Qu'à tort j'ai traversé dans leur amour loulable, Dont l'innocence rend mon procédé coulpable:
Mais oſe-ie penſer que leur diuinité Se plaiſe d'eſcouter la meſme cruauté, 2 Se plaiſe d'eſcouter vnpere plus barbare, Qu'vn Gelon, qu’vn Buſire, & dont l’humeur auare A priué ſon enfant de la clarté du iour, Dont la haine a tué ce miracle d’amour.	Mais ôte-je penser que leur divinité Se plaise d'écouter la même cruauté, 2 Se plaise d'écouter vnpere plus barbare, Qu'un Gelon, qu'un Busire, et dont l'humeur avare A privé son enfant de la clarté du jour, Dont la haine a tué ce miracle d'amour.
Beaux Amants quand ie ſonge vne telle auanture, Qu’il faut qu’à des poiſſons vous ſeruiez de pâture, Ie peras tonte ravum e par mn iciejont Ie meurs lors que ie penſe à voſtre triſte mort.	Beaux Amants quand ie songe une telle aventure, Qu'il faut qu'à des poissons vous serviez de pâture, Je péras tonte ravum e par mn iejont Je meurs lors que sans pense à votre triste mort.
CLARINDOR.	CLARINDOR.
Sire on ne doit iamais s’arreſter à vn ſonge.	Sire on ne doit jamais s'arrêter à vn songe.
LE ROY.	LE ROY.
Iamais pour moy le mal ne parût vn menſonge Mes maux ſont trop certains,	Jamais pour moi le mal ne parut un mensonge Mes maux sont trop certains,
CLARINDOR.	CLARINDOR.
1A.	1A.
com Dans vn commun propos Le ſonge n'eſt ſinon que l’ame du repos, L’entretien des dormants, & l’effroy des courages, Qui ne peuuent ſouffrir les plus foibles outrages.	 Dans un commun propos Le songe n'est sinon que l'âme du repos, L'entretien des dormants, et l'effroi des courages, Qui ne peuvent souffrir les plus faibles outrages.
E RRens.	E RRends.
Au contraire pour mieux diſcourir tu dirois, Les Dieux parlent à nous, mais que voudroit ce Page	Au contraire pour mieux discourir tu dirais, Les Dieux parlent à nous, mais que voudrait ce Page
LE PAGE.	LE PAGE.
Sire le meſme dueil a dreſſé l’equipage De ce que le treſpas a de rare & de beau, Il ne vous reſte plus qu'à voir leur vain tombeau.	Sire le même dueil a dressé l'équipage De ce que le trépas a de rare et de beau, Il ne vous reste plus qu'à voir leur vain tombeau.
