A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
O nlia fliie, eit-ce la le prix de mies bien-faits?	Ô nlia fliie, eit-ce la le prix de mies bienfaits?
ÆMILIE.	NEMILIE.
Mon pere l’eut pareil de ceux qu’il vous a faits.	Mon père l'eut pareil de ceux qu'il vous a faits.
AVGVSTE.	AUGUSTE.
Songe auec quel amour i’éleuay ta ieuneſſe.	Songe avec quel amour j'élevai ta jeunesse.
ÆMILIE.	NEMILIE.
Il eſleua la voſtre auec meſme tendreſſe, Il fut voſtre tuteur & vous ſon aſſaſſin, Et vous m’auez au crime enſeigné le chemin.	Il éleva la vôtre avec même tendresse, Il fut votre tuteur et vous son assassin, Et vous m'avez au crime enseigné le chemin.
Le mien d’auec le voſtre en ce point ſeul differe Que voſtre ambition s’eſt immolé mon pere, Et qu’vn iuſte couroux dont ie me ſens brûler A ſon ſang innocent vouloit vous immoler.	Le mien d'avec le vôtre en ce point seul diffère Que votre ambition s'est immolé mon père, Et qu'H juste courroux dont nous me sens brûler À son sang innocent voulait vous immoler.
LIVIE.	LIVIE.
C’en eſt trop, Æmilie, arreſte, & conſidere Qu’il t’atrop bien payé les bien-faits de ton pere:	C'en est trop, Émilie, arrête, et considère Qu'il t'atrop bien payé les bienfaits de ton père:
Sa mort dont la memoire allume ta fureur Fut vn crime d’Octaue, & non de l’Empereur.	Sa mort dont la mémoire allume ta fureur Fut un crime d'Octave, et non de l'Empereur.
Tous ces crimes d’Eſtat qu’on fait pour la Couronne Le Ciel nous en abſout alors qu’il nous la donne, Et dans le ſacré rang où ſa faueur l’a mis Le paſſé deuient iuſte & l’auenir permis.	Tous ces crimes d'État qu'on fait pour la Couronne Le Ciel nous en absout alors qu'il nous la donne, Et dans le sacré rang où sa faveur l'a mis Le passé devient iuste et l'avenir permis.
Qui peut y paruenir ne peut eſtre coupable, Quoy qu’il ait fait, ou face, il eſt inuiolable, Nous luy deuons nos biens, nos iours ſont en ſa main, Et iamais on n’a droit ſur ceux du Souuerain.	Qui peut y parvenir ne peut être coupable, Quoi qu'il ait fait, ou face, il est inviolable, Nous nous devons nos biens, nos jours sont en sa main, Et jamais on n'a droit sur ceux du Souverain.
ÆMILIE.	NEMILIE.
Auſſi dans le diſcours que vous venez d’entendre Ie parlois pour l’aigrir & non pour me defendre.	Aussi dans le discours que vous venez d'entendre Je parlais pour l'aigrir et non pour me défendre.
Puniſſez-donc, Seigneur, ces criminels apas Qui de vos fauoris font d’illuſtres ingrats, Trãchez mes triſtes iours pour aſſeurer les voſtres, Si i’ay ſeduit Cinna, i’en ſeduiray bien d’autres, Et ie ſuis plus à craindre, & vous plus en danger Ayant auec vn pere vn amant à venger,	Punissez-donc, Seigneur, ces criminels apas Qui de vos favoris font d'illustres ingrats, Transchez mes tristes jours pour assurer les vôtres, Si j'ai séduit Cinna, j'en séduirai bien d'autres, Et ainsi suis plus à craindre, et vous plus en danger Ayant auecurs pere un amant à venger,
CINNA.	CINNA.
Que vous m’ayez ſeduit, & que ie ſouffre encore D’eſtre deshonoré par celle que i’adore!	Que vous m'ayez séduit, et que ici souffre encore D'être déshonoré par celle que j'adore!
Seigneur, la verité doit icy s’exprimer, I’auois fait ce deſſein auant que de l’aymer.	Seigneur, la vérité doit ici s'exprimer, J'avais fait ce dessein avant que de l'aimer.
Ie creus qu’à d’autres ſoins elle ſeroit ſenſible, Ie parlay de ſon pere & de voſtre rigueur, Et l’offre de mon bras ſuiuit celle du cœur.	Je crus qu'à d'autres soins elle serait sensible, Je parlai de son père et de votre rigueur, Et l'offre de mon bras suivit celle du cœur.
mes Que la vengeance eſt douce à l’eſprit d’vne femDans mon peu de merite elle me negligeoit, Et ne pût negliger le bras qui la vengeoit, Elle n’a conſpiré que par morrurtinée, I’en ſuis le ſeul autheur, elle n’eſt que complice.	mes Que la vengeance est douce à l'esprit d'une femDans mon peu de mérite elle me négligeait, Et ne put négliger le bras qui la vengeait, Elle n'a conspiré que par morrurtinée, J'en suis le seul auteur, elle n'est que complice.
ÆMILIE.	NEMILIE.
Cinha, qu’oſes-tu dire?	Cinha, qu'oses-tu dire?
eſt-ce là me cherir Que de m’oſter l’hõneur quand il me faut mourir?	est-ce là me chérir Que de m'ôter l'honneur quand il me faut mourir?
CINNA.	CINNA.
gloire.	gloire.
Mourez, mais en mourant ne loüillez point ma	Mourez, mais en mourant ne louillez point ma
ÆMILIE.	NEMILIE.
La mienne ſe flétrit ſi Céſar te veut croire.	La mienne se flétrit si César te veut croire.
CINNA.	CINNA.
Et la mienne ſe perd ſi vous tirez à vous Toute celle qui ſuit de ſi genereux coups.	Et la mienne se perd si vous tirez à vous Toute celle qui suit de si généreux coups.
ÆMILIE.	NEMILIE.
Et bien, prens-en ta part & me laiſſe la mienne, Ce ſeroit l’affoiblir que d’affoiblir la tienne, La gloire & le plaiſir, la honte & les tourmens, Tout doit eſtre commun entre de vrais amans.	Et bien, prends-en ta part et me laisse la mienne, Ce serait l'affaiblir que d'affaiblir la tienne, La gloire et le plaisir, la honte et les tourments, Tout doit chang commun entre de vrais amants.
Nos deux ames, Seigneur, ſont deux ames Romaines, Vniſſant nos deſirs nous vniſmes nos haines, De nos parens perdus le vif reſſentiment Nous aprit nos deuoirs en vn meſme moment, Ence nobie denlen nos cœuis ie recontrerent, Nos eſprits genereux enſemble le formerent, Enſemble nous cherchons l’honneur d’vn beau trépas, Vous vouliez nous vnir, ne nous ſeparez pas.	Nos deux âmes, Seigneur, sont deux âmes Romaines, Unissant nos désirs nous unîmes nos haines, De nos parens perdus le vif ressentiment Nous a nos devoirs en un même moment, Ence nobie denlen nos cœuis -je recontrèrent, Nos esprits généreux ensemble le formèrent, Ensemble nous cherchons l'honneur d'un beau trépas, Vous vouliez nous vnir, ne nous séparés pas.
AVGVSTE.	AUGUSTE.
Ouy, ie vous vniray, couple ingrat & perfide, Et plus mon ennemy qu’Antoine, ny Lepide, Ouy, Ouy, ie vous vniray puiſque vous le voulek, Il faut bien ſatisfaire aux feux dont vous brûlez, Et que tout l’Vniuers ſçachant ce qui m’anime S’eſtonne du ſupplice auſſi bien que du crime.	Oui, Seigneur vous unirai, couple ingrat et perfide, Et plus mon ennemi qu'Antoine, Seigneur Lépide, Oui, , je vous unirai puisque vous le voulek, Il faut bien satisfaire aux feux dont vous brûlés, Et que tout l'Univers Sachant ce qui m'anime S'étonne du supplice aussi bien que du crime.
AVGVSTE.	AUGUSTE.
maux 'ais en fin le Ciel m’ayme, & parmy tant de NI il m’a rendu Maxime, & l’a ſauué des eaux.	maux ' ais en fin le Ciel m'aime, et parmi tant de NI il m'a rendu Maxime, et l'a sauvé des eaux.
Approenie, ſeuruiy jue i’éprouue fidelle.	Approenie, seuruiy jue j'éprouve fidèle.
MAXIME.	MAXIME.
Honorez moins, Seigneur, vne ame criminelle.	Honorez moins, Seigneur, une âme criminelle.
AVGVSTE.	AUGUSTE.
Ne parlons plus de crime apres ton repemir, Apres que du peril tu m’as ſçeu garantir, C’eſt à toy que ie dois & le iour, & l’Empire.	Ne parlons plus de crime après ton répémir, Après que du péril tu m'as su garantir, C'est à toi que sans dois et le jour, et l’ Empire.
MAXIME.	MAXIME.
De tous vos ennemis cognoiſſez mieux le pire, Si vous regnez encor, Seigneur ſi vous viuez, C’eſt ma ialouſe rage à qui vous le deuez.	De tous vos ennemis connaissez mieux le pire, Si vous régnez encor, Seigneur si vous vivez, C'est ma jalouse rage à qui vous le devez.
Vn vertueux remords n’a point touché mon ame, Pour perdre mon riual i’ay découuert ſa trame, Euphorbe vous a feint que ie m’eſtois noyé De crainte qu’apres moy vous n’euſſiez enuoyé, Ie voulois auoir lieu d’abuſer Æmilie, Effrayer ſon eſprit, la tirer d’Italie, Et penſois la reſoudre à cet enleuement Sous l’eſpoir du retour pour venger ſon amant.	Un vertueux remords n'a point touché mon âme, Pour perdre mon rival j'ai découvert sa trame, Euphorbe vous a feint que je m'étais noyé De crainte qu'après moi vous n'eussiez envoyé, Je voulais avoir lieu d'abuser Émilie, Effrayer son esprit, la tirer d'Italie, Et pensais la résoudre à cet enlèvement Sous l'espoir du retour pour venger son amant.
Mais au lieu de gouſter ces groſſieres amorces Sa vertu combatuë a redoublé ſes forces, Elle a leu dans mon cœur, vous ſçauez le ſurplus, Et ie vous en ferois des recits ſuperflus, Vous voyez le ſuccez de mon lâche artifice:	Mais au lieu de goûter ces grossières amorces Sa vertu combattue a redoublé ses forces, Elle a leu dans mon cœur, vous savez le surplus, Et quelque vous en ferais des récits superflus, Vous voyez le succès de mon lâche artifice:
Si pourtant quelque grace eſt deuë à mon indice, A vos bontez, Seigneur, i’en demanderay deux, Le ſupplice d’Euphorbe & ma mort à leurs yeux.	Si pourtant quelque grâce est due à mon indice, À vos bontés, Seigneur, j'en demanderai deux, Le supplice d'Euphorbe et ma mort à leurs yeux.
I’ay trahy mon amy, ma maiſtreſſe, mon maiſtre, Ma gloire, mon pays par l’aduis de ce traiſtre, Et croiray toutefois mon bon-heur infiny Si ie puis m’en punir apres l’auoir puny.	J'ai trahi mon ami, ma maîtresse, mon maître, Ma gloire, mon pays par l'avis de ce traître, Et croirai toutefois mon bonheur infiny Si on puis m'en punir après l'auoir puni.
AVGVSTE.	AUGUSTE.
En eſt-ce aſſez, ô Ciel, & le ſort pour me nuire A t’il quelqu’vn des miens qu’il vueille encor ſeduire?	En est-ce assez, ô Ciel, et le sort pour me nuire A -t-il quelqu'un des miens qu'il veuille encor séduire?
Qu’il ioigne à ſes efforts le ſecours des Enfers, Ie ſuis maiſtre de moy comme de l’Vniuers:	Qu'il joigne à ses efforts le secours des Enfers, Je suis maître de moi comme de l'Univers:
Ie le ſuis, ie veux l’eſtre.	Je le suis, Seigneur veux l'être.
O ſiecles, ô Memoire, Conſeruez à iamais ma derniere victoire, Ie triomphe auiourd’huy du plus iuſte couroux De qui le ſouuenir puiſſe aller iuſqu’à vous.	Ô siècles, ô Mémoire, Conservez à jamais ma dernière victoire, Je triomphe aujourd'hui du plus juste courroux De qui le souvenir puisse aller jusqu'à vous.
Soyons amis, Cinna, c’eſt moy qui t’en conuie, Comme à mon ennemy ie t’ay donné la vie, Et malgré la fureur de ton lâche deſtin Ie te la donne encor comme à mon aſſaſſin:	Soyons amis, Cinna, c'est moi qui t'en convie, Comme à mon ennemi quelque t'ai donné la vie, Et malgré la fureur de ton lâche destin Je te la donne encor comme à mon assassin:
Commençons vn combat qui monſtre par l’iſſuë Qui l’aura mieux de nous ou donnée, ou receuë.	Commençons un combat qui montre par l'issue Qui l'aura mieux de nous ou donnée, ou reçue.
Tu trahis mes bien-faits, ie les veux redoubler, Ie t’en auois comblé, ie t’en veux accabler, Auec cette beauté que ie t’auois donnée Regoy le conttiat pour la proenailie amce.	Tu trahis mes bienfaits, on les veux redoubler, Je t'en avais comblé, quelque t'en veux accabler, Avec cette beauté que tu t'avais donnée Regoi le conttiat pour la proenailie amance.
Ayme Cinna, ma fille, en cet illuſtre rang, Preferes en la pourpre à celle de mon ſang, Aprens à mon exemple à vaincre ta colere, Te rendant vn êpoux ie te rends plus qu’vn pere.	Aime Cinna, ma fille, en cet illustre rang, Préfères en la pourpre à celle de mon sang, Apprends à mon exemple à vaincre ta colère, Te rendant un époux ie te rends plus qu'un père.
ÆMILIE.	NEMILIE.
Et ie me rends, Seigneur, à ces hautes bontez, Ie recouure la veuë auprés de leurs clartez.	Et petit me rends, Seigneur, à ces hautes bontés, Je recouvre la vue auprès de leurs clartés.
Ie cognoy mon forfait qui me ſembloit iuſtice, Et ce que n’auoit peu la terreur du ſupplice Ie ſens naiſtre en mon ame vn repentir puiſſant, Et mon cœur en ſecret me dit qu’il y conſent.	Je cognoy mon forfait qui me semblait justice, Et ce que n'avait peu la terreur du supplice Je sens naître en mon âme un repentir puissant, Et mon cœur en secret me dit qu'il y consent.
Le Ciel a reſolu voſtre grandeur ſupreme, (meſme, Et pour preuue, Seigneur, ie ne veux que moyI’oſe auec vanité me donner cet éclat, (l’Eſtat.	Le Ciel a résolu votre grandeur suprême, (même, Et pour preuve, Seigneur, sans ne veux que moiIe avec vanité me donner cet éclat, (l'État.
Puiſqu’il change mon cœur, qu’il veut changer Ma haine va mourir que i’ay creuë immortelle, Elle eſt morte, & ce cœur deuient ſuiet fidelle, Et prenant deſormais cette haine en horreur, L’ardeur de vous ſeruir ſuccede à ſa fureur.	Puisqu'il change mon cœur, qu'il veut changer Ma haine va mourir que j'ai cruë immortelle, Elle est morte, et ce cœur devient sujet fidèle, Et prenant désormais cette haine en horreur, L'ardeur de vous servir succède à sa fureur.
CINNA.	CINNA.
Seigneur, que vous diray-ie, apres que nos offences Alu leu de enareimieno erbucent des secompenſes?	Seigneur, que vous dirai-je, après que nos offenses Alu leu de enareimieno erbucent des secompenses?
O vertu ſans exemple!	Ô vertu sans exemple!
ô clemence, qui rend Voſtre pouuoir plus iuſte & mon crime plus grãd:	ô clémence, qui rend Votre pouvoir plus juste et mon crime plus grãd:
AVGVSTE.	AUGUSTE.
Ceſſe d’en retarder vn oubly magnanime, Et tous deux auec moy faites grace à Maxime, Il nous a trahis tous, mais ce qu’il a commis Vous conſerue innocens & me rend mes amis.	Cesse d'en retarder un oubli magnanime, Et tous deux avec moi faites grâce à Maxime, Il nous a trahis tous, mais ce qu'il a commis Vous conserve innocents et me rend mes amis.
Reprends auprés de moy ta place accouſtumée, Rentre daus ton creuit & dans ta renommée, Qu’Euphorbe de tous trois ait ſa grace à ſon tour, Et que demain l’Hymen couronne leur amour.	Reprends auprès de moi ta place accoutumée, Rentre daus ton crut et dans ta renommée, Qu'Euphorbe de tous trois ait sa grâce à son tour, Et que demain Hymen couronne leur amour.
Si tu l’aymes encor, ce ſera ton ſupplice.	Si tu l'aimes encor, ce sera ton supplice.
MAXIME.	MAXIME.
Ie n’en murmure point, il a trop de iuſtice, Et ie ſuis plus confus, Seigneur, de vos bontez, Que ie ne ſuis ialoux du bien que vous m’oſtez.	Je n'en murmure point, il a trop de justice, Et tu suis plus confus, Seigneur, de vos bontés, Que ie ne suis jaloux du bien que vous m'ôtés.
CINNA.	CINNA.
Souffrez que ma vertu dans mon cœur rappellée Vous conſacre vne foy lâchement violée, Mais ſi ferme à preſent, ſi loin de chanceler, Que la cheute du Ciel ne pourroit l’ébranſler.	Souffrez que ma vertu dans mon cœur rappelée Vous consacre une foi lâchement violée, Mais si ferme à présent, si loin de chanceler, Que la chute du Ciel ne pourrait l'ébranler.
Puiſſe le grand Moteur des belles deſtinées Pour Pour prolonger vos iours retrancher nos années, Et moy par vn bon-heur dont chacun ſoit ialoux Perdre pour vous cent-fois ce que ſe tiens de vous.	Puisse le grand Moteur des belles destinées Pour Pr prolonger vos jours retrancher nos années, Et moi par un bonheur dont chacun soit jaloux Perdre pour vous cent-fois ce que se tiens de vous.
LIVIE.	LIVIE.
Ce n’eſt pas tout, Seigneur, vne celeſte flamme D’vn rayon Prophetique illumine mon ame, Oyez ce que les Dieux vous font ſçauoir par moy, De voſtre heureux deſtin c’eſt l’immuable loy, Apres cette action vous n’auez rien à craindre, On portera le ioug deſormais ſans ſe plaindre, Et les plus indomptez renuerſant leurs proiets Mettront toute leur gloire à mourir vos ſuiets:	Ce n'est pas tout, Seigneur, une céleste flamme D'un rayon Prophétique illumine mon âme, Où ce que les Dieux vous font apprenant par moi, De votre heureux destin c'est l'immuable loi, Après cette action vous n'avez rien à craindre, On portera le joug désormais sans se plaindre, Et les plus indompté renversant leurs prois Mettront toute leur gloire à mourir vos sujets:
