A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
Voicy mes chers enfans, images du treſpas, Qui premier que porter le ſceptre & la couronne Voyent leurs bras tendrets qu’vne corde enuironne, Et n’attendent ſinon qu’vn bourreau carnacier Leur trempe dans le ſein vne poincte d’acier, Or allez vous fier aux inſtables richeſſes Pour elles renuerſez les flots des ondes perſes, Faictes trembler la terre au bruict de voz cheuaux, Espuiſez tariſſez les marinieres eaux, Et que de vos Soudarts les craquetantes armes Facent dreſſer le poil aux plus braues gendarmes, Qu'on n’entende ſinon le ſon de voſtre los Que l’aiguillon d’honneur vous oſte le repos Vous verrez toſt, qu’au lieu d’vn ſuperbe trophét Fortune vous fera luy ſeruir de riſée.	Voici mes chers enfants, images du trépas, Qui premier que porter le sceptre et la couronne Voient leurs bras tendrets qu'une corde environne, Et n'attendent sinon qu'un bourreau carnacier Leur trempe dans le sein une pointe d'acier, Or allez vous fier aux instables richesses Pour elles renversez les flots des ondes perses, Faictes trembler la terre au bruit de vœux cheuaux, Espuisez tarissez les marinières eaux, Et que de vos Sourdarts les crois armes Facent tresser le poil aux plus a gendarmes, Auon entende sinon leus de vôtre Que a honneur vous ôte le repos Vous verrez tôt, a lieu n superbe te Fortune vous fera lui servir de risée.
SGRSTANTINE.	SGRSTANTINE.
He!	He!
nous le voyons bien, mon cher espous helas?	nous le voyons bien, mon cher épous hélas?
Nous ſentons bien le fiel de ſes trompeurs appas, Hé!	Nous sentons bien le fiel de ses trompeurs appas, Hé!
bon Dieu quel malheur, helas!	bon Dieu quel malheur, hélas!
qu’elle miſere De veoir ces tendres fils tout ainſi que leus Pere	qu'elle misère De voir ces tendres fils tout ainsi que lus Père
Endurer les tourmens d'vne captiuité Garottés pieds & mains ſans l’auoir merité, O faict trop inhumain las!	Endurer les tourments d'une captivité Garottés pieds et mains sans l'avoir mérité, Ô faict trop inhumain las!
de douleur i’en paſme Encore qu’à preſent Machabeenne Dame!	de douleur j'en pâme Encore qu'à présent Machabeine Dame!
l’ameine auec tes pleurs les regrets que tu fis Quant deuant le Tyran tu regardas tes fils D'vn magnanime cœur, pleins d’vn maſle courage Deteſter ſes tourmens ſes menaces ſa rage Ce malheur n’eſtoit pas à mon malheur eſçal Ie ſens bien ie ſens bien helas!	l'amène avec tes pleurs les regrets que tu fis Quant devant le Tyran tu regardas tes fils D'un magnanime cœur, pleins d'un mâle courage Detester ses tourments ses menaces sa rage Ce malheur n'était pas à mon malheur esçal Je sens bien té mens bien hélas!
vn plus grand mal Le feu de vostre loy qui bruſloit voz entrailles Eſtoit beaucoup plus fort que les rouges tenailles De ce Prince impiteux, & la ſaincte ferueur Qui vous tomboit d’en haut, vous animoit le cœur Dieu ſeul, D ieu ſeul eſtoit le ſubiect de vos peines, Et l’huile qui couloit chaudement ſur voz veines Vous ſembloit des liqueurs que le Ciel enuoyoit, Et pour tant de tourmens Dieu vous remercioit Voſtre cauſe eſtoit iuſte, & la noſtre ô miſere Noirciſt le front du Ciel d’vne iuſte cholere Si eſt-ce toutefois, ô Pere des humains Si eſt-ce toutefois que les foiblettes mains De ces ieunes enfans n’ont emply ſanguinaires Comme leur Pere helas!	un plus grand mal Le feu de votre loi qui brûlait vœux entrailles Était beaucoup plus fort que les rouges tenailles De ce Prince impiteux, et la sainte ferveur Qui vous tombait d'en haut, vous animait le cœur Dieu seul, D eu seul était le sujet de vos peines, Et l'huile qui coulait chaudement sur voz veines Vous semblait des liqueurs que le Ciel envoyait, Et pour tant de tourments Dieu vous remerciaît Re cause était juste, et la nôtre ô te Noircist le front du Ciel d'une juste chole Si est-ce toutefois, q Ue les hum Si estre des que les foiblettes mains Si ces ieunes-ce tout empli les Fo leur Pere hélas!
les places mortuaires Pardonnez leurs Seigneur, Seigneur helas!	les places mortuaires Pardonnés leurs Seigneur, Seigneur hélas!
Seigneur, Ne deployés ſur eux voſtre bras de rigueur Ainſi puißions nous de meſme que voz Anges Chanter deuotieux voz hymnes de loüanges, Et iamais le peché auec tout ſon effort Ne nous puiſſe enlacer aux filets de la mort.	Seigneur, Ne déployez sur eux votre bras de rigueur Ainsi passions nous de même que voces Anges Chanter dévotieux vocés hymnes de langes, Et jamais le péché avec tout son effort Ne nous puisse enlacer aux filets de la mort.
Fa	Fa
MAVRICE.	MAURICE.
Ah!	Ah!
voiey le Tyran ie vois deſſus ſa face L’ire, & la cruauté qui detienne la place, O Dieu puis qu’il vous plaiſt iuſtement irrité De me faire ſentir voſtre ſeuerité, Permettez Roy du Ciel, que ſeul ie ſois victime Puis que ie ſuis außi ſeul coupable du crime Non ce troupeau foiblet qui n’a moüillé ſes mains Comme moy Roy chetif dans le ſang des humains.	voiei le Tyran rien vois dessus sa face L'ire, et la cruauté qui détienne la place, Ô Dieu puis qu'il vous plaît justement irrité De me faire sentir té mérité, Permettez Roi du Ciel, que seul ie sois victime Puis que je suis aussi seul coupable du crime Non ce troupeau faible qui n'a moüillé ses mains Comme moi Roy chétif dans le sang des humains.
Sus chere espouſe ſus, ſus race de Tybere, Oubliez deſormais l’honneur de voſtre Pere Iettez vous ſur la terre, & les genoux pliez Pleurante à ioincte mains le Tyran ſuppliez.	Sus chère épouse sus, sus race de Tibère, Oubliez désormais l'honneur de votre Père Jettez vous sur la terre, et les genoux pliez Pleurante à juste mains le Tyran suppliez.
Qu’il pardonne à vos fils, & que ſa rouge espée Ne ſoit en tant de corps mortellement trempée.	Qu'il pardonne à vos fils, et que sa rouge épée Ne soit en tant de corps mortellement trempée.
Il pourra mieux en moy aſſouuir ſa rancœur Tantoſt en m’arrachant les entrailles du cœur, Ou faiſant dans mon ſein d’vn poignard ouuerture Ou faiſant me ſeruir aux flammes de paſture, Ou bien en dechirant à gros ongles de fer Les membres plus doüillets de ma ſanglante chair,	Il pourra mieux en moi assouvir sa rancœur Tantôt en m'arrachant les entrailles du cœur, Ou faisant dans mon sein d'un poignard ouverture Ou faisant me servir aux flammes de pâture, Ou bien en déchirant à gros ongles de fer Les membres plus doüillets de ma sanglante chair,
CONSTANTINE.	CONSTANTINE.
O deſtin rigoureux, faut il qu’vne Emperiere Aux pieds de ſon vaſſal attache ſa priere?	Ô destin rigoureux, faut -il qu'une Emperière Aux pieds de son vassal attache sa prière?
Faut il, faut il helas!	Faut -il, faut -il hélas!
qu’en courbant le genoux Du ruiſſeau de mes pleurs i’esteigne ſon courroux Faut il helas!	qu'en courbant le genoux Du ruisseau de mes pleurs j'éteigne son courroux Faut il hélas!
faut il, que ma dextre Royalle, Qui pour auoir eſté à ſon espous loyalle N’a iamais attouché autre pied, autre main Se ſoüile en embraſſant ce barbare inhumain?	faut -il, que ma dextre Royalle, Qui pour avoir été à son épous loyalle N'a jamais attouché autre pied, autre main Se soüile en embrassant ce barbare inhumain?
MAVRICE.	MAURICE.
Courage mon espouſe, hé!	Courage mon épouse, hé!
ce ce n'eſt point de honte D’abaiſſer le ſourcil quant fortune nous domte, Ne conſiderez pas voſtre antique grandeur, Vous n'estes plus helas!	ce ce n'est point de honte D'abaisser le sourcil quant fortune nous dompte, Ne considérez pas votre antique grandeur, Vous n'êtes plus hélas!
femme d’vn Empereur Ains d’vn pauure captif, qui ne porte autre choſe Que l’image de mort dans ſa poictrine encloſe.	femme d'un Empereur Ains d'un pauvre captif, qui ne porte autre chose Que l'image de mort dans sa poitrine enclose.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
PHOCAS.	PHOCAS.
MAVRICE.	MAURICE.
CONSTANTINE.	CONSTANTINE.
LES ENFANS.	LES ENFANS.
PHOCAS.	PHOCAS.
SSt ce vous Deitez de l’infernal manoir, Qea Qui me bruſlez le cœur, & qui me faictes voir Parmy les feux obſcurs de voz noires furies De mon bien, de mon heur, les cruelles harpies, Se ſont elles vrayement, ab!	SUt ce vous Deitez de l'infernal manoir, Qea Qui me brûlez le cœur, et qui me faites voir Parmi les feux obscurs de voc noires furies De mon bien, de mon heur, les cruelles harpies, Se sont elles vraiment, ab!
ie les apperçois, Voicy mon ennemy, le voicy ie le vois O la plus deſloyale, & la plus meſchante ame, Qui iamais œillada la Titanine flame, Apres que les Soudars pour leur fidelité Ont en guerdon reçeu ton inhumanité, Et que i'ay preſerue le reſte du naufrage Tu braſſe conïre moy vne ſecrette rage, Et va de Coſroés les forces rechercher, Penſant que ce Perſan me pourroit empeſches De iouyr des honneurs que ma vertu me donne, Et qu’ainſi tu pourrois recouurer ta couronne, Afin qu’encor vn coup, tout le peuple RomainReſente les efforts de ton auare main, Dis moy, traiſtre dis moy, ta poictrine bourelle, Qui a humé le ſang de ta trouppe fidelle, N'eſt elle ſoule encor?	On les aperçois, Voici mon ennemi, le voic ie le vois OÙ la plus déloyale, et la plus méchante âme, Qui jamais œillada la Titanine flamme, Après que les Soudars pour leur fidélité Ont en guerdon reçu ton inhumanité, Et que j'ai preserve le reste du naufrage Tu brasse conjère moi une secrète rage, Et va de Cosroeurs les forces rechercher, Pensant que ce Persan me pourrait empêches De jouir des honneurs que ma vertu me donne, Et qu'ainsi tu pourrais recouvrer ta couronne, Afin qu'encor coup, toutane peuple Romainesente les efforts de ton a main, Dis moi, traître dis moi, ta poictrine bourelle, Qui a humé le sang de ta trouppe fidelle, N'est elle soule encor?
voudrois tu de nouueau Enyurer ta furie en vn rouge ruiſſeau?	voudrais -tu de nouveau Enivrer ta furie en un rouge ruisseau?
Impoſteur, deſloyal, inhumain, ſanguinaire, Eſt ce ainſi que tu ſuys le chemin de Tybere Qui poußé de deſir, ſans l’auoir merité T’auoit faict le Seigneur de la ronde cité.	Imposteur, déloyal, inhumain, sanguinaire, Est ce ainsi que tu suivis le chemin de Tybere Qui pouvé de désir, sans l'avoir mérité T'avait fait le Seigneur de la ronde cité.
Il aymoit la vertu, tu n’ayme que le vice, Il eſtoit liberal, tu és plein d’auarice, Il abhorroit le ſang, & tu és ce vautour Hoſte continuel d’vn montagneux ſeiour, A qui iamais la faim n’y la ſoif n’eſt oſtée, Eut il cent fois le iour remangé Promerhée.	Il aimait la vertu, tu n'aime que le vice, Il était libéral, tu ès plein d'avarice, Il abhorrait le sang, et tu ès ce vautour Hôte continuel d'un montagneux seiour, À qui jamais la faim n'y la soif n'est ôtée, Eut il cent fois le jour remangé Promerhée.
MAVRICE.	MAURICE.
Ie le ſçay bien Phocas, & le remord caché Dedans mon eſtomac, me monſtre mon peché, Ie cognois, mais trop tard, ie cognois mon oſſence, Et d’heure en heure außi, i’en attens la vengeance Le iuge ſouuerain du lambris azuré, A du plus haut du Ciel de ſes yeux meſuré Mon coupable forfaict, ma cruelle auarice, Et ta donné pouuoir d’en faire la iuſtice, » Dieu qui d’vn œil bening, regarde les pecheurs » Qui moüillent repentis, leurs viſages de pleurs, » Afin que ſans debats, ſa iuſtice concorde » Auec les doux effects de ſa miſericorde, » Iuſtement faict punir les crimes icy bas, » Puis vſe de clemence apres noſtre trespas.	Je le sais bien Phocas, et le remord caché Dedans mon estomac, me montre mon péché, Je connais, mais trop tard, je connais mon ossence, Et d'heure en heure aussi, j'en attends la vengeance Le iuge souverain du lambris azuré, A du plus haut du Ciel de ses yeux mesuré Mon coupable forfait, ma cruelle avarice, Et ta donné pouvoir d'en faire la justice, " Dieu qui d'un œux bening, regarde les pu » Qui moüillent repentis, leurs ade urs, » " que sans débats, m iustice concorde » Re les doux effects de sa miséricorde, » Le faict ur les vis a, » Puis de clémence urs nôtre trépas,
» Et pour le tort qu’eſt faict à ſa Maieſté haute » Il permet aux Tyrans de punlr noſtre faute.	" Et pour le tort qu'est fait à sa Majesté haute " Il permet aux Tyrans de punr notre faute.
PHOCAS.	PHOCAS.
Ie puniré außi les meſchans comme toy,	Je puniré aussi les méchants comme toi,
MAVRICE.	MAURICE.
Sans luy tu n’aurois pas la puiſſance ſur moy.	Sans lui tu n'aurais pas la puissance sur moi.
PHOCAS.	PHOCAS.
» Dieu n’empeſche iamais quand on puniſt le crime,	" Dieu n'empêche jamais quand on punît le crime,
MAVRICE.	MAURICE.
» On ne puniſt fouſiours quant punir on estime », Soubs ombre de punir l’ire & la cruauté, " Taene vtent queiquejon ta otanthe Royauté.	" On ne punît fousiours quant punir on estime ", Sous ombre de punir l'ire et la cruauté, " Taène utent queiquejon ta otanthe Royauté.
PHOCAS.	PHOCAS.
La cruauté vers toy, ne peut eſtre cruelle,	La cruauté vers toi, ne peut être cruelle,
MAVRICE.	MAURICE.
On exerce bien mieux la ruſtice ſans elle	On exerce bien mieux la rustice sans elle
PHOCAS.	PHOCAS.
Tu as esté cruel, außi la cruauté Doit eſtre le guerdon de ta deſloyauté.	Tu as été cruel, aussi la cruauté Doit être le guerdon de ta déloyauté.
MAVRICE.	MAURICE.
Apporte au grand forfaict, vne clemence grande	Apporte au grand forfait, une clémence grande
PHOCAS.	PHOCAS.
Le trespas des meſchans eſt aux Dieu vne offrande.	Le trépas des méchants est aux Dieu une offrande.
MAVRICE.	MAURICE.
L'aruonne pour le moins a ma femme, & mes fils	L'arvonne pour le moins à ma femme, et mes fils
PHOCAS.	PHOCAS.
Ie deſire qu'ils ſoient le premier deconfis.	Je désire qu'ils soient le premier déconfis.
MAVRICE.	MAURICE.
,, Le crime ſe punit, & non pas l'innocence,	, Le crime se punit, et non pas l'innocence,
AICEiD.	ÀICÉiD.
Ils ſont eſtans les fils coupables de l’offence.	Ils sont étants les fils coupables de l'offense.
CONSTANTINE.	CONSTANTINE.
Ah!	Ah!
Phocas ah!	Phocas ah!
pour Dieu que le fatal deſtin Qui met entre les mains le Royaume LatinNe groſiſſe ton cœur, & n’enfle ton courage, A deployer ſur nous vne brutale rage, ,, Pardonner aux vaineus eſt l’honneur du vaincœur » Et la douce bonté vaut mieux que la fureur, Sois ſemblable au Lyon qui d’vne ame benigneQuoy que le feu touſiours enflamme ſa poitrine.	pour Dieu que le fatal destin Qui met entre les mains le Royaume LatinNe grosisse ton cœur, et n'enfle ton courage, A déployer sur nous une brutale rage, ,, Pardonner aux vaineus est l'honneur du vaincœur " Et la douce bonté vaut mieux que la fureur, Sois semblable au Lyon qui d'une âme bénigneQuoi que le feu toujours enflamme sa poitrine.
S’il voit ſon ennemy ietté deuant ſon pié Il renferme ſon ire, & vſe de pitié, Si que le ſang n’eſt pas le ſubiect de ſa gloire, Ains d’auoir ſeulement obtenu la victoire.	S'il voit son ennemi jeté devant son pie Il renferme son ire, et use de pitié, Si que le sang n'est pas le sujet de sa gloire, Ains d'avoir seulement obtenu la victoire.
PHOCAS.	PHOCAS.
Ie veus en intitant les guerrieres vertus Du Lyon, ſoubs mes pieds vous tenir abbatus Espuiſant voſtre ſang, pour apres le respandre Aux tombeaux des meurtris, et humcerer la cendre, Qui encor maintenant ſoubs les terreſtres lieux Se plainct que tu iouys de la lampe des Cieux, Implorant du Seigneur la vengeante iustice Rour te faire donner ton merité ſupplicea.	Je veux en intitant les guerres vertus Du Lyon, sous mes pieds vous tenir abattus Espuisant votre sang, pour après le répandre Aux tombeaux des meurtris, et humcerer la cendre, Qui encor maintenant soubs les terrestres lieux Se plainct que tu jouis de la lampe des Cieux, Implorant du Seigneur la vengeante justice Rour te faire donner ton mérité supplice.
