A PARIS, .	À PARIS, .
Toutesfois, compagnons, il m'importe à ce ſoir D'expoſer au trépas celuy qui l’a fait choir, Il merite la mort, ſa teſte eſt condamnée Par vne iuſte loy publiquement donnée:	Toutefois, compagnons, il m'importe à ce soir D'exposer au trépas celui qui l'a fait choir, Il mérite la mort, sa tête est condamnée Par une juste lois publiquement donnée:
Le meſpris inſolent de cet audacieux S’adreſſe au plus grand Roy qui ſoit deſſous les	Le mépris insolent de cet audacieux S'adresse au plus grand Roi qui soit dessous les
IRO IEETO Il borne ſes Eſtats du Danube & du Gange, Et deſſous ſa vertu la fortune ſe range:	JRO IEETO Il borne ses États du Danube et du Gange, Et dessous sa vertu la fortune se range:
Rien ne peut reſiſter à ſes braues guerriers, Pour luy toute la terre a trop peu de lauriers, Et ſon Croiſſant porté ſur les flots de Neptune Y preſide außi bien que celuy de la Lune:	Rien ne peut résister à ses braves guerriers, Pour lui toute la terre a trop peu de lauriers, Et son Croissant porté sur les flots de Neptune Y preside aussi bien que celui de la Lune:
Außi l’iniure eſt grande eſtant faite à ce Roy, Qui remplit l’vniuers de reſpect & d’effroy.	Aussi l'injure est grande étant faite à ce Roi, Qui remplit l'Univers de respect et d'effroi.
Cherchons le criminel, ma rigueur legitime Veut eſgaler ſa peine à l’horreur de ſon crime;	Cherchons le criminel, ma rigueur légitime Veut égaler sa peine à l'horreur de son crime;
Quelque aſile qu’on donne à ſa temerité, Il ne peut euiter ce qu’il a merité:	Quelque asile qu'on donne à sa témérité, Il ne peut éviter ce qu'il a mérité:
Qu’il cherche ſon ſalut ſur la terre et ſur l’onde, Il faut pour ſe ſauuer qu’il treuue vn autre monde:	Qu'il cherche son salut sur la terre et sur l'onde, Il faut pour se sauver qu'il trouve un autre monde:
Par tout noſtre pouuoir eſt craint oureueré, Et le Ciel le rendroit s’il l’auoit retiré.	Par tout notre pouvoir est craint oureueré, Et le Ciel le rendrait s'il l'avait retiré.
Qu’attendez-vous ſoldats?	Qu'attendez-vous soldats?
allez, il eſt facile De treuuer vn coupable enfermé dans cette Iſle.	allez, il est facile De trouver un coupable enfermé dans cette Isle.
ACTE SCENE V.	ACTE SCÈNE V.
VI.	VI.
NISE.	NISE.
MELISSE.	MÉLISSE.
CLORIS.	CLORIS.
NARETE.	NARETE.
ORONTE.	ORONTE.
TERINDE,	TERINDE,
NISE.	NISE.
Rreſtez, le voicy, ie ſuis le criminel, IAPortez contre ma vie vn arreſt ſolemnel;	Rrestez, le voici, je suis le criminel, IAPortez contre ma vie un arrêt solennel;
Ce cercle m'appartient, voicy la main coupable Qui foulant tout reſpect l'a ietté ſur le ſable, Puniſſez vn meſchant qui vous a fait ce tors.	Ce cercle m'appartient, voici la main coupable Qui foulant tout respect l'a jeté sur le sable, Punissez un méchant qui vous a fait ce tors.
MELISSE.	MÉLISSE.
O ragel ô deſeſpoir!	Ô ragel ô désespoir!
Cloris fuyons la mort.	Cloris fuyons la mort.
CLORIS.	CLORIS.
Fay ce que tu voudras, pour moy ie ne deſire Que de larencontrer pour finir mon martyre.	Fais ce que tu voudras, pour moi -même ne désire Que de larencontrer pour finir mon martyre.
Seigneur, n'eſcoute point vn Berger infensé, Irritant contre luy ton pouuoir offensé;	Seigneur, n'écoute point un Berger insensé, Irritant contre notre ton pouvoir offensé;
Il cherche le treſpas, & ſon iniuſte enuie Te veut rendre coupable en la fin de ſa vie:	Il cherche le trépas, et son injuste envie Te veut rendre coupable en la fin de sa vie:
1.	1.
Empeſche ſon deſſein, & ſauue vn innocent Qui ſe veut deliurer des ennuis qu’il reſſent;	Empêche son dessein, et sauve un innocent Qui se veut délivrer des ennuis qu'il ressent;
Ie ſuis la criminelle, helas!	Je suis la criminelle, hélas!
ie le confeſſe, Voicy le bras auteur du meſpris qui vous bleſſe, Ce cercle m’appartient, ie l’ay touſiours porté Depuis que i’ay receu la celeſteclarté,	Hé le confesse, Voici le bras auteur du mépris qui vous blesse, Ce cercle m'appartient, une l'ai toujours porté Depuis que j'ai reçu la celesteclarté,
MELISSE.	MÉLISSE.
O Dieux!	Ô Dieux!
quelle fureur a ſon ame bleßée.	quelle fureur a son âme blessée.
CLORIS.	CLORIS.
Voyez encor l’endroit où ſa marque eſt tracée, Iteſt iteſp amoy, it jun digne demoir, Et ne deſire point de prolonger mon ſort.	Voyez encor l'endroit où sa marque est tracée, Itest itesp amoi, it jun digne demoir, Et ne désire point de prolonger mon sort.
NISE.	NISE.
Ceſſe de t’affliger, doux objet de mon ame, Et de me teſmoigner le deſir qui t’enflame, Laiſſe mourir en paix vn Berger malheureux Qui demande la fin de ſes maux rigoureux, Quitte, chere Beauté, le deſſein de me ſuiure, Et ſi ie doy mourir ne ceſſe point de viure.	Cesse de t'affliger, doux objet de mon âme, Et de me témoigner le désir qui t'enflamme, Laisse mourir en paix un Berger malheureux Qui demande la fin de ses maux rigoureux, Quitte, chère Beauté, le dessein de me suivre, Et si apprendre dois mourir ne cesse point de vivre.
Seigneur, n’eſcoute point les diſcours qu’elle fait, Qui d’vn arreſt ſi iuſte ont arreſté l’effait;	Seigneur, n'écoute point les discours qu'elle fait, Qui d'un arrêt si juste ont arrêté l'effait;
Et bien que ſa fureur inceſſamment t'irrite, Garde de luy donner la mort que ie merite;	Et bien que sa fureur incessamment t'irrite, Garde de lui donner la mort que pr merite;
Tu dois punir mon crime, & loüer ſon amoinr, Qui luy fait meſpriſer la lumiere du iour;	Tu dois punir mon crime, et louer son amoinr, Qui avait fait mépriser la lumière du jour;
En vaince beau ſoleil s’arreſte à ma defence, Et participe au cercle, & non pas à l’offence;	En vaince beau soleil s'arrête à ma défense, Et participe au cercle, et non pas à l'offense;
C eſt moy qui layietté ſur le bord du ruiſſeau.	Ç est moi qui layietté sur le bord du ruisseau.
PERINDE.	PERINDE.
Seigneur, ie l’ay ſans doute amaßé prés de l’eau.	Seigneur, notre l'ai sans doute amassé près de l'eau.
NISE.	NISE.
Doannen ſaejmouixumvonnein poumeſſe, Vous n'aurez point ſuſpect cet enfant ſans mali	Donen saejmouixumvonnein poumesse, Vous n'aurez point suspect cet enfant sans mali
CLORIS.	CLORIS.
Ice.	Ice.
Hal Berger inſenſible, eſprit plein de rigueur, Tu veux donc que ie viue, & tu m'oſtes le cœur.	Hal Berger insensible, esprit plein de rigueur, Tu veux donc que je vive, et tu m'ôtes le cœur.
NISE.	NISE.
10 9juen dauuqumubejuainmne, Et le Ciel eſt content d’vne ſeule victime, C’eſt moy qui doy mourir.	10 9juen dauquemubejuainmne, Et le Ciel est content d'une seule victime, C'est moi qui dois mourir.
ORONTE.	ORONTE.
Perinde, à mon auis Ie voy ces deux enfans qui nous furent rauis, Et ce petit Amour qui prit naiſſance en Trace, A qui l’aage & la gloire ontdonné cette audace.	Perinde, à mon avis Je vois ces deux enfants qui nous furent ravis, Et ce petit Amour qui prit naissance en Trace, À qui l'apage et la gloire ontdonné cette audace.
Il eſt vray, celes ſont, vn deſſein genereux Oousulte aimmorrees eſpins amonren.	Il est vrai, celes sont, un dessein généreux Ooutulte aimmorrees espins amon.
ORONTE a CLORIS.	ORONTE a CLORIS.
Vien ca, dy moy ton nom, parle ſans artifice.	Viens ca, dis -moi ton nom, parle sans artifice.
MELISSE.	MÉLISSE.
C’eſt ma fille Cloris, ie m’appelle Meliſſe, Smirne eſt noſtre pays.	C'est ma fille Cloris, Seigneur m'appelle Mélisse, Smirne est notre pays.
CLORIS.	CLORIS.
Non non, il n’eſt plus temps De feindre & d’euiter le treſpas que i’attens, Ie m'appellois Cloris quãd i’auois quelque enuie De iouyr en repos des douceurs de la vie, Maintenant ie ne puis rechercher ce plaiſir, Puiſque i'en ay perdu l’eſpoir & le deſir;	Non non, il n'est plus temps De feindre et d'éviter le trépas que j'attends, Je m'appelais Cloris quand j'avais quelque envie De jouir en repos des douceurs de la vie, Maintenant ie ne puis rechercher ce plaisir, Puisque j'en ai perdu l'espoir et le désir;
BSTIEESSDEIEJEI Le cours infortuné de ma premiere enfance, Cela te ſuffit-il?	BSTIEESSDEIEJEI Le cours infortuné de ma première enfance, Cela te suffit-il?
ORONTE.	ORONTE.
Et quoy vieil impoſteur, O ſe-tu deuant moy paraiſtre ainſi menteur?	Et quoi vieil imposteur, Ô se-tu devant moi paraître ainsi menteur?
MELISSE.	MÉLISSE.
Pardonne moy Seigneur, Arban me l’a donnée,	Pardonne moi Seigneur, Arban me l'a donnée,
Et i’ay touſiours depuis caché ſa deſtinée.	Et j'ai toujours depuis caché sa destinée,
ORONTE.	ORONTE.
Ne m’embaraſſe point, & me dy clairement Ceque iupenx ſsanoirut terenenement.	Ne m'embarrasse point, et me dis clairement Ceque jupenx ssanoirut terenement.
MELISSE.	MÉLISSE.
Helas!	Hélas!
modere vn peu ta fureur violente.	modère un peu ta fureur violente.
ORONTE.	ORONTE.
C'eſt aſſez ſoupirer, deſpeſche, & me contente.	C'est assez soupirer, dépêche, et me contente.
MELISSE.	MÉLISSE.
Lors que le Roy de Smirne oſa mal à propos Troubler de vos Eſtats le paiſible repos, Dans le cõmencement de ces ſanglantes guerres On emporta de force vn Chaſteau ſur vos terres, Arban lafit captiue à ce premier effort, Vn garçon de meſme age eſprouua meſme ſort.	Lors que le Roi de Smirne osa mal à propos Troubler de vos États le paisible repos, Dans le commencement de ces sanglantes guerres On emporta de force un Château sur vos terres, Arban lafit captive à ce premier effort, Un garçon de même age éprouva même sort.
Ae Iſi.	Ae Isi.
NISE.	NISE.
ORONTE.	ORONTE.
Ne parle point;	Ne parle point;
& toy pourſuy le reſte.	et toi poursui le reste.
MELISSE Ineſte?	MÉLISSE Inête?
Hé Dieux!	Hé Dieux!
faut il pourſuiure vn diſcours ſi fuApres que ce beau couple eut ſouffert ce malheur Noſtre temerité craignit voſtre valeur,	faut il poursuivre un discours si fuAprès que ce beau couple eut souffert ce malheur Notre témérité craignit votre valeur,
Vos ſoldats eſueillez au bruit de ces tempeſtes Nous font abandonner nos nouuelles conqueſtes.	Vos soldats éveillez au bruit de ces tempêtes Nous font abandonner nos nouvelles conquêtes.
Nous cherchaſmes la paix, & mõ Roy deſarme Voulut eſteindre vn feu qu’il auoit allumé, Außi toſt il fit rendre a vos troupes guerrieres Tout ce qu’on auoit pris aux allarmes dernieres;	Nous cherchâmes la paix, et mon Roi désarme Voulut éteindre indre feu qu'il avait allumé, Aussi tôt il fit rendre à vos troupes guerrières Tout ce qu'on avait pris aux alarmes dernières;
Toutesfois ces enfans ne ſe peurent treuuer, Arban qui les aimoit les voulut conſeruer, Et lors que voſtre Roy nous preſſa de les rendre, Biẽque l’ons enquiſt d’eux on n'en pũt riẽ apprẽAußi pour mieux garder vn ſirare butin Il chercha les moyens de cacher leur deſtin, Il ne les voulut point ſouffrir en ſa famille, Damete eut le garçon, il me donna la fille, Ils changerent de nom, d’habit & de ſejour:	Toutefois ces enfants ne se peurent trouver, Arban qui les aimait les voulut conserver, Et lors que votre Roi nous pressa de les rendre, Bièque l'ons enquit d'eux on n'en pendant rieurs apprẽAussi pour mieux garder un sirare butin Il chercha les moyens de cacher leur destin, Il ne les voulut point souffrir en sa famille, Damète eut le garçon, il me donna la fille, Ils changèrent de nom, d'habit et de séjour:
denoypuue fentemeut tccomtom temnanconi;	denoypuue fentemut tccomptom temnanconi;
Et pour s’en aſſeurer il fit de telle ſorte, dre:	Et pour s'en assurer il fit de telle sorte, dre:
Qu'elle le tenoit mort, & luy la croyoit morte.	Qu'elle le tenait mort, et Seigneur la croyait morte.
ORONTE.	ORONTE.
Mais qui te ſit reſoudre à venir en ces lieux Eſloignez du pays qu’habitoient tes ayeux:	Mais qui te sit résoudre à venir en ces lieux Éloignez du pays qu'habitaient tes aïeux:
MELISSE.	MÉLISSE.
Ce fut la plus cruelle & violente guerre	Ce fut la plus cruelle et violente guerre
Que iamais la diſcorde alluma ſur la terre;	Que jamais la discorde alluma sur la terre;
Ton Prince qui voyoit nos eſprits eſtonnez Remplit d’vn monde armé nos chãps abandõnez;	Ton Prince qui voyait nos esprits étonnés Remplit d'un monde armé nos chans abandõnez;
Son nom auoit ſemé l’effroy ſur nos riuages, Par tout ſa violence eſtendit ſes rauages, Neptune vit changer de couleur nos ruiſſeaux, Et receut tout de ſang le tribut de leurs eaux:	Son nom avait semé l'effroi sur nos rivages, Par tout sa violence étendit ses ravages, Neptune vit changer de couleur nos ruisseaux, Et reçut tout de sang le tribut de leurs eaux:
On couurit de corps morts nos cãpagnes fertilles, On bruſla nos chaſteaux, on deſmolit nos villes, Et vos gens orgueilleux de tant de beaux explois, Marchoiẽt ſur le débris des Palais de nos Rois:	On couvrit de corps morts nos cãpagnes fertilles, On brûla nos châteaux, on démolit nos villes, Et vos gens orgueilleux de tant de beaux explois, Marchaient sur le débris des Palais de nos Rois:
Pour moy, ie fus contraint de voir vn tel orage, Mais ie voulus au moins euiter le naufrage;	Pour moi, Seigneur fus contraint de voir un tel orage, Mais tu voulus au moins éviter le naufrage;
Cette heureuſe retraitte empeſcha mon treſpas.	Cette heureuse retraite empêcha mon trépas.
Où cette ieune fille accompagna mes pas.	Où cette jeune fille accompagna mes pas.
d Mon Iu Que deuint le garçon qui fut pris auec elle?	d Mon Ju Que devint le garçon qui fut pris avec elle?
As-tu de ſa fortune ouy quelque nouuelle?	As-tu de sa fortune oui quelque nouvelle?
NISE.	NISE.
Ne le demande plus, le voicy, ie le ſuis, Ce Paſteur accablé de malheur & d’ennuis, C'eſt moy qui participe à ſa longue diſgrace, C’eſt moy qui ſuis Tirſis qu'Arban prit dans la Trace, Damete du depuis m'a gardé fort long temps, Et ie ne l’ay quitté qu’en ce dernier Printemps;	Ne le demande plus, le voici, je le suis, Ce Pasteur accablé de malheur et d'ennuis, C'est moi qui participe à sa longue disgrâce, C'est moi qui suis Tirs qu'Arban prit dans la Trace, Damète du depuis m'a gardé fort long temps, Et je ne l'ai quitté qu'en ce dernier Printemps;
Vn torrent furieux deſcendant des montagnes D’vn cours precipité rauageoit les campagnes, Ie me treuuay ſurpris, la fureur de ſon eau M'emporta dans la Mer ſur vn foible batteaus, Le ſort fut mon pilote, & malgré les orages Ie fus heureuſement ietté ſur ces riuages.	Un torrent furieux descendant des montagnes D'un cours précipité ravageait les campagnes, Je me trouvai surpris, la fureur de son eau M'emporta dans la Mer sur un faible batteaus, Le sort fut mon pilote, et malgré les orages Je fus heureusement jeté sur ces rivages.
Que deſire-tu plus?	Que désire-tu plus?
CLORIS.	CLORIS.
Ha!	Ha!
Seigneur, c’eſt aſſez Depeindre la rigueur de nos trauaux paſſez, Mon ame veut ſortir des fers qui la retiennent, Termine ſa lãgueur, ces diſcours l’entretiẽnent.	Seigneur, c'est assez Dépindre la rigueur de nos travaux passez, Mon âme veut sortir des fers qui la retiennent, Termine sa langueur, ces discours l'entretiẽnent.
NISE.	NISE.
Differe vn peu cruelle, eſpreuue icy ma foy, Et me laiſſe l’honneur de mourir deuant toy.	Différe ux peu cruelle, épreuve ici ma foi, Et me laisse l'honneur de mourir devant toi.
NARETE.	NARETE.
O merueilleux cõbat plein d’amour et de gloire, Où celuy qui mourra doit gaigner la victoire.	Ô merveilleux commbat plein d'amour et de gloire, Où celui qui mourra doit gagner la victoire.
ORONTE.	ORONTE.
Hal c'eſt trop differer, viuez heureux Amans, Le ſort n'eſt plus contraire à vos contentemens;	Hal c'est trop différer, vivez heureux Amants, Le sort n'est plus contraire à vos contentements;
s----- Vene ----- V	s- Vene -- V
Venez mes nourriſſons, venez me reconnaiſtre, Ie veux fauoriſer l’amour que i’ay veu naiſtre.	Venez mes nourrissons, venez me reconnaître, Je veux favoriser l'amour que j'ai vu naître.
Ha Tirſis!	Ha Tirsis!
ha Filis l'appaiſez vos douleurs, R’appellez voſtre ioye, & tariſſez vos pleurs.	ha Filis l'apaisez vos douleurs, Rappelez vos joie, et tarissez vos pleurs.
Quoy!	Quoi!
pouuez vous encor douter en ma preſence?	pense vous encor douter en ma présence?
Ne vous ſouuiẽt-ilplur de Trace et de Biſance?	Ne vous souvient-ilplur de Trace et de Bisance?
Auez-vous oublié la Cour du grand Seigneur?	Avez-vous oublié la Cour du grand Seigneur?
Connaiſſez-vous Oronte?	Connaissez-vous Oronte?
NISE.	NISE.
C’eſt donc toy, braue Oronte, à qui les deſtinées Auoient donné le ſoin de nos ieunes années;	C'est donc toi, brave Oronte, à qui les destinées Avaient donné le soin de nos jeunes années;
Ceſt toy chez qui l'amour aſſembla nos deſirs, Nous te deuons le bien de nos premiers plaiſirs.	Cest toi chez qui l'amour assembla nos désirs, Nous te devons le bien de nos premiers plaisirs.
CLORIS.	CLORIS.
Apres tant de bien-faits que cent fois ie t’embraſſe, Merueille des guerriers, rare honneur de la Trace, Que le ſort eſt cruel qui nous a ſeparez, Que depuis ce temps là i’ay de maux endurez:	Après tant de bienfaits que cent fois je t'embrasse, Merveille des guerriers, rare honneur de la Trace, Que le sort est cruel qui nous a séparés, Que depuis ce temps -là j'ai de maux endurés:
